년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100524,더블에스오공일,Let Me Be The One (그게 나라고..),male,발라드,-,ANDRE MIEUX,ANDRE MIEUX,-,Look I know it has been long time you know Now I gotta tell ya somethin' So look at here First thing first 네게 하고 싶은 말 어디서부터 시작해야 할지 몰라도 많은 고민했어 지금까지 아직 조금 쑥스럽지만 좀 더 용기 내볼께 이런 낮 뜨거운 말 못하는 날 알잖아 일생에 한 번 난 지금인것 같아 여기서 시작할께 baby 들어줘 Let me be the one Let me be the one 너만의 사랑 네가 되고 싶다고 Let me be the one Let me be the one 나 하루종일 너만 생각한다고 Let me be the one 나 약속할께 너를 위해 산다고 Let me be the one Let me be the one 난 영원토록 너만 사랑한다고 덧없는 생각은 바람이 되고 눈물은 넘쳐 흘러 저 바다를 이루고 많이 부족한 나같은 남자도 너를 만남으로 I feel so special So Love Love Let me love you baby Make me love 기적같은 걸 Let me 이 맘을 받아줘 Cuz I wanna be with you girl Let me be the one 너만의 사랑 내가 되고 싶다고 Let me be the one Let me be the one 나 하루종일 너만 생각한다고 Let me be the one 나 약속할께 너를 위해 산다고 Let me be the one Let me be the one 난 영원토록 너만 사랑한다고 날 빛나게 하는 건 세상에 단 하나 You're the one in the million oh yeah 이 세상 많은 별 중 내가 숨쉴 수 있는 곳 내 기쁨도 슬픔도 웃음도 눈물도 다 너 하나를 위해 너와 함께 라면 두려울게 난 없는 걸 Let me be the one 네가 있어서 내가 존재하는 걸 Let me be the one for all your answers 그 사람이 나란걸 Let me be the one 세상에 하나 Let me be the one who cares Let me be the one 변하지 않아 다시 태어난대도 baby it's you Let me be the one 너만의 사랑 내가 되고 싶다고 Let me be the one Let me be the one 난 하루종일 너만 생각한다고 그 사랑이 나라고 Let me be the one 나 약속할께 너를 위해 산다고 Let me be the one Let me be the one 난 영원토록 너만 사랑한다고
20100524,더블에스오공일,Love Ya,male,댄스,-,Steven Lee,Steven Lee,-,YEAH HERE WE GO ONCE AGAIN GUESS WHO'S BACK LET'S GO THIS SONG IS ALL ABOUT YOU I REALLY HATE YOU BUT I LOVE YOU SO WHAT CAN I DO NOW LISTEN 너를 보면 아파 숨이 너무 가파 이젠 내손 잡아 그 사람은 너를 사랑하지않는데 왜 WHY DON'T YOU GET IT BABY LET ME LOVE YA LOVE YA LOVE YA 내 전부를 걸어 이 주문을 걸어 WE CAN BE SO PERFECT 세상모두 적이된다해도 나는 안돼 너 아니면 안돼 BABY LET ME LOVE YA LOVE YA LOVE YA 오늘을 여태껏 기다렸어 미안해 간절히 바래왔어 날 빗겨갔던 니 오랜 사랑이 잔인하게 끝나기를 그 사람 잊어 이젠 지워버려 어차피 너하고는 어울리지 않는걸 SO BABY WON'T YOU COME TO ME I'LL MAKE YOU MAKE YOU HAPPY 너를 보면 아파 숨이 너무 가파 이젠 내손 잡아 그 사람은 너를 사랑하지않는데 왜 WHY DON'T YOU GET IT BABY LET ME LOVE YA LOVE YA LOVE YA 내 전부를 걸어 이 주문을 걸어 WE CAN BE SO PERFECT 세상모두 적이된다해도 나는 안돼 너 아니면 안돼 BABY LET ME LOVE YA LOVE YA LOVE YA 처음엔 행복하길 바랬어 그게 비록 그사람 옆에서라도 믿었었어 나 없이 행복하다면 그걸로 충분했어 하지만 너의 눈물이보여 너의 슬픔이 보여 아무리 참아봐도 안돼 이젠 지쳐 미쳐 I CANNOT LET IT GO I GOTTA TAKE YOU 이게 우리 운명인걸 yeah 너를 보면 아파 숨이 너무 가파 이젠 내손 잡아 그 사람은 너를 사랑하지않는데 왜 WHY DON'T YOU GET IT BABY LET ME LOVE YA LOVE YA LOVE YA 내 전부를 걸어 이 주문을 걸어 WE CAN BE SO PERFECT 세상모두 적이된다해도 나는 안돼 너 아니면 안돼 BABY LET ME LOVE YA LOVE YA LOVE YA 어떻게 넌 모르는데 하필 그 사람인데 너의 아픈사랑따윈 난 볼수없는데 잊어 니 가슴 멍들게하는 그런 나쁜사랑 이젠 집어쳐 Please 아픈 너를 구하겠어 거울에 비친 너의 눈물이 소리없이 의미도없이 흐를때 내가슴은 완전히 찢어지는걸 I CAN CROSS OVER THE SEA 나를 믿어줘 하늘에 맹세할게 우린 마지막 사랑이 될테니까 YEAH 너를 보면 아파 숨이 너무 가파 이 심장이 아파 그 사람은 너를 사랑하지않는데 왜 WHY DON'T YOU GET IT BABY LET ME LOVE YA LOVE YA LOVE YA 내 전부를 걸어 이 주문을 걸어 WE CAN BE SO PERFECT 세상 모두 적이된다해도 나는 안돼 너 아니면 안돼 BABY LET ME LOVE YA LOVE YA LOVE YA LET ME LOVE YOU BABY 안돼 안돼 너없인
20100524,더블에스오공일,Crazy 4 U,male,댄스,-,이승재,Steven Lee,-,My Girl My words 또다른 말 말 말 믿을 수가 없어 Tell me why why why 떨리는 너의 목소리 Don't leave say yeah say yeah 변명따윈 듣기 싫어 듣기 싫어 항상 넌 우리는 이뤄질 수 가 없다고 그러는 네 앞에서 내가 무슨 말을 해 가슴이 말하잖아 무슨 말이 더 필요해 hey 그래 난 미쳤다 미쳤다 너에게 난 미쳤다 미쳤다 아무리 빠져 나오려 해도 너 하나 밖에 보이지 않아 Baby Baby Baby 하늘이 정한 운명 Baby Baby Baby 내 모든 걸 너에게 Baby Baby Baby 내 옆에 있어줘 Crazy crazy crazy Cause I'm so crazy for you 어떻게 How how how 넌 다를까 했어 다시 Try try try 어떻게 사랑이 변했니 차라리 탓해 너 아니면 안되는 날 아무리 뭐라해도 어쩔 수가 없잖아 나에게 욕한대도 다시 한 번 말할게 세상에 단 한 사람 그 사람이 바로 너라고 그래 난 미쳤다 미쳤다 너에게 난 미쳤다 미쳤다 아무리 빠져 나오려 해도 너 하나 밖에 보이지 않아 Baby Baby Baby 하늘이 정한 운명 Baby Baby Baby 내 모든걸 너에게 Baby Baby Baby 내 옆에 있어줘 Crazy crazy crazy Cause I'm so crazy for you 눈을 감아도 내 앞에 Crazy 가슴을 터놔도 내 안에 Crazy 어딜 가도 넌 내 기억에 Crazy 넌 내 안에 있어 그래 난 미쳤다 미쳤다 너에게 난 미쳤다 미쳤다 아무리 빠져 나오려 해도 너 하나 밖에 보이지 않아 Baby Baby Baby 하늘이 정한 운명 Baby Baby Baby 내 모든 걸 너에게 Baby Baby Baby 내 옆에 있어줘 Crazy crazy crazy Cause I'm so crazy for you 난 네게 네게 네게 네게 빠진 걸 널 원해 원해 원해 want you girl 난 미쳐 미쳐 미친 미친 걸 Cause I'm so crazy for you 난 네게 네게 네게 네게 빠진 걸 널 원해 원해 원해 want you girl 난 미쳐 미쳐 미친 미친 걸 Cause I'm so crazy for you Cause I'm so crazy for you
20100524,더블에스오공일,영원토록,male,발라드,-,허영생,Christian Weber,-,그댄 아나요 처음 봤던 순간부터 그대란 걸 알죠 눈앞에 길을 함께 걸어요 아름다운 날 우리 앞에 펼쳐있죠 I WANNA BE WITH YOU MY LOVE 하늘아래 약속해요 그대를 지켜줄께요 영원토록 I WANNA LOVE YOU FOREVER 보이나요 이런 내 마음 내 곁에 숨을쉬어요 영원토록 그댈 사랑해요 사랑해요 알고 있나요 그대 내겐 행복인걸 고백할게요 내 사랑 그대 언제까지나 내 곁에 있어요 I WANNA BE WITH YOU MY LOVE 하늘아래 약속해요 그대를 지켜줄께요 영원토록 I WANNA LOVE YOU FOREVER 보이나요 이런 내 마음 내 곁에 숨을쉬어요 영원토록 그댈 사랑해요 사랑해요 어떠한 시련이 온다해도 우리 사랑으로 이겨내요 영원토록 날 바라봐요 영원토록 날 안아줘요 영원토록 날 사랑해요 우리 행복하도록 영원토록 그대만 보며 영원히 행복하길 기도해 I WANNA BE WITH YOU MY LOVE 하늘아래 약속해요 그대를 지켜줄게요 영원토록 I WANNA LOVE YOU FOREVER 우리사랑 행복하길 우리가 만들어가요 아름다운 날들 사랑해요 영원토록
20100524,더블에스오공일,Let Me Be The One (그게 나라고..) (Acoustic Ver.),male,발라드,-,ANDRE MIEUX,ANDRE MIEUX,-,First thing first 네게 하고 싶은 말 어디서부터 시작해야 할지 몰라도 많은 고민했어 지금까지 아직 조금 쑥스럽지만 좀 더 용기 내볼께 이런 낮 뜨거운 말 못하는 날 알잖아 일생에 한 번 난 지금인것 같아 여기서 시작할께 baby 들어줘 Let me be the one Let me be the one 너만의 사랑 네가 되고 싶다고 Let me be the one Let me be the one 나 하루종일 너만 생각한다고 Let me be the one 나 약속할께 너를 위해 산다고 Let me be the one Let me be the one 난 영원토록 너만 사랑한다고 덧없는 생각은 바람이 되고 눈물은 넘쳐 흘러 저 바다를 이루고 많이 부족한 나같은 남자도 너를 만남으로 I feel so special So Love Love Let me love you baby Make me love 기적같은 걸 Let me 이 맘을 받아줘 Cuz I wanna be with you girl Let me be the one 너만의 사랑 내가 되고 싶다고 Let me be the one Let me be the one 나 하루종일 너만 생각한다고 Let me be the one 나 약속할께 너를 위해 산다고 Let me be the one Let me be the one 난 영원토록 너만 사랑한다고 날 빛나게 하는 건 세상에 단 하나 You're the one in the million oh yeah 이 세상 많은 별 중 내가 숨쉴 수 있는 곳 내 기쁨도 슬픔도 웃음도 눈물도 다 너 하나를 위해 너와 함께 라면 두려울게 난 없는 걸 Let me be the one 네가 있어서 내가 존재하는 걸 Let me be the one for all your answers 그 사람이 나란걸 Let me be the one 세상에 하나 Let me be the one who cares Let me be the one 변하지 않아 다시 태어난대도 baby it's you Let me be the one 너만의 사랑 내가 되고 싶다고 Let me be the one Let me be the one 난 하루종일 너만 생각한다고 그 사랑이 나라고 Let me be the one 나 약속할께 너를 위해 산다고 Let me be the one Let me be the one 난 영원토록 너만 사랑한다고
20100524,더블에스오공일,Love Ya (Inst.),male,댄스,-,-,Steven Lee,-,-
20091209,더블에스오공일,우리 함께라면 (드라마 `최강칠우`),male,발라드,-,장혁수,신형,-,구름에 가려도 저 하늘은 항상 거기 그 자리에 어두운 밤에도 비가 내려도 매일 그 자리에 영원히 그대 나와 같이 함께라면 언제나 우리 함께라면 차가운 세상의 그 어디라도 그대 함께라면 걸어 걸어 오르고 올라 더 높은 곳으로 그대와 나 함께라면 혼자서 떠나는 외로운 길 그게 바로 인생이죠 하지만 우리는 만났잖아요 멋진 인생이죠 영원히 그대 나와 같이 함께라면 언제나 우리 함께라면 차가운 세상의 그 어디라도 그대 함께라면 걸어 걸어 오르고 올라 더 높은 곳으로 그대와 나 함께라면 영원히 그대 나와 같이 함께라면 언제나 우리 함께라면 영원히 그대와 차가운 세상 속을 걸어 걸어 더 높은 곳으로 그대 나와 같이 함께라면 우리 함께라면
20091020,더블에스오공일,Wasteland,male,댄스,-,Sean Alexander,Sean Alexander,-,단 한번이라도 돌아봐줘 이대로 널 보낼 수 없어 그 모든게 오해였다는 걸 너도 알거야 참 우습게 들린다는 말도 더 이해할 수 없단 표정도 다 괜찮아 그러니 내 손 놓지만 말아줘 널 보낼 수도 널 떠날 수도 난 없다는 것을 잘 알잖아 거칠게 돌아선 너의 눈빛 까맣게 타버린 나의 심장 미친듯 소리치는 날 버리려고 하지 말아줘 제발 이대로 돌아서 갈 순 없어 이렇게 절대 보낼 순 없어 죽을 듯 매달리는 날 떠나려고 남은 내 맘은 wasteland 이 모든게 잘못됐던 거야 아무렇지 않은 듯이 그렇게 차갑게 돌아서는 널 더 볼 수 없어 참을 수 없어 지쳐가든 나 또 미쳐가든 끝까지 너를 붙잡고 있어 거칠게 돌아선 너의 눈빛 까맣게 타버린 나의 심장 미친듯 소리치는 날 버리려고 하지 말아줘 제발 이대로 돌아서 갈 순 없어 이렇게 절대 보낼 순 없어 죽을듯 매달리는 날 떠나려고 남은 내 맘은 wasteland 떠나는 너의 마음은 이제 frozen heart 찢겨진 나의 가슴은 이제 borken heart 영원히 볼 수 없게 돼 버린 것 같아 where is she where is she now 지독한 내 마음은 어쩔 수가 없어 너 없이 살아 있어도 죽은거 같은데 아직도 매일 밤 널 붙잡는 꿈을 꿔 where do you go where do you go 거칠게 돌아선 너의 눈빛 까맣게 타버린 나의 심장 미친듯 소리치는 날 버리려고 하지 말아줘 제발 이대로 돌아서 갈 순 없어 이렇게 절대 보낼 순 없어 죽을 듯 매달리는 날 떠나려고 내 맘은 wasteland 결국 내 맘은 wasteland 결국 내 맘은 wasteland 내 맘은 wasteland where is she go
20091020,더블에스오공일,Love Like This (네게로),male,댄스,-,Jimmy Richard,Jimmy Richard,-,Hey Girl 이젠 너를 보여줘 내게 그만 너의 맘을 Won't you my girl 항상 망설이는 넌 정말 바보 정말 너는 바보 Oh 말해줘요 왜 넌 모르니 넌 날 모르니 널 원하는 내 맘 모두 다 가져가줘 내게 거침없이 떨림없이 you love love 내게 와 love like this so love 기다린 너란 걸 true love 다가와 love like this one love 넌 내게 난 네게로 love 내게 와 love like this so love 기다린 너란 걸 true love 다가와 love like this one love 넌 내게 난 네게로 Hey Girl 오늘따라 더 예뻐보여 내맘의 key 주인 바로 넌 girl 널 떠올리면 난 너무 떨려 소중한 넌 바로 나의 baby baby 왜 넌 모르니 넌 날 모르니 널 원하는 내 맘 모두 다 가져가줘 딴건 필요없어 오직 원하는건 your love love 내게 와 love like this so love 기다린 너란 걸 true love 다가와 love like this one love 넌 내게 난 네게로 love 내게 와 love like this so love 기다린 너란 걸 true love 다가와 love like this one love 넌 내게 난 네게로 I need you you need me 우리는 결국 함께할꺼야 망설이지마 나만 따라와 이젠 yeah love 내게 와 love like this so love 기다린 너란 걸 true love 다가와 love like this one love 넌 내게 난 네게로 love 내게 와 love like this so love 기다린 너란 걸 true love 다가와 love like this one love 넌 내게 난 네게로 love 내게 와 love like this so love 기다린 너란 걸 true love 다가와 love like this one love 넌 내게 난 네게로
20091020,더블에스오공일,하루만,male,발라드,-,이승재,Steven Lee,-,내가 떠나던 그 뒷모습은  아직 난 잊을수 없어  그토록 아껴왔던 너였기에  시간이 해결해 줄거라던  친구들의 위로들도  너의 기억을 묻기엔 부족해  끝없이 반복되는 여행속  날 다시 찾는걸  바람에 실린 너의 목소리  잊을수 있니  하루 하루가  너 없는 이 하루가  어제처럼 추억이되어  너무 힘들게 하지만  하루 단 하루만  내 손이  너의 눈물을 닦을수만 있다면  그때는 말할게  my everything  잊을수없는 지난 추억이  기나긴 밤을 숨기고  잔인한 시간마저 멈출때면  지키지 못했던 약속 위에  수북히 쌓인 먼지들을  남몰래 눈물로 적셔 닦곤해  수많은 인파속 일상에서  난 다시 찾는걸  널 사랑했던 나의 목소리  잊을수 있니  하루 하루가  너 없는 이 하루가  어제처럼 추억이되어  너무 힘들게 하지만  하루 단 하루만  내 손이  너의 눈물을 닦을수만 있다면  그때는 말할게  my everything  이 운명의 갈림길속에  조각난 꿈이라고해도  I wish I can bring you way again    하루 단 하루만  널 다시 볼수있다면  이 기나긴  기도가 너를 되돌릴수 있다면  전할 수 없었던  가슴 속 깊은 곳 가득했던  말하지 못한 말  그때는 말할게 널 사랑해    하루 단 하루만  내 손이  너의 눈물을 닦을수만 있다며  그때는 말할게  you're my everything  마지막 용기를 받아줘
