년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20050831,레드삭스,Sweet Dream,female,댄스,-,김동영,-,-,늘 꿈만 꾸지마요 나만이 바래왔던  꿈들과 소망들이 내게도 있잖아요  현실에 붙잡혀서 과거에 집착해서  소중한 시간을 그냥 떠나보냈죠  행복한 사람과 불행한 사람들의  미소의 차이는 자신의 선택인걸  성공한 사람은 결과만을 생각하지만 Stop 다시 노력해요 지쳐 쓰러진대도   Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  끝없는 도전이죠 나 역시 할 수 있죠 Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  마지막에 웃는 모습을 환하게 비춰줄께요 I'm so happy toboy  이 세상에 태어난 것 만으로 난 감사해  후회하며 살고 싶진 않아  남아있는 시간들이 더욱 소중하잖아  이젠 바보같이 눈물 흘리며  기다리지만은 않을거예요  하나 하나 미리 준비 할래요  포기하기에는 너무도 젊죠  행복한 사람과 불행한 사람들의 미소의 차이는 자신의 선택인걸  성공한 사람의 결과만을 생각하지만  Stop 다시 노력해요 지쳐쓰러진대도 Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  끝없는 도전이죠 나 역시 할 수 있죠   Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  마지막에 웃는 모습을 환하게 비춰줄께요  간절히 원하던 내 노래를 작은 곳에서  부르죠 그래도 너무나도 가슴 벅차죠  Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  끝없는 도전이죠 나 역시 할 수 있죠   Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  마지막에 웃 는 모습을 환하게 비춰줄께요  Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  끝없는 도전이죠 나 역시 할 수 있죠   Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  마지막에 웃는 모습을 환하게 비춰줄께요 -
20050831,레드삭스,My Life,female,댄스,-,김동영,"심상수,  김동영",-,왜 닫혀진 현실속에 숨쉴틈도 없이 집착해야 하나 욕심 부려봐도 같은 모습인데 바보같이 어리석던 내안에 자존심 내게 남아있는 사치같은 dreams (꿈들) 그 꿈을 갖기위해 노력한 My life 잠시 잊겠어 하이웨이로 질주하듯 시원함속에 I'm gonna drive my way 모든것을 잊고서 한 걸음 물러서면 또 다시 갈 수 있는데 난 돌아가는 시계 바늘 보며 one step two step 노노노~노노노~ 난 잠시라도 멈추고만 싶어 one step two step 노노노~노노노~ 이 시간들을 잠시 재우고 돌아보는 순간 난 다시 태어나~ 부서지는 파도 같이 작은 아픔에도 흔들렸던 모습 나를 짖눌렀던 조급한 마음을 이젠 버려 내겐 없어 난 다시 기다려~ 내게 남아있는 사치같은 dreams (꿈들) 그 꿈을 갖기 위해 노력한 My life 잠시 잊겠어 하이웨이로 질주하듯 시원함속에 I'm gonna drive my way 모든것을 잊고서 한 걸음 물러서면 또 다시 갈 수 있는데 난 돌아가는 시계 바늘 보며 one step two step 노노노~노노노~ 난 잠시라도 멈추고만 싶어 one step two step 노노노~노노노~ 이 시간들을 잠시 재우고 돌아보는 순간 난 다시 태어나~ 눈물 모두 버려 슬픔 모두 잊어봐 It's my life 더 용기내어 나를 찾아야 이 세상은 모두 All of mind Never gonna give'up for dream You say ain't noright now leave it up this is mylife Never gonna give'up for dream You say ain't noright now leave it up this is mylife 난 다시 갈수있는데  난 돌아가는 시계 바늘 보며 one step two step 노노노~노노노~ 난 잠시라도 멈추고만 싶어 one step two step 노노노~노노노~ 이 시간들을 잠시 재우고 돌아보는 순간 난 다시 태어나~ 난 돌아가는 시계 바늘 보며 one step two step 노노노~노노노~ 난 잠시라도 멈추고만 싶어 one step two step 노노노~노노노~ 이 시간들을 잠시 재우고 돌아보는 순간 난 다시 태어나~ (Steppingonthemic)다시 찾아나서 나만의 길을 mystyle (Oh feel it so)그렇게 느낀대로 Do it so 두눈을 가로막는 두려움을 맞아 싸워나가 넘어올라 자신을 갖고 나가가 (Stepone)힘들어 처음 내미는 발 걸음의 시작 (Step two)만들어 나갈거야 삶 의미학 (That's right)알고있어 빛을 찾아가니까 눈을 뜨고 맞이해 피하지 않아 내미래
20050831,레드삭스,LaLaLa,female,댄스,-,Ishizaka Yoshihko,DKR4G 양승욱,-,요즘 들어 좀 이상해  너의 짜증내는 말들  그렇지만 참았어  너를 사랑하는 나야  친구들을 만나도  의심만 하는 너를 어떡해  제발 나를 믿어줘  내겐 오직 너 뿐이야  매일 넌 내게 전활해서 또 물어  믿어달라는 말 난 지겨워  랄랄라 랄랄라- 또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄랄라 랄랄라-  널 내곁에서 보내면  많이 힘들지만 난 참을래    자꾸 나를 의심해서 넌 매일 전화해  단지 궁금한 건 또 어디서 무얼 하냐고  어차피 (안 믿을 걸) 솔직히 (말해서 뭐해)  그렇게 (못 믿을 걸) 어떻게 (나를 사랑해)  Baby I Love You  But I Don't Wanna Hurt You  그게 내가 널 떠나려는 이유  이렇게 사랑하는 너를 보내려는 이유  더 아프기 전에 차라리 너를 잊을래    이제 더는 그만해 너와 다투기는 싫어  매일 너의 의심에 나는 상처만 더 커져  만날 때는 적어도 내 말을 믿어줘야 하잖아  그럼 나는 어떡해 너만 바라만 보는데  매일 넌 내게 전활해서 또 물어  믿어달라는 말 난 지겨워  랄랄라 랄랄라- 또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄랄라 랄랄라-  널 내곁에서 보내면  많이 힘들지만 난 참을래    (아~) 너 없이는 나는 힘들겠지만  나 너를 얼마나  얼마나 사랑했는데  왜 너는 나를 믿지 못하니  그만해 (워~)  랄랄라 랄랄라-  또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄랄라 랄랄라  널 내곁에서 보내면  많이 힘들지만 난 참을래  랄랄라 랄랄라-  또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄랄라 랄랄라  널 내곁에서 보내면  많이 힘들지만 난 참을래
20050831,레드삭스,초대,female,"발라드, 댄스",-,이경,성우석,-,눈물이 내 앞을 가린채 사랑이 떠나만 가네요 잘있네요  그녀를 사랑한다고  내가 듣게 대답해주세요 곱게입은 웨딩드레스  그녀가 눈부셔서 난 웃네요 하늘이 준 새하얀 천사의 옷 꼭 내가 입고 싶었었는데 당신을 사랑했어요 그게 죄가 되는지  하늘은 어떤 사랑 인연을 맺는지 그댈 사랑하니까 영원히 사랑하니까 당신 행복빌께요 이젠 -  간 주 중 -  내가 너무 어려선가요 내사랑 부족한게 이유일까요 하루하루 다가 올 시간들이 나에게 더 큰 아픔일 텐데 만날 수 없는 것보다 더욱 슬픈사실이 당신이 다신 내게 올수없다는거죠 그댈 사랑하니까 영원히 사랑하니까 당신 행복빌게요 이제 당신을 사랑했어요 그게 죄가 되는지  하늘은 어떤 사랑 인연을 맺는지 그댈 사랑하니까 영원히 사랑하니까 당신 행복빌께요 이젠 내 사랑 영원히
20050831,레드삭스,Don’t Stop,female,댄스,-,DKR4G 이상백,DKR4G 양승욱,-,baby let s 1.2 시작해 계속해서 날 흔들어 Watchu gonna do 너의 몸을 shake it and turn around 계속해서 날 흔들어 Watchu wanna do baby let s 1.2 시작해 계속해서 날 흔들어 Watchu gonna do 너의 몸을 shake it and turn around 계속해서 날 흔들어 Watchu wanna do If you want me! come and get so~ If you don t stop! you can get so~ If you want me! come and get so~ If you don t stop! you can get so baby~ 널 처음 본순간 (오~) 난 알고 있었어 (예~~) 딴 사람들 속에 애써 날 찾는 니 눈~길 더 망설이지마 (오~) 느낌을 믿어봐 (예~~) 여기 내가 있잖아~ 바로 니 앞에~~~  스쳐가는 니 몸짓에~ 예~  널 못 본척하며 순진한척 한번 팅겨 사실 나는 원해 이런 나인걸~ 예~  다시 내게 다가와 날 가져가~~  You~Don t Don t Don t stop 가까이 좀더 다가와~ & Move Move Move yo body 넌 날 가질 수 있어 오오오~ Don t Don t Don t stop 더 깊이 나를 느껴봐~  just Move Move Move yo body it s gonna be alright~ 오오오~   나의 눈에 비친 니 모습은  멈칫 자칫 나를 놓칠지도 몰라 조금 더 다가와 (나에게 말해봐)  이 느낌 그대로 (넌 내게 다가와) 아무 말도 필요 없어 난 이미 알고 있어  너 역시 (나 역시) 원하고 있잖아 이미 넌 내게 더 끌린 다는 걸 yo my boy  난 너를 원하고 있는 걸 짜릿하게 날 감싸봐~ 예~  니 가슴속으로 못 이긴 척 안겨 줄께 너에 맘을 알아 보다 진한 걸~ 예~  느낌으로 너에게 날맏길께~~  You~Don t Don t Don t stop  가까이 좀더 다가와~ & Move Move Move yo body  넌 날 가질 수 있어 오오오~ Don t Don t Don t stop  더 깊이 나를 느껴봐~  & Move Move Move yo body  it s gonna be alright~ 오오오~   Don t Don t Don t stop  니 눈빛 속 날 바라봐~ & Move Move Move yo body  나와 하나가 되어 오오오~ Don t Don t Don t stop  더 깊이 나를 느껴봐~  just Move Move Move yo body it s gonna be alright~ 오오오~
20050831,레드삭스,LaLaLa (Remix),female,댄스,-,김동영,-,-,요즘 들어 좀 이상해 너의 짜증내는 말들  그렇지만 참았어 너를 사랑하는 나야  친구들을 만나도 의심만 하는 너를 어떡해  제발 나를 믿어줘 내겐 오직 너 뿐이야  매일 넌 내게 전활해서 또 물어  믿어달라는 말 난 지겨워  랄라랄라라 랄랄라 랄랄라 - 또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄라랄라라 랄랄라 랄랄라 - 널 내곁에서 보내면  많이 힘들지만 나 참을래  자꾸 나를 의심해서 넌 매일 전화해  단지 궁금한 건 또 어디서 무얼 하냐고  어차피 (안 믿을 걸) 솔직히 (말해서 뭐해)  그렇게 (못 믿을 걸) 어떻게 (날 사랑해)  Baby I Love You  But I Don't Wanna Hurt You  그게 내가 널 떠나려는 이유  이렇게 사랑하는 너를 보내려는 이유  더 아프기 전에 차라리 너를 잊을래  이제 더는 그만해 너와 다투기는 싫어  매일 너의 의심에 나는 상처만 더 커져  만날 때는 적어도 내 말을 믿어줘야 하잖아  그럼 나는 어떡해 너만 바라만 보는데  매일 넌 내게 전활해서 또 물어  믿어달라는 말 난 지겨워  랄라랄라라 랄랄라 랄랄라  또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄라랄라라 랄랄라 랄랄라  널 내곁에서 보내면  많이 힘들지만 난 참을래  너 없이는 나는 힘들겠지만  나 너를 얼마나 얼마나 사랑했는데  왜 너는 나를 믿지 못하니 그만해 랄라랄라라 랄랄라 랄랄라  또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄라랄라라 랄랄라 랄랄라  널 내곁에서 보내면  많이 힘들지만 난 참을래  랄라랄라라 랄랄라 랄랄라  또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄라랄라라 랄랄라 랄랄라  널 내곁에서 보내면  많이 힘들지만 난 참을래 -
20050831,레드삭스,Sweet Dream,female,댄스,-,김동영,-,-,늘 꿈만 꾸지마요 나만이 바래왔던  꿈들과 소망들이 내게도 있잖아요  현실에 붙잡혀서 과거에 집착해서  소중한 시간을 그냥 떠나보냈죠  행복한 사람과 불행한 사람들의  미소의 차이는 자신의 선택인걸  성공한 사람은 결과만을 생각하지만 Stop 다시 노력해요 지쳐 쓰러진대도   Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  끝없는 도전이죠 나 역시 할 수 있죠 Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  마지막에 웃는 모습을 환하게 비춰줄께요 I'm so happy toboy  이 세상에 태어난 것 만으로 난 감사해  후회하며 살고 싶진 않아  남아있는 시간들이 더욱 소중하잖아  이젠 바보같이 눈물 흘리며  기다리지만은 않을거예요  하나 하나 미리 준비 할래요  포기하기에는 너무도 젊죠  행복한 사람과 불행한 사람들의 미소의 차이는 자신의 선택인걸  성공한 사람의 결과만을 생각하지만  Stop 다시 노력해요 지쳐쓰러진대도 Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  끝없는 도전이죠 나 역시 할 수 있죠   Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  마지막에 웃는 모습을 환하게 비춰줄께요  간절히 원하던 내 노래를 작은 곳에서  부르죠 그래도 너무나도 가슴 벅차죠  Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  끝없는 도전이죠 나 역시 할 수 있죠   Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  마지막에 웃 는 모습을 환하게 비춰줄께요  Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  끝없는 도전이죠 나 역시 할 수 있죠   Forever Hard Wanna Hold Me In The World  & Hold Me In The Time  마지막에 웃는 모습을 환하게 비춰줄께요 -
20050831,레드삭스,My Life,female,댄스,-,김동영,"심상수,  김동영",-,왜 닫혀진 현실속에 숨쉴틈도 없이 집착해야 하나 욕심 부려봐도 같은 모습인데 바보같이 어리석던 내안에 자존심 내게 남아있는 사치같은 dreams (꿈들) 그 꿈을 갖기위해 노력한 My life 잠시 잊겠어 하이웨이로 질주하듯 시원함속에 I'm gonna drive my way 모든것을 잊고서 한 걸음 물러서면 또 다시 갈 수 있는데 난 돌아가는 시계 바늘 보며 one step two step 노노노~노노노~ 난 잠시라도 멈추고만 싶어 one step two step 노노노~노노노~ 이 시간들을 잠시 재우고 돌아보는 순간 난 다시 태어나~ 부서지는 파도 같이 작은 아픔에도 흔들렸던 모습 나를 짖눌렀던 조급한 마음을 이젠 버려 내겐 없어 난 다시 기다려~ 내게 남아있는 사치같은 dreams (꿈들) 그 꿈을 갖기 위해 노력한 My life 잠시 잊겠어 하이웨이로 질주하듯 시원함속에 I'm gonna drive my way 모든것을 잊고서 한 걸음 물러서면 또 다시 갈 수 있는데 난 돌아가는 시계 바늘 보며 one step two step 노노노~노노노~ 난 잠시라도 멈추고만 싶어 one step two step 노노노~노노노~ 이 시간들을 잠시 재우고 돌아보는 순간 난 다시 태어나~ 눈물 모두 버려 슬픔 모두 잊어봐 It's my life 더 용기내어 나를 찾아야 이 세상은 모두 All of mind Never gonna give'up for dream You say ain't noright now leave it up this is mylife Never gonna give'up for dream You say ain't noright now leave it up this is mylife 난 다시 갈수있는데  난 돌아가는 시계 바늘 보며 one step two step 노노노~노노노~ 난 잠시라도 멈추고만 싶어 one step two step 노노노~노노노~ 이 시간들을 잠시 재우고 돌아보는 순간 난 다시 태어나~ 난 돌아가는 시계 바늘 보며 one step two step 노노노~노노노~ 난 잠시라도 멈추고만 싶어 one step two step 노노노~노노노~ 이 시간들을 잠시 재우고 돌아보는 순간 난 다시 태어나~ (Steppingonthemic)다시 찾아나서 나만의 길을 mystyle (Oh feel it so)그렇게 느낀대로 Do it so 두눈을 가로막는 두려움을 맞아 싸워나가 넘어올라 자신을 갖고 나가가 (Stepone)힘들어 처음 내미는 발 걸음의 시작 (Step two)만들어 나갈거야 삶 의미학 (That's right)알고있어 빛을 찾아가니까 눈을 뜨고 맞이해 피하지 않아 내미래
20050831,레드삭스,LaLaLa,female,댄스,-,Ishizaka Yoshihko,DKR4G 양승욱,-,요즘 들어 좀 이상해  너의 짜증내는 말들  그렇지만 참았어  너를 사랑하는 나야  친구들을 만나도  의심만 하는 너를 어떡해  제발 나를 믿어줘  내겐 오직 너 뿐이야  매일 넌 내게 전활해서 또 물어  믿어달라는 말 난 지겨워  랄랄라 랄랄라- 또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄랄라 랄랄라-  널 내곁에서 보내면  많이 힘들지만 난 참을래    자꾸 나를 의심해서 넌 매일 전화해  단지 궁금한 건 또 어디서 무얼 하냐고  어차피 (안 믿을 걸) 솔직히 (말해서 뭐해)  그렇게 (못 믿을 걸) 어떻게 (나를 사랑해)  Baby I Love You  But I Don't Wanna Hurt You  그게 내가 널 떠나려는 이유  이렇게 사랑하는 너를 보내려는 이유  더 아프기 전에 차라리 너를 잊을래    이제 더는 그만해 너와 다투기는 싫어  매일 너의 의심에 나는 상처만 더 커져  만날 때는 적어도 내 말을 믿어줘야 하잖아  그럼 나는 어떡해 너만 바라만 보는데  매일 넌 내게 전활해서 또 물어  믿어달라는 말 난 지겨워  랄랄라 랄랄라- 또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄랄라 랄랄라-  널 내곁에서 보내면  많이 힘들지만 난 참을래    (아~) 너 없이는 나는 힘들겠지만  나 너를 얼마나  얼마나 사랑했는데  왜 너는 나를 믿지 못하니  그만해 (워~)  랄랄라 랄랄라-  또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄랄라 랄랄라  널 내곁에서 보내면  많이 힘들지만 난 참을래  랄랄라 랄랄라-  또 날 의심할 게 뻔한데  널 잊는게 더 편해  랄랄라 랄랄라  널 내곁에서 보내면  많이 힘들지만 난 참을래
20050831,레드삭스,초대,female,"발라드, 댄스",-,이경,성우석,-,눈물이 내 앞을 가린채 사랑이 떠나만 가네요 잘있네요  그녀를 사랑한다고  내가 듣게 대답해주세요 곱게입은 웨딩드레스  그녀가 눈부셔서 난 웃네요 하늘이 준 새하얀 천사의 옷 꼭 내가 입고 싶었었는데 당신을 사랑했어요 그게 죄가 되는지  하늘은 어떤 사랑 인연을 맺는지 그댈 사랑하니까 영원히 사랑하니까 당신 행복빌께요 이젠 -  간 주 중 -  내가 너무 어려선가요 내사랑 부족한게 이유일까요 하루하루 다가 올 시간들이 나에게 더 큰 아픔일 텐데 만날 수 없는 것보다 더욱 슬픈사실이 당신이 다신 내게 올수없다는거죠 그댈 사랑하니까 영원히 사랑하니까 당신 행복빌게요 이제 당신을 사랑했어요 그게 죄가 되는지  하늘은 어떤 사랑 인연을 맺는지 그댈 사랑하니까 영원히 사랑하니까 당신 행복빌께요 이젠 내 사랑 영원히
