년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20080610,배틀,Big Change (feat. Deegie),male,댄스,-,Question,용감한 형제,-,들어봐 I gotta go 오늘도 난 시도해 아무도 예상치 못한 세계로 인도 We wanna go 저 위로 let's go 날 따라해 다같이 We wanna go let's go everybody do it 24 7 day 난 변화를 원해 이 순간 어디든지 다 소문이 펴져가네 day and night 우릴 따라와 Now come on ma baby We wanna go let's go everybody do it We got a thang Big Change 모든 걸 새롭게 다시 한 번 더 시작해 조금은 색다르게 We got a thang Big Change 커다란 움직임 this time We wanna go let's go everybody do it
20080610,배틀,Step by Step,male,댄스,-,용감한 형제,용감한 형제,-,Step by Step Step by Step Step by Step Step Step Step I love you never let me go 너를 사랑하는데 내 맘 몰라주는 너 난 미칠 것 만 같아 Never let me go 널 떠나야 하는데 그러지 못해 나는 Step by Step 네게 한걸음씩 다가갈게 Step by Step 멀어지지 마라 Step by Step 널 너무 사랑하는데 Step Step Step by Step Step 조금만 기다려 너에게 하고 싶은 그 말들이 아직 많이 남았는데 사랑해 너를 이러는 내 맘 아파 이제는 너에게 끌려가고 싶지 않아 똑같은 사랑에 차여도 한 발짝 앞으로 Can't stop loving you tonight Go Go let's get it on one step two step 너와의 거리 좁혀 갈께 거기 가만히 있어줄래 너의 맘 사로잡아 I love you never let me go 너를 사랑하는데 내 맘 몰라주는 너 난 미칠 것 만 같아 Never let me go 널 떠나야 하는데 그러지 못해 나는 Step by Step 네게 한걸음씩 다가갈게 Step by Step 멀어지지 마라 Step by Step 널 너무 사랑하는데 Step Step Step by Step Step Everybody Just Get Down 널 원하는 내 맘 다가가 Slow Down 함께하고 싶어 이 순간 Everybody Just Get Down 말 못했던 그 말 떠나지마 제발 오직 너만을 위한 시간 아직 서툴러 지금 내 맘 이런 말은 잘 못하는 Style Baby girl talk to me now 내가 하는 말 믿어줘 제발 사랑하고 싶어 Fly with me 어느 순간 넌 또 다른 의미 네게 다가갈게 조금씩 바라보고 있어 I love you never let me go 너를 사랑하는데 내 맘 몰라주는 너 난 미칠 것 만 같아 Never let me go 널 떠나야 하는데 그러지 못해 나는 Step by Step 네게 한걸음씩 다가갈게 Step by Step 멀어지지 마라 Step by Step 널 너무 사랑하는데 Step Step Step by Step Step Step by Step 난 너에 뒤에서 Step by Step 항상 머물고 싶어 Step by Step 너를 위해서 Step Step 살아가고 싶어 I love you never let me go 너를 사랑하는데 내 맘 몰라주는 너 난 미칠 것 만 같아 Never let me go 널 떠나야 하는데 그러지 못해 나는 Step by Step 네게 한걸음씩 다가갈게 Step by Step 멀어지지 마라 Step by Step 널 너무 사랑하는데 Step Step Step by Step Step Step by Step
20080610,배틀,Luv U,male,댄스,-,블랙소울,박현중,-,Hey I can't explan my feeling to U But I just wanna say onething You Know I promise U Alaways I Luv U Always I Luv U Baby Boo 하늘에 맹세할게 손을 내밀어 날 잡아줄래 간절히 너만을 원하는 내게 Tell Me 나도 널 기다려 왔다고 Because of Luv U 널 사랑해 Luv U 너를 원해 Luv U 내 모든 걸 너에게 줄께 All Luv U 널 지킬게 Luv U 너만 볼께 Luv U 내가 항상 곁에 있을게 많은 것을 해 줄 수는 없어도 너를 웃게 할 내 진심하나 바라보고 와줄래 너무 초라한 내 마음이 전부지만 내겐 이게 전부인 걸 네게 다주려 해 하루 종일 난 너만을 생각해 이런 내 곁에 있어줄래 All days 고민해 이런 내 고백 대답해줄래 네 맘을 내게 아무 대답 없는 넌 오늘도 여전히 아름다워 그 누구도 너를 대신할 순 없어 You never know 이런 내 사랑을 받아줘 Always I Luv U Baby Boo 하늘에 맹세할게 손을 내밀어 날 잡아줄래 간절히 너만을 원하는 내게 Tell Me 나도 널 기다려 왔다고 Because of Luv U 널 사랑해 Luv U 너를 원해 Luv U 내 모든 걸 너에게 줄께 All Luv U 널 지킬게 Luv U 너만 볼께 Luv U 내가 항상 곁에 있을게 우리가 함께 보냈던 시간 쌓여만 가네 추억이란 둘만의 여행 넌 나에겐 살아가는 의미 Fallin again Hey 내 곁에 늘 그렇게 있어줄래 I need you baby 오직 너만을 바라볼께 어디든지 네게 달려갈께 ok 작지만 널담은 나의 마음엔 행복 가득한 미래가 보이네 보이네 너를 위한 나를 나를 위한 너를 떠올리면 웃음 짓게 되는 걸 사랑해 이 맘 받아 줄래 Always I Luv U Baby Boo 하늘에 맹세할게 손을 내밀어 날 잡아줄래 간절히 너만을 원하는 내게 Tell Me 나도 널 기다려 왔다고 Because of Luv U 널 사랑해 Luv U 너를 원해 Luv U 내 모든 걸 너에게 줄께 All Luv U 널 지킬게 Luv U 너만 볼께 Luv U 내가 항상 곁에 있을게 두 손을 모아 널 위해 가만히 기도해 죽는 그 날까지도 아니 영원히 너만을 지켜주겠어 라라랄 라랄라라 라라랄 라랄라라 라라랄 라랄라라 라라랄 너만 사랑할께 라랄라라 라라랄 라랄라라 라라랄 너만 지켜줄께
20070530,배틀,말해!,male,댄스,-,황성제,황성제,-,왠지 오늘따라 이상해 굳은 표정 말은 어색하고  조금 전에 내가 아닌 걸 눈 한번도 마주치지 못해    너무도 재미없는 말도 웃어주던 그녀 착해 보여 너무 좋아  조금 작은 키에 하얀 얼굴 그녀 무섭도록 좋아져    매일 내가 너의 미소 속에 부드럽게 키스할께  첫눈에 반했다는 말 잠시만 내 맘속에 간직해둘래    (Rap)  사랑밖에 난 몰라 네 생각에 난 잠 못자  널 너무너무 좋아하는 나인데 왜 넌 네 맘 몰라    그저 바라보고 있자니 너무 답답하고 한심한 걸  하필 오늘 어디 둔거야 이럴 때만 없는 비상금    왜 이렇게 비싼 곳에 내가 앉아 있는 건지  점점 더 나 한심해져  기분 좋은 그녀 맘 망칠까봐  그래 혹시 그녀마저 No Money    매일 내가 너의 미소 속에 부드럽게 키스할께  첫눈에 반했다는 말 잠시만 내 맘속에 간직해둘래    (Rap)  널 보는 순간 멎었어 내 심장은 크게 울렸어  내 다리는 무지무지 떨렸고  너의 내 사랑에 화살은 꽂혔어  너 생각에 꼬리에 꼬리를 물면  늘 마지막은 행복한 해피엔딩  지금 나에게 넌 너무 이쁜 나의 달링  My loving I love you    맑은 그댈 갖고 싶은데  Say right now I hope 2 see U again  손이라도 잡고 싶은데  Drives me up the wall    (Rap)  시간이 멈춰져 너와 내가 멈췄으면 좋겠어  기억은 접혀져 좋은 추억들만 가득했음 좋겠어  마음을 보여줘 사랑이 영원했음 좋겠어    매일 내가 너의 미소속에 부드럽게 키스할께  첫눈에 반했다는 말 잠시만 내 맘속에 간직해 둘까 했는데    말했어 좋아한다고 그녀가 제일 예쁘다고  첫눈에 반했다는 말 어떻게 나도 몰래 하고 말았네
20070530,배틀,Hey Yo,male,댄스,-,이병준,이병준,-,Hey Girl 그 미소 상큼한 향기 다른 세상의 시작  Hey Girl 그 모습 짜릿한 빛깔 다른 세계에 도착    (Rap)  어딜 바라봐 너에 뒤로 살금살금 다가가서  니가 보는 곳 시선 맞춰 같이 달려가고 싶어    Oh your smile 내 맘 전부를  네게 바쳐 살고파 Love My Girl    Hey Yo 한번만 돌아봐 그냥 뒷모습 보며 널 그리다 지쳤어  Hey Yo 잠깐만 멈춰봐 순간 시간 멈췄다 날봤다    Hey Girl 그 미소 상큼한 눈빛 다른 세상의 입구  Hey Girl 그 모습 짜릿한 입술 다른 세계에 출구    (Rap)  왜 날 쳐다봐 알고 있어 항상 내게 다가와서  내가 보는곳 힐끔보며 뭐라 말하려고 했지    Oh your smile 네 맘 알겠어  지금 바로 고백해 Love My Girl    Hey Yo 한번만 돌아봐 이젠 혼잣말 싫어 널 보며 말해볼래  Hey Yo 잠깐만 멈춰봐 순간 시간 멈췄다 놓쳤다    Hey Yo 한번만 돌아봐 그냥 뒷모습 보며 널 그리다 지쳤어  Hey Yo 잠깐만 멈춰봐 순간 시간 멈췄다 날 봤다
20070530,배틀,고장난 가슴,male,댄스,-,김혜선,김영인,-,후회하고 있어요 내가 많이 잘못했죠  내게 기횔 줘요 한번만 날 용서해줘요  그대 없는 하루가 왜 이렇게 쓸쓸한지  고장난 가슴에 한숨만 늘어요    내게 돌아올 수 없나요 매일 밤 잠 못 들고  눈물만 글썽이는데    우리 이젠 남인건가요 우린 정말 끝난건가요  버릇처럼 그대 집을 서성이다 마주치면  그대와 더 멀어질까봐 그대가 더 싫어할까봐  마지못해 뒷모습만 바라보며 울어요    후회하고 있어요 내가 많이 나빴어요  정말 미안해요 제발 좀 날 용서해줘요  잊으려고 할수록 보고 싶고 그리워서  고장난 가슴에 눈물만 고여요    내게 돌아 올수 없나요 매일 밤 잠 못 들고  눈물만 글썽이는데    우리 이젠 남인건가요 우린 정말 끝난건가요  버릇처럼 그대 집을 서성이다 마주치면  그대와 더 멀어질까봐 그대가 더 싫어할까봐  마지못해 뒷모습만 바라보며 울어요    거리마다 흘러나오는 노래가 다 슬퍼서 슬퍼서  걸음마다 목이메어 난 또 널    다른 사람 만나지마요 다른 사람 사귀지마요  가슴에서 피눈물이 쏟아져도 사랑해요  언젠가는 돌아 올까봐 기다리면 연락 올까봐  마지못해 뒷모습만 바라보며 살아요    (Rap)  난 못해 내 모든 건 전부 넌데 왜 자꾸 날 아프게만 해  이러지마 나 떠나가지마 다른 사랑 하지마  나 아파 눈물 나 가슴이 아려 우리라는 말도 슬퍼  내 심장엔 이미 추억이 스며 움직이질 못 하겠어  제발 한번만 고장 난 내 가슴을 헤아려줘 날 믿어줘  널 다시 한번 웃을 수 있게 해줘  행복하게 해줄게 하늘에 맹세할게 약속할게  난 영원히 널 사랑해 마치 이별한적 없었던 것처럼    고장난 가슴이 울어요
20070530,배틀,고장난 가슴 (Inst.),male,댄스,-,-,김영인,-,-
20061214,배틀,Crash (Crazy In love),male,댄스,-,박장근,장준호,-,crazy crazy in love 널 위해 달려 crazy crazy in love 모든걸 걸어 crazy crazy in love 너만을 위해 You can't stop don't stop I'll just Crash crazy crazy in love 널위해 달려 crazy crazy in love 모든걸 걸어 crazy crazy in love 너만을 위해 You can't stop don't stop I'll just Crash 초라한 내 모습이 난 지쳐가 Tell Me what you gonna do what you gonna do what you gonna do what you gonna do Tell me what you gonna do 다른 사랑에 빠져 날 떠나 가 버린 니가 자꾸 떠올라 이제 어떡해야해 Yeah 너를 지워야만 해 I'll do 그러지 못하는 날 용서해 내사랑을 Take it  I want make it Baby 내게와 이제 나를 가져가 내속에 baby I wanna I wanna I wanna 한 번더 돌아봐줘 다시 또 기회를줘 내게로 돌아와줘 돌아와줘 돌아와줘 날 받아줘 사랑을 말해 Back to love baby I wanna I wanna I wanna 한 번더 돌아봐줘 다시또 기회를줘 저하늘 태양마저 널 원해 날 받아줘 사랑을 말해 I want your love 내게로 와 너를 찾아 떠나가 Baby 커져버린 내속에 너를 지울 순 없어 내 눈물이 너를 기억하잖아 I just want your love 나를 찾지마 Can't stop Cuz I'm back I just want your love Baby boo 내게 돌아와줘 Come back 흔들리는 니맘을 내게 말해봐 너도 후회하고 있다고 다시 떠나버린걸 Yeah 너를 지워야만 해 I'll do 그러지 못하는 날 용서해 내사랑을 Take it  I want make it Baby 내게와 이제 나를 가져가 내속에 baby I wanna I wanna I wanna 한 번더 돌아봐줘 다시 또 기회를줘 내게로 돌아와줘 돌아와줘 돌아와줘 날 받아줘 사랑을 말해 Back to love baby I wanna I wanna I wanna 한 번더 돌아봐줘 다시또 기회를줘 저하늘 태양마저 널 원해 날 받아줘 사랑을 말해 I want your love 내게로 와 너를 찾아 떠나가 Baby 커져버린 내속에 너를 지울 순 없어 내 눈물이 너를 기억하잖아 I just want your love 나를 찾지마 Can't stop Cuz I'm back 그대 사랑을 감추지마 내게 단 한번 기회를 줘 넌 날 원하잖아 나를 잡아 Baby 내게와 이제 나를 가져봐 너를 내게 맡겨 내품에 안겨 baby I wanna I wanna I wanna 한 번더 돌아봐줘 다시 또 기회를줘 내게로 돌아와줘 돌아와줘 돌아와줘 날 받아줘 사랑을 말해 Back to love baby I wanna I wanna I wanna 한 번더 돌아봐줘 다시또 기회를줘 저하늘 태양마저 널 원해 날 받아줘 사랑을 말해 I want your love
20061214,배틀,Icarus,male,발라드,-,Niklas Johansson,Niklas Johansson,-,한숨을 삼켜내도 내 맘은 무거웠었지 꺾인 날개로 매일 아팠던 날들 아무리 노력해봐도 맘처럼 쉽지 않아서 주저 앉아 아이처럼 울고 싶었어 저하늘에 태양이 이젠 나를 향해와 가슴속에 담은 꿈을 모두 비춰낼거야 나를 지켜봐 어제와 다른 나 눈물도 멈춘나 저 빛을 따라 다시 걸어갈거야 AND I SWEAR 뜨거운 가슴이 더 뜨겁게 뛰도록 불꽃처럼 타오를 나의 모습을 보여줄거야 존재하나 인식되어 질수없던 시간 거친풍파에 좌초되 마지못해 했던 피난 겁쟁이같이 숨어도 찾아와 괴롭힌 고난 비난 그런나 바람처럼 방황했지만 너무 힘겹게 살아온 내인생에게 이모든게 내가슴을 태양보다 더뜨겁게 Cuz Sunshine on me and finally 저하늘을 향해 날개를 펴내 어둠을 걷어내도 내눈은 캄캄했었지 내가 걸어야 할 길을 몰라서 누군가 먼저 달려가 날 막을때마다 힘 없이 포기하고 돌아선 나였지 저 하늘에 태양이 이젠 나를 향해와 내가슴속에 꿈들을 모두 비춰낼거야 나를 지켜봐 어제와 다른 나 눈물도 멈춘나 저 빛을 따라 다시 걸어갈거야 AND I SWEAR 뜨거운 가슴이 더 뜨겁게 뛰도록 불꽃처럼 타오를 나의 모습을 보여줄거야 지금 다시 태어나 난 새롭게 됐어 바보같은 눈물도 더 흘리지 않아 나를 믿어줘 환하게 웃는나  아픔도 버린나 내꿈을 향해 다시 날아갈거야 And I swear 세상이 끝나는 그 마지막 날까지 태양처럼 눈부실 나의 모습을 보게 될거야 세상을 향해
20061214,배틀,Flying up,male,댄스,-,강봉구,Mad Soul Child,-,"What's Up I'm About to Introduce Brand New Hot Track Snap Back and Clap and Uh, Listen to My Rap With the Tight Rapper LIO Uh Now Let's Go Come On Your Say  네가 어떤 말을 해도 내겐 들리지 않았지 남들이 뭐라 해도 이심장이 뛰는건 How Come  나의 불탄 고독위로 날아 올라버린 시간들이 날 향해 외쳐댄 한마디 It's Flying Up What you See me 이미 날개 짓은 시작 됐어 너의 열정을 열어봐 It's Flying Up What you See me 이젠 두려움은 없을 거야 이 길 끝까지 날아가 ok let's go let's go 고독한 인생영화 주연은나고 날향해서 오는 저 강한폭풍도 무섭지도 두렵지도 않은걸 쉬지않고 태양과같이 뜨거운 이비트를 즐겨 내가슴에 숨겨져있는 보석을 가꿔 저하늘 비추는 새하얀 날개를 펼쳐 숨쉴수없이 어둠이 가득차 연기를 날려 uh let me go 화려한 몸짓들에 빠져들어 버린 내마음 이 보다 멋진 꿈은 없을 거라고 믿었지 I Know 허나 이런 모습들이 나의 전부는 아니지 나만의 외침들은 작은 날개로 변해가 어두웠지만 소중한시간 저멀리날아가고 상처만 남았어도 난 다시 일어서고 비껴섰던 내자신을 추슬러봐 실패가 오기가 용기가 되어 또 다시 도전해봐 새롭게 불타오르는 내 가슴의 결심 인내하다 힘내다가 끝내는 마침내 날 원하는 그곳을 향해 날개를 펴네 날아오르네 누구도 닿을수없는곳에 It's Flying Up What you See me 이미 날개 짓은 시작 됐어 너의 열정을 열어봐 It's Flying Up What you See me 이젠 두려움은 없을 거야 이 길 끝까지 날아가 You know Um Even When The Darkness Silently Falls The Light Will Always Shine I'm Not Afraid of the Suffering Huh, Spreding Out My Dream It's In Front of my Eyes The Train Without A Break Will never stop The Journey to the Greatest Future 괴로움과 고통의 신경따윈안쓰고 아품을 뛰쳐 온힘을 다쓰고 넘치는 파워 모든 것을 담어 너에게 다 보여주며 끝까지 싸워 나의 자신을 조금더 강하게 자유롭게 예전과 다르게 만들어 내기 위해 모든지 할 수가 있기에 이 인생을 이겨내 It's Flying Up What you See me 이미 날개 짓은 시작 됐어 너의 열정을 열어봐 It's Flying Up What you See me 이젠 두려움은 없을 거야 이 길 끝까지 날아가 머나먼길들을 걸었어 아무리 쓰러져도 항상다시일어섰어 불가능은없어 실패라는 단어는 나의머리속안에 존재하지않어 yo 온몸을 던지며 계속달려가 정상의 자리를 향해 난멈추지 않아 조금더 강한모습을 키워가는 나를 지켜봐 내손에있는 microphone을 꽉잡아"
