년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100406,브라운 아이드 걸스,Magic (FOI 2010 주제곡),female,댄스,-,-,-,에이팝엔터테인먼트,You like a magic 산뜻하게 떨려 맘이 자꾸 떨려 왠지 좋은일이 올 것 같아 기분좋게 떨려 살짝 뜨는 긴장마저 내겐 이상하게 달콤해 그만큼 너무나도 달콤해 그댄 너너너 모두 너너너 이게 너너너 땜에 이런가봐 너너너 기분좋은 멜로디 내게로 놀러 와요 내게로 놀러 와요 불러줘 more than more than more than ever 네가 있는 하루 시작되면 시곗바늘 소리 째깍째깍 리듬 맞춰 발걸음도 너무 가벼워 모든게 너무나도 행복해 그댄 너너너 모두 너너너 이게 너너너 땜에 이런가봐 너너너 좀더 내맘을 깨워 내게로 와요 내게로 놀러 와요 불러줘 more than more than more than ever 솜사탕 하얀 구름에 오른것 같아 사뿐사뿐 발걸음 가벼워 신난다 어제와 똑같은 하룬데 모든것이 새롭다 너를 만난 후로부터 모든게 다 다 let's go 내게로 놀러 와요 내게로 놀러 와요 불러줘 more than more than more than more than 내게로 놀러 와요 내게로 놀러 와요 불러줘 more than more than more than more than ever
20100406,브라운 아이드 걸스,Jump,female,발라드,-,윤일상,김영아,에이팝엔터테인먼트,새하얀 무대 위에 이제 모두를 위한 시간이야 잠시 모든 시간이 멈춰버린듯 눈을 감아봐 오늘을 기다렸어 항상 이 날을 위해 준비했던 얼음처럼 투명했었던 우리의 그 열정들 이 순간은 누구라도 친구처럼 같은 몸짓으로 꽃을 피우고 나비가 되고 새가 되어서 함께 느껴봐 두 팔을 활짝 펴고서 자 이제 날아올라봐 이 순간 세상은 나의 손끝에 꿈을 담고 있어 모두가 믿지 못했던 마법이 일어날거야 원하고 원하면 그 어떤 꿈도 이뤄질수 있는걸 yo 너의 손끝에서 모두가 나의 손끝에서 우리의 꿈들이 걸어 나와 나와 현실로 이뤄지는것을 바라봐라 모두 안된다 고개 돌릴때 삼켰던 땀과 눈물들 이제 영광의 빛이 이뤄내야 기쁨의 눈물이 흘러 이 순간은 누구라도 친구처럼 같은 몸짓으로 꽃을 피우고 나비가 되고 새가 되어서 함께 느껴봐 두 팔을 활짝 펴고서 자 이제 날아올라봐 이 순간 세상은 나의 손끝에 꿈을 담고 있어 모두가 믿지 못했던 마법이 일어날거야 원하고 원하면 그 어떤 꿈도 이뤄질수 있는걸 가슴을 활짝 펴고서 더 높이 날아올라봐 이순간 세상은 나의 몸짓에 꿈을 담고 있어 모두가 믿지 못했던 기적을 보여줄꺼야 원하고 원하면 그 어떤 꿈도 이뤄낼수 있는걸
20100406,브라운 아이드 걸스,Abracadabra (Fraktal FOI 2010 Re - Edit),female,댄스,-,"이민수, 지누","김이나, 미료",에이팝엔터테인먼트,Do you love her Do you love me Everynight I'll be with you 매일 너의 꿈 속에 Everynight I'll be with you Do you love her Do you love her 매일 너의 꿈 속에 Do you love me Do you love me Bring Bring 너를 내게 가져다 줘 뭐라도 난 하겠어 더한 것도 하겠어 빙빙 도는 나의 판타지에 모든 걸 걸겠어 널 내가 내가 갖겠어 라라라라라라라라라라 라라라라라라라라라라 라라라라 라라라라 Abracadabra 다 이뤄져라 Bring Bring 너를 내게 가져다 줘 뭐라도 난 하겠어 더한 것도 하겠어 빙빙 도는 나의 판타지에 모든 걸 걸겠어 널 내가 내가 갖겠어 Everynight I'll be with you Do you love her Do you love her 매일 너의 꿈 속에 Do you love me Do you love me
20100406,브라운 아이드 걸스,Magic (Inst.),female,댄스,-,-,-,에이팝엔터테인먼트,-
20100406,브라운 아이드 걸스,Jump (Guitar Ver.),female,댄스,-,-,-,에이팝엔터테인먼트,새하얀 무대 위에이제 모두를 위한 시간이야잠시 모든 시간이 멈춰버린듯눈을 감아봐오늘을 기다렸어항상 이 날을 위해 준비했던얼음처럼 투명했었던우리의 그 열정들이 순간은 누구라도친구처럼 같은 몸짓으로꽃을 피우고 나비가 되고새가 되어서 함께 느껴봐두 팔을 활짝 펴고서자 이제 날아올라봐이 순간 세상은나의 손끝에 꿈을 담고 있어모두가 믿지 못했던마법이 일어날거야원하고 원하면그 어떤 꿈도 이뤄질수 있는걸yo 너의 손끝에서 모두가나의 손끝에서우리의 꿈들이 걸어 나와 나와현실로 이뤄지는것을 바라봐라모두 안된다 고개 돌릴때삼켰던 땀과 눈물들 이제영광의 빛이 이뤄내야기쁨의 눈물이 흘러이 순간은 누구라도친구처럼 같은 몸짓으로꽃을 피우고 나비가 되고새가 되어서 함께 느껴봐두 팔을 활짝 펴고서자 이제 날아올라봐이 순간 세상은나의 손끝에 꿈을 담고 있어모두가 믿지 못했던마법이 일어날거야원하고 원하면그 어떤 꿈도 이뤄질수 있는걸가슴을 활짝 펴고서더 높이 날아올라봐이순간 세상은나의 몸짓에 꿈을 담고 있어모두가 믿지 못했던기적을 보여줄꺼야원하고 원하면그 어떤 꿈도 이뤄낼수 있는걸
20100212,브라운 아이드 걸스,Uptown Girl,female,댄스,-,-,-,에이팝엔터테인먼트,Uptown girl She's been living in her uptown world I bet she never had a back street guy I bet her mama never told her why I'm gonna try for an uptown girl She's been living in her white bread world As long as anyone with hot blood can And now she's looking for a downtown man That's what I am And when she knows what She wants from her time And when she wakes up And makes up her mind She'll see I'm not so tough Just because I'm in love with an uptown girl You know I've seen her in her uptown world She's getting tired of her high class toys And all her presents from her uptown boys She's got a choice Uptown girl You know I can't afford to buy her pearls But maybe someday when my ship comes in She'll understand what kind of guy I've been And then I'll win And when she's walking She's looking so fine And when she's talking She'll say that she's mine She'll say I'm not so tough Just because I'm in love With an uptown girl She's been living in her white bread world As long as anyone with hot blood can And now she's looking for a downtown man That's what I am Uptown girl She's my uptown girl Uptown girl my uptown girl Uptown girl my uptown girl Uptown girl my uptown girl
20100128,브라운 아이드 걸스,My Style,female,발라드,-,김이나,세인트바이너리,에이팝엔터테인먼트,"[ALL]어느 별에서 왔니 내맘 가지러 왔니  나만 알아보게 살짝쿵 니 맘 열순 없니    [제아]어떤 여잘 좋아하는지 네눈에 난 안 차는지  [가인]까탈스런 나 한 인기 하는 나  [제아]반하게 한 너잖아    Rap) My(my) style(style)  [미료]너는 완벽한 나의 왕자님  My(my) style(style)  내 이상형이야, 완전히  왠만한 남자는 맘에 차지도 않았던 난데  My(my) style(style)  헌데 난 벌써 너의 노예    [제아]보고 또 볼수록 잰 내 스타일이야  [가인]딱 내 스타일 이야  [제아]말투 성격 얼굴까지  My~ Style~  (You makes me fall in love with you)    [나르샤]어느 별에서 왔니 내맘 가지러 왔니  나만 알아보게 살짝쿵 니 맘 열순 없니  [미료](You got me, xoxo)  [ALL]어느 별에서 왔니 내 맘 속에 왜 왔니  왜 이러니 My Darling 날 꼭 애태워야 하니    [가인]정말 애인 따윈 없겠지 바람둥이완 멀겠지    [제아]별자린 뭘까 잠버릇은 뭘까    [가인]모든게 난 궁금해    Rap) My(my) style(style)  [미료]너는 적당히 무심하지  My(my) style(style)  말할 때도 툭툭 내뱉듯이 하지  나에게 관심이 없나 하면 그건 또 아니라니까, 뭔가  My(my) style(style)  이런 매력덩이, 넌 까칠하지         [가인]그런 성격마저  [제아]넌 내 스타일 이야    딱 내 스타일 이야  [가인]미워할래도 못해 난         [미료](You makes me fall in love with you)  [나르샤]어느 별에서 왔니 내맘 가지러 왔니  나만 알아보게 살짝쿵 니 맘 열순 없니  [미료](You got me xoxo)  어느 별에서 왔니 내 맘 속에 왜 왔니  왜 이러니 My Darling 날 꼭 애태워야 하니         [미료]Tic tic toc 깊이도 미치죠 Hit me boy  시간은 가 tic tic toc  내 사랑의 깊이도 깊어져 가 미치죠 나를 봐줘 Hit me boy         [가인]하늘에서 떨어졌나봐 내 맘을 다 뺐으라고      [미료]내 맘에 난리난리 나게 하지 말고 그대 빨리빨리 와줘         [미료]어느 별에서 왔니 내맘 가질러 왔니  나만 알아보게 살짝쿵 니 맘 열순 없니  [미료](You got me xoxo)  [미료]어느 별에서 왔니 내 맘 속에 왜 왔니  왜 이러니 My Darling 날 꼭 애태워야 하니         [제아]My style"
20091222,브라운 아이드 걸스,눈 내리는 마을,female,댄스,-,안영민,안영민,에이팝엔터테인먼트,hey this is the song for me and you i don't care about any presents you know why cuz all i need is you 그대도 지금 보이나요 하얗게 눈이 내려오죠 하얀 거리엔 온통 연인들의 행복한 웃음이 가득해 귓가에 들린 음악소리 멀리서 들린 그대 목소리 환하게 웃고 있는 그댈 두 팔에 가득 안고 싶어요 수많은 사람 속에 그대 하나만 보이네요 붉어진 얼굴도 눈부신 미소도 반짝반짝 빛나네요 흰 눈이 내려요 가득 내려요 그대를 만나려고 웃게 하려고 하늘이 내려준 선물이죠 세상이 하얗게 눈으로 덮혀 빛나고 있는걸요 우리 두 사람 영원히 사랑해요 우리 둘이 둘이 시원한 바람 타고 멀리멀리 눈의 나라로 어서 빨리빨리 서둘러요 시간이 없죠 there's no time yo 머리부터 발 끝까지 하늘부터 바다 끝까지 널 사랑해 my love is you you and i just keep it true 소중한 추억들도 하얀 눈처럼 쌓여가요 거리에 불빛도 울리는 음악도 우리를 축복하네요 흰 눈이 내려요 가득 내려요 그대를 만나려고 웃게 하려고 하늘이 내려 준 선물이죠 세상이 하얗게 눈으로 덮혀 빛나고 있는걸요 우리 두 사람 영원히 사랑해요 영원히 내 손 놓지 말아요 이제는 아무데도 가지 마요 이별은 절대 없다고 약속해요 그댈 사랑해요 사랑할게요 같은 하늘 아래에 우리 둘이서 영원토록 함께 살면 좋겠어요 차가운 바람이 몰아쳐와도 아무렇지 않아요 그대의 품이 따뜻하니까 my love yo 사랑이란 이유로 밤을 지새고 너만을 위한 나의 party time 오늘 밤 눈이 내리면 밤새 그리움이 내리고 baby i can't live without you you know why baby i love you 너만을 위한 나의 love song love song
20091029,브라운 아이드 걸스,Sign,female,댄스,-,미료,이민수,에이팝엔터테인먼트,숨이 가파 Mayday dot dot dot dot dot 맘이 아파 Mayday dot dot dot dot dot 시간은 또 Tic Toc 흘러만 가 Tic Toc 들리니 내 Sign Sign dot dot dot dot dot dot dot dot dot dot 마지못해서라도 dot dot dot dot dot 나를 한 번 봐 봐 환했던 나를 봐 이렇게 나 변해가 아무 말 못하고 dot dot dot dot dot It's me 바보같이 눈물만 펑펑펑 흘리는 나야 난 all day and all night 어두운 방안에 있기만 해 not all right Blah Blah Blah 아무리 말해도 내 맘을 왜 몰라 일분 일초의 순간순간이 나의 가슴을 조여와 스르륵 감기는 나의 두 눈이 주르륵 흘리는 나의 눈물이 이대로 끝이란게 두려워 난 모든게 이런 날 구해줘 제발 숨이 가파 Mayday dot dot dot dot dot 맘이 아파 Mayday dot dot dot dot dot 시간은 또 Tic Toc 흘러만 가 Tic Toc 들리니 내 Sign Sign dot dot dot dot dot dot dot dot dot dot 못한 말은 많은데 dot dot dot dot dot 제발 들어 봐 봐 이렇게 나를 봐 모르는 척 하지마 모든걸 잃은 날 dot dot dot dot dot Yo 그댄 이제는 아나요 내 맘 수천번 고백했네 난 너를 향한 사랑의 싸인 Did you get my sign sign 니가 있어야 일어 일어 나 나 니가 없어 시름 시름 앓아 외면하지 마요 날 I want you by my side side 파르르 떨리는 나의 입술이 하루를 버티지 못할 심장이 이대로 멈추는게 두려워 나 모든게 이런 날 구해줘 제발 숨이 가파 Mayday dot dot dot dot dot 맘이 아파 Mayday dot dot dot dot dot 시간은 또 Tic Toc 흘러만 가 Tic Toc 들리니 내 Sign Sign dot dot dot dot dot 내안에 니가 또 차오른다 숨을 꼭 참고 널 참아본다 널 보내면 무너질 날 알잖아 제발 숨이 가파 Mayday dot dot dot dot dot 맘이 아파 Mayday dot dot dot dot dot 시간은 또 Tic Toc 흘러만 가 Tic Toc 들리니 내 Sign Sign dot dot dot dot dot 제발 숨이 가파 Mayday dot dot dot dot dot 맘이 아파 Mayday dot dot dot dot dot 시간은 또 Tic Toc 흘러만 가 Tic Toc 들리니 내 Sign Sign dot dot dot dot dot
20091029,브라운 아이드 걸스,잠에 취해,female,발라드,-,G. 고릴라,G. 고릴라,에이팝엔터테인먼트,숨이 멎은 사람처럼 뇌를 잃은 사람처럼 온종일 이불 속에서 며칠이 지나간 걸까 눈 감아야만 보이는 눈뜨면 보이지 않는 너에 얼굴을 보려면 잠에 취해야 하니까 어쩔 수 없는 걸 감은 눈엔 눈물이 고이고 흘러내려와 베갤 적시고 눈물샘아 얼말 더 흘려야 그 앨 지울 수 있겠니 외로워서 미친 사람처럼 옅은 잠속에 널 외쳐대고 이 바보야 얼마를 더 버려야 비워버릴 수 있겠니 매일 밤 꿈속에서 난 너를 볼 수 있어 우린 마치 예전같이 사이가 좋아 보여 행복한 듯 보여 이 잠에서 깨어나고 싶지 않아 오즈의 마법사 속에 슬픈 양철인간처럼 내게 심장이 없다면 아프지 않을 것 같아 눈 감아야만 보이는 눈뜨면 보이지 않는 너에 얼굴을 보려면 잠에 취해야 하니까 그래야만 하니까 감은 눈엔 눈물이 고이고 흘러내려와 베게를 적시고 눈물샘아 얼마를 더 흘려야 그 앨 지울 수 있겠니 외로워서 미친 사람처럼 옅은 잠결에 널 외쳐대고 이 바보야 얼마를 더 버려야 비워버릴 수 있겠니 난 눈을 감아야 두 눈을 감아야 널 볼 수 있으니 널 볼 수 있으니 난 잠들 수밖에 난 그럴 수밖에 없잖니 꿈속에서나 널 불러보고 꿈속에서나 널 외쳐대고 이 바보야 얼만큼 울어야 그 앨 지울 수 있겠니 웃으며 눈을 뜨겠니
