년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100609,빅뱅,Tell Me Goodbye,male,J-POP,-,페리 ,Mohombi,(주)YG엔터테인먼트,Letting you go Letting you go Yo I got this yeah still thinking about this thing alot you got me shaken up And it got my head just spinnin' round round round round Don't wanna take a fall It's best to break it up It's gonna be better for you move on Uh huh we break it break it Or thought we make it make it And now we cover it up girl i swear 키미노 고토오 이치뵤데모 카나시마세나이 야쿠소쿠 마모루 타메니와 모 모우고레시카 에라부 미치와 나이카라 Maybe 아이시타분다케 키즈츠케테 시마우 and I've got nothing nothing to say Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 보쿠오 와스레루 코토데 지유니 나루나라 baby Tell me goodbye Tell me goodbye girl you know 키미가 에가오 나쿠시테이쿠호도 보쿠와 지분오 세메루요 나구사메루 코토바모 히카리사에모 나니모카모 미우시나우 Maybe 코노 쿠치비루가 하나레타 ��칸니 I'll never find better better than you Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 소바니 이루 코토다케가 야사시사쟈나이토 baby Tell me goodbye Tell me goodbye and it's so so Sad it just ain't happening Wish it could be better Sorry to scrapping But I just can't let ya Shouldn't be less than happy I said look at me I couldn't live with myself seeing you lacking The things you deserve Baby you was a part Must believe that it hurts that lead this world I feel the aching through my body it just takes a bigger part of me to be let you go I wish that one soul 키미노코에 세츠나쿠 fade away 카제니 카키케사레테유쿠 stay 고레 이죠와 i can't take it 소노 나미다 don't cry for me 키미노 타메 never look back again Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 소바니 이루 코토다케가 야사시사쟈나이토 baby Tell me goodbye Tell me goodbye Tell me goodbye
20100609,빅뱅,Hands Up,male,J-POP,-,G-DRAGON,G-DRAGON,(주)YG엔터테인먼트,Brand new world's coming We are the world Say Hello to the world Into my world Hello to the world We are the world Hey Ho Hey Ho Let me shake Hey Ho Hey Ho One more Time Hey Ho Hey Ho Let me shake Hey Ho Hey Ho Hands up high high and low 테토테아와세츠요쿠니깃테 Hands up high high and low Inside out just on step two step Hands up high Don't stop the beat 오레노신조 노요 니 Hands up high 니 니 니도나이코노토키 마와리노코에난테모 We don't care Let's work it Let's work it Let's work it now 미레바와카루사 코코로노메와 우마레타테노이노치노요 니 이마사 아이노카가야키하나테 Baby just 1 2 3  GO Hands up high high and low 테오토리아이치니아시츠케테 Hands up high high and low Inside out just on step two step Everybody Please Don't Stop 소노오모이칸지테 나니가오키테모 Cause we belong together Everybody Please Don't Stop You got me going Crazy Inside out just on step two step T O P Let's do it 아세루나 소노토키가쿠루노오마츠 I see now 미즈카라 셋사타쿠마시 겐자이코 츄 Pon Pon Pow what about Chu Pon Pon Down Let's work it Let's work it Let's work it now 우테바 히비쿠 히토리 히토리니 츠타와루타마시노사케비텐니 키보 노히카리 코코로니토모세 Baby just 1 2 3  GO Hands up high high and low 테토테아와세츠요쿠니깃테 Hands up high high and low Inside out just on step two step ma put your Hands up ma put your Hands up ma put your Hands up 마모리아갓테이코우 Hands up Hey Ho Hey Ho Let me shake Hey Ho Hey Ho One more Time Hey Ho Hey Ho Let me shake Hey Ho Hey Ho Hands up high high and low 테토테아와세츠요쿠니깃테 Hands up high high and low Inside out just on step two step Hands up high high and low 테오토리아이치니아시츠케테 Hands up high high and low Inside out just on step two step
20100609,빅뱅,Tell Me Goodbye (Remix),male,J-POP,-,페리 ,Mohombi,(주)YG엔터테인먼트,Letting you go Letting you go Letting you go Letting you go Yo I got this yeah still thinking about this thing alot And it got my head just spinnin' round round round Don't wanna take a fall It's best to break it up It's gonna be better for you move on Uh huh we break it break it Or thought we make it make it And now we cover it up girl i swear 키미노 고토오 이치뵤데모 카나시마세나이 야쿠소쿠 마모루 타메니와 모 모우고레시카 에라부 미치와 나이카라 Maybe 아이시타분다케 키즈츠케테 시마우 and I've got nothing nothing to say Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 보쿠오 와스레루 코토데 지유니 나루나라 baby Tell me goodbye Tell me goodbye girl you know 키미가 에가오 나쿠시테이쿠호도 보쿠와 지분오 세메루요 나구사메루 코토바모 히카리사에모 나니모카모 미우시나우 Maybe 코노 쿠치비루가 하나레타 ��칸니 I'll never find better better than you Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 소바니 이루 코토다케가 야사시사쟈나이토 baby Tell me goodbye Tell me goodbye Yo and it's so so Sad it just ain't happening Wish it could be better Sorry to scrapping But I just can't let ya Shouldn't be less than happy I said look at me I couldn't live with myself seeing you lacking The things you deserve Baby you was a part Must believe that it hurts that lead this world I feel the aching through my body it just takes a bigger part of me to be let you go I wish that one soul 키미노코에 세츠나쿠 fade away 카제니 카키케사레테유쿠 stay 고레 이죠와 i can't 소노 나미다 don't cry 키미노 타메니 i'll never look back again Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 소바니 이루 코토다케가 야사시사쟈나이토 baby Tell me goodbye Tell me goodbye Tell me goodbye
20100518,빅뱅,승리의 함성 (The Shouts Of Reds Part2) (Feat. 김연아),male,댄스,-,최희준,최희준,(주)YG엔터테인먼트,oh 대한민국 승리의 함성 oh 대한민국  oh oh oh oh oh 이제 기다림은 끝이다 새빨갛게 물들이자 굳이 우리 앞을 막아보겠다면 you're goin down We are 대한민국 let's go together 소리높여 bang bang 바로지금 shout now 붉게 물든 거센 물결위로 주먹을 꽉 쥐고 저 높은 하늘위로 전사들의 값진 땀땀 태극기 위에 Shout Shout oh oh oh oh oh 저 푸른 하늘처럼 끝이 없는 이 도전을 위해 모두의 영원한 꿈이 하나 돼 이뤄질 수 있게 우리가 원한다면 무엇이든 이겨낼 수 있어 두려움을 떨쳐내고 부딪혀봐 지금 일어서 oh 대한민국 승리의 함성 oh 대한민국 oh oh oh oh oh oh 대한민국 승리의 함성 oh 대한민국 oh oh oh oh oh 세상이 널 들을 수 있게  소리질러 우리가 Red 킬러  모두다 길을 비켜 승리의 fire 밝게 지펴 붉은 솔져 man I told ya cock and load aim and shoot We never miss miss You better kiss this 지칠 줄 모르는 열정으로 불타는 투지로 승리를 위하여 대한민국 우린 R O K 절대 멈추지마 계속해 oh oh oh oh oh 뜨거운 태양처럼 불타오르는 희망을 위해 모두의 영원한 꿈이 하나 돼 이뤄질 수 있게 우리가 원한다면 무엇이든 이겨낼 수 있어 한번 두번 또 넘어져도 꿈을 향해 다시 일어서 Oh 대한민국 승리의 함성 Oh 대한민국 oh oh oh oh oh Oh 대한민국 승리의 함성 Oh 대한민국 oh oh oh oh oh 승리를 위해 싸워라 코리아 더 이상 패배라는 말은 없다 승리를 위해 싸워라 코리아 The Shouts of Reds Oh 대한민국 승리의 함성 Oh 대한민국 oh oh oh oh oh Oh 대한민국 승리의 함성 Oh 대한민국 oh oh oh oh oh Shout We are One
20100511,빅뱅,승리의 함성 (The Shouts Of Reds Part2) (Feat. 김연아),male,댄스,-,최희준,최희준,(주)YG엔터테인먼트,오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 이제 기다림은 끝이다 새빨갛게 물들이자 굳이 우리 앞을 막아보겠다면 you're goin down We are 대한민국 let's go together 소리높여 bang bang 바로지금 shout now ok 붉게 물든 거센 물결위로 주먹을 꽉 쥐고 저 높은 하늘위로 전사들의 값진 땀땀 태극기 위에 Shout Shout 오 오 오 오 오 저 푸른 하늘처럼 끝이 없는 이 도전을 위해 모두의 영원한 꿈이 하나 돼 이뤄질 수 있게 우리가 원한다면 무엇이든 이겨낼 수 있어 두려움을 떨쳐내고 부딪혀봐 지금 일어서 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 세상이 널 들을 수 있게 소리질러 우리가 Red 킬러 모두다 길을 비켜 승리의 fire 밝게 지펴 붉은 솔져 man I told ya cock and load aim and shoot We never miss miss You better kiss this 지칠 줄 모르는 열정으로 불타는 투지로 승리를 위하여 대한민국 우린 R O K 절대 멈추지마 계속해 오 오 오 오 오 뜨거운 태양처럼 불타오르는 희망을 위해 모두의 영원한 꿈이 하나 돼 이뤄질 수 있게 우리가 원한다면 무엇이든 이겨낼 수 있어 한번 두번 또 넘어져도 꿈을 향해 다시 일어서 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 승리를 위해 싸워라 코리아 더이상 패배라는 말을 없다 승리를 위해 싸워라 코리아 the shoot red 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 Shout We are One
20100219,빅뱅,Lollipop Pt.2,male,댄스,-,G-DRAGON,테디,(주)YG엔터테인먼트,2010 BIGBANG U huh LOLLI POP it goes LOLLI POP you got style 너는 스타 모두 원하잖아 We go rock and we roll 모두 내 멋대로 이 밤이 다 지나갈 때까지 boomp boomp boomp 오로지 너만을 원하는 나 너를 감싸는 불빛이 아름다워 turn it up drop it row got to move it slow 너와 나뿐인 걸 두려워 말고 눈을 떠 show me what you got that on working it 신데렐라 그대는 빛나는 LED 구두를 신어 버린 lolli렐라 my lolli렐라 눈부신 light and it's party like your birthday 화려한 조명 속 우리 단둘 새로운 이야기를 lolli pop 2 달콤함 보단 짜릿한 내 style let's get wild Girl yo ma Lollipop oh girl yo ma Lolli Lolli Girl yo ma Lollipop hey Let's get in pop'in pop'in Girl yo ma Lollipop oh girl yo ma Lolli Lolli got it got it get down now everybody just dance now 달콤한 너의 smile 나를 미치게 해 너의 move way you talk got me loosing control 감출 수 없는 자심감 it's so 섹 시 해 이렇게 너만을 원하는 나 눈부신 너의 body는 make me go up Turn around make it up 이제 내게 맡겨 이제 시작인 걸 숨기지 말고 get it on show me what you got that a working out Lolli Lolli Lolli Pop 틱틱탁 심장은 폭발 설레는 맘 호흡곤란 원하는 것은 모두 골라 굳이 설명은 필요없어 you know me 잘 지내는 남자 T O P wanna rumble me 나를 느껴 I'm a 검은 띠 from Double B Girl yo ma Lollipop oh girl yo ma Lolli Lolli Girl yo ma Lollipop hey Let's get in pop'in pop'in Girl yo ma Lollipop oh girl yo ma Lolli Lolli got it got it get down now everybody just dance now stop Now here she comes she wants some of my lollipop she touch on ma body let's thing wanna rock now here come up give it you straight up n down now here a come here I come come come come come Girl yo ma Lollipop oh girl yo ma Lolli Lolli Girl yo ma Lollipop hey Let's get in pop'in pop'in Girl yo ma Lollipop oh girl yo ma Lolli Lolli got it got it get down now everybody just dance now Girl yo ma Lollipop oh girl yo ma Lolli Lolli Girl yo ma Lollipop hey Let's get in pop'in pop'in Girl yo ma Lollipop oh girl yo ma Lolli Lolli got it got it get down now everybody just dance now
20100609,빅뱅,Tell Me Goodbye,male,J-POP,-,페리 ,Mohombi,(주)YG엔터테인먼트,Letting you go Letting you go Yo I got this yeah still thinking about this thing alot you got me shaken up And it got my head just spinnin' round round round round Don't wanna take a fall It's best to break it up It's gonna be better for you move on Uh huh we break it break it Or thought we make it make it And now we cover it up girl i swear 키미노 고토오 이치뵤데모 카나시마세나이 야쿠소쿠 마모루 타메니와 모 모우고레시카 에라부 미치와 나이카라 Maybe 아이시타분다케 키즈츠케테 시마우 and I've got nothing nothing to say Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 보쿠오 와스레루 코토데 지유니 나루나라 baby Tell me goodbye Tell me goodbye girl you know 키미가 에가오 나쿠시테이쿠호도 보쿠와 지분오 세메루요 나구사메루 코토바모 히카리사에모 나니모카모 미우시나우 Maybe 코노 쿠치비루가 하나레타 ��칸니 I'll never find better better than you Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 소바니 이루 코토다케가 야사시사쟈나이토 baby Tell me goodbye Tell me goodbye and it's so so Sad it just ain't happening Wish it could be better Sorry to scrapping But I just can't let ya Shouldn't be less than happy I said look at me I couldn't live with myself seeing you lacking The things you deserve Baby you was a part Must believe that it hurts that lead this world I feel the aching through my body it just takes a bigger part of me to be let you go I wish that one soul 키미노코에 세츠나쿠 fade away 카제니 카키케사레테유쿠 stay 고레 이죠와 i can't take it 소노 나미다 don't cry for me 키미노 타메 never look back again Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 소바니 이루 코토다케가 야사시사쟈나이토 baby Tell me goodbye Tell me goodbye Tell me goodbye
20100609,빅뱅,Hands Up,male,J-POP,-,G-DRAGON,G-DRAGON,(주)YG엔터테인먼트,Brand new world's coming We are the world Say Hello to the world Into my world Hello to the world We are the world Hey Ho Hey Ho Let me shake Hey Ho Hey Ho One more Time Hey Ho Hey Ho Let me shake Hey Ho Hey Ho Hands up high high and low 테토테아와세츠요쿠니깃테 Hands up high high and low Inside out just on step two step Hands up high Don't stop the beat 오레노신조 노요 니 Hands up high 니 니 니도나이코노토키 마와리노코에난테모 We don't care Let's work it Let's work it Let's work it now 미레바와카루사 코코로노메와 우마레타테노이노치노요 니 이마사 아이노카가야키하나테 Baby just 1 2 3  GO Hands up high high and low 테오토리아이치니아시츠케테 Hands up high high and low Inside out just on step two step Everybody Please Don't Stop 소노오모이칸지테 나니가오키테모 Cause we belong together Everybody Please Don't Stop You got me going Crazy Inside out just on step two step T O P Let's do it 아세루나 소노토키가쿠루노오마츠 I see now 미즈카라 셋사타쿠마시 겐자이코 츄 Pon Pon Pow what about Chu Pon Pon Down Let's work it Let's work it Let's work it now 우테바 히비쿠 히토리 히토리니 츠타와루타마시노사케비텐니 키보 노히카리 코코로니토모세 Baby just 1 2 3  GO Hands up high high and low 테토테아와세츠요쿠니깃테 Hands up high high and low Inside out just on step two step ma put your Hands up ma put your Hands up ma put your Hands up 마모리아갓테이코우 Hands up Hey Ho Hey Ho Let me shake Hey Ho Hey Ho One more Time Hey Ho Hey Ho Let me shake Hey Ho Hey Ho Hands up high high and low 테토테아와세츠요쿠니깃테 Hands up high high and low Inside out just on step two step Hands up high high and low 테오토리아이치니아시츠케테 Hands up high high and low Inside out just on step two step
20100609,빅뱅,Tell Me Goodbye (Remix),male,J-POP,-,페리 ,Mohombi,(주)YG엔터테인먼트,Letting you go Letting you go Letting you go Letting you go Yo I got this yeah still thinking about this thing alot And it got my head just spinnin' round round round Don't wanna take a fall It's best to break it up It's gonna be better for you move on Uh huh we break it break it Or thought we make it make it And now we cover it up girl i swear 키미노 고토오 이치뵤데모 카나시마세나이 야쿠소쿠 마모루 타메니와 모 모우고레시카 에라부 미치와 나이카라 Maybe 아이시타분다케 키즈츠케테 시마우 and I've got nothing nothing to say Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 보쿠오 와스레루 코토데 지유니 나루나라 baby Tell me goodbye Tell me goodbye girl you know 키미가 에가오 나쿠시테이쿠호도 보쿠와 지분오 세메루요 나구사메루 코토바모 히카리사에모 나니모카모 미우시나우 Maybe 코노 쿠치비루가 하나레타 ��칸니 I'll never find better better than you Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 소바니 이루 코토다케가 야사시사쟈나이토 baby Tell me goodbye Tell me goodbye Yo and it's so so Sad it just ain't happening Wish it could be better Sorry to scrapping But I just can't let ya Shouldn't be less than happy I said look at me I couldn't live with myself seeing you lacking The things you deserve Baby you was a part Must believe that it hurts that lead this world I feel the aching through my body it just takes a bigger part of me to be let you go I wish that one soul 키미노코에 세츠나쿠 fade away 카제니 카키케사레테유쿠 stay 고레 이죠와 i can't 소노 나미다 don't cry 키미노 타메니 i'll never look back again Tell me goodbye Tell me goodbye 다키시메타 테오 Tell me goodbye Tell me goodbye 하나소 소바니 이루 코토다케가 야사시사쟈나이토 baby Tell me goodbye Tell me goodbye Tell me goodbye
20100518,빅뱅,승리의 함성 (The Shouts Of Reds Part2) (Feat. 김연아),male,댄스,-,최희준,최희준,(주)YG엔터테인먼트,oh 대한민국 승리의 함성 oh 대한민국  oh oh oh oh oh 이제 기다림은 끝이다 새빨갛게 물들이자 굳이 우리 앞을 막아보겠다면 you're goin down We are 대한민국 let's go together 소리높여 bang bang 바로지금 shout now 붉게 물든 거센 물결위로 주먹을 꽉 쥐고 저 높은 하늘위로 전사들의 값진 땀땀 태극기 위에 Shout Shout oh oh oh oh oh 저 푸른 하늘처럼 끝이 없는 이 도전을 위해 모두의 영원한 꿈이 하나 돼 이뤄질 수 있게 우리가 원한다면 무엇이든 이겨낼 수 있어 두려움을 떨쳐내고 부딪혀봐 지금 일어서 oh 대한민국 승리의 함성 oh 대한민국 oh oh oh oh oh oh 대한민국 승리의 함성 oh 대한민국 oh oh oh oh oh 세상이 널 들을 수 있게  소리질러 우리가 Red 킬러  모두다 길을 비켜 승리의 fire 밝게 지펴 붉은 솔져 man I told ya cock and load aim and shoot We never miss miss You better kiss this 지칠 줄 모르는 열정으로 불타는 투지로 승리를 위하여 대한민국 우린 R O K 절대 멈추지마 계속해 oh oh oh oh oh 뜨거운 태양처럼 불타오르는 희망을 위해 모두의 영원한 꿈이 하나 돼 이뤄질 수 있게 우리가 원한다면 무엇이든 이겨낼 수 있어 한번 두번 또 넘어져도 꿈을 향해 다시 일어서 Oh 대한민국 승리의 함성 Oh 대한민국 oh oh oh oh oh Oh 대한민국 승리의 함성 Oh 대한민국 oh oh oh oh oh 승리를 위해 싸워라 코리아 더 이상 패배라는 말은 없다 승리를 위해 싸워라 코리아 The Shouts of Reds Oh 대한민국 승리의 함성 Oh 대한민국 oh oh oh oh oh Oh 대한민국 승리의 함성 Oh 대한민국 oh oh oh oh oh Shout We are One
20100511,빅뱅,승리의 함성 (The Shouts Of Reds Part2) (Feat. 김연아),male,댄스,-,최희준,최희준,(주)YG엔터테인먼트,오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 이제 기다림은 끝이다 새빨갛게 물들이자 굳이 우리 앞을 막아보겠다면 you're goin down We are 대한민국 let's go together 소리높여 bang bang 바로지금 shout now ok 붉게 물든 거센 물결위로 주먹을 꽉 쥐고 저 높은 하늘위로 전사들의 값진 땀땀 태극기 위에 Shout Shout 오 오 오 오 오 저 푸른 하늘처럼 끝이 없는 이 도전을 위해 모두의 영원한 꿈이 하나 돼 이뤄질 수 있게 우리가 원한다면 무엇이든 이겨낼 수 있어 두려움을 떨쳐내고 부딪혀봐 지금 일어서 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 세상이 널 들을 수 있게 소리질러 우리가 Red 킬러 모두다 길을 비켜 승리의 fire 밝게 지펴 붉은 솔져 man I told ya cock and load aim and shoot We never miss miss You better kiss this 지칠 줄 모르는 열정으로 불타는 투지로 승리를 위하여 대한민국 우린 R O K 절대 멈추지마 계속해 오 오 오 오 오 뜨거운 태양처럼 불타오르는 희망을 위해 모두의 영원한 꿈이 하나 돼 이뤄질 수 있게 우리가 원한다면 무엇이든 이겨낼 수 있어 한번 두번 또 넘어져도 꿈을 향해 다시 일어서 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 승리를 위해 싸워라 코리아 더이상 패배라는 말을 없다 승리를 위해 싸워라 코리아 the shoot red 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 오 대한민국 승리의 함성 오 대한민국 오 오 오 오 오 Shout We are One
