년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101215,슈퍼주니어,입술을 깨물고,male,"댄스, 국내드라마",-,배화영,오승은,(주)SM엔터테인먼트,숨이 차오르게 끝까지 달린다  칼 같은 시린 바람이 가슴을 때려도  쓰러져 눈물이 날 땐  입술을 깨물고 버틸게  마지막 기억될 사람  내가 될 테니까 내가 될 테니까  아무것도 가로 막을 수는 없어  이기지 못할 게임이라도  어두운 미로 속 한줌 빛을 찾아  접은 날개를 펼칠 거야  가보지 못한 길을 간다는 건  두려움보다 한발 기대 앞서  정해진 룰에 맞춰가진 않아  삶에 정답은 없으니까  숨이 차오르게 끝까지 달린다  칼 같은 시린 바람이 가슴을 때려도  쓰러져 눈물이 날 땐  입술을 깨물고 버틸게  마지막 기억될 사람  내가 될 테니까 내가 될 테니까    너를 끝까지 지켜내지 못한  그때 내 모습 용서해주겠니  가슴 한 켠에 깊이 숨겨두고  행복하기를 빌어본다  숨이 차오르게 끝까지 달린다  칼 같은 시린 바람이 가슴을 때려도  쓰러져 눈물이 날 땐  입술을 깨물고 버틸게  마지막 기억될 사람  내가 될 테니까 내가 될 테니까  시계를 돌려 그때로 간다면  약속해 니 곁에 남겠다고  짧았던 사랑에 길던 그리움에  홀로 남겨둬서 미안해  뜨거운 내 가슴 멈추지 않는다  단 한 번뿐인 이 삶에 모든걸 걸었다  두 눈은 오늘보다  더 다가올 내일을 기다려  영원히 기억될 사람  내가 될 테니까 내가 될 테니까
20101215,슈퍼주니어,입술을 깨물고 (Inst.),male,댄스,-,-,오승은,(주)SM엔터테인먼트,-
20101105,슈퍼주니어,Angel (Ballade Ver.),male,"발라드, 국내드라마",-,은종태,오준성,(주)SM엔터테인먼트,너는 너무 눈이 부셔 니가 있어 내 심장이 뛰어 오직 너만이 나에겐 넘버원 널 사랑해 조금만 더 너 다가와 줘 너의 손을 꼭 잡고 싶어 이 노래는 only for you 영원히 사랑해 I need your love love love 너의 두 눈을 보면서 약속해 네 곁에서 너만 사랑하는 맘 지킬게 Baby needs your love love love 너의 사랑 하나로 난 충분해 모든 것을 다 잃어도 너만은 절대 놓치진 않을 거야 You are my everything my love 내겐 너만이 보여 자꾸 네가 생각나 언제나 나는 웃을 수 있어 You are my everything my heart 너는 나에게 있어 천사보다 더 아름다워 너 하나만을 사랑할거야 네 생각에 나도 몰래 웃음이 나고 원래 난 사랑이란 건 믿지 않았어 너는 마치 마법처럼 내 안에 들어왔어 My boo 이제는 사랑에 빠져버린 바보 전부 너 때문인 걸 It's you I fall in love with you 난 그저 널 바라보겠다고 약속해 That I'll never let you go 세상이 모두 끝나버린대도 멈추지 않는 시계처럼 널 사랑하겠다고 I need your love love love 너의 두 눈을 보면서 약속해 네 곁에서 너만 사랑하는 맘 지킬게 Baby needs your love love love 너의 사랑 하나로 난 충분해 모든 것을 다 잃어도 너만은 절대 놓치진 않을 거야 You are my everything my love 내겐 너만이 보여 자꾸 네가 생각나 언제나 나는 웃을 수 있어 You are my everything my heart 너는 나에게 있어 천사보다 더 아름다워 너 하나만을 사랑할거야 혹시라도 가끔 우리 사랑이 조금씩 삐걱대고 지치거나 힘들어 보일 때도 있어 하지만 절대 내 손 놓지 말아 언제나 널 지켜 줄 내가 있어 I love you forever 꿈만 같아 지금도 믿을 수가 없어 너와 함께 라는 게 난 만족해 내 삶의 끝에 이대로 함께 이길 바래 순간의 달콤한 첫 키스 보단 마지막 사랑 이길 원해
20101105,슈퍼주니어,Angel,male,국내드라마,-,은종태,오준성,(주)SM엔터테인먼트,너는 너무 눈이 부셔 니가 있어 내 심장이 뛰어 오직 너만이 나에겐 넘버원 널 사랑해 조금만 더 너 다가와 줘 너의 손을 꼭 잡고 싶어 이 노래는 only for you 영원히 사랑해 I need your love love love 너의 두 눈을 보면서 약속해 네 곁에서 너만 사랑하는 맘 지킬게 Baby needs your love love love 너의 사랑 하나로 난 충분해 모든 것을 다 잃어도 너만은 절대 놓치진 않을 거야 You are my everything my love 내겐 너만이 보여 자꾸 네가 생각나 언제나 나는 웃을 수 있어 You are my everything my heart 너는 나에게 있어 천사보다 더 아름다워 너 하나만을 사랑할거야 네 생각에 나도 몰래 웃음이 나고 원래 난 사랑이란 건 믿지 않았어 너는 마치 마법처럼 내 안에 들어왔어 My boo 이제는 사랑에 빠져버린 바보 전부 너 때문인 걸 It's you I fall in love with you 난 그저 널 바라보겠다고 약속해 That I'll never let you go 세상이 모두 끝나버린대도 멈추지 않는 시계처럼 널 사랑하겠다고 I need your love love love 너의 두 눈을 보면서 약속해 네 곁에서 너만 사랑하는 맘 지킬게 Baby needs your love love love 너의 사랑 하나로 난 충분해 모든 것을 다 잃어도 너만은 절대 놓치진 않을 거야 You are my everything my love 내겐 너만이 보여 자꾸 네가 생각나 언제나 나는 웃을 수 있어 You are my everything my heart 너는 나에게 있어 천사보다 더 아름다워 너 하나만을 사랑할거야 혹시라도 가끔 우리 사랑이 조금씩 삐걱대고 지치거나 힘들어 보일 때도 있어 하지만 절대 내 손 놓지 말아 언제나 널 지켜 줄 내가 있어 I love you forever 꿈만 같아 지금도 믿을 수가 없어 너와 함께 라는 게 난 만족해 내 삶의 끝에 이대로 함께 이길 바래 순간의 달콤한 첫 키스 보단 마지막 사랑 이길 원해
20101008,슈퍼주니어,Angel,male,발라드,-,은종태,오준성,(주)SM엔터테인먼트,너는 너무 눈이 부셔 니가 있어 내 심장이 뛰어 오직 너만이 나에겐 넘버원 널 사랑해 조금만 더 너 다가와 줘 너의 손을 꼭 잡고 싶어 이 노래는 only for you 영원히 사랑해 I need your love love love 너의 두 눈을 보면서 약속해 네 곁에서 너만 사랑하는 맘 지킬게 Baby needs your love love love 너의 사랑 하나로 난 충분해 모든 것을 다 잃어도 너만은 절대 놓치진 않을 거야 You are my everything my love 내겐 너만이 보여 자꾸 네가 생각나 언제나 나는 웃을 수 있어 You are my everything my heart 너는 나에게 있어 천사보다 더 아름다워 너 하나만을 사랑할거야 네 생각에 나도 몰래 웃음이 나고 원래 난 사랑이란 건 믿지 않았어 너는 마치 마법처럼 내 안에 들어왔어 My boo 이제는 사랑에 빠져버린 바보 전부 너 때문인 걸 It's you I fall in love with you 난 그저 널 바라보겠다고 약속해 That I'll never let you go 세상이 모두 끝나버린대도 멈추지 않는 시계처럼 널 사랑하겠다고 I need your love love love 너의 두 눈을 보면서 약속해 네 곁에서 너만 사랑하는 맘 지킬게 Baby needs your love love love 너의 사랑 하나로 난 충분해 모든 것을 다 잃어도 너만은 절대 놓치진 않을 거야 You are my everything my love 내겐 너만이 보여 자꾸 네가 생각나 언제나 나는 웃을 수 있어 You are my everything my heart 너는 나에게 있어 천사보다 더 아름다워 너 하나만을 사랑할거야 혹시라도 가끔 우리 사랑이 조금씩 삐걱대고 지치거나 힘들어 보일 때도 있어 하지만 절대 내 손 놓지 말아 언제나 널 지켜 줄 내가 있어 I love you forever 꿈만 같아 지금도 믿을 수가 없어 너와 함께 라는 게 난 만족해 내 삶의 끝에 이대로 함께 이길 바래 순간의 달콤한 첫 키스 보단 마지막 사랑 이길 원해
20100816,슈퍼주니어,똑똑똑,male,성인가요,-,ROZ,ROZ,(주)SM엔터테인먼트,똑똑똑 똑똑똑 사랑의 노크 똑똑똑 보면 볼수록 정이 가는 사람 보면 볼수록 웃음 나는 사람 당신과 있을 땐 행복하지만 하지만 내게도 걱정 있어요 당신은 내게 과분한 사람이지만 하지만 너무 빠른 건 싫어 똑똑똑 내 마음에 노크를 해줘요 나는 아직 준비가 안됐어요 똑똑똑 똑똑똑 나의 사람아 사랑의 노크 해 줘요 알면 알수록 진국인 사람 알면 알수록 더 알고 싶은 사람 당신은 내가 콕 찍은 사람 하지만 내게도 걱정 있어요 당신은 내게 과분한 사람이지만 하지만 너무 빠른 건 싫어 똑똑똑 내 마음에 노크를 해줘요 나는 아직 준비가 안됐어요 똑똑똑 똑똑똑 나의 사람아 사랑의 노크 해 줘요 그립습니다 사랑합니다 나는 오직 그대 그대뿐이죠 똑똑똑 내 마음에 노크를 해줘요 똑똑똑 내 사랑에 노크를 해줘요 노크 해줘요 나는 아직 준비가 안됐어요 똑똑똑 똑똑똑 노크를 해줘요 사랑의 노크 해 줘요 똑똑똑 똑똑똑 나의 사람아 사랑의 노크 해 줘요 라라라라라라 에 라라라라라라 사랑의 노크 똑똑똑
20100720,슈퍼주니어,"강심장 로고송 (Feat. 이특,은혁,신동,동해)",male,댄스,-,동해 (DONGHAE),동해 (DONGHAE),(주)SM엔터테인먼트,Here's my song Super Junior 강호동과 함께 강심장 강심장 강심장 강심장 널 보면 어느새 내 입가에 미소만 몰래 방긋 방긋 방긋 이승기와 함께 강심장 강심장 강심장 강심장 너라면 좋아 난 그냥 좋아 다같이 라 라 라 라 혹시나 하는 걱정은 버려 널 위한 무대 네가 바로 주인공 사랑 story 행복 story 눈물 story yo my story 언제나처럼 바로 지금처럼 멈춰있지 말고 널 위해 달려 넌 혼자가 아냐 넌 혼자가 아냐 넌 혼자가 아냐 You don't have to cry 특기가요 날 두고 떠나지말아요 다시 불러 본다 이특 은혁 신동 차례대로 줄 맞춰 쿵쿵따리 쿵쿵따 쿵쿵따리 강심장 특기가요 날 두고 떠나지말아요 다시 불러 본다 이특 은혁 신동 차례대로 줄 맞춰 쿵쿵따리 쿵쿵따 쿵쿵따리 강심장 강호동과 함께 강심장 강심장 강심장 강심장 널 보면 어느새 내 입가에 미소만 몰래 방긋 방긋 방긋 이승기와 함께 강심장 강심장 강심장 강심장 너라면 좋아 난 그냥 좋아 다같이 라 라 라 라
20100628,슈퍼주니어,미인아(Bonamana),male,댄스,-,유영진,유영진,(주)SM엔터테인먼트,나를 바라봐라 딴따란딴 딴따란딴 딴따란딴 따다따라빠 딴따란딴 딴따란딴 딴따란딴 따다따라빠 넌 알까말까 알까말까 너무 예쁜 미인아 날 미쳤다고 말해도 난 니가 좋다 미인아 누가 전해줘 My Baby To My Baby 내가 여기 있다고 말야 기다린다 말야 넌 가타부타 가타부타 말 좀 해라 미인아 니 마음을 가졌다면 그냥 나는 삶의 Winner 이 세상의 이치란 이치란 용기 있는 자를 따라 나 같은 놈 말야 옛말에 Say 열번 찍으면 넘어간다 으쓱 으쓱 으쓱 그녀는 강적 끄떡없다 삐쭉 삐쭉 삐쭉 난 어떡할까 어떡할까 그녀만이 내 관심인 걸 걸 걸 Bounce To You Bounce To You 내 가슴은 널 향해 잡힐 수도 없을만큼 뛰고있는 걸 Break It Down To You Down To You 내 가슴이 너 널 갖지 못한다면 멈출거란다 날 바라봐라 볼까말까 볼까말까 볼까말까 나 같은 남자 본체만체 본체만체 본체만체 돌아서 봐도 보고봐도 보고봐도 보고봐도 나밖에 없다 보나마나 보나마나 보나마나 뭘 살까 살까 살까 살까 너를 위한 선물 오 미치겠다 생각만 해도 좋아할 니 모습 Listen Girl 좋아해 Baby Girl 사랑해 나만이 너를 위한 남자 들어줘봐 너를 향한 고백 내 맘의 Say 애만 태우지 말고 제발 끄덕 끄덕 끄덕 이 노력 정도면 나라도 구해 기특 기특 기특 난 어떡하라고 어떡하라고 그녀만이 내 전부인 걸 걸 걸 Bounce To You Bounce To You 내 가슴은 널 향해 잡힐 수도 없을만큼 뛰고있는 걸 Break It Down To You Down To You 내 가슴이 너 널 갖지 못한다면 멈출거란다 날 바라봐라 볼까말까 볼까말까 볼까말까 나 같은 남자 본체만체 본체만체 본체만체 돌아서 봐도 보고봐도 보고봐도 보고봐도 나밖에 없다 보나마나 보나마나 보나마나 나밖에 없다 없다 없다 없다 없다 난 드뎌 미칠거야 폭발해 버릴거야 더 못 참겠어 그녀만의 밀고 당기기 오 진짜 미칠거야 누가 좀 말려봐봐 이렇게 힘들거란 걸 누가 말했어야지 True True 내 감정은 갈 곳이 없어 네게 맞춰 버린걸 넌 잘 알잖니 How To Keep Loving You 내가 진짜 네게 잘할게 이대로 날 썩혀 두지마 기다린다 미인아 Hope You'll Step To Me Step To Me 사랑한다 미인아 Bring It Sign To Me Sign To Me 하하하하 하하하하하 그녀가 이미 날 바라볼 준비가 돼 있었나봐 Bounce To You Bounce To You 내 가슴은 널 향해 잡힐 수도 없을만큼 뛰고있는 걸 Break It Down To You Down To You 내 가슴이 너 널 갖지 못한다면 멈출거란다 날 바라봐라 볼까말까 볼까말까 볼까말까 나 같은 남자 본체만체 본체만체 본체만체 돌아서 봐도 보고봐도 보고봐도 보고봐도 나밖에 없다 보나마나 보나마나 보나마나 나밖에 없다 없다 없다 없다 없다
20100628,슈퍼주니어,너 같은 사람 또 없어 (No Other),male,댄스,-,Ryan S. Jhun,Ryan S. Jhun,(주)SM엔터테인먼트,너 같은 사람 또 없어 주위를 둘러봐도 그저 그렇던 걸 어디서 찾니 너같이 좋은 사람 너같이 좋은 사람 너같이 좋은 마음 너같이 좋은 선물 너무 다행이야 애써 너를 지켜줄 그 사람이 바로 나라서 어디서 찾니 나같이 행복한 놈 나같이 행복한 놈 나같이 웃는 그런 최고로 행복한 놈 너의 따뜻한 그 두 손이 차갑게 차갑게 식어 있을 때 너의 강했던 그 마음이 날카롭게 상처 받았을 때 내가 잡아줄게 안아줄게 살며시 그것으로 작은 위로만 된다면 좋겠어 언제나 더 많은 걸 해주고 싶은 내 맘 넌 다 몰라도 돼 가슴이 소리쳐 말해 자유로운 내 영혼 언제나 처음의 이 마음으로 너를 사랑해 걸어왔던 시간보다 남은 날이 더 많아 너 같은 사람 또 없어 주위를 둘러봐도 그저 그렇던 걸 어디서 찾니 너같이 좋은 사람 너같이 좋은 사람 너같이 좋은 마음 너같이 좋은 선물 너무 다행이야 애써 너를 지켜줄 그 사람이 바로 나라서 어디서 찾니 나같이 행복한 놈 나같이 행복한 놈 나같이 웃는 그런 최고로 행복한 놈 나의 가난했던 마음이 눈부시게 점점 변해갈 때 작은 욕심들이 더는 넘치지 않게 내 맘의 그릇 커져갈 때 알고 있어 그 모든 이유는 분명히 네가 있어주었다는 것 그것 딱 하나 뿐 언제나 감사해 내가 너만큼 그리 잘 할 수 있겠니 가슴이 소리쳐 말해 자유로운 내 영혼 언제나 처음의 이 마음으로 너를 사랑해 걸어왔던 시간보다 남은 날이 더 많아 너 같은 사람 또 없어 주위를 둘러봐도 그저 그렇던 걸 어디서 찾니 너같이 좋은 사람 너같이 좋은 사람 너같이 좋은 마음 너같이 좋은 선물 너무 다행이야 애써 너를 지켜줄 그 사람이 바로 나라서 어디서 찾니 나같이 행복한 놈 나같이 행복한 놈 나같이 웃는 그런 최고로 행복한 놈 있잖아 조금 아주 조금 나 수줍지만 넌 몰라 속은 태양보다 뜨거워 내 맘 좀 알아줘 TV쇼에 나오는 Girl들은 무대에서 빛이 난데도 넌 언제나 눈부셔 내가 미쳐 미쳐 Baby 사랑한단 너의 말에 세상을 다 가진 난 You & I You're so fine 너 같은 사람 있을까 사랑해 오 내게는 오직 너뿐이란 걸 바보 같은 나에게는 전부라는 걸 알아줘 같은 길을 걸어왔어 우린 서로 닮아가고 있잖아 놀라울 뿐이야 고마울 뿐이야 사랑할 뿐이야 너 같은 사람 또 없어 주위를 둘러봐도 그저 그렇던 걸 어디서 찾니 너같이 좋은 사람 너같이 좋은 사람 너같이 좋은 마음 너같이 좋은 선물 너무 다행이야 애써 너를 지켜줄 그 사람이 바로 나라서 어디서 찾니 나같이 행복한 놈 나같이 행복한 놈 나같이 웃는 그런 최고로 행복한 놈 너 같은 사람 또 없어
20100628,슈퍼주니어,Shake It Up! (Remix Ver.),male,댄스,-,Ryan S. Jhun,Ryan S. Jhun,(주)SM엔터테인먼트,자 일어나 자 일어나 다 이리와 다 이리와 막 흔들어 니 생각 모두 Just shake it up Shake it up 자 일어나 자 일어나 다 이리와 다 이리와 막 흔들어 니 생각 모두 Just shake it up Shake it up Shake it up Shake it up 불안 불안해 늘 조마조마해 삶이 정말 즐겁니 yeah 매일 딱딱한 밋밋한 너무너무 소심한 그런 니가 너도 이젠 지겹니 한번 주먹 쥐고 Cool 하게 하고 싶은 소리 질러봐 세상은 네거야 만드는거야 생각을 흔들어 Uh Shake it up Shake it up Shake it up 빠르게 또 가끔은 천천히 겁먹지마 Nice n Slow 멀쩡한 세상에 특별한 니가 주인공 You can change the world 돌아보면 어지러워 미친 듯이 Let's dance 놓지마 One chance 춤추고 싶을 땐 상관 말고 즐겨 리듬에 맡겨 건들지마 다쳐 제발 하지마 관두자 너랑 안 어울려 이런 말들 Shake it up 한번 가슴 펴고 Chic하게 너를 사랑한다 말해봐 사랑은 있잖아 만드는거야 생각을 흔들어 Shake it up Shake it up Shake it up 하루하루 반복되는 생활 이젠 Shake it up 자꾸자꾸 생각나는 슬픔 이젠 Shake it up 세상 별거 있어 그대에게 달렸어 Oh Oh 흔들어 Ah Just shake it up shake it up Shake it up Shake it up Shake it up Shake it up
