년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20090210,씽,사랑,male,발라드,-,김태원,김태원,씽엔터테인먼트,사랑이었던걸 모르고 만났었다면 헤어진 후 느끼게 된다고 시간이 흘러서 보고싶어질쯤 아픔이란게 찾아오고 알수없는 그 어느날에 그리움이 다가오고 돌아가려 해보면 이미 멀어져가는 슬픈 얘기가 만들어지고 고마워요 내 마음속에 그토록 오랫동안 살아와줘서 지쳐가던 시간에 그대를 생각하면서 내가 일어설 수 있게 해준 그대 알수없는 그 어느날에 외로움이 다가오고 돌아가려 해보면 이미 멀어져가는 슬픈 얘기가 만들어지고 고마워요 내 마음속에 그토록 오랫동안 살아와줘서 지쳐가던 시간에 그대를 생각하면서 내가 일어설 수 있게 해준 사랑해요 기억이 나요 언제나 간직할수 있었기에 너무 늦었지만 너무 몰랐었지만 사랑이란걸 알게 해 준 그대 지금도 잊혀지질않는 너의 모습에 오늘도 잠못드는 밤에 하늘을 보며 별안에 너의 모습 하나둘씩 그리며 추억에 잠기며 눈물이 흐르며 사랑했나봐 너무나 그리운가봐 하루를 살아도 역시 나는 너뿐인가봐 사랑했나봐 너무나 그리운가봐 하루를 살아도 역시 나는 너뿐인걸
20090107,씽,사랑 (GT Ver.),male,발라드,-,-,-,씽엔터테인먼트,사랑이었던걸 모르고 만났었다면 헤어진 후 느끼게 된다고 시간이 흘러서 보고싶어질쯤 아픔이란게 찾아오고 알 수 없는 그 어느날에 그리움이 다가오고 돌아가려 해보면 이미 멀어져 가는 슬픈 얘기가 만들어 지고 고마워요 내 마음속에 그토록 오랫동안 살아와 줘서 지쳐가던 시간을 그대를 생각하면서 내가 일어설 수 있게 해준 그대 알 수 없는 그 어느날에 외로움이 다가오고 돌아가려 해보면 이미 멀어져 가는 슬픈 얘기가 만들어 지고 고마워요 내 마음속에 그토록 오랫동안 살아와 줘서 지쳐가던 시간을 그대를 생각하면서 내가 일어설 수 있게 해준 사랑해요 기억이나요 언제나 간직할 수 있었기에 너무나 좋지만 너무 몰랐었지만 사랑이란걸 알게 해준 그대
20090107,씽,사랑 (Rap Ver.),male,발라드,-,-,-,씽엔터테인먼트,사랑이었던 걸 모르고 만났었다면 헤어진 후 느끼게 된다고 시간이 흘러서 보고 싶어질 쯤 아픔이란 게 찾아오고 알 수 없는 그 어느 날에 그리움이 다가오고 돌아가려 해보면 이미 멀어져 가는 슬픈 얘기가 만들어지고 고마워요 내 마음 속에 그토록 오랫동안 살아와줘서 지쳐가던 시간에 그대를 생각하면서 내가 일어설 수 있게 해준 그대 알 수 없는 그 어느 날에 외로움이 다가오고 돌아가려 해보면 이미 멀어져 가는 슬픈 얘기가 만들어지고 고마워요 내 마음속에 그토록 오랫동안 살아와줘서 지쳐가던 시간에 그대를 생각하면서 내가 일어설 수 있게 해준 사랑해요 기억이 나요 언제나 간직할 수 있었기에 너무 늦었지만 너무 몰랐었지만 사랑이 란걸 알게 해준 그대 지금도 잊혀지지 않는 너의 모습에 오늘도 잠 못 드는 밤에 하늘을 보며 별 하나 너의 모습 하나 둘씩 그리며 추억에 잠기면 눈물이 흐르면 사랑했나봐 너무나 그리운 가봐 하루를 살아도 역시 나는 너 뿐인가 봐 사랑했나봐 너무나 그리운 가봐 하루를 살아도 역시 나는 너 뿐인 걸
20090107,씽,사랑 (MR),male,발라드,-,-,-,씽엔터테인먼트,-
20080317,씽,T Express,male,댄스,-,-,-,씽엔터테인먼트,welcome to t express a ride like never before we'll take you out of this world we're ready to start now are you ready let's go t express wooden coaster xing in the train 나만의 환상적인 우든코스터 speed 너에겐 상상 모두의 축제 지금부터 시작한다 t express 타고 있는 지금 세상을 손에 쥔 듯한 기분 너무도 짜릿해 온 세상이 드디어 내 것이 되버린거야 찾겠어 끝까지 남아있는 또 다른 날 찾겠어 지켜 낼께 우리가 원하는 모든 걸 내가 바래왔던 꿈과 미래 그이상을 뛰어넘을 때까지 here we go good time xing in the train 아무도 간섭 할수도 없어 내가 꿈꾸던 그 세계 내안에 세계를 새로운 시작 다시 찾을 수 있는 곳 fantastic timer 온몸이 흔들리는 전율 모든게 환상 속에 멈추지 않아 꿈꿔왔던 t express never ever don't stop xing in the train 환상의 세계로 난 t express 바꾸지 않아 누가 또 뭐래도 xing in the train t express wooden coaster xing in the train 심장이 터질 것만 같아 너무나도 벅차 오르는 열차 거대함 짜릿함 그 아찔함의 순간 그 속에 내 손엔 땀 지구 반대편으로 날아가버렸나 here comes a 블랙홀 역시 나만의 t express 온몸이 흔들리는 전율 모든게 환상 속에 한번도 상상하지 못한 t express 무엇도 비교안돼 xing in the train 내가 만든 세상 난 t express 바꾸지 않아 누가 또 뭐래도 xing in the train up down up & down wooden coaster t express up down up & down 절대쾌감 t express up down up & down wooden coaster t express up down up & down 절대쾌감 t express
20080314,씽,My Girl,male,댄스,-,-,-,씽엔터테인먼트,yo my girl my love my girl yo my girl my love my girl 너만을 사랑 한다고 너만 바라본다고 새끼 손가락걸고 나약속 할께요 기분좋은 날에 힘이들 때 울고싶은날에 내가지켜줄께요 yo my girl 아침에 너의 목소리에 눈을뜨면 하루종일 웃고만있어 생일엔 너와 단둘이서 손 꼭잡고 밤새도록 널보고싶어 언젠간 헤어질지도 몰라 가끔은 다툴지몰라 그럴때마다 오늘을 생각할께 영원히 너를 사랑해 너만을 사랑한다고 너만 바라본다고 새끼손가락걸고 나약속 할께요 기분좋은 날에 힘이들 때 울고싶은 날에 내가지켜줄께요 yo my girl yo my girl 사랑한다는 그 말보다 더좋은말 있으면 꼭 말해 줄께요 세상의 좋은말모아도 어떤말이라도 그댈 표현하지 못해요 너와나 추억이 될지몰라 생각은 하지않을께 사랑하기도 부족한 하루니까 영원히 너를 사랑해 너만을 사랑 한다고 너만 바라본다고 새끼손가락걸고 나약속 할께요 기분좋은 날에 힘이들때 울고싶은날에 내가지켜줄께요 yo my girl 하늘아 제발 이별만 피해가줘요 나없인 하루도 살수없어 너무 사랑해서 너무 사랑해서 우린 헤어지면 안되요 너만을 사랑한다고 너만 바라본다고 새끼 손가락걸고 나약속 할께요 너만을 사랑한다고 너만 바라본다고 새끼 손가락걸고 나약속 할께요 너만을 사랑한다고 너만 바라본다고 새끼 손가락걸고 나 약속할께요 십년후 사랑도 지금처럼 너이기를바래 내가 지켜줄께요 yo my girl my love my girl yo my girl my love my girl yo my girl my love my girl yo my girl my love my girl yo my girl oh my love
20080314,씽,유학,male,발라드,-,-,-,씽엔터테인먼트,여전히 화가나 난 그리움보다 니가 날 떠난이유를 아직도 모른다는게 함께한 시간이 많아 너를다 안다했는데 이별을 눈치 못 챈게 나를 더 눈물나게해 혼자서 밥을 먹을때마다 영화볼때마다 니가 좋아하던 음악들이 들릴때마다 슬퍼서 길을 걸을 때마다 나도 모르게 너의 집앞에 서있는 난 어떡하라고 우리나라 어딜가도 내겐 가시밭길 같아서 눈감아도 선명한 네 모습에 갈 곳이 없어 우리나라 어딜가도 내겐 아무의미가 없어 네가 없는 너의 흔적이 없는 먼곳으로 떠나 잘 지내고 있니 어떻게 지내고 있니 어디서 지내는 거니 나를 떠나간 후에 똑같은 이름 들릴때마다 나를 아프게 너란 숨이 없어서 난 죽을것만 같아서 우리나라 어딜가도 내겐 가시밭길같아서 눈감아도 선명한 내모습에 갈 곳이 없어 우리나라 어딜가도 내겐 아무의미가 없어 네가 없는 너의 흔적이 없는 먼곳으로 떠나 그대는 내 삶이였는데 왜 날 떠나셨나요 다시 내게로 돌아올 수 없나요 우리가 사랑한날이 너무 많아 힘이드네요 다시 내게로 돌아올 수 없다면 사랑할수없다면 우리나라 어딜가도 우리나라 어딜가도 우리나라 어딜가도 가시밭길 같아서 너밖에 모르는 남자라서 다시태어나도 난 너니깐 눈감아도 선명한 네 모습에 갈 곳이 없어 니가 내게 했던 말들이 아직도 내 귓가에 남아서 네가 없는 너의 흔적이 없는 먼곳으로 떠나
20080314,씽,모른척 해주세요,male,발라드,-,-,-,씽엔터테인먼트,이럼 안돼 맘을 다 잡아도 왜 이렇게도 눈물이 멈춰지지않는지 웃으며 보내려 그렇게 다짐했는데 그걸 하나 지키지 못한 한심한 나이죠 모른척해주세요 그저 모른척해주세요 괜히 내모습맘에 걸려 그대 아프면 안돼요 그렇게 뒤돌아요 그냥 그렇게 돌아서요 끝내 못난 나를 더이상 기억하지 마세요 괜찮다고 나는 괜찮다고 그대 마음이 편해지게 위로하려 했는데 나 목이 메어서 아무말 할 수 없어서 바보같이 한숨만 쉬는 초라한 나이죠 모른척해주세요 그저 모른척해주세요 괜히 내모습맘에 걸려 그대 아프면 안돼요 그렇게 뒤돌아요 그냥 그렇게 돌아서요 끝내 못난 나를 더이상 기억하지 마세요 그녀를 보냈지만 내맘 그녀를 놓치못해 종일 어르고 달래보아도 자격없단 걸 알면서 왜 이리도 마음은 그녀를 붙잡는지 모른척해주세요 그저 모른척해주세요 괜히 내 모습 맘에 걸려 그대 아프면 안돼요 그렇게 뒤 돌아요 그냥 그렇게 돌아서요 끝내 못난 나를 더 이상 기억하지 마세요 더 이상 기억하지 마세요
20080314,씽,Forget Our Memories (Kevin Ver.),male,발라드,-,-,-,씽엔터테인먼트,This can't go on It's for the best of us I can't seem to stop the tears rolling down I'm forcing on a smile Don't wanna show my tears I would be so less of a man I couldn't even do that one thing How foolish can I be Please forget our memories Baby please forget our memories Just leave and don't ever come back to me You don't deserve a guy like me Don't look back just turn away Baby don't look back just turn away I know I'll regret it But I just want what's best for you and me I will be fine I always will be fine I'll do anything to make you happy That's what I desire But this is hard for me I cannot even find the words To say to you what is on my mind How foolish can I be Please forget our memories Baby please forget our memories Just leave and don't ever come back to me You don't deserve a guy like me Don't look back just turn away Baby don't look back just turn away I know I'll regret it But I just want what's best for you and me I gave her up in my life She will never leave deep in my heart Things did not go according to the plan I made my decision of letting go But I can't seem to know why I keep holding on to her Please forget our memories Baby please forget our memories Just leave and don't ever come back to me You don't deserve a guy like me Don't look back just turn away Baby don't look back just turn away I know I'll regret it But I just want what's best for you and me I just want what's best for you and me
20080314,씽,My Girl (Kevin Ver.),male,댄스,-,-,-,씽엔터테인먼트,yo my girl my love my girl yo my girl my love my girl You are the only one I want You're the only one I love Pinky promise you this from the bottom of my heart On the good days and bad days and times you need someone to lean on I'll always be there for you You're my girl When I open my eyes to your voice in the morning I can't help but keep smiling all day When we're together I want to hold you forever and never let go of you baby Don't wanna go chasing after this love This can disappear anytime When I am in doubt I will remember your smile Forever I will love you girl You are the only one I want You're the only one I love Pinky promise you this from the bottom of my heart On the good days and bad days and times you need someone to lean on I'll always be there for you You're my girl You're my girl If there is anything I could say to show my love I would say them to you right away Even if I went around this world there'd be nothing to show how much I really adore you girl I'm afraid this can turn into memories But I'll try not to think of it 'Cause a lifetime's not enough to be loving you Forever I will love you You are the only one I want You're the only one I love Pinky promise you this from the bottom of my heart On the good days and bad days and times you need someone to lean on I'll always be there for you You're my girl Oh dear God Don't let this relationship fade away Without her I couldn't even go on Because I love her so Because I cherish her I'll never let go of this love You are the only one I want You're the only one I love Pinky promise you this from the bottom of my heart You are the only one I want You're the only one I love Pinky promise you this from the bottom of my heart You are the only one I want You're the only one I love Pinky promise you this from the bottom of my heart On the good days and bad days and times you need someone to lean on I'll always be there for you yo my girl my love my girl yo my girl my love my girl yo my girl my love my girl yo my girl my love my girl yo my girl oh my love
