년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101101,에이시아,Heat of the Moment (Live),male,월드뮤직,-,-,-,-,-
20101005,에이시아,Only Time Will Tell,male,록/메탈,-,-,-,-,"You're leaving now It's in your eyes There's no disguising it It really comes as no surprise To find that you planned it all along I see it now Becomes so clear Your insincerity And me all starry eyed You think that I would have known by now Now, sure as the sun will cross the sky This lie is over Lost, like the tears that used to tide me over (Only time will tell) One thing is sure That time will tell (Only time will tell) If you were wrong The brightest ring around the moon Will darken when I die Now, sure as the sun will cross the sky This lie is over Gone, like the tears that used to tide me over You're leaving now It's in your eyes There's no disguising it                 And me all starry eyed You think that I would have known by now (Only time will tell) One thing is sure That time will tell (Only time will tell) If you were wrong The brightest ring around the moon Will darken when I die   Now, sure as the sun will cross the sky This lie is over Lost, like the tears that used to tide me over (Only time will tell) You're on your own Inside your room (Only time will tell) Claiming victory You were just using me And there is no one you can use now"
20101005,에이시아,Time Again,male,록/메탈,-,-,-,-,"Fate looks certain but there's nothing guaranteed Want for nothing, but is nothing what you need? Always pushing but you're never satisfied I did believe you 'til I found out that you lied   Time and time again Time and time again again For what I give you I get nothing in return Can't forgive you watching all your bridges burn Always pushing but you're never satisfied  Have to say that's how you did it all along Time and time again Time and time again again But others wouldn't see things you could only see And someone showed you, then why was it always me You knew the limit you were always out of bounds How could I trust you when I caught you messing 'round   Time and time again Time and time again again"
20101005,에이시아,An Extraordinary Life,male,록/메탈,-,-,-,-,"A perfect day, or so I say From where I'm standing This rollercoaster ride, fate will decide The ending Love everlasting, or lost on the way The smiles and the frowns, the ups and downs Of fortune turning The twists and turns, the lessons learned The bridges burning Nights to remember and never forget Go, seize the day Wake up and say This is an extraordinary life, oh Enjoy today Come what may This is an extraordinary I gave it all, my cards have fallen But I'm still alive And in the end, believe my friend I will survive Glory or heartache and some of the joy Go, seize the day Wake up and say This is an extraordinary life, oh Enjoy today Come what may This is an extraordinary All of the good times, all of the bad Responsibility is totally mine I know I rightly stand accused But I believe that I can change Yes, I can change my world Go, seize the day Wake up and say This is an extraordinary life, oh Enjoy today Come what may This is an extraordinary Go, seize the day Wake up and say This is an extraordinary life, oh Enjoy today Come what may This is an extraordinary"
20101005,에이시아,My Own Time,male,록/메탈,-,-,-,-,"Walking through the snow kicking my heels Seems that sunlight never felt so good before Bet you really don’t know how it feels I don’t have to answer to no one no more And better I’ve never felt Nothing to show, but nothing to lose, I’m on my own Cast your mind back not so long ago I was always busy playing by the rules Bet you thought I really didn’t know You were double dealing, now you’re back at school Something you didn’t learn Faith in myself Gives me the strength to carry on I’ll do what I want to anyway I’ll do what I want and I’ll do it in My Own Time I’ll do what I want to anyway I’ll do what I want and I’ll do it in My Own Time Don’t give that same old pack of lies I’ll tell you the story how it really is You think you always had me under ties Someone better tell you that the table’s turned Getting your fingers burned, how does it feel? Now it’s for real this is the deal I’ll do what I want to anyway I’ll do what I want and I’ll do it in My Own Time  I’ll do what I want to anyway I’ll do what I want and I’ll do it in My Own Time is on my side again  And one thing I intend  Is I'll di it in My Own Time  I’ll do what I want to anyway I’ll do what I want and I’ll do it in My Own Time   I’ll do what I want to anyway I’ll do what I want and I’ll do it in My Own Time is on my side again  And one thing I intend  Is I'll do it in My Own Time  I’ll do what I want to anyway I’ll do what I want and I’ll do it in My Own Time  I’ll do what I want to anyway I’ll do what I want and I’ll do it in My Own Time My Own Time My Own Time My Own Time My Own Time My Own Time My Own Time I’ll do what I want and I’ll do it in My Own Time"
20101005,에이시아,Open Your Eyes,male,록/메탈,-,-,-,-,"What on earth are you doing here, in the western world? Another situation yeah you’re a different girl You have lived your life dreaming you were someone else Succeeding’s believing in yourself Open Your Eyes And see the world that stands before you now Open Your Eyes And see the world that stands in front of you You have spent your days trying something new You have looked at magazine girls wishing that they were you Do you see in photographs an angel that once was you? Does she tell you stories that are true?  Open Your Eyes And see the world that stands before you now Open Your Eyes And see the world that stands in front of you If I could stand with you right now and speak my mind I would tell you no lies I would shoot straight between the eyes You have stared a thousand times right into the lens Have you ever thought just once, does it all make sense? Your beauty’s eternal so don’t just pretend Got to wake up girl, or it’s the end Open Your Eyes And see the world that stands before you now Open Your Eyes And see the world that stands in front of you Open Your Eyes And see the world that stands before you now Open Your Eyes And see the world that stands in front of you Open Your Eyes  Open Your Eyes  Open Your Eyes  Open Your Eyes"
20101005,에이시아,Fanfare For The Common Man,male,록/메탈,-,-,-,-,-
20101005,에이시아,Here Comes The Feeling,male,록/메탈,-,-,-,-,"All through the winter I thought I'd never see you again Oh God where were you when I needed you I know that you, no, you would never have betrayed me I thought I'd die, why? All the reasons still evade me But you're back   Now I can see you Now I can feel you Now that I want you Now I can touch you Next to me Here it comes Here comes the feeling Here comes that same old feeling Here comes the feeling Here comes that same old feeling This is for real, I never felt so good before I see the world through different eyes Now that you're back, nothing in the least can overcome me Misery gone, plus all the doubt that overran me But you're back Now I can see you Now I can feel you Now that I want you Now I can touch you Next to me Here it comes Here comes the feeling Here comes that same old feeling Here comes the feeling Here comes that same old feeling All through the winter I thought I'd never see you again Oh God where were you when I needed you  Now that you're back, nothing in the least can overcome me Misery gone, plus all the doubt that overran me But you're back Now I can see you Now I can feel you Now that I want you Now I can touch you Next to me Here it comes Here comes the feeling Here comes that same old feeling Here comes the feeling Here comes that same old feeling Here comes the feeling Here comes that same old feeling Here comes the feeling Here comes that same old feeling"
20101005,에이시아,Never Again,male,록/메탈,-,-,-,-,"""I saw the universe, I held it in my hand The planets and the stars, merely grains of sand The darkness that I knew is no more The sun will shine for me, of that I can be sure This is the day, the day of my ascendance A time for life, a time for independence [chorus] Never again will I bear arms against my brother Never again will I dishonor anyone Never again will I wish evil on another Never again will I spill blood of any mother's son The age of Gemini, a dazzling creation A new enlightenment, a great illumination Dark acts of history must never be repeated I know I must treat you, the way I'd be treated This is the day, the day of liberation A time for life, for new regeneration [Chorus] I'm climbing now, I'm gaining altitude And now my hands can feel the grip My head is spinning with a synergy The power that takes me up and up [Chorus] """
20101005,에이시아,The Heat Goes On,male,록/메탈,-,-,-,-,"You walk tall, got your head in the clouds You talk soft, but you’re thinking aloud And you know, exactly what you want You box shy, you’re hard to get You got the face that I can’t forget  Look at you, I know The Heat Goes On I know that The Heat Goes On I know that The Heat Goes On You play tight, you’re nobody’s fool You’re not cold, but I know that you’re cool Look at you, I know The Heat Goes On Now tell me, with your hand on you’re heart That you knew, you were right from the start And you’re sure, you felt it all along You know that The Heat Goes On You know that The Heat Goes On Times that I lied, times that I’ve cried Problems will never be solved Which could be wrong, which could be right? This heat will always go on You walk tall, got your head in the clouds You talk soft, but you’re thinking aloud  You know that The Heat Goes On  You box shy, you’re hard to get You got the face that I can't forget  Look at you, I know The Heat Goes On   You know that The Heat Goes On You know that The Heat Goes On    You know that The Heat Goes On You know that The Heat Goes On"
