년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101020,에프티 아일랜드,슬픈 언약식,male,록/메탈,-,박주연,Papertonic,FNC엔터테인먼트,너를 내게 주려고 날 혼자 둔거야 내 삶을 지금껏 나에게 너 아닌 사람은 그저 스쳐 지난 것 처럼 나를 네게 주려고 난 열지않았어 내 마음 그 누구에게도 그렇게 넌 있어준거야 나의 방황의 끝에서 하지만 넌 서러워하지마 우리만의 축복을 어떤 현실도 우리 사랑 앞에서 얼마나 더 초라해질 뿐인지 이제 눈물을 거둬 하늘도 우릴 축복하잖아 워 이렇게 입맞추고 나면 우린 하나인데 하지만 넌 서러워 하지마 우리만의 축복을 어떤 현실도 우리 사랑 앞에서 얼마나 더 초라해질 뿐인지 이제 눈물을 거둬 하늘도 우릴 축복하잖아 워 이렇게 입맞추고 나면 우린 하나인데 이젠 눈물을 거둬 하늘도 우릴 축복하잖아 워 이렇게 입맞추고 나면 우린 하나인데 우린 하나인데
20101020,에프티 아일랜드,슬픈 언약식 (Inst.),male,록/메탈,-,-,Papertonic,FNC엔터테인먼트,-
20100825,에프티 아일랜드,사랑사랑사랑,male,록/메탈,-,마리오,이상호,FNC엔터테인먼트,심장이 멈춘다 내 숨이 멎는다  니가 떠난다  가슴이 시리게 너만 사랑했다  행복했었다  니 남자로 태어나서  한없이 사랑했었다  그걸로 됐다 눈물  꾹 참아 보련다 빗물이 온몸을 적신다 또 애써 고갤들어  하늘을 바라본다 내 눈에 들어간 비가 너를 생각하면 참고 또 참아왔던  눈물을 대신해준다 미치도록 사랑해서 너무나 행복했었다 사랑한 추억을 내게  준 너를 보낸다 안녕 내 사랑 사랑 사랑 잘가요 내 사랑 사랑 사랑 차오르는 나의 눈물이 온몸을 적셔도 이제는 굿바이 굿바이 굿바이 나를 떠나 부디 행복해 한걸음 한걸음 니가 멀어진다 말없이 술잔을 채운다 힘겹게 손에들며  한숨을 뱉어본다 한 잔을 마셔본다 너를 생각하면 참고 또 참아왔던 눈물과 함께 삼킨다 미치도록 사랑해서 너무나 행복했었다 사랑한 추억을 내게  준 너를 보낸다 안녕 내 사랑 사랑 사랑 잘가요 내 사랑 사랑 사랑 차오르는 나의 눈물이 온몸을 적셔도 이제는 굿바이 굿바이 굿바이 나를 떠나 부디 행복해 한걸음 한걸음 니가 멀어진다 난 가슴이 차가워  사랑을 몰랐는데 정말 고마워 이제야 알았어 이런게 사랑이란걸 심장이 멈춘다 내 숨이 멎는다 니가 떠난다 안녕 내 사랑 사랑 사랑 잘가요 내 사랑 사랑 사랑 차오르는 나의 눈물이 온몸을 적셔도 이제는 굿바이 굿바이 굿바이 나를 떠나 부디 행복해 한걸음 한걸음 니가 멀어진다 빗물이 온몸을 적신다 하늘을 바라본다 차오르는 나의 눈물이 온몸을 적셔도 이제는 굿바이 굿바이 굿바이 나를 떠나 부디 행복해 한걸음 한걸음 니가 멀어진다
20100825,에프티 아일랜드,굳은 살이 박혀버려..,male,록/메탈,-,한성호,한승훈,FNC엔터테인먼트,조금이라도 아주 조금이라도 곁에 머물러주길 간절히 빌어보지만 더는 아니라고 이제는 아니라고 얼음처럼 차가운 너의 말투 어서 날이 지나고 어서 그만두라고 그럴수록 상처만 더 깊이 남게 된다고 나는 괜찮다고 널 사랑한 이 맘은 이미 많이 상처에 익숙하니까 굳은 살이 박혀버려 아픈 줄도 나는 몰라 수천번 할켜도 수만번 할켜도 내 가슴은 아픈줄도 몰라 굳은 살이 박혀버려 아프게 해도 난 몰라 이젠 수천번 찢겨도 수만번 찢겨도 내 가슴은 아픈줄도 몰라 내 사랑은 다른 사람을 만나 다른 사랑을 해도 너 같은 사랑은 두 번 다신 못할꺼야 굳은 살이 박힌 내 가슴 어디에도 또 다른 사랑은 못 쓸테니까 굳은 살이 박혀버려 아픈 줄도 나는 몰라 수천번 할켜도 수만번 할켜도 내 가슴은 아픈줄도 몰라 굳은 살이 박혀버려 아프게해도 난 몰라 이젠 수천번 찢겨도 수만번 찢겨도 내 가슴은 아픈줄도 몰라 내 사랑은 제발 다시 돌아와줘 제발 다시 내게 와줘 니 얼굴이 박혀버려 지워봐도 소용없어 수천번 지우고 수만번 지워도 얼굴이 지워지질 않아 니 사랑이 박혀버려 가슴을 후벼도 안돼 그래 너만 사랑하고 너밖에 몰라서 다른 사랑은 죽어도 안돼 내 사랑은
20100825,에프티 아일랜드,Baby Love,male,록/메탈,-,한성호,김재양,FNC엔터테인먼트,어느덧 바람에 실려 내 잠을 깨우는 달콤한 너의 속삭임이 꿈에서 보던 신비로운 그 미소 눈이 부시도록 아름다워 사랑해 Baby Baby Baby love Honey Honey Honey love 너만 너만 사랑해 영원토록 기억해 오늘 오늘 오늘도 내일 내일 내일도 오늘보다 내일 더 널 사랑할게 수줍게 하던 너와의 입 맞춤 숨이 멎을만큼 떨리게해 사랑해 Baby Baby Baby love Honey Honey Honey love 너만 너만 사랑해 영원토록 기억해 오늘 오늘 오늘도 내일 내일 내일도 오늘보다 내일 더 널 사랑할게 니가 나의 여자라는게 난 고마울뿐이야 내가 너의 남자라는게 고마워 사랑해 Baby Baby Baby love Honey Honey Honey love 많이 많이 사랑해 약속할께 기억해 오늘 오늘 오늘도 내일 내일 내일도 오늘보다 내일 더 널 사랑할게
20100825,에프티 아일랜드,미친 듯이 너 하나만,male,록/메탈,-,한성호,김재양,FNC엔터테인먼트,기다리다가 너를 기다리다가 죽어도 기다리다가 매일 기다리다가 죽어도 기다리다 내 가슴이 죽어도 괜찮아 미친듯 사랑해서 미친듯 그리워서 니 사랑에 미쳐서 올때까지 너만 기다릴게 아파하다가 너를 아파하다가 죽어도 아파하다가 매일 아파하다가 죽어도 괜찮아 미친듯 사랑해서 미친듯 그리워서 니 사랑에 미쳐서 올때까지 기다릴게 미친듯 떠올라서 미친듯 보고파서 니 사랑에 미쳐서 여기서 널 너만 기다릴게 니 손길이 니 숨결이 니 향기가 니 기억이 날 찌르고 숨조차도 못 쉬게해 이렇게 사랑하다 이렇게 그리다가 이대로 죽는데도 널 사랑해 오 영원히 여기서 사랑하다 여기서 그리다가 이대로 눈 감아도 너 하나만 너만 사랑할게
20100825,에프티 아일랜드,돈키호테의 노래,male,록/메탈,-,김해경,한승훈,FNC엔터테인먼트,태양처럼 세상은 눈부시길 사랑처럼 자유는 아름답길 찬란히 부서진 나의 꿈들에 말을 타고 올라 세상이란 바다를 건너갈테야 불러봐 소리쳐 돈키호테 오늘보다 내일 더 살만한 세상이길 노래할거야 사막같은 이 도시에 모랫바람 휘날리며 나의 길을 찾아서 떠나갈거야 나로부터 희망이 시작되길 나로부터 행복이 이뤄지길 수많은 기도는 물거품되고 매마른 황야처럼 날카로운 현실이 가로막지만 불러봐 소리쳐 돈키호테 별이 뜨는 밤이면 하늘을 지붕삼아 잠이들거야 낡은 갑옷 한벌도 집시같은 방랑에도 나의 삶은 충분히 멋질테니까 다른길을 간다해도 나의 삶은 더 뜨겁게 자유로운 나로 살아가는 돈키호테도 괜찮을걸 Yes 지금 내 손을 잡고 나를 믿고 따라와 봐봐봐봐봐 우리 만의 세상 break it now 지금 바로 이 순간 니가 날 따라오면 난 언제나 계속 Ready 멀어지는 널 보기싫어 고뇌하는 돈키호테 불러봐 소리쳐 돈키호테 오늘보다 내일 더 살만한 세상이길 노래할거야 사막같은 이 도시에 모랫바람 휘날리며 나의 길을 찾아서 떠나갈거야 불러봐 소리쳐 돈키호테 별이 뜨는 밤이면 하늘을 지붕삼아 잠이들거야 낡은 갑옷 한 벌도 집시같은 방랑에도 나의 삶은 충분히 멋질테니까
20100519,에프티 아일랜드,Flower Rock,male,J-POP,-,-,-,FNC엔터테인먼트,How do You feel 콘나 BEAT n ROCK Hey everybody tell me how you feel 아타마 나야시마탓테 무다나코토다로 Shout shout and shake your body and soul Bang Bang Bang 사아 하지케요 코코로사소우마마니 Jump into the groove Dive into the groove 히에킷타이시키오코와세 Just come on come on 야바스기루 학카슨 젠 Go on 미다레사쿠마마니 하데니 이코 무네노 Gong 우치나라세 Get the party started started started Everybody hands up Just do it Clap your hands 젠신데 feel it 노가사나이데 카케다시타 쇼 도 Make it higher Don't stop it Change your mind 니치죠 오 Blow it 소라사나이데 와키오코루칸죠 하바타이테 카가야이테 Flower Rock Cause you turn me on 난데 LOVE n POP Hey everybody tell me how you feel 타후데 미와쿠나 BATTLE 맛타나시다요 Shout shout and shake your body and soul Bump bump bump 토비하네요 코도 히비쿠마마니 Jump into the groove Dive into the groove 다레킷타 혼노 사마세 Just come on come on 타카나레루 리즈무 큐 죠 쇼 Limit 후리키레루마마니 코가스 카라다 야키츠쿠스 호도니 아츠쿠모에아가레 Everybody hands up Just do it Clap your hands 타이쿠츠오 break it 이미다난테 오모우요리코 도 Make it higher Don't stop it Change your mind 유 칸니 fight it 히루마나이데 카기리나쿠 젠신 유라메이테 키라메이테 Flower Rock 테니시타이노사 REAL 이탄다하네오 HEAL 타카쿠토비타테 Seachin for a dream 나라소 Heartbeat 오도로 키미토 How do You feel 콘나 BEAT n ROCK 코코로사소우마마니 Jump into the groove Dive into the groove 카가야이테 Flower Rock Everybody hands up Just do it Clap your hands 젠신데 feel it 노가사나이데 카케다시타 쇼 도 Make it higher Don't stop it Change your mind 니치죠 오 Blow it 소라사나이데 와키오코루칸죠 하바타이테 카가야이테 유라메이테 키라메이테 Flower Rock Flower Rock Flower Rock Flower Rock 유라메이테 키라메이테 Flower Rock
20100519,에프티 아일랜드,Revolution,male,J-POP,-,-,-,FNC엔터테인먼트,코도-노 오토가 히비이테루(The voice of real)  카가미니 우츳-타 지쿠-오 나게쿠(Don't be afraid to see)  키미노 테노히라 히라이테요(Remember you are free)  헤이분-스기루토 테이기세즈니  소라가욘데루코에오 키이타토키 오모이다스 시가미츠이타 melody  라쿠나 이키카타나도 노존데나이다로 키즈이타이마코소 하지마루  Try Yourself 칸지테 타다 아리노마마니  코노카제노가세바 모-켓시테스스메나이  Try Yourself 신지테 보쿠가이마맛스구니 미츠메테루키미와  모-카가야키오하나치 미라이에  코도쿠노카게니 오비에테루(Don't be afraid to change)  우시로오후리무쿠 지분-오세메테  요루가하테나쿠츠즈쿠 키가시테모 아사히와 우라기라나이 theory  키미모 신지츠다케 우케이레타이다로 키즈이타이마코소 하지마루  Try Yourself 츠타에테 타다아리노마마니  치이사나코에데모 코코로가토마라나이  Try yourself 스베테오 사라케다스유-키다케 귯-토니기리시메 하다시데카케루  키라메이테 즛토 미테루요  카와루코토가코와이토 후루에테모 이노치와 코큐-시테루 destiny  후루이후쿠누기스테 하지메타이다로 우나즈쿠 슌-칸오 맛테루  Try Yourself 칸지테 타다 아리노마마니  코노카제노가세바 모-켓시테스스메나이  Try Yourself 신지테 보쿠가이마맛스구니 미츠메테루 소노 메  우마레카와로-토시테룬다 소-토오이미라이에
20100519,에프티 아일랜드,Wing,male,J-POP,-,-,-,FNC엔터테인먼트,Do you know Do you know 코노무네니 I believe I believe 오리땃따 코노미미 쓰마소우 하시리다시따 코이가호라 코도우 키잔데루 코노 메오 코라시때 미쯔메따이요 보꾸라니돈나미라이 마쯔다로우 데아이따라 change my life 이로즈꾸요 Everyday 아리후레테 ��칸가 키세키니카와루 쿠모리소라미아게따 모꾸노 세나까에또 쯔바사오쿠래따요 Do you know Do you know 운메이와 I don't know I don't know 구젠오 카사네앗떼 노비테유꾸 미찌까모 Do you know Do you know 코노무네니 I believe I believe 오리땃따 You're my Fortune Don't leave me 코노우데 노바소오 카제노나까에 키미또 오나지유메 쯔까미타이 코노코에 하리아게 우따이따이요 보꾸라다케노 메로디 까나데떼 후따리나라 Don't ve afraid 쯔마즈이따히니모 아메아가리 아노소라 니지오카케요우 키미가나키따이히와 보꾸가소바니이떼 쯔바사니나루까라 Do you know Do you know 에이엔와 I don't know I don't know 나꾸땃떼 돈나도끼모마모룻떼찌까우요 Do you know Do you know 키미코소가 I belive I believe 마이온리원 You're my Fortune Don't leave me 아우타비후에루 good memories 다이세쯔나코레쿠숀 도래히또쯔 하나사즈 다끼시메루요 Do you know Do you know 운메이와 I don't know I don't know 구젠오 까싸네 앗떼 노비테유꾸 미찌까모 Do you know Do you know 고노무네니 I believe I believe 오리땃따 You're my Fortune Don't leave me
