년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101215,오렌지,Adrenaline (Original Mix),male,일렉트로니카,-,-,-,-,-
20080617,오렌지,Golden Falcons,male,재즈,-,-,-,-,-
20080617,오렌지,Om Shanti,male,재즈,-,-,-,-,-
20080617,오렌지,The Liquid Nature Of,male,재즈,-,-,-,-,-
20080617,오렌지,And Then She Appeared in the Midst of Chaos,male,재즈,-,-,-,-,-
20080617,오렌지,Peace,male,재즈,-,-,-,-,-
20080617,오렌지,Release From,male,재즈,-,-,-,-,-
20080617,오렌지,Sad Joy,male,재즈,-,-,-,-,-
20080617,오렌지,Broccoli,male,재즈,-,-,-,-,-
20080617,오렌지,The Jamel Voice,male,재즈,-,-,-,-,-
20080617,오렌지,Sunset Beyond the Safety,male,재즈,-,-,-,-,-
20080617,오렌지,Subway Over the Rainbow,male,재즈,-,-,-,-,-
20080101,오렌지,Teleprompters,male,록/메탈,-,-,-,-,-
20080101,오렌지,Snow Globe,male,록/메탈,-,-,-,-,-
20080101,오렌지,Nip/Tuck,male,록/메탈,-,-,-,-,-
20080101,오렌지,Sonic Love,male,록/메탈,-,-,-,-,-
20080101,오렌지,Six Feet At a Time,male,록/메탈,-,-,-,-,-
20080101,오렌지,Flaming Star,male,록/메탈,-,-,-,-,-
20080101,오렌지,Charro,male,록/메탈,-,-,-,-,-
20080101,오렌지,We`re Gonna Move,male,록/메탈,-,-,-,-,-
20080101,오렌지,Love Me Tender,male,록/메탈,-,-,-,-,-
20080101,오렌지,Lonesome Cowboy,male,록/메탈,-,-,-,-,-
20080101,오렌지,Surrender,male,록/메탈,-,-,-,-,-
20070109,오렌지,Intro (Feat. Big Twins & Un Pacino),male,월드뮤직,-,-,-,-,-
20070109,오렌지,Pill,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Faking It,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Bleed,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Suffocate,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Follows,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Weasel,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Idiot Mask,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Threw It Away,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Hole,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Hole,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Valium,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Outro,male,월드뮤직,-,-,-,-,-
20070101,오렌지,Walk In My Shoes,male,록/메탈,-,-,-,-,-
20070101,오렌지,Mr. Sharafat,male,록/메탈,-,-,-,-,-
20070101,오렌지,Rock-a-hula-baby (Feat.Andreas Hellkvist),male,POP,-,-,-,-,-
20070101,오렌지,Spinout (Feat.Andreas Hellkvist),male,POP,-,-,-,-,-
20070101,오렌지,Let yourself go (Feat.Andreas Hellkvist),male,POP,-,-,-,-,-
20070101,오렌지,"Girls, girls, girls (Feat.Andreas Hellkvist)",male,POP,-,-,-,-,-
20070101,오렌지,I need somebody to lean on (Feat.Andreas Hellkvist),male,POP,-,-,-,-,-
20061010,오렌지,Filibuster,male,POP,-,-,-,-,-
20061010,오렌지,Young Amphibians,male,POP,-,-,-,-,-
20061010,오렌지,The Nomad Way,male,POP,-,-,-,-,-
20061010,오렌지,Guarding the Coast of Wyoming,male,POP,-,-,-,-,-
20061010,오렌지,I Declare,male,POP,-,-,-,-,-
20051001,오렌지,Restless,male,월드뮤직,-,-,-,-,-
20051001,오렌지,Rain (Interference I),male,월드뮤직,-,-,-,-,-
20051001,오렌지,Late Night,male,월드뮤직,-,-,-,-,-
20051001,오렌지,Stations (Interference Ii),male,월드뮤직,-,-,-,-,-
20051001,오렌지,Horses,male,월드뮤직,-,-,-,-,-
20051001,오렌지,At First Light,male,월드뮤직,-,-,-,-,-
20051001,오렌지,Nyon Se Dyuo Ke Zon Zon,male,월드뮤직,-,-,-,-,-
20051001,오렌지,Prelude,male,월드뮤직,-,-,-,-,-
20050601,오렌지,Blindness,male,월드뮤직,-,-,-,-,-
20050601,오렌지,I`m Singing Too Much,male,월드뮤직,-,-,-,-,-
20050601,오렌지,Why You?,male,월드뮤직,-,-,-,-,-
20050601,오렌지,Wimp,male,월드뮤직,-,-,-,-,-
20050601,오렌지,Your Way,male,월드뮤직,-,-,-,-,-
20050601,오렌지,`Till Death Do Us Apart,male,월드뮤직,-,-,-,-,-
20050101,오렌지,Mr. Sharafat,male,록/메탈,-,-,-,-,-
20050101,오렌지,Walk in my shoes,male,록/메탈,-,-,-,-,-
