년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20050909,제이하트,Memory,female,발라드,-,-,김운진,-,-
20050909,제이하트,여전히 난,female,발라드,-,이은영,김운진,-,떠나갔죠 이젠 그대 얼굴마저 흐려지네요 여전히 난 그댈 지울 순 없어 다시 그댈 찾아가는데 이젠 마지막이 되겠죠 오늘 하루 그댄 내가 보고 싶진 않겠죠 이미 잊었을 테니 자꾸 모질게 하진 마요 나를 사랑했다면 지금 내겐 마지막 내게 이러지 마요 왜 난 그대가 자꾸 미워지는지 난 하루하루 그대를 지워야 할까요 아무 소용이 없는 그댈 사랑하는 내 맘이 그댈 보내주라 하는 걸요 그댄 다시 다른 사랑으로 채워질 테죠 시작도 하지 마요 그댄 사랑할 줄 몰라요 사랑하면 안돼요 이별을 위한 사랑 다신 그러지 마요 왜 난 그대가 자꾸 미워지는지 난 하루하루 그대를 지워야 할까요 아무 소용이 없는 그댈 사랑하는 내 맘이 그댈 보내주라 하는 걸요 왜 난 그대가 자꾸 싫어지는지 그 못된 사랑 때문에 이렇게 아파요 그대 너무 미워서 그댈 지우려는 내 맘이 그댈 사랑하라 하는 걸요 떠나려는 내 맘이 거짓말인 것도 모르겠죠
20050909,제이하트,Misty,female,발라드,-,안영민,김태현,-,Yo! We're about to drop some master piece better watch out to this heat  now here they come ho ho ho ho Can I be with you?  Can you be with me? 점점 빠르게 너는 내게로 와  가까이 다가오네 Your light 내 몸을 감싸오네 온 몸에 따스한  Feeling (your Feeling) I got to make it 이별 속에 갇혀있던 내게  한줄기 빛으로 와 사랑을 비추어주는 너 너를 사랑하고 싶어 나의 이별은 여기까지니깐 내손을 잡아 With me 내게로 다가와 Why not It's alright 포기하지마 take it  나에게 고백해 Your love don't stop now Just let me know  i'mma count up to four Just let it flow~ Let it go ho ho~It's aright babe so keep on move 나를 찾아서 많이 헤매였니  내게로 다가와줘 You light 전에도 본 것 같아 날 찾는  따스한 Your eyes in your eyes I got to make it 이별 속에 갇혀있던 내게  한줄기 빛으로 와 사랑을 비추어주는 너 너를 사랑하고 싶어 나의 이별은 여기까지니깐 내손을 잡아 With me 내게로 다가와 Why not It's alright 포기하지마 take it  나에게 고백해 Your love don't stop now 행복을 받고 싶어 다시 웃고만 싶어  어떤 슬픔도 못 느끼던 나로 누구도 방해 못하게 잡은 손놓지 않을게  그거 알고 있니 My love U got me crazy baby  you're the picture of perfection with passion I'm ready to do this all over so come on I guarantee 슬픔 따위는 없으니  잡은 네 두 손을 꽉 쥐고 나 놓지 않으리 라라라라라 - 포기하지마 take it 나에게 고백해  Your love don't stop now
20050909,제이하트,Waiting for you,female,발라드,-,홍종구,구모후,-,기억이 아른 거려... 그대와 함께 했던 그 짧은 시간마저 모두 사라진 후에야 알게 됐어 그대 떠나버린 후에 (그 모습이 난) 너무나 아른거려... (그대 하나만) 바라보며 행복했던 내 모습 내 심장에 못 박힌 상처들을 이젠 지울 수 없기에 (Waiting for you) 그리움에 지쳐서 가슴이 아파도 내 마음 그댈 향해 가고 이미 떠나 버린 그대지만 내 두 눈은 아직도 그댈 찾고 있는 걸 사랑이 아니라도 괜찮아 그댈 멀리서도 볼 수만 있다면 떠난 후 한번은 그댈 만날 것만 같은데... (그대 모습이) 스쳐 지나도 좋아 (다시 한번만 더) 아쉬움에 그댈 그리워하게 다 어차피 잔인한 이별인데 그댈 더 그리워하게 (Waiting for you) 그리움에 지쳐서 가슴이 아파도 내 마음 그댈 향해 가고 이미 떠나 버린 그대지만 내 두 눈은 아직도 그댈 찾고 있는 걸 그리움에 지쳐서 눈물이 말라도 내 눈은 그댈 기억하고 내게 남아 있는 시간 모두 그댈 그리워해도 견딜 수 있다는 걸 다른 사랑을 해도 괜찮아 내가 아니라도 다시 사랑하면 한번쯤 잊었던 우리 사랑 기억할테니
20050909,제이하트,Say,female,발라드,-,서엘,서엘,-,떠난다고 말해 싫어졌다 말해 내가 지겨워져서 그만 싫증이 나서 더는 사귈 수가 없겠다고 솔직하게 말해 쓸데없이 고민 하지마 니가 떠난 데도 청승맞게 너를 잡진 않아 되돌아가고 싶어 너를 만나기 전의 나로 처음 하는 사랑도 아픈 이별까지도 모두 너에게서 배웠는데 나를 떠나간다면 나를 버려두고 간다면 니가 가는 그 길이 그리 편하진 않을 텐데 다시 한번 생각을 해봐 나를 두고 떠나가다가 그리움에 지쳐서 괜한 병에 걸려 울지 말고 냉정하게 말해 말해 잔인하게 말해 말해 정말 니가 없이도 난 괜찮을 거라 자신 있게 말해주고 싶어 어서 빨리 말해 뭘 그렇게도 망설이니 나를 떠나가도 아무렇지 않다 말을 해봐 되돌아가고 싶어 너를 처음 만난 그때로 그냥 바라만 봐도 그저 행복해지던 그런 너 하나만 믿었는데 나를 떠나간다면 나를 버려두고 간다면 니가 가는 그 길이 그리 편하진 않을 텐데 다시 한번 생각을 해봐 나를 두고 떠나가다가 그리움에 지쳐서 괜한 병에 걸려 울지 말고 니가 나 없이도 괜찮다면 뭐라 해줄 말도 없겠지만 괜히 맘이 아프고 자꾸 눈물이 나고 아무것도 할 수 없어 나를 떠나간다면 나를 버려두고 간다면 니가 가는 그 길이 그리 편하진 않을 텐데 다시 한번 생각을 해봐 나를 두고 떠나가다가 그리움에 지쳐서 괜한 병에 걸려 울지 말고 나를 떠나간다면 나를 버려두고 간다면 니가 가는 그 길이 그리 편하진 않을 텐데 다시 한번 생각을 해봐 나를 두고 떠나가다가 그리움에 지쳐서 괜한 병에 걸려 울지 말고 미안하다고 또 사랑한다고 말해
20050909,제이하트,Wasted Paper,female,발라드,-,구모후,김영훈,-,이렇게 애원할게 지난 잘못 다 갚아줄게 이 한마디 때문에 어저께 밤새 혼자 거울 앞에서 왠 종일 연습했어 일주일을 준비했어 한달을 고민했어 너와 헤어지고 나서부터 다시 돌아갈 맘 뿐이였어 사랑이란 없는 거라고 결국 잊혀진다고 혼자 그렇게 날 위로했지만 감추려 애써왔던 네게 받은 상처까지도 아픈 내 맘 속에 남아있는데 사랑 앞에서 널 그리워하는 날 혼자 그렇게 외면하고 떠난 너 그런 너 이제 무슨 말을 하려해 또 다시 네게 상처받기 싫은데 알아 니가 왜 이러는지 나와의 마지막 헤어지던 날 돌아서는 내 손을 잡으며 니가 뱉은 말 가지마 매번 그렇게 돌아선 나였잖아 이번에도 이럴 마음이였던 걸 알잖아 알면서 자꾸 왜 매정하게 굴래 기어이 내 눈물을 볼라고 이래 사랑이란 없는 거라고 결국 잊혀진다고 혼자 그렇게 날 위로했지만 감추려 애써왔던 네게 받은 상처까지도 아픈 내 맘 속에 남아있는데 사랑 앞에서 널 그리워한다고 혼자 이렇게 울고 싶어지는데 아파하나봐 상처주긴 싫은데 헤어지는 게 견디기가 힘들어 그렇게 내게 남겨진 그 상처 이대로 전부 지울 수 있다면 첨으로 다시 돌아가고 싶어 이대로 전부 멈춘 것 같아 다 갚아줄께 나 상처받은 만큼 이렇게 빌게 널 사랑한 그 만큼 다신 안 그럴게 정말 미안해 나에게 이 세상에 유일한 오직 너 뿐인데 사랑 앞에서 널 그리워하는 날 혼자 그렇게 외면하고 떠난 너 그런 너 이제 무슨 말을 하려해 또 다시 네게 상처받기 싫은데 사랑 앞에서 널 그리워 한다고 혼자 이렇게 울고싶어지는데 아파하나봐 상처주긴 싫은데 헤어지는게 견디기가 힘들어 이렇게 나 이렇게 너에게 빌께 제발 영원히 언제까지나 나 영원히 널 기다릴께
20050909,제이하트,Tonight,female,댄스,-,구모후,구모후,-,J Heart Supacool Mohu Drop the beat 4 me Everybody move around Yeh baby if U wane I shake around Everybody turn around We gonna make it go round Ah Ah get upon it Disco & Funky Track Baby feel the music Yeh 신나는 리듬에 맡겨봐 나를 한번 느껴봐 내게로 다가와봐 Baby Yeh Licking my sexy lips Come on baby kiss me Hold me Hold me Hold me Tonight Tell me Tell me Tell me Body 떨리는 내 가슴에 Let's get on move it Do you wanna Party Do you wanna party tonight all right 이 밤을 나와 함께 Be all right 이제 내게 맡겨봐 Baby 너를 위해 준비한 오늘밤을 나와 함께 Party 너의 그 환상적인 모습에 빠져들고 싶은 날 Baby 이제 나를 가져봐 이 밤 나와 함께 너는 Let's get on move it Baby Let's get on move it Are U lookin at me Girl I'm lookin at U 너의 Sexy한 Body I wanna freakin with U 깊게 파인 Tank Top에 섹시한 허리선 Ah Think about U Funky한 Dance Floor 느낀다면 Let's go 널 기다리는 Me 푹신한 Pillow We gonna make love top of the world 느끼게 만들께 I rock your world 그 어떤 누구라도 오늘밤 나와 함께 지쳤던 모든 걸 지워버려 신나는 Funky Music 신나는 Disco Music 리듬에 맞춰 흔들어 봐요 Do you wanna Party Do you wanna party tonight all right 이 밤을 나와 함께 Be all right 이제 내게 맡겨봐 Baby 너를 위해 준비한 오늘밤을 나와 함께 Party 너의 그 환상적인 모습에 빠져들고 싶은 날 Baby 이제 나를 가져봐 이 밤 나와 함께 너는 Let's get on move it Baby Let's get on move it Baby Hold me Hold me Tonight Hold me Hold me Hold me Hold me Tonight Hold me Hold me 너의 손짓 하나에 너의 몸짓 하나에 Do you wanna Party Do you wanna party tonight all right 이 밤을 나와 함께 Be all right 이제 내게 맡겨봐 Baby 너를 위해 준비한 오늘밤을 나와 함께 Party 너의 그 환상적인 모습에 빠져들고 싶은 날 Baby 이제 나를 가져봐 이 밤 나와 함께 너는 Let's get on move it Baby Let's get on move it Let's get on move it
20050909,제이하트,아니야,female,발라드,-,구모후,구모후,-,Woo  Baby 널 잊지 못해 아니야 아닌걸 My Love Baby 새로 시작하려 한건 아닌 걸 너를 지우려고 한건 아닌 걸 아니야 아닌걸 아직 널 사랑하는 걸 너를 미워하려 한건 아닌 걸 네게 아픔 주려 한건 아닌 걸 아니야 아닌걸 널 잊고 살 순 없는 걸 한없이 날 위해 잘해주었던 너 한때는 그런 게 너무 싫었었지 나도 몰래 싫은 투정 내가 어렸었었나봐 Baby 눈앞에 가리워진 어리석었던 나 말없이 뒤돌아서 너를 떠나 버렸어 아냐 그땐 내가 아냐 그렇게 떠난 후 내게 남은 건 You Know I Love You My Baby You Know I Love You In Better Way You Know I Love You Baby Baby Come To Me 새로 시작하려 한건 아닌 걸 너를 지우려고 한건 아닌 걸 아니야 아닌걸 아직 널 사랑하는 걸 너를 미워하려 한건 아닌 걸 네게 아픔 주려 한건 아닌 걸 아니야 아닌걸 널 잊고 살 순 없는 걸 Love It Yeh 소중함을 몰랐던 내게 그렇게 넌 내게 소중한 사랑이란 걸 이제야 알았어 하지만 이제서야 후회해 봤자 이미 멀어져 버린 너인데 다시 후회해도 그리워도 찾을 수가 없는 걸 You Know I Love You My Baby You Know I Love You In Better Way You Know I Love You Baby Baby Come To Me 새로 시작하려 한건 아닌 걸 너를 지우려고 한건 아닌 걸 아니야 아닌걸 아직 널 사랑하는 걸 아니야 아닌걸 Oh No 그건 아니란 걸 네게 말을 해야 하는 걸 그렇지만 지금 내 곁에 니가 없다는 걸 Oh 내게 돌아와줘 아니야 아니야 아직 너를 잊지 못해 You Know I Love You My Baby You Know I Love You In Better Way You Know I Love You Baby Baby Come To Me 새로 시작하려 한건 아닌 걸 너를 지우려고 한건 아닌 걸 아니야 아닌걸 아직 널 사랑하는 걸 너를 미워하려 한건 아닌 걸 네게 아픔 주려 한건 아닌 걸 아니야 아닌걸 널 잊고 살 순 없는 걸 You Know I Love You My Baby You Know I Love You My Baby I Love You I Love You You Know I Love You My Baby You Know I Love You My Baby You Know I Love You My Baby I Love You I Love You You Know I Love You My Baby
20050909,제이하트,Come Back To Me,female,발라드,-,구모후,구모후,-,사랑은 아니라고 되내이며 난 널 잊으려 해봤지만 자신이 없었나봐 슬픔마저도 숨길 수가 없는 걸 시간이 지나면 잊을 거라고 마지막 나에게 남긴 너의 그 말 거짓이 아니길 믿어왔지만 허나 그럴 수 없는 걸 왜 나를 떠난 거니 돌아와줘요 다시 돌아와줘 아니였잖아 아직 널 잊을 수가 없는 걸 돌아와줘요 다시 돌아와줘 거짓말인걸 아직 널 사랑하잖아 너만을 사랑하는 날 위해 이제는 돌아와 Come Back To Me 아픔의 시간은 잊혀진다고 또 다른 사랑을 찾을 거란 그 말 마지막 이별이 내게 남긴 건 떠나버린 널 또 다시 내 맘속에 가두는 걸 돌아와줘요 다시 돌아와줘 아니였잖아 아직 널 잊을 수가 없는 걸 돌아와줘요 다시 돌아와줘 거짓말인걸 아직 널 사랑하잖아 수없이 많은 날을 너와 함께 했지만 그땐 어쩔 수 없었나봐 정말 사랑했지만 애써 슬픔 감추며 떠나 버린 널 다시 난 흐르는 눈물 뒤로 지난 나의 기억 속에 함께 했던 시간 잊혀지지 않은 너의 모습 그리는 내게로 다시 돌아와줘 제발 네 곁에 머물수있도록 돌아와줘요 다시 돌아와줘 마지막 너의 두 눈에 고인 눈물을 알아 돌아와줘요 다시 돌아와줘 사랑하잖아 너도 날 사랑하잖아 사랑은 아니라고 나를 달래보아도 자신이 없었나봐 아픈 상처만 남아 아직도 나는 너를 잊을 수가 없는 걸 Be My Love 사랑은 아니라고 나를 달래보아도 자신이 없었나봐 아픈 상처만 남아 아직도 나는 너를 잊을 수가 없는 걸 아직 널 사랑하는 걸
20050909,제이하트,Always,female,댄스,-,홍종구,김운진,-,사랑한다면 나를 구속하지 마 그럴수록 우린 멀어져 너의 사랑은 그저 집착 일뿐야 너의 곁에 있는 날 믿어 내 주위에 있는 모든 남자들이 너의 질투가 되야되면 너를 사랑하는 난 뭐야 나를 사랑한다면 조금만 더 가까이와 내 맘 속에 널 느껴봐 사랑은 구속이 아냐 더 이상 너의 틀에 나를 묶어 가두고 나를 소유하지 마라 너만을 사랑하는 난 바보가 아냐 나를 의심 하지 마 내가 널 떠나지 않게 기억한다면 자꾸 변해가지마 그럴수록 우린 멀어져 나를 가져서 변해가는 거라면 그건 너의 착각일 뿐야 날 사랑한다며 내 맘을 부숴버리고 이젠 내가 싫다면 나를 사랑하긴 한거야 처음 같지 않다면 같은 사랑이 아니면 이제 내가 변할 테니 사랑은 구속이 아냐 더 이상 너의 틀에 나를 묶어 가두고 나를 소유하지 마라 너만을 사랑하는 난 바보가 아냐 나를 의심 하지 마 내가 널 떠나지 않게 가버려 너밖에 모른다면 Don't tell me now Tell me now Go away 사랑은 구속이 아냐 더 이상 너의 틀에 나를 묶어 가두고 나를 소유하지 마라 너만을 사랑하는 난 바보가 아냐 나를 의심 하지 마 내가 널 떠나지 않게
