년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20080723,천상지희 더 그레이스,Stand Up People,female,J-POP,-,-,-,(주)SM엔터테인먼트,Stand up people You know what 테오노바시테 you say You know what 메오소라사나이데 You know what 이키사키와이라이 Here we go Stand up people You know what 테오노바시테 you say You know what 모하나사나이데 You know what 히비쿠Story 사이코노 Party 마즈사이쇼와와타시카라 마츠다케쟈모 이아나노 토비키리에가오데아이사츠 시리아이타이노 with you 히미츠노아이즈데콘야 Are you ready for the party 카케츠케타토키 오토시테미세루요Baby Shake your body baby Rhythm 아와세 I like that 라쿠엔마데노 Drive 미치비쿠요닌노 Angel 돈나시구사모 scandalous Let's get this started 아츠사와마루데 니가츠노산바키니바루 네치카라누이테 카라다오마카세 Let yourself lose control 치카쿠니키테Like this 후미코마나캬와카라나이요 아나타다케 하게시쿠아이시테아게루 Stand up people You know what 테오노바시테 you say You know what 메오소라사나이데 You know what 이키사키와이라이 Here we go Stand up people You know what 테오노바시테 you say You know what 모하나사나이데 You know what 히비쿠 Story 사이코노 Party 돈나유메데모 카니우하즈다토신지테 야리카타닷테히토즈쟈나이 다카라 There's no worry 제이타쿠나토키소노모노 Rockin' nights like no other 오리지나루노 Style 고칸츠카이다키시메테 Let me hear you baby 못토호시잇테츠타에테 Miami beach 노죠지 소레호도 We are so hot 테오히이테잇테아게루 From 니치죠 to the paradise 치키미치와코코 Welcome you to Heaven 모마치키레나이 스베테와스레테 Let yourself lose control 치카쿠니키테Like this 후미코마나캬와카라나이요 와타시다케 하게시쿠아이시테호시이 Stand up people You know what 테오노바시테 you say You know what 메오소라사나이데 You know what 이키사키와이라이 Here we go Stand up people You know what 테오노바시테 you say You know what 모하나사나이데 You know what 히비쿠Story Cum' Cum' Cum' put your hands up everyone 텐죠치키is back You know who I'm taking about step into glorious party feels like Ahwoo Roof Roof Roof roof is on the fire and everyone is getting high say Get me Get me Huh Do me Do me Yes Come to mama Deep inside of me Hey I wanna see what you got here Heat me up with you Heat me up with you Limousine노리 Crystal아케테 Bounce it all night long Limousine노리 Crystal아케테 Bounce it all night long 네치카라누이테 카라다오마카세 Let yourself lose control 치카쿠니키테Like this 후미코마나캬와카라나이요 아나타다케 하게시쿠아이시테아게루 Stand up people You know what 테오노바시테 you say You know what 메오소라사나이데 You know what 이키사키와이라이 Here we go Stand up people You know what 테오노바시테 you say You know what 모하나사나이데 You know what 히비쿠Story 사이코노 Party Stand up people You know what 테오노바시테 you say You know what 메오소라사나이데 You know what 이키사키와이라이 Here we go Stand up people You know what 테오노바시테 you say You know what 모하나사나이데 You know what 히비쿠Story 사이코노 Party
20080723,천상지희 더 그레이스,Dear Friend,female,J-POP,-,-,-,(주)SM엔터테인먼트,"츠카레타유메오다이테 사이슈우노바스니노루 umm   우모레루요우니스와리콘데 키미카라노메-루요무요 baby, E-mail from you   오모이다시테와난도모 쿠리카에시미테이타라   오모와즈 my heart 코보레타　umm 나미다 yeah…   도코마데유케바 타도리츠쿠노카   후안바카리데 와카라나이토키   소노에가오 오모우  Dear friend 다레닷테요와쿳테 우마쿠이카나이케도   아스니 킷토토도쿠카라  Dear friend 이츠닷테코코로와 츠나갓테루요킷토   키미가 유우키오쿠레루요   마도가라스노무코우 우추루지분오미테 umm   나니카오이우토시타라네 키미와 난테이우카나? oh listen to my heart   소우 와타시노코토오 다레요리싯테이루카라 baby always believe me   츠타에테 your heart 다이지나 코토바 oh yeah yeah…   히토고미노나카 스고스토키요리   키미토코코로데 츠나가루호우가   히토리쟈나이요쿄우모　dear friend   Dear friend 다이죠우붓테와랏테 아에나이토키닷테 oh yes   즛토 카와라나이카라   Dear friend 츠즈이테쿠 코노미치오 alright 신지테미츠메테룻테 no…   키미니 야쿠소쿠스루요   신고우오 와탓테 네에, 바스가츠이타라   키미니뎅와시요우　dear friend   혼토와 oh yeah 도코카니 no no no 키에타쿠나루토키데모 my dear   소레데모 we are 코노마마 oh yeah 마에니아루이테유코우 oh my dear friend   Dear friend 다레닷테요와쿳테 우마쿠이카나이케도 oh yes   아스니 킷토토도쿠카라 baby always believe you   Dear friend 이츠닷테코코로와 oh yeah 츠나갓테루요킷토 always   키미가 유우키오쿠레루요 you are my best friend   oh oh yeah you are my best friend"
20080723,천상지희 더 그레이스,Stand Up People (R.Yamaki`s Original Ver.),female,J-POP,-,-,-,(주)SM엔터테인먼트,"Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  메오소라사나이데 Yeah Yeah You know what  이키사키와이라이 Here we go  Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  모-하나사나이데 Yeah Yeah You know what  히비쿠Story 사이코-노 Party    마즈사이쇼와와타시카라 마츠다케쟈모-이아나노  토비키리에가오데아이사츠 시리아이타이노 with you  히미츠노아이즈데콘야 Are you ready for the party?  카케츠케타토키 오토시테미세루요Baby    Shake your body baby Rhythm아와세 I like that  라쿠엔마데노Drive 미치비쿠요닌노Angel  돈나시구사모scandalous Let's get this started  아츠사와마루데 니가츠노산바키-니바루    네-치카라누이테 카라다오마카세  Let yourself lose control 치카쿠니키테Like this  후미코마나캬와카라나이요 아나타다케  하게시쿠아이시테아게루    Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  메오소라사나이데 Yeah Yeah You know what  이키사키와이라이 Here we go  Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  모-하나사나이데 Yeah Yeah You know what  히비쿠Story 사이코-노 Party    돈나유메데모 카니우하즈다토신지테  야리카타닷테히토즈쟈나이 다카라There's no worry  제이타쿠나토키소노모노Rockin' nights like no other  오리지나루노Style 고칸츠카이다키시메테    Let me hear you,baby 못토호시잇테츠타에테  Miami beach노죠-지 소레호도 We are so hot  테오히이테잇테아게루From 니치죠- to the paradise  치키미치와코코 Welcome you to Heaven    모-마치키레나이 스베테와스레테  Let yourself lose control 치카쿠니키테Like this  후미코마나캬와카라나이요 와타시다케  하게시쿠아이시테호시이    Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  메오소라사나이데 Yeah Yeah You know what  이키사키와이라이 Here we go  Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  모-하나사나이데 Yeah Yeah You know what  히비쿠Story 사이코-노 Party    Cum' Cum' Cum' put your hands up everyone  텐죠-치키is back! You know who I'm taking about  step into glorious party feels like Ahwoo!  Roof! Roof! Roof! roof is on the fire and  everyone is getting high say  Get me! Get me! Huh! Do me! Do me! Yes!  Come to mama! Deep inside of me  Hey I wanna see what you got here  Heat me up with you    Limousine노리  Crystal아케테  Bounce it all night long    Limousine노리  Crystal아케테  Bounce it all night long    네-치카라누이테 카라다오마카세  Let yourself lose control 치카쿠니키테Like this  후미코마나캬와카라나이요 아나타다케  하게시쿠아이시테아게루    Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  메오소라사나이데 Yeah Yeah You know what  이키사키와이라이 Here we go  Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  모-하나사나이데 Yeah Yeah You know what  히비쿠Story 사이코-노 Party    Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  메오소라사나이데 Yeah Yeah You know what  이키사키와이라이 Here we go  Stand up people Yeah Yeah You know what  테오노바시테 you say, Yeah Yeah You know what  모-하나사나이데 Yeah Yeah You know what  히비쿠Story 사이코-노 Party"
20080723,천상지희 더 그레이스,"One More Time, Ok? (Royal Mirrorball Mix)",female,J-POP,-,-,-,(주)SM엔터테인먼트,-
20080723,천상지희 더 그레이스,Stand Up People (Inst.),female,J-POP,-,-,-,(주)SM엔터테인먼트,-
20080723,천상지희 더 그레이스,Dear Friend (Inst.),female,J-POP,-,-,-,(주)SM엔터테인먼트,-
20080320,천상지희 더 그레이스,동해/한경/이특♡ I`ll Kiss You,female,J-POP,-,-,-,(주)SM엔터테인먼트,"I`ll Kiss You  This song is dedicate is everyone.  People sho`s havin` a hard time, desparate`,hopless  But we hope you all ecome happy when you listen to this song.  Be strong` Be bold Here we go. Listen  じゃあまたねって I will kiss on your lips  쟈아마타넷테 I will kiss on your lips  (그럼안녕하고 I will kiss on your lips)  人ごみにまぎれ　消えていく  히토고미니마기레 키에테이쿠  (사람들속에섞여 사라져가는)  あなたの背中　見送りながらも  아나타노세나카 미오쿠리나가라모  (당신의뒷모습을 배웅하면서도)  引き止めたい　気持ちは　どうしたらいい  히키토메타이 키모치와 도오시타라이이  (가서잡고만싶은 마음은 어찌하면좋나요)  Do you wanna be with me? 限られた　時間　未来へ  Do you wanna be with me? 카기라레타 지칸 미라이에  (Do you wanna be with me? 한정되어진 시간 미래에)  あなたと歩みたい  아나타토아유미타이  (당신과걷고싶어)  待つのに疲れて　あきらめそうでも My heart  마츠노니츠카레테 아키라메소오데모 My heart  (기다림에지쳐서 포기할것만같아도 My heart)  埋め尽くして  우메츠쿠시테  (끝까지)  抱きしめて I`ll kiss you  다키시메테 I`ll kiss you  (안아주세요 I`ll kiss you)  大丈夫　甘えていいよ  다이죠오부 아마에테이이요  (괜찮아 어리광부려도되요)  あなただけ見つめてる  아나타다케미츠메테루  (당신만바라보는)  私が好き？  와타시가스키?  (내가좋나요?)  疲れたら I`ll hold you  츠카레타라 I`ll hold you  (당신이지치면 I`ll hold you)  目を閉じ　髪をなでて  메오토지 카미오나데테  (눈을감고 머리를쓰다듬으며)  いつも頑張っている  이츠모감밧테이루  (언제나열심히인)  あなたが大好きなの  아나타가다이스키나노  (당신이정말좋아요)  今日の終わりは　明日のstart  쿄오노오와리와 아시타노start  (오늘의끝은 내일의start)  だから気持ちよく　過ごしたい  다카라키모치요쿠 스고시타이  (그러니까기분좋게 보내고싶어요)  なのにごめんね　時々　私  나노니고멘네 토키도키 와타시  (그런데미안해요 가끔씩 나)  わがままで　あなたを困らせたり  와가마마데 아나타오코마라세타리  (내멋대로굴어서 당신을곤란하게하곤하죠)  Are you in love with me? 募ってく　気持ち　初めて  Are you in love with me? 츠놋테쿠 키모치 하지메테  (Are you in love with me? 더해만가는 마음 처음으로)  だれよりも愛しい  다레요리모이토시니  (누구보다도사랑스러워)  肌が触れるたび　もっと欲しくなる I know  하다가후레루타비 못토호시쿠나루 I know  (피부가닿을때마다 점점더원하게되 I know)  そばにいたい  소바니이타이  (곁에있고싶어)  抱きしめて I`ll kiss you  다키시메테 I`ll kiss you  (안아주세요 I`ll kiss you)  大丈夫　甘えていい  다이죠오부 아마에테이이요  (괜찮아 어리광부려도되요)  あなたとここにいる  아나타토코코니이루  (당신과여기에있을거예요)  変わらない  카와라나이  (변하지않아요)  疲れたら I`ll hold you  츠카레타라 I`ll hold you  (지치고피곤할때 I`ll hold you)  やさしく　包んであげる  야사시쿠 츠츤데아게루  (다정하게 감싸줄께)  いつも強がっている  이츠모츠요갓테이루  (언제나강한척하는)  あなたを守りたいの  아나타오마모리타이노  (당신을지켜주고싶어)  いま　目覚めたら　隣にあなたがいることが  이마 메자메타라 토나리니아나타가이루코토가  (지금 눈을뜨면 옆에당신이있다는게)  こんなにも　私を　幸せな気分に Oh yes  콘나니모 와타시오 시아와세나키분니 Oh yes  (이렇게도 나를 행복한기분으로 Oh yes)  ばかに何もいらない  호카니나니모이라나이  (다른거아무것도필요없어요)  抱きしめて I`ll kiss you  다키시메테 I`ll kiss you  (안아주세요 I`ll kiss you)  大丈夫　甘えていいよ  다이죠오부 아마에테이이요  (괜찮아 어리광부려도되요)  あなただけ見つめてる  아나타다케미츠메테루  (당신만바라보는)  私が好き？  와타시가스키?  (내가좋나요?)  疲れたら I`ll hold you  츠카레타라 I`ll hold you  (당신이지치면 I`ll hold you)  目を閉じ　髪をなでて  메오토지 카미오나데테  (눈을감고 머리를쓰다듬으며)  いつも頑張っている  이츠모감밧테이루  (언제나열심히인)  あなたが大好きなの  아나타가다이스키나노  (당신이정말좋아요)  抱きしめて I`ll kiss you  다키시메테 I`ll kiss you  (안아주세요 I`ll kiss you)  大丈夫　甘えていいよ  다이죠오부 아마에테이이요  (괜찮아 어리광부려도되요)  あなたとここにいる  아나타토코코니이루  (당신과여기에있을거예요)  変わらない  카"
20071207,천상지희 더 그레이스,We Wish You A Merry Christmas & Feliz Navidad,female,발라드,-,J.M. Feliciano,J.M. Feliciano,(주)SM엔터테인먼트,We wish you a merry Christmas We wish you a merry Christmas We wish you a merry Christmas And a happy New Year We wish you a merry Christmas We wish you a merry Christmas We wish you a merry Christmas And a happy New Year Good tidings we bring to you and your kin Good tidings for Christmas And a Happy New Year Feliz Navidad Feliz Navidad Feliz Navidad Prospero Ano y Felicidad Feliz Navidad Feliz Navidad Feliz Navidad Prospero Ano y Felicidad I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas From the bottom of my heart We wanna wish you a Merry Christmas We wanna wish you a Merry Christmas We wanna wish you a Merry Christmas From the bottom of my heart Feliz Navidad Feliz Navidad Feliz Navidad Prospero Ano y Felicidad Feliz Navidad Feliz Navidad Feliz Navidad Prospero Ano y Felicidad I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas From the bottom of my heart We wanna wish you a Merry Christmas We wanna wish you a Merry Christmas We wanna wish you a Merry Christmas From the bottom of my heart 부드런 솜털 같은 눈 맞으며 날아 보아요 내 옆의 사랑하는 사람들 꼭 안고서 I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas I wanna wish you a Merry Christmas From the bottom of my heart We wanna wish you a Merry Christmas We wanna wish you a Merry Christmas We wanna wish you a Merry Christmas From the bottom of my heart We wanna wish you a Merry Christmas From the bottom of my heart
20071114,천상지희 더 그레이스,Piranha,female,J-POP,-,-,-,(주)SM엔터테인먼트,Hey boy Don't you hold me tight 지리지리또 Tonight love is so sweet 나라시타 히루 츠마사키오 쿠미카에타 소노도키가 take a chance 수이소우미따이 마치와 코이니유레우고 사카나 타치노댄스 you made my soul a burning fire 히라히라또 피라니아 미따이나키스오시테 유라유라또 니이로노우미 오보레떼오아츠쿠 Oh baby 와나와나또 히론다도키 아나타와키에루 오아이니쿠사마네 Do 메이도 in love Do 메이도 in love kiss me more Gonna make me cry 토키토키와 love is stone as cold as ice 칸가에루코또가 오오쿠테 It's make me blue 카타가코루노데스 I miss you so 코요이 think about you 아시타난떼마다미누Candle light you get to be my one desire 히라히라또 피라니아 미따이니카미쯔미떼 기자기자또 와쓰라레이나이 키즈호노 코시따이 Oh baby 키라키라토 에이엔난테 호시쿠모나이케도 나가메세시마니so game in love Deep game in Love 아이와오카네쟈카에 나이토오토이모노다네 Any thing but No money쟈아이오치카우다이 야와카에와시나이요 히라히라또 피라니아 미따이나키스오시테 유라유라또 니이로노우미 오보레떼오아츠쿠 Oh baby 와나와나또 히론다도키 아나타와키에루 오아이니쿠사마네 Do 메이도 in love 히라히라또 피라니아 미따이니카미쯔미떼 기자기자또 와쓰라레이나이 키즈호노 코시따이 Oh baby 키라키라토 에이엔난테 호시쿠모나이케도 나가메세시마니 Deep game in Love 나가메세시마니다키시메테
20071114,천상지희 더 그레이스,"One More Time, OK?",female,J-POP,-,-,-,(주)SM엔터테인먼트,Yeah yeah e yeah yeah  마요나카스기니  하지마루 드라마  Ooh baby you sure 'bout that  후타리누케다소 Party is over  You run into danger  메토메앗타 슌칸니  키타이시타 텐카이와 No 'til  에스코토시테 스바야쿠  키미노 아이마데  Everybody stop  쿠세니나리 소 나시게키  One more time OK  야케도시소  콩야모 키미와쇼게키  I will give my love for you  Nobody wait    Yeah yeah e yeah yeah  지칸오 토메테와가마마 딜레마  Ooh baby you sure 'bout that  누레테타이노니 쟈마나  clothes yeah  You're talkin' too nasty  아리노 마마노 와타시오  우케토메테 호시이다케  all night  코토바요리모 쿠치즈케  아후레사세테요  Everybody stop  모에츠키 소 나타메이키  One more time OK  난도데모 다키시메테요 다이탄니  I will give my love for you  Nobody wait    아리키타리토카 can be true  스페셜나 요루니시테 Freaky  쿠세니나리 소나 포이즌  this time you  don't let me down  Everybody stop  코노마마 세카이오토메테  One more time OK  난도데모 츠요쿠츠요쿠  다키시메테  I will give my love for you  Everybody stop  코노마마 세카이오토메테  One more time OK  난도데모 츠요쿠츠요쿠  다키시메테  I will give my love for you  One more time OK  for you  Nobody wait
