년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101104,초신성,누가 뭐래도,male,"댄스, 국내드라마",-,김원,김원,마루기획(주),yeah it's time to keep the faith baby listen to me right come on Everything gonna be alright Everything gonna be OK 언제나 you and i 함께 너와 함께 있을게 i do 사람들이 뭐라 해도 i do 내 가슴이 시킨대로 가끔 눈물이 내 맘 적셔도 And i wish you i wish you again My love my love My love my love 눈을 감아도 너만 보여 My heart my heart My heart my heart 내 가슴이 터질 듯이 오직 너 너 너만을 위해 그래 너 너 너 하나면 돼 i can fly i can fly 내게 다가올 그 날을 위해 조금 더 더 더 날아올라 그래 더 더 더 내게로 와 tell me why why don't you bye 누가 뭐래도 난 언제나 My way 누가 뭐래도 괜찮아 누가 뭐래도 상관없어 누가 뭐래도 누가 뭐래도 Doesn't matter what you say i know 때론 내가 흔들려도 i know 누가 잡아줄 거란걸 자꾸 세상이 날 시험해도 And i need you i need you again My life my life My life my life 이 길의 끝에 서 있을게 My way my way My way my way 이제 더는 두려워 말고 오직 너 너 너만을 위해 그래 너 너 너 하나면 돼 i can fly i can fly 내게 다가올 그 날을 위해 조금 더 더 더 날아올라 그래 더 더 더 내게로 와 tell me why why don't you bye 누가 뭐래도 난 언제나 My way 저 높은 하늘로 날아올라 너와 함께라면 나는 행복해 내 전부니까 두려울게 없으니까 오직 너 너 너만을 위해 그래 너 너 너 하나면 돼 i can fly i can fly 내게 다가올 그 날을 위해 조금 더 더 더 날아올라 그래 더 더 더 내게로 와 tell me why why don't you bye 누가 뭐래도 난 언제나 My way 너를 숨겨온 ask me why 난 말할 수 없어 sky high 손으로 하늘을 가릴 수 없듯이 널 향한 내 마음 On my way
20100818,초신성,Intro,male,댄스,-,마부스,똘아이박,마루기획(주),-
20100818,초신성,그리운 날에,male,댄스,-,마부스,별들의 전쟁 (GALACTIKA *),마루기획(주),I miss u baby just come back it's brave 이젠 잊어야지 이젠 지워야지 그리운 널 니가 그리운 날엔 니가 보고픈 날엔 밤새워 나 그대만을 그리다가 쓰러져 울다가 웃다가 또 그댈 부른다 니가 그리운 날엔 죽도록 보고픈 날엔 하늘위에 그대 이름 써본다 아프고 아픈 나의 사랑 유난히 오늘도 눈이 부신 날 보내지 못 할 편지를 써보는 나 널 떠나보낸 날 그 날을 기억해 아무 말 못한채 눈물만 흘리던 너 사랑 그 까짓게 뭐라고 날 울려 이별 그 까짓게 뭐라고 날 아프게 해 이별이란 그림자 그리 길 줄은 몰랐다 혼자 남아 버려진 내 안에 깊어진 상처 니가 그리운 날엔 니가 보고픈 날엔 밤새워 나 그대만을 그리다가 쓰러져 울다가 웃다가 또 그댈 부른다 니가 그리운 날엔 죽도록 보고픈 날엔 하늘위에 그대 이름 써본다 아프고 아픈 나의 사랑 다시 돌아올 수는 없는 거니 니가 떠나고 난 긴 빈자리 우두커니 홀로 서 있어 I want you back girl in ma world 넌 지금 어디 있니 니가 그리워 나 너도 같은 맘이니 항상 너만 그려 사랑 그 까짓게 뭐라고 날 울려 이별 그 까짓게 뭐라고 날 아프게 해 이별이란 그림자 그리 길 줄은 몰랐다 혼자 남아 버려진 내 안에 깊어진 상처 니가 그리운 날엔 니가 보고픈 날엔 밤새워 나 그대만을 그리다가 쓰러져 울다가 웃다가 또 그댈 부른다 니가 그리운 날엔 죽도록 보고픈 날엔 하늘위에 그대 이름 써본다 아프고 아픈 나의 사랑 그립고 그리워 baby girl you are the only one 죽어도 난 너를 못잊어 call call me girl 너를 지우지 못해 슬퍼하죠 눈을 감아도 니 생각뿐 오늘 같은 날에는 자꾸 니가 떠올라 Shawty stop make me cry 니가 그리운 날엔 니가 보고픈 날엔 밤새워 나 그대만을 그리다가 쓰러져 울다가 웃다가 또 그댈 부른다 니가 그리운 날엔 죽도록 보고픈 날엔 하늘위에 그대 이름 써본다 아프고 아픈 나의 사랑
20100818,초신성,라라라,male,댄스,-,마부스,별들의 전쟁 (GALACTIKA *),마루기획(주),Let's get down Watch out it's BRAVESOUND Shut up and listen 이건 너의 심장을 뒤흔들 노래 한번 듣고 나면 헤어나질 못해 토끼눈을 뜨고 깜짝 놀래 Don't touch me get out the way now 날 두고 떠나면 너만 손해 이제부터 넌 나의 노예 모든 흐름은 우리의 손에 So let me see ya get down 사랑한단 말 너무 뻔한 거짓말 닳고 또 닳아서 듣기조차 싫어져 미안하단 말 지겨워 질대로 지겨운 말 이젠 그만해 내 앞에서 좀 사라져 So it goes 따따라따 따따라 따따라따 따따라 날 따라 모두 노래 불러봐 랄랄라 더 신나게 And it goes 따따라따 따따라 따따라따 따따라 날 따라 모두 소리 질러봐 Na na na 좀 더 크게 Hey DJ Take me away Hands up 미친듯이 소리쳐봐 Hey DJ Turn it up now 외쳐 La la la la la la la la Hey polka dot girl you know what's up 뭐하다가 이제 왔어 아까부터 너를 지켜봤어 I like yo 매력적인 속눈썹 All I wanna do is make you dance I don't need ya name shake it for the cam Let me see ya booty clap clap 흔들어봐 body like that that 사랑한단 말 너무 뻔한 거짓말 닳고 또 닳아서 듣기조차 싫어져 미안하단 말 지겨워 질대로 지겨운 말 이젠 그만해 내 앞에서 좀 사라져 So it goes 따따라따 따따라 따따라따 따따라 날 따라 모두 노래 불러봐 랄랄라 더 신나게 And it goes 따따라따 따따라 따따라따 따따라 날 따라 모두 소리 질러봐 Na na na 좀 더 크게 Hey DJ Take me away hands up 미친듯이 소리쳐봐 Hey DJ Turn it up now 외쳐 La la la la la la la la
20100818,초신성,그리운 날에 (Acoustic Ver.),male,발라드,-,마부스,별들의 전쟁 (GALACTIKA *),마루기획(주),I miss u baby just come back it's brave 이젠 잊어야지 이젠 지워야지 그리운 널 니가 그리운 날엔 니가 보고픈 날엔 밤새워 나 그대만을 그리다가 쓰러져 울다가 웃다가 또 그댈 부른다 니가 그리운 날엔 죽도록 보고픈 날엔 하늘위에 그대 이름 써본다 아프고 아픈 나의 사랑 유난히 오늘도 눈이 부신 날 보내지 못 할 편지를 써보는 나 널 떠나보낸 날 그 날을 기억해 아무 말 못한채 눈물만 흘리던 너 사랑 그 까짓게 뭐라고 날 울려 이별 그 까짓게 뭐라고 날 아프게 해 이별이란 그림자 그리 길 줄은 몰랐다 혼자 남아 버려진 내 안에 깊어진 상처 니가 그리운 날엔 니가 보고픈 날엔 밤새워 나 그대만을 그리다가 쓰러져 울다가 웃다가 또 그댈 부른다 니가 그리운 날엔 죽도록 보고픈 날엔 하늘위에 그대 이름 써본다 아프고 아픈 나의 사랑 다시 돌아올 수는 없는 거니 니가 떠나고 난 긴 빈자리 우두커니 홀로 서 있어 I want you back girl in ma world 넌 지금 어디 있니 니가 그리워 나 너도 같은 맘이니 항상 너만 그려 사랑 그 까짓게 뭐라고 날 울려 이별 그 까짓게 뭐라고 날 아프게 해 이별이란 그림자 그리 길 줄은 몰랐다 혼자 남아 버려진 내 안에 깊어진 상처 니가 그리운 날엔 니가 보고픈 날엔 밤새워 나 그대만을 그리다가 쓰러져 울다가 웃다가 또 그댈 부른다 니가 그리운 날엔 죽도록 보고픈 날엔 하늘위에 그대 이름 써본다 아프고 아픈 나의 사랑 그립고 또 그리워 baby girl you are the only one 죽어도 난 너를 못잊어 call call me girl 너를 지우지 못해 슬퍼하죠 눈을 감아도 니 생각뿐 오늘 같은 날에는 자꾸 니가 떠올라 Shawty stop make me cry 니가 그리운 날엔 니가 보고픈 날엔 밤새워 나 그대만을 그리다가 쓰러져 울다가 웃다가 또 그댈 부른다 니가 그리운 날엔 죽도록 보고픈 날엔 하늘위에 그대 이름 써본다 아프고 아픈 나의 사랑
20100818,초신성,그리운 날에 (Inst.),male,댄스,-,-,별들의 전쟁 (GALACTIKA *),마루기획(주),-
20100818,초신성,TTL Listen.2 (With 티아라) (Feat. 이해리 Of 다비치),male,댄스,-,상추,라이머,마루기획(주),떠나지마 떠나지마 다시 한 번 돌아봐 이렇게 보낼 수 없는데 Never say goodbye You won't make me cry 기다려 너 하나만 날 바라보던 너의 그 눈빛 널 놓친 난 정말 Stupid 이미 가슴에 꽂힌 Cupid 화살도 뽑아버렸어 난 정말 바보지 쓸데없는 자존심 세우다 못해 맘에도 없는 바보같은 말로 딱 잘라서 너를 보냈어 이렇게 떠나 하루하루 어쩌나 아직까지 내게 이별은 서둘러 결국 내 입술은 참지 못해 니 이름을 불러 바보같은 나 오늘도 술잔을 못 놔 너무 힘들어 너도 이런 나와 같다면 돌아와 제발 나를 잡아줘 떠나지마 다시 한 번 돌아봐 이렇게 보낼 수 없는데 Never say goodbye You won't make me cry 기다려 너 하나만 U act like bad boy but 내겐 천사란 바로 너 너만이 Ma b a b y 허나 가슴 아픈 비애 We cry 하루 종일 바라보는 전화기 이런 내 마음을 하늘이 전하길 아직 이별앞엔 서툴러 Want you back itz time to love 이렇게 떠나 하루하루 어쩌나 아직까지 내게 이별은 서둘러 결국 내 입술은 참지 못해 니 이름을 불러 바보같은 나 오늘도 술잔을 못 놔 너무 힘들어 너도 이런 나와 같다면 돌아와 제발 나를 잡아줘 떠나지마 다시 한 번 돌아봐 이렇게 보낼 수 없는데 Never say goodbye You won't make me cry 기다려 너 하나만 Uh uh uh yo 마치 해와 달의 숨바꼭질 아무리 애를 써도 잡을수가 없지 시간이 우릴 더욱 갈라놓지 점점 더 Yo 마치 해와 달의 숨바꼭질 아무리 애를 써도 잡을수가 없지 시간이 우릴 더욱 갈라놓지 이렇게 서롤 그리워하겠지 결국 이렇게 보낼 수 없는데 어디있어 난 아직 여기에 있어 돌아와줘 사랑해도 사랑할 수 없는 너 미워도 지울 수 없는 너 남겨진 내겐 그저 눈물뿐 I can't live without your love 떠나지마 다시 한 번 돌아봐 이렇게 보낼 수 없는데 Never say goodbye You won't make me cry 기다려 너 하나만
20091009,초신성,TTL Listen 2,male,댄스,-,상추,김도훈 (RBW),마루기획(주),떠나지마 다시 한번 돌아봐 이렇게 보낼 수 없는데 Never say goodbye You won't make me cry 기다려 너 하나만 날 바라보던 너의 그 눈빛 널 놓친 난 정말 stupid 이미 가슴에 꽂힌 큐핏 화살도 뽑아 버렸어 난 정말 바보지 쓸데없는 자존심 세우다 못해 맘에도 없는 바보같은 말로 딱 잘라서 너를 보냈어 이렇게 떠나 하루하루 어쩌나 아직까지 내게 이별은 서툴러 결국 내 입술은 참지 못해 니 이름을 불러 바보같은 나 오늘도 술잔을 못놔 너무 힘들어 너도 이런 나와 같다면 돌아와 제발 나를 잡아줘 떠나지마 다시 한번 돌아봐 이렇게 보낼 수 없는데 Never say goodbye You won't make me cry 기다려 너 하나만 You act like bad boy but 내겐 천사란 바로 너 너만이 MA b a b y 허나 가슴 아픔 비애 we cry 하루종일 바라보는 전화기 이런 내 맘을 하늘이 전하길 아직 이별 앞엔 서툴러 Want you back its time to love 이렇게 떠나 하루하루 어쩌나 아직까지 내게 이별은 서툴러 결국 내 입술은 참지 못해 니 이름을 불러 바보같은 나 오늘도 술잔을 못놔 너무 힘들어 너도 이런 나와 같다면 돌아와 제발 나를 잡아줘 떠나지마 다시 한번 돌아봐 이렇게 보낼 수 없는데 Never say goodbye You won't make me cry 기다려 너 하나만 yo 마치 해와 달의 숨바꼭질 아무리 애를 써도 잡을 수가 없지 시간이 우릴 더욱 갈라놓지 점점더 Yo 마치 해와 달의 숨바꼭질 아무리 애를 써도 잡을 수가 없지 시간이 우릴 더욱 갈라 놓지 이렇게 서롤 그리워 하겠지 결국 이렇게 보낼 수 없는데 어디있어 난 아직 여기에 있어 돌아와 줘 사랑해도 사랑할 수 없는 너 미워도 지울 수 없는 너 남겨진 내겐 그저 눈물 뿐 I can't live without your love 떠나지마 다시 한번 돌아와 이렇게 보낼 수 없는데 Never say goodbye You won't make me cry 기다려 너 하나만
20090915,초신성,TTL (Time To Love),male,댄스,-,-,-,마루기획(주),can't stop we won't stop can't stop we won't stop ye U know we don't stop I just want you back 좋은 사람 너는 내게 첫사랑 사랑을 가르쳐 준 사람 Never Forget You I Remember You 기억해 너 하나만 혹시나 너를 볼까  니가 사준 옷을 입고 니가 좋아하던  짧은 머리를 하고 너와 함께 걷던 그 길을 지나 가기 위해서 굳이 먼길을 돌았어 혹시 니가 있을까봐 전화번호도 아직 그대로 혹시 나를 찾아 올까봐  집도 그대로 내 미니홈피 속에 너와  듣던 노래뿐 혹시 니가 올까봐 다시  돌아 올까봐 우리는 아직 잊지 못했는데 우리는 아직 서로 원하는데 우린 아직 사랑 하는데 엇갈려 사실은 보고 싶은데 미치도록 너를 보고 싶은데 한없이 널 기다려 결국 너를 기다려 혹시하고 멈춰서  제자리를 맴도네 좋은 사람 너는 내게 첫사랑 사랑을 가르쳐 준 사람 Never Forget You I Remember You 기억해 너 하나만 Yo 혹시나 너를 볼까봐 보게 되면 흔들릴까 봐 내 맘이 약해질까봐 말라 비튼 날 보일까봐 너와 함께 걷던 그 길을 피하기 위해서 굳이 먼길을 돌았어 혹시 니가 있을까봐 전화번호도 이미 바꿨어 혹시 니 생각이 날까  집도 옮겼어 하지만 입에선  아직 못한 말이 새 혹시 너를 볼까봐  다시 돌아 올까봐 우리는 아직 잊지 못했는데 우리는 아직 서로 원하는데 우린 아직 사랑 하는데 엇갈려 사실은 보고 싶은데 미치도록 너를 보고 싶은데 한없이 널 기다려 결국 너를 기다려 혹시하고 멈춰서  제자리를 맴도네 좋은 사람 너는 내게 첫사랑 사랑을 가르쳐 준 사람 Never Forget You I Remember You 기억해 너 하나만 다시 시작해 말하고 싶지만 들리지도 또 보이지 않는 너를 찾고 있어 쏟아지는 장대비를 맞은채 우리 처음 만난  그곳으로 가는데 자신이 너무나도 한심해 당신의 따스했던 자리 아직 가슴에 넌 더 견딜 수 있니 그럼 나도 조금 더 견딜테니 하지만 힘이 좀 들꺼야 너무 사랑 했잖아 참으려 애를 써봤어도 어쩔 수가 없어 혹시라도 우연히 널 볼까봐 그대가 내 모습 볼까봐 거울을 보며 눈물을 감춰 혹시나 너 올까봐 혹시나 그대 내게 올까봐 좋은 사람 너는 내게 첫사랑 사랑을 가르쳐 준 사람 그대가 내 인생의 첫사랑 Never Forget You I Remember You 기억해 너 하나만 나 아직 기억해 너 하나만
20080415,초신성,Super Star,male,발라드,-,마리오,PJ,마루기획(주),Anytime I need you baby you're my superstar 이미 이미 달아오른 party star Everyday every night you're my sexystar 깊이 깊이 빠져드는 hot time 우리 둘이 뜨겁게 숨을 쉬듯 뜨겁게 긴기다림 모르게 사랑한다 말해 one two three four 내곁에 어느새 이렇게 왔어 빠르게 그렇게 내게로 왔어 언제나 내맘은 널 향하고 있었는데 너무나도 오랜시간 너만 기다렸는데 바래왔던 시간 준비된 이공간 말로 하지 못해 나와 함께하는 이순간 너의 모든것을 맡겨 나를 비추는 화려한 불빛 아래 나를 유혹하는 몸짓 나를 뜨겁게 바라보는 눈빛 내눈을 바라보며 흔드는 네 손짓에 빠져 들어가 나 녹아 들어가 숨도 쉬지 못할만큼 네게 다가가 이시간에 넌 on and on and break it on let's party on Anytime I need you baby you're my superstar 이미 이미 달아오른 party star Everyday every night you're my sexystar 깊이 깊이 빠져드는 hot time 우리 둘이 뜨겁게 숨을 쉬듯 뜨겁게 긴기다림 모르게 사랑한다 말해 이렇게 나 미치도록 너를 원해 지금 나를 바라보는 너의 눈에 내게 다가오는 너의 몸에 눈을 떼지 못해 말도 하지 못해 내 모든걸 이렇게 네가 가져가는데 무슨말이 더 필요해 나 너에게 원하는거 더 남아있지 않은데 지금 이순간 나만을 위한 시간 이것만이 중요해 그것만을 원해 눈을 감아봐 모두 흔들어봐 너와 내가 하나되는 이 시간을 느껴봐 살벌했던 순간들은 더 이상 필요없지 뻔하디 뻔한 남자 그들과 난 다르지 그곳에서 기다려 oh 그대여 on 시간 지금이라도 music on is party on 오랫동안 찾아왔던 네가 바란 사람 원한 사람 지금 네 눈 앞에 있는 나란 사람 Anytime I need you baby you're my superstar 이미 이미 달아오른 party star Everyday every night you're my sexystar 깊이 깊이 빠져드는 hot time 우리 둘이 뜨겁게 숨을 쉬듯 뜨겁게 긴기다림 모르게 사랑한다 말해 We know you like it 네가 원하는 거 나 알고있어 supernovas got it 내가 달려갈께 지금 네 눈 앞에 We know you like it 너도 나를 원하잖아 기다려왔잖아 supernovas got it 서로 깊이 빠져들어 영원토록 사랑한다 말해 Anytime I need you baby you're my superstar 두근 두근 가슴뛰는 dark night Everyday every night you're my sexystar 조금만 더 다가와줘 right now 우리 둘이 뜨겁게 숨을 쉬듯 뜨겁게 긴기다림 모르게 사랑한다 말해
