년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101110,카라,Love Is,female,댄스,-,송수윤,김승수,DSP미디어,너무 아프다고 투덜거려도 그저 훌쩍훌쩍 거린다 해도  그냥 멍 때리며 시간 보내도 거짓말처럼 오진 않겠죠    괜히 맘에 없던 쇼핑 해봐도 가끔 헤죽헤죽 웃어보아도  까짓껏 잊자잊자 잊자잊자 그렇게 다짐해봐도    * 사랑은 항상 언제나 아쉽다 뒤 돌아서면은 또 다시 그리워져      이별은 항상 언제나 외롭다 누구도 널 대신 못해  just oh my love...   추억은 항상 언제나 그립다 한결같이  너를 또 또 보고싶게 해   I cry everyday cause love U *      rap)기다리라 말하면 기다릴텐데  떠나가라 말하면 할 수 없어요  사랑하는 사랑하던 사랑받던 사랑이  사랑스런 사랑밖에 모르던 그 사람을  언제나 따듯하던 그렇게 포근하던  그 사람이 사랑이 난 기다릴게요 좀 늦겠죠 그쵸?    너무 힘들때만 들춰내봐도 그저 못한 일만 떠올려봐도   그냥 미워하며 잊길 바래도 없던 일처럼 되진 않겠죠    괜히 바쁜듯이 부산떨어도 가끔 쓰러질 듯 울어보아도  까짓껏 웃자웃자 웃자웃자 그렇게 다짐해봐도    * Repeat    to you..just oh my love     rap)내 눈물 멈추게 해줄 목소리 속삭임  내 슬픔 그치게 해줄 한 마디 oh my love    추억은 항상 마음에 머문다 한결같이 너만 또 또 다시 찾게 돼  I cry everyday cause love U    just oh my love... to you...just oh my love... to you...  just oh my love... to you...just oh my love...
20101110,카라,점핑 (Jumping),female,댄스,-,송수윤,김승수,DSP미디어,Jumpin' Jumpin' Jumpin' up Jumpin' Jumpin' Jumpin' up   Jumpin' up Jumpin' up     슬픈 기억 지울래 점점  멀어지는 너를 잡을래 Jump Jump  날 기다렸던 그 시간으로 다시 갈래    애써 바래 예 애써 바래 이예   애써 바래 애쓴 맘에 그때의 U&I    *Just nothing 베tter Only YOU   기억 속 너를 깨워 Jumpin' Jumpin' Jumpin' up Only YOU   잠든 사랑을 깨워 Jumpin' Jumpin' Jumpin' up Only YOU   그때로 Jumpin' up Only YOU  너에게 Jumpin' up Only YOU~~*     Jumpin' up Jumpin' up     다시 바래 예 다시 바래 이예   다시 바래 애쓴 맘에 그때의 U&I    * Reapt    take on me take on me take on me ye~  U U U U  take on me take on me take on me ye~    넌 나의 다이아 Only YOU   얼음 속 너를 녹여 Jumpin' Jumpin' Jumpin' up Only YOU   녹슨 추억을 닦아 Jumpin' Jumpin' Jumpin' up Only YOU   그때로 Jumpin' up Only YOU  이대로 Jumpin' up Only YOU~~     Nothing Only YOU   기억 속 너를 깨워 Jumpin' Jumpin' Jumpin' up Only YOU   잠든 사랑을 깨워 Jumpin' Jumpin' Jumpin' up Only YOU   그때로 Jumpin' up Only YOU  너에게 Jumpin' up Only YOU~~     Jumpin' Jumpin' Jumpin' up Jumpin' Jumpin' Jumpin' up   Jumpin' up Jumpin' up
20101110,카라,Love Is,female,댄스,-,송수윤,김승수,DSP미디어,너무 아프다고 투덜거려도 그저 훌쩍훌쩍 거린다 해도  그냥 멍 때리며 시간 보내도 거짓말처럼 오진 않겠죠    괜히 맘에 없던 쇼핑 해봐도 가끔 헤죽헤죽 웃어보아도  까짓껏 잊자잊자 잊자잊자 그렇게 다짐해봐도    * 사랑은 항상 언제나 아쉽다 뒤 돌아서면은 또 다시 그리워져      이별은 항상 언제나 외롭다 누구도 널 대신 못해  just oh my love...   추억은 항상 언제나 그립다 한결같이  너를 또 또 보고싶게 해   I cry everyday cause love U *      rap)기다리라 말하면 기다릴텐데  떠나가라 말하면 할 수 없어요  사랑하는 사랑하던 사랑받던 사랑이  사랑스런 사랑밖에 모르던 그 사람을  언제나 따듯하던 그렇게 포근하던  그 사람이 사랑이 난 기다릴게요 좀 늦겠죠 그쵸?    너무 힘들때만 들춰내봐도 그저 못한 일만 떠올려봐도   그냥 미워하며 잊길 바래도 없던 일처럼 되진 않겠죠    괜히 바쁜듯이 부산떨어도 가끔 쓰러질 듯 울어보아도  까짓껏 웃자웃자 웃자웃자 그렇게 다짐해봐도    * Repeat    to you..just oh my love     rap)내 눈물 멈추게 해줄 목소리 속삭임  내 슬픔 그치게 해줄 한 마디 oh my love    추억은 항상 마음에 머문다 한결같이 너만 또 또 다시 찾게 돼  I cry everyday cause love U    just oh my love... to you...just oh my love... to you...  just oh my love... to you...just oh my love...
20101110,카라,점핑 (Jumping),female,댄스,-,송수윤,김승수,DSP미디어,Jumpin' Jumpin' Jumpin' up Jumpin' Jumpin' Jumpin' up   Jumpin' up Jumpin' up     슬픈 기억 지울래 점점  멀어지는 너를 잡을래 Jump Jump  날 기다렸던 그 시간으로 다시 갈래    애써 바래 예 애써 바래 이예   애써 바래 애쓴 맘에 그때의 U&I    *Just nothing 베tter Only YOU   기억 속 너를 깨워 Jumpin' Jumpin' Jumpin' up Only YOU   잠든 사랑을 깨워 Jumpin' Jumpin' Jumpin' up Only YOU   그때로 Jumpin' up Only YOU  너에게 Jumpin' up Only YOU~~*     Jumpin' up Jumpin' up     다시 바래 예 다시 바래 이예   다시 바래 애쓴 맘에 그때의 U&I    * Reapt    take on me take on me take on me ye~  U U U U  take on me take on me take on me ye~    넌 나의 다이아 Only YOU   얼음 속 너를 녹여 Jumpin' Jumpin' Jumpin' up Only YOU   녹슨 추억을 닦아 Jumpin' Jumpin' Jumpin' up Only YOU   그때로 Jumpin' up Only YOU  이대로 Jumpin' up Only YOU~~     Nothing Only YOU   기억 속 너를 깨워 Jumpin' Jumpin' Jumpin' up Only YOU   잠든 사랑을 깨워 Jumpin' Jumpin' Jumpin' up Only YOU   그때로 Jumpin' up Only YOU  너에게 Jumpin' up Only YOU~~     Jumpin' Jumpin' Jumpin' up Jumpin' Jumpin' Jumpin' up   Jumpin' up Jumpin' up
20101110,카라,Burn,female,댄스,-,송수윤,김승수,DSP미디어,ye~  ye~  No.1 No.1  party on the floor b bring it on    나나나나 나나나 나나나나 나나나 나나나나 나나나 oh ye~  나나나나 나나    이봐 뭐? 이 세사 짐은 너 혼자 졌다고?  뭐? 또 정신없이 힘들어 한다? oh no no~  천만에 그럴수록 잠시 잊고 몸을 풀어~    Hey! 늘 짜증나고 또 또 피곤하지  Hey! Hey! 늘 고민에 답답한 일은  Hey! 늘 달고 사는 무거워진 짐을 모두 던져    알만해 삐꺽 알만해 삐꺽 말은 잘해 말은 잘해   몸이 따라가겠어   알만해 삐꺽 알만해 삐꺽 가면을 벗어 너를 보여줘    힘껏 dump dump (dump!) 흔들어주고   힘껏 burn burn (burn!) 걱정을 던져  때론 dump dump 때론 burn burn 난나난나나 난난난나  좀더 dump dump (dump!) 달아올라봐  좀더 burn burn (burn!) 맘껏 터트려  때론 dump dump (dump!) 때론 burn burn (burn!)   난나난나나 난난난나 (burn!)     get Ur get Ur get Ur hands   get Ur get Ur get Ur hands   get Ur get Ur get Ur hands  get Ur get Ur get Ur hands up    나나나나 나나나 나나나나 나나나 나나나나 나나나 oh ye~  나나나나 나나    Hey! 늘 짜증나고 또 또 걸어가지  Hey! Hey! 막무가내 밀어붙이기  Hey! 자 잠시 서서 무거워진 짐을 모두 던져    말만해 삐꺽 말만해 삐꺽 말은 잘해 말은 잘해   말로 집도 짓겠어  말만해 삐꺽 말만해 삐꺽 가면을 벗어 너를 보여줘    힘껏 dump dump (dump!) 흔들어주고   힘껏 burn burn (burn!) 걱정을 던져  때론 dump dump 때론 burn burn 난나난나나 난난난나  좀더 dump dump (dump!) 달아올라봐  좀더 burn burn (burn!) 맘껏 터트려  때론 dump dump (dump!) 때론 burn burn (burn!)   난나난나나 난난난나 (burn!)    난나난나나 난난난나  get Ur get Ur get Ur hands   get Ur get Ur get Ur hands   get Ur get Ur get Ur hands  get Ur get Ur get Ur hands up    힘껏 dump dump (dump!) 흔들어주고   힘껏 burn burn (burn!) 걱정을 던져  때론 dump dump 때론 burn burn 난나난나나 난난난나  좀더 dump dump (dump!) 달아올라봐  좀더 burn burn (burn!) 맘껏 터트려  때론 dump dump (dump!) 때론 burn burn (burn!)   난나난나나 난난난나 (burn!)    나나나나 나나나 흔들어주고   나나나나 나나나 걱정을 던져  나나나나 나나나 난나난나나 난난난나  나나나나 나나나  달아올라봐  나나나나 나나나  맘껏 터트려  때론 dump dump (dump!) 때론 burn burn (burn!)   난나난나나 난난난나 (burn!)
20101110,카라,Binks,female,댄스,-,송수윤,김승수,DSP미디어,점점 맘에 니가 내려 자꾸만 촉촉하게 내려  왼손 내밀어 심장 가려도 떨리는 마음에   내 가슴이 자꾸 시려    점점 니가 커져만 가   자꾸만 점점 내가 작아져가  두 손 내밀어 두 눈 가려도   빨개진 두 눈은 아무래도 원하나봐    아이같이 LOVE U 지켜줘 Beautiful mind   아이같이 LOVE U 찾아줘 Beautiful mind   아이같이 LOVE U 매일같이 LOVE U  난 always be mine You're my only love    랄랄라랄라 랄랄라랄라   Binks Binks Binks Binks Binks Binks ye ye ye ye  랄랄라랄라 랄랄라랄라   Binks Binks Binks Binks Binks Binks ye ye ye ye      점점 맘이 차올라가 자꾸만 점점 너로 채워져 가  고개 돌려서 못 본 척 해도   널 보는 내 맘은 아무래도 원하나봐    아이같이 LOVE U 지켜줘 Beautiful mind   아이같이 LOVE U 찾아줘 Beautiful mind   아이같이 LOVE U 매일같이 LOVE U  난 always be mine You're my only love    틀 안에 갇힌 생각 편견에 빠진 눈빛 모두 다 상관 안할래  나는 그댈 믿어요 나는 그댈 믿어요  baby bam bam bam bam bam bam bam bam   Wish I knew    아이같이 LOVE U 지켜줘 Beautiful mind   아이같이 LOVE U 찾아줘 Beautiful mind   아이같이 LOVE U 매일같이 LOVE U  난 always be mine You're my only love    LOVE U (I love U) LOVE U (I love U) LOVE U 찾아줘  Beautiful mind  아이같이 LOVE U 매일같이 LOVE U  난 always be mine You're my only love    랄랄라랄라 랄랄라랄라   Binks Binks Binks Binks Binks Binks ye ye ye ye  랄랄라랄라 랄랄라랄라   Binks Binks Binks Binks Binks Binks ye ye ye ye
20101110,카라,With,female,댄스,-,송수윤,-,DSP미디어,가끔은 멈춰서 서로를 봐줄래 조금씩 엇나갈 수 있으니  한번쯤 뒤 돌아 보지 않을래 가끔은 서로 살펴주겠니    설레 발레 제치고 지쳐 넘어질때면 잡아줄래  앞서거니 뒷서거니 발맞춰가볼래     샤랄랄랄라 랄랄랄라 샤랄랄랄라라  흐르는대로 너와 함께 샤랄랄랄라라  바꾸려도 말고 맞추려도 말고 있는대로 바라봐줄래 우~  샤랄랄랄라 랄랄랄라 샤랄랄랄라라  두근대던 그 처음처럼만 샤랄랄랄라라  뒤따르던 내가 놓치지 않도록 조금만 천천히 걸어줘    가끔은 달라도 이해해줄래 서로를 너무 가두지말고  어쩌다 맞게 될 다툼마저도 우리를 위한 약이 될테니    설레 발레 제치고 지쳐 넘어질때면 잡아줄래  앞서거니 뒷서거니 발맞춰가볼래     샤랄랄랄라 랄랄랄라 샤랄랄랄라라  흐르는대로 너와 함께 샤랄랄랄라라  바꾸려도 말고 맞추려도 말고 있는대로 바라봐줄래 우~  샤랄랄랄라 랄랄랄라 샤랄랄랄라라  두근대던 그 처음처럼만 샤랄랄랄라라  앞서가는 너를 놓치지 않도록 조금만 천천히 걸어줘    남들처럼 할 필요는 없잖아   그때그때 우리만의 방식으로 나가줘    샤랄랄랄라 랄랄랄라 샤랄랄랄라라  흐르는대로 너와 함께 샤랄랄랄라라  바꾸려도 말고 맞추려도 말고 있는대로 바라봐줄래 우~  샤랄랄랄라 랄랄랄라 샤랄랄랄라라  두근대던 그 처음처럼만 샤랄랄랄라라  앞서가는 너를 놓치지 않도록 조금만 천천히 걸어줘    샤랄랄랄라 랄랄랄라 샤랄랄랄라라  앞으로 함께할 시간을 위해서 조금만 서로를 봐줄래
20101110,카라,점핑 (Jumping) (Inst.),female,댄스,-,-,김승수,DSP미디어,Jumpin' Jumpin' Jumpin' up Jumpin' Jumpin' Jumpin' up  Jumpin' up Jumpin' up  슬픈 기억 지울래 점점  멀어지는 너를 잡을래 Jump Jump  날 기다렸던 그 시간으로 다시 갈래  애써 바래 예 애써 바래 이예  애써 바래 애쓴 맘에 그때의 U&I  *Just nothing 베tter Only YOU  기억 속 너를 깨워 Jumpin' Jumpin' Jumpin' up Only YOU  잠든 사랑을 깨워 Jumpin' Jumpin' Jumpin' up Only YOU  그때로 Jumpin' up Only YOU  너에게 Jumpin' up Only YOU~~*  Jumpin' up Jumpin' up  다시 바래 예 다시 바래 이예  다시 바래 애쓴 맘에 그때의 U&I  * Reapt  take on me take on me take on me ye U U U U  take on me take on me take on me ye 넌 나의 다이아 Only YOU  얼음 속 너를 녹여 Jumpin' Jumpin' Jumpin' up Only YOU  녹슨 추억을 닦아 Jumpin' Jumpin' Jumpin' up Only YOU  그때로 Jumpin' up Only YOU  이대로 Jumpin' up Only YOU Nothing Only YOU  기억 속 너를 깨워 Jumpin' Jumpin' Jumpin' up Only YOU  잠든 사랑을 깨워 Jumpin' Jumpin' Jumpin' up Only YOU  그때로 Jumpin' up Only YOU  너에게 Jumpin' up Only YOU Jumpin' Jumpin' Jumpin' up Jumpin' Jumpin' Jumpin' up  Jumpin' up Jumpin' up
20100831,카라,2Me (투미),female,댄스,-,주영훈,주영훈,DSP미디어,Kiss me Touch me 말해봐 You love me Hug me Hold me 다가와 가까이 Show me Teach me 속삭여 You want me Feel me Take me 내게 와 천천히 Kiss me Touch me Hug me Hold me Show me Teach me Feel me Take me 그렇게 수줍어할 필요 없어 당당한 널 내게 보여줘 지금의 시간은 잠시 잊어둬 세상이 멈춘 듯이 Just tonight 맘의 문을 열어봐 가까이 속삭이듯 말해봐 Hold me tight 지친 나의 영혼을 너의 눈빛으로 다시 깨워줘 Kiss me Touch me 말해봐 You love me Hug me Hold me 다가와 가까이 Show me Teach me 속삭여 You want me Feel me Take me 내게 와 천천히 Kiss me Touch me just like the way you are Show me Teach me Tell me what you want for me Kiss me Touch me just like the way you are Show me Teach me Tell me what you want for me Kiss me Touch me Hug me Hold me Show me Teach me Feel me Take me 차가운 나만의 미소를 보며 조금씩 내게로 빠져봐 누구의 시선도 두렵지 않아 지금은 우리 뿐야 Just tonight 맘의 문을 열어봐 가까이 속삭이듯 말해봐 Hold me tight 지친 나의 영혼을 너의 눈빛으로 다시 깨워줘 Kiss me Touch me 말해봐 You love me Hug me Hold me 다가와 가까이 Show me Teach me 속삭여 You want me Feel me Take me 내게 와 천천히 Kiss me Touch me just like the way you are Show me Teach me Tell me what you want for me Kiss me Touch me just like the way you are Show me Teach me Tell me what you want for me Kiss me Touch me Hug me Hold me Show me Teach me Feel me Take me Kiss me Touch me
20100831,카라,2Me (MV Ver.),female,댄스,-,주영훈,주영훈,DSP미디어,Hey Listen up boy Why don't you come over here Get closer Kiss me Touch me just like the way you are Show me Teach me Tell me what you want for me Kiss me Touch me 말해봐 You love me Hug me Hold me 다가와 가까이 Show me Teach me 속삭여 You want me Feel me Take me 내게와 천천히 Kiss me Touch me Hug me Hold me Show me Teach me feel me Tell me 그렇게 수줍어 할 필요 없어 당당한 널 내게 보여줘 지금의 시간은 잠시 잊어둬 세상이 멈춘 듯이 Just tonight 맘의 문을 열어봐 가까이 속삭이듯 말해봐 Hold me tight 지친 나의 영혼을 너의 눈빛으로 다시 깨워줘 Kiss me Touch me 말해봐 You love me Hug me Hold me 다가와 가까이 Show me Teach me 속삭여 You want me Feel me Take me 내게와 천천히 Kiss me Touch me just like the way you are Show me Teach me Tell me what you want for me Kiss me Touch me just like the way you are Show me Teach me Tell me what you want for me Kiss me Touch me Hug me Hold me Show me Teach me feel me Tell me 하지만 니 앞에서만 여자가 되는데 왜 넌 자신없는지 답답해 난 미쳐가 차가운 나만의 미소를 보며 조금씩 내게로 빠져봐 누구의 시선도 두렵지 않아 지금은 우리 뿐야 Just tonight 맘의 문을 열어봐 가까이 속삭이듯 말해봐 Hold me tight 지친 나의 영혼을 너의 눈빛으로 다시 깨워줘 Kiss me Touch me 말해봐 You love me Hug me Hold me 다가와 가까이 Show me Teach me 속삭여 You want me Feel me Take me 내게와 천천히 Kiss me Touch me just like the way you are Show me Teach me Tell me what you want for me Kiss me Touch me just like the way you are Show me Teach me Tell me what you want for me Kiss me Touch me Hug me Hold me Show me Teach me feel me Tell me Kiss me Touch me
