년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20070511,타키온,Girl Talk,male,댄스,-,-,-,-,말해봐 누가 우울한 너를 웃게 했니 망설일거 없어 너의 맘을 내게 말해 완벽하게 멋진 너라면 나를 왜 포기했니 아니야 너라면 괜찮아 다가와 coming 이리와 봐 지금 now 늦어지면 맘이 out 다가와봐 come on now I can take it 내게 다가와 Girl Talk 스며들어봐 나의 향기에 Girl Talk 취해있는 널 흔들리는 넌 Girl Talk 움직이면 돼 준비 되 있니 어떠니 다가와 kissing me tell me baby 널 향한 나의 맘이 언제까지 같을 거라 생각하니 이제 그만 고민하고 맘을 열어 늦어지면 안돼 너의 맘이 만족하지 못한다면 자유롭게 놓아줄게 나를 믿고 따라와봐 후회 없어 이제 너를 casting 이리와 봐 지금 now 늦어지면 맘이 out 다가와봐 come on now I can take it 내게 다가와 Girl Talk 스며들어봐 나의 향기에 Girl Talk 취해있는 널 흔들리는 넌 Girl Talk 움직이면 돼 준비 돼 있니 어떠니 다가와 kissing me tell me baby May be 달콤한 Say me 사랑스런 내게 점점 다가와 baby 맞춰 나에게 맞춰 조금씩 천천히 날 알아가며 내 향기에 묻혀 Baby girl you should already know Yes hear it now Okay this Yo 나의 Life Style 한편의 Mono Drama 아직도 나의 맘엔 네가 가득한 듯 Say 내게 다가와 Girl Talk 스며들어봐 나의 향기에 Girl Talk 취해있는 널 흔들리는 넌 Girl Talk 움직이면 돼 준비 되 있니 어떠니 다가와 kissing me 네게 내 맘을 Girl Talk 스며들어가 너의 향기에 Girl Talk 취해있는 날 너의 맘에 난 Girl Talk 지쳐가는데 준비 되 있니 어떠니 다가와 kissing me come on baby
20070511,타키온,Feel Your Breeze,male,댄스,-,-,-,-,I say Feel your breeze  Anytime Anywhere in my heart  Feel your breeze  Never stop walking now oh~    아물지 않는 상처만 늘어 가는데  왠지 바람에 흔들리는 맘  나 홀로 껴안고 있는 불안이 아냐  모두 흔들리고 있을거야    너무 길고도 깊숙이 잠긴 밤이라해도 괜찮아  아침 해 떠오를 그 때는 그래 눈부시게 빛날 걸    언젠가 상상만 했었던 내 미래와 지금이  조금은 다르다 하더라도  내 꿈을 (위해서) 내 눈물은 (아직도 그대로)  빛나고 있을거야    언제나 그댈 보는 내 맘은 같은데  가슴에 새겨왔던 맘으로  영원히 (내 꿈을) 느껴봐 (구름 가득했던)  높은 하늘처럼    I say Feel your breeze  Anytime Anywhere in my heart  Feel your breeze  Never stop walking now oh~    망설일 이유는 없어 해낼 수 있어  모두 그렇게 생각했지만  세상을 스쳐 지나는 지금 이 순간  우리 모습들은 작아지지    나의 꿈들은 저 멀리 하늘 속 안개처럼 희미해  작아진 내 맘을 바람은 살며시 안고 그 곳으로    언젠가 상상만 했었던 저 먼 곳에  그대와 당당히 다가설 수 있도록  바람에 (언제나) 몸을 싣고 (지금 여기에서)  함께해 그 때처럼  언제나 그댈 보는 내 맘은 같은데  너와나 이어진 맘 그대로  영원히 (그대를) 느껴봐 (지금 이 순간을)  넘치는 맘으로    언젠가 상상만 했었던 내 미래와 지금이  조금은 다르다 하더라도  내 꿈을 (위해서) 내 눈물은 (아직도 그대로)  빛나고 있을거야    언제나 그댈 보는 내 맘은 같은데  가슴에 새겨왔던 맘으로  영원히 (내 꿈을) 느껴봐 (구름 가득했던)  높은 하늘처럼    I say Feel your breeze  Anytime Anywhere in my heart  Feel your breeze  Never stop walking now oh~
20070511,타키온,아니면,male,댄스,-,권기명,이지은,-,가슴이 더는 숨을 쉬지 않아..  모두 닳은 것 같아..  내 두눈도 우는 법을 잊었나봐..  눈물 모두 흘려서..    이맘 고쳐보려 해도..  키울수 없는걸 다 헤져버린걸..  이젠 손 쓸수 없는 건가봐..  그대가 떠난 자리는 덧나 아픈데..    그대가 아니면.. 그대가 아니면..  그 누구도 안돼는 내 마음을 미워해도..  내안에 그대는 믿지 않는 걸..  상처뿐이지만.. 사랑인 걸..        내가 다 잘못했는데..  나 해주지 못한 말 다 후회되는 걸..  그대 참 많이 사랑했나봐..  나 아무리 지우려해도 자꾸 생각나..    그대가 아니면.. 그대가 아니면..  그 누구도 안돼는 내 마음을 미워해도..  내안에 그대는 믿지 않는 걸..  상처뿐이지만.. 사랑인 걸..        남겨진 내 사랑에.. 혹시 눈물 짓더라도..  같은 하늘아래서 난.. 같이 숨쉬고 있어 난..  그대라면.. 괜찮아..    그대만 온다면.. 그대만 온다면..  또 무너져 내리던 내 가슴이 살아나서..  다른 곳 못 보는 바보같은 나는..  I just don`t say good-bye..  I promise you..
20070511,타키온,Feel Your Breeze (Inst.),male,댄스,-,-,-,-,-
20070511,타키온,아니면 (Inst.),male,댄스,-,-,-,-,-
20070511,타키온,Girl Talk,male,댄스,-,-,-,-,말해봐 누가 우울한 너를 웃게 했니 망설일거 없어 너의 맘을 내게 말해 완벽하게 멋진 너라면 나를 왜 포기했니 아니야 너라면 괜찮아 다가와 coming 이리와 봐 지금 now 늦어지면 맘이 out 다가와봐 come on now I can take it 내게 다가와 Girl Talk 스며들어봐 나의 향기에 Girl Talk 취해있는 널 흔들리는 넌 Girl Talk 움직이면 돼 준비 되 있니 어떠니 다가와 kissing me tell me baby 널 향한 나의 맘이 언제까지 같을 거라 생각하니 이제 그만 고민하고 맘을 열어 늦어지면 안돼 너의 맘이 만족하지 못한다면 자유롭게 놓아줄게 나를 믿고 따라와봐 후회 없어 이제 너를 casting 이리와 봐 지금 now 늦어지면 맘이 out 다가와봐 come on now I can take it 내게 다가와 Girl Talk 스며들어봐 나의 향기에 Girl Talk 취해있는 널 흔들리는 넌 Girl Talk 움직이면 돼 준비 돼 있니 어떠니 다가와 kissing me tell me baby May be 달콤한 Say me 사랑스런 내게 점점 다가와 baby 맞춰 나에게 맞춰 조금씩 천천히 날 알아가며 내 향기에 묻혀 Baby girl you should already know Yes hear it now Okay this Yo 나의 Life Style 한편의 Mono Drama 아직도 나의 맘엔 네가 가득한 듯 Say 내게 다가와 Girl Talk 스며들어봐 나의 향기에 Girl Talk 취해있는 널 흔들리는 넌 Girl Talk 움직이면 돼 준비 되 있니 어떠니 다가와 kissing me 네게 내 맘을 Girl Talk 스며들어가 너의 향기에 Girl Talk 취해있는 날 너의 맘에 난 Girl Talk 지쳐가는데 준비 되 있니 어떠니 다가와 kissing me come on baby
20070511,타키온,Feel Your Breeze,male,댄스,-,-,-,-,I say Feel your breeze  Anytime Anywhere in my heart  Feel your breeze  Never stop walking now oh~    아물지 않는 상처만 늘어 가는데  왠지 바람에 흔들리는 맘  나 홀로 껴안고 있는 불안이 아냐  모두 흔들리고 있을거야    너무 길고도 깊숙이 잠긴 밤이라해도 괜찮아  아침 해 떠오를 그 때는 그래 눈부시게 빛날 걸    언젠가 상상만 했었던 내 미래와 지금이  조금은 다르다 하더라도  내 꿈을 (위해서) 내 눈물은 (아직도 그대로)  빛나고 있을거야    언제나 그댈 보는 내 맘은 같은데  가슴에 새겨왔던 맘으로  영원히 (내 꿈을) 느껴봐 (구름 가득했던)  높은 하늘처럼    I say Feel your breeze  Anytime Anywhere in my heart  Feel your breeze  Never stop walking now oh~    망설일 이유는 없어 해낼 수 있어  모두 그렇게 생각했지만  세상을 스쳐 지나는 지금 이 순간  우리 모습들은 작아지지    나의 꿈들은 저 멀리 하늘 속 안개처럼 희미해  작아진 내 맘을 바람은 살며시 안고 그 곳으로    언젠가 상상만 했었던 저 먼 곳에  그대와 당당히 다가설 수 있도록  바람에 (언제나) 몸을 싣고 (지금 여기에서)  함께해 그 때처럼  언제나 그댈 보는 내 맘은 같은데  너와나 이어진 맘 그대로  영원히 (그대를) 느껴봐 (지금 이 순간을)  넘치는 맘으로    언젠가 상상만 했었던 내 미래와 지금이  조금은 다르다 하더라도  내 꿈을 (위해서) 내 눈물은 (아직도 그대로)  빛나고 있을거야    언제나 그댈 보는 내 맘은 같은데  가슴에 새겨왔던 맘으로  영원히 (내 꿈을) 느껴봐 (구름 가득했던)  높은 하늘처럼    I say Feel your breeze  Anytime Anywhere in my heart  Feel your breeze  Never stop walking now oh~
20070511,타키온,아니면,male,댄스,-,권기명,이지은,-,가슴이 더는 숨을 쉬지 않아..  모두 닳은 것 같아..  내 두눈도 우는 법을 잊었나봐..  눈물 모두 흘려서..    이맘 고쳐보려 해도..  키울수 없는걸 다 헤져버린걸..  이젠 손 쓸수 없는 건가봐..  그대가 떠난 자리는 덧나 아픈데..    그대가 아니면.. 그대가 아니면..  그 누구도 안돼는 내 마음을 미워해도..  내안에 그대는 믿지 않는 걸..  상처뿐이지만.. 사랑인 걸..        내가 다 잘못했는데..  나 해주지 못한 말 다 후회되는 걸..  그대 참 많이 사랑했나봐..  나 아무리 지우려해도 자꾸 생각나..    그대가 아니면.. 그대가 아니면..  그 누구도 안돼는 내 마음을 미워해도..  내안에 그대는 믿지 않는 걸..  상처뿐이지만.. 사랑인 걸..        남겨진 내 사랑에.. 혹시 눈물 짓더라도..  같은 하늘아래서 난.. 같이 숨쉬고 있어 난..  그대라면.. 괜찮아..    그대만 온다면.. 그대만 온다면..  또 무너져 내리던 내 가슴이 살아나서..  다른 곳 못 보는 바보같은 나는..  I just don`t say good-bye..  I promise you..
20070511,타키온,Feel Your Breeze (Inst.),male,댄스,-,-,-,-,-
20070511,타키온,아니면 (Inst.),male,댄스,-,-,-,-,-
