년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100603,티맥스,Born To The MAX (Intro),male,발라드,-,를 (LEL),를 (LEL),플래닛구공오,T MAX T T T MAX T T T MAX T T T MAX Hey baby Listen 그래 이제부터 시작 인거야 시작 인거야 잘 봐 내 모든걸 보여 줄테니 그토록 하고 싶던 얘기들 오랫동안 기다렸던 시간들 기다렸던 시간들 이제부터 네게 들려줄게 니 가슴속에 남겨질 수 있게
20100603,티맥스,해줄 수 있는 말,male,발라드,-,슈퍼창따이,슈퍼창따이,플래닛구공오,내가 너무 부족해서 너에게 해줄 게 없어서 이렇게라도 나 이렇게라도 너를 보내 행복하자던 그 약속들 영원하자던 그 말들도 이제는 내가 지켜줄 수 없어서 너를 보내 헤어지자는 말이 내 입에서 잘 지내라는 말도 내 입에서 나오려해 이제 그만 우리 사랑은 그만하자 눈물도 흐르지 않도록 목소리 떨리지 않도록 말해 잘가라고 떠나라고 내가 마지막 해줄 수 있는 말 해줄 수 있는 말 지금 널 위해 내가 할 수 있는말 너무 놀라지마 헤어지자고 니가 싫다고 이제 보기 싫다고 그만 떠나가라고 다신 널 안봐 구차하게 자꾸 매달리고 눈물 흘리지도 마 이젠 안봐 내 곁에서 있던 기억까지 모두 잘가 끝이라도 이제 돌아보지마 헤어지자는 말이 내 입에서 잘 지내라는 말도 내 입에서 나오려해 이제 그만 우리 사랑은 그만하자 눈물도 흐르지 않도록 목소리 떨리지 않도록 말해 잘가라고 떠나라고 내가 마지막 해줄 수 있는 말 이제 가라고 잘 살라고 너를 보내놓고 uh uh 뒤돌아서서 나 돌아섰는데 눈물이 앞을 가리고 있어 행복할거란 말 다 거짓말 잘 지낼 거란 말도 다 거짓말 미치도록 아플거란 그 말 내가 하고 싶은 말 눈물도 많이 흐를거야 목청이 터지도록 난 울겠지 사랑한다 사랑한다 너를 마지막 해줄 수 있는 말
20100603,티맥스,까불지마,male,댄스,-,슈퍼창따이,슈퍼창따이,플래닛구공오,Wanna make me sad Wanna make me bad Wanna make me mad Wanna make me sad Wanna make me bad Wanna make me mad Wanna make me T MAX 내 앞에서 까불지마 까불지마 내 앞에서 까불지마 까불지마 내 앞에서 까불지마 까불지마 내 앞에서 까불지마 까불지마 니깟게 뭔데 대체 내게 뭔데 왜 내게 사랑줬다 떠나는데 니깟게 뭔데 대체 내게 뭔데 왜 내게 상처주고 떠나는데 돌아버릴것 같애 미쳐버릴것 같애 니 생각만 하면 가슴 터질것 같애 매일 넌 똑같애 이래도 똑같애 니 생각만 하면 가슴이 터질것 같애 빌어 빌어 빌어 빌어 빌어 빌어 빌어봐 어디한번 빌어봐 내 앞에서 울어봐 붙잡지 않아 이젠 끝난걸 girl girl girl girl Finally 까불지마 까불지마 내 앞에서 까불지마 까불지마 내 앞에서 까불지마 까불지마 내 앞에서 까불지마 까불지마 니깟게 뭔데 대체 내게 뭔데 왜 내게 사랑줬다 떠나는데 니깟게 뭔데 대체 내게 뭔데 왜 내게 상처주고 떠나는데 돌아버릴것 같애 미쳐버릴것 같애 니 생각만 하면 가슴 터질것 같애 매일 넌 똑같애 이래도 똑같애 니 생각만 하면 가슴이 터 빌어 빌어 빌어 빌어 빌어 빌어 빌어봐 어디한번 빌어봐 내 앞에서 울어봐 붙잡지 않아 이젠 끝난걸 girl girl girl girl Finally 붙잡지 않아 이젠 끝난걸 girl girl girl girl Finally 까불지마 까불지마 내 앞에서 까불지마 까불지마 내 앞에서 까불지마 까불지마 내 앞에서 까불지마 까불지마
20100603,티맥스,마리,male,발라드,-,를 (LEL),를 (LEL),플래닛구공오,갑작스러웠던 네 전화 한 통에 나 눈물이 왈칵 쏟아졌어 잘 지낸다는 니 얘기에 나도 그렇다고 맘에도 없는 말을 꺼냈어 보고 싶었단 말이 그리워했단 말이 내 목 끝에서 나오지 않아 널 사랑한단 말이 다시 시작하잔 말이 내 가슴 속에 묻혀버리고 말 못하고 있어 한없이 밉기만 하던 네가 하루 종일 웬수같이 내리던 비가 이렇게 그리울 줄은 몰랐어 간절한 줄 몰랐어 만나기만 하면 모두 말할 수 있을 거라고 기다렸는데 보고 싶었다는 말이 다시 만나자는 말이 열리지 않았어 떨어지지 않았어 입술이 두발이 굳어서 오랜만이니까 다 잊었으니까 지금 바로 만나자고 했어 약속장소에 도착해서 널 떠올리다가 고개를 드니 네가 서 있어 보고 싶었단 말이 그리워했단 말이 내 목 끝에서 나오지 않아 널 사랑한단 말이 다시 시작하잔 말이 내 가슴 속에 묻혀버리고 말 못하고 있어 익숙한 말투가 추억들을 떠올리게 하고 여전히 혼자라며 웃는 니 모습을 보고 내 마음이 너무나 아파왔어 보고 싶었단 말이 그리워했단 말이 내 눈물과 함께 터져 나와 널 기다려왔다고 아직도 사랑한다고 널 품에 안고서 진심으로 외치고 서 있어
20100603,티맥스,심장이 열 번 뛰기 전에,male,댄스,-,슈퍼창따이,슈퍼창따이,플래닛구공오,심장이 열 번 뛰기 전에 니가 돌아올 거라 믿어 자꾸 이러는 내가 바보같아 자꾸 이러는 내가 바보같아 내가 못나서 내가 못나서 심장을 잠시 멈춰둘게 Can't stop heartbeat 내 심장이 멈추질 않아 Can't stop heartbeat 내 심장이 고장났나봐 oh 나 심장이 열 번 뛰기 전에 oh 너 니가 돌아 돌아올거라 믿어 심장이 열 번 뛰기 전에 니가 돌아올 거라 믿어 자꾸 이러는 내가 바보같아 자꾸 이러는 내가 바보같아 내가 못나서 내가 못나서 심장을 잠시 멈춰둘게 Can't stop heartbeat 내 심장이 멈추질 않아 Can't stop heartbeat 내 심장이 고장났나봐 oh 나 심장이 열 번 뛰기 전에 oh 너 니가 돌아 돌아올거라 믿어 올거라 믿어 니가 오길 난 믿어 수백번 수만번 너를 다시 난 믿어 돌아올거라 믿어 니가 오길 난 믿어 수백번 수만번 너를 다시 난 믿어 심장이 열 번 뛰기 전에 내 심장이 내 심장이 뛰기 전에 돌아와 Can't stop heartbeat 내 심장이 멈추질 않아 Can't stop heartbeat 내 심장이 고장났나봐 oh 나 심장이 열 번 뛰기 전에 oh 너 니가 돌아 돌아올거라 믿어
20100603,티맥스,하나가 될 수 있게 (Interlude),male,발라드,-,를 (LEL),를 (LEL),플래닛구공오,힘이 들고 외로워 지칠 때 언제까지라도 널 지킬게 우리 두 손을 모아 날 바라봐 너와 내가 하나가 될 수 있게 영원히 너를 지킬게 어떠한 시련이 다가와도 내 손을 잡고 함께 해 내 맘이 니 맘과 하나가 될 수 있게
20100603,티맥스,Say My Name,male,댄스,-,김성태,류광민,플래닛구공오,니가 올 때까지 다시 볼 때까지 그게 언제라도 Say My Name Say My Name 니가 올 때까지 다시 볼 때까지 그게 언제라도 Say My Name Say My Name 참 많이도 널 미워했나 봐 많은 시간 흘렀는데 아직 널 잊지 못했나 봐 이젠 지워도 되는데 멈춰진 듯해 바랜 사진처럼 그대의 흔적이 내 안에 남아있는데 Say My Name 한번만 날 불러줘 여기서 너의 사랑 기다려 지난 우리들의 기억들을 되돌려 볼 순 없니 Say My Name 아직 널 잊지 못하는 바보가 너의 사랑을 기다려 이젠 내 곁엔 소중한 너 하나뿐야 니가 올 때까지 다시 볼 때까지 그게 언제라도 Say My Name Say My Name 난 너를 보내고 추억도 함께 보낸 줄만 알았는데 미안해하고 있었나 봐 미워한 줄 알았는데 멈춰진 듯해 멈춘 시계처럼 그대의 흔적이 내 가슴 아프게 하죠 Say My Name 한번만 날 불러줘 여기서 너의 사랑 기다려 그대의 기억과 사랑은 꼭 하나여만 하니까 Say My Name 아직 널 잊지 못하는 바보가 너의 사랑을 기다려 이젠 내 곁엔 소중한 너 하나뿐야 yeah 언제까지라도 제발 단 한번만이라도 Wherever you go whatever you do 내게 다가와 Come back to me 너 나 둘이서 No matter whatever you go baby I'll be waiting for you Say My Name 한번만 날 불러줘 여기서 너의 사랑 기다려 Trust me baby 되돌려 볼 순 없니 Say My Name 아직 널 잊지 못하는 바보가 너의 사랑을 기다려 이젠 내 곁엔 소중한 너 하나뿐야 니가 올 때까지 다시 볼 때까지 그게 언제라도 Say My Name Say My Name 니가 올 때까지 다시 볼 때까지 그게 언제라도 Say My Name Say My Name
20100603,티맥스,가자 Go,male,댄스,-,비즈니즈,마스터키,플래닛구공오,현란한 미러볼의 dance floor 토요일은 밤이 좋아 Let's go 본능을 따라서 그녈 찾아 나서 이 밤이 짧아 So U wanna dance with me 그녀를 봤지 많은 인파 속 홀로 빛났지 불 붙는 가속 Be my lady 나와 같이 이 밤이 지나 동틀 때까지 GO 조명은 낮추고 시선을 맞추고 GO GO GO 딴 여잔 No 다 관심 없다고 오직 널 원해 이 밤에 불을 붙여 Now 나와 같이 떠나 이 곳을 떠나 어디든 Right now 이성은 버려두고 떠나 어디라도 난 상관없어 난 이젠 날 따라오라고 시간이 없어 Girl 어디든 가자 Go 터질 것 같아 Girl 날 따라오라고 난 뜨거워 망설임은 다 버리고 oh 어디든 가자고 더 이상 참을 수 없어 불 붙은 우리 둘막을 순 없어 Ur so beautiful 어디든 가자 난 너를 원해 오늘밤 비밀의 문을 여네 Don't stop 멈추지마 우린 서로의 이름도 모르지만 널 바라만 봐도 난 너무 흥분돼 말 대신 body talk 그걸로 충분해 GO 둘만의 곳으로 어디든 좋다고 GO GO GO 내 맘은 GO 난 모 아니면 도 후회는 없어 이 밤에 불을 붙여 Now 나와 같이 떠나 이 곳을 떠나 어디든 Right now 이성은 버려두고 떠나 어디라도 난 상관없어 난 이젠 날 따라오라고 시간이 없어 Girl 어디든 가자 Go 터질 것 같아 Girl 날 따라오라고 난 뜨거워 망설임은 다 버리고 oh 어디든 가자고 자연스레 끌렸어 어느 순간 홀렸어 우린 서로에게 미쳤어 이젠 멈출 수 없어 자연스레 끌렸어 어느 순간 홀렸어 우린 서로에게 미쳤어 이젠 멈출 수 없어 oh 입술을 맞추고 시간은 멈추고 Nobody knows 멈출 순 없다고 내일은 없어 내 몸에 불을 붙여 Now 나와 같이 떠나 이 곳을 떠나 어디든 Right now 이성은 버려두고 떠나 어디라도 난 상관없어 난 이젠 날 따라오라고 이 밤은 짧아 Girl 어디든 가자 Go 터질 것 같아 Girl 날 따라오라고 난 뜨거워 이 밤이 끝이라 해도 oh 어디든 가자고
20100603,티맥스,이런 놈이야,male,발라드,-,강우경,김성태,플래닛구공오,이제 그만 하자 둘 다 할 만큼 했잖아 그래도 계속 이러고 싶냐 매일 실수하지 매일 싸우지 매일 상처주지 진짜 이런 거 싫다 진짜 싫다 우리 쿨하게 울지는 말자 너무해 나 이런 놈이야 미안해 미안해 용서하지마 너무 사랑했던 너에게 몹쓸 짓을 하려 해 눈물이 자꾸 흘러내려와 어떡하지 멈춰 멈춰 눈물 제발 햇살은 너무 좋은데 너는 내게로 점점 오는데 꼭 잡은 네 손 때문에 내 맘 약해져만 가 네 가슴에 못을 박은 원래 나는 이런 놈이야 행복해야 해 잘살아야 해 좋은 사람 만나 가진 것도 없는 나를 사랑했던 니가 불쌍해 차마 너를 곁에 둘 순 없었어 돌아서야만 하는데 시간은 흘러만 가는데 하지만 아무 말도 못하고 눈물 흘리는 나 눈빛이 날 보고 있잖아 발길을 붙잡고 있잖아 더 이상 이런 날 지치게 하지는 마 원래 난 이런 놈이야 난 늘 이기적인 놈이야 영원할 것 같았지만 우린 여기까지야 모두 끝인걸 여기까진걸 난 이런 놈이야 행복해야 돼 나 땜에 많이 울 텐데 나 땜에 많이 아파할 텐데 벌써 난 너를 걱정해 제발 울지 않기를 날 미워해줘 제발 원래 이런 놈이야 원래 나쁜 놈이야 넌 그렇게 믿으면 돼 행복을 줄 수 없던 나도 내가 싫었어 네 가슴에 못을 박은 원래 나는 이런 놈이야 행복해야 해 잘살아야 해 좋은 사람 만나 가진 것도 없는 나를 사랑했던 니가 불쌍해 차마 너를 곁에 둘 순 없었어 내 손 잡고 나와 함께 걷는 이 길 너만 모르지 헤어지는데 이별하는데 계속 웃음 짓지 내 손 잡고 나와 함께 걷는 이 길 말해야 하는데 나를 보며 너는 웃고 있는데
20100603,티맥스,나쁜 널,male,발라드,-,강우경,김성태,플래닛구공오,친구들이 하는 말 잘 헤어졌대 너란 여자 처음부터 어울리지 않았어 애써 나를 위로해줘도 너를 욕해도 널 잊어내는 게 쉽지가 않아 날 사랑했잖아 내가 좋댔잖아 니 말만 믿고서 내 맘을 다 줬는데 이렇게 나만 아프잖아 나쁜 널 사랑했었다 아직도 너를 못 잊어서 운다 매일 니 얼굴만 떠올리며 운다 그토록 미워도 너 때문에 가슴 아파도 나쁜 널 사랑했었다 널 죽을 만큼 사랑해서 운다 정말 바보같이 너란 여자만 미치게 사랑했었던 내 모습을 후회한다 세상에 널리고 널린 게 여자야 지금은 아파도 금새 널 지우고 잊을 거야 나를 욕해도 나쁜 널 사랑했었다 아직도 너를 못 잊어서 운다 매일 니 얼굴만 떠올리며 운다 그토록 미워도 너 때문에 가슴 아파도 나쁜 널 사랑했었다 널 죽을 만큼 사랑해서 운다 정말 바보같이 너란 여자만 미치게 사랑했었던 내 모습을 후회한다 그래도 나 처음 널 만난 때로 돌아가도 널 택했어 지금 나처럼
