년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20080411,파란,Day Break. 새벽,male,발라드,-,-,-,글로벌에이치미디어,-
20080411,파란,U.R.M.S,male,발라드,-,원상우,원상우,글로벌에이치미디어,사랑이 슬퍼지면 무엇으로 사나요 넓은 세상 속에 나만 홀로 있네요 비오는 이 밤에 고개숙인 불빛도 나만 바라보며 아무 말도 없네요 아니 It's you I need your love 여전히 내 입가에 맴도는 너는 멜로디 나의 맘 아는 Sad song 행복을 주는 Love song 버려진 사랑 눈물 닦아주는 oh Your song 희망을 주는 new song 나의 친구 same old song 지금 내게로 다시 돌아와 줘요 그대는 나의 One last song 너를 기억하는건 아무것도 없는데 바쁜 시간속으로 던져 버렸었는데 나의 머리속에서 모두 지웠었는데 나의 가슴 속에서 왜 떠나지 않니 아니 It's you I need your love 지금도 내 입가에 맴도는 너는 멜로디 나의 맘 아는 Sad song 행복을 주는 Love song 버려진 사랑 눈물 닦아주는 oh Your song 희망을 주는 new song 나의 친구 same old song 지금 내게로 다시 돌아와 줘요 그대는 나의 One last song 이 밤이 지나가기를 아침이 빨리 오기를 my song 간절한 my song 또 한번 눈물 삼키고 입술에 터져나오는말 Oh please 이제는 제발 나의맘 아는 Sad song 행복을 주는 Love song 버려진 사랑 눈물 닦아주는 oh Your song 희망을 주는 new song 나의 친구 same old song 지금 내게로 다시 돌아와 줘요 그대는 나의 One last song 뚜뚜 뚜루뚜 뚜루뚜 뚜루뚜 따라 뚜뚜 뚜루뚜 뚜루뚜 뚜루뚜 따라 희망을 주는 new song 나의 친구 same old song 지금 내게로 다시 돌아와 줘요 그대는 나의 One last song 우 One last song one last song
20080411,파란,결번,male,발라드,-,임채현,원상우,글로벌에이치미디어,어느새 우리 헤어진 날이 사랑한 날보다 많죠 이제는 주인 없는 번호를 눌러 작은 반성문을 써요 사랑할 때 사랑 못하고 이별할 때 사랑을 했죠 나 할 말이 있어요 나 할 말이 많아요 할 수 있는 말은 없죠 이제와 돌아보니 난 사랑을 어설프게 하고 이별만 열심히 했죠 보고 싶어서 많이 울어서 이제는 볼 수 없어서 터지는 눈물들은 그냥 놔두고 네 이름만 계속 흐르고 사랑할 때 사랑할 것을 이별할 때 이별할 것을 나 할 말이 있어요 나 할 말이 많아요 할 수 있는 말은 없죠 이제와 돌아보니 난 사랑을 어설프게 하고 이별만 열심히 했죠 가라고 나는 너 없이도 산다고 이런 말을 내가 했어요 나 할말이 있어요 그 말만 못했어요 들리면 대답해봐요 너무나 미안해도 미치도록 하고 싶은 그 말 들리나요 사랑해요 듣지마요 사랑해요 미치도록 사랑해요
20080411,파란,Don`t Cry,male,발라드,-,성우석,성우석,글로벌에이치미디어,Don`t Cry Baby I Don't Want To See You Cry 날 위해 웃어줘 영원히 그 모습 간직하도록 세상 하나뿐인 사랑아 널 가슴에 묻고 살아 갈 수 있어 난 눈물이 자꾸 흘러서 널 바라볼 수가 없어 아파도 돌아 설 수도 없어 가여운 나의 사랑이 날 보면 슬퍼 할 까봐 날 숨긴 채로 서성거릴 뿐 바보 같이 난 이렇게 기뻐도 눈물이 나지 널 위해 웃어 주지 못하고 새 하얀 웨딩드레스 눈부시게 아름다운 너의 행복을 빌어줄게 Baby 너의 사랑 안에서 너의 숨결 안에서 잠시 머물렀던 시간만으로 세상 하나 뿐인 사랑아 널 가슴에 묻고 살아갈 수 있어 난 행복해 사랑이 힘에 겨워서 내 품에 안겨 울던 너 이제 다시는 눈물 짓지마 오늘 그 환한 미소를 모두 내가 가져갈게 널 기억하면 웃을 수 있게 Baby 너의 사랑 안에서 너의 숨결 안에서 잠시 머물렀던 시간만으로 세상 하나 뿐인 사랑아 널 가슴에 묻고 살아갈 수 있어 난 널 안에 두고 내 맘이 쓰리고 아프다 해도 먼 훗날 널 생각하며 웃을 수 있게 널 보낸 후에 나 홀로 지쳐 힘겨워 한데도 널 기억하며 웃을 수 있게 Baby I Don't Want To See You Cry 날 위해 웃어줘 영원히 그 모습 간직하도록 세상 하나 뿐인 사랑아 널 가슴에 묻고 살아 갈 수 있어 난 너의 사랑 안에서 너의 숨결 안에서 잠시 머물렀던 시간만으로 세상 하나 뿐인 사랑아 널 가슴에 묻고 살아갈 수 있어 난 행복해
20080411,파란,You,male,댄스,-,전혜미,민켄,글로벌에이치미디어,I just wanna love you I just wanna be with you 마치 거짓말처럼 꿈같이 나타난 사람 한걸음씩 다가와 사랑을 내게 전해줘 못된 사랑만 하던 나쁜 날 변하게 했어 너를 만난 후로 난 사랑을 이제야 알았어 사랑결혼을 비웃었던 내가 너무 달라졌어 oh babe 매일매일 널 보는 아침 상상만으로도 행복해 난 You 난 너를 원해 널 향하는 내 맘 사랑에 눈이 먼 나야 세상 전부인 너야 언제까지라도 You 너만을 원해 내 가슴이 말해 내 안에 가득 찬 너야 영원히 사랑한다고 I just wanna get you I just wanna be with you 매일 헤어질 때면 다가가 널 안고 싶어 손이라도 스치면 가슴이 쿵 하고 떨려와 봄 햇살 같은 너의 미소 나를 너무 설레게 해 oh babe 매일매일 널 보는 아침 상상만으로도 행복해 나 You 난 너를 원해 널 향하는 내 맘 사랑에 눈이 먼 나야 세상 전부인 너야 언제까지라도 You 너만을 원해 내 가슴이 말해 내 안에 가득 찬 너야 영원히 사랑한다고 I just wanna get you I just wanna be with you 이제 제발 너로 인해 변한 날 바라봐 하루 종일 애타는 마음 너 하나 뿐야 You 너에게 줄게 내 사랑을 이제 내 모든 마음을 담아 너와 함께 할꺼야 You 너만을 원해 내 가슴이 말해 내 안에 가득 찬 너야 영원히 사랑한다고 I just wanna get you I just wanna love you I just wanna hold you I just wanna be with you
20080411,파란,그댈 만나러 갑니다,male,발라드,-,SWIN,최수정,글로벌에이치미디어,잘 지내나요 왜 전에 웃을 때 손으로 입을 가리며 웃는 거라는던가 창피할 때 귀까지 빨개져서 말을 더듬던 그대 아직 그대로인가요 어디 있나요 혹시 이제껏 아파하며 헤매이나요 그댈 지금 만나러갑니다
20080411,파란,양복한벌,male,발라드,-,최수정,최수정,글로벌에이치미디어,끝내자고 했던 말 가장 어리석은 말 다시 돌이키기가 겁이 나서 그냥 떠나 보낸 일 세상 가운데 그대를 보내고 얼마나 후횔 했는지 그대를 슬프게 만들고 그대가 날 미워하게 했던 일 이 못난 나를 다시 한 번 용서해줘요 그날처럼 그대 앞에 고백 합니다 사랑 했던 거라면 아직도 나를 기다려주고 있다면 오랜만에 꺼내 입은 양복 한 벌이 조금 어색하지만 수 없이 보고 싶고 아파했었던 날 용서해 주오 기억하지 않아도 벌써 잊었다 해도 우리 사랑했었던 그 거리를 나는 기억 합니다 꽃집을 지나 커피 향 그윽한 그 카페 창가에 앉아 그대가 달려오던 모습 나 이제 그댈 만나러 갑니다 이 못난 나를 다시 한 번 용서해줘요 그날처럼 그대 앞에 고백 합니다 사랑 했던 거라면 아직도 나를 기다려주고 있다면 오랜만에 꺼내 입은 양복 한 벌이 조금 어색하지만 수없이 보고 싶고 아파했었던 날 용서해 주오 오랜만에 꺼내 입은 양복 한 벌이 조금 어색하지만 수 없이 보고 싶고 아파했었던 날 용서해 주오 날 용서해 주오
20080411,파란,내 속에서,male,발라드,-,이상규,이상규,글로벌에이치미디어,한 발 두 발 걸어가 멈추지 말고 그렇게 이제야 널 보내 모두 내 욕심이었어 용서해 잘 가 우리 추억보다도 그 사람이 좋은 널 그래야 사는 널 이젠 어쩔 수 없나 봐 흐르는 눈물 감추며 남자답게 보낸다 내 속에서 네가 살아 낼 수 없다면 내 속에서 네가 숨 쉴 수가 없다면 그래 난 널 보내 줄게 그렇게 할게 내 속에서 네가 살아낼 수 없다면 사랑했던 기억은 어차피 금방 잊혀져 너 같은 여자 다시 만날 순 없지만 모두 알고 있지만 남자답게 보낸다 내 속에서 네가 살아 낼 수 없다면 내 속에서 네가 숨 쉴 수가 없다면 그래 난 널 보내 줄게 그렇게 할게 내 속에서 네가 살아낼 수 없다면 지금껏 너 하나만 위해서 살아왔다고 말은 못해도 단 한 순간도 널 잊은 적 없는데 언제나 넌 내 속에서 내 심장보다 더 큰 크기의 자리로 지금도 나와 이렇게 살아 숨 쉬고 있잖아 내 속에서 네가 살아 낼 수 없다면 내 속에서 네가 떠나야만 한다면 그래 난 널 보내 줄게 그렇게 할게 내 속에서 네가 살아낼 수 없다면 내 속에서 네가 살아 낼 수 없다면 내 속에서 네가 숨 쉴 수가 없다면 그래 난 널 보내 줄게 그렇게 할게 내 속에서 네가 살 수 없다면 네가 가고 싶은 곳 그 곳으로 가
20080411,파란,돌아와줬으면,male,발라드,-,박성수,김진수,글로벌에이치미디어,Girl 아직 난 믿어요 그리움도 믿어요 그댄 미워요 정말 미워요 그래도 이렇게 믿어요 밝은 빛이 나를 보며 자꾸 웃고 있네요 왠지 나에게 좋은 일들이 이제 생길 것만 같은데 나 그대에게 약속하고 있어 날 믿어줘요 Oh Baby 더 이상 울지마 그대 이제는 내가 많이 지킬께요 Oh Girl 나 그대에게 달려가고 있어 날 기다려요 지금껏 그대가 흘린 눈물들이 행복들로만 돌아와 주었으면 baby girl you know 단 한 순간도 너를 만난 후로 흔들린 적 없어 그러니 나를 믿어 나 비록 한숨처럼 가벼운 주머니라도 네 맘 가득 담을 수 있게 내 마음 비워 아주 밝은 빛이 자꾸 나를 보며 쏟아지는걸 왠지 나에게 좋은 일들이 이제 생길 것만 같은데 나 그대에게 약속하고 있어 날 믿어줘요 Oh Baby 더 이상 울지마 그대 이제는 내가 많이 지킬께요 Oh Girl 나 그대에게 달려가고 있어 날 기다려요 지금껏 그대가 흘린 눈물들이 행복들로만 돌아와 주었으면 가슴속 깊숙한 그 곳에 아직 그대가 서 있어 지금까지 나를 잊지 못하는 걸 알리게 나 그대에게 약속하고 있어 날 믿어줘요 Oh Baby 더 이상 울지마 그대 이제는 내가 많이 지킬께요 Oh Girl 나 그대에게 달려가고 있어 날 기다려요 지금껏 그대가 흘린 눈물들이 행복들로만 돌아와 줬으면 돌아와 줬으면
20080411,파란,고백,male,발라드,-,한지선,한지선,글로벌에이치미디어,그대 내게 다가와 내 입술에 키스 하는데 나 이제 어떻게 너를 바라봐 부끄러운 내 마음 이제 알아버린 그녀에게 오늘은 고백할래 파란하늘 구름 사이로 그대 얼굴 미소가 눈앞에 가득히 보여 행복한 지금 이 순간이 꿈이 아닌지 현실이 아닌지 그녀를 처음 본 순간 한번도 눈을 뗄 수 없었어 이제는 내게 가장 소중하다는 걸 알고 있니 그대 내게 다가와 내 입술에 키스 하는데 나 이제 어떻게 너를 바라봐 두근거리는 내 마음 설레이던 오늘을 기억해 forever 상상 속에 그리던 우리 마법 같은 사랑에 나 이제 이렇게 너를 바라봐 내게 다가온 너에게 용기를 내 영원히 사랑해 I love you 어느새 따스한 바람이 불어 가슴 한 켠에 이 어둡고 험한 세상에 우린 안전해 반전의 반전은 없어 나는 안 변해 It's unbreakable love 우린 완전해 나는 로미오 그래 넌 줄리엣 저기 저 푸르고 푸른 초원 위에 그림같은 집에 나와 함께 있어줄래 내 대답은 언제나 I can 그녀를 처음 본 순간 한번도 눈을 뗄 수 없었어 이제는 내게 가장 소중하다는 걸 알고 있니 그대 내게 다가와 내 입술에 키스 하는데 나 이제 어떻게 너를 바라봐 내게 다가온 너에게 용기를 내 영원히 사랑해 I love you 아침에 눈뜬 창가에 달라진 햇살을 봐 나 오늘은 고백할래 그대 내게 다가와 내 입술에 키스 하는데 나 이제 어떻게 너를 바라봐 두근거리는 내 마음 설레이던 오늘을 기억해 forever 상상 속에 그리던 우리 마법 같은 사랑에 나 이제 이렇게 너를 바라봐 내게 다가온 너에게 용기를 내 영원히 사랑해 I love you
