년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101220,동방신기,아테나 (ATHENA),male,"발라드, 국내드라마",-,-,-,(주)SM엔터테인먼트,무섭게 나를 감싸는  시린 이 회색 공기엔  아직도 남은 바램들로 난  쓴웃음만 짓는다  아무렇게 흩트려 놓은  길을 잃은 지난 추억들 속에  맞춰지지 않는 퍼즐처럼  난 또 헤매여  차갑게 안아줘  세상에 맞서야 해  저기까지 가면 끝이 보일까  깊이 베인 상처는 아물지 않아  신이시여 우릴 구원하소서  마지막 전쟁에    오직 그대만이 필요해  오직 당신만 할 수 있어  검게 그을린 저 도시엔  눈물의 시가 필요해  비소 속에 섞인 탐욕과  꿈을 잃어 눈이 먼 그들에게  다시 날개를 펼 수 있게  당신의 힘을 건네주오  차갑게 안아줘  세상에 맞서야 해  저기까지 가면 끝이 보일까  깊이 베인 상처는 아물지 않아  신이시여 우릴 구원하소서  마지막 전쟁에  태양의 빛이 붉어 질 땐  그대가 그토록 소망한 기도를 해요  진실의 빛이 가려진대도  멈추지 말아요 파멸된 세상을 깨워줘  뜨겁게 입맞춰  거짓과 싸워야 해  어디까지 가면 끝이 보일까  깊이 베인 상처는 아물지 않아  신이시여 우릴 구원하소서  마지막 전쟁에
20101220,동방신기,아테나 (ATHENA) (Inst.),male,발라드,-,-,-,(주)SM엔터테인먼트,-
20100324,동방신기,時ヲ止メテ / Tokiwo Tomete (시간을 멈춰서),male,J-POP,-,-,-,(주)SM엔터테인먼트,이소구요오니나츠노세이자타치가 비루노타니마니카타무이테카쿠레테쿠 토오리스기루보쿠라노마이니치 칫포케나코토데나키소오나토키모아루 이츠카키미가이키타갓테이타 아노미세와모오나쿠낫테시맛타케도 돈나히모보쿠타치와 후타리노코이와오와라나이토신지테이타 토키오토메테 즛토키미노소바니이타이 미아게타소라 네가이코메테 히토츠히토츠카가야쿠호시츠나게나가라 키미노카타치 사가시테타 스키다욧테 죠오즈니이에나쿳테 나미우치기와데후루에타오사나이코이 타도타도시쿠 나란다메토메가 마바타키사에모 오시이토칸지테이타 스나니카이타치카이와스구니 히쿠나미니사라와레테키에테시맛테모 아노고로노보쿠타치와 후타리노코이와카와라나이토신지테이타 토키오토메테 즛토키미노소바니이타이 못토키미오다키시메타이 히토츠히토츠키미노코토오오보에나가라 에이엔다케 신지테타 토키오토메테 즛토키미노소바니이타이 미아게타소라 네가이코메테 히토츠히토츠카가야쿠호시츠나게나가라 키미노카타치 사가시테타 토키오토메테 즛토키미노소바니이타이 못토키미오다키시메타이 히토츠히토츠키미노코토오오보에나가라 에이엔다케 신지테타
20100324,동방신기,Checkmate (Yunho From 동방신기),male,J-POP,-,-,-,(주)SM엔터테인먼트,Ready Checkmate woo baby 나니모이와나이데 코코데love it love it ready 나츠노요루노유메 my lady 코시니카라무시센 아츠이마마 기리기리 Checkmate 키라메이타queen bee's on the floor 무레테사와구노와your knight fellow I got it baby 칸지사세테 oh no 카라다노나카니하이리코무flow 메자메테유쿠소노스베테니hello woo love it tonight It hot tonight Checkmate you know 콘야 never stop 소바니오이데 sexy lady you know 아이와 never stop woo 소노마마데 come on baby you know 콘야 never stop give it to me tonight girl my baby you know 아이와 never stop you know is party tonight you're in a spotlight 데앗타��칸니 get down 미에스이테루story what's up baby gentle나magic 못토make love데 game over hey girl kiss to me kiss oh hey girl sexy beautiful I'm OK wo wo everybody step It's Checkmate oh baby sexy lady stop 후카쿠love it love it love it 모오키미와니게라레나이 baby 요아케오stop I got it stand by me step tonight's the dance time 키라메이타queen bee's on the floor 무레테사와구노와your knight fellow oh no 하리사케소오나passion 카라다노나카니하이리코무flow 메자메테유쿠소노스베테니hello 미세테 다이테 oh you know 콘야 never stop 소바니오이데 sexy lady you know 아이와 never stop woo 소노마마데 come on baby you know 콘야 never stop give it to me tonight girl my baby you know 아이와 never stop you know is party tonight 키미이가이 다레모 모오아이세나이카라 bye bye bye bye 혼토오니호시캇타운메이와 in my heart you know 콘야 never stop 소바니오이데 sexy lady you know 아이와 never stop woo 소노마마데 come on baby you know 콘야 never stop give it to me tonight girl my baby you know 아이와 never stop you know is party tonight you know 콘야 never stop 소바니오이데 sexy lady you know 아이와 never stop woo 소노마마데 come on baby you know 콘야 never stop give it to me tonight girl my baby you know 아이와 never stop you know is party tonight
20100324,동방신기,時ヲ止メテ / Tokiwo Tomete (시간을 멈춰서) (Never End Remix),male,J-POP,-,-,-,(주)SM엔터테인먼트,이소구요오니 나츠노세이자타치가 비루노타니마니 카타무이테카 쿠레테쿠 토오리스기루 보쿠라노마이 니치 칫포케나코토데 나키소오나토 키모아루 이츠카키미가 이키타갓테이타 아노미세와모오 나쿠낫테시 맛타케도 돈나히모 보쿠타치와 후타리노코이와 오와라 나이토신지테이타 토키오토메테 즛토키미노 소바니이타이 미아게타소라 네가이코메테 히토츠히토츠 카가야쿠호시 츠나게나가라 키미노카타치 사가시테타 스키다욧테 죠우즈니이에나쿳데 나미우치키와데 후루에타 오사나이코이 타도타도시쿠 나란다메토메가 마타타키사에모 오시이토 칸지테이타 스나니카이타치카이와 스구니 히쿠나미니사라 와라키에테 시맛테모 아노코로노 보쿠타치와 후타리노코이와 카와라나이 토 신지테이타 토키오토메테 즛토키미노 소바니이타이 못토키미오 다키시메타이 히토츠히토츠 키미노코토오 오보에나가라 에이엔다케신지테타 못토키미오 토키오토메테 즛토키미노 소바니이타이 미아게타소라 네가이코메테 히토츠히토츠 카가야쿠호시 츠나게나가라 키미노카타치 사가시테타 토키오토메테 즛토키미노 소바니이타이 못토키미오 다키시메타이 히토츠히토츠 키미노코토오 오보에나가라 에이엔다케 신 지테타
20100324,동방신기,時ヲ止メテ / Tokiwo Tomete (시간을 멈춰서) (Less Vocal),male,J-POP,-,-,-,(주)SM엔터테인먼트,이소구요오니 나츠노세이자타치가비루노타니마니카타무이테카 쿠레테쿠토오리스기루 보쿠라노마이 니치칫포케나코토데 나키소오나토 키모아루이츠카키미가 이키타갓테이타아노미세와모오 나쿠낫테시 맛타케도돈나히모 보쿠타치와후타리노코이와오와라 나이토신지테이타토키오토메테즛토키미노 소바니이타이미아게타소라 네가이코메테히토츠히토츠 카가야쿠호시츠나게나가라키미노카타치 사가시테타스키다욧테 죠우즈니이에나쿳데나미우치키와데 후루에타 오사나이코이타도타도시쿠 나란다메토메가마타타키사에모 오시이토 칸지테이타스나니카이타치카이와 스구니히쿠나미니사라 와라키에테 시맛테모아노코로노 보쿠타치와후타리노코이와카와라나이 토 신지테이타토키오토메테 즛토키미노소바니이타이못토키미오 다키시메타이히토츠히토츠 키미노코토오오보에나가라에이엔다케신지테타못토키미오토키오토메테즛토키미노 소바니이타이미아게타소라 네가이코메테히토츠히토츠 카가야쿠호시츠나게나가라키미노카타치 사가시테타토키오토메테즛토키미노 소바니이타이못토키미오 다키시메타이히토츠히토츠 키미노코토오오보에나가라에이엔다케 신 지테타
20100324,동방신기,Checkmate (Less Vocal),male,J-POP,-,-,-,(주)SM엔터테인먼트,-
20100217,동방신기,呪文 -Mirotic- / Zyumon -Mirotic- (주문 -Mirotic-),male,J-POP,-,-,-,(주)SM엔터테인먼트,하지마리와소우사 코우이쯔모헤이본사 보쿠와 코코로오 아야쯔레루카라 카기아케테오쿠요 oh 아이와 못토 못토 이미신나 Red Ocean Now breakin my rules again 쯔마라나이 세켄니 케가오시테모 헤이키사 oh 카왓테쿠 오보레테쿠 키미와모우 누케다세나이 I got you Under my skin 코와레테쿠 오보레테쿠 키미와 모우 보쿠노모노 I got you Under my skin 수루도쿠도갓타 쯔요이 마나자시데 보쿠쟈나케레바 우고카세나이 chrome heart 에란다노와 키미사 oh 이마니모 하지케소우나 요우엔나 Crystal 이노치노야미 하지마루 Party time 코레모 킷토 아이카 oh 카왓테쿠 오보레테쿠 키미와 모우 누케다세나이 I got you Under my skin 코와레테쿠 오보레테쿠 키미와 모우 보쿠노모노 I got you Under my skin 야메라레나이쇼우도우 히소마세테솟토 Spell on you 쯔요쿠 쯔요쿠 다키시메 카사네타 구찌비루 Steal your mind Never let you go U know you got it Yeah Come on Come on Come on Come on I got you Under my skin 코코로니 솟토 시노비콘데 쥬몬오카케루 후카쿠후카쿠 I got you Under my skin My devils ride 카쿠레루바쇼나이나라 잇소 코노게무 타노시마나이카이 I got you Under my skin 히카레테쿠 오보레테쿠 키미와 모우 누케다세나이 I got you Under my skin 코와레테쿠 오보레테쿠 키미와 모우 보쿠노모노 I got you Under my skin
20100217,동방신기,Share The World,male,J-POP,-,-,-,(주)SM엔터테인먼트,아노오오조라니  토도쿠마데  I Believe 히토츠노아시타에  Come on let's go everybody  oh we share the music  Come on let's go baby baby  oh we share the one dream  Come on let's go everybody  oh we share the good times  Come on let's go baby baby  oh we share the one world  쿠라야미마요이코미테사구리나조도키  유키사키 미에즈니타치도마루토키  Umm you and me yes키모치와카치아우세카이니  미치비키 I feel the beat아루키다시테 Oh yeah  Share The music 이츠닷테  Share the one dream 신지앗테  Share the good time 테오츠나이데  Share the one world one now  아노오오조라니  토도쿠마데  난도데모보쿠와유쿤다  이마코소코에테유코오  I believe히토츠노아시타에  Yeah yeah Yeah yeah yeah  Come on let's go everybody  oh we share the music  Come on let's go baby baby  oh we share the one world  오아카케오와레테메비우스노와노우에  치카즈키마에무키 네에Share시타이요 Style  하지마루히로가루소오조오이죠오코노Flavor  카라다쥬우 I feel so good지유우니나레루 Oh yeah  Share The music 토오쿠탓테  Share the one dream 츠타에앗테  Share the good time 소오와랏테  Share the one world one now  미에나이카베노무코오가와니  맛테이루키미가이탄다  모오스구니토도쿠카라  I believe히토츠노아시타에  Yeah yeah Yeah yeah Yeah  Come on let's go everybody  oh we share the music  Come on let's go baby baby  oh we share the one dream  Come on let's go everybody  oh we share the good times  Come on let's go baby baby  oh we share the one world  아노오오조라니  토도쿠마데  난도데모보쿠와유쿤다  이마코소코에테유코오  I believe히토츠노아시타에  Yeah yeah Yeah yeah Yeah  미에나이카베노  무코오가와니  맛테이루키미가이탄다  모오스구니토도쿠카라  I believe히토츠노아시타에  Yeah yeah Yeah yeah Yeah  Come on let's go everybody  oh we share the music  Come on let's go baby baby  oh we share the one dream  Come on let's go everybody  oh we share the good times  Come on let's go baby baby  oh we share the one world
20100217,동방신기,My Destiny,male,J-POP,-,-,-,(주)SM엔터테인먼트,"My Destiny        かえりたい長い夜に 僕の胸はまだ迷っている  카에리따이 나가이 요루니 보쿠노 무네와 마다 마욧떼이루  돌아가고 싶은 긴 밤에 내 마음은 아직 헤메이고 있어        かえれないあわい朝に 告げた誓い うそになるから    카에레나이 아와이 아사니 츠게따 치카이 우소니 나루까라  돌아갈 수 없는 아련한 아침에 고한 맹세 거짓말이 되니까        あの頃の僕らの影が 今 立ち上がり 動き出す   아노 고로노 보쿠라노 카게가 이마 타치아가리 우고키다스    그 시절의 우리의 그림자가 지금 일어나 움직이기 시작해        You know that I'm still waiting for you    내가 아직 너를 기다리는 것을 아니        Another day、Another night    未來はそこに 立ち止まっているけれど  미라이와 소코니 타치토맛떼 이루케레도  미래는 그곳에 멈춰서 있지만        Now living without your love    지금 너의 사랑 없이 살아가        君の 震える 肩を 思い出しては 言い聞かせてる  키미노 후루에루 카타오 오모이다시떼와 이이키카세떼루   그대의 떨리는 어깨를 떠올리며 다잡고 있어        今だけが切ない My destiny  이마다케가 세츠나이 My destiny  지금만이 안타까운 내운명          忘れたい 君の瞳、君の?、君のため息を  와스레따이 키미노 히토미 키미노 나미다 키미노 타메이키오  잊고싶은 그대의 눈동자 그대의 눈물 그대의 한숨을      忘れないリング外し、氣持ち?し、過ごす每日    와스레나이 링구 하즈시 기모치 카쿠시 스고스 마이니치  잊을 수 없는 반지를 빼고 마음을 숨기고 지내는 매일        心だけ叫んでいるよ もう一度だけ つたえたい  코코로다케 사켄데이루요 모- 이치도다케 츠따에타이  마음만으로 외치고 있어 한번만 더 전하고 싶어        You know that my heart's beating for you    내 심장은 너를 위해 뛰고있는걸 아니        Another way、Another line  또다른방법, 또다른 수단        永遠なんて信じていたあおい 時  에이엔난떼 신지떼이따 아오이도키  영원따윌 믿고 있던 풋풋한 시절        But Living without your lie    하지만 당신의 거짓말 없이 살아가        君と回り道でも 手を取り合って步きたかった  키미토 마와리미치데모 테오 토리앗떼 아루키타캇따  돌아 가는 길이라도 그대와 손을 잡고 걷고 싶었어        思い出と溶け合う My destiny  오모이데또 토케아우 My destiny  추억과 녹아드는 내운명          二人でいれば 風も波も雲も 越えられる?がした    후타리데 이레바 카제모 나미모 쿠모모 코에라레루 키가시따  둘이서 함께라면 바람도 파도도 구름도 넘을 수 있을거라 생각했어        かなうなら One more chance  카나우나라 One more chance  이루어진다면 한번 더 기회를 줘        時間を越え飛びたい Spread my wings  지칸오 코에 토비타이 Spread my wings  시간을 넘어 날고싶어 나의 날개를 펼쳐        Another you、Another me  生まれ?わっても結ばれぬ 思いならば  우마레 카왓떼모 무스바레누 오모이나라바  다시 태어나도 이어질 수 없는 마음이라면        So Living without your me    이렇게 너의나 없이 살아가      君と夢で?えたらそれだけでいい それだけがいい  키미또 유메데 아에타라 소레다케데 이이 소레다케가 이이  그대와 꿈에서 만난다면 그것만으로도 좋아 그토록 좋아        痛みさえ奪って  이타미사에 우밧테  아픔마저 빼앗아            Another day、Another night    또다른 날, 또다른 밤        今は二人でそれぞれの道を進む  이마와 후타리데 소레조레노 미치오 스스무  지금은 둘이서 각자의 길을 나아가        Now Living without your love    지금 너의 사랑 없이도 살아가        君の ?れる 睫毛を 思い出しては 言い聞かせてる  키미노 유레루 마츠게오 오모이다시떼와 이이키카세테루   그대의 떨리던 속눈썹을 떠올리며 타이르고있어        今だけが切ない My destiny  이마다케가 세츠나이 My destiny  지금만이 안타까운 내운명"
