년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100831,러브,Redbone Bitch,male,랩/힙합,-,-,-,-,-
20100831,러브,Girl Give It To Me (Feat. Marcus Dixon),male,랩/힙합,-,-,-,-,-
20100104,러브,Raining Stars,male,뉴에이지,-,-,-,-,-
20090504,러브,The Everlasting First,male,록/메탈,-,-,-,-,-
20090504,러브,Flying,male,록/메탈,-,-,-,-,-
20090504,러브,Gimi A Little Break,male,록/메탈,-,-,-,-,-
20090504,러브,Stand Out,male,록/메탈,-,-,-,-,-
20090504,러브,Keep On Shining,male,록/메탈,-,-,-,-,-
20090504,러브,Anytime,male,록/메탈,-,-,-,-,-
20090504,러브,Slick Dick,male,록/메탈,-,-,-,-,-
20090504,러브,Love Is Coming,male,록/메탈,-,-,-,-,-
20090504,러브,Feel Daddy Feel Good,male,록/메탈,-,-,-,-,-
20090504,러브,Ride That Vibration,male,록/메탈,-,-,-,-,-
20090406,러브,I'll Pray For You,male,록/메탈,-,-,-,-,-
20090406,러브,Abalony,male,록/메탈,-,-,-,-,-
20090406,러브,Signed D.C.,male,록/메탈,-,-,-,-,-
20090406,러브,Listen To My Song,male,록/메탈,-,-,-,-,-
20090406,러브,I'm Down,male,록/메탈,-,-,-,-,-
20090406,러브,Stand Out,male,록/메탈,-,-,-,-,-
20090406,러브,Discharged,male,록/메탈,-,-,-,-,-
20090406,러브,Doggone,male,록/메탈,-,-,-,-,-
20090406,러브,I Still Wonder,male,록/메탈,-,-,-,-,-
20090406,러브,Love Is More Than Words Or Better Late Than Never,male,록/메탈,-,-,-,-,-
20090406,러브,Nice To Be,male,록/메탈,-,-,-,-,-
20090406,러브,Car Lights On In The Daytime Blues,male,록/메탈,-,-,-,-,-
20090406,러브,Run To The Top,male,록/메탈,-,-,-,-,-
20090406,러브,Willow Willow,male,록/메탈,-,-,-,-,-
20090406,러브,Instra-Mental,male,록/메탈,-,-,-,-,-
20090406,러브,You Are Something,male,록/메탈,-,-,-,-,-
20090406,러브,Gather 'Round,male,록/메탈,-,-,-,-,-
20080124,러브,Alone Again Or,male,POP,-,-,-,-,"Verse 1: Yeah, said it's all right I won't forget All the times I've waited patiently for you And you'll do just what you choose to do And I will be alone again tonight my dear Verse 2: Yeah, I heard a funny thing Somebody said to me You know that I could be in love with almost everyone I think that people are The greatest fun And I will be alone again tonight my dear"
20071120,러브,Sweet Child O` Mine,male,록/메탈,-,-,-,-,-
20071120,러브,My Little Red Book (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,Can`t Explain (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,A Message To Pretty (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,My Flash On You (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,Softly To Me (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,No Matter What You Do (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,Emotions (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,You I`ll Be Following (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,Gazing (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,Hey Joe (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,Coloured Balls Falling (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,Mushroom Clouds (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,And More (Stereo Version),male,POP,-,-,-,-,-
20071120,러브,Number 14 (Stereo LP Version),male,POP,-,-,-,-,-
20071120,러브,Signed D.C. (Alternate Stereo LP Version),male,POP,-,-,-,-,-
20071023,러브,Rumours,male,일렉트로니카,-,-,-,-,-
20070625,러브,I`ll Pray For You,male,록/메탈,-,-,-,-,-
20070625,러브,Abalony,male,록/메탈,-,-,-,-,-
20070625,러브,Signed D.C.,male,록/메탈,-,-,-,-,-
20070625,러브,Listen To My Song,male,록/메탈,-,-,-,-,-
20070625,러브,I`m Down,male,록/메탈,-,-,-,-,-
20070625,러브,Stand Out,male,록/메탈,-,-,-,-,-
20070625,러브,Discharged,male,록/메탈,-,-,-,-,-
20070625,러브,Doggone,male,록/메탈,-,-,-,-,-
20070625,러브,I Still Wonder,male,록/메탈,-,-,-,-,-
20070625,러브,Love Is More Than Words Or Better Late Than Never,male,록/메탈,-,-,-,-,-
20070625,러브,Nice To Be,male,록/메탈,-,-,-,-,-
20070625,러브,Car Lights On In The Daytime Blues,male,록/메탈,-,-,-,-,-
20070625,러브,Run To The Top,male,록/메탈,-,-,-,-,-
20070625,러브,Willow Willow,male,록/메탈,-,-,-,-,-
20070625,러브,Instra-Mental,male,록/메탈,-,-,-,-,-
20070625,러브,You Are Something,male,록/메탈,-,-,-,-,-
20070625,러브,Gather `Round,male,록/메탈,-,-,-,-,-
