년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20030215,모닝,습관,female,발라드,-,-,-,-,"거짓말처럼 비가 갠 거리에 아직도 고여있었던  낡은 피아노 위에 먼질 털어 내듯 그댈 날려보죠  나도 모르는 사이 잠이 들어버린 오후 바람 한가운데  때론 미지근해진 커피 향과 함께 눈물을 마셨죠  벽에 걸린 시계는(항상 멈춰 있었죠)  아마 나를 대신할(고장난 기억처럼)  그댈 지우는 일로(힘든 하룰 보내면)  어느새 쌓인 그대 그리움  사랑이란 우습게도 늘 그랬죠 이별을 앓고나면  너무나 선명한 기억으로 다시 태어나곤해  그리고 아주 못된 습관하날 내게 선물을 하죠  그대를 깨우고 잠이 들던 그때처럼 늘 잠을 설치죠  오래된 소파에 기대 앉아 밤하늘 바라 보면  보이지 않던 그대 별 까지도 유난히도 빛나보여  사랑이란 우습게도 늘 그랬죠 이별을 앓고 나면  너무나 선명한 기억으로 다시 태어나곤 해  그리고 아주 못된 습관하날 내게 선물을 하죠  그대를 깨우고 잠이 들던 그때처럼 늘 잠을 설치죠  Oh, my shooting star!  Wake up wake up wake up  wake up! Get up get up!  새로이 시작하는 그대 하늘이 날 깨우죠  날 혹시나 하는 생각에 방안에 문을 열면  그댄 저 창밖에서 나만 바라보고 있을테죠?  보이지 않아도 그대는 그럴테죠?  더 깊게 더 깊게 쌓인 나만의 가슴에 가득 쌓인..  우리 서로 잊지 못해서 생기는 모든 습관들처럼"
20030215,모닝,사랑하는 건 나쁜게 아니죠,female,발라드,-,-,-,-,다신 볼 수 없나요 날 떠나간게 맞나요   이제 누구에게 내 얘기를 할까요   한달이나 됐는데 나 보고싶지 않나요   하루만 안봐도 그렇게 보채던 그대인데   내가 무엇인지도 모른채 받은   그게 사랑인걸 이제 아는데   나의 모든걸 다 바꿔놓고서 그대 떠났죠   사랑하는 건 나쁜게 아니죠   언젠가 그대 나에게 했던 말   언제까지 나 기다리고 그대도 기억할 한마디   왠지 우울할땐 나 필요하지 않나요   내 앞이 아니면 잘 울지도 않던 그대인데   내가 무엇인지도 모른채 꾸던 꿈이   그대인걸 이제 아는데   나의 미래는 그대가 없으면 의미없는데   사랑하는 건 나쁜게 아니죠   언젠가 그대 나에게 했던 말   언제까지 나 기다리고 그대도 기억할 한마디   슬퍼할때만 우는게 아니죠   언젠가 우리 다시 만나는 날   혹시 내가 눈물을 보여도 웃어주길 바래요   Narration)   혹시 어디선가 내 얘길 듣게되도   그댄 미안해하지 말아요   지금껏 받기만 했던건 바로 나인걸요   난 기다릴거예요 그대가 그랬던 것처럼   그래요 사랑하는 건 나쁜게 아니죠
20030215,모닝,Because,female,발라드,-,-,-,-,늘 하늘엔 구름이 함께 하죠 그러다 가끔 비를 내려 헤어지곤 하죠 그런 날이였었죠 다신 볼 수 없단 말 가볍게 안아준 낯설던 목소리 꼭 이별은 바쁘게 다가오죠 아무리 앞서 준빌 해도 항상 후횔하죠 다른 사람과 바꿔 잊어본 척 하지만 늘 같은 이유로 그럴 순 없었죠 cause i can let you go 그 사람도 날 기억하나봐요 꿈에서 내게로 온 걸 보면 많이 지쳐있던 모습 나도 따라 울었죠 이대로 보내면 끝이 될까 두 눈을 감아요 문을 닫을 영원히 깨어날 수 없기를 내 하루는 그렇게 지쳐갔죠 버리고 다시 찾아내면 매일 반복하죠 마치 다람쥐처럼 제자리를 맴돌다 좋았던 기억에 웃는게 전부죠 cause i can let you go 그 사람도 날 기억하나봐요 꿈에서 내게로 온 걸 보면 많이 지쳐있던 모습 나도 따라 울었죠 이대로 보내면 끝이 될까 두 눈을 감아요 문을 닫을 영원히 깨어날 수 없기를 다시 눈을 떠보내주면 혼자 알았던 내 아픔도 가져가길 그 기억조차 먼지로 없어지길 cause i can let you go 내 사랑이 닿으면 놀랠까봐 조금 더 멀어져 못볼까봐 다시 발을 돌려 가요 너를 보면 아플까 애써 날 지우려 하진마요 시간이 날 지울때까지만 그대곁에 있던 내 모습 아껴 사랑하도록
20030215,모닝,행복해 줄게,female,발라드,-,-,-,-,내게 하고 싶은 말들이  네 얼굴에 씌여 있는데  나를 걱정해 주는 건지  내 눈물을 기다리는지  내게 하고 싶은 말이 있니  네 얼굴에 씌여 있는데  나를 걱정해 주고 있는지  내 눈물을 기다리는 건지  내게 하고 싶은 말 얼굴에 써 있는데  왜 그리 망설이니 말해  내가 걱정인거니 눈물을 쏟아내길  너 기대한거니  알고 있었어 이쯤이란걸  이까짓 네 사랑이 얼마나 가겠니  걱정하진마 힘든 이별의 말  먼저 말 해준건 고마울 뿐인 걸  처음 만난 순간도 잊을께  모른체로 살아왔던 것 처럼  떠날때는 그 누구나 하는 말 처럼  행복할께 행복해 줄께  알고 있었어 늦지 않은 걸  헤어질 만한 이유 찾고 있었단 걸 돌아오진마 나를 버린 사람  또 받아줄 내 자신이 너무나 두려워  처음 만난 순간도 잊을께  모른체로 살아 왔던 것처럼  떠날때는 그 누구나 하는 말처럼  행복할께 행복해줄께  멀어지는 날 보고 있는데  한번쯤은 돌아 볼 수 있잖아  나는 정말 괜찮은데 아무렇지도 않다는데  나는 왜 내 자꾸 눈물이  내게 하고 싶은 말 얼굴에 써 있는데  왜 그리 망설이니 (떠날꺼잖아)  내가 걱정인거니 눈물을 쏟아내길  너 기대한거니 -
20030215,모닝,동무생각,female,록/메탈,-,-,-,-,옛날에 어릴적 좋아했던  남자애가 있었어  하얀 얼굴에 항상  깨끗한 옷만 입고 다녔어  가끔 심심하면 불러서  쥐어 박기도 했어  울먹이며 도망가던  귀여웠던 그 꼬마가  에구머니  라랄라라랄라 랄라  이 남자가 그 꼬마래  라랄라라랄라 랄라  엄청 멋있게 변했군  나보다 한뼘이나  작았던 꼬맹이만 생각했어  뜬금없이 떠오르는  네 생각에 미소 짓곤 했었어  아주 많이 컸구나  연락처를 건내네  혹시 어릴때  복수를 하려는 것 아닐까  에구머니  나 왜 이러니 왜 떨리니  얼굴은 왜 빨개지니  쳐다보지마 니 눈빛에  나 녹아버릴 것 같아 아  못 이기는 척 한번 만나주었죠  감탄하면서 멋진 남자 되버린  네 모습에서 사랑을 느껴  이젠 니 여자이고 싶어  우워어 우워어 허 허 허  우워어 우워어 허 허 허  우워어 우워어 허 허 허  우우우우  랄라라랄라 랄라랄라  이 남자가 그 꼬마래  랄라라랄라 랄라랄라  엄청 멋있게 변했군  랄라라랄라 랄라랄라  얼굴은 왜 빨개지니  랄라라랄라 랄라랄라  나 녹아 버릴것 같아
20030215,모닝,소녀에게 자유를,female,댄스,-,-,-,-,난 정말 사랑스런 소녀 당신이 몰라줄 뿐 그대가 말하는 현실 문제 따윈 나도 잘 모르지만 꼭 끼는 옷처럼 숨 막히게 살고 싶은 맘 없어 너무 완벽한 앤 빈틈 하나 없는 앤 성격이 나쁘잖아 걱정하지 않아 이대로도 괜찮아 부탁이야 소녀에게 자유를 Love is It's all the thing that I do 내겐 무엇보다 더 소중해 그대 생각만으로도 하루가 너무 짧은 걸 Baby Give me a break 나만 뒤쳐지는거 아닐까 그래 가끔 두려워 하지만 지금 이 순간의 추억 또한 내겐 너무 소중해 걱정하지 않아 이대로도 괜찮아 부탁이야 소녀에게 자유를 Love is It's all the thing that I do 내겐 무엇보다 더 소중해 그대 생각만으로도 하루가 너무 짧은걸 Baby Give me a break Love is It's all the thing that I do 내겐 무엇보다 더 소중해 그대 생각만으로도 하루가 너무 짧은 걸 Baby Give me a break You know It's all the thing that I care 제발 날 이대로 내버려둬 사랑을 하기에도 모자란 시간인걸 Baby Give me a Baby Give me a break
20030215,모닝,이별에 대한 예의,female,발라드,-,-,-,-,연락이 닿지않게 전활 꺼줄래 어려운 일이 생겨 안받는다 여기게 딴사람 만난대도 한동안 숨겨줄래 누군지 상상하며 미워하지 않도록 헤어져도 끝이 아닌가봐 너의 변한 마음 모르고 싶어 우리 서로 사랑한 그 날 보다 더 행복하지마 아직은 날 그리워해야 하잖아 언제든 내가 찾을때면 달려올 사람 멀리있다고 믿을래 차안의 빈 내자리 가끔 봐줄래 말없이 안기던 날 떠올릴수 있도록 집앞을 지날때면 잠시만 돌아봐줘 불꺼진 창 너머로 잠 못드는 날위해 꿈에라도 혹시 말해줄까 내게 무심해서 미안하다고 나 울지않게 서로 사랑한 그 날보다 행복하지마 아직은 날 그리워해야 하잖아 언제든 내가 찾을때면 달려올 사람 멀리 있다고 믿을래 영원히 좋은 사람으로 남기고 싶어 다시 올지도 모르니 기다릴께
20030215,모닝,잘했어요,female,발라드,-,-,-,-,늘 미소만을 보고  많은 걸 주고 갔죠 그대만한 사람없기에  어려워했던 날 모른채 나 그댈 편히 여겨서  다투거나 화냈다면 나란 여잘 다시 보면서  실망했을지 몰라 내 좋은 모습만 아는 그대  보낼 때 가기를 잘했어요 잡고 싶은 맘에 울면서  그대 걱정에 사는 일 원치 않았기에 참 다행이죠 난 화장 안 한 얼굴로  그대 앞에 섰더라면 게으르고 미운 여자로  기억됐을지 몰라 내 좋은 모습만 아는 그대  보낼 때 가기를 잘했어요 잡고싶은 맘에 울면서  그대 걱정에 사는 일  원치 않았기에 다행이죠  조금 아쉬울때에 뒤돌아 서는게  더 아름답게 남죠 실은 나 모자란 것도  많은 여자에요 이런날 예뻐해주고  사랑해줘서 고마웠어요 그런데 자꾸 그대 아주 간 건  아니라고 믿고 싶어져요 나 왜이러죠 바보처럼 우연히 다시 날 볼 수 없게  멀리로 보내길 잘한거죠 짧은 사랑으로 남긴채  다시 만나선 안되죠   그대 위해라도 잘가요 잘가요
20030215,모닝,Bye Bye Love,female,록/메탈,-,-,-,-,오늘도 너는 내게 그녀의 얘기만 해 그렇게 난 네게 어제 처럼 멀어 져가 이젠 넌 날 만나도 그녀의 생각만해 오래된 내맘을 알지도 못한 너인데 내사랑 숨겨 온걸 나 먼저 고백 할것 같아 늘함께 했던 날들 니맘도 같은줄 알았는데 Bye Bye Love 이제는 Bye Bye Love 둘이된 너의 모습 곁에서 지켜볼 자신이 없어 Bye Bye Love 이대로 Bye Bye Love 나의 곁에 머물러준 나와는 다른 널 위해 이젠 Bye Bye 늦은 밤 헤어져도 데려다 주지 않아 그녀의 집 앞에 지금쯤 다와있겠지 늦도록 전화해도 연결이 되지 않아 오늘도 그녀와 밤새워 얘기 하나봐 널 사랑했던 만큼 그런 나 축복해야겠지 하지만 그때까지 조금은 어색할 날 이해해 Bye Bye Love 이제는 Bye Bye Love 둘이 된 너의 모습 곁에서 지켜볼 자신이 없어 Bye Bye Love 이대로 Bye Bye Love 나의 곁에 머물러도 나와는 다른 널 위해 이젠 bye bye bye bye love 이렇게 bye bye love 네게서 한걸음씩 멀어질 내모습 준비해야지 bye bye love 영원히 bye bye love 사랑해서 추억으로 조금덜 아픈 자리에 너를 둘게
20030215,모닝,푸념,female,댄스,-,-,-,-,수많은 사람들 속에 내가 찾는 그댄 어디 한눈에 알아 볼수 있을까 오랜 약속 처럼 왜이럴까 나도 모르겠어 아직 내가 준비가 안된걸까 부드럽게 내게 속삭여줄 그댄 지금 어디에 그대도 참고 있는지 나만 이렇게 애타는지 영원히 나와 함께 할 사랑스런 나의 그대가 내앞에 나타나 주기를 하루가 지나고 해가가도 어째 나만 이래 친구들 모두 정신이 없어 자기 사랑 얘기 왜이럴까 나도 모르게써 아직 내게 매력이 없는걸까 미치도록 내게 키스해줄 그댄 지금 어디에 그대도 찾고 있는지 나만 이러케 애타는지 영원히 나와 함께할 사랑스런 나의 그대가 내앞에 나타나 그대도 찾고 있는지 나만 이러케 애타는지 영원히 나와 함께할 사랑스런 나의 그대가 내앞에 나타나 주기를 그대도 찾고 있는지 나만 이러케 애타는지 영원히 나와 함께할 사랑스런 나의 그대가 내앞에 나타나 그대도 찾고 있는지 나만 이러케 애타는지 영원히 나와 함께할 사랑스런 나의 그대가 내앞에 나타나 주기를
