년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100719,스맥스,Funny Time,male,댄스,-,마경식,마경식,-,-
20030801,스맥스,니가 아니면 안될것 같은데..(미녀와 야수),male,발라드,-,정성헌,김성훈,-,저 달이뜨면 나는 돌아가 나를 기다리지마  나조차도 싫은 나의모습에 니가 눈물 흘릴까 너무 두려워  어둠이 걷히면 돌아갈거야 너무 걱정하지마  너의 기억으로 살아가기엔 너는 내게 너무 가까이 숨쉬고 있어  니가 아니면 안될것같은데 너를 위해서 내 모든것을 버려야 하는데  아침햇살에 변해가는 나의 모습에 또 너를 생각해 사랑하기 때문에  너의 입맞춤에 나의 고통이 끝났으면 좋겠어  낮과 밤을 지나 이세상 다하는 그날까지  나의 사랑은 그대와 영원히  니가 아니면 안될것같은데 너를 위해서 내 모든것을 버려야 하는데  아침햇살에 변해가는 나의 모습에 또 너를 생각해 사랑하기 때문에  나 돌아갈곳 바로 너기에  새벽이 가고 아침이 오면 달려갈거야  니가 아니면 안될것같은데 너를 위해서 내 모든것을 버려야 하는데  아침햇살에 변해가는 나의 모습에 너를 생각해  사랑하기 때문에
20030801,스맥스,One Love,male,댄스,-,이상인,이상인,-,oneloves is comming that wanna do it x2 마음으로 알 수 있게 oneloves is never getting on your depress 두려움 갖지마 그대 for love i can loose that i want it i will get it you will be my baby one love is time that i should be start it 오직 너만을 원해 one love 주지 못할 거라면 어쩌라고 떵떵거려  널 감동 시키는건 선물은 아닐테지 오오 오직 너만을 위하는 아끼는 그런 사랑을 줄 수 있다면 너를 가질 수 있어 oneloves is comming that wanna do it  마음으로 알 수 있게 oneloves is never getting on your depress 두려움 갖지마 그대 for love i can loose that i want it i will get it you will be my baby one love is time that i should be start it 오직 너만을 원해 one love 그것만은 아니지 for love 모든것을 바쳐 널 기쁘게 할 수 있다면 그게 멋진사랑 오직 너만을 위해서 나 주겠어 나를 모두 버렸어 할 수 있다면 나 모든 생을 걸겠어 oneloves is comming that wanna do it  마음으로 알 수 있게 oneloves is never getting on your depress 두려움 갖지마 그대 for love i can loose that i want it i will get it you will be my baby one love is time that i should be start it 오직 너만을 원해 k to the klimax you better realize 오직 너만을 위해 할 수 있는 모든걸 걸어 take it no meaning when we ain't be together say yes you know this time one love oneloves is comming that wanna do it  oneloves is never getting on your depress for love 나를 버린대도 you will be my baby 오직 너만을 원해 나 oneloves is comming that wanna do it  나만 오직 줄 수 있어 oneloves is never getting on your depress 영원히 사랑해 그대 for love i can loose that i want it i will get it you will be my baby one love is time that i should be start it 아픈 사랑은 없어 oneloves is comming that wanna do it  oneloves is never getting on your depress  one love 나를 버린대도 you will be my baby 오직 너만을 원해 나 onelove  oneloves is comming that wanna do it  마음으로 알 수 있게 oneloves is never getting on your depress 두려움 갖지마 그대 for love i can loose that i want it i will get it you will be my baby one love is time that i should be start it 오직 너만을 원해
20030801,스맥스,Girl Friend,male,댄스,-,이상인,이상인,-,gonna get you nothing gonna stop me i'm gonna get you 태양같이 타오르는 find me 점점 더 커지는 내 바램에 그대 내게 오지 do you feel me in can you come to me can you ride for me 눈부신 너의 안의 지금 나의 모습이 keep the time on that's you're making me never gonna drop this track twenty for seven 언제나 그랬었지 내 곁에 많고 많은 그냥 스쳐갔던 사랑들 감춰왔던 passion 불태우고 싶었어 너를 처음 본 그 순간부터 너를 원해 어느 누구보다 너를 원해 it's time a thing about you you better gonna be realize 다른 길은 없어 want you be my girl friend guess what 널 위해 모든 걸 버렸어 그냥 너만 온다면 내게로 와준다면 i'll be that you want for me 만질 수는 없어 하지만 느낄 수 있지 거부할 수 없는 destiny 일생에 단 한번 가질 수 있을까 포기할 수가 없어 이 느낌 끝은 없어 결코 우리에게 끝은 없어 it's time a thing about you you better gonna be realize 다른 길은 없어 want you be my girl friend guess what 널 위해 모든 걸 버렸어 그냥 너만 온다면 내게로 와준다면 i'll be that you want for me i'll be the k l i max to be never reflex 나를 막지 못해 play wanna be the best 가슴 안의 파도 스치는 너의 몸짓 will you come and kiss nothing gonna stop me 뜻 없이 하는 말은 아닌 걸 영원히 하나가 될 수 있게 i'll be that you want for me want you be my girl friend 느낄 수 있니 realize want you be my girlfriend 느끼고 싶어 너의 맘 내게 줘 you better gonna be realize 다른 길은 없어 want you be my girl friend guess what 널 위해 모든 걸 버렸어 그냥 너만 온다면 내게로 와준다면 i'll be that you want for me you better gonna be realize 다른 길은 없어 want you be my girl friend guess what 널 위해 모든 걸 버렸어 그냥 너만 온다면 내게로 와준다면 i'll be that you want for me
20030801,스맥스,One,male,발라드,-,김진아,이상준,-,Don't cry i'm here for you 또 나의 가슴이 지친 어깨가 볼 수 없는 그대를 찾죠 매일 마음 쓰이죠 사진 속의 그 미소를 혹시 나를 떠나 잃진 않을지 서로 다른 곳에 머문다 해도 같은 추억을 그리겠죠 I hold you forever say Yes I love you so much 혼자 웃는 게 낯설어도 그댈 위해 눈물을 거둘게요 Say yes i've only your heart 멀리 있기에 더 커진 믿음 하나를 안고 한없이 그대와 내가 바보 같은 사랑을 했어 조금씩 멀어지는 그댈 보며 추억에 잠겨 나 혼자만 느끼는 걸까 왜 멀어져만 갔나 매일 밤 흐르는 눈물에 기억에 잠들곤 해 나 눈이 멀어도 귀를 막아도 맘이 하는 일에 따르죠 그대 이름에 맺힌 사연 속에 힘겨워도 우리 약속들은 영원하기에 가는 계절만큼 오고 있나요 오래 비워 둔 내 곁으로 I hold you forever say Yes I love you so much 혼자 웃는 게 낯설어도 그댈 위해 눈물을 거둘게요 Say yes i've only your heart 멀리 있기에 더 커진 믿음 하나를 안은채 이별 뒤에 숨어 미안해 마요 먼 길 혼자 지친 그대 안아 줄 수 있게 돌아와요 My love don't cry cry me everyday word I say is true 그대와 함께 한 시간 속에 모두 잊어버린 채 다신 내가 널 울리지 않을게 영원히 나의 품에 안을게 나의 영혼 속에 남아 줘 I hold you forever say Yes I love you so much 이별 너머로 와 줄 사람 조금 늦어진다고 믿고 살죠 Say yes i've only your heart 끝내 만날 순 없어도 don't tell me goodbye my love
20030801,스맥스,축복,male,댄스,-,이상백,박해운,-,come on baby 나를 받아 줘 come on baby come on baby 내게 안겨 줘 come on baby 항상 나의 곁에서 언제나 변함 없는 너 때로는 사소한 일로 다투고 화 낼 때도 있지만 어느새 나의 두 뺨에 입을 맞추며 미소로 안기는 너를 볼 때면 모두 잊게 돼 그렇게 하나둘씩 보낸 시간도 추억을 가져버리고 한편에 영화처럼 찡한 사연들 이젠 내 인생에 너란 축복은 다시는 올 수 없단 걸 알아 줘 알아 줘 baby 언제까지 너와 사랑을 언제까지 너와 행복을 언제까지 너라는 행운을 나만 알게끔 해 줘 운명처럼 헤어질 수 없는 태양처럼 꺼질 수가 없는 사랑을 내 맘을 니 품에 안겨 줘 come on baby 나를 받아 줘 come on baby come on baby 내게 안겨 줘 come on baby 알아 말은 안 해도 겉으론 표현 못해도 니가 뭘 생각하는지 다 알아 눈치하면 나잖아 세상에 많은 하나 된 연인들처럼 나 역시 너와의 결혼도 한번 꿈꿔 보곤 해 그렇게 하나둘씩 보낸 시간도 추억을 가져버리고 한편에 영화처럼 찡한 사연들 이젠 내 인생에 너란 축복은 다시는 올 수 없단 걸 알아 줘 알아 줘 baby 언제까지 너와 사랑을 언제까지 너와 행복을 언제까지 너라는 행운을 나만 알게끔 해 줘 운명처럼 헤어질 수 없는 태양처럼 꺼질 수가 없는 사랑을 내 맘을 니 품에 안겨 줘 love is coming for you i will get you babe i'm gonna say i love you don't you want me babe i want you babe babe love is coming baby just wanna say i love you you gotta love me now come on baby 나를 받아 줘 come on baby come on baby 내게 안겨 줘 come on baby
20030801,스맥스,Run,male,댄스,-,이상백,박해운,-,baby 혹시 너 아니 내가 널 미치도록 원하잖니 너를 무시하던 그 남자 버리고 제발 내게로 내게로 달려와줘 lady 아직 모르니 그는 널 장난치듯 사귀잖니 더는 눈물 따윈 흘리지 말고 내게 와줘 첨부터 널 속여왔어 아직 넌 벗어날 기횐있어 왜 널 망쳐 놓는거야 바보처럼 그럴바엔 날 받아줘 난 오직 너만을 너만을 원해 끝까지 너 하나 하나를 원해 뭘 믿고 그에게 사랑을 줄래 더 이상 그렇게 살지는 마 끝까지 그와의 사랑을 바래 차라리 나같은 사랑을 바래 영원히 너를 사랑해줄 사람이 아냐 baby 뭘 망설이니 내가 널 기다리고 서 있잖니 여태 받은 상처 다 날려버리고 이젠 내게로 내게로 달려와줘 lady 가슴 아프니 그런 니 맘을 나는 다 알잖니 세상 누구보다 자신 있으니 날 믿어줘 첨부터 널 속여 왔어 아직 넌 벗어날 기횐있어 왜 널 망쳐 놓는거야 바보처럼 그럴바엔 날 받아줘 난 오직 너만을 너만을 원해 끝까지 너 하나하나를 원해 뭘 믿고 그에게 사랑을 줄래 더 이상 그렇게 살지는 마 끝까지 그와의 사랑을 바래 차라리 나 같은 사랑을 바래 영원히 너를 사랑해줄 사람이 아냐 믿어줘 믿어줘 믿어줘 하늘이 갈라져도 나의 몸이 부서져도 너만은 지켜줄께 i wants you i need you 제발 믿어줘 제발 내게 와줘 널위해 기다리는 내가 있어 준비됐어 이제 내가 뭔가 다른 사랑으로 보여줄게 달려와줘 난 오직 너만을 너만을 원해 끝까지 너 하나하나를 원해 뭘 믿고 그에게 사랑을 줄래 더 이상 그렇게 살지는 마 끝까지 그와의 사랑을 바래 차라리 나 같은 사랑을 바래 영원히 너를 사랑해줄 사람은 나야 받아줘 받아줘 받아줘
20030801,스맥스,알로하,male,댄스,-,서하나,박성일,-,전활 걸어도 받지 못해요 바다 밑은 원래 그런데요 화내도 어쩔 수가 없네요 미안 야자수 그늘 하얀 갈매기 얼음 가득 채운 쥬스 한 잔 이곳은 천국과도 같아요 밤이 오면 저 별빛아래 빛나는 물결 많이 본 영화처럼 그녀와 난 가슴 떨린 입맞춤 파도가 부서지는 저 바닷가로 함께 떠나요 너무 늦어요 내일이면 눈이 올지 몰라요 태양이 반겨주는 저 바닷가로 그녀와 함께 푸른 바다가 말라 버려 사막이 될 때까지 사랑해 봐요 바다가 우릴 반겨요 우리함께 떠나요 지난 일을 버리고 외쳐 봐요 let's go 너무 더울 땐 참지 말아요 어항이라도 사보세요 조금은 시원해 질 테니까 밤이 오면 저 별빛아래 빛나는 물결 많이 본 영화처럼 그녀와 난 가슴 떨린 입맞춤 파도가 부서지는 저 바닷가로 함께 떠나요 너무 늦어요 내일이면 눈이 올지 몰라요 태양이 반겨주는 저 바닷가로 그녀와 함께 푸른 바다가 말라 버려 사막이 될 때까지 사랑해 봐요 오늘밤 모래사장 위에 조개껍질 묶고 그대 목에 걸고 기도할거야
20030801,스맥스,You Are So...,male,발라드,-,박상준,김성훈,-,그대를 내 안에서 보내고 지워야 했던 나의 아픔들 시간이 점점 멀어져만 가도 그대의 모습은 선명해 지는데 아직 기억하나요 떠나보내던 눈물이 내 사랑을 표현 할 수 없음을 you are so It's gonna be with you Never seem enough for you ever 나의 안에 사랑이 너 밖에는 없다는 걸 Cause you know my heart 돌아보지 않아도 슬픈 표정 하지마 다신 볼 수 없어도 난 너를 잊지 못해 돌아오지 못해 너를 갖지 못해 my heart wanna be your love 시간이 점점 멀어져만 가도 그대의 모습은 선명해 지는데 아직 기억하나요 떠나보내던 눈물이 내 사랑을 표현 할 수 없음을 you are so It's gonna be with you Never seem enough for you ever 나의 안에 사랑이 너 밖에는 없다는 걸 Cause you know my heart 돌아보지 않아도 슬픈 표정 하지마 다신 볼 수 없어도 너를 잡을 수만 있었다면 슬픈 기억을 간직하지 않았다면 그대 내게 건넸던 날 아프게 했던 지난 추억 남아 있지는 않았을 테니까 I'm drowing again It's gonna be with you Never seem enough for you ever 나의 안에 사랑이 너 밖에는 없다는 걸 Cause you know my heart 돌아보지 않아도 슬픈 표정 하지마 다신 볼 수 없어도 나를 미워하지마
20030801,스맥스,마지막 선물,male,댄스,-,정성헌,정성헌,-,uh just be by your side let me be the one catch u when u fall gonna get u right this time love me do you feeling me have me do you feel the vibe the way u move like an arrow throw my heart gonna make u stay do you wanna bet keep it on that move need to go with you put the beats on you may i dance with u gonna get u have u u get the situation just be feeling u i'll be feeling u 겉으론 아무렇지 않게 너 없이도 잘 해낼 수가 있어 너에게 보여주기 위해 많이 노력했던 거야 솔직히 난 많이 힘들어 널 잊고 살아갈 수 없기에 하지만 나로 인해 너 많이 아파할까 봐 두려워 돌아보면 너 항상 거기 있을 것 같아 너 없는 그 자리에 혼자 있으면 나도 모르게 눈물이 너를 위한 게 아냐 숨조차 쉴 수가 없어 내 안에 너를 안고 있으면 너의 기억 속에서 지워버려 나도 지울게 널 위해 할 수 있는 마지막 선물은 내 너를 잊어 주는 일 부디 행복하길 바랄게 나 같은 건 다 잊어 줘 너와의 이별은 내 몫인 거야 난 널 잊어보겠다고 맘속에 널 가두겠다고 그렇게 난 또 다짐해 너를 떠나 보내야만해 너와 했던 시간 모두 지워버려 모두 잊어 버려 너와 이젠 너와 내가 끝난 거라 생각해 모두 끝이야 나를 보는 너의 그 걱정스런 눈빛이 내 안에 남아있는 너의 기억에 마지막이길 바랄게 너무 힘든 시간이 내 앞에 기다릴 거야 하지만 널 위해 난 가야해 너의 기억 속에서 지워버려 나도 지울게 널 위해 할 수 있는 마지막 선물은 내 너를 잊어 주는 일 부디 행복하길 바랄게 나 같은 건 다 잊어 줘 너와의 이별은 내 몫인 거야 너를 사랑했기에 이제 그만 보내 줘야해 내가 다 아파하고 내가 더 힘들께 그래도 행복할거야 너를 사랑했던 기억에 하루를 살아 갈 거야 나에겐 사랑은 너뿐인 거야 잘 가 제발 떠나가 나는 알고 있어 가버려 널 위해 날 위해 이런 이별을 택한 거야 그런 너의 마음 알지만 난 떠나갈게 이제는 모든 걸 그냥 두고 가 뒤도 돌아보지 말고 그냥 가
