년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20020612,신비,Summer In Love,female,발라드,-,임수철,이성제,-,우리가 처음 만난건  오래 전 기억인데  그 여름 그 바다와  넌 나를 또 찾아와 부르네  하얀 백사장 연인속  파란하늘 아래 우린 만났어  부서지는 파도 그안에 실려  내게로 다가왔던 운명  다시 내게로 다시 내게로  꿈을 그린 먼 훗날 그 약속  아직 여기서 너를 기다리는데  summer in love  you leave me alone  come in to my eyes  수줍은 첫 키스 여운도  내 가슴에 남아 그리는데  come to me my love  니가 날 떠났던  아픈 지난 시간속에서  이제는 그 해변을  나만 혼자 그렇게 걸었어  노을 물든 바다처럼  흘린 눈물만큼 내게 남은 너  파도처럼 밀려 멀어져 가는  짧았던 우리 둘의 사연  다시 내게로 다시 내게로  더이상 기억 할 수가 없는  너의 미소는 다시 볼 수가 없니  summer in love  you leave me alone  come in to my eyes  가슴떨린 그 밤 고백도  저 별 속에 남아 그리는데  come to me my love   우리 약속처럼 너는 내안에  그래 나는 니안에   저 바다안에 새겨든 나만의 이름  summer in love  다시 만날때 까지  다시 내게로 다시 내게로  더이상 기억 할 수가 없는  너의 미소는 다시 볼 수가 없니  summer in love  you leave me alone  come in to my eyes  수줍은 첫 키스 여운도  내 가슴에 남아 그리는데  come to me my love  가슴떨린 그 밤 고백도  저 별 속에 담아 -
20020401,신비,Intro,female,댄스,-,-,-,-,-
20020401,신비,To My Friend,female,발라드,-,-,-,-,너를 처음 본 순간 운명처럼 너에게 이끌려  같은 여자인 너를 두렴 속에 난 좋아하는데  (You’re my first love) 넌 느낄 수 있니  (Tell me your heart) 더는 감출 수 없는걸  이제는 너에게 고백할게 Love is no crime   흘린 눈물 만큼 너를 사랑해  너의 하루 안에 머물게  미안해 넌 웃으며 말했어  영원히 좋은 친구로 남자고   어제 꿈에 본 너는 사랑한다 고백을 했는데  아침 햇살 속 너는 다른 사람 생겼다 말했어  (You’re my last love) 난 슬프지 않아  (Show me your love) 그저 친구일 뿐인걸  오늘은 내 맘을 보여줄게 Love is no crime   세상 누구보다 너를 사랑해  이젠 내가 너를 지킬께   미안해 넌 미소로 답했어  이별이 없는 친구가 좋다고   시간 흘러서 멀어져도  우리 곁에 다른 사람 있어도  너는 언제나 내 꿈속에  나는 영원히 네 안에   흘린 눈물 만큼 너를 사랑해  너의 하루 안에 머물게  미안해 넌 웃으며 말했어  영원히 좋은 친구로 남자고   세상 누구보다 너를 사랑해   이젠 내가 너를 지킬께  미안해 넌 미소로 답했어  이별이 없는 친구가 좋다고
20020401,신비,고양이 Step,female,댄스,-,-,-,-,Yeah Yeah I got you feel your heart only for me now I feel yourmind yeah Comeon 내 곁을 그대 볕 을 피해 난 조그 마한 내 옆에 고양이를 처럼 난 언제나 스쳐가 나 왜 날 잊은 듯 나를 떠나가나 더는 나는 너를 밀어낼 수 없어 이제 너의 맘도 모두 다 알아낼 수가 있어 가만가만 내 주위를 맴도는 발걸음 이제 그만 사랑을 내게 말해줘 다가와줘 살며시 날 스쳐 가는 그 발걸음 조금씩 나의 가슴 파고들어 지쳐있는 내 마음 흔들고는 너는 또 다시 사라지네 아직 너의 느낌 모르지만 이제는 나 알고 싶어 Yeah 아팠던 나의 이별 다 지울게 더 조금만 가까이 와 이젠 내게 다가와 나의 맘을 잡아 줘 더 이상 혼자 있는 시간들이 힘겨워 상처 입은 날 위해 지금껏 숨겨온 사랑을 말해 줘 더 늦기 전에 흘러가는 시간이 널 도와주지 않아 자 다가와 내 열린 맘의 문을 넘어서 어서어서 내 곁으로 내 안으로 들어와 날 느껴봐 자꾸만 도망치는 그대의 뒷모습에 아픈 내 맘이 또 지나가는 오늘 밤이 흘러가 지나가 오 내기다림 언제까지나 그대 내게 오기만을 기다려 외로운 날 위로하는 그 목소리 이제는 내게 와서 속삭여 줘 포근히 그 체온 속에 내 모든 걸 맡기고 싶은 거야 너를 두려움에 밀어내던 나 이제는 변할 거야 Yeah 더 이상 혼자 너를 두지 않아 내 등 뒤에 서 있지마 이젠 내게 다가와 나의 맘을 잡아 줘 더 이상 혼자 있는 시간들이 힘겨워 상처 입은 날 위해 지금껏 숨겨온 사랑을 말해 줘 더 늦기 전에 어둠 속에 버려져 네 사랑을 숨긴 채 많은 시간 기다림에 힘들었지만 소리 없는 발걸음 어느새 난 익숙해 이미 난 네 사랑에 빠져든 거야 이젠 내게 다가와 나의 맘을 잡아 줘 더 이상 혼자 있는 시간들이 힘겨워 상처 입은 날 위해 지금껏 숨겨온 사랑을 말해 줘 더 늦기 전에
20020401,신비,아쉬움으로,female,댄스,-,-,-,-,나 그 애를 살려야해요 그저 너무나도 착할뿐인데 하지만 난 그에게 미안한 마음도 없이 매일 그렇게 상처만 줬죠 You 이렇게 보낼순 없어 제발 꿈이라 해줘 내가 좋다면 절대 이래선 안돼 아직 해주지 못한게 있어 조금만 기다려 줄래 미안해라는 말로 용서받을께 나 그 앞에 웃은 적 없죠 내게 너무나도 잘해줬지만 그런데 왜 이제야 고마움 느끼면서 두 눈에 눈물이 나는 걸까요 You 이렇게 보낼순 없어 제발 꿈이라 해줘 내가 좋다면 절대 이래선 안돼 아직 해주지 못한게 있어 조금만 기다려 줄래 미안해라는 말로 용서받을 때 까지 저 호수 너머로 진실한 소원을 빌죠 내가 잘못했던 그 만큼 너를 사랑하도록 You 이렇게 보낼 순 없어 너를 어떻게 잊어 내가 좋다면 절대 이럴순 없어 안돼 해주지 못한 말이 있어 조금만 기다려 줄래 사랑해라고 네게 얘기해주고 싶어
20020401,신비,Violet...That`s Meaning,female,발라드,-,-,-,-,Just remember Never forget Just remember Never forget 나 그리워 돌아올 그대라는 걸 이미 알고 있죠 긴 시간이 흘러서 목소리까지 모두 잊었지만 이제 사랑은 없다 말하며 나를 떠나는 뒷모습 보면서 그 어디도 갈 곳 없는 그대란 걸 알았어요 Just remember I'll be wait for you 그대 지금 올 수 없어도 나를 떠나간 그 자리에서 항상 기다릴 거예요 I don't forget I'll be love forever 돌아오지 않는다 해도 어딘가에서 나를 찾는다는 생각으로 난 너무나 행복하니까 한땐 그대를 잊어 보려고 다른 사람을 만나도 봤지만 그 누구도 그대만큼 사랑할 순 없었어요 Just remember I'll be wait for you 그대 지금 올 수 없어도 나를 떠나간 그 자리에서 항상 기다릴 거예요 I don't forget I'll be love forever 돌아오지 않는다 해도 어딘가에서 나를 찾는다는 생각으로 난 너무나 정말 Just remember I'll be wait for you 다른 사랑 자신 없어요 그대 돌아와 나를 찾는다면 그땐 어쩌죠 안돼요 그럴 순 없죠
20020401,신비,Happy Dream,female,댄스,-,-,-,-,언제나 한시면 어김없이 이곳을 지나치는 그 애를 난 기다리곤 해 혹시나 오늘은 그녀 없이 나타나 슬픈 듯 쓸쓸히 걷길바래 한번만 한번만 쇼윈도에 숨은 내 눈빛 느껴 줘 Oh 이렇게 이렇게 밝은 태양 아래 비친 너의 모습 매일 내 마음을 채워 날아 날아 이젠 날아 올라 상상만으로 난 행복해져 내가 너의 곁을 지나쳐도 아직 넌 몰라 늘 너의 뒤만 바라보는 내 맘 우연히 쏟아진 소나기에 가게로 들어온 너 떨리는 내 숨결을 몰라 말없이 건네준 우산 보며 빨개진 그 날의 네 얼굴 잊지 못해 더 이상 더 이상 두근대는 내 맘 속이긴 힘들어 Oh 다가와 다가와 이젠 너를 향한사랑 기다려온 시간 말해주고 싶어 하나 하나 이젠 하나 뿐야 마지막 사랑 널 기다릴게 비에 젖은 너를 바라보며 운명이란 걸 난 믿고 싶어 알아주길 바래 우산을 들고 환한 미소를 진 채 나를 부르는 어색한 목소리가 들려 매일 난 같은 꿈을 꾸곤 했었지 오늘처럼 행복한 날 날아 날아 이젠 날아 올라 상상만 으로 난 행복해져 내가 너의 곁을 지나쳐도 아직 넌 몰라 늘 너의 뒤만 바라보는 내 맘 날아 날아 이젠 날아 올라 상상만으로 baby in my life 내가 너의 곁을 지나쳐도 아직 넌 몰라 날아 날아 이젠 날아 올라
20020401,신비,천상휴가,female,발라드,-,-,-,-,오늘을 끝으로 다해버렸어 너의 곁에서 그 3일 동안의 내 휴가를 네 곁에서 다 써버렸어 이제 안볼걸 그랬지 둘이 진하게 키스를 할 때 단 한눈에 봐도 그 애 보다는 니가 더 좋아 하는 것 같아 나는 너에겐 오래 전에 이 세상에 없는거지 이렇게 무슨 말을 또 해보아도 바보처럼 웃기만해 그렇게 tell me way 기쁜데 나 왜 자꾸 눈물이나 그래 그 모습 참 보기 좋은데 너처럼 해볼께 잊어볼께 이제는 내 동생하고 행복한 너 그렇게 벌써 잊은거니 네가 쉽게 변할줄은 몰랐어 네가 떠나고 힘들어도 혼자있는 너를 그려 온거야 왜 그렇게 잘해주니 항상 그렇게 붙어 다니나봐 우리 전에 그랬잖아 tell me way 기쁜데 나 왜 자꾸 눈물이나 그래 그 모습 참 보기 좋은데 너처럼 해볼께 잊어볼께 이제는 내 동생하고 행복한 너 너무나도 착하던 그 애인걸 매일 그렇게 영원히 지켜줘 멀리서 그 모습 지켜 볼께 이제는 내 동생하고 행복한 너 기쁜데 나 왜 자꾸 눈물이나 그래 그 모습 참 보기 좋은데 너처럼 해 볼께 잊어 볼께 이제는 내 동생하고 행복한 너
20020401,신비,Just In Time,female,댄스,-,-,-,-,I wanna get your love Can you feel it Show me 이젠 나에게 네 모든걸 보여줘 For love Can you say it love me 느낄 수 있니 널 향한 내 마음을 오늘도 난 기다려 작은 TV속의 너를 기억해 나만 바라보던 너의 쓸쓸한 눈빛까지 사랑할 수 있다고 너에게 말을 했지만 차가운 TV안에 너는 그저 날 바라볼 뿐 소중한 이 시간마저도 이제는 끝나 가려 해 다시 사라지는 널 잡고 싶어 이제는 내게 말을 해줘 I wanna get your love Can you feel it Show me 이젠 나에게 네 모든걸 보여줘 For love Can you say it love me 느낄 수 있니 널 향한 내 마음을 다가갈 수도 없는 너와의 시간이지만 영원히 널 볼 수 있다면 언제나 기다릴게 소중한 이 시간마저도 이제는 끝나 가려 해 다시 사라지는 널 잡고 싶어 이제는 내게 말을 해줘 I wanna get your love Can you feel it Show me 이젠 나에게 네 모든걸 보여줘 For love Can you say it love me 느낄 수 있니 널 향한 내 마음을 I wanna get your love Can you feel it Show me 이젠 나에게 네 모든걸 보여줘 For love Can you say it love me 느낄 수 있니 널 향한 내 마음을
20020401,신비,Princess In The Castle,female,발라드,-,-,-,-,하얀 파도 위에 놓인 작은 성안에 지금 나는 갇혀 있어요 단지 널 사랑했단 이유 하나인데 이렇게 그대의 곁에 머물 수가 없어요 이런다고 내 마음이 변할 순 없죠 이미 우린 하나인걸요 그에게 나는 항상 특별하지 않은 평범한 모습일 뿐인데 현실은 다르죠 너무 반해서 그대 전부에 나의 모든 것을 맡길 수 있는 거죠  멀리 있어도 그대의 향기 다시 느껴지네요 기다릴게요 나 언제라도 저기 새처럼 꼭 나의 곁으로 와요 그대 잡아준 두 손에 따뜻함이 사라지는 날까지요 나의 맘은 언제까지 변하지 않아 다신 그를 볼 수 없어도 언제나 나는 상상 속의 나랠펴요 또 다시 행복할 뿐이죠 그걸로 충분해 너무 반해서 그대 전부에 나의 모든 것을 맡길 수 있는 거죠  멀리 있어도 그대의 향기 다시 느껴지네요 기다릴게요 나 언제라도 저기 새처럼 꼭 나의 곁으로 와요 그대 잡아준 두 손에 따뜻함이 사라지는 날까지요
