년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20030429,악동 클럽 ,착각,male,댄스,-,김창환,김창환,-,너의 친절함에 나는 속았었나봐  너도 날 좋아한다고 그렇게 믿었는데  너의 성격이 원래 상냥하다는걸  알면서도 나는 웬지 그렇게 믿었었어  그러던 어느 날인가 너는 나에게  너의 애인을 소개시켜 주며  인사을 나누라는데 나의 눈 앞이  왜 자꾸 캄캄해지만 오는지  어색해하는 나의 표정을 바라보며  너도 그제서야 내가 널 좋아하는 걸 알았나봐  하지만 그래도 어쩔 수가 없잖아  그저 나 혼자의 착각속에  너를 좋아한 것 뿐이니까    너를 보면서 난 착각을 했지  너의 친철함을 몰랐었기에  그게 사랑인줄 알고 나는 혼자서  많은 날을 기다리며 고민해 왔었지  너의 변함없는 태도를 보면  조금은 이상하다는 생각을 했지만  그래도 난 믿었어 니가  날 좋아한다고  그러던 어느 날인가 너는 나에게  너의 애인을 소개시켜 주며  인사을 나누라는데 나의 눈 앞이  왜 자꾸 캄캄해지만 오는지  어색해하는 나의 표정을 바라보며  너도 그제서야 내가 널 좋아하는 걸 알았나봐  하지만 그래도 어쩔 수가 없잖아  그저 나 혼자의 착각속에  너를 좋아한 것 뿐이니까    어색해하는 나의 표정을 바라보며  너도 그제서야 내가 널 좋아하는 걸 알았나봐  하지만 그래도 어쩔 수가 없잖아  그저 나 혼자의 착각속에  너를 좋아한 것 뿐이니까
20030429,악동 클럽 ,친구였던 너,male,댄스,-,김창환,김창환,-,너와 나는 과연 어떤 사이일까 어린시절부터 그저 친구였었는데 남들은 우릴보고 이렇게 말하지 남자 여자 사인 친구가 될 수 없다고 우린 그저 친구 사이일 뿐인데 기쁠 때나 슬플 때면 항상 제일 먼저 달려가서 기뻐하고 위로하며 연인처럼 다정하게 서로 감싸주지 아직 나는 잘은 모르겠어 너와 내가 어떤 사이인지 너의 이성친굴 소개받는데 왜 내가 화가 나는지 어쩌다가 너와 말다툼이라도 하고 돌아설때면 니가 마치 나의 애인처럼 나를 잡아주길 바랬지 요르레이요 요르레이요 나는 알 수가 없어 니가 다른 남잘 만날때 왜 화가 났는지 요르레이요 요르레이요 이젠 알 것만 같아 너를 친구보다 연인으로 더 사랑했나봐 지금껏 나는 정말 몰랐었지 나를 사랑하는 걸 그저 멀리에서 찾고 있었지 너는 아닐거라며 이제야 모든 것을 깨달았어 내가 찾던 사랑이 항상 내 곁에서 나를 지켜준 친구였던 너란 걸 가끔 나는 혼자 생각하곤 하지 너와 나는 그저 학교 동창일 뿐인데 때론 친구처럼 때론 연인처럼 우리 사이 과연 정말 어떤 사이일까 그때마다 나는 고갤 저으면서 아니라고 혼자 부정을 하곤 하지만 니가 다른 남잘 사랑하게 되면 축하해 주기보다는 화가 날 것 같아 아직 나는 잘은 모르겠어 너와 내가 어떤 사이인지 너의 이성친굴 소개 받는데 왜 내가 화가 나는지 어쩌다가 너와 말다툼이라도 하고 돌아설때면 니가 마치 나의 애인처럼 나를 잡아주길 바랬지 요르레이요 요르레이요 나는 알 수가 없어 니가 다른 남잘 만날 때 왜 화가 났는지 요르레이요 요르레이요 이젠 알 것만 같아 너를 친구보다 연인으로 더 사랑했나봐 지금껏 나는 정말 몰랐었지 나를 사랑하는 걸 그저 멀리에서 찾고 있었지 너는 아닐거라며 이제야 모든 것을 깨달았어 내가 찾던 사랑이 항상 내 곁에서 나를 지켜준 친구였던 너란 걸
20030429,악동 클럽 ,Be My Love,male,댄스,-,김창환,김창환,-,그녀를 내가 보게 된 건 행운이야 하지만 쉽게 잡을수가 없는 걸 어떻게든 기횔 만들어도 매번 나와 엇갈리는 그녀 언제나 안타까운 마음뿐이야 그녀는 사실 다른 남자 애인이야 그런데 그녀 이별 소식 들었어 이젠 됐어 이런 나의 기쁨도 잠깐 야윈 그녀를 보면 차마 난 만나자고 할 수 없었어 하루종일 그녀 생각에 울다 웃는 내 모습 말못할 내 사랑만 커져갈뿐야 언제일까 BE MY LOVE 꿈처럼 그녀가 나의 여인되어 곁에 서는날 왜 안될까 BE MY LOVE 내 사랑 누구보다 큰걸 알잖아 왜 항상 내게만 네 사랑 비켜가 언제쯤 나의 맘 네 품에 닿을까 언제나 엇갈려 우린 언제나 그냥 헷갈려 몇 시간동안 기다려 그녀오기만 또 기다려 하지만 언제나 그랬듯이 오늘도 우린 다시 엇갈려 내맘은 항상 널 기다려 더이상 안돼 친구를 동원한거야 그녀의 모든것을 알게 되었어 이젠 됐어 이런 나의 믿음도 잠깐 나를 돕던 그 친구 그녀와 가까워져 사귀는거야 아무것도 할 수가 없어 이런 비참한 모습 늦었던 내 사랑만 후회될뿐야 언제일까 BE MY LOVE 꿈처럼 그녀가 나의 여인되어 곁에서는 날 왜 안될까 FEEL MY LOVE 내 사랑 누구보다 큰 걸알잖아 왜 항상 내게만 네 사랑 비켜가 언제쯤 나의맘 네 품에 닿을까
20030429,악동 클럽 ,변명,male,댄스,-,이희승,안정훈,-,처음 그 자리에서 너를 봤을 때 나는 왠지 모를 느낌 받았었는데 쉽지 않을 거란 친구 얘기에 난 어떤 누구 말도 듣지 않은 채 너를 믿었어 I believe you everyday 하지만 널 절대 의심하지 않아 다른 그 누구도 아닌 내 앞에서 넌 너무나도 솔직하게 보였으니까 세상이 다 아니라 해도 나는 너를 믿은 거야 내게로 안겨왔던 너를 믿어주고 싶던 거야 친구라 생각하기에는 너무 가까워 보였어 모른 척 기다리면 네가 돌아올 걸 믿은 거야 길을 지나다 같은 옷 입은 너와 그를 마주쳐도 약속도 없던 우연이라는 너의 말을 믿었는데 말해봐 바라는 게 뭐야 이대로 널 떠나 줄께 세상을 채우도록 울면 네가 다시 돌아올까 차라리 변명이라도 해 내가 너를 포기하게 아무 일 아니라고 해 줘 거짓말도 믿고 싶어 조금 전에 일은 설명하지 않아도 돼 Whatever you thinking was used to be 난 상관하지 않아 Get me into loving you more 때론 너무나도 힘이 들어도 evermore evermore evermore 너를 사랑하겠어 결코 우린 쉽게 헤어지는 일은 없을거라 믿고 있어 Don't say good bye anytime because your mine 많이 아파서 쉬고 싶다는 너의 말이 안쓰러워 위로하려고 집 앞에 갔어 그와 오는 널 본 거야 워 말해봐 네 진심이 뭐야 차라리 날 떠나보내 모르고 눈 가리고 내내 사랑하길 바라지마 넌 몰라 이 말 내가 하면 떠난다고 할 것 같아 아플까 걱정했었다며 웃으면서 돌아온 날 Never gonna put my trust you 어떤 일이 있어도 난 너만 바라봐 I don't wanna here the people say yeah 그런 얘기 나에게 들리게 하지마 After all you did 그런데 나 자꾸 눈물이 흘러가 but I still love her 시간들이 흐를 수 록 마음은 아파와
20030429,악동 클럽 ,The Only One,male,발라드,-,-,-,-,이제서야 왜 만나게 됐는지 그대도 오랫동안 나처럼 기다렸는지 그대내게 더욱 소중한 이유 기나긴 외로움이 남겨준 소원 있기에 나에게 안겨주겠니 날아가면 안돼 이밤이 다하도록 내 품안에 지킬거야 언제라도 내곁에 함께 있어줘 나 바라는건 그것뿐 우리 이순간을 영원히 잊지는마 난 그대 하나만으로 내 사랑하나만으로 그 어디에 있어도 이젠 외롭지 않을거야 You The Only One 내 모든걸 줄거야 이 세상 단 하나 오직 그대만을 위해 아픈 기억 이젠 다 지워버려 새 하얀 기억위에 우리의 얘길 채워가 두눈을 감아주겠니 숨이 멎을듯 해 내 서툰 입 맞춤을 사랑으로 허락해줘 언제라도 내곁에 함께 있어줘 나바라는건 그것뿐 우리 이순간을 영원히 잊지는 마 나 그대 하나만으로 내 사랑 하나만으로 그 어디에 있어도 이젠 외롭지 않을거야 You The Only One 내 모든걸 줄거야 이 세상 단하나 오직 그대만을 위해 혹시라도 날 떠나가지 말아줘 눈물흘리지 않도록 항상 그대 자리 내곁이 되야해 나 그대 하나 만으로 내 사랑 하나만으로 어떤 힘겨운 날도 이젠 두렵지 않을거야 You The Only One 그대에게 약속해 나 언제까지나 이맘 변치 않음을
20030429,악동 클럽 ,상심,male,댄스,-,홍지유,Papertonic,-,Yo 어느 날인가 나도 모르게 날아온 작은 편지 하나가 내 맘을 Ripson 너와 나의 사랑들을 맹세했던 반지 내겐 너무나도 다정했던 너와 나의사진 원래 제자리로 내게 돌아와 내게 고백했던 모든 말도 거짓이야 나보다 더 좋은 사람이 생겼다고 두 번 다시 찾아오지 말아달라고 떠나가야해 잊어야만해 돌어서야해 너 없이도 살아가야해 이제부터 너보다 행복해야해 마음 변해버리면 싫어진다면 끝나버리면 누구보다 잔인한 너로 기억되니까 말뿐인 사랑을 받아주던 내 모습이 너무나 서러워 돌려주고 싶어 이 세상이 내 눈에 너만 보여주려해도 더 이상 널 찾아가서 애원은 하지 않아 나 모르게 너에게 없는 사람 돼버린 걸 늘 가슴깊이 담아 둘 테니 Yo 그래 그런거야 아무것도 아니야 흘러가는 바람이라 생각하는 거야 네가 나를 바라보며 생각했듯이 Yo 너 역시도 최곤 아냐 이런 나와 같이 네가 꿈에 그려왔던 그런 사람 역시 언제나 너만 보며 웃고 있진 않지 그 사람의 웃음들이 멈춰지면 너도 지금 나의 모습처럼 된다는 걸 잊지마 쉽게 나를 버리고 잘 지낸다고 후회없다고 들려오는 너의 목소리 믿을 수 없어 너 보다 소중한 사랑 얼마든지 많아 그래도 참아야 하는 걸 왜 몰라 이 세상이 내 눈에 너만 보여주려해도 더 이상 널 찾아가서 애원은 하지 않아 나 모르게 너에게 없는 사람 되버린걸 늘 가슴깊이 담아 둘테니
20030429,악동 클럽 ,Vacation,male,댄스,-,홍지유,윤치웅,-,We wanna doing song here we go ready to party go summer party summer party summer party yeah ready to party go summer party summer party summer party yeah 멋진 그녀가 다가와 나의 마음을 가져가 밀려 왔다가 가는 파도처럼 날 흔들어 놔 그녀 밟고 간 모래밭 뒤로 나도 따라가 파란색 하늘 그 밑에 난 그녀와 단 둘이 거닐고 싶은데 바람 타고 오는 그녀만의 머리 향기 못 참겠어 내 맘 받아줘 지금부터 우리의 사랑 시작해 Baby I need your love I need you love 바다보다 깊은 만큼 I'm not alone I'm not alone 내 곁으로 와준다면 Baby You are the one You are the one 여름날이 가기전에 세상 가장 소중한 예쁜 추억 하나 만들어 What a beautyful lady 나와 함께 What a beautyful lady 꿈을 함께 What a beautyful lady 나의 그대 What a beautyful day one two three four 멀리서만 지켜보던 나지만 그래 망설임도 이것으로 마지막 단 한번뿐인 지금 이 순간 놓칠 순 없어 Can't stop my passion 넘실거리는 파도 앞에 너와 나 아름답게 비춰주네 you call out the sunshine 이렇게도 사랑스런 너를 지금 꼭 한번 안아주고 싶어 우린 그렇게 만났어 서로 마음도 전했어 어떤 누구도 갈라놓지 못하게 영원토록 가끔 서로가 토라져 외면할지 몰라도 그럴땐 내가 너에게 해주고픈 마지막 한마디 사랑해 세상 다 준대도 바꿀 수가 없는 너를 언제까지 내 곁에 두고 평생동안 너만을 지켜줄거야 Baby I need your love I need you love 바다보다 깊은 만큼 I'm not alone I'm not alone 내 곁으로 와준다면 Baby You are the one You are the one 여름날이 가기전에 세상 가장 소중한 예쁜 추억 하나 만들어 summer party summer party summer party yeah summer party summer party summer party
20030429,악동 클럽 ,Lucky Chance,male,댄스,-,Takashi Matsumoto (松本隆),Takashi Matsumoto (松本隆),-,이별 뒤에 돌아온 널 두번 다시 이제는 놓치진 않지 모든 것들 같이 거침없이 헤어나갈 준비가 돼있지 너에 눈빛 속에 네 모든 게 마취 되어 나의 마음속을 거침없이 표현하고 말았지 My body fallsapart 이런 나의 사랑 앞에 걷히 길 바랄 뿐야 어둔 상처들을 모두 같이 한번만 날 바라봐 내 사랑을 느껴봐 지나간 너의 얘긴 문제될게 없어 미안하다 하지마 다른생각하지마 이제라도 내게 온 건 정말 행운이야 이젠 나만 바라봐  Look at me now yeah yeah yeah 너를 내게 맡겨봐  Can you feel me yeah yeah yeah 아무말도 하지마 난 감사할 뿐이야 내 품에 너를 찾게 된 걸 너를 기다린 순간 참았던 긴 시간 그 만큼 너를 위해 줄께 I can feel you 나에게 기대  Come to me now baby I can hold you 나에게 말해  Don't say goodbye baby Yo 아무 걱정하지마 나를 한번 바라봐 너만 나의 곁에 있어주면 나는 괜찮아 다신 그를 찾지마 내가 옆에 있잖아 이 모든게 꿈이라 해도 숨 쉬는 순간만은 내 사랑을  모두 다 너에게 줄 꺼야 모두다 줄꺼야 내게 오는 지금 이런 기회들을 막을 수가 없어  지금까지 기다려온 Lucky chance 천천히 널 열어봐 내 사랑에 기대봐 잃었던 너의 미소 찾아주고 싶어 나를 알고 있잖아 그 하나면 된거야 이제라도 예쁜 사랑 시작 할 수 있어 그래 나를 믿어봐  Believe in me yeah yeah yeah 너의 사랑 걸어봐  You and me hey yeah yeah yeah 아무말도 하지마 난 감사할 뿐이야 내 품에 너를 찾게 된걸 너를 기다린 순간 참았던 긴 시간 그 만큼 너를 위해 줄께 I can feel you 나에게 기대  Come to me now baby I can hold you 나에게 말해  Don't say goodbye baby - 간 주 중 - 다신 아프지 않아 날 믿어도 좋아 나 하나만은 변치 않아 너만 사랑할거야 널 지켜줄 거야 내 맘을 다해 아껴 줄께 I can feel you 나에게 기대  Come to me now baby I can hold you 나에게 말해  Don't say goodbye baby I can be with you 너와나 함께  Let us make love tonight I can kiss you 내 맘 다 줄께  Come on lady my love
20030429,악동 클럽 ,If,male,발라드,-,김수정,Unknown,-,눈에서 멀어지면 잊혀질까 아니란 걸 알면서 믿고싶죠 그대 없인 단 하루도 힘들겠지만 없던 일로 하기엔 이젠 늦죠 모르죠 그대가 아무것도 없다면 오히려 내게 더 오는 길 쉬웠을 텐데 만약에 그대가 내 손길 필요한 바보가 된다면 차라리 행복했겠죠 마지막 준비한 슬픈 눈물이 소리 없이 맘에 내려요 You got tha think it about how if go how if go say that again 사랑해 그 한마디 끝내 못했죠 간직하면 바래질테니 떠난 그대처럼 시간이 흐른 후 또 다른 세상에서 만나려고 서로에게 많은 빚 지나봐요 우리에게 남은 인연 허락된다면 너무 보고싶을 날 쓰고싶어 모르죠 그대가 아무것도 없다면 오히려 내게 더 오는 길 쉬웠을 텐데 만약에 그대가 내 손길이 필요한 바보가 된다면 차라리 행복했겠죠 마지막 준비한 슬픈 눈물이 소리 없이 맘에 내려요 You got tha think it about how if go how if go say that again 사랑해 그 한마디 끝내 못했죠 간직하면 바래질테니 떠난 그대처럼 시간이 흐른 후 Come back to me I can not in my life Come back to me I can not in my life 그대 안의 나 갇혔었나 봐 사랑으로 다가설 수 없는 걸까 나 뒤로 돌아가 손을 놓지마 후회들로 가득해진 너를 보게 될 꺼야 준비가 안되는 시간 쫓아 흘러가는 세월에 흐름 따라 돌릴 수가 없는걸 사랑조차 이렇게 난 너만을 바라보아 기억 속을 다 지워보려 난 무던히도 애를 쓰고 있어봤자 나 가슴속에 남아있는 추억 모두 다 깨끗이 지울 순 없는 건가 봐 이제야 우리가 왜 안 되는지 그 이유를 알 것 같아요 You got tha think it about how if go how if go say that again 만약에 조금 늦게 만났었다면 그동안의 이별 때문에 쉽게 헤어지는 슬픈 일 없을 테죠
20030429,악동 클럽 ,찻잔,male,댄스,-,-,-,-,내 맘속 가득한 사랑 하나만이 언제나 나의 맘을 포근하게 가득 채워주었고 내일은 몰래 너를 찾아가서 네 앞에 가 사랑을 고백하네 조용히 나를 바라보며 웃고 있는 네 모습에 사랑하는 내 맘을 너에게 보여 주었고 이젠 너를 의지할래 사랑해라고 맹세할래 오늘 밤에 너무 진하지 않은 향기를 담고 진한 갈색 탁자에 다소곳이 말을 건네기도 어색하게 너는 너무도 조용히 지키고 있구나 너를 만지면 손끝이 따뜻해 온몸에 너의 열기가 퍼져 소리 없는 정이 내게로 흐른다 너무 진하지 않은 향기를 담고 진한 갈색 탁자에 다소곳이 말을 건네기도 어색하게 너는 너무도 조용히 지키고 있구나 너를 만지면 손끝이 따뜻해 온몸에 너의 열기가 퍼져 소리 없는 정이 내게로 흐른다 Yo 진하지도 않은 너의 맑은 향기가 내 맘속에 따뜻하게 전해 들어와 널 위해 비워둔 맘 속에 이제는 하나 같이 너를 향한 마음 뿐이야 갖지 못해 너를 두고 이제 내 뜻대로 못해 이런것들 이제 마음속 Control 어떤 누구도 너를 향한 사랑들을 채울 수가 없어 너를 만지면 손 끝이 따뜻해 온몸에 너의 열기가 퍼져 소리 없는 정이 내게로 흐른다 너를 만지면 손끝이 따뜻해 온몸에 너의 열기가 퍼져 소리없는 정이 내게로 흐른다
