년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20040621,엘프,백마탄 왕자,female,발라드,-,정진환,전준규,-,눈처럼 새하얀 말은 두고 왔나요  나보다 더 크던 칼은 어디 감췄죠  마치 별처럼 빛나는 눈 제발요 날 봐요  더운 여름 날 샤워처럼 불쑥 나타난 이 사람  어디서 뭐했었나요 용케도 꼭꼭 숨었었네요  여린 맘 놀래키려 이제서야 온 거죠  자꾸만 궁금해져요 날 사랑하게 만들 거에요  그대가 그대 맞죠 꿈에서 본 나의 왕자님  성에서 날 구해준 걸 잊으셨나요  그때 다친 팔은 이젠 괜찮은가요  어떤 말부터 건네볼까 고민만하다가  눈이라도 마주칠 때면 숨어버리는 이 바보  어디서 뭐했었나요 용케도 꼭꼭 숨었었네요  여린 맘 놀래키려 이제서야 온 거죠  자꾸만 궁금해져요 날 사랑하게 만들거예요  그대가 그대 맞죠 꿈에서 본 나의 왕자님  평생 날 지킨댔잖아요  더 무릎 꿇고서 가만히 내가 다가와  마법을 풀던 입맞춤  그대가 먼저 말 걸어줘요  (꿈에서처럼 용감하게요)  이대로 두면 다시 잠들지도 몰라요  항상 내 곁에 있어줄래요  (내게 한 말씀 지켜내야죠)  그대가 확실해요 나를 깨운 멋진 왕자님 -
20040621,엘프,Pretty Poison,female,발라드,-,정진환,전준규,-,해볼만한 게임 같아 가져볼까 그냥 널 애써 무관심한 듯한 그 눈빛도 가소로운 걸 가슴벅찬 순간이 될꺼야 잔인토록 달콤한 입술 주문에 빠진 넌 자존심마저 떨군채 다가와 Come on feel Come on feel 지금 내 눈빛에 두근대봐 너는 계속 사랑이라 착각만하면 돼 내 품 속에 안긴채 웃고 있는건 지금 뿐 그 마음껏 즐겨둬 띄워줄 수록 끝없이 더 어리석은 바보처럼 지금 앞에 오는 너를 알아 그저 스친 손길만으로 미칠 것 같다고 내 앞에 무릎 꿇은채 말해봐 Come on feel Come on feel 지금 내 눈빛에 두근대봐 너는 계속 사랑이라 착각만하면 돼 내 품 속에 안긴채 다른 건 필요치 않아 그저 내가 떠날때 우는 널 보고싶어 Oh Come on feel Come on feel 좀 더 남자답게 다가서봐 혹시 누가 알아 이러다 사랑할런지 Oh no Come on feel Come on feel 모두 다 가진 내 자신을 봐 아직 목이 마를 동안은 머물러줄께 니 품 속에 안긴채
20040621,엘프,슬픈 기적,female,발라드,-,정진환,전준규,-,믿을 수 없는 일이 벌어지려해 니가 아닌 사랑에 눈뜨려고 해 더 많이 아파해도 부족할 내겐 너무도 잔인한 선물일뿐야 기다리겠단건 거짓이냐고 행여 돌아오면 어떡하냐고 무심코 행복한 듯한 표정 본다면 축복할 네가 되려 두려운걸 난 너만 사랑하면 됐는데 또 다른 어떤 것 바란 적 없는데 니가 먼저 버린 거잖아 날 너무 많이 울게 했잖아 오지 말아 다시 사랑할까봐 너보다 더 많이 잘 해줄꺼라 내겐 웃는게 더 예뻐보인대 하지만 너무도 쉽게 지워버리면 사랑한 것도 없던게 될까봐 난 너만 사랑하면 됐는데 또 다른 어떤 것 바란 적 없는데 네가 먼저 버린 거잖아 날 너무 많이 울게 했잖아 오지 말아 다시 사랑할까봐 네가 미워서 너무 아파서 어쩌면 바랬었나봐 너 아닌 다른 사랑은 기적이라 할만큼 기다림조차 감사했었는데 난 너만 와주면 된단말이야 또 버린다 해도 사랑할 날 알아 그냥 혼자 울고 있을께 날 다 지운듯 웃어 넘기는 나를 보며 다시 떠나갈까봐
20040621,엘프,찬바람이 불면,female,발라드,-,김성호,전준규,-,찬바람이 불면 내가 떠난 줄 아세요 스쳐가는 바람뒤로 그리움만 남긴 채 낙엽이 지면 내가 떠난 줄 아세요 떨어지는 낙엽위에 추억만이 남아있겠죠 한때는 내 어린 마음 흔들어주던 그대의 따뜻한 눈빛이 그렇게도 차가웁게 변해버린건 계절이 바뀌는 탓일까요 찬바람이 불면 그댄 그리워 지겠죠 그렇지만 이젠 다시 나를 생각하지 말아요 한때는 내 어린 마음 흔들어주던 그대의 따뜻한 눈빛이 그렇게도 차가웁게 변해버린건 계절이 바뀌는 탓일까요 찬바람이 불면 그댄 외로워지겠죠 그렇지만 이젠 다시 나를 생각하지 말아요 그렇지만 이젠 다시  나를 생각하지 말아요
20040621,엘프,Pretty Poison  (Inst.),female,발라드,-,-,-,-,-
20040621,엘프,슬픈 기적  (Inst.),female,발라드,-,-,-,-,-
20040621,엘프,백마탄 왕자,female,발라드,-,정진환,전준규,-,눈처럼 새하얀 말은 두고 왔나요  나보다 더 크던 칼은 어디 감췄죠  마치 별처럼 빛나는 눈 제발요 날 봐요  더운 여름 날 샤워처럼 불쑥 나타난 이 사람  어디서 뭐했었나요 용케도 꼭꼭 숨었었네요  여린 맘 놀래키려 이제서야 온 거죠  자꾸만 궁금해져요 날 사랑하게 만들 거에요  그대가 그대 맞죠 꿈에서 본 나의 왕자님  성에서 날 구해준 걸 잊으셨나요  그때 다친 팔은 이젠 괜찮은가요  어떤 말부터 건네볼까 고민만하다가  눈이라도 마주칠 때면 숨어버리는 이 바보  어디서 뭐했었나요 용케도 꼭꼭 숨었었네요  여린 맘 놀래키려 이제서야 온 거죠  자꾸만 궁금해져요 날 사랑하게 만들거예요  그대가 그대 맞죠 꿈에서 본 나의 왕자님  평생 날 지킨댔잖아요  더 무릎 꿇고서 가만히 내가 다가와  마법을 풀던 입맞춤  그대가 먼저 말 걸어줘요  (꿈에서처럼 용감하게요)  이대로 두면 다시 잠들지도 몰라요  항상 내 곁에 있어줄래요  (내게 한 말씀 지켜내야죠)  그대가 확실해요 나를 깨운 멋진 왕자님 -
20040621,엘프,Pretty Poison,female,발라드,-,정진환,전준규,-,해볼만한 게임 같아 가져볼까 그냥 널 애써 무관심한 듯한 그 눈빛도 가소로운 걸 가슴벅찬 순간이 될꺼야 잔인토록 달콤한 입술 주문에 빠진 넌 자존심마저 떨군채 다가와 Come on feel Come on feel 지금 내 눈빛에 두근대봐 너는 계속 사랑이라 착각만하면 돼 내 품 속에 안긴채 웃고 있는건 지금 뿐 그 마음껏 즐겨둬 띄워줄 수록 끝없이 더 어리석은 바보처럼 지금 앞에 오는 너를 알아 그저 스친 손길만으로 미칠 것 같다고 내 앞에 무릎 꿇은채 말해봐 Come on feel Come on feel 지금 내 눈빛에 두근대봐 너는 계속 사랑이라 착각만하면 돼 내 품 속에 안긴채 다른 건 필요치 않아 그저 내가 떠날때 우는 널 보고싶어 Oh Come on feel Come on feel 좀 더 남자답게 다가서봐 혹시 누가 알아 이러다 사랑할런지 Oh no Come on feel Come on feel 모두 다 가진 내 자신을 봐 아직 목이 마를 동안은 머물러줄께 니 품 속에 안긴채
20040621,엘프,슬픈 기적,female,발라드,-,정진환,전준규,-,믿을 수 없는 일이 벌어지려해 니가 아닌 사랑에 눈뜨려고 해 더 많이 아파해도 부족할 내겐 너무도 잔인한 선물일뿐야 기다리겠단건 거짓이냐고 행여 돌아오면 어떡하냐고 무심코 행복한 듯한 표정 본다면 축복할 네가 되려 두려운걸 난 너만 사랑하면 됐는데 또 다른 어떤 것 바란 적 없는데 니가 먼저 버린 거잖아 날 너무 많이 울게 했잖아 오지 말아 다시 사랑할까봐 너보다 더 많이 잘 해줄꺼라 내겐 웃는게 더 예뻐보인대 하지만 너무도 쉽게 지워버리면 사랑한 것도 없던게 될까봐 난 너만 사랑하면 됐는데 또 다른 어떤 것 바란 적 없는데 네가 먼저 버린 거잖아 날 너무 많이 울게 했잖아 오지 말아 다시 사랑할까봐 네가 미워서 너무 아파서 어쩌면 바랬었나봐 너 아닌 다른 사랑은 기적이라 할만큼 기다림조차 감사했었는데 난 너만 와주면 된단말이야 또 버린다 해도 사랑할 날 알아 그냥 혼자 울고 있을께 날 다 지운듯 웃어 넘기는 나를 보며 다시 떠나갈까봐
20040621,엘프,찬바람이 불면,female,발라드,-,김성호,전준규,-,찬바람이 불면 내가 떠난 줄 아세요 스쳐가는 바람뒤로 그리움만 남긴 채 낙엽이 지면 내가 떠난 줄 아세요 떨어지는 낙엽위에 추억만이 남아있겠죠 한때는 내 어린 마음 흔들어주던 그대의 따뜻한 눈빛이 그렇게도 차가웁게 변해버린건 계절이 바뀌는 탓일까요 찬바람이 불면 그댄 그리워 지겠죠 그렇지만 이젠 다시 나를 생각하지 말아요 한때는 내 어린 마음 흔들어주던 그대의 따뜻한 눈빛이 그렇게도 차가웁게 변해버린건 계절이 바뀌는 탓일까요 찬바람이 불면 그댄 외로워지겠죠 그렇지만 이젠 다시 나를 생각하지 말아요 그렇지만 이젠 다시  나를 생각하지 말아요
