년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20090317,제이워크,사랑한다 외쳐요 (Feat. 미료 From 브라운 아이드 걸스),male,댄스,-,김기범,김기범,주식회사 엘리야엔터테인먼트,큰소리로 불러요 사랑한다 외쳐요 하루 하루 모든게 변한데도 그래요 그대없인 안되요 그대 하날위해 사는 나 천번 만번 수없이 그대만을 불러요 조금은 어색해도 이젠 내맘 말해요 조금은 늦었지만 솔직하게 말해요 가슴으로 내 입술로 이젠 용기내어 나의 사랑 말해요 그대가 들리도록 큰소리로 말해요 그대의 심장까지 떨리도록 말해요 기쁨도 슬픔도 이젠 모두 함께 할래요 큰소리로 불러요 사랑한다 외쳐요 하루 하루 모든게 변한데도 그래요 그대없인 안되요 그대 하날위해 사는 나 천번 만번 수없이 그대만을 불러요 언제나 앞에 서서 그댈 지켜 줄게요 언제나 햇살처럼 그댈 비춰 줄게요 조심스레 더 다가가 이제 나의 맘을 모두 보여줄게요 그대가 손내밀면 따스함을 줄게요 그대가 힘이들면 내 어깨를 줄게요 하루도 일년도 변함없이 사랑 할게요 큰소리로 불러요 사랑한다 외쳐요 하루 하루 모든게 변한데도 그래요 그대없인 안되요 그대 하날위해 사는 나 천번 만번 수없이 그대만을 불러요 첫번째 설레임 그대를 보았고 두번째 미소에 그대를 알았고 난 사랑에 빠졌죠 이젠 나 세번째 만남에 내마음 말해요 네번째 바램은 나와 함께 하길 바라는 나죠 영원히 함께하길 바래 오직 나뿐이라 말해 지나간 상처들은 뒤로하고 너에게 갈래 my love my heart my dear my boy 아무런 의심없이 그대에게 갈래 사랑해 영원히 함께해 you'r my boy 용서해줘 YOU and ME 변하지 않겠다고 널 한번 믿어볼게 불안한 미래는 바로 너라면 걸어볼래 내 사랑을 불러요 큰 소리로 불러요 사랑한다 외쳐요 하루 하루 모든게 변한데도 그래요 그대없인 안되요 그대 하날 위해 사는 날 천번 만번 수없이 그대만을 불러요
20090317,제이워크,가슴속,male,발라드,-,곽찬수,강우현,주식회사 엘리야엔터테인먼트,지나쳐버린 아픈 기억 다 잊고싶어 그냥 이렇게 널 내안에 묻어두며 살께 점점 내게서 멀어지던 네 뒷모습도 이젠 두번 다시 너를 사랑할수 없다고 하잖아 가슴속 그대의 모든 기억 잊은 듯 살아가줘 그녈 잊으라고 다그쳐도 오늘도 널 부르는 가슴아 이렇게도 너를 기억하고 이렇게도 너만을 불러도 내맘 다시 눈물이 흘러 그대여 다시 돌아와 이렇게라도 너의 기억 다 잊고싶어 이젠 편하게 널 잊은채 살아 가고싶어 나를 언제나 지켜주던 네 뒷모습도 이젠 두번다시 너를 사랑할수 없다고 하잖아 가슴속 그대의 모든 기억 잊은듯 살아가줘 그녈 잊으라고 다그쳐도 오늘도 널 부르는 가슴아 이렇게도 너를 기억하고 이렇게도 너만을 불러도 내맘 다시 눈물이 흘러 그대여 다시 돌아와 다른 사랑해도 괜찮아 상처만 내게 남을뿐 나를 떠나도 돼 나를 떠나도 돼 괜찮아 가슴속 그대의 모든 기억 잊은 듯 살아가줘 그녈 잊으라고 다그쳐도 오늘도 널 부르는 가슴아 이렇게도 너를 기억하고 이렇게도 너만을 불러도 내 맘 다시 눈물이 흘러 그대여 다시 돌아와
20090226,제이워크,외사랑,male,발라드,-,서정진,김세진,주식회사 엘리야엔터테인먼트,왜 하필 나니 내가 또 아파야하니 내게 무슨 죄가 있니 한 사람만 사랑한게 잘못인거니 원래 그러니 여자들은 다 그러니 모든걸 다 바쳤는데 어떻게 날 버릴 수가 있니 너를 너무 사랑했나봐 너만 너무 바라봤나봐 그래서 시간이 가고 또 흘러도 잊지 못하나봐 잊을 수 없나봐 생각이 난데 자꾸 니 생각이 난데 괜찮을 줄 알았는데 내 맘은 자꾸만 아프데 너를 너무 사랑했나봐 너만 너무 바라봤나봐 그래서 시간이 가고 또 흘러도 잊지 못하나봐 잊을 수 없나봐 다 그렇지 사랑하면 원래 다 아픈거지 사랑에 울고 또 울어도 널 사랑해 사랑했던만큼 아프고 지우려한만큼 그리워 다신 널 사랑하지 않을거라고 니 모습 지워도 결국 널 찾게 되나봐 너를 너무 사랑했나봐 너만 너무 바라봤나봐 그래서 시간이 가고 또 흘러도 잊지 못하나봐 잊을 수 없나봐 사랑해 사랑해
20080807,제이워크,My Love (Feat. 은지원),male,댄스,-,서정진,서정진,주식회사 엘리야엔터테인먼트,문득 그리워 지면 또 생각이 나면 나 그럴땐 어떡하죠 미웠던 기억들만 나빴던 추억만 다시 꺼내야만 하겠죠 지울께 잊을께 버릴께 그 모든 시간 My love 내가 사랑한 한사람 My love 너무 그리운 한사람 My love 절대 못잊을 한사람 My love 행복해줘 나를 잊어줘 제발 그래 제발 제발 니가 좋아했었던 늘 즐겨부르던 너무 익숙했던 멜로디 멍하니 난 걷다가 귓가에 들리면 아직도 난 눈물이 흘러 지울께 잊을께 버릴께 그 모든 시간 My love 내가 사랑한 한사람 My love 너무 그리운 한사람 My love 절대 못잊을 한사람 My love 행복해줘 나를 잊어줘 사랑하고 또 이별하고 눈물 흘려도 My love bye love 제발 나를 잊지는마 아직도 난 모르겠어 왜그리 날 모질게도 떠났는지 뭐가 그리 아프고도 힘들었는지 이젠 그만 놔줄께 내 마음에서 너를 지워줄께 다시 행복해 나도 힘내볼께 그런데 이렇게 나는 어떻게 나만 사랑해 주던 너잖아 나만 바라봐 주던 너잖아 나를 위해 울어준 너잖아 My love 행복해줘 나를 잊어줘 제발 행복해줘 제발 제발 My love 행복해줘 나를 잊어줘 My love 내가 사랑한 한사람 My love 너무 그리운 한사람 My love 절대 못잊을 한사람 My love 행복해줘 나를 잊어줘 My love my love please don't forget me
20080805,제이워크,안타까워,male,발라드,-,강은경,한상원,주식회사 엘리야엔터테인먼트,넌 참 햇살처럼 눈이 부셔 날 더 가까이 다가갈 수 없게 해 몰래 손틈새로 보다가 바보같이 또 머뭇머뭇 대 두 눈이 닳아져라 너만 바라보고 가슴이 부서져라 널 안고 목이 쉴 새라 부르고 싶어 부를 수 없는 그 이름이 가슴 아프게 해 너에게로 한걸음도 가지 못해 안타까워 암만 너를 향해 걷고 또 걸어 봐도 너의 마음에 닿는 길은 하루하루 멀기만 해 사랑해 한마디도 하지 못해 안타까워 가슴속에 삼켜 묻고 또 묻어 봐도 한숨에 흩어지는 내 사랑 어떻게야 너에게도 보이겠니 옷깃 스칠만큼 곁에 있다 해도 너와 난 너무 멀리 있나봐 우리 마음과 마음 사이에 건널 수 없는 그 바다가 가슴 아리게 해 너에게로 한걸음도 가지 못해 안타까워 암만 너를 향해 걷고 또 걸어 봐도 너의 마음에 닿는 길은 하루하루 멀기만 해 사랑해 한마디도 하지 못해 안타까워 가슴속에 삼켜 묻고 또 묻어 봐도 한숨에 흩어지는 내 사랑 어떻게야 너에게도 보이겠니 한번 더 수줍게 고백하고 널 향한 마음도 드러내고 사랑해 널 원해 수십 번 말해보고 싶어 수백 번 불러보고 싶어 수천 번 안아보고 싶어 이렇게 애원하고 애원해도 대답이 없는 너 보고파도 볼 수 없어 눈물겨워 애써 돌아서서 잊고 또 잊어 봐도 기억이 다시 널 데려와 자꾸자꾸 그립게 해 모든 걸 주고파도 줄 수 없어 눈물겨워 애써 니 앞에서 웃고 또 웃어봐도 눈물이 배어나는 내 마음 넌 영원히 모를까봐 그럴까봐 안타까워
20080702,제이워크,여우비,male,발라드,-,황성진,김도훈 (RBW),주식회사 엘리야엔터테인먼트,사랑이 다시 올까요 또 설레이게 될까요 그대란 미운 사람이 내 가슴 가득 있는데 나 어떡하면 좋아요 못난 가슴 안고 살아서 그대밖에 모르고 살아갑니다 이제는 그대의 사랑도 눈물도 향기 되어 입가에 맴도는 나의 노래 되어 오늘도 내일도 언제까지 더 큰 소리로 부릅니다 찬란히 빛나는 그대는 나만의 꿈이 되어 내 맘 깊은 곳에 진한 추억으로 살아갑니다 아련한 사랑만 난 안고 삽니다 자꾸만 두려워져요 우연히 그댈 만나면 사실은 내 맘 아픈데 반가운 인사 할까 봐 웃다가 울다 그래요 그댈 보지 못한 내 모습 바보처럼 날 잊고 살아갑니다 이제는 그대의 사랑도 눈물도 향기 되어 입가에 맴도는 나의 노래 되어 오늘도 내일도 언제까지 더 큰 소리로 부릅니다 찬란히 빛나는 그대는 나만의 꿈이 되어 내 맘 깊은 곳에 진한 추억으로 살아갑니다 아련한 사랑만 난 안고 삽니다 그래도 그대가 같은 하늘 아래서 살고 있어 난 행복해요 그대와 함께한 기억도 웃음도 구름 되어 창가에 흐르는 여우비가 되어 어제도 오늘도 매일 같이 나의 곁에서 맴돕니다 말없이 바라본 하늘엔 그대가 선명하게 나를 바라보며 또 웃고 있는데 그립습니다 애틋한 그리움 나 안고 삽니다 그립습니다 애틋한 그리움 나 안고 삽니다
20080617,제이워크,My Love (Feat. 은지원),male,댄스,-,서정진,서정진,주식회사 엘리야엔터테인먼트,문득 그리워 지면 또 생각이 나면 나 그럴땐 어떡하죠 미웠던 기억들만 나빴던 추억만 다시 꺼내야만 하겠죠 지울께 잊을께 버릴께 그 모든 시간 My love 내가 사랑한 한사람 My love 너무 그리운 한사람 My love 절대 못잊을 한사람 My love 행복해줘 나를 잊어줘 제발 그래 제발 제발 니가 좋아했었던 늘 즐겨부르던 너무 익숙했던 멜로디 멍하니 난 걷다가 귓가에 들리면 아직도 난 눈물이 흘러 지울께 잊을께 버릴께 그 모든 시간 My love 내가 사랑한 한사람 My love 너무 그리운 한사람 My love 절대 못잊을 한사람 My love 행복해줘 나를 잊어줘 사랑하고 또 이별하고 눈물 흘려도 My love my love 제발 나를 잊지는마 아직도 난 모르겠어 왜그리 날 모질게도 떠났는지 뭐가 그리 아프고도 힘들었는지 이젠 그만 놔줄께 내 마음에서 너를 지워줄께 다시 행복해 나도 힘내볼께 그런데 이렇게 나는 어떻게 나만 사랑해 주던 너잖아 나만 바라봐 주던 너잖아 나를 위해 울어준 너잖아 My love 행복해줘 나를 잊어줘 제발 행복해줘 제발 제발 My love 행복해줘 나를 잊어줘 My love 내가 사랑한 한사람 My love 너무 그리운 한사람 My love 절대 못잊을 한사람 My love 행복해줘 나를 잊어줘 My love my love please don't forget me
20080617,제이워크,참 좋겠어요,male,발라드,-,황성진,민영기,주식회사 엘리야엔터테인먼트,처음 손잡을때 너무 쑥스러워 나의 손가락만 잡던 그대 아직도 그손을 반지자국이 또 선명하게 남아있죠 아직도 그래요 사랑을 말할땐 두눈을 감고서 말하나요 그러면 안되요 아직 난 그모습 사랑하고 있는걸요 참 좋겠어요 또 웃잖아요 그대의 미소에 한 사람은 울죠 괜찮아요 내가 사는동안 그대 함께 했었잖아 다 잊겠어요 그래볼께요 이제는 나도 그대처럼 누군가의 가슴이 안아프게 모두 숨기며 살께요 둘이 걸을때면 발을 맞춰가며 작은 소리내어 노래 불러 조그만 입술이 너무 예뻐보여 입맞춤을 하곤 했죠 참 좋겠어요 또 웃잖아요 그대의 미소에 한 사람은 울죠 괜찮아요 내가 사는동안 그대 함께 했었잖아 다 잊겠어요 그래볼께요 이제는 나도 그대처럼 누군가의 가슴이 안아프게 모두 숨기며 살께요 다시 사랑안해 매일 다짐해도 그대 사진들을 보며 처음 만난 그때처럼 다시 내게 올꺼같아 잘될꺼예요 행복하세요 그대의 사랑을 나는 날이었죠 괜찮아요 그대 한순간을 내 가슴에 살았잖아 다 잊겠어요 그래볼께요 이제는 나도 그대처럼 누군가의 가슴이 안아프게 모두 숨기며 살께요
20080617,제이워크,아마도,male,발라드,-,서정진,서정진,주식회사 엘리야엔터테인먼트,아마도 널 사랑했었나봐 아마도 너무 행복했나봐 두려워 널 잊지 못할까봐 다시는 너같은 사람 없을까봐 우리 너무 좋았잖아 정말 세상 모두가 우릴 부러워했을만큼 조금 더 아팠던 나는 괜찮아 널 사랑했던 만큼 울어도 괜찮아 시간도 내 맘을 달래줄순 없어 너란 사람 잊을수 없을꺼 같아 그대만 나 오직 그대만 기다릴께 두려워 너 아닌 그 누구도 다시는 사랑 할수가 없을까봐 우리 너무 좋았잖아 정말 세상 모두가 우릴 부러워했을만큼 조금 더 아팠던 나는 괜찮아 널 사랑했던 만큼 울어도 괜찮아 시간도 내 맘을 달래줄 순 없어 너란 사람 잊을수 없을꺼 같아 그대만 나 오직 그대만 기다릴께 정말 너무 사랑했나봐 너만 너무 바라봤나봐 그래서 나 잊을 수가 없나봐 조금 더 아팠던 나는 괜찮아 널 사랑했던 만큼 울어도 괜찮아 시간도 내 맘을 달래줄 순 없어 너의 얼굴 자꾸만 그리워져서 이대로 나 그냥 이대로 살아갈께 널 잊지 못한 채 살아갈께
20080617,제이워크,일년째 프로포즈,male,발라드,-,오성훈,강우현,주식회사 엘리야엔터테인먼트,항상 나의 첫인상이 별로라고 우린 친구라고 자꾸 선을 그어 고백 할 날도 틈도 주지 않아 내 마음을 몰라주는 미운 내사람 걷다가 손 잡아 볼까 갑자기 키스 해볼까 날 안아 주고 싶게 아픈척을 해볼까 분명히 너도 조금을 날 좋아해 날 걱정하는게 날 바라보는게 네 눈빛속에 말을 알고 있어 차가운 너의 말투가 내 귀엔 달콤하니깐 언제든지 내게 말해 나를 기다렸다고 네게 고백할께 널 사랑한다고 언젠가 내 맘 알때까지 내게 감동 할 때까지 네게 약속할께 널 아프지않게 가슴이 아픈 이별을 이젠 더는 없다고 영원히 내가 널 지켜줄께 매일 아침이면 난 전화해서 너의 목소리에 하루를 시작하고 생각만 해도 절로 웃음이 나 날 바보로 만드는 미운 내사람 영원히 변하지 않는 너는 내 마음에 다이아몬드 내 순정을 다 받쳐서 사랑할께 너만을 그대는 내가 아는 좋은 말을 다 모아도 그대는 내가 사귄 여자들을 다 합쳐도 한참 부족해 가슴안에서 그리고 눈속에서 하루종일 내 소원의 언제든지 내게 말해 나를 기다렸다고 네게 고백할께 널 사랑한다고 언젠가 내 맘 알때까지 내게 감동 할 때까지 네게 약속할께 널 아프지않게 가슴이 아픈 이별을 이젠 더는 없다고 영원히 내가 널 지켜줄께 왜 너를 사랑하는지 왜 너를 기억하는지 나도 모를 사랑이 너인데 너인데 왜 너를 사랑하는지 왜 너를 기억하는지 바라봐줘 바라봐줘 날 매일 고백할께 널 사랑한다고 언젠가 내 맘 알때까지 내게 감동 할 때까지 매일 말해줄께 난 너뿐이라고 세상이 모두 변해도 곁에 있을꺼라고 영원히 내가 널 지켜줄께
