년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101115,트랙스,Tell Me Your Love,male,국내드라마,-,기승주,조용훈,(주)SM엔터테인먼트,눈부시던 그때 tell me your love 그대가 없는 나는 혼자인 걸 fall in your love 멀어진 기억속에 흩어진 널 I love u love u love u 내 손을 놓지는마 Oh I love u love u Always tell me your love 눈 감으면 그때의 바람 그때 향기가 날 감싸안아 떨리던 순간 꿈처럼 아련한 기억속으로 이끌려 아나요 꿈만 같은걸 너와 함께한 그 시간에 공기까지도 달콤하다는걸 눈부시던 그때 tell me your love 그대가 없는 나는 혼자인 걸 fall in your love 멀어진 기억속에 흩어진 널 I love u love u love u 내 손을 놓지는마 Oh I love u love u Always tell me your love 언젠가는 지금의 우릴 잊고 살아갈 수도 있겠지 하지만 지난 시간의 무게보다 너를 사랑할꺼야 내 눈에 니가 번져서 어떤 것도 볼 수 없음을 오직 너만이 내 맘속에 있어 눈부시던 그때 tell me your love 그대가 없는 나는 혼자인 걸 fall in your love 멀어진 기억속에 흩어진 널 I love u love u love u 내 손을 놓지는마 Oh I love u love u Always tell me your love 그대도 이런 맘이겠죠 들려요 하루종일 그대음성 나른한 향기같은 시간은 나와 같겠죠 눈부시던 그때 tell me your love 그대가 없는 나는 무의미한걸 fall in your love 담겨진 추억속에 유일한 널 I love u love u love u 내 손을 놓지는마 Oh I love u love u Always tell me your love oh I love u love u always tell me your love
20100906,트랙스,오! 나의 여신님 (Oh! My Goddess),male,록/메탈,-,제이 (Jay Hong),Jaakko Manninen,(주)SM엔터테인먼트,so ONE 하던 TWO my girl THREE 눈이 부신 로렐라이 oh hey lady FOUR my love FIVE 5분만 만나줄래 지겨웠던 이별 상처 눈물 모두 Stop 너 원한다면 어디든지 I will go Uh 널 바래 널 원해 나 Wanna Wanna 원해 널 눈이 눈이 너만 바라보게 하는 Girl 내 맘이 맘이 너를 가득 채워버린 걸 받아줘 내 맘 애타게 널 Waiting Baby 눈이 눈이 너만 바라보고 있는 Boy 내 맘이 맘이 그녀 마음 뺏어버린 Boy Oh 제발 난 더 지치는 건 No More Baby 오 나의 여신 I keep waiting I keep calling 왜 말이 말이 없는 걸까 모든 걸 다 준대도 부족한 Girl 기다리던 너의 전화 대답 모두 Stop 날 두근두근 애태우던 심장마저 Stop 시계도 시간도 널 조마조마 기다려 내 눈이 눈이 너만 바라보게 하는 Girl 내 맘이 맘이 너를 가득 채워버린 걸 받아줘 내 맘 애타게 널 Waiting Baby 눈이 눈이 너만 바라보고 있는 Boy 내 맘이 맘이 그녀 마음 뺏어버린 Boy Oh 제발 난 더 지치는 건 No More Baby 오 나의 여신 워우워우워 와 내게로 워우워우워 Oh Baby Girl Baby Baby 내 맘 모두 알아버린 Girl I love you love you 내 맘 모두 가져버린 걸 내 품에 널 꼭 영원히 안을게 Oh Baby Baby 세상모두 가진 너의 Boy 나 너를 너를 영원토록 지켜주는 Boy Only One 너만 바라볼게 Love You Venus 오 나의 여신
20100906,트랙스,Let`s Play,male,록/메탈,-,임서현,정모 (JUNGMO),(주)SM엔터테인먼트,또 누구였는지 전활 왜 꺼둔 건지 묻는 것도 지겨워 손가락 다 세도 모자란 남자들 그 중에 난 사양할게 You are so crazy You make me crazy 아직도 넌 나를 몰라 너의 그 손길과 입술에 나 역시 흥미 잃은 지 오랜 걸 Bye Bye 이제 모두 다 가져가 너에게 취해서 비틀댄 시간들까지도 Bye 남은 사랑 따윈 없어 우연도 피해 줘 꿈에도 보이지마 Get away 저 문을 열고서 들어 올 순간부터 늘어 놓을 거짓말 그들에게 줬던 그 눈빛으로 날 보는 것도 소름 돋아 You are so crazy You make me crazy 네 멋대로 하고 살아 달콤한 숨결로 손짓 해 네 앞에 무릎 꿇린 남자들과 Bye Bye 이제 모두 다 가져가 너에게 취해서 비틀댄 시간들까지도 Bye 남은 사랑 따윈 없어 우연도 피해 줘 꿈에도 보이지마 Get away 그래도 한 순간 사랑한 너라서 어떻게든 기다릴까도 했지만 못 고쳐 안 고쳐 난 지쳐 he end I wanna go away Bye Bye 이제 모두 다 가져가 너에게 취해서 비틀댄 시간들까지도 Bye 남은 사랑 따윈 없어 우연도 피해 줘 꿈에도 보이지마 Get away Bye Bye 이제 모두 다 끝났어 나 같은 남자를 놓치고 눈물이 나도록 넌 후회하게 될테니까 이제 난 너 없는 자유를 누릴게 Let's play
20100906,트랙스,자기야 (Jagiyah),male,록/메탈,-,조윤경,MARK STEIN,(주)SM엔터테인먼트,마지막 널 만나는 기회 웃으며 넌 내게 말하네 Good Bye 멀어져가 Some Memories 함께 원하던 The Memories 사랑에 빠졌던 그 때 모두 꿈처럼 너무 멀게만 와버린 걸까 너무 빠르게 다 간 걸까 이제 다신 다신 못 부를 자기야 자기야 마지막 널 만나는 곳에 전화 걸어 너를 부르네 내게 돌아와줘 너무 아름다운 널 멈추게 하고 싶어 아직 나의 남은 사랑 Without You 너무 멀게만 와버린 걸까 너무 빠르게 다 간 걸까 이제 다신 다신 못 부를 자기야 자기야 네 안에 날 잊지마 Oh No Oh No Oh No No 먼 날에도 기억해 나를 잊지 마 너무 멀게만 와버린 걸까 너무 빠르게 다 간 걸까 이제 다신 다신 못 부를 자기야 자기야
20100906,트랙스,Rush,male,록/메탈,-,Jos Jorgensen,Jos Jorgensen,(주)SM엔터테인먼트,Du Ru Ru Ru Ru Du Ru Ru Ru Ru Du Ru Ru Ru Du Ru Ru Du Ru Ru Ru At Night 널 바래다 주던 길을 이제는 널 잊으려고 달려 가 비운다 내 옆 빈 자리처럼 내 안의 네 자리도 머리카락 사이마다 찬 바람이 스쳐갈 때 머릿속 너의 기억도 날려 버린다 I never be with you 너를 보낸다 이 길이 끝날 때쯤 너는 없어 아쉬울 것도 미련도 없다 볼륨을 높이고 이 어둠을 Rush Du Ru Ru Ru Ru Du Ru Ru Ru Ru Du Ru Ru Ru Du Ru Ru Du Ru Ru Ru At Night 저 시린 달빛이 울고 화려한 불빛마저 글썽이면 잊는다 움켜 쥐어도 새는 모래알 같은 사랑 Baby 차 창 너머 손 내밀면 찬 어둠이 내려 앉아 어둠에 너의 기억을 묻어 버린다 I never be with you 너를 보낸다 이 길이 끝날 때쯤 너는 없어 아쉬울 것도 미련도 없다 볼륨을 높이고 이 어둠을 Rush Oh 네가 쉬웠다면 나 역시 그래 고작 이별쯤에 아프지 않아 세상이 잠 깨기 전에 널 잊는다 I never be with you 너를 보낸다 이 길이 끝날 때쯤 너는 없어 아쉬울 것도 미련도 없다 볼륨을 높이고 이 어둠을 Rush Du Ru Ru Ru Ru Du Ru Ru Ru Ru Du Ru Ru Ru Du Ru Ru Du Ru Ru Ru Du Ru Ru Ru Ru Du Ru Ru Ru Ru Du Ru Ru Ru Du Ru Ru Du Ru Ru Ru
20100906,트랙스,없는 사람 (Everlasting Story),male,"발라드, 록/메탈",-,윤사라,정모 (JUNGMO),(주)SM엔터테인먼트,다들 위로하지 시간이 고쳐준다고 잊지 않으려고 해도 결국엔 다 잊혀진다고 얼마나 좋았는데 그대 날 어떻게 보내 지우고 싶은 것은 이별한 순간뿐인데 세상에 그대 없다고 그렇게 여길 순 있지만 그대 없는 사람 이라기엔 내 안에 너무 있잖아 그댈 비워내면 나도 남아 날 수 없어 이게 사랑이었나 봐 떼어지지 않는 두 사람 그렇게 아프게 하고 거친 말 쏟아 부으며 우리가 했던 일은 모두 사랑이었는데 세상에 그대 없다고 그렇게 여길 순 있지만 그대 없는 사람 이라기엔 내 안에 너무 있잖아 눈물 흐르고 또 흘러서 우릴 갈라놓으려 하지만 오히려 더 선명해져 와 눈부신 기억들만 더 아파할수록 보여 사랑이 그대가 있어야만 해 내 이름 불러줘야만 해 그대 날 잊고 산다면 나는 살아도 죽은 거니까 우리는 헤어져서는 안돼
20100906,트랙스,태양의 노래 (Running My Way),male,록/메탈,-,제이 (Jay Hong),정모 (JUNGMO),(주)SM엔터테인먼트,Break my day 손을 뻗어도 하늘은 멀고 태양은 저물어가 사랑 앞에 또 무릎 꿇고 난 한없이 무너져 가 무엇을 꿈꾸는지 누굴 위한 꿈인지 알 수 없지만 Running Running my way 한숨뿐인 세상에 울려 퍼지는 멜로디 붉은 태양이 떠오르는 곳 부서진 우리들의 꿈의 조각들이 단 하나의 빛이 되어 긴 어둠을 비춰주네 Just let it go 해답하나 없는 이 삶 속에 헛된 한 번의 나약한 꿈일지라도 외쳐본다 뜨거운 가슴의 울림을 참 높아 내 안의 벽 너무 많아 앞길의 적 이 세상의 정상에서 더 큰 한방을 날려 Bang 반복된 시련에 부딪힌대도 쓰러지진 않아 붉은 태양이 떠오르는 곳 부서진 우리들의 꿈의 조각들이 단 하나의 빛이 되어 긴 어둠을 비춰주네 Just let it go 해답하나 없는 이 삶 속에 헛된 한 번의 나약한 꿈일지라도 외쳐본다 뜨거운 가슴의 울림을 현실과 이상의 경계선에 멈춰서 버린 채로 눈을 감아봐도 Nobody knows just let it flow 저 하늘위로 홀로 걷는 이 길 끝에서 나 헛된 한번의 나약한 꿈일지라도 외쳐본다 뜨거운 가슴의 울림을
20100125,트랙스,가슴이 차가운 남자 (Let You Go),male,"발라드, 록/메탈",-,제이 (Jay Hong),정모 (JUNGMO),(주)SM엔터테인먼트,하얗게 흐려진 그림 속 추억의 책장 속 우린 그저 스쳐간 안녕 돌아와 끝내 말 못하고 시간 틈새로 흘러 점점 멀어진 기억 몇번의 계절 지나 마주한 두 눈동자 아무말도 못하고 가슴이 차가운 남자가 울어요 이별에 모질던 그녀도 우네요 바래진 추억 유리조각에 베인 상처 흔적만 남아 초라하네요 파랗게 질려버린 하늘 굳어버린 입술 울컥 그립다 널 외치고 미련의 엉킨 인연의 끈 차마 풀지 못하고 다시 묻어두네요 먹먹한 가슴이 참지 못하고 달려 멀어진 니 등뒤로 가슴이 차가운 남자가 울어요 이별에 모질던 그녀도 우네요 바래진 추억 유리조각에 베인 상처 흔적만 남아 머물러 있는걸 the stay stay again the stay stay again 가슴이 차가운 남자가 울어요 이별에 모질던 그녀도 우네요 바래진 추억 유리조각에 끊긴 눈물속에 시간을 다시 묶어둘게 to tied 모르죠 이별한 남자의 눈물 못견디게 널 맴돌던 지친 한숨도 지독한 그리움 목 조르던 엉킨 우리 둘의 추억을 슬픈 하늘에 보내둘게
20100125,트랙스,One Night,male,록/메탈,-,"CAYTON, CHRIS","CAYTON, CHRIS",(주)SM엔터테인먼트,점점 자주 너와 시선이 마주쳐 야릇하게 묘한 웃음을 넌 흘려  두근대는 너의 가슴이 날 알아 봐 더 숨겨 봐야 소용없잖아    흔들리는 불빛 아래 moving 시끄러운 음악 속에 waiting 날 바라보고 있다는 걸 알아  너의 곁에 그 사람 몰래 눈치 채지 못 하게 몰래 넌 조심스레 내 맘을 훔쳐    조금은 비밀스럽게 오늘은 비밀스럽게 내 품에 안겨  이 밤은 너를 버리고 이 밤은 모두 잊고서 사랑에 빠져  마음이 가는 대로 해 봐     그의 손을 뿌리치고 나와 봐 너를 가둔 자릴 박차고 나와  그때부터 은밀한 게임이 시작돼 넌 이미 벗어날 수 없잖아    그에게 안겨도 지루한 듯 그의 농담에도 지루한 듯 네 마음이 그를 떠난 게 보여  내겐 좀 더 솔직히 show me 이젠 좀 더 다가와 tell me 널 사로잡은 날 원한다고    조금은 비밀스럽게 오늘은 비밀스럽게 내 품에 안겨  이 밤은 너를 버리고 이 밤은 모두 잊고서 사랑에 빠져  마음이 가는 대로 해 봐     꿈을 꾼 것처럼 거짓말처럼 기억마저 내일은 지워져 One night    조금은 비밀스럽게 오늘은 비밀스럽게 내 품에 안겨  이 밤은 너를 버리고 이 밤은 모두 잊고서 사랑에 빠져  마음이 가는 대로 해 봐     조금은 비밀스럽게 오늘은 비밀스럽게 내 품에 안겨  이 밤은 너를 버리고 이 밤은 모두 잊고서 사랑에 빠져  마음이 가는 대로 해 봐   Tonight It's only you and I
20100125,트랙스,송인 (Goodbye Lover),male,록/메탈,-,신민철,신민철,(주)SM엔터테인먼트,나빠요 어떻게 나를 두고 가나요  슬프고 슬프다 눈물이 마르고    나 혼자 남겨지기 싫어서 그대를 따라 나선다면  뭐라고 할까요    시간은 지나고 아물때도 되었건만  아프고 아프다 상처가 덧나고  맴돌듯 그대 떠난 자리에 남겨진 초라한 내 삶에  흔적들 마저도    남김없이 가져가세요  이제 떠나 가세요  가라고 애원을 해도 내안에서 왜 웃고 있나요  왜 이렇게 괴롭히나요  나를 잘 알잖아요  그대가 곁에 없는 난 바보란걸    하늘 위 그대도 날 지우길 바래요  지우고 지워도 번지는 기억에   이제는 견딜수가 없어서  날 보며 웃는 그 못습이 마지막이라고    남깁없이 가져가세요  이제 떠나 가세요  가라고 애원을 해도 내안에서 왜 웃고 있나요  왜 이렇게 괴롭히나요  나를 잘 알잖아요  그대가 곁에 없는 난 바보죠    지난 시간 우리 이상의 기억도  더 파고드는 아픔이 되어  우리 이제 그만해요  나를 놓아주세요    사랑했다면 제발 도와주세요  조금은 편해질까봐 그대 이름도 지우려해요  날 그렇게 사랑했나요 아직 사랑하나요    이젠 그 곳에서 만나요
