년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101213,파이브,Everybody Get Up (Radio Edit),male,POP,-,-,-,-,-
20100913,파이브,Slam Dunk (Da Funk),male,POP,-,-,-,-,-
20091005,파이브,If Ya Gettin` Down,male,POP,-,-,-,-,-
20030613,파이브,Keep On Movin`,male,POP,-,-,-,-,I woke up today with this feeling That better things are coming my way And if the sunshine has a meaning Telling me not to let things get in my way When the rainy days are dying Gotta keep on keep on trying All the bees and birds are flying Never let go gotta hold on in Nonstop 'til the break of dawnin' Keep on movin' don't stop rockin' Get on up when you're down Baby take a good look around I know it's not much but it's okay Keep on moving anyway Feels like I should be screaming Trying to get it through to my friends Sometimes it feels that life has no meaning But I know things will be alright in the end When the rainy days are dying Gotta keep on keep on trying All the bees and birds are flying Never let go gotta hold on in Nonstop 'til the break of dawnin' Keep on movin' don't stop rockin Get on up when you're down Baby take a good look around I know it's not much but it's okay Keep on moving anyway When the rainy days are dying Gotta keep on keep on trying All the bees and birds are flying Never let go gotta hold on in Nonstop 'til the break of dawnin Keep on movin' don't stop rockin' Get on up when you're down Baby take a good look around I know it's not much but it's okay Keep on moving anyway Get on up when you're down Baby take a good look around I know it's not much but it's okay Keep on moving anyway Get on up when you're down Baby take a good look around I know it's not much but it's okay Keep on moving anyway Get on up when you're down Baby take a good look around I know it's not much but it's okay Keep on moving anyway Get on up Keep on moving Keep on moving Keep on moving Keep on moving Keep on moving Keep on moving Keep on moving Keep on moving Keep on moving Keep on moving
20030501,파이브,12345,male,POP,-,-,-,-,"Are you ready for attack? Yeah, Yeah, Yeah Stargate ah yeah Yeah etc Five have been around and livin' it up We're changin' it around just keeping you right When we get excited no we never stop Everybody knows we can't get enough People say we're dark but we're the light 'Cause we're the only ones that are keeping you tight Everybody's gonna feel high tonight Five's gonna show you how to rock it right Do you want it? Do you need it? Can you feel it? Tonight 'Cause you gotta get up You gotta stay on top Throw your hands to the sky Wave them from side to side It's gonna take all night When you rock all right Because we're wanted Dead or alive 12345 (I said 12345) Ready, steady for attack When you feel me comin' Keep comin' back The more you want, the more we got All you gotta do is just give it a shot Drop it into fifth in the fast lane Once you've had a taste you'll be back again Everybody's gonna feel high tonight Five are gonna show you how to rock it right Do you want it? Do you need it? Can you feel it? Tonight (Said 12345  ) Dead or Alive We're comin' tonight To make it all right (Are you ready for attack) Yeah etc"
20030417,파이브,Let`s Dance,male,POP,-,-,-,-,If you wanna dance this is our chance If you wanna dance let's take a chance Jiggy jump to the beat and Keep bouncing 30 seconds And counting hot one this choice Critical situation is difficult My calibre won't allow me To rhyme on a level where you people Can hear me see me guess I know You wanna be me in the meantime Bounce to the beat see music is my life 'Cause my life is music The beat of the drum in your heart Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like check it down Dropping verbal bombs on the beat hoping That you people think this sound is unique 'Cause I like to party you like to party Come on everybody got to get it started I got something to get you jumpin' When I kick a freaky rhyme I get the dance floor thumpin' Just step back and take time to check When I rock up on the mic You people never forget So check it out music is my life 'Cause my life is music The beat of the drum in your heart Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know That you've got what I like Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like~ If you wanna dance this is our chance If you wanna dance let's take a chance If you wanna dance this is our chance If you wanna dance let's take a chance You know that you've got what I like You know that you've got what I need You know that you've got what I like Music is my life 'cause my life Is music the beat of the drum in your heart Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like~
20030101,파이브,Until The Time Is Through,male,POP,-,-,-,-,"now and forever  until the time is through    i can't believe it  i don't know where to start no baby  so many questions  deep inside my heart    BRIDGE  give me a moment before you go  there's something you ought to know    CHROUS  baby now and forever  until the time is through i'll be standing here  waitin and never give up my faith in you  tryin to make it clear  without your love i'd be half a man  maybe one day you'll understand now and forever  until the time is through  i'll be waitin    now can i tell you, so that you can see  love has a meanin  when you are here with me    BRIDGE    CHORUS    there is no one to comfort me  here in my cold reality  i'm searchin for words  what can i say to make you see    baby now, until time is through, i'll be  here [2x]    CHORUS"
20021216,파이브,Let`s Dance (Radio Edit),male,POP,-,-,-,-,If you wanna dance this is our chance If you wanna dance let's take a chance Jiggy jump to the beat and Keep bouncing 30 seconds And counting hot one this choice Critical situation is difficult My calibre won't allow me To rhyme on a level where you people Can hear me see me guess I know You wanna be me in the meantime Bounce to the beat see music is my life 'Cause my life is music The beat of the drum in your heart Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like check it down Dropping verbal bombs on the beat hoping That you people think this sound is unique 'Cause I like to party you like to party Come on everybody got to get it started I got something to get you jumpin' When I kick a freaky rhyme I get the dance floor thumpin' Just step back and take time to check When I rock up on the mic You people never forget So check it out music is my life 'Cause my life is music The beat of the drum in your heart Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know That you've got what I like Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like~ If you wanna dance this is our chance If you wanna dance let's take a chance If you wanna dance this is our chance If you wanna dance let's take a chance You know that you've got what I like You know that you've got what I need You know that you've got what I like Music is my life 'cause my life Is music the beat of the drum in your heart Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like Let's dance like you mean it Can't you feel it don't you know Let's dance 'cos you need it Better believe it here we go Let's dance give your all When we're coming together On the floor you know that You've got what I like~
20021216,파이브,Slam Dunk (Da Funk),male,POP,-,-,-,-,"5ive bad boys with the power to rock you blowing your mind so you gotta get into 5ive what you waitin' four if you wanna three three two two one lets do it Do you wanna get freaky when the 5ive of us make one you gotta push the good vibe on if you really wanna feel it cause da flava in my song but i really need to know do you wanna get down do you wanna get funky do you wanna get down get on down Slam dunk da funk put it up (if you got that feelin') Slam dunk da funk put it up (if you got that feelin') Slam dunk da funk put it up (if you got that feelin') Slam dunk da funk (put it up) You gotta shoot, pass, slam baby time to set it off I'll be up, up away above the rim and   a shoot ally oop baby, whoop, there it is and now I got ya three seconds left is just enough for me to rock ya check it now, how i flip it rock a beat 'cause I get with it and everybody wants to be a man with a hey, yipee, yo yippe four quarter slam everybody grab a party and just get on down Do you wanna get down Do you wanna get funky Do you wanna get down Get On down   You wanna know what's hits you like a fork lift truck We got J, Ab, Rich, Sean and Scott rocking the extra Curricular ladies love particular fella Who knock da meter get the boom shake regular 5ive bad boys, honey no we don't quit 'til we hit the rebound sound with a kick so come on everybody everybody in tune as I boom shake 'N' rock a body Gimme room Clap your hands move your feet push it in pull it out to the beat (  until end)"
20021216,파이브,Everybody Get Up (Radio Edit),male,POP,-,-,-,-,-
20021216,파이브,Shake (Featuring Herbie),male,POP,-,-,-,-,-
20021216,파이브,That`s What You Told Me,male,POP,-,-,-,-,"Hook: That's what you told me baby (x3) You drive me crazy (x2) I thought I was the one When we were together You would take me to Another place and time That I could feel free You were all that I was searching for Bridge: That's just when I I thought I could lean on your for life I thought that the sun would always shine But you took my dreams away I remember the lies that you told me baby Chorus: 1 - you told me you love me, you need me 2 - you told me you never deceive me 3 - you told me you'd always be true 4 - you told me we're through That's what you told me That's what you told me baby That's what you told me Tell me was it fun Taking my love for granted Now I'm not the one Everything we used to share Has up and gone I don't need to tell you, you were wrong Bridge Chorus Hook That's what you told me girl Tell me no lie Do you wanna fly super high Super dooper high No mistakes when I with you Know exactly what I wanna do Lay you down and pursue me I'm super fly Cos I'm super high When I'm by your side If you like girl Tell me if you like 1 if you wanna 2 if you gonna 3 time to jive 4, 5 bring it live 1 - you told me you love me, you need me (you told me you love me) 2 - you told me you never deceive me (never deceive me) 3 - you told me you'd always be true (so true, so true, so true baby, baby) 4 - you told me we're through That's what you told me (you told me) You told me you love me, you need me (you love me, you driving me crazy) You told me you never deceive me (you told me you love me, you driving me crazy) You told me you'd always be true (you told me you need me, you told me you want me) You told me we're through (you told me you needed me you driving me crazy) That's what you told me ONE That's what you told me baby That's what you told me baby (Told me lies) That's what you told me baby You drive me crazy THREE Hook until fade"
20021216,파이브,When The Lights Go Out (Radio Edit),male,POP,-,-,-,-,"yea, like thatyou know what i meanyou're lookin kinda fly tonight girlwhat's upcheck itbaby when the lights go outi'll show you what it's all aboutcomin at you girl, you know you loke this girlhere we go check iti ain't sorry for the way i feeli know you think i'm bein insincerefrom the way i'm treatin youi never wanted to be so unkindthe only one thing on my mindis just kickin it with you girlbaby it's not the way i feel you know you mustbelieve me baby it's not part of the deal oh no ohbaby when the lights go outevery single word can not express, the love and tendernessi;ll show you what its all about babe i swear youwill succumb to me so baby come to mewhen the lights go outyea check it check it out, second verse girli know you think it may be just a lie ain't no use inputtin up a fight cos my heart is set on youi see the truth its in your eyes i ain't fooled by yourthin disguise i can see i'm gettin through babegirl don't deny the way you feel you know you've gotta trust megive me a chance to prove i'm realbaby when the lights go outevery single word can not express, the love and tendernessi;ll show you what its all about babe i swear youwill succumb to me so baby come to mewhen the lights go outevery single word can not express, the love and tendernessi;ll show you what its all about babe i swear youwill succumb to me so baby come to mewhen the lights go outwhen i flick da switch make ya lips wanna dip nowi can get you off cause i'm ready and equrpped nowswin for me baby give me all that you got neverwanna stop cos ya make me feel hot i know what youwanna do and dat i feel the same way too gove ya whatya wnat through the days and the nights yeh its abouttime that we turnedd out the lightsyea, like thatwhat's up check itbaby when the lights go outevery single word can not express, the love and tendernessi;ll show you what its all about babe i swear youwill succumb to me so baby come to mebaby when the lights go outevery single word can not express, the love and tendernessi;ll show you what its all about babe i swear youwill succumb to me so baby come to mewhen the lights go out"
20021216,파이브,Hear Me Now,male,POP,-,-,-,-,"If you think you’re ready Let the games begin Just roll the dice now May the best player win Mamma told me it’s no sin (it’s no sin) (oh oh) oh yeah Any way you like it Just let me know Don’t try to hide it If you’re ready let’s go I won’t be lazy with you no no no Whoa whoa whoa whoa CHORUS I tried to call you but you wasn’t around I tried to see you but you was outta town I tried to find you, tried to track you down But my phone didn’t make a sound I know you hear me now Now the show has started And we’re on the road My tank is full now I’m about to explode It’s dangerous in overload (Oh oh) oh yeah I can keep a secret Won’t tell my boys What you get up to with your favourite toys If ya feel me baby make some noise Whoa whoa whoa whoa CHORUS I know you hear me know (x6) If ya feel me baby make some noise If ya feel me baby just enjoy CHORUS x2"
