년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20040120,JTL,Intro,male,댄스,-,-,-,-,-
20040120,JTL,Enter The Dragon,male,댄스,-,장우혁,장우혁,-,지난 5년간 축적해온 Energy 난 Pow 내 몸에선 불을 내뿜지 그렇게도 오늘만을 기다린 나 이제 싹 정리 할 때가 왔지 난 제겨 내 몸 속의 용솟음 치는 라임 뱉어 용의 몸짓 마치 춤추는 듯한 신들린 듯한 발광 Now in Get you to Fall in 이 음악에 미쳐 나를 바쳐 어느덧 24년이란 시간 흘러보니 인정사정 없고 거침없는 사회 생활속에 찌든 그리고 병든 나약해진 내 모습이 어느 순간 거울 속에 비쳐 나는 미쳐 달성하지 못한 내 꿈을 위한 새로운 나를 결심 Best of the dragon Enter the JTL 쉽게 쓰러지진 않아 지켜봐 두 눈으로 난 네가 생각했던 만큼 약하지 않아 쉽게 무너지진 않아 지켜봐 그 눈으로 난 여기서 주저않지 않아 싸워 이겨내겠어 뭐야 네가 뭐야 겨우 고작 그것 뿐이야 힘껏 내가 쓰러질때까지 힘껏 뻗어보란 말이야 아픔의 끝을 지나 새롭게 시작하네 뜨겁게 타오르는 저 태양에 뻗어나가는 절권도와 같이 마치 미친 용의 몸부림이 만들어 내는 거대한 불씨 여긴 사방이 막힌 Deathrow 피할 수 없어 절대로 오직 살아 남기 위해 싸우겠어 그리고 또 싸우겠어 You know Lee's style 그리고 널 무릎 꿇게 하겠어 후회하지마 너무 늦어 버렸으니까 내 자신 외에 그 누구도 믿지 않아 난 또 We'll take ya down Yo Nigga we'll be comin We'll wipe ya out Yo Nigga we'll be comin We'll put ya down Yo Nigga we'll be comin We'll strike ya out Check it near now We'll take ya down Yo Nigga we'll be comin We'll wipe ya out Yo Nigga we'll be comin We'll put ya down Yo Nigga we'll be comin We'll rock you and knock you Nigga we'll be comin 너에겐 마지막 시간이 온거야 이제 더는 너 갈 곳이 없어 피하려 하지마 너의 최후인 거야 We'll take ya down Yo Nigga we'll be comin We'll wipe ya out Yo Nigga we'll be comin We'll put ya down Yo Nigga we'll be comin We'll strike ya out Check it near now We'll take ya down Yo Nigga we'll be comin We'll wipe ya out Yo Nigga we'll be comin We'll put ya down Yo Nigga we'll be comin We'll rock you and knock you Nigga we'll be comin We're Still alive
20040120,JTL,놀아나는 아이들,male,댄스,-,장우혁,Mad Soul Child,-,어린시절 내 한 몸 받쳐 살아왔던 꿈같던 후회하기조차 없었던 나날들 정이 어쩌구 저쩌구리 하던 놈 다 내 앞에서 사라져 하염없이 내리던 내 눈물 조차 받아주지 않던 너의 뒤통수 치려거든 제대로 한방 앞뒤 가릴 것 없이 두 방 기다려 왔다는 듯이 올 것이 왔다는 듯이 태연히 아주 편안히 힘겨웠다는 듯이 한마디로 속이고 속고 거기에 놀아나는 너도 모습에 난 마음속 깊이 담아줄 수 밖에 없는 현실속에 모든 진실들은 거짓에 눌려 양심까지 속여 어 어 어 어 눈물 조차 없는 너의 모습에 또 다시 우리와 같이 마음 아파할 많은 아이들 다신 이런일 일어나지 않기를 또다시 슬픈 현실에 맘 아파하지 않기를 언젠가 이렇게 저렇게 만날 인생 여기 바닥이 부처님 손바닥 안 이란 건 너 따위도 잘 알걸 그렇게 요리조리 말장난 해 봤자 너 손해 머리 좀 굴릴 줄 알면 나대지 말고 진실이고 나발이고 조용히 입 닥치고 살아가라 그게 너의 인생에 대한 모범답안 절대절명 절대불구 이 세상 가장 소중한 마음의 불구 저 친구들 사이로 보이는 벽 넘어 비뚤어진 사각형에 서서 돈 명예 행복까지 저울질할 때 넌 원맨 쇼 나 together forever 영원히 우린 하나 하나 하나 하나 하나 하나 하나 다시 하나가 되기 위한 전초전일뿐 콩 나와라 팥 나와라 20원 인생 너희들 정말 불쌍하지도 않냐 콩 나와라 팥 나와라 신경쫌 그만 쓰지 그래 야 뚜껑 열리네 콩 나와라 팥 나와라 내 인생에서 넌 거머리 중에 하나 하나 콩 나와라 팥 나와라 내 인생에서 넌 절대필요악 모든 진실들은 거짓으로 가려지지만 언젠가는 알아주길 바래 우리 하나가 되어주길 그것만을 알아주는 맘으로 눈물 조차 없는 너의 모습에 또 다시 우리와 같이 마음 아파할 많은 아이들 다신 이런일 일어나지 않기를 또다시 슬픈 현실에 맘 아파하지 않기를 콩 나와라 팥 나와라 20원 인생 너희들 정말 불쌍하지도 않냐 콩 나와라 팥 나와라 신경쫌 그만 쓰지 그래 야 뚜껑 열리네 콩 나와라 팥 나와라 내 인생에서 넌 거머리 중에 하나 하나 콩 나와라 팥 나와라 내 인생에서 넌 절대필요악
20040120,JTL,Just Say Good-Bye,male,댄스,-,Johan Gunnarsson,Richard Anderson,-,떠나는 너의 모습 바라보면서 견딜 수 없어 눈물 따윈 보이고 싶지 않았는데 미안해 이런 내 모습에 Just say goodbye Just say goodbye 다신 볼 수 없겠죠 널 잡고 싶지만 아무 소용 없겠죠 Say Goodbye 주위엔 너의 흔적 남아 더 힘들고 잠들 수 없어 우리 기억 눈물과 함께 흘리고 행복해 널 위해 기도해 Just say goodbye 다신 볼 수 없겠죠 널 잡고 싶지만 아무 소용 없겠죠 Just Say Goodbye 못다한 얘기가 아직 남아 이렇게 끝낼 수가 없어 Say goodbye 돌아올 순 없나요 널 잡고싶지만 그럴 용기가 없죠 Just say goodbye 너를 처음 보았던 날 나는 숨이 멎었었지 너무 아름다운 너의모습 정말 눈이 부신  너 그런 네가 기대였을 때 나의 손을 잡았을  때 다신 놓치지 않기를 영원하길 바랬는데 다신 볼 수 없겠죠 널 잡고 싶지만 아무 소용 없겠죠 Just Say Goodbye 너를 이렇게 보내는 것이 내겐 후회로 남겠지 사랑했던 기억들은 그저 추억이 되겠지 그게 더욱 슬프게 하고 추억이 너무 많아 아픔은 계속되고 또 계속되고
20040120,JTL,행복했던 기억들은...,male,발라드,-,MAGNUS FUNEMYR,MAGNUS FUNEMYR,-,우리 처음 만났던 그날이 떠올라 그 길을 또 걷지만 너는 곁에 없는 걸 하얀 눈이 내리던 그날이 떠올라 오늘도 눈이 내려 내 눈에 눈물이 흘러 네가 곁을 떠나간 후 느낄 수 있는 건 너 없는 빈자리가 너무 큰 그리움이란 걸 가슴속을 파고드는 아픔이 있는 건 얼마나 많은밤을 지새며 눈물 흘려야 하나 기억 속에 너의 모습 떠올라 나도 몰라 내가 왜 이래야만 하는지 왜 자꾸 눈물이 나는지 항상 곁에 있겠다던 네가 날 떠나지 않겠다던 네가 이제 없는 걸 더 크게 느껴지는 걸 후회만이 남아 술에 취해도 몸부림 쳐봐도 이젠 아무소용 없는 걸 날 떠나간 걸 네가 곁을 떠나간 후 느낄 수 있는 건 너 없는 빈자리가 너무 큰 그리움이란 걸 가슴속을 파고드는 아픔이 있는 건 얼마나 많은밤을 지새며 눈물 흘려야 하나 이젠 너와 내가 되는가 하나였을때 우린 정말 어떤 어려움도 이겨낼 수 있었는데 행복했던 기억들은 아픈 추억이 되고 너 없는 빈자리가 너무 큰 그리움이란 걸 가슴속을 파고드는 아픔이 있는 건 얼마나 많은밤을 지새며 눈물 흘려야 하나 네가 곁을 떠나간 후 느낄 수 있는 건 가슴속을 파고드는 행복했던 기억은 아픈 추억이 되고
20040120,JTL,Santa Baby,male,댄스,-,장우혁,Mad Soul Child,-,you better watch out you better not cry you better watch out you better not cry you better watch out you better not cry 엉망진창 크리스마스 날만되면 방콕인생 불쌍한 이놈에 인생아 뒤죽박죽 내 이름도 생각 안나 시원섭섭 잘가라 크리스마스여 자유로운 내가 되고 싶어 새하얀 구름 아래로 떨어지는 하얀 눈속에 파묻힌 사랑하는 그녀와 달콤한 사랑이야기 여기까지 뻔한 스토리 한번이라도 제발 한번 너와 같이 눈을 맞으며 너와 나의 눈을 맞추며 데이트 하는 게 소원 사람들이 들으면 so what 한번 만나려다가 들키는 날엔 기사꺼리 가십꺼리 인터뷰 사절 방송사절 생각없이 던지는 돌에 난 속으로 삭히는 개구리가 되고 일년중 가장 고통스러운 날 12월 25일 크리스마스 오오오오오 하하 엉망진창 크리스마스 날만되면 방콕인생 불쌍한 이놈에 인생아 뒤죽박죽 내 이름도 생각 안나 시원섭섭 잘가라 크리스마스여 자유로운 내가 되고 싶어 yo 거리마다 오고가는 수많은 연인 너무나 많아 행복한 웃음짓고 있는 저기 저 자유로운 새가 되고파 말하자면 나 사랑에 배고파 산타 넌 남의 굴뚝이나 타고 다니나 넌 ganster santa 선물안주면 goddamn fuckin kill your mother fuck up 올해 크리스마스 날이 되면 딱 두가지 종류의 사람들이 있겠지 첫째는 바로 두놈의 양키들 따뜻한 장갑차속에서 지낼 씹새들과 추운 광화문 거리에서 촛불로 시위하는 사람들 yo 대통령아저씨 집에 소파가 낡아서 우리 똥구멍 찔리니깐 확 좀 바꿔버려 잉 엉망진창 크리스마스 날만되면 방콕인생 불쌍한 이놈에 인생아 뒤죽박죽 내 이름도 생각 안나 시원섭섭 잘가라 크리스마스여 자유로운 내가 되고 싶어 이렇게 신세 한탄하는 내 인생 생각해보면 행복에 넘쳐 분에 넘쳐 너무도 배부를 소리여 주위를 둘러보면 아직도 저기 저 어두운 곳에 추위에 떨며 힘겨워 하는 수많은 사람들 때론 너무너무 외로워 혼자라고 느껴질때도 있었지만 사랑하는 fan들은 영원한 우리들의 크리스마스 연인 Tony Bany 이러면 어때요 저러면 어떤가요 나로 인해 더 많은 사람들이 행복하면 난 세상에서 가장 행복해요 난 엉망진창 크리스마스 날만되면 방콕인생 불쌍한 이놈에 인생아 뒤죽박죽 내 이름도 생각 안나 시원섭섭 잘가라 크리스마스여 난 세상에서 가장 행복해 엉망진창 크리스마스 날만되면 방콕인생 불쌍한 이놈에 인생아 뒤죽박죽 내 이름도 생각 안나 시원섭섭 잘가라 크리스마스여 난 세상에서 가장 행복해
20040120,JTL,기도,male,댄스,-,장우혁,Justin Young,-,Take a chance on love 그녀에게 아무리 기도 해봐도 돌아오지 않아 알아요 바보같이 두손이 모아지는 건 너와의 사랑이 식지않았단 증거 널 믿지 않아 그렇게 떠나면 어떡해 가끔 아프다는 건 거짓말 아냐 Come on Tell me 하늘은 내게 어울리지 않아 하루에 만번이라도 기도 할 수 있어 Take a chance on love 나 혼자 깊게 널 생각해 봤죠 진심 어린 기돈 이뤄져 난 아직도 진심이 아닌가봐요 내맘이 진심이 되길 기도할게 널 믿지 않아 그렇게 떠나면 어떡해 가끔 아프다는 건 거짓말 아냐 Come on Tell me 하늘은 내게 어울리지 않아 하루에 만번이라도 기도 할 수 있어 Take a chance on love 제발 부탁해요 하늘에 (계신 아버지) 차라리 나를 데려가요 뜻이 하늘에 (하늘에) 이룬 것같이 (이뤄져) 땅에서 이루어 지길 그녀만 생각하면 한숨섞인 눈물 잠 잘때나 생각할 때마다 니가 뭔데 내눈에 밟혀 슬픔과 기쁨은 나에겐 소중하지만 너만 생각하면 나에겐 고통 그렇게 니가 내게서 떠나가버린 후 크리스마스 나에게 남은건 너와의 추억 내가 너에게 할 수 있었던 건 오직 기도 Tell me 하늘은 내게 어울리지 않아 하루에 만번이라도 기도 할 수 있어 Take a chance on love
20040120,JTL,오랫동안,male,발라드,-,이재원,이재원,-,한동안 말이 없이 그렇게 있었죠 어색한 인사 뒤로 스쳐 지났지만 그댄 행복해 보이네요 그대곁에 그사람 나보다 좀 더 잘 해 줄거예요 그댈 떠나보낸 그 겨울 오랫동안 많이 아파하고 있지만 소용없는걸요 처음 그대에게 조심스레 다가갔던 날 해맑은 미소로 내맘 받아주었죠 너무 보고 싶어 눈물도 나지만 이제는 말할 수 없죠 사랑한다고 말하고 싶지만 이제는 내가 아닌 또 다른 그대가 가끔씩 내 안부를 묻는 니 전화에 난 또 잘 있다고 잘 지낸다고 그런 말 하지만 허나 예전 같지 않아요 조금 야위어진 내 모습에 그대도 놀랄 거예요 그댈 떠나보낸 그 겨울 오랫동안 많이 아파하고 있지만 소용없는걸요 처음 그대에게 조심스레 다가갔던 날 해맑은 미소로 내맘 받아주었죠 너무 보고 싶어 눈물도 나지만 이제는 말할 수 없죠 사랑한다고 말하고 싶지만 이제는 내가 아닌 또 다른 그대가 언젠가 그대 내게 돌아온다면 나 다시 그대를 안아줄텐데 단 한번 내가 보고 싶다면 언제라도 그대 빈자리 남겨둘게 그땐 내게 다시 그래 어쩌면 우린 서로 그저 스쳐 지나가야할 운명이었는지도 몰라 내가 아파한 만큼 너도 너무나 많이 아파했을 거야 그땐 너도 어쩔수 없었다는걸 나의 쓸데없는 자존심을 너무도 너무도 크게 후회 하고 있다는 것을 너 없이 수많은 시간을 혼자 너없이 견디며 살아가야 할 내가 내가 자신이 없어 너무 보고 싶어 눈물도 나지만 I don't cry 이제는 말할 수 없죠 또 다시한번 사랑한다고 말하고 싶지만 이제는 내가 아닌 또 다른 그대가 다시 보고 싶다 말하고 싶지만 I don't say 이제는 끝난일인걸 As time gose by 오랫동안 시린 추억이 언젠가 시간속에 묻혀지겠지 행복하길
20040120,JTL,된장사이,male,발라드,-,장우혁,장우혁,-,아침이되면 일어나고 저녁엔 잠을 자고 mic가 주어지면 난 노래를 하지 yao 이것이 my life 허리접어 무릎접어 두 주먹 쥐고 두팔 펼친지 시간은 흘러흘러 벌써 8년째 접어 언제까지 접었다 펼쳐야 하나 그대가 원한다면 언제까지나 그대 곁에서 접었다폈다 접었다폈다 한다 어 접었다폈다 접었다폈다로 두마디 지나갔다 yo haha 아침에 소주한잔 점심에 소주 두잔 저녁에 스타한판 시간은 지날수록 내 가슴에 눈물은 바다 쉼없이 달려온 힘겨운 싸움 잘 버티는 나도 대단해 사나이 이 가슴에 두 주먹 불끈 쥐고 오늘도 마음에 칼을 들고 싸우러 간다 마음의 상처 안고 돌아오겠지만 이게 내 인생인데 어떻게 해 하루 아침의 이룬 모래성처럼 그렇고 그런 흔해 빠진 사람처럼 너에게만은 지켜주고 싶은맘 내맘 니맘 모두 같은 맘 내말 믿어 하루 아침의 이룬 모래성처럼 그렇고 그런 흔해 빠진 사람처럼 너에게만은 지켜주고 싶은맘 내맘 니맘 모두 같은 맘 내말 믿어 너의 슬픔을 나눈다해도 너의 행복이 될순없어 혼자보다는 낫지 않겠어 나 된 된장에 고추장 맞듯이 너 된 나 장 우리 사인 된장 사이 yo 언제까지나 우리 헤어지지 말자 슬픔 고민 다 잊자 행복만 생각해 흘러가는 시간 더해가는 사이 오직 행복만 있을 뿐이지 그대여 지켜줄게 너에게만 항상곁에서 더이상 아파하지 않을께 믿어줄래 그냥 나만 믿어줘 이제 일어설래 지켜봐 세상살이 힘든건 마찬가지 그건 받아들이기 나름이지 힘들고 지칠때 한번 뒤돌아봐 세상이 달라져 보여 시작해 그대여 지켜줄게 너에게만 항상 곁에서 더이상 아파하지 않을께 믿어줄래 그냥 나만 믿어줘 이제 일어설래 그대여 지켜줄께 너에게만 항상 곁에서 더이상 아파하지 않을께 믿어줄래 그냥 나만 믿어줘 이제 일어설래 지켜봐 하루아침에 이룬 모래성처럼 그렇고 그런 흔해빠진 사람처럼 너에게만은 지켜주고 싶은맘 내맘 니맘 모두같은 맘 내말 믿어 uh
20040120,JTL,A Better Day,male,발라드,-,이재원,Unknown,-,A Better day 왜 날 떠나갔어  Another way 아무런 말없이  아름다웠던 우리들의 추억  이제 두 번 다시 돌아오지 않아  이별이 이렇게 쉽게 다가올 거라 예감할 수 없던 나  기쁨 슬픔을 함께 나누던 우리  그렇게 헤어져야만 했던 우리  돌이킬 수 없는 지난 시간  너와 함께 했던 동안 순수했던 아름다웠던 나날들  모두가 우리를 부러워했던 나날들  아무것도 부러울 것이 없었던 시간들  그렇게 어두운 과거 속에  내가 너를 만난 건 행운이었어  A Better day 왜 날 떠나갔어  Another way 아무런 말없이  아름다웠던 우리들의 추억  이제 두 번 다시 돌아오지 않아  Yo! 그렇게 힘들고 지쳐  외로운 내 영혼에 넌 내게 다가와  너무나 차디 차가웠던 나의 손을 잡아주었어  니가 없는 너의 빈자리는  내게 이제 마음속의 깊은 곳의 허전함으로 변해  내 맘에 너무 나도 행복했던 우리들 만의 시간을 기억해  너에게 아무것도 해줄 수 없는 나를 용서해  행복해 내가 없는 다른 세상에서  A Better day 왜 날 떠나갔어  Another way 아무런 말없이  아름다웠던 우리들의 추억  이제 두 번 다시 돌아오지 않아  우리 서로 사랑했던 지난 겨울로 돌아가고 싶지만  이제는 너무도 많은 시간이 지난 것을 깨달아  너무나도 빨리 흘러가는 시간  이제 내게 다가올 또 다른 이별의 세계 뜨겁게 타고 내리는 두 뺨 위의 눈물들  희미해져 가는 추억 속의 사진들  다시 못 올 추억이라 해도 소중히 간직해줘  내게 준 우리의 아름다운 기억들을  또 다른 세상 속을 향해 향해 (오오오)  날 다시 또 시작 하게 하게 (오오오)  더 이상 너를 찾진 않아 않아 (오오오)  미련 없이 너를 잊어 잊어 (오오오)  또 다른 세상 속을 향해 향해 (오오오)  날 다시 또 시작하게 하게 (오오오)  더 이상 너를 찾진 않아 않아 (오오오)  미련 없이 너를 잊어 잊어 (오오오)  A Better day 왜 날 떠나갔어  Another way 아무런 말없이 (어~)  아름다웠던 우리들의 추억  이제 두 번 다시 돌아오지 않아  모든 역경을 헤쳐 여기까지 왔어  너에게 보여주겠어 네앞에 서있는 날 바라봐  네가 없이 살아갈 나만의 나의나의 모습.  이겨내겠어 어떤 두려움에 부딪쳐도 쓰러져도  내모습 그대로 보여준다.  나의 랩으로 표현 안될 감동으로  그 느낌으로 어 우릴 지켜봐 지금 바라봐  다시 타오르는 jtL From jtL.
