년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100910,디베이스,Everything,male,댄스,-,송지훈,송지훈,-,순진한척 날 보는 넌 so wild 날 미치게 만드는 너의 smile 자연스런 화장과 머리 style 내가 찾던 이상형 넌 나의 style yeah babyface 몸매 이기적인 잡지 표지처럼 눈부신fashion 기가막힌 styling top모델보다 더 당당한 walking 화장품 cf 피부 웃을때 보조개 so cute skinny jean 코피나 thank you 완벽해 perfect my girl you are my everything you are so beautiful you are my everything you are so beautiful beautiful girl beautiful girl baby so beautiful wonderful girl wonderful girl baby so wonderful 섹시한 몸매와 얼굴은 oh my 날 미치게 만들어 넌 so fine 널 보는 남자들은 hyp no tysed 하지만 넌 내여자 mine mine mine 외모는 D I V A so hot 모자는 삐뚤게 hip hop my girl 누구보다 sweet 해 딴남자 까칠해 전화기 벨소리 내노래 커플링 딱 보이네 miss JED 영광일세 완벽한 my girl you are my everything you are so beautiful you are my everything you are so beautiful yah my girl got eyes like an angel stunning so hot she's danger not minor definately major she's my star player my girl got eyes like an angel stunning so hot she's danger not minor definately major she's my star player you are my everything you are so beautiful you are my everything you are so beautiful beautiful girl beautiful girl baby so beautiful wonderful girl wonderful girl baby so wonderful
20100910,디베이스,Actually (Feat. 이지혜),male,댄스,-,송지훈,송지훈,-,One Two 널 위해 내가 랩할게 yeah girl you and me let's do this just listen this is our music 널위해 내가 랩할게 눈감아 just relax let's do it yeah girl you and me let's do this just listen this is our music 널위해 내가 랩할게 눈감아 just relax let's do it 날 보는 눈빛 fantastic your smile 10점 a classic 절대 끝났다고 말하지마 I'll never let you go cause your one of a kind 뜨거웠어 사랑할 때 지금도 눈부셔 너 바라볼때 떨려 the closer you get let's do it again and again and again 우리 사랑은 bigger than 로또 blockbuster 보다 더 wow 말을안해도 you are the one 내맘속엔 none but you 나는 kick snare 넌 melody 둘이같이 사랑의 symphony 오직 너를 위해 랩할게 come on Oh baby don't u know 널 사랑해 아직 난 너를 위해 노래해 Oh baby don't u know 기다릴게 너만을 너만을 이렇게 너를 사랑해 ah ah ah ah baby girl you know i got you ah ah ah ah relax just go for the ride ah ah ah ah yeah girl you fly so amazing ah ah ah ah yeah uh huh so beautiful 숨이 막히네 그대론데 눈부시게 지난 과거는 무시해 cause I'll be there 이젠 널 지킬게 yeah I think I can 그대 방패가 될게 like superman 그대 아픔들 모두 내게 털어놔 상처가 남지 않게 Oh baby don't u know 널 사랑해 아직 난 너를 위해 노래해 Oh baby don't u know 기다릴게 너만을 너만을 이렇게 너를 사랑해 ah ah ah ah baby girl you know I got you ah ah ah ah relax just go for the ride ah ah ah ah yeah girl you fly so amazing ah ah ah ah yeah uh huh 널 보며 웃을게 예쁜 모습 지켜줄게 더 이상 슬픔은 없어 행복만 가득 안겨줄게 하루에 한 번씩 사랑한다 네게 말할게 사랑해 this is our music 오직 널 위해 내가 랩 할게 Oh baby don't u know 널 사랑해 아직 난 너를 위해 노래해 Oh baby don't u know 기다릴게 너만을 너만을 이렇게 너를 사랑해 yeah girl you and me let's do this just listen this is our music 널 위해 내가 랩할게 눈감아 just relax let's do it yeah girl you and me let's do this just listen this is our music 널 위해 내가 랩할게 눈감아 just relax let's do it
20100910,디베이스,Everything (Inst.),male,댄스,-,-,송지훈,-,-
20100910,디베이스,Actually (Inst.),male,댄스,-,-,송지훈,-,-
20100910,디베이스,Everything (English Ver.),male,댄스,-,송지훈,송지훈,-,-
20080204,디베이스,Somebody (Feat. 싸이),male,"댄스, 랩/힙합",-,싸이 (PSY),유건형,-,난 부담없이 즐기고 싶어 더 이상은 또 만남 싫어 그냥 이제는 이러고 싶어 정신 없이 이러고 싶어 니가 누군가 중요하지 않아 너도 그렇잖아 나 말고 오늘밤 내 곁에 날 안아줄 사람 줄 사람 그런 만남을 원해 One somebody body somebody somebody We somebody body body body body One somebody body somebody somebody We somebody body somebody to no no no no no One some somebody to no 설레고 싶던 처음 그 느낌처럼 그 진한 Kiss 처음 했을때처럼 그런 느낌을 느끼고 싶어 낯설음에 떨리고 싶어 니가 누군가는 중요하지 않아 너도 그렇잖아 나 말고 오늘밤 내 곁에 날 안아줄 사람 그런 사람 그런 만남을 원해 One somebody body somebody somebody We somebody body body body body One somebody body somebody somebody We somebody body somebody to no no no no no One some somebody to no One somebody body somebody somebody We somebody body body body body One somebody body somebody somebody We somebody body somebody to no no no no no One some somebody to no Somebody to no Somebody to no
20080204,디베이스,Only You (Feat. 시기),male,"댄스, 랩/힙합",-,-,-,-,니가 날 떠났었던 그 날처럼 오늘도 비가 내려 소리없이 내리는 이 빗소리에 내 맘도 같이 울어 니가 줬던 선물 너에 눈물 너에 두 눈 속에 지냈던 수없이 많은 시간들 니가 있던 그 곳 입던 그 옷 내게 줬던 너에 미소가 애타는 내 맘을 오늘도 울려 Say I love you 조금 늦었지만 그대 사랑합니다 그대 사랑 접니다 I wanna love you come on baby tonight 나는 어떡합니까 그대 행복합니까 I need u u love u only u u u u I need u u love u only u u u u 너와 걷던 거리 니 목소리 모든 것이 미니홈피 속 처음 그때처럼 그대로 너와 찍은 사진 커플 반지 너에 반쪽 바로 나까지 모두 홀로 너를 기다리고 있어 Say I love you 조금 늦었지만 그대 사랑합니다 그대 사랑 접니다 I wanna love you come on baby tonight 나는 어떡합니까 그대 행복합니까 I need u u love u only u u u u I need u u love u only u u u u 셀 수 없이 계속 피워대는 줄담배 everyday 작은 니 집 앞에 두 손 모아 오늘도 기도 loves come and go 찢어지는 가슴사이 한숨 이기려고 애써 마셔보는 술 멈추지 않는 그리운 니 눈물 너와 난 시작부터 하나 Say I love you 조금 늦었지만 그대 사랑합니다 그대 사랑 접니다 I wanna love you come on baby tonight 나는 어떡합니까 그대 행복합니까 Say I love you 조금 늦었지만 그대 사랑합니다 그대 사랑 접니다 I wanna love you come on baby tonight 나는 어떡합니까 그대 행복합니까 내 슬픔 내눈물 모르는 그대를 그래도 사랑해요 모든게 변한대도 I need u u love u only u u u u I need u u love u only u u u u
20080204,디베이스,모든 것을 너에게 (Remix) (Feat. Hoody),male,랩/힙합,-,이현도,이현도,-,내 전부를 모두다 던질게 나의 미래 그 모든 것을 너에게 너만을 위해 영원히 오직 너에게만 내가 갖고 싶은 것은 오직 너 하나뿐 세상 가득 한가운데 너만을 원할뿐 오 나를 돌아봐 여기 내게 말해줘 우리는 이제 하나가 될 수 있다고 내 뜨거운 가슴 너 하나만을 위해 무한의 열정으로 타올라 내 전부를 모두다 던질게 나의 미래 그 모든 것을 너에게 너만을 위해 영원히 오직 너에게만 사랑앞에 두려움은 모두다 버려줘 상처따윈 두 번 다신 더는 없을거야 오 나를 돌아봐 여기 내게 말해줘 우리는 이제 하나가 될 수 있다고 내 뜨거운 가슴 너 하나만을 위해 난 사랑해 너만을 사랑해 내 전부를 모두다 던질게 나의 미래 그 모든 것을 너에게 너만을 위해 영원히 오직 너에게만 내 전부를 모두다 던질게 나의 미래 그 모든 것을 너에게 너만을 위해 영원히 오직 너에게만 마지막 순간까지 함께할 완전한 그 사랑은 시작 된거야 내게 하나뿐인 너에게 내 전부를 모두다 던질게 나의 미래 그 모든 것을 너에게 너만을 위해 영원히 오직 너에게만 내 전부를 모두다 던질게 나의 미래 그 모든 것을 너에게 너만을 위해 영원히 오직 너에게만 그 모든 것을 너에게 오직 너에게만
20080204,디베이스,Somebody (Inst.),male,랩/힙합,-,-,유건형,-,-
20030813,디베이스,Intro,male,랩/힙합,-,제드,강훈,-,Been along time coming Second time around D BACE we back we don't stop This time No We don't stop Go quicker go quicker No more playing games we here long range Listen listen baby we here to bring the sounds that will Make you bounce to the beat bounce to the beat Can I get a beat will you play for me D BACE D BACE Then repeat honey come along now tell me this Is what you want hear D to the BACE
