년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20020612,밀크,One Summer Dream,female,댄스,-,박창현,박창현,SM엔터테인먼트,우 라라릴 라 우우우 라라릴 라 Just the way you are 나를 잊게 하는 이 향기와 내 귓가로 스며드는 그 멜로디 내 곁에 있는 단 한 사람 Come on now I'm waiting for you 와인 같은 그대의 눈빛은 자꾸 날 미소짓게 하고 숨막힐 것 같은 이 느낌은 Babe now I give you my everything 그대여 내게 가까이 와요 아무런 이유도 필요 없어 그댄 그저 웃고만 있겠죠 영원히 나만을 바라보고만 있을 뿐이죠 Come on babe you I'm waiting for you 아무런 얘기도 필요 없어 그댄 언제나 그 자린거죠 더 이상 내 맘은 I'm gonna give you up my everything 와인 같은 그대의 눈빛은 자꾸 날 미소짓게 하고 숨막힐 것 같은 이 느낌은 Babe now I give you my everything 그대여 내게 가까이 와요 아무런 이유도 필요 없어 그댄 그저 웃고만 있겠죠 영원히 나만을 바라보고만 있을 뿐이죠 Come on babe you I'm waiting for you 아무런 얘기도 필요 없어 그댄 언제나 그 자린거죠 더 이상 내 맘은 I'm gonna give you up my everything Just you now I'm fine whenever I'm looking for Just you are the one 이사진 속 그댄 나를 바라보지만 언제나 그 시선 느끼고 있지만 이제 여기 없어 내가 찾을 수도 없어 이 세상 어디에도 이젠 그대 없어 이렇게 나 지쳐 가는 모습 웃으면서 바라보는 그대 와인 같은 눈빛 더는 싫어 Summer Dream 이 여름처럼 Everyday I feel your dream 그대여 내게 가까이 와요 아무런 이유도 필요 없어 그댄 그저 웃고만 있겠죠 영원히 나만을 바라보고만 있을 뿐이죠 와인 같은 그대의 눈빛은 날 수줍게 하고 숨막힐 것 같은 이 느낌 I'm gonna give you up my everything
20011217,밀크,Crystal,female,댄스,-,-,-,SM엔터테인먼트,언제나 난 너의 곁에서(너의 곁에)  그댈 위해 살고 싶어  그런 나를 떠나가지마(떠나지마)  잊지마 널 사랑해  이제 너는 나의 곁을 떠나가지마  언제나 널 in my heart  그땐 나도 너무나 두려웠었어  힘들었니 미안해  이제 우리 다시는 볼 수 없잖아(볼 수 없어)  부탁이야 울지마  우리 사이 영원할까 망설였었어  하지만 널 사랑해  너만 바라보고 나는 이제 살아갈게  그대 모든 것은 이제 나의 마음속에  나의 사랑하는 그대와의 내 삶을  follow me follow follow  shake it shake it shake it shake it  이젠 모든 것에 네가 지쳐 갈 때  내 모든 것을 그대 에게  너만을 난 사랑해 my style and crystal  언제나 난 너의 곁에서(너의 곁에)  그댈 위해 살고 싶어  그런 나를 떠나가지마(떠나지마)  잊지마 널 사랑해  이제 우리 다시는 볼 수 없잖아(볼 수 없어)  부탁이야 울지마  우리 사이 영원할까 망설였었어  하지만 널 사랑해  날 위해 항상 웃고 행복 해야죠  그댈 위해 살아가고 있는 나를 기억해줘요  언제나 난 너의 곁에서(너의 곁에)  그댈 위해 살고 싶어  그런 나를 떠나가지마(떠나지마)  잊지마 널 사랑해  너만 바라보고 나는 이제 살아갈게  그대 모든 것은 이제 나의 마음속에  나의 사랑하는 그대와의 내 삶을  follow me follow follow  shake it shake it shake it shake it  이젠 모든 것에 네가 지쳐 갈 때  내 모든 것을 그대에게  너만을 난 사랑해 my style and crystal  너 하나 밖에 없는 걸 모두 난 알잖아  내 사랑은 너였어 너를 위해  언제나 난 너의 곁에서  그댈 위해 살고 싶어  그런 나를 떠나가지마 제발  잊지마 널 사랑해  언제나 난 너의 곁에서
20011217,밀크,Come To Me,female,댄스,-,-,-,SM엔터테인먼트,어디있니 네게 남은 상처  내가 다 가져가 버릴께  울지마 더 이상의 아픔은 없어  내가 있잖아  포근하게 감싸줄께  내게 기대어서 울어도 돼  come to me 제발 잊어버려  lean on me 하지만 이번만큼  take my hand 내 맘을 받아줘  l will wait for you  love you till the end of time  모르겠니 너를 향한 내 맘  항상 네 곁에서 지킬께  찾지마 그 사람은 너에겐 안 와  다 끝났잖아  부드럽게 감싸줄께  내게 기대어서 울어도 돼  come to me 제발 잊어버려  lean on me 하지만 이번만큼  take my hand 내 맘을 받아줘  l will wait for you  love you till the end of time  come to me lean on me  take my hand close to you  come to me lean on me  지금 모습 그대로 다시  내게 다가와  내 모든 걸 꼭 한 번 느껴봐  오직 내가 바라는 건  단 한가지 뿐  나에게 너의 마음 돌아와줘  내가 기다릴께  come to me 제발 잊어버려  lean on me 하지만 이번만큼  take my hand 내 맘을 받아줘 l will wait for you  love you till the end of time  come to me 제발 잊어버려  lean on me 하지만  이번만큼 이번만큼 예  take my hand 내 맘을  받아줘 받아줘  l will wait for you  love you till the end of time  come to me lean on me  take my hand close to you  come to me lean on me  come to me
20011217,밀크,Sad Letter,female,발라드,-,-,-,SM엔터테인먼트,언제쯤 그대 앞에서도  부끄럽지 않게 될 수 있을까요  그대 다른 사람이 생겨서  내게 멀어지는 날 그때엔  떳떳할까요  참 바보 같지만 그대만 보면은  가슴이 아파요 초라한  내 곁에 머무는  아름다운 그대는  어울리진 않네요   그대와 만날수록 떠나야  할 것 같아요  하지만 항상 날 흔들어 놓는  정말 착한 모습이 날 기쁘게  하고 또 슬프게 하죠  언제쯤 그대 앞에서도  부끄럽지 않게 될 수 있을까요  그대 다른 사람이 생겨서  내게 멀어지는 날 그때엔  떳떳할까요  그대와 함께 했던 지난  일들을 생각하죠  그대가 내게 어떤 의미였는지  웃음 잃은 후에야 난  바보처럼 느낄 수 있겠죠  그대를 처음 만난 날 난  느낌을 잊을 순 없어  나는 너무 아프겠죠 그대를  떠나 보낸다면  언제쯤 그대 앞에서도  부끄럽지 않게 될 수 있을까요  그대 다른 사람이 생겨서  내게 멀어지는 날 그때엔  떳떳할까요  이대로 모른 척 살까요  그대 내게 멀어질까봐  너무 두려운 걸요 그대  다른 사람과 멀어져  내게 돌아오는 날 그때엔  떳떳할까요  이대로 내가 세상을 살다  그냥 잊혀진다면  나는 난 너무 아프겠죠
20011217,밀크,무조건적인 사랑,female,댄스,-,-,-,SM엔터테인먼트,아무리 내가 너를 사랑한대도 너에게 맞춰주기란 너무 힘겨웠어 하지만 너는 너무 소중하니까 이 정도 어려움은 참아야지 다가오는 니 생일을 멋지게 보내려고 난 무척 열심히 일했어 오랫동안 니가 전에 잃어버린 전화기를 사주려고 난 매일 힘들게 일했어 그 시간 동안 하지만 너는 내가 밤늦게 다닌다고 매일 구박했어 정말로 너는 몰라 내가 널 얼마나 많이 생각하는지를 You don't know how much grief I'm going through Waiting for the relife to come been such a fool Don't know how to go about and make it all work out Still can't end it though cause you I can't live without 니 친구와 있을 때는 너의 기를 살려주려 난 니 말이면 다 순종했었어 얼마든지 니가 졸업하기 전에 뭐든 다해 주고 싶어 내 치장 같은 건 잊었어 어쩔 수 없이 하지만 너는 내게 바지만 입는다고 투정 부렸었지 아파 너무 아파 내 마음을 몰라주니까 너무 서러워 너무 아쉬워 정말로 너는 몰라 내가 널 얼마나 많이 좋아하는지를 나는 너를 좋아해 너무 좋아해서 뭐든지 너에게 주고 싶어했어 이제껏 너를 너무 사랑했지만 너에게 맞춰 주는 건 너무 힘들었어 하지만 너는 내게 정말 소중해 이 정도 괴로움은 참아야지 가끔 너의 고백에 감동해 너무나 기다렸던 만큼 그럴수록 내 맘은 네게로 다가가 성큼 하지만 넌 또 내게 소홀해져 버리고 상처 입은 나는 눈물 지워 나 홀로 남 몰래 나만의 사랑을 키워 어쩌다 한 번쯤은 그렇게 니 맘 몰라주는 내가 너무 미워 너 속을 태워 이렇게 되풀이하며 우린 사랑을 배워 너 그렇게 날 가끔 실망시키지만 무엇도 헤어질 만큼의 이윤 못돼 그럴 때면 항상 떠올려 널 맨 처음 만났던 그 때를 아무리 내가 너를 사랑한대도 너에게 맞춰주기란 너무 힘겨웠어 하지만 너는 너무 소중하니까 이 정도 어려움쯤은 지금껏 너를 너무 사랑했지만 너에게 맞춰 주는 건 너무 힘들었어 하지만 너는 내게 정말 소중해 이 정도 괴로움은 견뎌야지
20011217,밀크,All My Love For You,female,댄스,-,-,-,SM엔터테인먼트,"Woo yeh I wanna with you yeh yeh yeh yeh ha  I wanna feel your heart yeh yeh yeh ha  또 다시 하루가 끝나가고 오늘도 난 잠들 수 없어 내게 사랑을 얘기해 주던 그대 그날이 떠올라 (I`m your love) 도대체 지금은 그 어디에 그 누구와 무얼 하는지 벌써 며칠 째 아무 연락도 없어 (Feel my love) 날 향한 그대 그 마음을 날 보던 그날 그 눈빛이 모두다 거짓 만은 아니였겠지 내게로 돌아와 Oh baby 내 사랑은 그리 쉬운게 아냐 이젠 너무 커버렸어 돌아와 그대 만을 믿고 있던 나의 사랑을  아무렇지도 않게 내게 다가와 줄래  그렇게 너를 위한 시간으로 너를 위한 시도 Tell me your truth 많은 시간들을 기억해줄래 Pain all mine, Heart got main taint pain  I can say again When I say ""I love you"" ""I need you"" That mean`s forever love with you  날 향한 그대 그 마음을 날 보던 그날 그 눈빛이 모두다 거짓 만은 아니였겠지 내게로 돌아와 Oh baby 내 사랑은 그리 쉬운게 아냐 이젠 너무 커버렸어 돌아와 그대 만을 믿고 있던 나의 사랑을 Oh baby 언제든지 아무렇지도 않게 다시 내게 와준다면 영원히 헤어지진 않을 꺼야  All my love for you  Woo yeh I wanna with you yeh yeh yeh yeh ha  I wanna feel your heart yeh yeh yeh ha"
20011217,밀크,I Want You,female,댄스,-,-,-,SM엔터테인먼트,I'll Never Never Let you go 조금씩 너를 보여줘 나에게만 너를 알 수 있게 oh yeh 그렇게 널 간절히도 원했던걸 이제야 알게 됐어 처음에 느꼈던 내 맘을 너도 같다면 널 보여줘 널 위해 남겨둔 내 맘을 너 그렇게 외면하진 마 I want your love destiny You're a desting 너의 맘을 속이려 하지마 이대로 니곁에 oh in my heart 네 모든 것이 되고 싶어 I'll Never Never Let you go 처음에 느꼈던 내 맘을 너도 같다면 널 보여줘 널 위해 남겨둔 내 맘을 너 그렇게 외면하진 마 I want your love destiny You're a desting 너의 맘을 속이려 하지마 이대로 니곁에 oh in my heart 네 모든 것이 되고 싶어 I'll Never Never Let you go 늘 언제나 네 곁에 내 사랑을 두려 하지 않았니 두려워 하지는 마 이젠 네 곁에 내가 있어 I want your destiny 너의 맘을 속이려 하지마 이대로 니곁에 Oh in my heart 네 모든것이 되고 싶어 이대로 destiny oh yeh You're a destiny 너의 맘을 속이려 하지마 이대로 니곁에 oh in my heart 네 모든 것이 되고 싶어 I'll Never Never Let you I'll Never Never Let you go
20011217,밀크,Secret,female,댄스,-,-,-,SM엔터테인먼트,For your angel oh 내가 될거야 In to your love In to your heart 나를 느껴 널 향한 내 마음 조심스레 다가갈께 oh 작은 지갑 속의 나의 사진 니가 가지고 있어야만 해 yeh 항상 나만 바라볼 수 있게 나의 너 너의 나 이젠 될 수 있게 Listen to my love 기도하는 real my heart 아주 조심스럽게 느낄 수 있게 Yeah Every day For you 사랑하는 널 위해 이젠 나의 공간에 널 가두려 해 Love in love Dis isn't just a hint I thought you'd find it evident Hinting''s insufficient I'm aspring to make ya mine And our souls wish to entwine Sleepless night dream divine I don't want nobody buy you My love'll last though and through 날 바라봐 줘 늘 내 곁에 있어 줘 널 향한 내 맘 알아줘 그대뿐인걸 왜 몰라줘 방황하는 너의 맘 감싸 안 듯 지켜줄 내가 있어 네 안에 내 향기를 느껴 이젠 다른 누군 없는 거야 너의 곁엔 나만 있어야 해 항상 눈을 뜨는 아침에도 나만을 생각해 Never Change your love Listen to my love 기도하는 real my heart 아주 조심스럽게 느낄 수 있게 Yeah Every day For you 사랑하는 널 위해 이젠 나의 공간에 널 가두려 해 Love in love 느껴봐 너의 꿈속에 난 살아가고 있는걸 Felling love I wanna be with you 내 안의 너의 맘이 Listen to my love 기도하는 real my heart 아주 조심스럽게 느낄 수 있게 Yeah Every day For you 사랑하는 널 위해 이젠 나의 공간에 널 가두려 해 Love in love Listen to my love 기도하는 real my heart 아주 조심스럽게 느낄 수 있게 Yeah Take me in your dream Just to me 더 이상 너를 누구에게도 뺏길 수 없어 love for you
20011217,밀크,Reason,female,댄스,-,-,-,SM엔터테인먼트,식어버린 사랑에 이젠 너무 지쳐버린 나인데 어째서 너는 날 흔들어 놓는 거니 언제쯤 언제쯤 내 곁을 떠날 수가 있는 거니 이성에 눈뜰 때 내 꿈이 되어 버린 너에게 난 스쳐 가는 이중 하나 일뿐 이제야 현실을 알게됐으니 다행이야 언제나 항상 내 곁에 있어주기를 바란 건 아니야 바보 같은걸 작은 관심도 너에겐 어려웠니 You Get To Get Away Why Are You Saying Good Bye But Are You Still By My Side 느낌 없는 나 함께 할 순 없잖아 그렇게 Why Are You Saying Good Bye Nothings Gonna Change Love For You 이젠 날 놓아줄래 난 너를 만나서 사랑을 알게 됐지만 언제나 맴도는 건 너의 빈자리뿐 비로소 진심을 알게됐으니 난 다행이죠 언제나 항상 내 곁에 있어주기를 바란 건 아니야 바보 같은걸 작은 관심도 너에겐 어려웠니 You Get To Get Away Why Are You Saying Good Bye But Are You Still By My Side 느낌 없는 나 함께 할 순 없잖아 그렇게 Why Are You Saying Good Bye Nothings Gonna Change Love For You 이젠 날 놓아줄래 Why Are You Saying Good Bye But Are You Still By My Side 느낌 없는 나 함께 할 순 없잖아 그렇게 Why Are You Saying Good Bye Nothings Gonna Change Love For You 이젠 날 놓아줄래 Why Why
20011217,밀크,Wish,female,발라드,-,-,-,SM엔터테인먼트,너를 처음 본 그 날 이후로 나는 너에게 사로잡혔지 오랫동안 난 이 순간이 오길 기다렸다고 고백을 할까봐 Wanna Be Your Love Tonight Wanna Tell You How I Feel 네가 원한 건 뭐든 들어줄게 Can I Stay With You Tonight Can I Spend My Time With You Forever 언제까지나 I Need You 너도 나만큼 사랑하는 맘 표현해주면 행복할 텐데 나의 맘속에 내 곁에 계속 머무를 수 있게 부탁해 볼까봐 Wanna Be Your Love Tonight Wanna Tell You How I Feel 조심스럽게 날 보여주겠어 Can I Stay With You Tonight Can I Spend My Time With You Forever 언제까지나 I Need You 나에게 다가와 날 한번 안아봐 그저 느낌으로 사랑을 확인하면 돼 I Wanna Make You Feel Alright With Me I Wanna Make You Feel Alright With Me 너의 행복을 지켜줄 사람 바로 너 Wanna Be Your Love Tonight Wanna Tell You How I Feel 네가 원한 건 뭐든 들어줄게 Can I Stay With You Tonight Can I Spend My Time With You Forever 언제까지나 I Need You 간절하게 너의 사랑을 원하는 내 맘 모르니 My Every Wish You My Every Dream Some How I Wanna Wish
