년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20061212,블랙 비트,Without You,male,발라드,-,이소민,이소민,-,I got a somthing tell you someone anywhere whatever my only onelove my girl oh my girl 두눈에 널 긴머리에 수줍은 미소의 널 your bright eyes 내곁에 넌 스며들어간 너의 마음에 첨부터 넌 나의 운명인거라고 영원히 너만을 사랑한다고 고백하고 싶었지만 그러지 못했었나 나의 숨이 멎을거 같은 그대 미소 뒤로한채 너를 곁에 두지못해서 후회 했어 바보같이 그땐 내가 정말 미쳤었나봐 그래 내가 정말 아니였나봐 그대 곁에 가지못했던 그대 모습 뒤로한채 Oh Without you girl 단지 널 사랑할께 Oh Without you girl 원하는 날 그녀가 떠나고 텅빈 그 자리에 서서 그녀 이름 불러봐 아무도 없는 그곳에서 아주 천천히 내게 잡힐듯이 흘러간 니향기 터질것같은 맘은 빛 바랜 너의 사진안에 너와 함께 맞는 햇살의 기대어 너와 함께 하는 나의 생일도 하루 하루 상상해 널 늘 너와 함께라면 상상속에 너는 내게 말을 했지 잊지못한다고 아직 마음속에 나의 자릴 비운다고 참 지칠법도한데 아직 니가 생각나네 그래 바보같이 돌아오길바래 나는 니말대로 아직 어려 너무 보고싶네 보게 되길 되돌려줘 기억속엔 너 너와 나의 기쁜 그 시간 멈춰진 하늘 아래 말해 너를 이젠 영원히 그녀와 나 Oh Without you girl 단지 널 사랑할께 Oh Without you girl 원하는 날 Oh Without you girl 많이 아프다 해도 Oh Without you girl 사랑해 널 그녀를 기다려 너의 그리움 만으로 그녀 이름 불러봐 아무도 없는 그곳에서 Oh Without you girl Oh Without you girl
20060620,블랙 비트,Shake,male,댄스,-,신유,황성제,-,Ah DV 너를 볼 때면 다가갈 때 난 가슴 깊이 차오르는걸 너를 볼 때면 다가갈 때 난 가슴 깊이 차오르는걸 Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake 전혀 다른 세상 속을 나는 것 같아 오늘 함께한 이 시간이 매일 날 그대 곁에 둘래 내 머리에서 나의 발 저 끝까지 그대 것이길 처음도 아닌데 매일 새로운 그댄 자꾸 내 맘 가득해 제일 내가 바라던 그대와의 그 춤을 Shake Shake Shake Shake Shake Shake 그렇게도 그댄 예뻐요 매일 내게 그대가 속삭이며 말해요 Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake your body One more time Yo B to the B 천천히 나를 느껴봐 나를 감싸고 느낄 때마다 네 입술로 속삭여줄래 우유 빛의 하얀 그댈 담아둘래요 오래 오래 그댈 볼래요 지금 이 순간을 기억해줘요 절대 변해가면 안돼 알았죠 여린 가슴이 결코 아프지 않게 그대 사랑해줄거라고 제일 내가 바라던 그대와의 그 춤을 Shake Shake Shake Shake Shake Shake 그렇게도 그댄 예뻐요 매일 내게 그대가 속삭이며 말해요 Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake your body Take Me Take Me Shake it Shake it 오 아름다운 그대가 Take Me Take Me Shake it Shake it Wut Wut Com' On 스며들듯 빠져들듯 짜릿찌릿 전율 속에 Take me Shake it 부드러운 그대 입술만이 내게 행복만을 가져다주지 잠시 쉬어요 그댈 위한 맘 보여주고 싶어서 기다렸는걸 그래요 그대를 위해 I will Do it Let's Play Guitar 제일 내가 바라던 그대와의 그 춤을 Shake Shake Shake Shake Shake Shake 그렇게도 그댄 예뻐요 매일 내게 그대가 속삭이며 말해요 Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake your body 제일 내가 바라던 그대와의 그 춤을 Shake Shake Shake Shake Shake Shake 그렇게도 그댄 예뻐요 매일 내게 그대가 속삭이며 말해요 Shake Shake Shake Shake Shake Shake Shake Shake Shake Shake your body
20040629,블랙 비트,Don`t Tell Me,male,댄스,-,김태훈,황성제,-,상념어린 표정 난 읽을 수가 있어  Baby don't tell me now  어지러운 순간 상심은 내 차진데  Baby just turn around  진정 날 못 믿겠다고 뱉어진 말에  책임질 수 있는지  Don't tell me 네게  듣고 싶지 않은 걸  Don't tell me 네 맘 알면서도  Don't tell me 네게  듣고 싶지 않은 걸  너만큼 되바라진 이 세상    쓸데없는 변명 나 듣고 싶었는데  Baby just tell me now  예쁘기만 한건 다 시들어 질텐데  Baby just play around  진정 날 못 믿겠다고 뱉어진 말에  책임질 수 있는지  Don't tell me 네게  듣고 싶지 않은 걸  Don't tell me 네 맘 알면서도  Don't tell me 네게  듣고 싶지 않은 걸  너만큼 되바라진 이 세상  Don't tell me  네게 듣고 싶지 않은 걸  Don't tell me 네 맘 알면서도  Don't tell me  네게 듣고 싶지 않은 걸  너만큼 되바라진 이 세상    이젠 더 이상  아끼고 싶지 않은 마음뿐인걸  어쩜 그렇게 날 속이고  또 만나고 날 버리고  Don't tell me 네게  듣고 싶지 않은 걸  Don't tell me 네 맘 알면서도  Don't tell me 네게  듣고 싶지 않은 걸  너만큼 되바라진 이 세상  Don't tell me 네게  one two three four  never make true  Don't tell me 네 맘 알면서도  Don't tell me 네게  one two three four  never make true  너만큼 되바라진 이 세상
20031209,블랙 비트,Choice,male,댄스,-,배화영,황성제,-,Baby Alright 부족했던 잊길 바래 후회와 한숨만이 Just take my heart 아무것도 남지 않아 내 가슴속엔 너만의 차디찬 향기만이 너에게 편지를 쓰네 헤어지는 순간에야 네가 펼쳐볼 수 있도록 네에게 못한 말 숨겨둔 편지 속에 가라앉은 앙금들이 번져 있어 눈물까지도 하지만 Baby Alright 네겐 너무 부족했던  잊길 바래 내게는 후회와 한숨만이 Take my heart 아무것도 남지 않아 가슴속엔 너만의 차디찬 향기만이 너에게 사진을 보내 아름다운 시간들과 더 마주칠 수 없도록 너와의 추억들 오려낸 사진 속에 넌 사라지고 없었지만 마음속엔 남아있는걸 이렇게 Baby Alright 네겐 너무 부족했던 잊길 바래 내게는 후회와 한숨만이 Just take my heart 아무것도 남지 않아 가슴속엔 너만의 차디찬 향기만이 I just want you right now Bany you don'g need my love somehow I just want you right now Bany you don'g need my love somehow I just want you right now Bany you don'g need my love somehow I just want you right now Bany you don'g need my love somehow 이별 후에 나도 익숙해질까 물론 너만큼은 아니겠지만 Baby love 아무렇지 않게 볼 수는 없을거야 아주 많은 시간이 흐른다해도 이제는 Baby Alright 네겐 너무 부족했던 잊길 바래 내게는 후회와 한숨만이 Just take my heart 아무것도 남지 않아 가슴속엔 너만의 차디찬 향기만이 Baby Alright 네겐 너무 부족했던 잊길 바래 내게는 후회와 한숨만이 Just take my heart 아무것도 남지 않아 가슴속엔 너만의 차디찬 향기만이 Baby Alright
20030623,블랙 비트,Give Me A Chance,male,댄스,-,Jamie,박성수,-,Z Fact Style Black Beat Time 느껴봐 come on 누군가에게 전해주려해 떨리는 가슴에 왜 이렇게 몸에 또다시 흐르는 전율을 나는 원해 가까이 있어도 내곁에 있어도 자연스레 느껴지는 흐뭇함을 말해 또다시 이런 감정들은 나에게 두 번 다시 없을꺼야 내 인생에 이렇게 또 나 널 사랑한다 말해 Oh baby Give me a chance that I love with you 그렇게 떠난다는 말은 하지는마 니가 뭘 원하는지 말해줘 난 알 수가 없어 날 아프게 하진마 가지 말라고 또 말해봐도 지금 넌 내 눈을 피하고 있잖아 누구보다 널 믿었던 나한테 어떻게 이해할 순 없어 눈치도 없이 전혀 난 몰랐어 그렇게 생각할 줄은 움직일 수도 할말도 잃어버렸어 미칠 것 같아 Oh baby Give me a chance that I love with you 그렇게 떠난다는 말은 하지는마 니가 뭘 원하는지 말해줘 난 알 수가 없어 날 아프게 하진마 Give me a chance Give me a chance Give me a chance I can't get you so set me free oh yeah 미안하다는 말도 없이 그냥 헤어지잔 너의 말이 세상 모든게 날 숨막히게 했어 시간이 멈춘 것만 같아 H E L L O Hello 언제나 봐도 반가워 너를 볼 때 나에겐 행복 소원한 바는 이런 거 지금 이대론 내가 느끼는 감정을 너와 함께 느꼈으면 좋겠어 Sing this song white me 그대여 to be your man 행복할 거야 Listen again uh 당신의 남자가 된다면야 Oh baby Give me a chance that I love with you 그렇게 떠난다는 말은 하지는마 니가 뭘 원하는지 말해줘 난 알 수가 없어 날 아프게 하진마 Please Baby 한 번 더 기회를 줘봐 더이상 내게 이런 상처 주지는 마 이대로 너를 떠나 보낼 순 없어 다시 내게로 와 널 사랑할 수 있게 Give me a chance that I love with you
20021201,블랙 비트,들어볼래요,male,발라드,-,태훈,황성제,-,밤하늘에 하얀 눈이 반짝이는 우리 눈 안에 가득 쌓이고 얼어붙은 두 손을 불어가며 조금 멀게만 느꼈었던 서로의 따스함이 전해지죠 깊은 밤 입김으로 하얗게 창문 녹이죠 멀리 보이나요 저 하늘의 별처럼 그 누군가의 가슴에 따스한 울림 전할 수 있도록 사랑을 시작해봐요 우리와 그대가 손을 먼저 내밀 때 사라지는 아픔들 함께 나눠봐요 그대 마음으로 변해 가는 이 세상 바람 불어와도 내겐 따뜻함이 남았죠 추위 가득해도 그대의 온기가 전해지는 이 순간 부디 잡은 손을 영원토록 놓지 말아요 저기 우리 얘기 좀 들어볼래요 Yo 그대 내게 지금 다가와 같이 걸어가 내게 있는 사랑 단하나 가져가 따스함을 느낄 수 있게 기다림에 지치지 않게 한해 또 가기 전에 사랑을 실천 해 까만 밤 촛불아래 하나 둘 모여들었죠 소원 빌었나요 그대 마음 속에도 불을 밝혀 보아요 세상 모든 곳 비출 수 있도록 사랑을 시작해봐요 우리와 그대가 손을 먼저 내밀 때 사라지는 아픔들 함께 나눠봐요 그대 마음으로 변해 가는 이 세상 바람 불어와도 내겐 따뜻함이 남았죠 추위 가득해도 그대의 온기가 전해지는 이 순간 부디 잡은 손을 영원토록 놓지 말아요 함께 나눠봐요 그대 마음으로 변해 가는 이 세상 바람 불어와도 내겐 따뜻함이 남았죠 추위 가득해도 그대의 온기가 전해지는 이 순간 부디 잡은 손을 영원토록 놓지 말아요 함께 나눠봐요 그대 마음으로 변해 가는 이 세상 바람 불어와도 내겐 따뜻함이 남았죠 추위 가득해도 그대의 온기가 전해지는 이 순간 부디 잡은 손을 영원토록 놓지 말아요
20020612,블랙 비트,Make It High,male,댄스,-,KENZIE,KENZIE,-,난 참고서 이겨 내고서 여기서서 지켜보고 있겠어 참 어려웠던 시간들을 제껴내고 I dig it up now Yo Take it to the verse 수많은 시간 지나온 나의 지친 모습을 아무 말 없이 감싸 안아줬지 소리도 없이 다가와 나를 멈추게 했던 날 바라보는 눈빛은 바로 너였던 걸까 강렬한 내 눈에 비치는 것 없이 결코 느껴지는 것 없이 추억 없이 너무나도힘들었던 기억 아픈 너의 기억 Baby I miss you 항상 나를 지켜왔던 먼 빛 속으로 널 이제 데려갈께 I wanna take this higher 그 누구도 날 멈출 수는 없어 You wanna make this better 널 위해 난 더 강해지고 싶어 Uh Uh Uh I take it to the next 올라가는 나를 비웃지만 Who's the best 나를 믿고 나를 잡고 박차고 나와 Everybody alr lght all night hold night 이제부터라도 내 속에 찌꺼기를 버려 가슴속에 남아있는 가식따위 모두 지워버려 귀를 기울여 나를 느껴보라 보나마나 깨끗하게 끝나 Say little rise 언제부턴가 시간은 존재하지 않았지 지친 모습에 고개를 숙였어 하지만 세상 어딘가 알 수 없는 힘으로 아무리 멀리있어도 우린 이어지는데 이제 날 기다리던 순간은 다가와 날아오르게 해 I wanna take this higher 그 누구도 날 멈출 수는 없어 You wanna make this better 널 위해 난 더 강해지고 싶어 I just wanna fly 전하고 싶어 나를 믿어줘 You can make it right 처음처럼 나를 기다려줘 I wanna take this higher 그 누구도 날 멈출 수는 없어 You wanna make this better 널 위해 난 더 강해지고 싶어 I wanna take this higher 그 누구도 날 멈출 수는 없어 You wanna make this better 널 위해 난 더 강해지고 있어
20020301,블랙 비트,Intro (Can`t You Feel),male,발라드,-,-,-,-,It's love I know 그대 그리며 기도해요 Can't you feel my love It's all for you Baby because of you 그대 내곁에 잠이 들죠 forever
20020301,블랙 비트,The Fan,male,발라드,-,-,-,-,힘들게 걸어 왔었던 수많은 날들엔 항상 날 지켜준 그대가 있어 날 믿어주었던 그대 시간이 지나도 내곁을 떠나지 않았던 널 위해 노래할게 참아왔던 나의 마음을 Share my dream with you 널 위해 했던 나의 노래는 Till the end of time 내 맘 깊은 곳에 Share my dream with you 널 사랑한 나의 마음은 Till the end of time 내겐 오직 하나 너뿐인걸 All those hard times baby I guess gotta get another friend to share my everlasting pain 젖어있는데 In the rain cuz a lovable homie 진심으로 사랑하는 friend is 내게 바로 지금 필요한건 다름 아닌 천사같은 그대 너무나도 감사해요 Anybody can I be assisted with a little bit of love and intimate affection I don't wanna be thinkin and reminiscin memories that I'll never be missin 그대 함께 나눠요 우리의 꿈을 언제까지라도 그대 나와 함께 모두 다 같이 만들어 가요 주윌 맴도는 너의 마음은 내 지친 영혼을 달래려 하지 내게 힘이 되어준 그대 나 항상 기도할께 너만을 위해 너를 사랑해 Share my dream with you 널 위해 했던 나의 노래는 Till the end of time 내 맘 깊은 곳에 Share my dream with you 널 사랑한 나의 마음은 Till the end of time 내겐 오직 하나 너뿐인걸
20020301,블랙 비트,날개,male,댄스,-,-,-,-,내게 오던 날에 너의 웃음과 미소와 향기는 세상의 모든 움직임을  멈추게 했다 햇살의 내림도 바람의 흐름도 꽃들의 향기도 오로지 널 향해 있을뿐 나 또한 널 향해 있었던  그 중 하나 그렇게 널 원해버렸다 널 사랑한 동안 나는 날 잃었다 이젠 영원히 널 잃어버렸다 나의 상처까진 나의 눈물까지는 나의 눈물까지는 이미 돌아선 넌 생각조차 하기 싫겠지 생각조차 하기 싫겠지 언제부터 어디부터 넌  엇갈려 왔는지 내가 먼저 널 버려주길 바래왔던 너의 모습들 잔인한 눈부심에 눈을  잃었었는지 이렇게 초라해진 나로 남겨져 어디로 가야 하는지  가야 하는지 마치 미로속을 헤매이고 있는데 사랑은 모두 끝났어 무엇이 너와 날 어긋나게  했는지 왜 이렇게 너는 날  아프게만 하는지 어떻게 우리의 그많은  추억을 버리고 너는 지금 내 앞에  미소짓고 있는지 함께한 행복한 기억들도 신앞에 맹세한  너와 나 약속들도 이미 변해버린 마음앞에 무너져 내릴 뿐 내가 할 수 있는 것은  아무것도 없어 그저 나의 곁을 그저  스쳐갔을뿐 그저 스쳐갔을뿐 항상 사랑이란 슬픔 쪽으로만 흐르지 슬픔쪽으로만 흐르지 사랑했던 전부였던 내  철없는 기억들 가슴속에 내 생각속에  잡아둔 널 이제 보낼게 잔인한 눈부심에 눈을  잃었었는지 이렇게 초라해진 나로 남겨져 어디로 가야 하는지  가야 하는지 마치 미로속을 헤매이고 있는데 사랑은 모두 끝났어 난 아직도 돌아선 너의 그림자를 밟고 있다 더 이상 움직일 수 없도록 내게서 떠나갈 수 없도록 시간이 거꾸로 흐르기를 하지만 넌 끝내 떠났다 신은 날 버렸다 나는 왜 상처들을 건드리고  있는지 독처럼 번져가는 너의 기억을 너에게 필요했던 건 사랑아닌 날개였을 뿐인데 사랑은 모두 끝나버렸어
