년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20010529,에스지,Erazer,female,댄스,-,-,-,-,내게 머물지마 사라져 하얀 맥주처럼 지워져 너를 사랑했던 기억마저 없으니까 힘이 들어 버틸수 없어 속물처럼 살아가는건 자유롭게 느끼고싶어 바람처럼 날고싶어 늘 그런 네모습 이제 가식적인 눈물은 싫어 한번 더 솔직해 넌 자유로울테니까 나를 가지려고 하지마 남은 불빛들이 꺼져가 믿을수 없어 너의 거짓을 참을수 없어 내게 머물지마 사라져 하얀 맥주처럼 지워져 너를 사랑했던 기억마저 없으니까 늘 그런 네모습 이제 그런 너를 볼수가 없어 돌아가 아주 가 넌 잊혀져 갈테니까 나를 가두려고 하지마 남은 불빛들이 꺼져가 믿을수 없어 너의 거짓을 참을수 없어 내게 머물지마 사라져 하얀 맥주처럼 지워져 너를 사랑했던 기억마저 없으니까 네게 기대했던 바램도 이제 모두 지워버렸어 이렇게 끝내 잊혀지는걸 바랬던거니 멀리 자유롭게 날아가 너의 불빛들을 따라가 너를 사랑했던 내가 먼저 잊을테니
20010529,에스지,누구야,female,댄스,-,-,-,-,시도때도 없이 멍해지고  쓰라린 바람 하나 가슴을 지나가지  그럴때면 항상 버릇처럼  흘러내린 눈물속에 너의 모습  그렇게 난 너와의 이별만큼은  받아들일 수 없는가봐  아직 나의 사랑 아직 너의 향기  그 속에 살아가고 있으니까  누구야 누군지 말해봐 그건  예전의 내 모습 아니잖아  차라리 모든걸 지우고 싶어  너 하나 잊을 수 없다면  달라진건 이별뿐야  다시 혼자 됐을뿐야  이런 이별 없는 사랑 찾고 말꺼야 난  쉽진 않을거야 그런 사랑  어차피 이별 없는 사랑이란 없으니  이젠 다시 누굴 만난대도  너와 같은 사랑 할순 없을거야  그래도 난 바람만 머무는 가슴  너의 빈자릴 채워야 해  아직 너의 기억 아직 너의 추억  아마 난 그리움에 지쳤나봐  누구야 누군지 말해봐  그건 예전의 내 모습 아니잖아  차라리 모든걸 지우고 싶어  너 하나 잊을 수 없다면  그 어차피 나에게 너 (넌 나에게 넌)  또 나에게 난 (또 나에게 난)  이미 끝나버린 사랑이라고 말했었지  그런 내 혼란속에  널 마지막으로만나보려 했어  내 맘속에 너를 정리하려 했어  하지만 너를 만난순간 맘이 변했어  니 품에 안겨있는 그녀  누구야 내자릴 차지한 그애  나처럼 영원을 약속했니  아니야 언젠간 알게 될거야  사랑은 바로 나라는 걸  누구야 누군지 말해봐  그건 예전의 내 모습 아니잖아  차라리 모든걸 지우고 싶어  너 하나 잊을 수 없다면  (아니야) 달라진건 이별뿐야  (이렇게) 나는 너 아니면 안돼  (나 이제 ) 니가 다시 돌아 오길  기다릴꺼야 난 -
20000728,에스지,Intro,female,댄스,-,-,-,-,-
20000728,에스지,누구야 (Original Ver.),female,댄스,-,-,-,-,시도때도 없이 멍해지고  쓰라린 바람 하나 가슴을 지나가지  그럴때면 항상 버릇처럼  흘러내린 눈물속에 너의 모습  그렇게 난 너와의 이별만큼은  받아들일 수 없는가봐  아직 나의 사랑 아직 너의 향기  그 속에 살아가고 있으니까  누구야 누군지 말해봐 그건  예전의 내 모습 아니잖아  차라리 모든걸 지우고 싶어  너 하나 잊을 수 없다면  달라진건 이별뿐야  다시 혼자 됐을뿐야  이런 이별 없는 사랑 찾고 말꺼야 난  쉽진 않을거야 그런 사랑  어차피 이별 없는 사랑이란 없으니  이젠 다시 누굴 만난대도  너와 같은 사랑 할순 없을거야  그래도 난 바람만 머무는 가슴  너의 빈자릴 채워야 해  아직 너의 기억 아직 너의 추억  아마 난 그리움에 지쳤나봐  누구야 누군지 말해봐  그건 예전의 내 모습 아니잖아  차라리 모든걸 지우고 싶어  너 하나 잊을 수 없다면  그 어차피 나에게 너 (넌 나에게 넌)  또 나에게 난 (또 나에게 난)  이미 끝나버린 사랑이라고 말했었지  그런 내 혼란속에  널 마지막으로만나보려 했어  내 맘속에 너를 정리하려 했어  하지만 너를 만난순간 맘이 변했어  니 품에 안겨있는 그녀  누구야 내자릴 차지한 그애  나처럼 영원을 약속했니  아니야 언젠간 알게 될거야  사랑은 바로 나라는 걸  누구야 누군지 말해봐  그건 예전의 내 모습 아니잖아  차라리 모든걸 지우고 싶어  너 하나 잊을 수 없다면  (아니야) 달라진건 이별뿐야  (이렇게) 나는 너 아니면 안돼  (나 이제 ) 니가 다시 돌아 오길  기다릴꺼야 난 -
20000728,에스지,Birthday Kiss,female,발라드,-,-,-,-,촉촉한향에 나만이 축복받고 싶은 Birthday night 따뜻한 불빛아래 친구들 모두 모여 재잘대고 있죠 하지만 내 맘은 어젯밤 내 친구가 수줍은 듯이 말한 너무나 달콤하게 느껴지는 Good night kiss 케익위에 놓인 예쁜 촛불들을 눈감고 소원을 빌고끄라 말하죠 모두들 내 기대를 알고 있을까 살며시 날 설레이게 하는 Birthday kiss Imagination 꿈같은 시간 레몬향이 가득한 너의 그 자리를 내 가슴속에 난 채우고 있죠 소리없이 더 깊은 나의 사랑속으로 오늘 따라 넌 왜 이런지 날 보고 바보 같은 웃음만 짓고 날 따라와 머리를 몰래 만지고 뭔가 할말이 있다는 듯 이런 이상한 행동에 두근거리는 내 맘은 왜 이럴까 빙글빙글 돌려 대는 행동 말고 남자다운 모습으로 다가와 내 꿈속에 숨쉬는 널 사랑해 언제나 날 위해 웃고있는 니 모습 쵸컬릿 같이 달콤한 너와의 추억 영원히 간직하고 싶은 나의 Birthday kiss Imagination 행복한 시간 와인향이 가득한 너의 그 입맞춤 내 가슴속에 난 채우고 있죠 소리없이 더 깊은 나의 사랑속으로 오랜전부터 간직하고 싶던 너만의 그 향기가 스무살 설레임 그 속으로 들어와 이제는 나와 함께 One night One night Kiss One night One night Kiss 너의 눈동자속에 나의 모습 너무나 행복해 보여 나만보여 겨우 지금 나 처럼 내 눈속에 너의 모습 바라보며 행복해 하고 있는거니 그런거니 우리함께 앞으로 나와함께할 너무나 많은 시간 행복한 날들을 위해 두손모아 기도해 우리 둘만의 사랑의 약속 우리의 마음속 영원히 간직하길 너에게 간절히 바래
20000728,에스지,Eraser = Born To Kill,female,댄스,-,-,-,-,내게 머물지마 사라져 하얀 백지처럼 지워져 너를 사랑했던 기억마저 없으니까 힘이 들어 버틸 수 없어 속물처럼 살아가는 건 자유롭게 느끼고 槁?바람처럼 날고 싶어 늘 그런 네 모습 이제 가식적인 눈물은 싫어 한번 더 솔직해 넌 자유로울테니까 나를 가두려고 하지마 남은 불빛들이 꺼져가 믿을 수 없어 너의 거짓을 참을 수 없어 내게 머물지마 사라져 하얀 백지처럼 지워져 너를 사랑했던 기억마저 없으니까 늘 그런 네 모습 이제 그런 너를 볼수가 없어 돌아가 아주 넌 잊혀져 갈 테니까 나를 가두려고 하지마 남은 불빛들이 꺼져가 믿을 수 없어 너의 거짓을 참을수 없어 내게 머물지마 사라져 하얀 백지처럼 지워져 너를 사랑했던 기억 마저 없으니까 네게 기대 했던 바램도 이제 모두 지워 버렸어 이렇게 끝내 잊혀 지는 걸 바랬던거니 멀리 자유롭게 날아가 너의 불빛들을 따라가 너를 사랑했던 내가 먼저 잊을테니
20000728,에스지,Chaos,female,댄스,-,-,-,-,대체 뭐야 내앞에 있는너 낯설게만 보여 왜 내모든게 탐탁치 않은 듯 쓰디쓴 미소만 yeah 모르겠어 나에게 생긴일 모든 것이 혼란스러워 우리둘이 너무나 아꼈었던 그런날이 있긴했는지 아니야 그럴리 없겠지 말도 안되는 악몽일거야 이꿈이 끝나고 나면 난 웃을거라고 그렇게 말해줘 네가 잠시 헤메는 것 뿐야 그 모든 것이 네게 있어 잘못된건 아냐 니가 가는 그 길은 아니란걸 이 끝이 틀리단걸 날 떠날 수 없다는 걸 잊을 수도 없다는걸 너도 알걸 충분히 느끼고 있는걸 나는 믿는걸 니가 없는 의미없는 하루하루 또 두루두루 가루 가루처럼 부서지는 것들 무너지는 것들 날 걱정하지마 날 슬퍼하지마 넌 그냥 그냥 돌아오면 돼 너의 맘을 어떻게 해서든 돌리고만 싶어 왜 내 눈물도 충분치 않은 듯 차가운 눈길만 yeah 못 느꼈니 움츠린 내어깨 모든것이 너 때문이야 아무걱정 않은 채 웃어댔던 그런 날이 있긴 했는지 아니야 그럴리 없겠지 말도 안돼는 악몽일거야 이 꿈이 끝나고 나면 난 웃을거라고 그렇게 말해줘 나 사실 자신없어 널 잊는다는게 이미 떠난 널 난 못보내 잡고 있는건 아닐까 아니야 그럴 리가 없어 길게 느껴지는 악몽이야 이꿈이 끝나고 나면 더 행복할거야 그렇게 믿을게
20000728,에스지,몽유애,female,발라드,-,-,-,-,아직도 믿을 수 없어 그대 이 세상에 없는 걸 올수도 갈수도 없는 먼 곳 에 너는 가버렸지만 그대여 내 지친 영혼에 한숨 섞인 목소리 들리나요 새벽하늘에 창문을 열어 기다리고 기다려 그리고 있지만 다신 볼 수 없기에 그대 사랑에 난 지쳐가죠 우리의 추억만으로 살아갈께요 참을 수 있어요 매일밤 그대 영혼 찾아갈께요 모두 잊혀질까 두려워 지워질까 두려워 하루종일 그대만을 생각하지만 이제 조금씩 아픔속에 사랑하는 그대가 지워져요 미안해요 저기 멀리 그대가 보여요 나를 바라보며 하얗게 웃고 있죠 그대 내게 오라 어서 다가오라 창백한 손을 내밀지만 너무 투명하기에 난 잡을 수 없죠 날아올라 그대 손잡고 이 순간만을 얼마나 많이 기다렸는지 지금 이렇게 그댈 만났다는게 꿈이지만 너무 행복하다고 바람에 너의 향기 실려와 그리웠던 맘에 반가웠던 맘에 난 또 다시 바보처럼 눈물이 시린 내 맘을 안아준 그대 이제 걱정하지 말아요 천사같은 그대 내맘속에 살아있으니
20000728,에스지,쉿 (Original Ver.),female,댄스,-,-,-,-,슬픈영화가 상영되면 주인공 처럼 눈물이 핑 도는 건지 주위에 모든 사람들 나와 같은 공감대를 느껴 남자 친구는 너무 한심해요 왜 영화를 보면 잠을 자는 건지 영화가 끝날 때면 꼭깨어나 하품으로 시선을끌죠 친구와 연인들은 모두다 예쁜 색깔에 옷을 입고 나왔어요 닮은 것 하나도없는 우리 둘만 바보가 된것같아 약속시간엔 매일 늦게와 아무일도 없었던것처럼 웃는 네게 오늘 화를 냈어 도대체 몇번째 냐고 하지만 감정 아니야 충고였는걸 니가 싫어 화낸건 절대 아냐 바보처럼 친구들이 부러워서 한번 해본소리니까 무더운 여름밤이 나를 찾아왔어요 몸도 뚱뚱 뱃살 뚱뚱 밥상앞에 무릎을 꿇었죠 다이어트에도 꼼짝않는 뱃살 이러다가 미쳐 돌아 감당할 살과의 전쟁 방콕가자 약속시간엔 매일 늦게와 아무일도 없었던것처럼 웃는 네게 오늘 화를 냈어 도대체 몇번째 냐고 하지만 감정 아니야 충고였는걸 니가 싫어 화낸건 절대 아냐 바보처럼 친구들이 부러워서 한번 해본소리니까 우리가 만난지 백일째 되는 오늘 난 설레는 가슴으로 화장을했죠 그댄 무심코 던진 말 한마디는 아침 잘못 먹었느냐고 그 흔한 스티커 사진도 없고 늘 집엔 바래다 준적도 없지만 그대에겐 나 뿐인걸 믿어요 우리 사랑 영원할거란걸 Forever 친구들과 함께 모인 노래방에서 자꾸만 빼는 너를 봤지 한심한 생각에 마이크를 뺏고 야 집어쳐 노랠 못 해도 맘속으론 알죠 그대에겐 나뿐이라는 것을 눈빛만으로 느낄 수가 있죠 사랑한다는걸 쉿
20000728,에스지,Love Letter,female,발라드,-,이제이,이종윤,-,뜻밖에 너의 관심에 내가 엉뚱한 상상을 했었던 걸까 포근한 너의 어리숙한 말과 귀여운 니 느낌에 난 반했는걸 멍하니 창밖을 보던 니가 왜 이리도 눈이부셔 보이는지 끌리는 내마음을 어쩔수가 없어 너와 함께 있고 싶은거야 하지만 넌 내게 별 관심없나봐 친구들 앞에 니얘길했는데 꿈속에서라도 입 맞추고 싶어 영화 속 얘기처럼 아름답게 널 향한 내 사랑이 변하지 않게 나를 더 포근히 안아줘 그대와 함께 솜사탕 처럼 달콤한 사랑할거야 관심없는 척 네게 튕기는건 나를 좀더 너의 기억에있게 너 꼭 갖고 싶어요 꾸밈없는 나의 솔직한 바램일뿐 하지만 넌 내게 별 관심없나봐 친구들 앞에 니얘길했는데 꿈속에서라도 입 맞추고 싶어 영화 속 얘기처럼 아름답게 널 향한 내 사랑이 변하지 않게 나를 더 포근히 안아줘 그대와 함께 솜사탕 처럼 달콤한 사랑할거야 잠시 눈을 감고 하늘을 봐요 아름다운 우리의 사랑얘기가 멀리 수평선 넘어 들려오면 혼자 울고있지 않도록 나를 지켜줘 널 향한 내 사랑이 변하지 않게 나를 더 포근히 안아줘 그대와 함께 솜사탕 처럼 달콤한 사랑할거야
