년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20021207,엑스라지,사랑은 없다,male,발라드,-,-,-,-,그녀를 사랑하고 너무 힘든 나 그녀를 아름답게 보내줘야해 그녀야 나보다도 나은 사람과 행복하게 잘살아가야해 너를 보내는게 너무 슬프구나 남잔 나의 사랑 방식이지 그래도 니가 처량하구나 부디 좋은 사람 만나기를 너와 처음 만나 행복했을때 너를 안아 주며 사랑했을때 너와 영원 하길 기도했을때 그때 그 기억에 눈물이 아마 너도 지금 울고 있겠지 나보다도 심한 슬픔 속에서 그렇지만 일년이 지나고 나면 다시 편해지고 좋아질걸 벌써 몇년이 흘러갔겠구나 어디서 어디에 있는지 가끔은 내 생각을 하는지 바보같은 생각으로 살아 너와 처음 만나 행복했을때 너를 안아 주며 사랑했을때 너와 영원 하길 기도했을때 그때 그 기억에 눈물이 아마 너도 지금 울고 있겠지 나보다도 심한 슬픔 속에서 그렇지만 일년이 지나고 나면 다시 편해지고 좋아지걸 그래 더 이상 너를 찾는건 추억을 슬프게만 해 이제 이렇게 되길 바라며 그리며 잊어버릴께 아마 너도 지금 울고 있겠지 나보다도 심한 슬픔 속에서 그렇지만 일년이 지나고 나면 다시 편해지고 좋아질걸
20021207,엑스라지,행복해라,male,댄스,-,-,-,-,그 여자에겐 좋은일들만 행복하게만 아름답게만 내사랑에게 다가올 이별만큼은 그늘이 없는 저 태양처럼 오늘도 너의 생각에 슬퍼서 너의 기억으로 울지만 이내 또 사라지면 가슴 아픈사랑 그게 나인걸 그렇게 너의 그 모습 수줍던 눈빛 촉촉한 입술 그느낌 이제는 내가 더 이상 바래서는 안돼는 꿈인걸 알지만 언젠가 함께 갔었던 바다와 너와 지어가던 대지와 처음 너와의 입맞춤 모두 어제 얘기같은걸 이젠 딴사람 품에 안길 니가 나의 눈물되어 흘러도 그때 날 비켜 가서 행복한 거라면 그걸로 됐어 정말 그럴껄 우리의 슬픔을 그이별 시간잊을려나 그대자꾸파 내맘아파 눈에맺힌 눈물이 나와 하루 일년 내평생 그대 그리며 살아 그녀는 나의 첫사랑 첫이별 사랑한것만큼 슬퍼도 너에 발끝을 보면서 널 힘없이 떠나 보냈지 이젠 딴사람 품에 안길 니가 나의 눈물되어 흘러도 그때 날 비켜가서 행복한 거라면 그걸로 됐어 나 이렇게 살지만 너의 기억에 울지만 넌 어디를 가든지 너만은 행복해 오늘도 담배연기에 그려진 너의 기억으로 울지만 이내 또 사라진건 가슴 아픈사랑 그게 나인걸 내일도 너의 생각에 슬퍼서 너의 기억으로 울지만 이내 또 사라진건 가슴아픈 사랑 그게 나인걸 그 여자에겐 좋은일들만 행복하게만 아름답게만 내사랑에게 다가올 이별만큼은 그늘이 없는 저 태양처럼
20021207,엑스라지,피도 눈물도 없이,male,댄스,-,-,-,-,널 사랑했단 이유로 이제 내가슴이 찢어져 나 어떡해야 좋을 지 몰라 지금까진 분명 좋았지 갑작스런 너의 변심 앞에서 난 피눈물을 흘리며 다 잊으리라 다짐하지만 차라리 솔직하게 말해줘 너를 원망하지않게 이렇게 날 차버린 널 깨끗이 잊어버리게 이제와 잡아도 소용없어 피도 눈물도 없이 떠나버린 너 나를 잡지 않아 처량한 비라도 내린다면 내가 이땅에 태어나 가장 슬픈 날은 오늘이 될거야 사나이란 이름 하나로 너 하나를 위해 살아온 시간 더 잘해줄걸 후회만 내 가슴 속에 남아있지만 무너진 자존심에 내 모습 너무 비참하지 않게 눈물쯤은 흘려주길 기대한 내가 바보야 이제와 잡아도 소용없어 피도 눈물도 없이 떠나버린 너 나를 잡지 않아 처량한 비라도 내린다면 내가 이 땅에 태어나 가장 슬픈 날은 오늘이 될거야 달려가 다시 널 안고 싶어 아무 느낌도 없이 돌아서는 너 나를 보지않아 그래봐 너도 좀 아플거야 혹시 그리워 내 모습 보고 싶어지면 내게로 돌아와 돌아와 돌아와
20021207,엑스라지,So Long,male,댄스,-,-,-,-,나나나 널 떠나 보낸 후에 나 후회하며 얽매이며 한 맺혀 외쳐봐 나 눈물에 목이 메어와 기나긴 그림움에 내 영혼마저 사라져도 그대 이름 불러봐도 지금 내 삶 끝난데도 Now now check it Don't break it Our relationship is over now But I want you back now I need you back I miss you much Yo I'm in da clutch I want you touch but I can't do much So Long 무슨 일이야 너 내 앞에 슬픈 얼굴로 찾아와 우는건 행복할 거라 나를 떠난 네가 이런 모습으로 나타나 지금이라도 너 내 곁에와 머물러줘 지금 모습 그대로 맡겨줘 눈물과 아픔 어떻게든 할테니까 나에게 지금보다 행복한 훨씬 너다운 모습을 눈물이 없는 예전의 그 기억을 난 찾게 할거야 사랑해 내가 곁에 있어 언제나 그사람 잊어 모든 것을 버려 울고 싶을 때는 울어 내 어깨에 기대고 가슴에 안겨서 나의 바람은 언제나 네가 처음처럼 웃을 수 있는 그런 여자로 돌아오기를 So long 지금 only 잠시 떠나있을뿐 This song 너를 위해 기억속에 남겨 줄뿐 So soon pretty soon 우리 다시 만날뿐 이 바쁜 나날들이 지날뿐 내모습 잠시 사라지더라도 나 떠나가도 내 환영도 기억해봐도 Mo doe that I flow mad flow You'll know what you know 나 다시 돌아오니까 어려서부터 내가 정에 약해 살아왔어 너를 너무 사랑해서 네가 상처주기 싫어서 보냈었지만 내게 돌아온 너는 정신없이 울어댔어 싫어 그에게 멀리 떨어져 내게 돌아와줘 지금보다 행복한 훨씬 너다운 모습을 눈물이 없는 예전의 그 기억을 난 찾게 할거야 사랑해 내가 곁에 있어 언제나 그사람 잊어 모든 것을 버려 울고 싶을 때는 울어 내 어깨에 기대고 가슴에 안겨서 나의 바램은 언제나 네가 처음처럼 웃을 수 있는 그런 여자로 돌아오기를 맡겨줘 눈물과 아픔 내가 어떻게든 할테니까 가슴에 나에겐 네가 전부라는걸 알아줘 제발 사랑해 내가 곁에 있어 언제나 이대로 너와 영원할꺼 니까 울고 싶을 때는 울어 내 어깨에 기대고 가슴에 안겨서 나를 만나서 달라진 너를 보고싶어 지금보다 훨씬 더 나은 너의 모습을 영원히 너만을 내가 사랑하겠어
20021207,엑스라지,어차피,male,댄스,-,-,-,-,"날 사랑한거야 너 그럴거야 너 널 위한 준비 우린 사랑했지 그렇다고 말해줘 어차피 떠날 너인데 사랑했을 때 만큼 우린 좋았어 lonely lonely 처음 만날 때 only only 서로 사랑해 lonely only lonely 영원하기를 우니 우니 뭐가 슬프니 우리 이제 헤어지니 왜 함께 할 때 이리 좋은데 가니 날 사랑한거야 너 그럴거야 너 널 위한 준비 우린 사랑했지 그렇다고 말해줘 어차피 떠날 너인데 사랑했을 때 만큼 우린 좋았어 Cause I feel lonely lonely 우리 가슴에 기억으로 남아주길 우리 사랑했던 추억 아름다웠어 I was maxin, relaxin watching TV Thinking about that time when you said you wanted to leave me Now I'm ready My nerves are steady Before you leave baby talk to me please Since we're through answer one thing Was our love truht or just a little fling Now keep this in mind before the singer sings You're my queen and I'll always be your king 날 사랑한거야 너 그럴거야 너 널 위한 준비 우린 사랑했지 그렇다고 말해줘 어차피 떠날 너인데 사랑했을 때 만큼 우린 좋았어 널 사랑한거야 널 사랑했어 널 바보처럼 그저 사랑햇어 사랑했다 말해줘 어차피 떠날 너인데 사랑했을 때 만큼 우린 좋았어"
20021207,엑스라지,해&해,male,댄스,-,-,-,-,-
20021207,엑스라지,Forget About Love,male,댄스,-,-,-,-,"깨트려 너의 두려움 사랑이 필요해 It's gotta be you 주사윌 이제 던져봐 사랑이 다가와 운명에 너를 맞겨봐 너자신을 믿어 It's gotta be you 잡지못하면 이제는 Forget About Love Girl 너와 나 하나 되기까지 얼마 남았나 Yo 나 기다렸어 이제와서 나 마음을 굳힌 나 더 이상 딴 말은 하지마 come on, think it baby Yo baby come and get it 너를 위한 내가 있어 친구던 사랑이던 넌 come and grap and take the chance 기회를 만들어줘 너를 사랑할 수 있게 좀 Oh baby 마음을 닫고나면 너를 가질 수 없어 사랑해 이말 하는게 그렇게 어렵니 It's Gotta Be you 너에게온 이기회도 그렇게 온거야 이 기횔 우리 놓치면 영원히 후회해 It's Gotta Be you 잡지 못하면 이제는 Forget About Love Girl 두려워 나 이제는 내가 너의 마지막 Oh baby 사랑이 되고싶어 제발 나를 선택해 이제부터 너에게 모든게 달렸어 It's Gotta Be you 나에겐 오직 너만이 있단걸 알아줘 하지만 이제 선택은 네가 해야하지 It's Gotta Be you 나 이제 너를 맞이할 준비가 돼있어 Yo Qwikdraw Whuddup P Phunk Forget it 생각해봤자 더 이상 이제 그때만도 못해 나 어제 그녀 생각에 술과 하나가 됐네 Goddamn it 이제 그만하고 미래를 향해 Yo, P Phunk Whuddup Qwikdraw 내 마음에 남아있던 그녀도 이제 내 곁에 없네 We're bout to set this record straight Bees ain't shees Qwkdraw P Phunk on a smooth lovestory 깨뜨려 네 두려움 주사윌 이제 던져 운명에 널 맞겨봐 그렇게 어렵다면 Girl Forget About Love"
20021207,엑스라지,사랑은 유치하게,male,발라드,-,-,-,-,-
20021207,엑스라지,방랑자,male,댄스,-,-,-,-,-
20021207,엑스라지,Who-Who,male,발라드,-,-,-,-,-
