년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101006,오션,우리 다시 사랑하자,male,발라드,-,-,-,JT Corea Entertainment,괜한 부담이 될까 많이 고민 했었어 이젠 잘 지낼 텐데 많이 예뻐졌구나 참 오랜만이란 말이 우리는 처음이잖아 무슨 말을 어떻게 해야 하나 아직 혼자라는 말에 우리 다시 사랑하자 다시는 놓치지 말자 하루 하루가 너의 기억뿐인데 이제는 우리 그만 아파하자 누구보다 간절한 너만 바라고 또 너만 그리는 내 마음을 너의 쓴 소리조차 너무도 그리웠어 매일 생각나더라 그때는 그랬었어 언젠간 지워질거라 그렇게 생각했었어 무슨 말을 어떻게 해야 하나 아직 혼자라는 말에 우리 다시 사랑하자 다시는 놓치지 말자 하루 하루가 너의 기억뿐인데 이제는 우리 그만 아파하자 누구보다 간절한 너만 바라고 또 너만 그리는 내 마음을 항상 나에게 늘 미안했다는 말에 나도 몰래 자꾸 눈물이 흘러 우리 다시 사랑하자 아파도 늘 함께하자 텅 빈 가슴은 너만 기억하는데 이제는 우리 다신 울지 말자 너만 아는 내 마음을 너는 알잖아 오직 너만 알잖아 I love you
20101006,오션,우리 다시 사랑하자 (Inst.),male,발라드,-,-,-,JT Corea Entertainment,-
20071213,오션,겨울 선물,male,발라드,-,조은희,전준규,JT Corea Entertainment,하얀 눈이 또 내려와 네가 내게 또 다가와 커진 사랑을 이젠 봐줄래 커진 내품에 다시 널 채워 안고 싶어 널 보낸 후에 얼만큼 난 후회했었는지 많은 눈물을 난 참아왔는지 넌 몰라 말하지 못한 긴 그리움이 저 하늘에 닿아 눈처럼 내게 널 데려온거야 날 떠나 다른 이별이 널 다녀갔었는지 예전 모습보다 넌 많이 야윈 것 같아 모두 잊어줘 더 잘할거야 내 손에 낀 너의 커플링 오직 너만을 난 기다린거야 하얀 눈이 또 내려와 너의 사랑이 내려와 네가 내게 또 다가와 내품으로 와 커진 사랑을 이젠 봐줄래 커진 내품에 다시 널 채워 안고 싶어 다시 계절이 돌아오듯 니가 돌아왔는걸 너 역시 맘이 훌쩍 자란 듯 해 정말 감사해 한번 잃어봤던 그 소중함까지 알게 했어 넌 최고의 선물을 준거야 너도 알거지 혼자서 보낸 외로웠던 시간이 내겐 힘이 됐어 이제는 다시 너혼자 두진 않을테지 말하지 않아도 내 눈빛 하나로 네 손 잡은 손길만으로 서로 느낄수 있다고 이제는 너를 지켜줄수 있다고 좁았던 내 가슴은 커졌고 너의 눈도 이제는 깊어졌지 우리 서로 같이 할 수 없던 날들 이야기 전부 지워줄꺼지 so listen carefully 같은 꿈을 꾸는 날이 온거지 won't you come to me 나는 자신있지 make love to me 우리 사랑은 영원히 흰눈이 내릴 때마다 너의 사랑이 내려와 내말 들리니 행복해 널 사랑해 품에 안겨봐 예전과는 달라 이별을 먼저 난 배웠으니까 지켜봐 두번 널 놓치진 않을게
20071009,오션,Hollyday,male,발라드,-,-,-,JT Corea Entertainment,웃음이 나오죠 그녀 생각에 거리엔 가득한 나만 있어요 조금은 쑥스럽죠 하지만 괜찮아요 좋은 사람이 생겼으니까 따뜻한 커피를 한 잔 마시죠 그리고 또 한번 더 미소 짓겠죠 넋 나간 바보같죠 하지만 괜찮아요 그녀 생각에 행복하니까 You are my everything I love you 내 사랑 그녀에게 감사하죠 정말 행복하죠 사랑해 내 맘 받아준 너에게 You and me 약속해 약속해 변하지 않을게 그 누가 날 Stop Stop 시켜도 나 변하지 않을게 소중한 너만을 사랑해 사랑해 사랑해 언제나 너와 나 함께 어떤 두려운 그늘에 가려질 때 삶이 우릴 유혹하겠지만 사랑의 힘을 나는 믿죠 너에게 약속할게 Happyness for you You are my everything I love you 내 사랑 그녀에게 감사하죠 정말 행복하죠 사랑해 내 맘 받아준 너에게 Uh uh uh 커피 향 가득한 아침 햇살 속에 달콤했던 Holiday 미소 짓는 두 눈을 바라보며 내 맘 속에 always in your mind 니 품에 안겨 끝없는 날까지 영원히 둘이서 언제나 내 맘 변하지 않을게 우리 사랑 간직해 I promise you You are my everything my love my love I love you 내 사랑 그녀에게 감사하죠 정말 행복하죠 사랑해 내 맘 받아준 너에게 You are my everything I love you 내 사랑 그녀에게 감사하죠 정말 행복하죠 사랑해 내 맘 받아준 너에게 You are my everything
20060309,오션,사랑이 다시 온다면 (우일 추천),male,발라드,-,정진환,고동훈,JT Corea Entertainment,난 이렇게 바보라서  이별없이 사랑을 몰라요  또 기어코 울고 나서  그땐 행복했었다는 걸 깨닫죠   더 우습죠 보낸걸 알면서  떠난 그대의 탓만 늘어가요  이런 나보다 분명 그대 마음일텐데  사랑이 다시 온다면  나보다 좋은 사람 만나면  또 다시 늘 놓치마요  후회로 사는 나처럼  그대만 행복하다면  누구와 웃고 사는 모습을 본다면  이보다 더 아플지 몰라도  애써 감사할께요  참 모자란 나를 피해  지혜롭게 잘 달아났어요  맘 다 바친 그대 사랑  당연한듯 받을줄만 알았죠  두렵죠 그 누가 다시 날  그만큼 사랑해 줄까요  이런 그보다 착하면  느낄 수도 없을텐데  사랑이 다시 온다면  나보다 좋은 사람 만나면  또 다시 늘 놓치마요  후회로 사는 나처럼  그대만 행복하다면  누구와 웃고 사는 모습을 본다면  이보다 더 아플지 몰라도  애써 감사할께요  애원하는 날 받아줘  무른 사람인걸 아는데  늦었다는 걸 아는건지  사랑이 다시 온다면  나보다 좋은 사람 만나면  다시는 놓치마요  후회로 사는 나처럼   그대만 행복하다면  누구와 웃고 사는 모습을 본다면  이보다 더 아플지 몰라도  애써 감사할께요  애써 기뻐할께요 -
20060309,오션,More Than Words (오병진 추천),male,발라드,-,정진환,Chrischan,JT Corea Entertainment,재촉하진 말아요  아무 말도 준비 못했죠  그대같은 사랑은 처음이라  표현이 좀 서툰거죠  나도 그대 못지 않게 조급한 걸  그대 마져 놓쳐 버릴까 봐  하지만 서둘지 않을래요  그대라면 기달리수 있죠  That'more than a word feel my love  말론 모두 담을수 없죠  사랑한다는 그말로 대신하긴 싫어  there are so many feelings inside of me  That'more than a word feel my love  그저 맘으로 만져봐요  영원이라도 그대와 함께 있고픈 날  영원토록 그대와  모두 쉽게 애기하죠  작은 떨림마저 사랑이라  하지만 이토록 소중한 느낌은  자주 오지는 않을텐데  감은 그대 눈으로 부픈 내 가슴 위로  가만히 날 느껴봐요  그대 지금까지 들어왔던  그런 사랑과 난 다르단 걸  That'more than a word feel my love  말론 모두 담을수 없죠  사랑한다는 그말로 대신하긴 싫어  there are so many feelings inside of me  That'more than a word feel my love  그저 맘으로 만져봐요  영원이라도 그대와 함께 있고픈 날  영원토록 그대와  들리나요 그 어느새 내안에  너무 커져버린 이름  곁에 있기에 그대 이기에 행복해  I'll love you baby  난 마치 세상을 처음본 아이같이  하나같이 낯설지만  신비로운 눈빛까지 나를 빠짐없이 담아내는  그대 자칫 사랑이란 쉬운말로 표현해야 하는지  그대와 나 진정 원하고 바랬던  지금까지 오래 기다렸던 진실한 사랑을  소중한 행복을 혀끝으로 전해지는  그 보다 더한 가치가 있는 것  들어봐 가슴에는 그대를 향한 설레임과  잠시도 쉬지않고 빛을 보는 나의 눈과  부러운 눈으로 우리를 보는 세상  그 속에 함께할  영원이라도(그대와 나 ) 그대와 함께 있고픈 날  영원토록 그대와  이대로 그대와 함께 있고픈 날
20060309,오션,할 수 만 있다면 (유석호 추천),male,발라드,-,서정진,김세진,JT Corea Entertainment,사랑이 이젠 변한거라고 기억도 이젠 지워달라고 다시 돌아갈 수 없는 곳에 우린 외로이 서있는데 아무리 너를 불러보아도 이젠 돌이킬수는 없는 거라고 울며 잡아봐도 애원해도 우리 사랑 끝났다고 말하는 너 떠나야 했나요 아주 멀리 떠나야 했나요 너만 항상 바라보던 난 사랑했던 난 그냥 자꾸 눈물만 흐르고있어 너를 보려해도 눈물 가득 내 앞을 막아서 아무것도 정말 그 무엇도 난 보이지가 않는데 난 정말 내가 선물했던 시계 반지보다 더 아까운걸 네게 전부 줘버려서 남은것이 없는 내맘 난 믿기질 않아 이젠 다른 누굴 사랑한다는 것이 지울수없어 사랑했던 너의 작은 추억까지 하나도 친구로 남을수도 없다고 그냥 아는 남자도 될 수 없다고 제발 잊으라고 지우라고 우리 사랑 끝났다고 말하는 널 떠나야 했나요 아주 멀리 떠나야 했나요 너만 항상 바라보던 난 사랑했던 난 그냥 자꾸 눈물만 흐르고있어 너를 보려해도 눈물 가득 내앞을 막아서 아무것도 정말 그 무엇도 난 보이지가 않는데 난 정말 몇번이나 잊어보려고 다른 사람 만나 다시 행복하게 아무리 애를 써보아도 나 지우려고 해도 선명한 너 정말 잊지 못하는 내가 바보인데 어떻게 넌 아무 말없이 나를 버리고 떠나갔니 영원할꺼라던 우리에게 이별은 없다던 나만 항상 바라보던 넌 사랑했던 넌 다른사람 만나서 웃고 있겠죠 할수만 있다면 다시 너를 가질수 있다면 그 무엇도 내 모든 것도 다 버릴 수가 있는데 난 정말 영원할 꺼라던 사랑해 여전히 사랑해 이별은 없다던 원하는 만큼 외쳐줄께 바라보던 넌 사랑했던 넌 이건 아니야 난 도저히 믿을수가 없어 할 수만 있다면 어느새 내 가슴도 다시 너를 가질수 있다면 울고싶어도 눈물이 안 나오는걸 그 무엇도 내 모든것도 다 버릴수가 있는데 난 정말 나 버릴수가 없는데 너만을
20060309,오션,Happy (손일권 추천),male,발라드,-,-,-,JT Corea Entertainment,거리 마다 넘쳐나는 사람들의 물결 오고 가는 연인들의 다정스런 숨결 보고픈 마음에 달려갔어 너에게 왠지 너를 보면 가슴 떨리니 지금도 몰라 나도 몰라 내 맘 몰라 나를 어떻게 해야 될지 몰라 너만 생각해 옆에 있는게 오늘 밤은 너와 같이 할게 OK 창문을 열어봐 내가 서 있을거야 이렇게 이 밤에 두 손 벌려 널 기다려 사람들 모두 다 행복한 이 밤에 왜 혼자니 baby 내 손을 잡아 멀리서도 너를 보니 눈이 부셔 내가슴은 너를 보니 뛰어 올라 높이 올라 울적 했던 내 맘 올라 내가 슬플 땐 you're the one for me 니가 힘들 땐 I'm the one for you 이제 너의 웃음 피려하니 이제 나의 곁에 머물러죠 영원히 We bring the luck like this come on So I 나를 느낄수가 있니 No I 네가 슬퍼지면 난 싫어져 So I 너도 나와 같길 바라는 거야 No I 이젠 차가운 눈물 거둬 사랑은 멀리서 찾는게 아닌거야 지나간 이별은 잊기 위해 있는거야 사랑해 너를 행복한 널 만들어 줄게 And you know I never ever go can't you see I will be your man for eternity 거리마다 들려오는 음악소리 사람들의 물결속에 lady 너무나도 행복했어 baby Up and down up and down girl I will love you down true that 친구들을 만나 너를 자랑하고 싶어 너를 내 여자로 챙겼으니 이제 외롭지가 않아 사랑은 멀리서 찾는게 아닌거야 지나간 이별은 잊기 위해 있는거야 사랑해 너를 행복한 널 만들어 줄게 If you feel the need say if you  feel to this say come on feel this round with this funky sound with my lyrical lirics and you know I am down I do do do do love you too I do do do do know our love is true never let go 우리 모두 함께 해요 이제 너와 함께 사랑 한다는게 행복하다 너에게만 말해줄게 So I 너와 꿈을 꾸고 싶어 No I 아픈 눈물 없는 꿈을 위해 So I 네 맘속에 오래 남기를 바래 No I 다른 사랑이 오지 않기를 So can you love me and I 영원한 사랑 꼭 지킬게 시련에 힘들땐 내게 기대줘 사랑은 멀리서 찾는게 아닌거야 지나간 이별은 잊기 위해 있는거야 사랑해 너를 행복한 널 만들어 줄게 So I 너를 바라보는 기쁨 내게 선물해줘 So I 고마워 너는 나만의 baby So I So I
20101006,오션,우리 다시 사랑하자,male,발라드,-,-,-,JT Corea Entertainment,괜한 부담이 될까 많이 고민 했었어 이젠 잘 지낼 텐데 많이 예뻐졌구나 참 오랜만이란 말이 우리는 처음이잖아 무슨 말을 어떻게 해야 하나 아직 혼자라는 말에 우리 다시 사랑하자 다시는 놓치지 말자 하루 하루가 너의 기억뿐인데 이제는 우리 그만 아파하자 누구보다 간절한 너만 바라고 또 너만 그리는 내 마음을 너의 쓴 소리조차 너무도 그리웠어 매일 생각나더라 그때는 그랬었어 언젠간 지워질거라 그렇게 생각했었어 무슨 말을 어떻게 해야 하나 아직 혼자라는 말에 우리 다시 사랑하자 다시는 놓치지 말자 하루 하루가 너의 기억뿐인데 이제는 우리 그만 아파하자 누구보다 간절한 너만 바라고 또 너만 그리는 내 마음을 항상 나에게 늘 미안했다는 말에 나도 몰래 자꾸 눈물이 흘러 우리 다시 사랑하자 아파도 늘 함께하자 텅 빈 가슴은 너만 기억하는데 이제는 우리 다신 울지 말자 너만 아는 내 마음을 너는 알잖아 오직 너만 알잖아 I love you
20101006,오션,우리 다시 사랑하자 (Inst.),male,발라드,-,-,-,JT Corea Entertainment,-
