년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101020,키스,Attentat Lyrical,male,랩/힙합,-,-,-,-,-
20100426,키스,Crazy Crazy Nights,male,POP,-,-,-,-,"""People try to take my soul away, but I don't hear the rap that they all say  They try to tell us we don't belong, that's alright, we're millions strong  This is my music, it makes me proud, these are my people and this is my crowd  These are crazy, crazy, crazy, crazy nights  These are crazy, crazy, crazy, crazy nights  Sometimes days are so hard to survive, a million ways to bury you alive  The sun goes down like a bad bad dream  You're wound up tight, gotta let off steam  They say they can break you again and again, if life is a radio, turn up to ten  These are crazy, crazy, crazy, crazy nights  These are crazy, crazy, crazy, crazy nights  These are crazy, crazy, crazy, crazy nights  These are crazy, crazy, crazy, crazy nights  And they try to tell us that we don't belong  But that's alright, we're millions strong  You are my people, you are my crowd, this is our music, we love it loud  Yeah, and nobody's gonna change me, 'cause that's who I am  These are crazy, crazy, crazy, crazy nights  These are crazy, crazy, crazy, crazy nights  These are crazy, crazy, crazy, crazy nights  These are crazy, crazy, crazy, crazy nights  These are crazy, crazy, crazy, crazy nights  These are crazy, crazy, crazy, crazy nights """
20090502,키스,Love Theme From Kiss,male,POP,-,-,-,-,"I'm sorry to have taken so long It must have been a bitch while I was gone You mind if I sit down for a while You'll reacquaint yourself with my style Well, how could you have waited so long It must have been a bitch while I was gone All this time you put up a fear For a hundred thousand years I'm sorry to have taken so long It must have been a bitch while I was gone All this time you put up a fear For a hundred thousand years And baby won't you let me I think I'm goin' out of my head I'm just about to, ooh yeah, ha I'm sorry to have taken so long It must have been a bitch while I was gone You mind if I sit down for a while, would you babe You'll reacquaint yourself with my style"
20081221,키스,Psycho Circus (Millennium Concert),male,록/메탈,-,-,-,-,Yeahhh Hello Here I am Here we arewe are one I've been waiting for this night to come Get up Now it's time for me to take my place The makeup runnin' down my face We're exiled from the human race You're in the psy You're in the psycho circus You're in the psy You're in the psycho circus I say welcome to the show I've been waiting here to be your guide So come Reveal the secrets that you keep inside Step up No one leaves 'til the night is done The amplifier starts to hum The carnival has just begun You're in the psy You're in the psycho circus You're in the psy You're in the psycho circus Yeah I say welcome to the show Welcome to the show Welcome to the show The show I've been waiting here to be your guide Some come Reveal the secrets that you keep inside Step up No one leaves 'til the night is done The amplifier starts to hum The carnival has just begun You're in the psy You're in the psycho circus You're in the psy You're in the psycho circus You're in the psy You're in the psycho circus You're in the psy You're in the psycho circus And I say welcome to the show Welcome to the show Welcome to the show And I say welcome to the show
20081221,키스,Shout It Out Loud (Millennium Concert),male,록/메탈,-,-,-,-,Well the night's begun and you want some fun Do you think you're gonna find it You got to treat yourself like number one Do you need to be reminded It doesn't matter what you do or say Just forget the things that you've been told We can't do it any other way Ev'rybody's got to rock n roll yay Shout it shout it shout it out loud Shout it shout it shout it out loud If you don't feel good ev'ry way you could Don't sit there broken hearted Call all your friends in the neighborhood And get the party started Don't let them tell you that there's too much noise They're too old to really understand You'll still get rowdy with the girls and boys Cause it's time for you to take a stand yay Shout it shout it shout it out loud Shout it shout it shout it out loud
20081221,키스,Deuce (Millennium Concert),male,록/메탈,-,-,-,-,Get up And get your grandma outta here Pick up Old Jim is workin' hard this year And baby Do the things he says to do Baby if you're feeling good And baby if you're feeling nice You know your man is workin' hard He's worth a deuce Honey Don't put your man behind his years And baby Stop cryin' all your tears Baby Do the things he says to do Do it Baby if you're feeling good And baby if you're feeling nice You know your man is workin' hard He's worth a deuce And baby if you're feeling good Yes baby if you're feeling nice You know your man is workin' hard Yeah
20081221,키스,Heaven`s On Fire (Millennium Concert),male,록/메탈,-,-,-,-,I look at you and my blood boils hot I feel my temperature rise I want it all give me what you got there's hunger in your eyes I'm getting closer baby hear me breathe You know the way to give me what I need Just let me love you and you'll never leave Feel my heat takin' you higher burn with me Heaven's on fire Paint the sky with desire angel fly Heaven's on fire I got a fever ragin' in my heart you make me shiver and shake Baby don't stop take it to the top eat it like a piece of cake You're comin' closer I can hear you breathe You drive me crazy when you start to tease You could bring the devil to his knees Feel my heat takin' you higher burn with me Heaven's on fire Paint the sky with desire angel fly Heaven's on fire Oho Heaven's on fire oho Heaven's on fire oho I'm getting closer baby hear me breathe You know the way to give me what I need Just let me love you and you'll never leave Feel my heat takin' you higher burn with me Heaven's on fire Paint the sky with desire angel fly Heaven's on fire
20081221,키스,Into The Void (Millennium Concert),male,록/메탈,-,-,-,-,I'm losing power and I don't know why Not really sure if I'll live or die I want to leave but I can't get away It's a strange sensation Out of control being by myself I feel this gravitation Caught like a magnet and I'm being pulled Into the void I want to get away get away Into the void I'm being pulled I'm being pulled down Into the void This place is spinning spinning around Into the void Fell like I'm being pulled into a black hole This crazy feeling's screwing with my head I'm overloading and my gauges are red State of confusion's got a hold on me I feel a hesitation I'm being drawn falling right off the track Don't like the situation Caught like a magnet and I'm being pulled Into the void I want to get away get away Into the void My head is spinning spinning around 'round Into the void This force is getting gettin' stronger Into the void Fell like I'm being pulled into a black hole Into the void I'm being pulled being pulled down down down Into the void Don't like this feeling I'm being pulled down Into the void I want to get away get away Into the void Feel like it's spinning spinning around Into the void I'm being pulled being pulled down down down Into the void Get away get away Into the void Fell like I'm being pulled into a black hole Into the void
20081221,키스,Firehouse (Millennium Concert),male,록/메탈,-,-,-,-,Whoo hoo yeah Whoo hoo yeah She'll adore you and she'll floor you With her wisdom and her vision And you'll love it and think of it Till you lose all intuition Come on She can move you and improve you With her love and her devotion And she'll thrill you and she'll chill you But you're headed for commotion And you'll need her so you'll feed her With your endless dedication And the quicker you get sicker She'll remove your medication Get the firehouse Cause she sets my soul afire Get the firehouse And the flames keep gettin' higher She's like bad weather but it seems so good You'd never leave her but you know you should She's like bad weather but it seems so good You'd never leave her but you know you should Ooh Get the firehouse Cause she sets my soul afire Get the firehouse Whoo hoo yeah Get the firehouse Whoo hoo yeah
20081221,키스,Do You Love Me (Millennium Concert),male,록/메탈,-,-,-,-,You really like my limousine You like the way the wheels roll You like my seven inch leather heels And goin' to all of the shows but Do you love me do you love me Do you love me really love me You like the credit cards and private planes Money can really take you far You like the hotels and fancy clothes And the sound of electric guitars but Do you love me do you love me Do you love me I mean like do you Really love me You really like rock 'n' roll All of the fame and the masquerade You like the concerts and studios And all the money honey that I make but Do you love me do you love me Do you love me really love me Your backstage pass and black sunglasses Make you look just like a queen Even the fans they know your face From all of the magazines but Do you love me do you love me Do you love me do you love me Do you love me do you love me Really love me really love me I want to know Do you love me do you love me Do you love me do you love me Do you love me do you love me I mean like do you Really love me really love me I want to know Do you love me do you love me Do you love me do you love me Do you love me do you love me I mean like do you Really love me really love me I want you to do you love me do you love me I need you to do you love me do you love me And you know I'm so tired of everybody sayin' it And you know do you love me do you love me I just gotta know if you really really really really love me do you love me do you love me So come on do you love me do you love me I need you to Do you love me do you love me I want you to Do you love me do you love me I need you Really love me do you love me I want to know Do you love me do you love me do you do you Do you love me do you love me I just got to have some love do you love me do you love me I just got to have some love do you love me I just got to have some love love love love love
