년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20010705,투야,가,female,댄스,-,이제이,이제이,-,아닌 척 니 속 맘을 감추려 하지마   That's Alright  이미 넌 그녀에게 갔잖아   Don't Want You Back to Me  정말 그완 끝난 거니   너를 용서하기엔 늦어버렸어   처음이란 말로 모든 걸   되돌릴 순 없잖아   눈물 흘리지 말고 어서   니 맘 가져가버려   What You Still Want   From Me  용서란 말도 이젠 없어 Tell  Me Now  내 눈 앞에서 없어져버려   Can't You just Feel It   The Feeling  I'm Falling In My Love  후회는 없어 믿는 니가   불쌍할 뿐이야   I Feel Sorry For You  영원히 나를 기억할 수 있도록   널 놓아줄 테니   우연히 그 앨 봤어 그녀의 얘기론   오직 나는 너의 좋은 친구였단   기가 막힌 얘길   더 이상 미련은 없어 이젠   지워줄게   제발 내 곁에서 떠나가 버려줘   미안하다는 말로 모든걸   되돌릴 순 없잖아   눈물 흘리지 말고 어서 니   맘 가져가버려  What You Still Want From Me  꼭 네게 전해주고 싶어   Tell Me Now  내 눈 앞에서 없어져버려   Can't You just Feel It   The Feeling  I'm Falling In My Love  후회는 없어 믿는 니가   불쌍할 뿐이야   I Feel Sorry For You  영원히 나를 기억할 수 있도록   널 놓아줄 테니   All Right 바쁘다는 핑계가  그 앨 만난 거였니 후회없이 떠나가 이게 마지막  내 부탁이야  너란 존재는 기억에서 지웠어  나를 쳐다보지마 더 이상 눈물은  없을테니까 Can't You just Feel It The  Feeling I'm Falling In My Love 후회는 없어 믿는 니가 불쌍할  뿐이야  I Feel Sorry For You 영원히 나를 기억할 수 있도록  널 놓아줄 테니  Oh Why You Still Wanting Me
20010705,투야,봐,female,댄스,-,유유진,박근태,-,봐봐 나를 봐 들어봐 내 말 들어봐   우리 방법을 찾자   계속 이렇게 저렇게 멀어지다가   이별 오면 어떡해   너 없이 사는 법 따윈 정말   알고 싶지도 않아   내 맘 훤히 넌 알잖아 너만 있으면   아무 욕심 없는 나   I'm In Love With You  하지만 언제까질까   너를 사랑하기 때문에 때론   실망도 커   봐 바로 오늘처럼 너와 다툰   이런 날엔   너의 빈 자릴 채울   나만을 위한 사람 찾게 되잖니  내 맘 잡아줄래 유리처럼   깨지지 않게 말야   네가 채워줄래 누구도 내 맘속에   못 들어오게   내가 필요한 건 너니까 내 눈물의   이윤 너니까  부디 이런 나를 지켜줘   날 힘들게 하지마   우 우리 하나라면   I'm In Love With You   때로는 자신이 없어   너를 사랑하기 때문에 때론   상처도 커   봐 바로 요즘처럼 너 때문에   힘들 때면   너를 모르던 때로 가끔은   돌아가고 싶기도 한 걸   내 맘 잡아줄래 유리처럼  깨지지 않게 말야   네가 채워줄래 누구도   내 맘속에 못 들어오게   내가 필요한 건 너니까   내 눈물의 이윤 너니가  부디 이런 나를 지켜줘   날 힘들게 하지마   우 I Just Want To Know   Where You Are   You never Show Me How I try  We'd Better Find The way Ooh
20010705,투야,Run Away,female,댄스,-,손무현,오석준,-,더 이상 아무말 하지마 이젠 널 사랑하지도 않는데 도데체 왜 그래 이럴 수는 없잖아 나 라는 사람은 없던 거라고 우리의 모든 게 잘못됐어 이제그만 나의 모습 지워줄래 부탁해 이제는 Run away run away 첨부터 널 위한 사랑은 없었어 이렇게 말하는 내 마음을 이해해줘 너에게서 Run away run away 나 먼저 널두고 떠나가기 전에 남겨진 사랑도 모두 갖고 떠나가 줘 이제는 모든 게 끝났어 네겐 아무런 할 말도 없는데 어떻게 해야만 내 마음을 알겠니 세상에 나보다 좋은 사람 너만을 사랑해 줄 수 있는 그런 사람 만날 수가 있을꺼야 언젠가 이제는 Run away run away 첨부터 널 위한 사랑은 없었어 이렇게 말하는 내 마음을 이해해줘 너에게서 Run away run away 나 먼저 널두고 떠나가기 전에 남겨진 사랑도 모두 갖고 떠나가 줘 아직까지 나를 사랑한다면 이제는 그만둬 무너뜨릴 자존심도 없는 널 보기가 싫어 이제는 Run away run away 첨부터 널 위한 사랑은 없었어 이렇게 말하는 내 마음을 이해해줘 너에게서 Run away run away 나 먼저 널두고 떠나가기 전에 남겨진 사랑도 모두 갖고 떠나가줘 Run away run away Run away run away
20010705,투야,Touch,female,댄스,-,오석준,조은희,-,넌 아닌 척 하지만 서툰 네 맘 다 보여 너도 나를 원한다는 걸 just fall in love with you 내 두 볼을 감쌀 때 살짝 손을 마주 잡을 때 또 가슴이 두근두근 대 수줍게 웃지 넌 아직 모르겠니 너를 사랑하는 걸 조금씩 다가와 봐 이런 날 느낄 수 있게 Show me shining day 널 위해 모두 다 줄텐데 망설이지 말아줘 이제는 내 맘을 가져봐 Call me don't be shy 네 품에 안겨 입맞추고 싶어 달콤하게 고백해줘 더 짜릿하게 날 사랑한다고 네 숨결을 느낄 때 너의 향기 스칠 때마다 또 행복한 꿈을 꾸게 돼 오래전부터 난 너를 기다렸어 아무 걱정하지마 나보다 소중한 너 이 순간 네가 필요해 Show me shining day 널 위해 모두 다 줄텐데 망설이지 말아줘 이제는 내 맘을 가져봐 Call me don't be shy 네 품에 안겨 입맞추고 싶어 달콤하게 고백해줘 더 짜릿하게 사랑한다고 Tell me in your eyes 너 있는 하나로도 눈물나게 아름다운 이 세상에 늘 함께 해줘 I love you forever
20010705,투야,그렇게 넌,female,댄스,-,Trish,Trish,-,그렇게 넌 그렇게 너와 난 아무것도 아니였었니 그렇게 넌 그렇게 너와 난 다시 볼 수 없는거였니 기억나지 않아 너의 얼굴도 내 맘에서 지웠나봐 달콤했던 너의 그 손길들도 이젠 아무 느낌없어 나를 사랑했단 그 말도 이젠 아무 소용이 없어 제발 내곁에서 떠나줘 그렇게 넌 그렇게 너와 난 아무것도 아니었었니 그렇게 넌 그렇게 너와 난 다시 볼 수 없는거였니 괜찮냐고 너는 내게 묻지만 나는 아무렇지 않아 떠나갈 때 너의 그 뒷모습도 담담하게 쳐다본 걸 내게 다시 온다고 해도 지나간 우리들의 사랑이 처음으로 갈 수 없다는 것을 알아 다 알고 있어 믿을 수는 없겠지만 다 잊은거야 모두 잊혀져갔어 이제 다시 당신에게 돌아가는 일은 없을꺼야 나를 기다리지도 마 우연이라도 당신을 또 만나게 되면 몰랐던 사람처럼 그렇게 지나칠테니 나를 사랑했단 그 말도 이젠 아무 소용이 없어 제발 내곁에서 떠나줘 그렇게 넌 그렇게 너와 난 아무것도 아니었었니 그렇게 넌 그렇게 너와 난 다시 볼 수 없는거였니 그렇게 넌 그렇게 너와 난 아무것도 아무것도 아니였었니 그렇게 넌 그렇게 너와 난 다시 볼 수 없는거였니 그렇게 넌 그렇게 너와 난 아무것도 아니었었니 그렇게 넌 그렇게 너와 난 다시 볼 수 없는거였니
20010705,투야,Crazy,female,댄스,-,오석준,오석준,-,내가 왜 이러는지 내 마음을 알수 없어 oh baby I just want you baby 이런 일 처음이야 어떡해야 하는 거야 oh baby wating for you 널 만난 그 이후로 모든 것이 달라졌어 oh baby I just want you baby 이런 게 사랑인 걸 처음으로 느낀 거야 oh baby always love me 언제나 네 생각에 빠져 있는 달라진 내 모습 어색하긴하지만 행복한 건 사실이야 아무리 설명해도 이런 내 맘 모를꺼야 oh baby I just want you baby 너에게 빠져 있는 나를 제발 버리지마 oh baby always love me 언제나 네 곁에는 내가 있어 망설이지 말고 이젠 내게 다가와 사랑한다 말해줄래 oh Oh Crazy 내 마음은 Crazy 이렇게 널 기다리는 나의 모습을 알고 있니 Oh Crazy 내 사랑은 Crazy 언제나 너의 곁에서 지켜줄꺼야 너를 사랑하니까 언제나 네 생각에 빠져 있는 달라진 내 모습 어색하긴하지만 행복한 건 사실이야 oh Oh Crazy 내 마음은 Crazy 이렇게 널 기다리는 나의 모습을 알고있니 Oh Crazy 네 사랑은 Crazy 언제나 너의 곁에서 지켜줄꺼야 영원토록 Oh Crazy 네 사랑은 Crazy 너에게 나의 사랑을 모두줄꺼야 I will love you forever
20010705,투야,Summer Love,female,댄스,-,이진호,이희승,-,참 많이 기다렸어 이렇게 니 품에 안기게 될 오늘을 난 많이 기도했어 겨울이 지나면 내 사랑이 오라고 이 따스한 여름이 널 데려온거야 행복만 있을거야 난 어제는 잊었어 우리의 여름만 사랑만 생각해 투명한 햇살 부서지는 바닷가 너와 나 단둘이 똑같은 티셔츠 입고 그냥 걷기만 해도 손을 잡기만 해도 라랄라 너무나 행복할거야 밤이 오면 바닷바람 쌀쌀할텐데 바람막고 서서 가만히 감싸안아줘 까만 하늘 위로 불꽃놀이 하얗게 타오를 때면 라랄라 사랑의 밤 난 참 많이 울었어 많이 외로웠어 널 기다린 동안에 날 더 많이 안아줘 왜 이제 온거야 날 놓치지 말아줘 한 여름의 비처럼 그렇게 갑자기 넌 나에게 온거야 난 혼자가 아니야 이렇게 눈앞에 사랑이 있잖아 모래 위에 너랑 나랑 단 둘이 앉아 끝도 없는 얘기 웃으며 나누다 보면 저만치 가까이 아침 해가 빨갛게 떠오를거야 언제나 바랬던 꿈 밤이 오면 바닷바람 쌀쌀한텐데 바람막고 서서 가만히 감싸안아줘 까만 하늘 위로 불꽃놀이 하얗게 타오를 때면 라랄라 사랑의 밤 투명한 햇살 부서지는 바닷가 너와 나 단둘이 똑같은 티셔츠 입고 그냥 걷기만 해도 손을 잡기만 해도 라랄라 너무나 행복할거야 밤이 오면 바닷바람 쌀쌀할텐데 바람막고 서서 가만히 감싸안아줘 까만 하늘 위로 불꽃놀이 하얗게 타오를 때면 라랄라 사랑의 밤
20010705,투야,천사의 눈물,female,발라드,-,이제이,이제이,-,작은 내 소원을 담아서  그대 곁에 가지만  향기 없는 눈물이 흐르죠  나 행복한 이 날에 자꾸만 눈물이 나  슬픈 천사가 되어  늘 혼자인 날 지켜주던 약속  나 행복하라고 그럼 된 거라고  축복해줄 수밖에 그것이 나의 운명이면  차라리 너도 모르게 이대로 사라져줄께  날 대신할 사람이 있다는게 난 두려워  함께한 지난날보다 그녀를 아껴줄 너잖아  미안해 이젠 내가 널 보내줄께  세상에 없는 너라 생각하면서 항상 넌 웃으며 농담 섞인 말로  나 행복하라고 그럼 된 거라고  축복해줄 수밖에 그것이 나의 운명이면  차라리 너도 모르게 이대로 사라져줄께  날 대신할 사람이 있다는게 난 두려워  함께한 지난날보다 그녀를 아껴줄 너잖아  미안해 이젠 내가 널 보내줄께  세상에 없는 너라 생각하면서 항상 기도 할께 눈물 없는 널 볼 수 있게  영원히 꿈에서 깨지 않았으면  행복 할거야 이젠 내가 널 지웠으니
20010705,투야,Myself,female,댄스,-,주영훈,주영훈,-,이젠 사랑이란 이름으로 더 이상 아파하고 울지는 않을거야 그래 남는 것은 어차피 눈물일 뿐 그 아픔 다신 원치 않아 모두 추억이란 이름으로 만나서 인연이 아니라고 헤어지지 그런 어리석은 만남은 이제 그만 차라리 혼자가 좋아 만나서 기쁠땐 아름답다 하지 그건 꿈을 꾸는 환상인데 헤어져 맘 속에 이별을 느낄땐 세상 모든 슬픔 내 것이 되 한번만 한번만 한번만이라도 진정 사랑하고 싶은데 이런 닫힌 내 맘을 다시 열 순 없을까 큰 욕심만은 아니잖아 조금더 조금더 조금더 가까이 이젠 나에 곁에 다가와 서로 편히 기대어 함께 숨쉴 수 있는 난 그런 사랑을 원해 나도 많이 울고 아파했던 그 시간 이제는 추억으로 간직했어 한땐 죽어서도 헤어지지 말자고 영원을 약속했었지 아니야 아니야 모두가 거짓말 남잔 그리 쉽게 변하나 봐 사랑도 미움도 모두다 뒤섞여 내게 남은 것은 상처뿐야 한번만 한번만 한번만이라도 진정 사랑하고 싶은데 이런 닫힌 내 맘을 다시 열 순 없을까 큰 욕심만은 아니잖아 조금더 조금더 조금더 가까이 이젠 나에 곁에 다가와 서로 편히 기대어 함께 숨쉴 수 있는 난 그런 사랑을 원해 조금더 조금더 조금더 가까이 이젠 나에 곁에 다가와 서로 편히 기대어 함께 숨쉴 수 있는 난 그런 사랑을 원해
20010705,투야,한번만,female,댄스,-,유유진,박근태,-,한번만 넌 꼭 한번만 날 떠난 널 또 믿어달라니 모르니 넌 왜 모르니 내 사랑은 예전에 니가 날 떠날 때에 끝났어 난 변했어 그동안 아팠지만 잘됐어 오히려 널 잊을 좋은 기회였으니까 네가 모두 가져 내게 주려하는 사랑 난 필요없어 이젠 의미 없으니깐 또 너의 관심을 기다리긴 싫어 한번 두번 세번 또 싫증나면 다시 떠날 수 있는 널 왜 다시 믿으래 안돼 돌아오지마 세상이 다 끝난 듯이 널 잃고서 난 많이 울었고 네 이름 널 닮은 사람 마주치면 난 어리석게도 너를 기다렸었지 난 변했어 그 동안 아팠지만 잘됐어 오히려 사랑을 보는 눈이 컸으니까 니가 모두가져 내게 주려하는 사랑 난 필요없어 이젠 의미 없으니까 또 너의 관심을 기다리긴 싫어 한번 두번 세번 또 싫증나면 다시 떠날 수 있는 널 왜 다시 믿으래 안돼 돌아오지마 이젠 하나부터 열 끝까지 다 너와 다른 그런 사람 만날래 그래야 완전히 내 맘에서 널 지울테니 네가 내게 필요했던 시간은 이미 지났어 끝났어 네게 줄 사랑은 없어 돌아오지마
