년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20010522,파파야,Broken,female,댄스,-,주영훈,주영훈,-,내맘속에 또 스며드는 이별이란 헛된 서글픔 그 누구도 허락지않던 나만의 약속 다 지켜야했는데 또 다시 나에겐 눈물뿐이야 남은건 하나도 없어 그 오랜 시간에 함께한 추억 어떻게 한번에 다 버릴 수 있어 믿을 수 없어 워 워 워 워 워 워 워 워 워 워 워 워 돌아서는 모습까지는 보이지 말아줘 워 워 워 워 워 워 워 워 워 워 워 워 제발 너의 기억에서 내 모습 조차도 지워 나를 만난 사실까지도 없던거라 믿어 다신 사랑 할 수 없게 또 나는 변해가 이젠 날 대신해 만난 그녀는 이런 맘을 알고 있는지 내게 했던 모든 약속을 또다시 똑같이 말하고 있겠지 말해봐 무엇이 잘못된건지 난 사랑한 것 뿐인데 이 모든 아픔은 어떡하라고 이런 날 한번쯤은 생각해봤니 믿을 수 없어 워 워 워 워 워 워 워 워 워 워 워 워 돌아서는 모습까지는 보이지 말아줘 워 워 워 워 워 워 워 워 워 워 워 워 제발 너의 기억에서 내 모습 조차도 지워 나를 만난 사실까지도 없던거라 믿어 다신 사랑 할 수 없게 또 나는 변해가 이젠 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워 워
20010522,파파야,아찔,female,댄스,-,최희진,Papertonic,-,아직 어린 니가 뭘 아냐고 사랑 그 의미를 아느냐고 우리 언니는 가끔 놀려대곤 하지 그런 언니는 뭐 첫사랑이 지금 나보다도 어릴 때야 순정만화 속 주인공처럼 굴었었지 나라고 항상 어린앤가 뭐 다 알고 있어 상상만으로 행복해지는 거잖아 사랑해 그 말보다 더 좋은 건 너의 미소 말 없이 안아주는 바다를 닮았어 불타는 눈길보다 설레는 건 너의숨결 너 없던 동안엔 어찌 살아왔나 정말 아찔해 너랑 며칠 전에 다퉜을 때 정말 슬프고도 힘들었어 함께 찍었던 사진도 찢어버린 거야 너의 얼굴 위로 떨어지던 눈물 바라보며 알게 됐지 이젠 너 없인 무엇도 할 수 없는 나를 나라고 항상 어린앤가 뭐 다 알고 있어 상상만으로 행복해지는 거잖아 사랑해 그 말보다 더 좋은 건 너의 미소 말 없이 안아주는 바다를 닮았어 불타는 눈길보다 설레는 건 너의숨결 너 없던 동안엔 어찌 살아왔나 정말 아찔해 사랑해 언제까지 많은 시간 흘러가도 지금 이 소중한 마음 잊지 말고 기억해 줄래
20010522,파파야,사랑만들기,female,댄스,-,이희승,조규만,-,사랑을 망설일 이율 알아  지나간 사랑탓인걸  내 깊은 마음을 솔직히 말해도  넌 내맘 믿질 않잖아  떠나간 사랑을 알아  지켜봐 그녀와 난 다를거야  믿어봐 후회않을거야  원한다면 난 얌전히 여자다운 숙녀처럼  너와 나의 짜릿한 그 밤에 영화속의 그녀처럼  나 하날 니가 가진걸로 행복할거야  널 슬프게 했던 다른 사람들과 나는 다를거야  철없는 귀여운 아일 보듯  넌 항상 웃어넘기지  떨리는 맘으로 고백을 해봐도  넌 그냥 흘려듣잖아  준비된 사랑인거야  다시봐 니 옆에선 내 모습을  오늘만 기다려온 나를  원한다면 난 얌전히 여자다운 숙녀처럼  너와 나의 짜릿한 그 밤에 영화속의 그녀처럼  나 하날 니가 가진걸로 행복할거야  널 슬프게 했던 다른 사람들과 나는 다를거야  우울할땐 니 친구로 실수할땐 누나처럼  특별한날 섹시한 애인이 때론 어린아이 처럼  이별로 끝난 사랑조차 다행인거야  날 만나기 위한 행운이 었다고 꼭 웃게 할꺼야
20010522,파파야,이제,female,발라드,-,이용민,이용민,-,이제 날 잊어버렸니 내 이름조차 잊었니 아니면 나를 잊으려고 지금 너혼자 울고있는지 이제 날 잊어버렸니 내 맘을 떠나려하니 그 어떤 준비없이 내 마음을 떠나서 살수있는지 말해줘 그래 난 잊을수 없어 니모든 사랑을 난 지울수 없어 혹시 너 나처럼 후회하고 있는지 Say good bye 그 한마디가 정말 너의 진심이 맞는지 수없이 묻고 싶은 거야 나없이 나없이 아무렇지도 않은지 수없이 너와 다투고 수없이 눈물 흘리며 살아온 날이 너무나도 지쳐 내곁을 떠나려는지 그런거니 하지만 행복했었던 너와 나 그 시간을 생각해봐 모두 아픔도 많았지만 나 사랑으로 살았어 Say good bye 그 한마디가 정말 너의 진심이 맞는지 수없이 묻고 싶은 거야 나없이 나없이 살아갈수 있는거니 미안하단 말로 돌아 올순 없는지 사랑했던 추억모두 버리지는마 Say good bye 다시 말해줘 너에게 남은 미련까지도 모질게 잊을수 없는 나 오늘도 오늘도 눈물로 너를 보낼께
20010522,파파야,Don`t Move,female,댄스,-,최희진,심상원,-,Do it Do it Do it your way 첨부터 느낌이 좋았었어 너의 첫인상 난 지금까지 이렇게 설레이는 건 첨이야 자꾸만 난 거울을 보게 돼 좀 더 오래 너의 시선이 나에게 머물도록 예뻐지고 싶어 오늘은 Do it Do it Do it Do it your way 더 이상 바라보는 사랑 이젠 싫어 Do it Do it 니맘 가득 이젠 나를 안아줄래 내 사랑아 그 흔한 넌 뽀뽀한번 못하고 머뭇거리다가 돌아서 왜 자꾸 망설이니 니 맘 알 수 없어 하지만 Do it Do it Do it Do it your way 언제나 이 순간을 나는 기다렸어 Do it Do it 오직 너만 이젠 내맘 깊숙히 가둘거야 Do it Do it Do it Do it your way 더 이상 바라보는 사랑 이젠 싫어 Do it Do it 니맘 가득 이젠 나를 안아줄래 내 사랑아 널 좋아하는 만큼 가끔은 두렵지만 나는 지금 믿고 있어 날 보는 너의 눈빛 하지만 Do it Do it Do it Do it your way 언제나 이 순간을 나는 기다렸어 Do it Do it 오직 너만 이젠 내맘 깊숙히 가둘거야 Do it Do it Do it Do it your way 더 이상 바라보는 사랑 이젠 싫어 Do it Do it 니맘 가득 이젠 나를 안아줄래 내 사랑아
20010522,파파야,배반,female,댄스,-,"김구,  최희진",Wave Dream,-,더욱 다정해진 너의 손길이 왜 난 자꾸만 가슴 아플까 항상 변함없는 너의 미소도 이젠 너무나 슬퍼 애써 변명만 하고 있는 니가 너무 안됐어 볼수가 없잖아 그만 말해버려 더는 감추지마 이건 정말 아니잖아 너의 가슴에 안겨 있어도 니가 너무나 보고싶어 떠난 니 마음관 아무 상관없이 내 사랑은 자꾸 깊어만가 너의 익숙한 숨결 속에도 다른 누군가 있는거야 힘들다고 해도 이쯤에서 널 떠나고 싶어 너를 미워하며 원망 해야는데 왜 난 그것도 안되는거니 이제 널 보내며 남은 바램은 부디 행복을 빌어 애써 변명만 하고 있는 니가 너무 안됐어 볼수가 없잖아 그만 말해버려 더는 감추지마 이건 정말 아니잖아 너의 가슴에 안겨 있어도 니가 너무나 보고싶어 떠난 니 마음관 아무 상관없이 내 사랑은 자꾸 깊어만가 너의 익숙한 숨결 속에도 다른 누군가 있는거야 힘들다고 해도 이쯤에서 널 떠나고 싶어 자꾸 뒤돌아 보지 말아줘 당장 달려가 잡고싶어 이런 날이 오길 기다렸던 너란걸 알아
20010522,파파야,참,female,댄스,-,이용민,황세준,-,철이 없다고 항상 그렇게 말을 하고 맨날 어린애 취급하고 어쩜 자기 맘대로 모든걸 다하려 하고 끝도 없는 잔소릴 매일하고 친구들과 함께 놀때도 연락 쫌만 안되도 핸드폰에 불이 나 원참 날 사랑하니 이것 참 너의 마음은 그거 참 그게 너만의 사랑의 방식 인거니 나를 봐 내가 너만의 말해봐 장난감처럼 살아가면 그걸로 만족하니 사랑은 서롤 위해 아껴주는거야 정말로 나를 사랑한다면 너의 사랑 그대로 날 대한다면 나 이대로 널 떠날지도 몰라 널 원하지만 그런 간섭은 이제 그만 나도 숨기고 싶은 비밀 네게 모든 걸 전부 보여줄 순 없어 여자에겐 감추고 싶은 그 무엇이 조금은 신비롭게 보여 주고 싶은 내 맘을 정말 모르겠니 나원 참 날 사랑하니 이것 참 너의 마음은 그거 참 이게 나만의 사랑의 방식인거야 조금만 날 이해해줘 너만의 장난감처럼 지내기엔 너무나 힘들잖아 사랑은 서롤위해 아껴주는거야 정말로 나를 사랑한다면 너의사랑 그대로 날 대한다면 나 이대로 널 떠날지도 몰라 하루도 내가 없으면 너무 보고싶니 내가 연락이 안되면 너무 걱정이 되니 이제 그런 걱정하지마 나도 너를 너무 사랑하니까 처음 사랑의 느낌 한 번 생각해봐 두근두근 설레는 느낌을 너의 사랑 그대로 날 대한다면 나 이대로 널 떠날지도 몰라 나 정말로 널 떠날지도 몰라
20010522,파파야,스무살,female,댄스,-,이용민,이용민,-,나 어릴 때 너무나 많은 꿈 있었고 나 커가며 그 꿈을 이루려했어 그 중에서 스무살에 남자친구야 항상나는 그 꿈속에 빠져있었어 나보다 못한친구도 다 남자와 함께있는데 어디가 어때서 나혼자인거야 얼마남지 않은시간 이러다가 스무살에 성인식을 나혼자 보내야하는지 걱정돼 스무살에 키스도 스무살에 한 다발 장미도 향기 가득한 향수도 너무나 필요한데 나의 사랑 나를 원하고 있어 그렇다면 내게 다가와 내맘을 가져봐 여기서 기다릴테니까 며칠뒤면 스무살이 되는날이야 어떻해 나 지금도 나 혼자있잖아 초조해하던 그 순간 나에게 다가온 사랑 처음 본 그 눈빛 난빠져버렸어 너무나 멋진 모습에 나 하나만 사랑할것 같은 그앨 너무도 난 사랑하나봐 I LOVE YOU 스무살에 키스도 스무살에 한 다발 장미도 향기 가득한 향수도 너무나 필요한데 나의 사랑 나를 원하고 있어 그렇다면 내게 다가와 내 맘을 가져봐 두근거리는 마음이 너를 원하고 있나봐 내 모든걸 다 준대도 아깝지 않은걸 나의 사랑 나를 원하고있어 그렇다면 내게 다가와 내 맘을 가져봐 널 사랑해 여기서 나를 사랑해줘
20010522,파파야,사랑의 속삭임,female,발라드,-,주연정,황세준,-,난 잠이 들면 항상 이런 꿈을 꾸곤 해 꿈 속에서 널 만나 고백하는 내 모습을 봐 난 아침에 눈을 떠 너의 모습 떠올려 하루종일 너의 웃음 나를 항상 기쁘게 해 너의 앞에 있을 때면 설레임에 두근거려 이제는 말할거야 용기 내어 꿈 속에 그 때처럼 널 사랑해 내 순수한 마음 받아줘 니 맘도 나와 같은 걸 뭐 나는 처음부터 느낄 수가 있었어 나 이제 내 작은 입술로 널 위해서 노래 부르고 싶어 우리 사랑 영원할 거라고 난 아침에 눈을 떠 너의 모습 떠올려 하루종일 너의 웃음 나를 항상 기쁘게 해 너의 앞에 있을 때면 설레임에 두근거려 이제는 말할거야 용기 내어 꿈 속에 그 때처럼 널 사랑해 내 순수한 마음 받아줘 니 맘도 나와 같은 걸 뭐 나는 처음부터 느낄 수가 있었어 나 이제 내 작은 입술로 널 위해서 노래 부르고 싶어 우리 사랑 영원할 거라고 너와 나의 둘만의 속삭임이 들려 기쁨과 행복만이 가득 담긴 사랑의 속삭임
20010522,파파야,Passion Of Love,female,댄스,-,"윤탁,  최희진",Wave Dream,-,just call me just call me just feel it to me just call me just call me just call me just call me just feel it to me just call me just call me 왜 하필 널 보게 됐을까 수많은 사람중에 눈빛이 만났어 흐르던 음악도 모두 다 멈춰져 버린듯해 사로잡았어 내 남자친구가 여기 서있는데도 자꾸만 왜 널 훔쳐보며 설레고 있는거야 춤을 추고 있는 니가 너무 좋아 passion of love 그대 내게 다가와줘 이젠 나도 몰라 너의 숨결 모두 passion of love 너를 느껴보고 싶어 워 뭐가 뭔지 잘못된 것 같아 워 멈추기엔 내 맘 이미 늦었어 feel it feel it can you feel it 내 마음은 너를 향해 가고 있어 그대 향한 나의 마음 I know 나를 향한 그대 마음 Tell me now 순간 순간 너의 모습 지워지지 않아 그대 훔쳐보며 나는 미쳐가고 있어 feel it feel it can you feel it come on come on baby can you feel it just call me just call me just feel it to me just call me just call me just call me just call me just feel it to me just call me just call me 한 순간 눈빛에 모든 걸 버릴 수 있는 내가 가끔은 두려워 하지만 모른 척 하기엔 너무나 안타까워 지금 이 느낌 내 남자친구는 나를 원망한대도 지나버릴 고통일 뿐야 아무도 필요없어 너도 알아야해 위험한 내 맘을 passion of love 그대 내게 다가와줘 사랑 하나로만 후회 따윈 없어 passion of love 나를 니맘 깊이 가져 my baby one more to one more 그대 눈에 자꾸자꾸 젖어가고 있어 feel me feel me 나를 느껴봐 그대 그대 느낀 대로 이제 가져봐 나의 사랑 아낌없이 주고 싶어 그대 곁에 가고 싶어 my baby 그대 곁에 가고 싶어 want you baby 워 뭐가 뭔지 잘못된 것 같아 워 멈추기엔 내맘 이미 늦었어 just call me just call me just feel it to me just call me just call me just call me just call me just feel it to me just call me just call me
