년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20010605,플래티넘,Intro,male,댄스,-,-,-,-,-
20010605,플래티넘,돌아와줘,male,댄스,-,-,-,-,돌아와줘 너 oh 제발 내게 처음 만난 그때처럼 Let me love tonight give that love love love love oh 제발 그대 나 언제라도 그대곁에 I'll be there for you 너를 처음 본 순간 난 세상을 얻은듯 했어 너의 그 눈빛과 그 미소와  oh 짜릿한 손길 너와 나만의 시간은 아무것도 부럽지 않았어 언제까지나 영원하리라 우린 굳게 믿었었지 미안해 그건 실수였어 I'm going crazy 차라리 시간을 돌릴 수 있다면 baby 또 다른 여자도 가질 수 있다는 나의 착각이였던걸 나를 용서해 또 다시 한번만 Come back to me baby 돌아와줘 너 oh 제발 내게 처음만난 그때처럼  Let me love tonight give that love love love love oh 제발 그대 나 언제라도 그대곁에 I'll be there for you 거울에 비친 나만의 비친 모습 보며 나만의 비친 나만의 숨결 이제는 묻힌 기억 이제는 없어 너만은 그냥 그 자리에 남아있길 바래 내가 너만을 미워했던 때를 잊지 못해 붐붐붐 다시 돌아와 준다면 더더더더 내게  버림받는다는 생각 버려 그리고 날 봐봐  이제는 나만에 모습 지금 보여 줄 수 있게 너와 나만의 추억은 무엇과도 바꿀 수 없었어  언제까지나 영원하리라 우린 굳게 믿었었지 미안해 그건 실수 였어 I'm going crazy 차라리 시간을 돌릴 수 있다면 Baby 또 다른 여자도 가질 수 있던 나의 착각이었던 걸 나를 용서해 또 다시 한번만 Please come back to me baby 돌아와줘 너 Oh 제발 네게 처음 만난 그때처럼 Let me love tonight Gimme that love love love love Oh 제발 그대 나 언제라도 그대 곁에 I'll be there for you 돌아와줘 너 Oh 제발 네게 처음 만난 그때처럼 Let me love tonight Gimme that love love love love I'm going crazy crazy crazy 나를 용서해 또 다시 한번만 Please come back to me baby 돌아와줘 너 Oh 제발 네게 처음 만난 그때처럼 Let me love tonight Gimme that love love love love Oh 제발 그대 나 언제라도 그대 곁에 I'll be there for you 너만이 너만이 할 수 있던 너만에 모든것을 많고 많은 연인들에 환희를 느껴보는 그런 너만에 상처 모두 모두 치유할 순 없어 그래 그렇게 넌 넌 니맘대로 되진 않아 그렇게 나를 떠나가니 돌아와줘 제발 나만의 힘으로 내 의지로 바로 나에게로 존재함을 내게 항상 기억해줘 돌아와줘 너
20010605,플래티넘,Love Virus,male,댄스,-,-,-,-,-
20010605,플래티넘,Party,male,댄스,-,-,-,-,-
20010605,플래티넘,날개가 되어줘,male,댄스,-,-,-,-,-
20010605,플래티넘,Paradise,male,댄스,-,-,-,-,-
20010605,플래티넘,Tell Me Why,male,댄스,-,-,-,-,-
20010605,플래티넘,선택,male,댄스,-,-,-,-,-
20010605,플래티넘,Born Twice,male,댄스,-,-,-,-,-
20010605,플래티넘,Sacrifice,male,댄스,-,-,-,-,-
20010605,플래티넘,돌아와줘 (MR),male,댄스,-,-,-,-,-
20010605,플래티넘,Bonus Data,male,댄스,-,-,-,-,-
200106,플래티넘,Intro,male,댄스,-,-,-,-,-
200106,플래티넘,돌아와줘,male,댄스,-,-,-,-,-
200106,플래티넘,Love Virus,male,댄스,-,-,-,-,-
200106,플래티넘,Party,male,댄스,-,-,-,-,-
200106,플래티넘,날개가 되어줘,male,댄스,-,-,-,-,-
200106,플래티넘,Paradise,male,댄스,-,-,-,-,-
200106,플래티넘,Tell Me Why,male,댄스,-,-,-,-,-
200106,플래티넘,선택,male,댄스,-,-,-,-,-
200106,플래티넘,Born Twice,male,댄스,-,-,-,-,-
200106,플래티넘,Sacrifice,male,댄스,-,-,-,-,-
200106,플래티넘,돌아와줘 (MR),male,댄스,-,-,-,-,-
20010605,플래티넘,Intro,male,댄스,-,-,-,-,-
20010605,플래티넘,돌아와줘,male,댄스,-,-,-,-,돌아와줘 너 oh 제발 내게 처음 만난 그때처럼 Let me love tonight give that love love love love oh 제발 그대 나 언제라도 그대곁에 I'll be there for you 너를 처음 본 순간 난 세상을 얻은듯 했어 너의 그 눈빛과 그 미소와  oh 짜릿한 손길 너와 나만의 시간은 아무것도 부럽지 않았어 언제까지나 영원하리라 우린 굳게 믿었었지 미안해 그건 실수였어 I'm going crazy 차라리 시간을 돌릴 수 있다면 baby 또 다른 여자도 가질 수 있다는 나의 착각이였던걸 나를 용서해 또 다시 한번만 Come back to me baby 돌아와줘 너 oh 제발 내게 처음만난 그때처럼  Let me love tonight give that love love love love oh 제발 그대 나 언제라도 그대곁에 I'll be there for you 거울에 비친 나만의 비친 모습 보며 나만의 비친 나만의 숨결 이제는 묻힌 기억 이제는 없어 너만은 그냥 그 자리에 남아있길 바래 내가 너만을 미워했던 때를 잊지 못해 붐붐붐 다시 돌아와 준다면 더더더더 내게  버림받는다는 생각 버려 그리고 날 봐봐  이제는 나만에 모습 지금 보여 줄 수 있게 너와 나만의 추억은 무엇과도 바꿀 수 없었어  언제까지나 영원하리라 우린 굳게 믿었었지 미안해 그건 실수 였어 I'm going crazy 차라리 시간을 돌릴 수 있다면 Baby 또 다른 여자도 가질 수 있던 나의 착각이었던 걸 나를 용서해 또 다시 한번만 Please come back to me baby 돌아와줘 너 Oh 제발 네게 처음 만난 그때처럼 Let me love tonight Gimme that love love love love Oh 제발 그대 나 언제라도 그대 곁에 I'll be there for you 돌아와줘 너 Oh 제발 네게 처음 만난 그때처럼 Let me love tonight Gimme that love love love love I'm going crazy crazy crazy 나를 용서해 또 다시 한번만 Please come back to me baby 돌아와줘 너 Oh 제발 네게 처음 만난 그때처럼 Let me love tonight Gimme that love love love love Oh 제발 그대 나 언제라도 그대 곁에 I'll be there for you 너만이 너만이 할 수 있던 너만에 모든것을 많고 많은 연인들에 환희를 느껴보는 그런 너만에 상처 모두 모두 치유할 순 없어 그래 그렇게 넌 넌 니맘대로 되진 않아 그렇게 나를 떠나가니 돌아와줘 제발 나만의 힘으로 내 의지로 바로 나에게로 존재함을 내게 항상 기억해줘 돌아와줘 너
20010605,플래티넘,Love Virus,male,댄스,-,-,-,-,-
20010605,플래티넘,Party,male,댄스,-,-,-,-,-
20010605,플래티넘,날개가 되어줘,male,댄스,-,-,-,-,-
20010605,플래티넘,Paradise,male,댄스,-,-,-,-,-
20010605,플래티넘,Tell Me Why,male,댄스,-,-,-,-,-
20010605,플래티넘,선택,male,댄스,-,-,-,-,-
20010605,플래티넘,Born Twice,male,댄스,-,-,-,-,-
20010605,플래티넘,Sacrifice,male,댄스,-,-,-,-,-
20010605,플래티넘,돌아와줘 (MR),male,댄스,-,-,-,-,-
20010605,플래티넘,Bonus Data,male,댄스,-,-,-,-,-
200106,플래티넘,Intro,male,댄스,-,-,-,-,-
200106,플래티넘,돌아와줘,male,댄스,-,-,-,-,-
200106,플래티넘,Love Virus,male,댄스,-,-,-,-,-
200106,플래티넘,Party,male,댄스,-,-,-,-,-
200106,플래티넘,날개가 되어줘,male,댄스,-,-,-,-,-
200106,플래티넘,Paradise,male,댄스,-,-,-,-,-
200106,플래티넘,Tell Me Why,male,댄스,-,-,-,-,-
200106,플래티넘,선택,male,댄스,-,-,-,-,-
200106,플래티넘,Born Twice,male,댄스,-,-,-,-,-
200106,플래티넘,Sacrifice,male,댄스,-,-,-,-,-
200106,플래티넘,돌아와줘 (MR),male,댄스,-,-,-,-,-
