년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20071118,샤크라,Lonely Christmas,female,-,-,-,-,-,once again it's lonely Christmas I don't wanna be alone all I'm asking this year I wanna be loved and so much more where's my love it's lonely Christmas I now wanna be with you hold you close and watch me snowy kiss you all night oh lonely Christmas 12월에 그댈 만났지 그땐 아름다웠어 영원하길 기도해 하얀 눈이 온 세상을 하얗게 만들었고 음 우린 즐거웠었지 난 그때가 그리워 다시 생각해 봐도 내겐 슬픈 눈물만이 흐르고 흰 눈이 내리고 그대와 사랑한 그 겨울이 나에겐 이젠 다시 올 수 없을 거라는 말을 내게 해 떠난 사람 빨리 잊으려 해도 눈을 보면 눈물이 나 넌 눈을 좋아했잖아 영원하길 기도해 나를 보며 눈을 보며 즐겁게 웃던 네가 난 너무도 보고 싶어 그때가 그리워 다시 생각해 봐도 내겐 슬픈 눈물만이 흐르고 흰 눈이 내리고 그대와 사랑한 그 겨울이 나에겐 이젠 다시 올 수 없을 거라는 말을 내게 해 Christmas Christmas Christmas Christmas 그대 없이 눈이 오는 Christmas 이젠 어떻게 해야 해 Christmas Christmas Christmas Christmas hey it's lonely Christmas I don't wanna be alone all I'm asking this year I wanna be loved and so much more where's my love it's lonely Christmas I now wanna be with you hold you close and watch me showy kiss you all night oh lonely Christmas once again it's lonely Christmas I don't wanna be alone all I'm asking this year I wanna be loved and so much more where's my love it's lonely Christmas I now wanna be with you hold you close and watch me showy kiss you all night oh lonely Christmas
20061222,샤크라,Lonely Christmas,female,발라드,-,이상민,JUSTIN,-,once again it's lonely Christmas I don't wanna be alone all I'm asking this year I wanna be loved and so much more where's my love it's lonely Christmas I now wanna be with you hold you close and watch me snowy kiss you all night oh lonely Christmas 12월에 그댈 만났지 그땐 아름다웠어 영원하길 기도해 하얀 눈이 온 세상을 하얗게 만들었고 음 우린 즐거웠었지 난 그때가 그리워 다시 생각해 봐도 내겐 슬픈 눈물만이 흐르고 흰 눈이 내리고 그대와 사랑한 그 겨울이 나에겐 이젠 다시 올 수 없을 거라는 말을 내게 해 떠난 사람 빨리 잊으려 해도 눈을 보면 눈물이 나 넌 눈을 좋아했잖아 영원하길 기도해 나를 보며 눈을 보며 즐겁게 웃던 네가 난 너무도 보고 싶어 그때가 그리워 다시 생각해 봐도 내겐 슬픈 눈물만이 흐르고 흰 눈이 내리고 그대와 사랑한 그 겨울이 나에겐 이젠 다시 올 수 없을 거라는 말을 내게 해 Christmas Christmas Christmas Christmas 그대 없이 눈이 오는 Christmas 이젠 어떻게 해야 해 Christmas Christmas Christmas Christmas hey it's lonely Christmas I don't wanna be alone all I'm asking this year I wanna be loved and so much more where's my love it's lonely Christmas I now wanna be with you hold you close and watch me showy kiss you all night oh lonely Christmas once again it's lonely Christmas I don't wanna be alone all I'm asking this year I wanna be loved and so much more where's my love it's lonely Christmas I now wanna be with you hold you close and watch me showy kiss you all night oh lonely Christmas
20051205,샤크라,Lonely Christmas,female,발라드,-,-,-,-,Once again it''s lonely christmas   I don''t wanna be alone  All I''m asking this year   I wanna be love and so much more  Where''s my love it''s Lonely christmas  I now wanna be with you hold you close   and watch me snow and  kiss you all night oh lonely christmas    12월에 그댈 만났지 그땐 아름다웠어   (영원하길 기도해)  하얀 눈이 온 세상을 하얗게 만들었고   음~ 우린 즐거웠지 난    그때가 그리워 다시 생각해봐도   내겐 슬픈 눈물만이 흐르고 흰눈이 내리고   그대와 사랑한 그 겨울이 나에겐 이젠   다시 올수 없을 거라는 말을 내게해    떠난 사람 빨리 잊으려해도   눈을 보면 눈물이 나 넌 눈을   좋아했잖아 (영원하길 기도해)   나를 보며 눈을 보며 즐겁게 웃던   네가 난 너무도 보고 싶어    christmas (christmas) christmas (christmas)  그대 없이 눈이 오는 christmas 이젠 어떻게야 해    christmas christmas christmas christmas   Hey it''s lonely Christmas   I don''t wanna be alone   All I''m asking this year   I wanna be loved and so much more   where''s my love it''s lonely christmas  I now wanna be with you hold you close   and watch me show and   kiss you all night oh Christmas
20041004,샤크라,"Never, Ever",female,댄스,-,김선민,김선민,-,어릴적 꿈은 잊은 채 그냥 걸어 왔지 비틀거리며 겨우 초라함만으로 이제서야 넘어져 올려다보는 하늘엔 태양이 찬란히 빛나고 있어 I'll never give up my life 모두 내게 안될꺼라 말하지만 Don't you ever give up your life 내 안에 모든 것 다 있어 가슴으로 부딪혀봐 이젠 눈을 감고 느낄 수가 있게 됐어 손가락 사이로 스쳐가는 바람 태양의 따스함을 나를 사랑해 주는 이 우주를 잃어버린 나를 찾았어 I'll never give up my life 마음은 모두 미래에 두는 거지 Don't you ever give up your life 우리 같이 때론 기대며 앞으로 가는 거야 never Don't you ever ever I'll never 따뜻한 가슴을 열어봐 느낄 수가 있어 I'll never give up my life 모두 내게 안될꺼라 말하지만 Don't you ever give up your life 내 안에 모든 것 다 있어 가슴으로 부딪혀봐 I'll never give up my life 마음은 모두 미래에 두는 거지 Don't you ever give up your life 우리 같이 때론 기대며 앞으로 가는 거야 never
20040723,샤크라,지난 여름,female,발라드,-,김대현,김대현,-,지난 여름 같이 걷던 해변엔 이젠 추억만이 남겠지 Oh Baby 이른 아침 날 깨우던 니 향기 You are my baby something just a wait for you 내 귓가에 속삭이던 파도소리 이젠 내 맘속에 있는데 달콤했던 니 목소리 Tell me baby 이젠 내게 말해줘 우리 지난 여름밤 이제 다시 우리 곁에 있어 지난 여름에 잊었던 그대 모습 뒤로 우리 지난 여름 밤 다시 한번 그대 곁에 있어 just a baby my dstiny 내 귓가에 속삭이던 파도소리 이젠 내 맘속에 있는데 달콤했던 니 목소리 Tell me baby 이젠 내게 말해줘 우리 지난 여름밤 이제 다시 우리 곁에 있어 지난 여름에 잊었던 그대 모습 뒤로 (우리) 지난 여름 밤 다시 한번 그대 곁에 있어 just a baby my dstiny 모든 것들은 그대로 단하나 너~만 있으면 돼 나 이렇게 항상 그 자리에 서있을께 우리 지난 여름밤 이제 다시 우리 곁에 있어 지난 여름에 잊었던 그대 모습 뒤로 우리 지난 여름 밤 다시 한번 그대 곁에 있어 just a baby my dstiny
20030821,샤크라,Intro,female,댄스,-,김기범,이윤성,-,-
20030821,샤크라,난 너에게 (To You),female,댄스,-,장성희,안성준,-,사랑 uh 이 세상 가장  소중한 That's Right  행복함 이제야 느끼는  뜨거운 넌 나의 태양 떠나가도 난 너 포기 안 해  가슴속의 내 맘 열어볼래  You're My Boy I'm  Your Lady  헤어지잔 말 쉽게 하지  않길 바래  사랑은 사랑 그 자체로  된거야 걱정하지마  항상 옆에서 널 지켜줄게  내게로 와  난 너에게 조금씩 가까이  넌 언제나 자꾸만 멀어져  하지만 나 너와 함께 있을거야  난 너에게 사랑을 원했어  넌 언제나 대답이 없었지  하지만 나 널 사랑해  언제까지나  멀어져가는걸 느껴 전화기는  계속 꺼져있어  야 너 이게 뭐야 마치  숨바꼭질 같잖아  항상 내가 옆에 있다는 걸  영원히 너뿐이라는 걸  믿어줘 얘기해줘 I Love  You 영원히 사랑은 사랑 그 자체로  된거야 걱정하지마  항상 옆에서 널 지켜줄게  내게로 와  난 너에게 조금씩 가까이  넌 언제나 자꾸만 멀어져  하지만 나 너와 함께 있을거야  난 너에게 사랑을 원했어  넌 언제나 대답이 없었지  하지만 나 널 사랑해  언제까지나  왜 이 세상에는 쉬운  사랑은 없을까  가슴 아프지 않고는 얻지  못하는 걸까  난 너에게 조금씩 가까이  넌 언제나 자꾸만 멀어져  하지만 나 너와 함께 있을거야  난 너에게 사랑을 원했어  넌 언제나 대답이 없었지  하지만 나 널 사랑해 언제까지나  난 너에게
20030821,샤크라,왜 나만,female,댄스,-,서운영,서운영,-,덤덤한 표정 그 눈빛이 너무나 두려웠어 차라리 말해버리지 잊어달라고 널 기다리지 말라고 친구로 다시 되돌리잔 차가운 니 목소리 차라리 떠나버리지 잊을수있게 널 미워할수 있도록 왜 나만 너를 혼자서 그리워하는데 왜 나만 여기 초라한채로 서 있는데 다시 돌아와 내 앞에 나설 것 같아서 잊을수도 없는데 왜 나만 너를 혼자서 보고파 하는데 왜 나만 니가 아픔을 견뎌야 하는데 내 눈물속 깊이 남긴 그 상처만은 잊지 않겠어 태연한 표정 그 눈빛이 너무나 두려웠어 정말 이기적이야 너만 생각해 날 사랑하긴 한거니 널 사랑했던 내 모습이 너무나 부끄러워 너는 또 다른 이에게 나를 잊은채 거짓말 할거 라는걸 왜 나만 너를 혼자서 그리워 하는데 왜 나만 여기 초라한채로 서 있는데 다시 돌아와 내 앞에 나설 것 같아서 잊을수도 없는데 왜 나만 너를 혼자서 보고파 하는데 왜 나만 니가 아픔을 견뎌야 하는데 내 눈물속 깊이 남긴 그 상처만은 잊지 않겠어 지금도 믿을순없어 가슴설렌 그순간들 모두 없었던거니 왜 나만 너와 함께한 추억 그리는데 왜 나만 지금 그때를 후회 하는건데 다른사랑이 내앞에 다시 다가와도 믿을수가 없는데 이세상에는 너란건 없다 생각할게 나를 흔들어 알게한 네게 감사할게 내 가슴속 깊이 남긴 그 사실만은 기억하겠어
20030821,샤크라,이 세상에 진실한 사랑은 거짓말이다,female,발라드,-,보나 (샤크라),안성준,-,이 세상에 진실한 사랑은 거짓말이다 my love 지금 어디 있나요 나 없는 곳에서 with you 내 곁을 떠나도 아무렇지 않나요 정말 그런가요 다른 사람 찾아와 나를 버린건가요 그런 거죠 나를 슬프게 하지 말아요 제발 woo stay 내게 머물러줘요 다시 한 번만 miss you 그대의 향기가 그리운걸요 느낄 수 있다면 그대의 품안에서만 숨쉴 수 있는 나이기에 다시 숨쉬게 해줘요 제발 영원히 이른 아침엔 언제나 내 얼굴에 눈물 흐르고 있니 꿈이 아니길 간절히 기도했지만 조금만 사랑했다면 내 마음 이렇게 아프진 않겠죠 My real love 다른 사람 찾아와 나를 버린건가요 그런 거죠 나를 슬프게 하지 말아요 제발
20030821,샤크라,타잔,female,댄스,-,이택승,이택승,-,ya ya ya 우린 친구라니까 부담없는 사이 의리 의리니까 ah ah ah 평생 볼 수 있잖아 부담없는 사이 chakra 편한게 좋아 너에겐 그랬어 깊은 관계는 안돼 사절이야 필요할때만 전화하게 돼서 정말 미안해 you never know my mind 바라지도 않아 넌 이런 내맘 몰라 진심없는 너의 관심에 참 눈물나 난 어떻게 표현하고 싶어도 멀어져가는 그대 hey hey hey 너무 쉽게 말하지마 내눈엔 눈물이 나 hey hey hey 이해할 수가 없어 깊은 상처가 될까봐 두려워요 ya ya ya 우린 친구라니까 부담없는 사이 의리 의리니까 ah ah ah 평생볼수 있잖아 부담없는 사이 chakra 항상 기억해 네 어깨 너머로 진한 향기와 따뜻한 햇살 그러면 뭘해 헤어졌잖아 친구 됐잖아 you never know my mind 다시 생각해봐 돌이키고 싶어 추억의 한편으로만 남긴 남기긴 싫어 한번 사랑이 다시 찾아올수 있니 멀어져가는 그대 hey hey hey 너무 쉽게 말하지마 내눈엔 눈물이나 hey hey hey  이해할 수가 없어 추억으로 남겨야죠 그립겠죠 어린아이 같은 말 하지좀마 every body 사랑으로 출발하기 좋아해 넘어서기 힘든벽을 좋아해 그저 그런 위로가 되는 친구로 지내기는 허전하니까 머리가 복잡해 난 너무 어려워져 연애좀 해봤다는 친구에게 물어봐도 예전처럼 지낼 수는 없을테니까 hey hey hey 너무 쉽게 말하지마 내눈엔 눈물이나 hey hey hey 이해할 수가 없어 깊은 상처가 될까봐 두려워요 내눈엔 눈물이나 hey hey hey 이해할 수가 없어 추억으로 남겨야죠 그립겠죠
