년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101027,투에이엠,L.O.V.E,male,국내영화,-,유상헌,방시혁,(주)JYP엔터테인먼트,얼마나 많은 시간이 흐르면 니 곁에 갈 수 있을까 갈 수 있을까 얼마나 많은 구름이 흐르면 니 곁에 갈 수 있을까 갈 수 있을까 푸르르 푸르른 브로콜리처럼 푸르르르 푸르던 너에게 다시 돌아갈 수 있을까 니 곁으로 갈 수 있을까 아니면 내 노래라도 사랑한단 말이라도 전해줄 순 없을까 사랑해 사랑해 사랑해 사랑해 사랑해 사랑해 사랑해 너 얼마나 많은 파문이 번지면 니 곁에 갈 수 있을까 갈 수 있을까 푸르르르 푸르른 브로콜리처럼 푸르르르 푸르던 너에게 다시 돌아갈 수 있을까 니 곁으로 갈 수 있을까 아니면 내 노래라도 사랑한단 말이라도 전해줄 순 없을까 사랑해 사랑해 사랑해 사랑해 사랑해 사랑해 사랑해 너 사랑해 사랑해 사랑해 사랑해 사랑해 사랑해 너
20101026,투에이엠,Intro - Phone,male,발라드,-,-,신요한,(주)JYP엔터테인먼트,-
20101026,투에이엠,전활 받지 않는 너에게,male,발라드,-,방시혁,방시혁,(주)JYP엔터테인먼트,얼마나 얼마나 싫어할 지 알면서도 이것 밖에 할 게 없다 너의 집 앞에서 할일없이  너를 기다리는 일 아무리 아무리 나 비참해도 너를 잃는 것보단 잃을 게 없어서 같은 곳에서 너의 집 앞에서 기다린다 이미 전활 받지 않는 너에게 나를 보려조차 않는 너에게 아무리 빌어도 용서를 구해도 소용 없는 일이라 해도 너의 집 앞에 서서 기다린다 나를 본체조차 하지 않아도 마치 처음 본 사람처럼 날 지나쳐도 미안하다는 내 한마딜 들어줄 때까지 하루에도 수 십 번씩 전화기를 보고 작은 소리에도 놀라서 너의 문자인지 몇 번씩 확인하곤 했어 처음에는 처음엔 늘 있는 다툼처럼 돌아 올 줄 알았어 이렇게 독하게 날 떠나기엔 너는 너무 착한 여자라서 이미 전활 받지 않는 너에게 나를 보려조차 않는 너에게 아무리 빌어도 용서를 구해도 소용 없는 일이라 해도 너의 집 앞에 서서 기다린다 나를 본체조차 하지 않아도 마치 처음 본 사람처럼 날 지나쳐도 미안하다는 내 한마딜 들어줄 때까지
20101026,투에이엠,미친 듯이,male,발라드,-,방시혁,방시혁,(주)JYP엔터테인먼트,아직 가슴이 아픈 건  참아도 눈물이 나는 건  입으론 잊었다 말해도  나조차 속여보려고 해도  널 잊지 못해서 그런 거라서  미친 듯이 눈물이 나  이러다 나 정말  무슨 일 날 거 같아  보란 듯이 잘 살아 보고 싶은데  어떡해 나 계속 눈물이 나  무슨 잘못을 한 건지  뭐가 너를 변하게 한 건지  이유를 알 수가 없어서  그런 내가 너무나 분해서  잊어보려 해도 결국 너라서  미친 듯이 눈물이 나  이러다 나 정말  무슨 일 날 거 같아  보란 듯이 잘 살아 보고 싶은데  어떡해 나 계속 눈물이 나  정말 이유는 모르겠지만  내가 뭐라도 널 섭섭하게 했겠지  다 니가 맞으니까 내가 틀린 거니까  돌아만 와줘 이 눈물을 멈춰줘  미친 듯이 눈물이 나  이러다 나 정말  무슨 일 날 거 같아  보란 듯이 잘 살아 보려 했는데  눈물만 나 계속 미친 듯이
20101026,투에이엠,바로 나야 (Feat. Glam),male,발라드,-,SLY BERRY,신효,(주)JYP엔터테인먼트,이젠 대답해 줄래 너도 나와 같은지 니 맘속에 단 한 사람 너를 위해 울어줄 단 한 사람 나도 말하고 싶어 네가 누굴 만나든 다가와줘 지켜봐줘 너를 웃음짓게 만들 사람 오 그게 바로 나야 바로 나야 조금 부족하고 조금 어설퍼도 널 위한 한 사람 널 알아 줄 사람 나야 바로 나야 바로 나야 누가 뭐라 해도 항상 니 곁에서 널 안아 줄 사람 널 지켜줄 사람 나야 And you could be just my heaven 이젠 고백해볼까 너는 나와 다른지 밤새도록 생각하고 생각해도 너무 좋은 사람 이젠 누굴 만나도 너완 다를 것 같아 잠시라도 떨어지면 아쉬워서 잠도 못들 사람 오 그게 바로 나야 바로 나야 조금 부족하고 조금 어설퍼도 널 위한 한 사람 널 알아 줄 사람 나야 바로 나야 바로 나야 누가 뭐라 해도 항상 니 곁에서 널 안아 줄 사람 널 지켜줄 사람 나야 And you could be just my heaven 말해볼래 말해줄래 넌 대체 누굴 원하는 거야 더 이상 망설이지는 마 그냥 그냥 내게 다가오면 돼 바로 나야 바로 나야 조금 부족하고 조금 어설퍼도 널 위한 한 사람 널 알아 줄 사람 나야 바로 나야 바로 나야 누가 뭐라 해도 항상 니 곁에서 널 안아 줄 사람 널 지켜줄 사람 나야 And you could be just my heaven
20101026,투에이엠,Mirage,male,발라드,-,방시혁,Golden (김지현),(주)JYP엔터테인먼트,친구들이 모두 없는 사람 보듯 니 얘기를 해 내겐 보이는데 왜 못 보는 건데 날 미쳤다고 해 매일을 하루같이 아침부터 저녁까지 난 너와 함께 있는데 Oh baby I see you Baby I touch you Was it just mirage yeh 왜 아무도 못 보는 거야 왜 모두가 눈이 먼거야 아직도 니가 내 곁에서 니가 웃는다는 걸 왜 못 보는 거야 왜 자꾸 날 미쳤단 거야 왜 이제는 잊으라는 거야 눈이 보는 걸 손이 느끼는 걸 어떻게 자꾸 자꾸 잊으란 거야 이제 그만 하고 정신 차리라고 내게 말해도 잊어버리라고 제발 끝내라고 다그쳐도 소용이 없어 인정할 수가 없어 넌 내 곁에 있어 매일을 하루같이 아침부터 저녁까지 난 너와 함께 있는데 Oh baby I see you Baby I touch you Was it just mirage yeh 왜 아무도 못 보는 거야 왜 모두가 눈이 먼거야 아직도 니가 내 곁에서 니가 웃는다는 걸 왜 못 보는 거야 왜 자꾸 날 미쳤단 거야 왜 이제는 잊으라는 거야 눈이 보는 걸 손이 느끼는 걸 어떻게 자꾸 자꾸 잊으란 거야 Look What you've done to me 행복했던 우리가 왜 이렇게 된 거야 How how do I live without you 난 너 없이 미쳐만 가 고쳐놔 다 내 곁으로 돌아와 왜 아무도 못 보는 거야 왜 모두가 눈이 먼거야 아직도 니가 내 곁에서 니가 웃는다는 걸 왜 못 보는 거야 왜 자꾸 날 미쳤단 거야 왜 이제는 잊으라는 거야 눈이 보는 걸 손이 느끼는 걸 어떻게 자꾸 자꾸 잊으란 거야 baby I see you Baby I touch you baby I see you Baby I touch you baby I with you Baby I need you
20101026,투에이엠,다시 사랑하기엔,male,발라드,-,홍지상,홍지상,(주)JYP엔터테인먼트,그댄 돌아오라고 말하지만 난 난 그럴 수가 없다는 걸 잘 알잖아 다시 시작하자고 붙잡고 애원하지만 또 다시 널 울게 할 것 만 같아 흔한 이별 노래가 그대 얘기만 같고 아직 내 생각에 아프단 걸 알지만 다 알고 있지만 다시 그대를 사랑하기엔 내가 너무도 나쁜 남자이기 때문에 아직 그대가 나를 잊지 못한다 해도 그대 곁으로 갈 수가 없어 나보다 좋은 사람을 만나서 더 행복하라고 그렇게 말을 했잖아 그런데 왜 바보같이 나만 기다리고 있어 더 이상 나를 힘들게 하지마 재밌는 영활 보고 계속 웃어 보아도 결국엔 눈물이 나는 걸 난 알지만 잘 알고 있지만 다시 그대를 사랑하기엔 내가 너무도 나쁜 남자이기 때문에 아직 그대가 나를 잊지 못한다 해도 그대 곁으로 갈 수가 없어 다시 만나 사랑을 한다 해도 영원히 너만 바라볼 자신이 없어 난 차갑게 돌아섰던 나이기 때문에 니 앞에 다시 설 용기가 없어 그럴 수가 없어 다시 그대를 사랑하기엔 내가 너무도 나쁜 남자이기 때문에 아직 그대가 나를 잊지 못한다 해도 그대 곁으로 갈 수가 없어
20101026,투에이엠,이젠 없다,male,발라드,-,심은지,심은지,(주)JYP엔터테인먼트,이젠 안될 것 같다는 끝내는게 맞다는 그 말이 내 가슴을 친다 떨리는 네 목소리가 헝클어진 눈빛이 또 한번 내 가슴을 친다 Oh 왜 아무 말도 못하고 Oh 왜 바보같이 서있어 너를 바라보다 웃다 울다 이별을 한다 다시 못 볼 사람 안아도 본다 너의 눈물자국 따라가다 멈춰서 버렸어 내가 할 수 있는게 이젠 없다 지금 막 돌아선 너를 막아서질 못하고 여기에 그대로 서있다 마지막 배려라는 게 널 붙잡지 못하게 끝까지 날 막고 서있다 Oh 왜 아무 말도 못하고 Oh 왜 바보같이 서있어 너를 바라보다 웃다 울다 이별을 한다 다시 못 볼 사람 안아도 본다 너의 눈물자국 따라가다 멈춰서 버렸어 내가 할 수 있는게 이젠 없다 서럽게 우는 네 모습을 보아도 안아 줄 순 없죠 이젠 할 수 없죠 내 몫이 아니죠 너를 바라보다 웃다 울다 이별을 한다 다시 못 볼 사람 안아도 본다 너의 눈물자국 따라가다 멈춰서 버렸어 내가 할 수 있는 게 이젠 없다 너를 바라보다 웃다 울다가 다시 못 볼 사람 안아도 본다 너의 눈물자국 따라가다 멈춰서 버렸어 내가 할 수 있는 게 이젠 없다
20101026,투에이엠,불안하다,male,발라드,-,방시혁,Wonderkid,(주)JYP엔터테인먼트,나를 사랑한단 목소리 나를 바라보는 니 눈빛 나의 손을 잡는 니 손길 모든 게 아직 예전과 똑같은데 의심할 건 하나 없는데 왜 자꾸 내 맘이 이러는지 모르겠어 모르지만 불안하다 사랑한다 말해 줄수록 내 손을 잡은 너의 손이 힘을 줄수록 불안해진다 난 또 불안하다 이렇게 잘 해준 적 없어서 요즘 들어 왠지 모르게 더 다정한 너 니가 자꾸만 더 불안해진다 가끔 친구들도 만나고 아플 때면 잘 좀 쉬라고 때론 전화가 잘 안돼도 괜찮다고 멋있게 말해야 하는데 불안한 내가 나쁜 건데 왜 자꾸 내 맘이 이러는지 모르겠어 모르지만 불안하다 사랑한다 말해 줄수록 내 손을 잡은 너의 손이 힘을 줄수록 불안해진다 난 또 불안하다 이렇게 잘 해준 적 없어서 요즘 들어 왠지 모르게 더 다정한 너 니가 자꾸만 더 불안해진다 울고 싶다 너는 아직 내 사람인데 지금이라도 전활 걸면 만날 수 있는데 난 자꾸 나도 모르게 눈물이 난다 헤어지진 않을 거라고 니 맘 잠시 지친 거라고 달래봐도 난 틀린 걸 알기에 눈물이 난다
20101026,투에이엠,"Love U, Hate U (Feat. 방탄소년단)",male,댄스,-,방탄소년단,Pdogg,(주)JYP엔터테인먼트,H to the A to the T to the E  어제 밤도 잠수 또 연락 없이  Don't wanna hate U  Don't wanna hate U  L to the O to the V to the E  내 앞에선 애교 또 사정없이  Don't wanna love U  Don't wanna love U  더 더 더 더는 못 참아  너 너 너 왜 널 못 떠나  나도 떠날 수 있어  Love love love U but I hate U  Hate hate hate U but I love U  왜왜왜 내내가 왜왜왜이래  Love love love U but I hate U  Hate hate hate U but I love U  내 맘 알면서 내 맘 알면서  내게 내게 왜 이래  그만 좀 해줘  내가 널 미워하기 전에  단 며칠 만에  어떻게 이리 사람이 변해  사랑이 변해 No  난 여기 그대로야  피해자인 척 마  우리 문젠 니 태도야  영화 보기로 한 날에  딱 꺼져 있는 폰  덥다는 핑계를 대며  떨어져 있는 손  I can't handle anymore  더 큰 믿음을 줘  애교부리지 말라니까  나 진짜 삐졌어  더 더 더 더는 못 참아  너 너 너 왜 널 못 떠나  나도 떠날 수 있어  Love love love U but I hate U  Hate hate hate U but I love U  왜왜왜 내내가 왜왜왜이래  Love love love U but I hate U  Hate hate hate U but I love U  내 맘 알면서 내 맘 알면서  내게 내게 왜 이래  대체 사랑 따위가 뭐길래  너를 떠나지 못하나 미운데  I wanna hate you  Wanna hate you  이젠 끝이라 결심했는데  너의 미소에 또 행복하네  I Love U love U love U love U  오늘도 한시간 째  나타나지 않는 너 땜에 속은 타고  지금 가고 있다던  니 모습은 보이지 않고  또 지각하는 너와 널 기다리는 나  악순환에 매일  촉박해져만 가는 시간  너와 난 자석의 극처럼 달라서 끌려  하지만 우린 아직  서롤 이해 하는덴 서툰 걸  girl 미안하단듯 짓는 니 미소에  오늘도 난 믿기로 해  다르겠지 이번엔  Love love love U but I hate U  Hate hate hate U but I love U  왜왜왜 내내가 왜왜왜이래  Love love love U but I hate U  Hate hate hate U but I love U  내 맘 알면서 내 맘 알면서  내게 내게 왜 이래
