년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100909,투애니원,Can`t Nobody,female,댄스,-,테디,테디,(주)YG엔터테인먼트,갈만큼 가겠지 오늘밤도 길겠지 분위기 타겠지 졸졸 따라 올 테지 난 참 바쁜걸 I welcome you to my world 2 N E 1 아름다운 Seoul city 시끄러운 음악소리 까만 눈 갈색머리 따라 하긴 too slow 태도는 확실하게 자신감 하늘 향해 뻔 뻔 당당하게 원한다 해도 Can't touch this 눈빛은 찌릿찌릿 심장을 beat it beat it 콧노래 LADI DADI 춤추는 BODY BODY 흥분은 NO NO 자 HERE WE GO GO 세상을 거꾸로 뒤집어놓을 SHOW Cuz I'm so bad bad but I'm so good good Yeah I'm so bad bad and I'm so hood hood Cuz I'm so bad bad but I'm so good good Yeah I'm so bad bad and I'm so hood hood Can't nobody hold us  down 날 멈추려 하지마 모두 미칠 때까지 다 지칠때까지 tonight Can't nobody hold us down Can't nobody can't nobody hold us down 갈 때까지 갈 때까지 갔어 난 Can't nobody can't nobody hold us down Cuz We keep rockin' we rock rockin' yeah 앞이 깜깜해도 달려가 네가 막아도 난 뚫고가 더 FASTER 좀 더 FASTER 눈을 감아봐 높이 날아올라봐 철없어 그게 매력인 걸 겁 없어 내 젊음인 걸 망가짐 따윈 없어 이미 벌써 Game over 정신 없이 미치자 Right now I don't give a 볼륨을 더 키워라 세상을 깨우자 Cuz I'm so bad bad but I'm so good good Yeah I'm so bad bad and I'm so hood hood Cuz I'm so bad bad but I'm so good good Yeah I'm so bad bad and I'm so hood hood Can't nobody hold us down 날 멈추려 하지마 모두 미칠 때까지 다 지칠때까지 tonight Can't nobody hold us down Can't nobody can't nobody hold us down 갈 때까지 갈 때까지 갔어 난 Can't nobody can't nobody hold us down Cuz We keep rockin' we rock rockin' yeah Let's rock Just take it to the top Ain't never gonna stop Now all I wanna do is  make you rock Just take it to the top Ain't never gonna stop Now make em say na na na na Let's rock Just take it to the top Ain't never gonna stop Now all I wanna do is make  you rock Just take it to the top Ain't never gonna stop Now make em say na na na na na na na na na na na na
20100909,투애니원,Go Away,female,댄스,-,테디,테디,(주)YG엔터테인먼트,너무 치사하잖아 너답지 못하잖아 지금 적응이 안돼 어 어 어지러워 왜 누가 누구랑 헤어져 네가 나랑 헤어져 잘 생각하고 말해 Yeah 날 따라다니던 남자 참 괜찮았던 남자 난 너 하나 때문에 다다다 보냈는데 누가 누구랑 헤어져 네가 나랑 헤어져 나 없이 잘 살아봐 yeah Tonight 하필 또 비는 내려 왜 내 모습 초라해지게 날 위로 하지는 마 이 손 치워 이제 남이니까 내 걱정 말고 Go Away 집착 없이 사라져 줄게 매달릴 줄 알았겠지 역겨워 착각하지마 더 멋진 사람 만날게 널 후회하게 만들어 줄게 슬픔은 지금 뿐야 boy Cause love is over Love love is over tonight Just say what you gotta say 어쩜 끝까지 멋없니 Fiance Beyonce I'm walkin' out of destiny 초라한 홀로가 아닌 화려한 솔로 That's my way 모든걸 다 줬으니 오히려 난 후회 안 해 지가 더 슬픈 척 끝까지 멋있는 척 All you do is act a fool You ain't shit without your crew 시간 없어 I gotta go 안녕 good bye adios 네 못난 얼굴 다신 보고 싶진 않아 no more Tonight 하필 또 비는 내려 왜 내 모습 초라해지게 날 위로 하지는 마 이 손 치워 이제 남이니까 내 걱정 말고 Go Away 집착 없이 사라져 줄게 매달릴 줄 알았겠지 역겨워 착각하지마 더 멋진 사람 만날게 널 후회하게 만들어 줄게 슬픔은 지금 뿐야 boy Cause love is over Love love is over tonight 내 걱정 말고 Go Away 집착 없이 사라져 줄게 매달릴 줄 알았겠지 역겨워 착각하지마 더 멋진 사람 만날게 널 후회하게 만들어 줄게 슬픔은 지금 뿐야 boy Cause love is over Love love is over tonight
20100909,투애니원,박수쳐,female,댄스,-,E.Knock,E.Knock,(주)YG엔터테인먼트,박수 쳐 박수 쳐 박수 쳐 모두 박수 쳐 박수 쳐 모두 박수 쳐 네가 어디에서 무엇을 하던 걱정 근심 따윈 버리고 다 손뼉 쳐 자 이제 손을 높이 들자 크게 치는 사람 오늘 승자 2NE1 함께 놀자 혼자 있는 사람 모두 빨리 부르자 이 답답한 도시에서 벗어 나자 박자에 맞춰 모두 다 우리는 우리 밖으로 탈출한 사자 I wanna rock your body 오늘 하루는 잠시 미쳐봐 몸이 뜨거워 질 때까지 뛰어봐 우리 만나면 A YO 나에 손 너에 손 부딪쳐 보자 오늘 하루는 잠시 미미 미쳐봐 욕심 따위는 모두 이이 잊어봐 우리 신나면 ayo Walk Like A Champion 모두 준비 됐어 박수 쳐 박수 쳐 모두 손을 올리고 저 하늘에게 말을 걸어 봐 박수 쳐 박수 쳐 이제부터 시작이야 K O R E A 자 힘이 들 땐 모두 산을 타자 30분 뒤에 정상에서 만나 내가 제인 이라면 넌 타잔 가자 저 넓은 우주를 향해 탈출하자 탐험 하자 깊은 바다에서의 뜨거운 마찰 잠깐 이제 우린 모두 하나 One More time Rock Your Body Every Body 오늘 하루는 잠시 미쳐봐 몸이 뜨거워 질 때까지 뛰어봐 우리 만나면 A YO 나에 손 너에 손 부딪쳐 보자 오늘 하루는 잠시 미미 미쳐봐 욕심 따위는 모두 이이 잊어봐 우리 신나면 ayo Walk Like A Champion 모두 준비 됐어 박수 쳐 박수 쳐 모두 손을 올리고 저 하늘에게 말을 걸어 봐 박수 쳐 박수 쳐 이제부터 시작이야 K O R E A 빨게 진 손뼉으로 모두 공격 이 차가운 세상에 너를 보여줘 YO 이 음악으로 지구를 흔들자 좀 더 크게 노랠 부르자 너와 나의 소리가 하나 되고 그 소리가 합쳐 세상을 흔들고 느껴진다면 모두 같이 나와 춤추자 Just You and Me One I Wanna Rock YO Body I Wanna Make Some Noise 걱정 따윈 날려 버려 I Wanna Rock YO Body I Wanna Make Some Noise 무거운 짐 따윈 벗어 던져 박수 쳐 박수 쳐 모두 손을 올리고 저 하늘에게 말을 걸어 봐 박수 쳐 박수 쳐 이제부터 시작이야 K O R E A
20100909,투애니원,19금난 바빠,female,댄스,-,빅톤,P.K,(주)YG엔터테인먼트,-
20100909,투애니원,아파 (Slow),female,발라드,-,선우정아,선우정아,(주)YG엔터테인먼트,내가 준 신발을 신고 그녀와 길을 걷고 아무렇지 않게 그녀와 kiss하고 내가 준 향수 뿌리고 그녀를 품에 안고 나와 했던 그 약속 또 다시 하겠죠 우린 이미 늦었나 봐요 우리 사랑 끝난 건가요 아무 말이라도 좀 내게 해줘요 Oh 우리 정말 사랑했잖아 되돌릴 순 없는 건가요 오늘밤 나 많이 아파요 변했니 네 맘 속에 이제 난 더 이상 없는 거니 난 널 널 생각하면 너무 아파 아파 아파 아무것도 아니란 듯 내 눈물 바라보고 태연하게 말을 또 이어가고 아니란 말 못하겠다고 그 어떤 미련도 후회도 전혀 없다고 잔인하게 말했죠 우린 이미 늦은 건가요 우리 사랑 끝난 건가요 거짓말이라도 좀 아니라고 해줘요 이젠 더 잘할 수 있는데 다시 만날 수는 없지만 오늘 밤 나 많이 아파요 변했니 네 맘 속에 이제 난 더 이상 없는 거니 난 널 널 생각하면 너무 아파 아파 아파 더 이상 예전의 네가 아니야 내가 사랑한 너와 지금의 네가 너무도 달라서 그저 멍하니 멀어지는 널 바라보고만 서서 울었어 No way I can't recognize you're not mine anymore 변해야 했니 돌아올 순 없니 꼭 변해야 했니 돌아와줄 순 없니 변해야 했니 돌아올 순 없니 왜 변해야 하니 계속 사랑할 순 없니 끝인 거니 네 맘 속에 이제 난 더 이상 없는 거니 난 널 널 생각하면 너무 아파 아파 아파 아파 아파 아파 아파
20100909,투애니원,사랑은 아야야,female,댄스,-,MASTA WU,CHOICE37,(주)YG엔터테인먼트,Oh oh woo woah oh oh break it down now woah woo oh oh woo oh oh oh Break it down now Oh oh woo woah oh oh break it down now woah woo woah oh woo woah This how it's goin down 사랑한다면서 왜 날 자꾸 힘들게 해 도대체 뭐가 불만인데 요즘 들어 부쩍 늘어난 간섭 참견이 날 지치게 해 hey 그렇게 또 며칠째 난 네 전화를 피해 I tell you what's going on 나만 행복하게 해주겠다던 네 그 약속 boy Tell me what's up what's up 넌 많이 달라졌어 너는 쉽게 넘어 가려 하지만 벌써 시간이 다 됐나 봐 time to say good bye 못들은 척하지마 우린 이미 예전에 over 이젠 고개를 돌려 난 이별 노랠 불러 bye my love 더 높이 날 꺼야 저 멀리 달콤한 유혹에 나 속지는 않아 새로운 시작 이젠 이별의 시간 힘차게 다시 나가는 거야 그러니 너 역시 내게서 영원히 자유로워 지길 바래 지금 이순간 사랑은 언제나 아이야이야 아픔도 있는 거야 이제 널 잊는 거야 부쩍 늘어난 다툼에 절로 흘러나오는 한숨 우린 서로에게 잘못 하고 있어 너도 알고 있어 그걸 that I'm better without you 반복되는 서로에게 죄가 되는 그런 싸움에서 우린 서로 이기려 해 이런 내 자신이 싫어 그래서 더 네가 미워 이젠 너를 지우려 해 이별도 사랑이라고 생각해줘 You'd drive me crazy 이러다가 널 미워 할거만 같아 대신 말해줄게 it's over 이젠 고개를 돌려 난 이별 노랠 불러 bye my love 더 높이 날 꺼야 저 멀리 달콤한 유혹에 나 속지는 않아 새로운 시작 이젠 이별의 시간 힘차게 다시 나가는 거야 그러니 너 역시 내게서 영원히 자유로워 지길 바래 지금 이순간 사랑은 언제나 아이야이야 아픔도 있는 거야 이제 널 잊는 거야 어딜 가든 I will think of you 언제나 늘 곁에 늘 옆에 all right 널 위해 기도해줄게 두 손 모아 행복해 영원히 영원히 영원히 함께 한다고 더 높이 날 꺼야 저 멀리 달콤한 유혹에 나 속지는 않아 새로운 시작 이젠 이별의 시간 힘차게 다시 나가는 거야 그러니 너 역시 내게서 영원히 자유로워 지길 바래 지금 이순간 사랑은 언제나 아이야이야 아픔도 있는 거야 이젠 널 잊는 거야 Oh oh woo woah oh oh break it down now woah woo woah oh woo woah It's almost over now 난 잊지 않아 day and night 언제나 너와 함께한 추억 너와 함께한 추억
20100909,투애니원,You And I,female,발라드,-,테디,테디,(주)YG엔터테인먼트,No mater what happens even when the skys falling down l promise you that I will never let you go Oh Oh Oh Yeah Yeah You 내가 쓰러질 때 절대 흔들림없이 강한 눈빛으로 몇 번이고 날 일으켜줘 And You 나 힘에 겨울 때 슬픔의 벼랑 끝까지 또 어김없이 찾아와 두 손 잡은 그대에게 난 해준게 없는데 초라한 나지만 오늘 그대 위해 이 노랠 불러요 Tonight 그대의 두눈에 그 미소 뒤에 날 위해 감춰 왔던 아픔이 보여요 You and I together it's just feel so right 이별이란 말은 never 그 누가 뭐라해도 난 그댈 지킬게 You and l together 내 두 손을 놓지 마 안녕이란 말은 never 내게 이 세상은 오직 너하나기에 다른 많은 사람처럼 우리 사랑 역시 조금씩 변하겠죠 하지만 제발 슬퍼말아요 오랜 친한 친구처럼 나만은 믿을 수 있게 기댈 수 있게 I promise you that l'll be right here baby 난 해준게 없는데 초라한 나지만 오늘 그댈 위해 이 노래 불러요 Tonight 그대의 두 눈에 그 미소 뒤에 날 위해 감춰왔던 아픔이 보여요 You and l together it's just feel so right 이별이란 말은 never 그 누가 뭐라 해도 난 그댈 지킬게 You and l together 내 두 손을 놓지 마 안녕이란 말은 never 내게 이 세상은 오직 너하나기에 외로운 밤이 찾아올 땐 나 살며시 눈을 감아요 그대의 숨결이 날 안을 때 무엇도 두렵지 않죠 이 세상 그 어떤 누구도 그대를 대신할 수 없죠 You are the only one and l'll be there for you baby You and l together it's just feel so right 이별이란 말은 never 그 누가 뭐라 해도 난 그댈 지킬게 You and l together 내 두 손을 놓지 마 안녕이란 말은 never 내게 이 세상은 오직 너와 나기에 Just you and I Forever and ever
20100909,투애니원,Please Don`t Go,female,댄스,-,테디,테디,(주)YG엔터테인먼트,This is This is U know this is 2N E1 너와 마주치면 내 가슴은 롤러코스터 ride 정신없이 흔들리다 결국 제자리로 와 up and down yes I'm going down 쉬지 않고 매일 돌고 돌고 도는 우리 사이 헷갈리고 정신 없어 lets get down 네 곁에 있을 때면 생각 없이 웃기만 하다가 잠시라도 떨어지면 슬퍼져 나 미쳤나 봐 Tell me why why why why why 우리 도대체 왜 이래야만 하는 건지 너도 내 생각과 같은 건지 bring it My mind out of control I just can't take it no more tonight I won't let u go I gotta go Please Don't Go 내 곁에 stay 오늘밤만은 혼자 있기 싫어 Please Don't Go 그대여 stay 널 향한 내 맘이 영원할 수 있게 Ma baby Lets ride ride 이 밤의 저편 끝까지 Lets fly fly 아침 해가 떠오를 때까지 1 step and 2 step to the left to the left 1 step and 2 step to the right yes I'm the baddest Female Seoul city ever had 조심스레 니 맘 전하기만 해 말을 해봐 내가 알 수 있게 머물고파 Tonight 그대 곁에 잠 못드는 밤이 난 너무 긴데 내 맘 안다면 why u want to leave me 여자라 먼저 차마 말 못해 touch me hold me love me don't tease me 난 솔직한 게 좋아 그냥 내 마음은 그래 맘 먹고 다가서면 너는 부담스레 피해 round and round yes we goin round and round 기다림에 지쳐만 가는 내 모습 하루하루 반복되는 우리 둘 bring it My mind try to control I just can't take it no more tonight I won't let u go I gotta go Please Don't Go 내 곁에 stay 오늘밤만은 혼자 있기 싫어 Please Don't Go 그대여 stay 널 향한 내 맘이 영원할 수 있게 Ma baby Lets ride ride 이 밤의 저편 끝까지 Lets fly fly 아침 해가 떠오를 때까지 1 step and 2 step to the left to the left 1 step and 2 step to the right 난 너무 불안해져 when I miss you 날 떠날 까봐 두려운 마음뿐인데 이 밤은 아름다워 when I'm with you 떠나지 마요 내 곁에 stay Please Don't Go 내 곁에 stay 오늘밤만은 혼자 있기 싫어 Please Don't Go 그대여 stay 널 향한 내 맘이 영원할 수 있게 Ma baby Lets ride ride 이 밤의 저편 끝까지 Lets fly fly 아침 해가 떠오를 때까지 1 step and 2 step to the left to the left 1 step and 2 step to the right
20100909,투애니원,Kiss,female,댄스,-,테디,테디,(주)YG엔터테인먼트,I just wanna kiss I never wanna miss 더 짜릿하게 one more time 내 숨을 가져가 I'm dying for your kiss I never wanna miss 더 망설이지마 내 입술을 가져가 2ne1 Baby boy 왜 항상 할말이 그리 많아 답답한 baby boy 사랑한다 고백할 건 알아 I'm not a baby girl 니 생각보다 눈치가 난 빨라 우린 매일 항상 제자리를 돌아 도대체 넌 왜 날 그렇게도 몰라 Baby boy 그 자신감에 반했던 날 기억해 Ma baby boy 니 템포 생각보다 너무 지루해 I'm your baby girl 헤어질 땐 언제까지 그렇게 손만 흔드는지 꽃다발도 좋고 편지도 좋지만 I guess you just never know 서두르지마 다른 얘기하지마 어쩜 그렇게도 잘 참니 혹시 남자 맞니 미소 짓지마 너무 따분하잖아 눈을 감고 지금 다가와 and just get it get it I just wanna kiss I never wanna miss 더 짜릿하게 one more time 내 숨을 가져가 I'm dying for your kiss I never wanna miss 더 망설이지마 내 입술을 가져가 Hurry up you let it touch 절대 많은 걸 바라지는 않아 Hurry up you let it touch Baby 오늘만큼만 제발 날 놓치지마 Come on and let my body bounce 내 참을성을 시험하지마 난 오늘도 About to lose control 내 심장은 마치 Dynamite Tic Tic Toc Toc 시간은 Go fast We We Don't stop 이 밤 남 몰래 바보같이 우는 내 모습이 난 참기가 힘들어 killing me If you want me to Lets Go 춤 추는 내 맘은 Disco 넌 마치 내 주위를 맴도는 말 없이 훌쩍 가버리는 UFO 서두르지마 다른 얘기하지마 어쩜 그렇게도 잘 참니 혹시 남자 맞니 미소 짓지마 너무 따분하잖아 눈을 감고 지금 다가와 just get it get it I just wanna kiss I never wanna miss 더 짜릿하게 one more time 내 숨을 가져가 I'm dying for your kiss I never wanna miss 더 망설이지마 내 입술을 가져가 Hurry up you let it touch 절대 많은 걸 바라지는 않아 Hurry up you let it touch Baby 오늘만큼은 제발 사랑은 Dangerous 내 눈빛은 Now poisonous 지금 흔들리는 Two of us 하지만 we just feel so good 사랑은 Dangerous 내 입술은 Now poisonous 지금 흔들리는 Two of us Were dangerous in danger danger 사랑은 Dangerous 내 눈빛은 Now poisonous 지금 흔들리는 Two of us 하지만 we just feel so good 사랑은 Dangerous 내 입술은 Now poisonous 지금 흔들리는 Two of us Were dangerous in danger danger danger danger
20100909,투애니원,날 따라 해봐요,female,댄스,-,테디,테디,(주)YG엔터테인먼트,2N E1 2010 you know how we do it If you ain't know now you know Let me show you something real quick follow me 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 한 숨 따윈 제발 그만 쉬고 어서 나를 따라와 이제 생각은 다 버리고 그저 네 맘대로 자 움직여봐 거칠게 달려보자 feels good tonight 더 빨리 갈 테니 절대 눈 감지마 I got that thang thang if you know what I mean It goes bang bang you can't handle it 하하하 재밌는걸 say 라라라 난 특별한걸 call me M I N Z Y M I N Z Y Yes 자 빠져봐 let's go 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 눈치 따윈 제발 그만 보고 어서 너를 보여봐 네가 원하던 거잖아 step by step 절대로 멈추지마 다 같이 날아보자 up in the sky 더 높이 갈테니 정신을 붙잡아 I got that thang thang if you know what I mean It goes bang a bang a bang bang a bang a bang 하하하 재밌는걸 say 라라라 난 특별한걸 call me M I N Z Y M I N Z Y Yes 자 빠져봐 let's go 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게 날 따라 해봐요 날 따라 해봐요 날 따라 해봐요 이렇게
