년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101011,투피엠,Still,male,댄스,-,홍지상,홍지상,(주)JYP엔터테인먼트,나만 바라볼 줄 알았던 너라서 우린 영원할거라고 믿고 있었는데 왜 이렇게 돼버렸는지 점점 차가워지는 너의 표정이 나를 외면하는 너의 그 눈빛이 날 슬프게 해도 더 아프게 해도 나 널 사랑하는걸
20101011,투피엠,I`ll Be Back,male,댄스,-,박진영,박진영,(주)JYP엔터테인먼트,I'll be back 넌 다시 나를 찾을 거야 그때 다시 내가 올 거야 그 누구도 너를 나보다 사랑 할 순 없기에 갑자기 이럼 어떡해 난 어떻게 하란 말야 네가 도대체 어떻게 이래 난 네가 날 영원히 사랑할거란 말 믿었단 말야 약속했잖아 영원히 변하지 말자고 우리는 분명 맺어진 짝이라고 분명히 맞다고 네가 그렇게 얘기했잖아 I'll be back 넌 다시 나를 찾을 거야 그때 다시 내가 올 거야 그 누구도 너를 나보다 사랑 할 순 없기에 You'll be back 너는 다시 돌아 올 거야 그래서 널 보내는 거야 나는 알아 네가 나 없인 못산단 것을 I'll be back 넌 난 우린 헤어질 수가 없어 네가 착각을 하나 봐 이건 누구나 한번쯤 겪는 고비일 뿐이야 정신차려 다시 생각해 아무리 말을 해 줘봐도 이미 넌 말을 듣지 않아 메아리로 돌아오잖아 I'll be back 넌 다시 나를 찾을 거야 그때 다시 내가 올 거야 그 누구도 너를 나보다 사랑 할 순 없기에 You'll be back 너는 다시 돌아 올 거야 그래서 널 보내는 거야 나는 알아 네가 나 없인 못산단 것을 Listen baby girl 그래 돌아서줄게 멋지게 남자답게 놓아줄게 그리고 널 귀찮게 하지 않게 말없이 저 뒤에서 죽은 듯이 서서 바라볼게 너는 모르게 그냥 멀리서 아주 많이 떨어져서 나의 존재를 네가 완전히 잊어버리게 But you better know that I'm not giving you away Will I ever stop waiting no way It'll be the same in my world I'm your boy You're my Girl 잠깐 그댈 보내지만 난 네가 다시 돌아올 거란걸 알아 그러니 걱정 말아 네가 쓰러질 때 I'll be back I'll be back 넌 다시 나를 찾을 거야 그때 다시 내가 올 거야 그 누구도 너를 나보다 사랑 할 순 없기에 You'll be back 너는 다시 돌아 올 거야 그래서 널 보내는 거야 나는 알아 네가 나 없인 못산단 것을 I'll be back
20101011,투피엠,니가 나를 떠나도,male,댄스,-,슈퍼창따이,슈퍼창따이,(주)JYP엔터테인먼트,니가 나를 떠나도 널 지켜 볼 수 있다면 난 행복해 난 행복해 그걸로 돼 다른 품에 안겨도 날 기억하고 있다면 난 행복해 난 행복해 그걸로 돼 어디서든 아프지 말고 살 뺀 다고 밥 굶지 말고 그 사람 앞에서 더 더 웃어 줘야 해 예쁘게 혹시 내가 그리울 땐 이 노랠 들어 그 사람이 아프게할 땐 이 노랠 들려줘 싫어 싫어 자꾸 내가 보고플 땐 이 노랠 불러 널 위해 준비한 내 마지막 선물을 안녕 안녕 그 사람이 가끔은 나를 물어 본다면 모른다 해 버렸다 해 그래도 돼 혹시라도 내가 못 참아 밤새 너의 전활 울리면 그 사람 곁으로가 지켜 달라해 혹시 내가 그리울 땐 이 노랠 들어 그 사람이 아프게할 땐 이 노랠 들려줘 싫어 싫어 자꾸 내가 보고플 땐 이 노랠 불러 널 위해 준비한 내 마지막 선물을 안녕 안녕 돌아 보지마 나같이 불행한 놈 기억할 필요없어 흔적도 없을 몸 어차피 해준 것도 없어 깔끔하게 돌아서 그리움도 사친걸 완전히 날 지워 행복하게 살아 줘 제발 그렇게 너를 위해 살아 나같은 건 이제 잊어 행복하게 살아 행복하게 살아 미안해 니 곁에 있어 줄 수가 없어 자꾸 내가 보고플 땐 이 노랠 불러 널 위해 준비한 내 마지막 선물을 안녕 안녕 널 위해 준비한 내 마지막 선물을
20101011,투피엠,I Can`t,male,발라드,-,라디 (Ra. D),라디 (Ra. D),(주)JYP엔터테인먼트,그대 올 때까지 기다릴께 Cuz I can't forget your love 눈물이 흐를것 같아 그대 생각만 하면 갈수록 깊어만 가 I can't stop Thinkin about your love 잊을 수 없을 것 같아 그대 모든 것 믿을 수 없을 것 같아 그대 돌아온다면 I can't forget your love 언제까지라도 난 그대 올때까지 기다릴께 I can't forget your love 언제까지라도 기다릴께 cuz I can't I can't forget your love 그대 생각에 잠 못 드는 밤을 지새우다 흐를것 같은 눈물을 참지 못해 가끔 혼자 I cried 이 세상에 그대 밖에 없는 나였기에 그대를 잃고 내게 남은 것은 아무것도 없었어 So I can't forget your love I can't forget your love 언제까지라도 난 그대 올때까지 기다릴께 I can't forget your love 언제까지라도 기다릴께 cuz I can't I can't forget your love 잊으려고 해본적도 없어 내겐 가치 없는 일이라서 그댈 떠올리는 일이 매일 내게는 숨쉬는 것만큼 소중해서 I can't forget your love Do you know that I need your love I need your everything I need you back 기다릴 수 있어 till you come back Comeback to me I can't forget your love 언제까지라도 난 그대 올때까지 기다릴께 I can't forget your love 언제까지라도 기다릴께 cuz I can't I can't forget your love I can't forget your love 언제까지라도 난 그대 올때까지 기다릴께 I can't forget your love 언제까지라도 기다릴께 cuz I can't I can't forget your love
20101011,투피엠,I Know,male,댄스,-,조종수 ,조종수 ,(주)JYP엔터테인먼트,I know I know I know I know I know I know 니 뒷모습이 보여 차가운 모습으로 그렇게 사라지고 아무 말 못하고 바보같이 그냥 난 여전히 남아있어 넌 없는데 이렇게 널 널 널 널 널 부르고 있어 넌 떠났는데 아직도 난 난 난 난 너를 그리고 있어 I know I know I know 변한 널 알고 있지만 알지만 너를 그리고 있어 I know I know I know 떠난걸 알고 있지만 하지만 I know I know I know 끝인걸 알고 있지만 아직 난 너를 그리고 있어 I know I know I know 이대로 널 널 보낼 수 없어 못해 난 가끔씩 니가 보여 내 눈앞에선 아직도 아직도 아직도 널 그려 잊어야 하는데 다 끝난 일인데 난 그러지 못하겠어 넌 없는데 이렇게 널 널 널 널 널 부르고 있어 넌 떠났는데 아직도 난 난 난 난 너를 그리고 있어 I know I know I know 변한 널 알고 있지만 알지만 너를 그리고 있어 I know I know I know 떠난걸 알고 있지만 하지만 I know I know I know 끝인걸 알고 있지만 아직 난 너를 그리고 있어 I know I know I know 이대로 널 널 보낼 수 없어 못해 난 떠나버린 널 잊지 못해 난 또 펑펑펑 울고불고 니가 떠난 그 시간 그대로 멈춰서 있어 매일같이 널 그리는데 왜 대체 안 보이는데 어디 있니 hey lady 내 품으로 come back to me 너 없인 숨도 못 쉬어 너 떠난후 시간은 멈춰 눈을 감아도 잠들지 못하고 계속 뒤척이다 눈떠 떠난걸 아는데도 수백번 다짐을 해도 안돼 이렇게 애원하잖아 이대로 널 널 못 보내 난 I know I know I know 변한 널 알고 있지만 알지만 너를 그리고 있어 I know I know I know 떠난걸 알고 있지만 하지만 I know I know I know 끝인걸 알고 있지만 아직 난 너를 그리고 있어 I know I know I know 이대로 널 널 보낼 수 없어 못해 난
20101011,투피엠,Dance2Night,male,댄스,-,방유현,방유현,(주)JYP엔터테인먼트,Woo Dance with me I wanna ride with you Woo Dance with me dance with me 그대 지금 어딜 바라보는지 대체 지금 무슨 생각하는지 그대는 원래 그대는 원래 남자랑은 춤 출 생각 없는지 하지만 난 다른 남자들과 진짜 뭔가 달라 내 눈을 바라보면 알 수 있어 언제까지 망설일래 baby 리듬의 몸을 맡겨 lady One Step One Two Two Step 몸을 움직여 지금 이순간 둘만의 공간 너를 맡겨봐 이젠 Baby Baby Dance Baby Dance Baby Dance With me 그댄 지금 어딜 봐 나를 봐 몸을 내게 맡겨 Dance With me 이젠 Baby Baby Dance Baby Dance Baby Dance With me 지금 여길 느껴봐 즐겨봐 Baby Dance Tonight 너도 Dance Tonight 그대 지금 누굴 찾고 있는지 친군 다른 남자와 춤추는데 그댄 왜 자꾸 친굴 붙잡구 눈치 없게 집에 가자 하는지 이젠 제발 재미없게 굴지 말고 내 손 잡아 오늘이 지나가면 후회할껄 언제까지 망설일래 baby 나와 춤을 춰죠 lady One Step One Two Two Step 몸을 흔들어 지금 이순간 둘만의 공간 주저하지마 이젠 Baby Baby Dance Baby Dance Baby Dance With me 그댄 지금 어딜 봐 나를 봐 몸을 내게 맡겨 Dance With me 이젠 Baby Baby Dance Baby Dance Baby Dance With me 지금 여길 느껴봐 즐겨봐 Baby Dance Tonight 너도 Dance Tonight Yo Dance Tonight 함께 Feeling alright 모두가 내게 이젠 맡겨 신경 쓸 필요 없어 됐어 자연스런 너의 nature 지금 리듬 타고 있는 너의 gesture 원하잖아 바라잖아 stage 위로 따라오는 시선 제껴버려 너의 뒤로 두고 몸을 움직여 박자에 맞춰 이 음악을 느껴봐 그리고 이제 즐겨봐 oh One Step One Two Two Step 몸을 움직여 지금이 순간 둘만의 공간 너를 맡겨봐 이젠 Baby Baby Dance Baby Dance Baby Dance With me 그댄 지금 어딜 봐 나를 봐 몸을 내게 맡겨 Dance With me 이젠 Baby Baby Dance Baby Dance Baby Dance With me 지금 여길 느껴봐 즐겨봐 Baby Dance Tonight 너도 Dance Tonight 이젠 Baby Baby Dance Baby Dance Come on girl Dance With me 이젠 Baby Baby Dance Baby Dance Don't try leave Stay With me 이젠 Baby Baby Dance Baby Dance Come On Baby Dance Come On Baby Dance 이젠 Baby Baby Dance Baby Dance Baby Dance Tonight 너도 Dance Tonight
20101011,투피엠,I`ll Be Back (Club Mix),male,댄스,-,박진영,박진영,(주)JYP엔터테인먼트,I'll be back 넌 다시 나를 찾을 거야 그때 다시 내가 올 거야 그 누구도 너를 나보다 사랑 할 순 없기에 갑자기 이럼 어떡해 난 어떻게 하란 말야 네가 도대체 어떻게 이래 난 네가 날 영원히 사랑할거란 말 믿었단 말야 약속했잖아 영원히 변하지 말자고 우리는 분명 맺어진 짝이라고 분명히 맞다고 네가 그렇게 얘기했잖아 I'll be back 넌 다시 나를 찾을 거야 그때 다시 내가 올 거야 그 누구도 너를 나보다 사랑 할 순 없기에 You'll be back 너는 다시 돌아 올 거야 그래서 널 보내는 거야 나는 알아 네가 나 없인 못산단 것을 I'll be back 넌 난 우린 헤어질 수가 없어 네가 착각을 하나 봐 이건 누구나 한번쯤 겪는 고비일 뿐이야 정신차려 다시 생각해 아무리 말을 해 줘봐도 이미 넌 말을 듣지 않아 메아리로 돌아오잖아 I'll be back 넌 다시 나를 찾을 거야 그때 다시 내가 올 거야 그 누구도 너를 나보다 사랑 할 순 없기에 You'll be back 너는 다시 돌아 올 거야 그래서 널 보내는 거야 나는 알아 네가 나 없인 못산단 것을 Listen baby girl 그래 돌아서줄게 멋지게 남자답게 놓아줄게 그리고 널 귀찮게 하지 않게 말없이 저 뒤에서 죽은 듯이 서서 바라볼게 너는 모르게 그냥 멀리서 아주 많이 떨어져서 나의 존재를 네가 완전히 잊어버리게 But you better know that that I'm not giving you away Will I ever stop waiting no way It'll be the same in my world I'm your boy You're my Girl 잠깐 그댈 보내지만 난 네가 다시 돌아올 거란걸 알아 그러니 걱정 말아 네가 쓰러질 때 I'll be back I'll be back 넌 다시 나를 찾을 거야 그때 다시 내가 올 거야 그 누구도 너를 나보다 사랑 할 순 없기에 You'll be back 너는 다시 돌아 올 거야 그래서 널 보내는 거야 나는 알아 네가 나 없인 못산단 것을 I'll be back
20100909,투피엠,Nori For U,male,댄스,-,홍지상,홍지상,(주)JYP엔터테인먼트,l'm gonna make you smile 항상 지루하지 않게 너에게 재밌는 놀일 약속해 everyday 함께 하는 일들 모두 너와의 노리 노리 노리 우리 둘 만의 매번 색다른 얘깃거리 함께하는 새롭고 신나는 도전들이 내겐 가장 재밌는 놀인 걸 너무 좋은 걸 난 말야 이 기분을 주고 싶어 다 알아 너도 받고 싶다는 걸 전부 다 니가 원하는 놀이로 만들어 줄게 I'm gonna make you smile 항상 지루하지 않게 너에게 재밌는 놀일 약속해 Everyday 함께 있는 시간 가득 즐거운 노리 I'm gonna make you smile 깜짝 놀라게 해줄게 너에게 색다른 재미를 줄께 Everyday 함께하는 일들 모두 너와의 노리 노리 노리 아직 니가 모르는 톡톡 튀는 내 매력 너에게 보여주고 싶단 생각만해도 내겐 가장 재밌는 놀인 걸 아직 많은 걸 난 말야 이 기분을 주고 싶어 다 알아 너도 받고 싶다는 걸 전부다 니가 원하는 놀이로 만들어 줄께 I'm gonna make you smile 항상 지루하지 않게 너에게 재밌는 놀일 약속해 Everyday 함께 있는 시간 가득 즐거운 노리 I'm gonna make you smile 깜짝 놀라게 해줄게 너에게 색다른 재미를 줄께 Everyday 함께하는 일들 모두 너와의 노리 노리 노리 매일 새로운걸 주고 싶어 함께 색다른 것을 느끼고 싶어 세련된 감각과 패션 유머 같이 나누는 놀이를 너와 하고 싶어 놀이 놀이 아이디어가 넘쳐 요리 조리 봐도 재미만점 놀이 놀이 너와계속 놀래 hurry hurry 자꾸 맘이 설레 I'm gonna make you smile 항상 지루하지 않게 너에게 재밌는 놀일 약속해 Everyday 함께 있는 시간 가득 즐거운 노리 I'm gonna make you smile 깜짝 놀라게 해줄게 너에게 색다른 재미를 줄께 Everyday 함께하는 일들 모두 너와의 노리 노리 노리
20100823,투피엠,Fly To Seoul `Boom Boom Boom`,male,댄스,-,슈퍼창따이,슈퍼창따이,(주)JYP엔터테인먼트,2 P M you know what it is Fly to Seoul Let's go 오 제발 말리지 말아줘 나에겐 아직도 많이 보여줄게 있는데 놀라지 말고 함께해줘 네게만 감춰온 걸 다줄께 난 혼자서 랩도해 노래도 춤도 춰 감춰왔던 날 보여줄게 여기에 다 모여 너도 나와 즐겨봐 빨리 이 순간 널 위한 파티 Let's get along come in 잠들지 않는 이 도시 Fly to Seoul 나와 Let's dance dance Boom Boom Boom 함께 즐겨 신나게 밤새도록 Fly to Seoul 나와 Let's dance dance Boom Boom Boom 함께 즐겨 신나게 밤새도록 두근 두근 두근 두근 두근 대는 낮 반짝 반짝 반짝 반짝 반짝 이는 밤 너만 너만 너만 너만 너만 줄게 날 Welcome to Seoul again & again 24 언제나 새로운 나를봐 24 한번도 느끼지 못한 나를 oh yeah Come enjoy Seoul Fly to my city Seoul 난 오직 너의 에너지 네 삶의 유일은 나지 Wanna get wanna get wanna get yo 이곳은 널 위한 자리 Let's get along come in 잠들지 않는 이 도시 Fly to Seoul 나와 Let's dance dance Boom Boom Boom 함께 즐겨 신나게 밤새도록 Fly to Seoul 나와 Let's dance dance Boom Boom Boom 함께 즐겨 신나게 밤새도록 두근 두근 두근 두근 두근 대는 낮 반짝 반짝 반짝 반짝 반짝 이는 밤 너만 너만 너만 너만 너만 줄게 날 Welcome to Seoul again & again 언제나 반겨줄게 24시간 함께해 S E O U L 어서 날아 올라 Baby come to me Fly to Seoul 힘껏 날아봐 Fly to Seoul 더높이 Whatever you want Fly to Seoul 나와 Let's dance dance Boom Boom Boom 함께 즐겨 신나게 밤새도록 Fly to Seoul 나와 Let's dance dance Boom Boom Boom 함께 즐겨 신나게 밤새도록 두근 두근 두근 두근 두근 대는 낮 반짝 반짝 반짝 반짝 반짝 이는 밤 너만 너만 너만 너만 너만 줄게 날 Welcome to Seoul again & again
20100817,투피엠,Thank You,male,발라드,-,박진영,박진영,(주)JYP엔터테인먼트,This is for my Hottest 어떻게 말할 질 몰라서 어떤 말로도 모자라서 아무 말도 할 수 없었어 너무나 고마워서 어떡할 줄 몰라서 왜 내가 좋은 건지 이 많은 사람 중에 나를 고른 건지 난 해줄 수 있는 게 너무 모자라서 이 노랠 만들었어 So I thank you thank you thank you And I love you love you love you 난 아무것도 못해줬는데 넌 끝없이 주기만 하는데 왜 So I thank you thank you thank you And I love you love you love you 니가 보내준 사랑 때문에 내가 여기 서있어 이렇게 나를 사랑하며 사는게 너무나 힘든걸 아는데 너는 계속 그 자리에서 변함없이 서 있어 오직 나를 위해서 왜 돌아서질 않니 너무나 힘들 텐데 왜 계속 사랑하니 난 어떻게 너에게 갚을 줄 몰라서 이 노랠 만들었어 So I thank you thank you thank you And I love you love you love you 난 아무것도 못해줬는데 넌 끝없이 주기만 하는데 왜 So I thank you thank you thank you And I love you love you love you 니가 보내준 사랑 때문에 내가 여기 서있어 이렇게 너의 그 마음 흘린 그 눈물 그 모든 것 다 잊지 않을게 So I thank you thank you thank you And I love you love you love you 난 아무것도 못해줬는데 넌 끝없이 주기만 하는데 왜 So I thank you thank you thank you And I love you love you love you 니가 보내준 사랑 때문에 내가 여기 서있어 이렇게 thank you
