년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101020,레인보우,Mach,female,댄스,-,송수윤,김승수,DSP미디어,can't stop can't stop get it now  can't stop can't stop  bring it now  can't stop can't stop do it now  빛 보다 빠르게 뛰던 심장이  빛 보다 빠르게 네게 먼저  I'm getting closer now  빛 보다 빠르던 너만의 솜씨로  나를 가져가 다가와봐  나를 채가 맘을 채가  any one way any any  one one way  any one way out oh ye oh ye  나를 믿지 말아줘  내 눈빛 잊지 말아줘  나에게 순간 다가설래  이 순간 맘이 설레  니가 나를 뺏어줘  먼저 와 나를 뺏어줘  내 자존심 다 뺏어줄래  니 날카로운 속도로 my heart  can't stop can't stop get it now  can't stop can't stop  bring it now  can't stop can't stop do it now  빛 보다 빠르게 번진 내 맘이  빛 보다 빠르게 네게 잡혀  I'm getting closer now  빛 보다 뜨겁던 너만의 시선에  숨이 막혀가 끌려 만가  나를 채가 맘을 채가  나를 놓지 말아줘  넌 나를 놓지 말아줘  너에게 순간 가둬줄래  이 순간 가져줄래  니가 나를 잡아줘  먼저 와 나를 잡아줘  내 모든걸 다 걸어볼래  니 날카로운 속도로 my heart  내 안에 가시가 사라진다  새로운 하늘이 그려 진다  귓가에 니 숨이 심장에 니 숨이  마하의 속도로 스며든다 Now  any one way any any one  one way  any one way out oh ye oh ye  can't stop can't stop get it now  can't stop can't stop  bring it now  can't stop can't stop do it now  can't stop can't stop get it now  can't stop can't stop  bring it now  can't stop can't stop do it now  나를 믿지 말아줘  내 눈빛 잊지 말아줘  나에게 순간 다가설래  이 순간 맘이 설레  니가 나를 뺏어줘  먼저 와 나를 뺏어줘  내 자존심 다 뺏어줄래  니 날카로운 속도로 my heart
20101020,레인보우,Mach (Inst.),female,댄스,-,-,김승수,DSP미디어,-
20100812,레인보우,A,female,댄스,-,송수윤,김승수,DSP미디어,A AAA A AAA A AAA  just U'r collection line  ez acess line  스스로 매인 A A A A  그렇게 갇혀서 쌓인  니 깊숙히 패인  NA NA NA  그저 감출 뿐이야  허술한 포장에  훌쩍 숨겨버린  너의 현란한 스타일  허울좋은 허상 일뿐  진실이 될 수 없어  널 내리 누르고 또 조르고  뭘 모르고 또 바라고 있어  A oh oh oh oh oh oh oh woo  just A A oh oh oh oh oh   oh oh woo  그게 흔하니 사랑이 흔하니  쉽게 다 change a love  갈아타 갈아타 oh  적어도 너만은 세상에 너만은  소중히 여길 수 있길 있길  just U'r collection line  ez acess line  스스로 매인 A A A A  그렇게 갇혀서 쌓인  니 깊숙히 패인  NA NA NA Oh  Oh woo  A oh oh oh oh oh oh oh woo  just A A oh oh oh oh oh   oh oh woo  그저 서툴 뿐이야  두꺼운 화장에  한껏 묻혀버린  너의 진실된 맘  매일 같은 위선일뿐  영원히 갈 수 없어  널 내리 누르고 또 조르고  뭘 모르고 또 바라고 있어  love 그게 흔하니  그게 흔하니 사랑이 흔하니  쉽게 다 change a love  갈아타 갈아타 oh  적어도 너만은 세상에 너만은  소중히 여길 수 있길 있길  just U'r collection line  ez acess line  스스로 매인 A A A A  그렇게 갇혀서 쌓인  니 깊숙히 패인  NA NA NA Oh  똑바로 나를 바라보라고  가면은 버려 가라가라고  네가 원하는걸 말해보라고  난 달라 좀 달라 넌 몰라  내 색깔은 레인보우  진실에 목 메인 girl  love is pain 지금 넌 부족해  가식이 진실을 진실이 가식을  수백번 덮어서 눈을 멀게 하잖아  적어도 너만은 그래도 너만은  똑바로 날 바라 보길 보길  적어도 너만은 세상에 너만은  소중히 여길 수 있길 있길  just U'r collection line  ez acess line  스스로 매인 A A A A  그렇게 갇혀서 쌓인  니 깊숙히 패인  NA NA NA Oh
20100812,레인보우,A (Inst.),female,댄스,-,-,김승수,DSP미디어,-
20100512,레인보우,"사랑해, 좋아해",female,댄스,-,박종근,한상원,DSP미디어,hey be my lover look at me 사랑해 달콤하게 너무 사랑해 매일매일 보고싶어 떨리는걸 설레는 마음 영원히 내곁에 있어 좋아해 이런마음 제발 받아줘 내마음 받아줘 내곁에만 있어줘 답답한 맘에 웃어도 보고 이렇게 시간은 째깍 흐르고 날마다 반복되는 하루 어두운 맘 누가 알아줄까 고민고민해도 내 삶은 뭐하나 제대로 되는일 없고 누군가 내삶을 환히 밝혀줄 그 사람이 이제는 필요한거죠 사랑을 전해줄 사람 그대뿐 사랑해 달콤하게 너무 사랑해 매일매일 보고싶어 떨리는걸 설레는 마음 영원히 내곁에 있어 좋아해 이런마음 제발 받아줘 내마음 받아줘 내곁에만 있어줘 울적한 맘에 소리쳐 보고 얄밉게 시간은 틱톡 흐르고 어제와 똑같은 내 하루 외로운맘 누가 알아줄까 요리조리봐도 거리엔 누구 하나 내반쪽 찾을수 없고 누군가 내삶을 환히 밝혀줄 그 사람이 이제는 필요한거죠 기다릴꺼야 yeh 사랑해 달콤하게 너무 사랑해 매일매일 보고싶어 떨리는걸 설레는 마음 영원히 내곁에 있어 좋아해 이런마음 제발 받아줘 내마음 받아줘 내곁에만 있어줘 두근대는 맘 한가득담아 그대에게로 달려가고파 그대에게로 한걸음에 안길래 죽어도 너뿐이야 다시 살아도 내 선택은 그대뿐 다짐할래 전부를 걸고 그대는 내꺼죠 좋아해 이런마음 제발 받아줘 내마음 받아줘 내 곁에만 있어줘
20091112,레인보우,Not Your Girl,female,댄스,-,아티스타 한상원,아티스타 한상원,DSP미디어,I'm not your girl your girl your girl I'm not your girl your girl girls girls My boy My boy My boy 남자들은 다 똑같애 그냥 불러놓고 마음을 준다 나밖에 없다 하고 딴 생각만 하지 사랑하는 척 참 나없인 못 사는 척 정말 가지가지 연기를 해 나는 너무 다르대 우리 여자들은 안 그래 그런 짐승같은 생각 안해 분위기만 좋아해 너무 말이 안통해 한가지도 안통해 어느 별에서 왔니 아무리 애써도 I'm not your girl your girl your girl I'm not your girl your girl girls girls 아무리 노력해도 아냐 그냥 될 순 없어 My boy My boy My boy I'm not your girl your girl your girl I'm not your girl your girl girls girls 아무리 노력해도 아냐 그냥 될 순 없어 My boy My boy My boy 사랑이 쉬운 줄 알아 내가 예쁘다고 매력 있다고 반해 버렸어 그럴 듯 하게 속삭여 떠나가는 척 호감있는 척 조금 장난치고 웃어 주면 끝났다고 착각해 물론 모든 남자는 아냐 물론 그렇지만 마음 주면 변해 버려 가끔 난 아무말이 안통해 한가지도 안통해 어느 별에서 왔니 아무리 애써도 I'm not your girl your girl your girl I'm not your girl your girl girls girls 아무리 노력해도 아냐 그냥 될 순 없어 My boy My boy My boy I'm not your girl your girl your girl I'm not your girl your girl girls girls 아무리 노력해도 아냐 그냥 될 순 없어 My boy My boy My boy 뭘 그리 빤히 날 보고만 있니 더 예쁘게 말하면 안되니 그렇게 말하면 거짓말 안하고 꼬실 수 있을 것 같니 사귀잔 말 말하고 싶어 좋은 사람 사귀고 싶어 그냥 나쁜 남잔 구별할 수 있어 그저 그런 남자는 아냐 내가 아무리 네 맘에 들어도 그런 식으론 안돼 함부로 하면 안돼 your girl I'm not your girl your girl your girl I'm not your girl your girl girls girls 어떻게 말해도 아냐 쉬운 남잔 안돼 My boy My boy My boy I'm not your girl your girl your girl I'm not your girl your girl girls girls 포기해 지금이라도 너는 될 순 없어 My boy My boy My boy
20091112,레인보우,Gossip Girl,female,댄스,-,허윤원,허윤원,DSP미디어,I wanna gossip girl I wanna gossip girl I wanna gossip the sexy and pretty I wanna gossip girl I wanna gossip girl I wanna gossip the sexy and pretty pretty boy 1 2 3 go everyday 도도하게 everybody 바라보게 항상 stylish하게 나나나 나나 언제나 자신있게 모두들 미소 짓게 어디서나 Spotlight kill hill 예쁜 높은 구두에 hot pleats skirt Cherry color lip gloss 짙은 sense mascara에 흩날리는 머릿결 pretty sweety sexy I do wanna say wanna say wanna say wanna say 나 나 나 나 나 날 보는 E E E E E Eye stop it Do wanna say wanna say wanna say wanna say Oh Oh Oh Oh Oh Oh baby 두근두근 모두 바라보는 난 Star everyday 도도하게 everybody 바라보게 항상 stylish하게 나나나 나나 언제나 자신있게 모두들 미소 짓게 어디서나 Spotlight Perfume 산뜻한 내 향기와 Velvet sunglasses에 baby pinky tote bag Skinny한 Body line과 눈부신 내 미소 pretty sweety sexy I do wanna say wanna say wanna say wanna say 나 나 나 나 나 날 보는 E E E E E Eye stop it Do wanna say wanna say wanna say wanna say Oh Oh Oh Oh Oh Oh baby 두근두근 모두 바라보는 난 Star Girl Oh Oh I wanna gossip girl girl I do wanna say wanna say wanna say wanna say 나 나 나 나 나 날 보는 E E E E E Eye stop it Do wanna say wanna say wanna say wanna say Oh Oh Oh Oh Oh Oh baby 두근두근 모두 바라보는 난 Star I do wanna say wanna say wanna say wanna say 나 나 나 나 나 날 보는 E E E E E Eye stop it Do wanna say wanna say wanna say wanna say Oh Oh Oh Oh Oh Oh baby 두근두근 모두 바라보는 난 Star G O Double SIP Girl 모두 바라는 여자가 되길 나를 쳐다보는 모든 Men's scandaling No 1 나의 Bling Bling Bling 절대 쉬지 않고 잊지 않길 내가 지닌 Magic CD Let me here you sing my song All life long the real pretty girl I wanna gossip girl I wanna gossip girl I wanna gossip the sexy and pretty I wanna gossip girl I wanna gossip girl I wanna gossip the sexy and pretty
20091112,레인보우,I Believe,female,댄스,-,송수윤,송수윤,DSP미디어,지금 까맣게 흐르는 눈물은 내가 아냐 오늘 내 모습은 잊어줄래 한 없이 손만 접은 내가 싫어 너 때문은 아니야 너의 닫힌맘 너의 닫힌맘 너의 마음이 열릴때까지 너의 뒤에서 나는 너의 뒤에서 나는 Just one cry I believe I believe I believe I believe 널 원해 널 원해 내 마음 받아줄래 Just one cry I believe I believe I believe I believe I believe in my heart 지금 하얗게 창백한 얼굴은 내가 아냐 오늘 내 모습은 잊어줄래 한 없이 작아지는 내가 미워 너 때문은 아니야 너의 닫힌맘 너의 닫힌맘 나의 마음이 닿을때까지 너의 뒤에서 나는 너의 뒤에서 나는 Just one cry I believe I believe I believe I believe 널 원해 널 원해 내 마음 받아줄래 Just one cry I believe I believe I believe I believe I believe in my heart Just one cry I believe I believe I believe I believe 첨엔 그래 그냥 그게 전부였어 내겐 니가 그냥 그저 일부였어 니가 내겐 누구보다 너무 편했어 너와는 일분 일초가 놀라워 사실 나혼자 하는 착각일지도 몰라 널 곤란하게 만들지도 몰라 내내 혼란해 놀라 내 모습에 Just one cry I believe I believe I believe I believe 널 원해 널 원해 내 마음 받아줄래 Just one cry I believe I believe I believe I believe I believe in my heart Just one cry I believe I believe I believe I believe 널 원해 널 원해 내 마음 받아줄래 Just one cry I believe I believe I believe I believe I believe in my heart
20091112,레인보우,Kiss,female,댄스,-,박정민,이주형 (MonoTree),DSP미디어,Everyday 레몬티처럼 달콤한 입술 오직 너에게만 주는 나의 선물 아무도 모르게 네 품 안에서 너와 함께 하고 싶어 oh 언제까지 I wanna be you babe ah ah I wanna be you girl 아침 햇살 가득한 오늘 널 만날 생각에 난 눈 뜨고 oh my girl 니가 예쁘다던 옷 입고 네 앞에 있는 나를 그려 너와 함께 걷는 이 길에 우리 발걸음 맞추다가 다가와 네 눈빛에 마법에 취해 너의 입술에 살짝 oh my Lips Everyday 레몬티처럼 달콤한 입술 오직 너에게만 주는 나의 선물 아무도 모르게 네 품 안에서 너와 함께 하고 싶어 oh 언제까지 I wanna be your babe ah ah I wanna be your girl 너의 그늘 안에 날 숨긴 모든게 멈추어 버린 이 순간 oh my girl 밝게 비추는 저 햇살도 환하게 웃어 날 향하고 시원한 바람에 날 실어 날 실어 나의 미소에 너를 실어 다가와 너의 사랑을 느끼면서 우리 둘만의 특별한 Kiss Time Everyday 레몬티처럼 달콤한 입술 오직 너에게만 주는 나의 선물 아무도 모르게 네 품 안에서 너와 함께 하고 싶어 oh 언제까지 내 입술 위에 작은 떨림 부드런 햇살 너의 느낌 가슴 속 깊이 너의 사랑이 꿈결처럼 다가와 Everyday 레몬티처럼 달콤한 입술 오직 너에게만 주는 나의 선물 아무도 모르게 네 품 안에서 너와 함께 하고 싶어 oh 언제까지 Everyday 내사랑 네게만 주고싶어 언제나 곁에서 이렇게 영원히 Everyday 내사랑 꿈속에서도 너와 함께 하고 싶어 Forever with you I wanna be your babe ah ah I wanna be your girl
20091112,레인보우,참아볼께요,female,발라드,-,오성훈,오성훈,DSP미디어,두 눈을 감으면 보고 싶은 얼굴 조금은 흐려질까요 시간이 지나면 칼에 베인 듯한 상처도 아물어질까요 그댈 미워하고 있는 방법밖에 내게 다른길이 없나요 아닐거라고 거짓말이었다고 내게 대답해줘요 그댈 사랑하는일 나 오늘 하루만 쉬어둘게요 그댈 바라보는게 눈물이 날 것 같아서 오늘 하루만 쉴게요 나를 아프게 해 미안하다면서 날 다시 찾은 너에게 자존심 버리고 널 용서했다면 이렇게 아프지 않을텐데 모질게 너를 보내고 이런 모습보면서 나도 눈물 흘렸지만 그댈 부르면 다시 손을 잡으면 더 아플것같아서 그댈 사랑하는 일 나 오늘 하루만 쉬어둘게요 그댈 바라보는게 눈물이 날 것 같아서 이젠 눈을 감아도 자꾸 그대 생각이 나요 너무 사랑하니까 이렇게 가슴 아파도 그대를 놓아줄게요 단 한 순간도 널 잊은적없어 단 한 순간도 널 떠난적없어 난 단 하루도 널 보낸적없어 우리둘은 다시 사랑해야해 그댈 사랑하는 일 나 오늘 하루만 쉬어둘게요 너무 사랑하니까 이렇게 가슴아파도 그대를 놓아줄게요 오늘 하루만 쉴게요
