년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101221,비스트,Lights Go On Again (Full Ver.),male,발라드,-,용준형,DA9297,큐브엔터테인먼트,Yes sir  lights go on again  Keep on and on and on  on and on and on  계속 헤매었지 긴 어둠 속에서  난 한 줄기 빛이 닿는  그곳에 닿기 위해서  난 이제 시간이 왔음에  가쁜 숨 가다듬고  너희들 앞에 당당히 설게  아무리 힘들어도 지쳐서 쓰러져도  나를 다시 비춰주는 빛  포기하고 싶어도 도망치려고 해봐도  날 향해 더 환하게  나를 다시 비춰주는 빛  지금 불이 켜지면 다시 나를 밝히면  내 몸을 다시 일으켜  Lights go on again  lights go on again  다시 빛을 비추면 다시 나를 깨우면  내 마음을 다시 움직여 oh  Lights go on again  lights go on again  lights go on again  Oh oh lights go on again yeah  Oh lights go on again  Oh oh lights go on again  on again  이 시간 또한 지나가겠지  다 지나가고나면 웃어 넘기겠지  몸이 지치는 건 뭐 괜찮아  나만 힘든 게 아냐 흔히 다 그렇잖아  But 마음이 다쳐버리거나 닫혀버리면  감당 할 수 없는 상처를 받아버리면  그땐 어떻게 해야 할 지 난 몰라  당신들 앞에  다시 설 수 없을 지도 몰라  너무나 힘든 날도 멈춰있던 시간도  지쳐만 가는 나를 더  밝게 비춰주는 건 끝없이 나를 향해  강하게 더 환하게  계속 나를 비춰주는 빛  지금 불이 켜지면 다시 나를 밝히면  내 몸을 다시 일으켜  Lights go on again  lights go on again  다시 빛을 비추면 다시 나를 깨우면  내 마음을 다시 움직여 oh  Lights go on again  lights go on again  Oh lights go on again  Oh oh lights go on again yeah  Oh lights go on again  Oh oh lights go on again  on again  Oh lights go on again  Oh oh lights go on again  Oh lights go on again  Oh oh lights go on again  on again
20101202,비스트,Loving U,male,"댄스, 국내드라마",-,조성민,이창현,큐브엔터테인먼트,Loving you forever 세상 그 누구보다 너를 하늘만큼 Loving you forever 언제까지나 너와 함께 행복하게 loving you 넌 아니 나보다 네가 소중하단걸 너를 대신할 만큼 떨리는 것은 내게 없단걸 언제나 아껴주고 싶은 나의 맘을 열어준 한 사람 걷지않고 달려갈게 두근대는 이 맘을 줄게 Loving you forever 세상 그 누구보다 너를 하늘만큼 Loving you forever 언제까지나 너와 함께 행복하게 loving you forever 세상 그 누구보다 네가 좋아 언제나 나와 함께 있어줘 Loving you 있잖아 너만을 위해 노랠 부를게 세상 어떤 순간도 이보다 좋을 수는 없을 걸 너에게 빠져버린거야 모르는 척 하고 있는 그대 잠시만 눈 감아볼래 모든걸 주고 싶은 그대 Loving you forever 세상 그 누구보다 너를 하늘만큼 Loving you forever 언제까지나 너와 함께 행복하게 loving you forever 세상 그 누구보다 네가 좋아 언제나 나와 함께 있어줘 Loving you Loving you forever 세상 그 누구보다 네가 좋아 언제나 나와 함께 있어줘 Loving you loving you loving you loving you loving you
20101109,비스트,Lights Go On Again,male,발라드,-,용준형,신사동 호랭이,큐브엔터테인먼트,Yes sir lights go on again  Keep on and on and on  on and on and on  계속 헤매었지 긴 어둠 속에서  난 한 줄기 빛이 닿는  그곳에 닿기 위해서  난 이제 시간이 왔음에  가쁜 숨 가다듬고  너희들 앞에 당당히 설게  아무리 힘들어도 지쳐서 쓰러져도  나를 다시 비춰주는 빛  포기하고 싶어도 도망치려고 해봐도  날 향해 더 환하게  나를 다시 비춰주는 빛  지금 불이 켜지면 다시 나를 밝히면  내 몸을 다시 일으켜  Lights go on again  lights go on again  다시 빛을 비추면 다시 나를 깨우면  내 마음을 다시 움직여  Lights go on again  lights go on again  Oh lights go on again  Oh oh lights go on again yeah  Oh lights go on again  Oh oh lights go on again on again
20101109,비스트,Beautiful,male,댄스,-,김도훈 (RBW),신사동 호랭이,큐브엔터테인먼트,Beautiful my girl  My beautiful my girl and I  So beautiful my girl  in the cube  Ha ha girl  This is my confession  Drop that beat  Oh listen to my heart  내 맘 들어봐 봐  어떤 말로도 너를 표현할 수 없지만  그냥 내 style로 내 맘 들려줄게  oh listen listen listen girls  Nothing better than you  세상을 다 줘도워어  you you you you  너와 바꾸진 못해  Hey baby girl 매일이 즐거워  사실 좀 두려워 누가 뭐래도 넌  I want to  So beautiful my girl  oh oh girl oh oh girl 시간이 지나도  누구보다 내가 더 더 더  너를 아껴줄게 my girl 모두 다 줄게  너 U 너에게 U  에에게 oh oh  니가 어디 있든 달려 갈 수 있어  I always think about you  지금보다 내가 더 더 더  너를 사랑할게 my girl  you you you my girl  U oh beautiful U so beautiful  U my beautiful  nothing better than you  oh beautiful U so beautiful  U my beautiful  Don't be shy girl  니가 힘들 땐 언제나 I'll be there  아무때나 내게 와 나의 품에 안겨  그냥 눈을 감고 내 맘 들어봐 봐  oh listen listen listen girl  Nothing better than you  아무도 못 막아  you you you you  널 향한 나의 마음  하루의 스물네 시간을 널 위해 써도  아깝지 않은 게 나야  Just take my hand and fly  So beautiful my girl  U oh oh girl U oh oh girl  시간이 지나도  누구보다 내가 더 더 더  너를 아껴줄게 my girl 모두 다 줄게  너 U 너에게 U 에에게 oh oh  니가 어디 있든 달려 갈 수 있어  I always think about you  지금보다 내가 더 더 더  너를 사랑할게 my girl  you you you my girl  U oh beautiful  U so beautiful  U my beautiful  nothing better than you  oh beautiful  U so beautiful  U my beautiful  Beautiful my girl  Make a love baby Just make a love  Feeling in my heart  So nice    So beautiful my girl  oh oh girl oh oh girl 시간이 지나도  누구보다 내가 더 더 더  너를 아껴줄게 my girl 모두 다 줄게  너 U 너에게 U 에에게 oh oh  니가 멀리 있어도 느낄 수 있어  I'm always dreaming about you  지금보다 내가 더 더 더  너를 사랑할게 my girl  you you you my girl  U oh beautiful  U so beautiful  U my beautiful  nothing better than you  oh beautiful  U so beautiful  U my beautiful  nothing better than you
20101109,비스트,니가 제일 좋아,male,댄스,-,용준형,전군,큐브엔터테인먼트,This song is just for you  You know this is it  Drop this    자꾸 왜 넌  옷이 작아졌다 투덜거려  또 투덜거려  Hey baby 왜 또 그래  항상 왜 넌  자꾸 살이 쪘다 투덜거려  너무 예쁜데  내 눈에는 항상  You are the prettiest girl  니가 어떤 옷을 입어도  내겐 항상 beautiful  Baby let me do wanna wanna do  just let me do wanna wanna do  세상 모든 걸 다 가져도  니가 없으면 안 돼 ma girl  You are the only one for me  난 니가 제일 좋아  니가 제일 예뻐  지나가는 곳곳 매력이 다 흘러  니가 제일 좋아 너 하나면 돼  가슴에 새겨둬  니가 세상에서 제일 소중해  Every time I like you  Oh my love for you  너밖엔 없어 난  I belong with you  Crazy love for you  너밖엔 없어 난  길거리를 걸을 때  널 보는 남자들의  시선이 느껴지네  걷는 모습조차 너무나 예쁜 걸  Happiness is what I feel now  Now I'm gonna kiss you now  I just wanna kiss you now  다른 누가 내게 온대도  쳐다보지도 않아 ma love  Baby let me do wanna wanna do  just let me do wanna wanna do  세상 모든 걸 다 준대도  너 하나면 충분해 ma love  You are the only one for me  난 니가 제일 좋아  니가 제일 예뻐  지나가는 곳곳 매력이 다 흘러  니가 제일 좋아 너 하나면 돼  가슴에 새겨둬  니가 세상에서 제일 소중해  그냥 이대로 있어주면 돼 yeah  이렇게 아름다운 너인데  You gotta know that  you're the prettiest for me  니가 제일 좋아 난  니가 제일 예뻐  마른 체형에 좀 작은 키  조그만 얼굴에 부드러운 머릿결  널 갖고 싶어 또 안고 싶어  everywhere 널 옆에 두고 싶어  어느 누가 널 욕해도  아름다움에 따른 대가일 뿐  그런 건 신경쓸 필요 없지  You and I just fall in love  all night long  난 니가 제일 좋아  니가 제일 예뻐  지나가는 곳곳 매력이 다 흘러  니가 제일 좋아 너 하나면 돼  가슴에 새겨둬  니가 세상에서 제일 소중해  Every time I like you  Oh my love for you  너밖엔 없어 난  I belong with you  Crazy love for you  너밖엔 없어 난
20101109,비스트,Lightless,male,댄스,-,용준형,라도,큐브엔터테인먼트,I can't smile I can't find  I can't stop Lightless  멍하니 서서 니 뒷모습만 보고 있어  지금 너의 말에  난 어떻게 해야 할 지 몰라  더 멀어지는 너를 바라보는 내가  어두워져 가는 내 맘  한 순간에 내 안의 빛을 잃었어  이렇게 너를 찾아 헤매어 봐도  이렇게 너를 자꾸 떠올려 봐도  한 번만이라도 널 보려 해도 난  빛을 잃어서 아무것도 할 수가 없어  L L L L Lightless  L L L L Lightless  L L L L Lightless  L L L L L L Lightless  L L L L Lightless  L L L L Lightless  L L L L Lightless  What should I do baby  떠나가는 너  Don't say good bye  너와 나의 추억 다 so fly  닿을 수 없을 만큼 멀리 날아가  어두워져 가  Girl it's all lie  니가 돌아올 것 같아 oh 난  이 자릴 못 벗어나  멀어지는 너를 기다리는 내가  어두워져 버린 내가  한 순간에 내 안의 빛을 잃었어  이렇게 너를 찾아 헤매어 봐도  이렇게 너를 자꾸 떠올려 봐도  한 번만이라도 널 보려 해도 난  빛을 잃어서 아무것도 할 수가 없어  L L L Lightless  어느새 니가 사랑으로  비추던 빛은 fade out  좀더 빨리 이별을 눈치챘더라면  좋았을 텐데  커다란 허전함은 날 계속 할퀴어  쓰라린 상처는 너를 떠올려  Girl I need your luv  백 번 말해도 혼잣말인 걸  하루가 지나고 다시  또 하루가 시작돼도  내게 빛이 돼주었던  니가 없어 아직 난  어둠 속에 서 있는데  이제야 너를 잡아보려고 해도  아무리 내게 돌아오라고 해도  한 번만 단 한 번 널 보려 해도 난  빛을 잃어서 아무것도 볼 수가 없어  L L L L Lightless  L L L L Lightless  L L L L Lightless  L L L L L L Lightless  L L L L Lightless  L L L L Lightless  L L L L Lightless  What should I do baby    I can't smile I can't find  I can't stop Lightless
20101109,비스트,I'm sorry,male,댄스,-,라도,라도,큐브엔터테인먼트,Girl  I still regret a lot  I wanna I wanna turn back times    Baby girl  너의 흔적을 지우고  너의 이름을 지워도  널 잊을 수가 없는 걸  붙잡는 너를 밀어냈던 내가  떠나 보내고서야 후회하던 내가  이렇게 널 miss you  miss you miss you  ey stop 너와 내 마지막 순간이  날 저 벼랑 끝으로 몰아가  시간이 흐르고 흘러서  아픔이 추억이 될 때면  나를 사랑했었던 그 맘으로  돌아올 수 있다면  I'm sorry girl I'm sorry girl  I'm sorry girl I'm sorry girl  I'm sorry girl I'm sorry girl  아무것도 들리지 않는 방에 갇혀  하루 종일 멍하니 니 생각에 미쳐  아무리 불러 봐도  봐도 봐도 넌 없어  너 없이 무너지는 나만  여기 남아 있어  왜 그땐 너를 잡지 못했을까  널 떠나보내고야 후회하는 내가  이렇게는 miss you  I miss you I need you  I'm sorry no way  다시 내게로  시간이 흐르고 흘러서  아픔이 추억이 될 때면  나를 사랑했었던 그 맘으로  돌아올 수 있다면  I'm sorry girl I'm sorry girl  I'm sorry girl I'm sorry girl  I'm sorry girl I'm sorry girl  아무렇지도 않은 척 넌 웃으며  다시 내게 돌아와줘  내 곁에 있어줘 죽어도 널 못 잊어  기다리고 있어 그 자리 그곳에서  널 보내지 않을 거야  니가 없인 하루도  살 수 없으니까  널 보낸 후회 슬픔으로  가득 채운 잔을 비워내  이내 취해버린 난  또 다시 널 간절히 원해  아무것도 안해 널 잃은 후로  내 세상은 멈춰 있어  그 가운데 니가 있어 ma babe  I'm sorry girl I'm sorry girl  I'm sorry girl I'm sorry girl  I'm sorry girl I'm sorry girl
20100928,비스트,Mastermind,male,댄스,-,용준형,신사동 호랭이,큐브엔터테인먼트,Okay 2010 마지막 흐름을 쥐고 흔들어 지휘봉 대신 mic를 들어 check it up now 거부할 수 없을 정도로 강력한 무언가를 가지고 돌아와 다시 이곳을 뜨겁게 더 뜨겁게 달궈 다 나에게 맡겨 I'm the mastermind untouchable joker 시간이 또 갈수록 더 빠져들어 다 지금 이 순간에도 Do you feel me now 너에게 또 갈수록 더 스며들어 바로 이 시간에도 그냥 나를 믿어봐 oh yeah 따라와 We're the mastermind 느껴봐 We're the mastermind 비교 따윈 하지마 우릴 느껴봐 모두 movin movin say movin movin hey mastermind Oh yeah just feel my heart 지금부터 따라와 너를 맡겨봐 모두 do it do it say do it do it hey 그 어떤 말도 필요가 없어 이 순간 이 시간 그냥 더 크게 소리쳐봐 어떤 것도 막을 수 없어 점점 더 내게 더 조금 더 빠져봐 baby master mastermind master mastermind you ready for this keep moving keep grooving hhh welcome to ma world
20100928,비스트,숨,male,댄스,-,용준형,최규성,큐브엔터테인먼트,Let me talk about ma 차갑게 돌아선 뒷모습에 시간이 잠시 멈춘 듯해 하얗게 돼버린 머릿속엔 널 잡아야돼 아니 널 보내야돼 Oh 널 잊고 살던 널 잊지 못해 울던 나 될 대로 되라지 나도 날 잘 몰라 잊어볼래 니가 돌아서면 난 다신 잡지 않을래 니가 한 번만 한 번만 다시 또 생각해 달란 말에 더는 고민 안 할래 이제 너를 버릴래 가지마 나를 떠나가진마 몇 번을 생각해 봐도 내가 너를 잊기는 힘들 것 같아 잊을 수 없을 것 같아 I can't take my breath breath breath 시간이 갈수록 점점 지나갈수록 oh 난 더 I can't hold my breath breath breath 갈수록 나는 더 자꾸만 내 숨이 막혀 와 내 숨이 yeah breath in breath out breath in breath out breath in breath out breath in breath out 지워볼래 니 자린 이제 없어 돌아올 곳도 없어 니가 내게 더 내게 더 오면 난 더 멀어져 갈 거야 이제 좀 비켜줄래 나는 널 버릴래 하지마 돌아서려 하진마 아무리 생각해 봐도 정말 너를 지우긴 힘들 것 같아 정말 미칠 것 같아 I can't take my breath breath breath 시간이 갈수록 점점 지나갈수록 oh 난 더 I can't hold my breath breath breath 갈수록 나는 더 자꾸만 내 숨이 막혀 와 내 숨이 yeah breath in breath out breath in breath out breath in breath out breath in breath out I don't know I don't know yeah Yes or No 빛이 잠든 밤 불이 꺼진 방 엉켜버린 너에 대한 생각이 풀리지 않아 도대체 뭘 탓해야 조금이나마 위로가 될까 깊었던 사랑이 죄일까 될 대로 되라지 huh 나도 날 잘 몰라
20100928,비스트,V.I.U (Very Important U),male,댄스,-,슈퍼창따이,슈퍼창따이,큐브엔터테인먼트,넌 너무 예뻐서 가만 놔둘 수 없어 내 곁에만 있어줘 You're ma girl Say I love you baby I love you baby wanna girl 내게만 웃어줘 넌 나만의 여자 모든 걸 다 내게 줘 Ma baby girl Beautiful my baby girl Say I love you baby more more I love you you you you you you you Beautiful my you you you you you you Beautiful my girl my girl my girl my girl my girl my girl I love you you you you you you you Beautiful my you you you you you you Beautiful my girl my girl my girl my girl my girl my girl 어디서든 내 여자라 말하고 다니는 나야 때론 이런 모습에 날 바보 같다 놀려대지만 그만큼 널 사랑한다고 말야 I love you baby wanna girl 내게만 웃어줘 넌 나만의 여자 모든 걸 다 내게 줘 Ma baby girl Ma baby wanna baby girl Say I love you baby more more I love you you you you you you you Beautiful my you you you you you you Beautiful my girl my girl my girl my girl my girl my girl I love you you you you you you you Beautiful my you you you you you you Beautiful my girl my girl my girl my girl my girl my girl 뒤돌아서면 쉽게 변하는 그런 가벼운 사람 아냐 Girl I'm special 평범한 애들과는 비교 마 The first class man j o k e r 망설일 틈도 없이 넌 날 따라오게 될 걸 한없이 깊어지는 맘은 감출 수 없지 Welcome to the luv paradise 난 너 없이는 안돼 넌 나 없이는 안돼 Beautiful my baby girl Beautiful my baby girl I love you you you you you you you Beautiful my you you you you you you Beautiful my girl my girl my girl my girl my girl my girl
