년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101213,샤이니,하루 (X-Mas),male,댄스,-,-,-,(주)SM엔터테인먼트,Fall in love 내 손을 꼭 잡아줘 I wanna be 내 곁에만 있어줘 Oh happy day 내 모든 걸 줄꺼야 I can't stop 너만을 난 사랑해 Oh shiny day 내 행복한 미소와 You so sweet 내 수줍은 설레임 Take my heart 난 너에게 줄꺼야 I can't stop 널 향한 내 사랑을 Love 두근두근거려 너를 보면 볼수록 내 심장이 너무도 뛰는데 자꾸자꾸 늘어 매일매일 조금씩 어제보다 오늘 더 사랑해 널 사랑해 저 햇살보다 더 빛나는 하루에 가득한 우리 추억들 너무 떨리는 마음 나를 바라봐 주는 너를 사랑한다고 오 소리쳐 오 Fall in love 내 손을 꼭 잡아줘 I wanna be 내 곁에만 있어줘 Oh happy day 내 모든 걸 줄꺼야 I can't stop 너만을 난 사랑해 Oh shiny day 내 행복한 미소와 You so sweet 내 수줍은 설레임 Take my heart 난 너에게 줄꺼야 I can't stop 널 향한 내 사랑을 Love 파란 하늘아래 우리 둘은 달콤함에 빠져 나올 수 없는 길을 걸어 마치 동화에 나올법한 사랑 이야기로 서로를 바라봐 이게 뭔지 사랑인지 꿈을 꾸지 Feel like paradise 너는 내 하루야 니가 있어 내 하루가 의미 있다는 걸 아니 Girl 어떤 것도 필요 없어 니가 아니면 Let today be the day 난 하루 종일 널 생각해 함께할 수많은 일로 가득한 나의 하루에 너는 너무 소중한 사람 너를 사랑한다고 소리쳐 오 Fall in love 내 손을 꼭 잡아줘 I wanna be 내 곁에만 있어줘 Oh happy day 내 모든 걸 줄꺼야 I can't stop 너만을 난 사랑해 Oh shiny day 내 행복한 미소와 You so sweet 내 수줍은 설레임 Take my heart 난 너에게 줄꺼야 I can't stop 널 향한 내 사랑을 Love Fall in love 내 손을 꼭 잡아줘 I wanna be 내 곁에만 있어줘 It's so sweet 내 모든 걸 줄꺼야 I can't stop 너만을 난 사랑해 Oh shiny day 내 행복한 미소와 You so sweet 내 수줍은 설레임 Take my heart 난 너에게 줄꺼야 I can't stop 널 향한 내 사랑을 Love
20101105,샤이니,하루 (Haru),male,"댄스, 국내드라마",-,은종태,오준성,(주)SM엔터테인먼트,Fall in love  내 손을 꼭 잡아줘  I wanna be  내 곁에만 있어줘  Oh happy day    내 모든 걸 줄꺼야  I can't stop  너만을 난 사랑해  Oh shiny day  내 행복한 미소와  You so sweet  내 수줍은 설레임  Take my heart  난 너에게 줄꺼야  I can't stop  널 향한 내 사랑을 love  두근 두근 거려 너를 보면 볼수록  내 심장이 너무도 뛰는데  자꾸 자꾸 늘어 매일 매일 조금씩  어제보다 오늘 더 사랑해 널 사랑해  저 햇살보다 더 빛나는  하루에 가득한 우리 추억들  너무 떨리는 마음 나를 바라봐 주는  너를 사랑한다고 오 소리쳐 오  Fall in love  내 손을 꼭 잡아줘  I wanna be  내 곁에만 있어줘  Oh happy day  내 모든 걸 줄꺼야  I can't stop  너만을 난 사랑해  Oh shiny day  내 행복한 미소와  You so sweet  내 수줍은 설레임  Take my heart  난 너에게 줄꺼야  I can't stop  널 향한 내 사랑을 love  파란 하늘아래  우리 둘은 달콤함에 빠져  나올 수 없는 길을 걸어  마치 동화에 나올법한  사랑 이야기로 서로를 바라봐  이게 뭔지 사랑인지 꿈을 꾸지  Feel like paradise 너는 내 하루야  니가 있어 내 하루가  의미 있다는 걸 아니 Girl  어떤 것도 필요 없어 니가 아니면  Let today be the day  난 하루 종일 널 생각해  함께할 수많은 일로 가득한  나의 하루에 너는 너무 소중한 사람  너를 사랑한다고 소리쳐 오  Fall in love  내 손을 꼭 잡아줘  I wanna be  내 곁에만 있어줘  Oh happy day  내 모든 걸 줄꺼야  I can't stop  너만을 난 사랑해  Oh shiny day  내 행복한 미소와  You so sweet  내 수줍은 설레임  Take my heart  난 너에게 줄꺼야  I can't stop  널 향한 내 사랑을 love  Fall in love  내 손을 꼭 잡아줘  I wanna be  내 곁에만 있어줘  It's so sweet  내 모든 걸 줄꺼야  I can't stop  너만을 난 사랑해  Oh shiny day  내 행복한 미소와  You so sweet  내 수줍은 설레임  Take my heart  난 너에게 줄꺼야  I can't stop  널 향한 내 사랑을 love
20101105,샤이니,하루 (Haru) (Rock Ver.),male,국내드라마,-,은종태,오준성,(주)SM엔터테인먼트,Fall in love  내 손을 꼭 잡아줘  I wanna be  내 곁에만 있어줘  Oh happy day  내 모든 걸 줄꺼야  I can't stop  너만을 난 사랑해  Oh shiny day  내 행복한 미소와  You so sweet  내 수줍은 설레임  Take my heart  난 너에게 줄꺼야  I can't stop  널 향한 내 사랑을 love  두근 두근 거려 너를 보면 볼수록  내 심장이 너무도 뛰는데  자꾸 자꾸 늘어 매일 매일 조금씩  어제보다 오늘 더 사랑해 널 사랑해  저 햇살보다 더 빛나는  하루에 가득한 우리 추억들  너무 떨리는 마음 나를 바라봐 주는  너를 사랑한다고 오 소리쳐 오  Fall in love  내 손을 꼭 잡아줘  I wanna be  내 곁에만 있어줘  Oh happy day  내 모든 걸 줄꺼야  I can't stop  너만을 난 사랑해  Oh shiny day  내 행복한 미소와  You so sweet  내 수줍은 설레임  Take my heart  난 너에게 줄꺼야  I can't stop  널 향한 내 사랑을 love  파란 하늘아래  우리 둘은 달콤함에 빠져  나올 수 없는 길을 걸어  마치 동화에 나올법한  사랑 이야기로 서로를 바라봐  이게 뭔지 사랑인지 꿈을 꾸지  Feel like paradise 너는 내 하루야  니가 있어 내 하루가  의미 있다는 걸 아니 Girl  어떤 것도 필요 없어 니가 아니면  Let today be the day  난 하루 종일 널 생각해  함께할 수많은 일로 가득한  나의 하루에 너는 너무 소중한 사람  너를 사랑한다고 소리쳐 오  Fall in love  내 손을 꼭 잡아줘  I wanna be  내 곁에만 있어줘  Oh happy day  내 모든 걸 줄꺼야  I can't stop  너만을 난 사랑해  Oh shiny day  내 행복한 미소와  You so sweet  내 수줍은 설레임  Take my heart  난 너에게 줄꺼야  I can't stop  널 향한 내 사랑을 love  Fall in love  내 손을 꼭 잡아줘  I wanna be  내 곁에만 있어줘  It's so sweet  내 모든 걸 줄꺼야  I can't stop  너만을 난 사랑해  Oh shiny day  내 행복한 미소와  You so sweet  내 수줍은 설레임  Take my heart  난 너에게 줄꺼야  I can't stop  널 향한 내 사랑을 love
20100930,샤이니,Lucifer,male,댄스,-,Ryan S. Jhun,Ryan S. Jhun,(주)SM엔터테인먼트,숨을 곳도 찾지 못해 나는 피하려고 애써봐도 거부조차 할 수 없는 네게 갇혀버린 나 사랑이었다면 정말 사랑했던 거라면 내게 이러지는 말아 Her whisper is the LUCIFER 나를 묶고 가둔다면 사랑도 묶인 채 미래도 묶인 채 커질 수 없는데 자유롭게 비워놓고 바라봐 오직 너만 채울게 너만 가득 채울게 거부 할 수 없는 너의 마력은 LUCIFER 거부 할 수 없는 너의 마법은 LUCIFER 다가서면 너는 마치 천사 같은 얼굴로 나를 사는 이유라 말하고 말하고 너를 처음 봤을 때 짧은 순간 멈춰버렸지 누가 마치 내 심장을 꽉 쥔 채 놓지 않는 것처럼 아직까지도 너는 그렇게 내 맘을 다 다 다 다 다 다 가져놓고 니가 없으면 내 맘이 다 타버리게 만든다 나를 묶고 가둔다면 사랑도 묶인 채 미래도 묶인 채 커질 수 없는데 자유롭게 비워놓고 바라봐 오직 너만 채울게 너만 가득 채울게 Loverhollic Robotronic Loverhollic Robotronic 너와 같이 나눈 사랑얘기들 나랑 같은 곳을 바라보는 너 우리 더 이상은 완벽해질 수 없다고 느꼈을 때 나만 쳐다봐 너는 더 더 더 더 더 더 더 나를 원해 나만 바라봐 모든 게 게 게 게 게 게 게 니가 중심 언제부턴가 나 조금씩 잘못된 것 같아 이상한 너 날 알던 사람들 모두 하나 둘씩 곁을 떠나 난 가진 게 너뿐이고 나를 묶고 가둔다면 사랑도 묶인 채 미래도 묶인 채 커질 수 없는데 자유롭게 비워놓고 바라봐 오직 너만 채울게 너만 가득 채울게 마치 유리성에 갇혀버린 삐에로만 된 것 같아 절대 만족 없는 너를 위해 춤을 추는 나 훤히 들여다보고 뇌를 만져 바보 된 것 같아 난 점점 네게 끌려가는 것만 같은데 Loverhollic Robotronic Loverhollic Robotronic 니가 미운 건 아냐 싫단 것도 아냐 단지 그런 눈빛이 부담일 뿐 어디 안가 이렇게 난 너만 바라보고 기다려 왔잖아 너의 눈빛이 날 사로잡다 날이 갈수록 날카로워졌다 너의 집착에 지쳤다 많이 베었다 맘에 피가 난다 나 쓰러질 쯤 되면 다가와서 천사같이 사랑해란 말 누가 진짜 너였는지 알다가도 헷갈리게 만든다 나를 묶고 가둔다면 사랑도 묶인 채 미래도 묶인 채 커질 수 없는데 자유롭게 비워놓고 바라봐 오직 너만 채울게 너만 가득 채울게 마치 유리성에 갇혀버린 삐에로만 된 것 같아 나를 냅둬 자유로워 질 때 너를 진짜 사랑할 수 있고 훤히 들여다보고 뇌를 만져 바보 된 것 같아 나를 냅둬 질리게도 말고 너를 진짜 바라볼 수 있게 나를 묶고 가둔다면 사랑도 묶인 채 미래도 묶인 채 커질 수 없는데 Loverhollic Robotronic Loverhollic Robotronic 거부할 수 없는 너의 마력은 LUCIFER
20100930,샤이니,Hello,male,댄스,-,김이나,Lars Jensen,(주)SM엔터테인먼트,이럴 때를 보면 나 어리기는 한가봐 눈 앞에 두고도 어찌 할 줄 몰라 어떻게들 사랑을 시작하고 있는지 사랑하는 사람들 말해줘요 언젠가 그녀 손을 잡아 볼 날 올까요 감은 두 눈 위에 Kiss하는 날도 와줄까요 Hello Hello 나름대로 용길 냈어요 Hello Hello 잠시얘기 할래요 Hello Hello 내가 좀 서툴진 몰라도 Who knows 어쩜 우린 잘 될지도 몰라 내가 다가서야 하는지 좀 더 기다려야 하는지 모두 다른 말을 하는 게 더 어려워 믿을 수 없겠죠 보기보다 눈이 높아요 이런 일 난 흔치 않아요 내 말 믿어줘요 yeah 아무렇지 않게 그녈 안을 날 올까요 생각한 대로 모두 이뤄진단 말 믿어요 Hello Hello 나름대로 용길 냈어요 Hello Hello 잠시얘기 할래요 Hello Hello 내가 좀 서툴진 몰라도 Who knows 어쩜 우린 oh yeah 처음은 아니죠 사실 말하자면 사랑도 이별도 해봤죠 하지만 어려워요 이 말을 믿어줘요 그대는 달라요 Hello Hello 이번엔 나를 다 걸게요 Hello Hello Ooh yeah Baby Baby Baby girl Hello Hello 지금은 어떨지 몰라도 Who knows 어쩜 우린 Hello 내 곁을 맴돈 그 시간들을 계속 그 어떤 기쁨과도 비교 못해 No More 그댈 이젠 표현 할수 없고 내 손을 잡는다면 Never let you go 이런게 사랑이면 절대 안놓쳐 Who knows 우리 둘이 운명일지 몰라 Hello Hello
20100930,샤이니,하나 (One),male,발라드,-,박성수,박성수,(주)SM엔터테인먼트,아침 햇살이 그대와 같아요 조금 유치하겠죠 그래도 난 이런 게 좋은 걸 나를 깨워준 그대 옆에라면 더 바랄게 없겠죠 이렇게 그댈 보고 싶은 걸 사랑이 어리다고 못할 거라 생각하지 말아요 나를 더 늦기 전에 나 더 크기 전에 잡아줄 수 있죠 사랑해요 그대만을 저 하늘만큼 정말 그대는 내가 사는 이유인 걸요 그대를 아주 많이 그댈 미치도록 안아주고 싶어 아직 많이 빠른거죠 그런거죠 그녀의 눈이 마주칠 때마다 내 얼굴에 번지는 미소가 혹시나 그대의 마음에 한켠에 닿을까 아스라한 너의 마음 그 속에 아름다운 귓가에 속삭여 널 사랑하는 나의 마음 I'll be taking you Girl I know without you Without you I miss you 언제까지나 그대를 원하죠 원하고 바라는 맘 또 깊어지는 사랑 더 이상 숨길 수 없어 그대는 나인 Girl 마음이 그댈 잡고 놓질 않죠 그대도 느껴지나요 나를 Oh 더 늦기 전에 나 더 크기 전에 잡아줄 수 있죠 아직 그대 마음이 내 곁에 올 수 없는 걸 알아요 근데 그대 하나만 나의 하나라고 불러도 되나요 우리같이 One two three oh 자 시작해요 그댄 나의 하나죠 나의 전부인걸요 그대를 아주 많이 그댈 미치도록 사랑하고 싶어 이제는 그래도 되죠 그런거죠 그대를 아주 많이 그댈 미치도록 사랑하고 싶어 이제는 그래도 되죠 그런거죠 이제는 그래도 되죠 그런거죠
20100930,샤이니,Get It,male,댄스,-,Ryan S. Jhun,J READ FASSE,(주)SM엔터테인먼트,"Get it get it get it get it on   Get it get it get it get it on  Get it get it get it get it on   Get it get it get it get it    니가 기다려왔던 남자 That's me 너의 맘을 훔칠 준비 됐으니  날 원한다면 말해 지금이 그때 그걸 가능케 할 네가 필요해 Uh  나를 봐 거칠게도 내 모습 Like BOOM! 이제 확실하게 너를 잡겠어  지금 내가 흘긴 눈빛은 Like Toxic 모두다 흘러내려버려 하나 둘씩    알아 니가 뭘 원하는지 말 안해도 나는 느끼지 I can see that  다른 어떤 누구에게도 전혀 느껴보지 못했던 이 밤의 저 끝까지   Get it get it get it get it on   Get it get it get it get it on  Get it get it get it get it on   Get it get it 내게 Don’t stop get it get it    Baby날 본 순간 바로 너의 눈이 알게 돼  아무에게나 쉽게 허락 않는 그런 나인데  너 아닌 다른 어떤 끌림도 난 필요 없어  너를 보여줘 나를 안아줘 Let me be your lover    아무런 생각하지 말고 느껴봐 음악 속에 던져진 날 가져봐  Tonight 너와 하나되는 이 시간 그런 눈으로 날 쳐다보지마   걱정은 마 눈치도 보지마 망설이는 그 시간에도 끝은 다가와   정신이 멀쩡한 체 나를 한번 쳐다봐 원한다는 한마디에 기회조차 바꿔봐    알아 니가 뭘 원하는지 말 안해도 나는 느끼지 I can see that  다른 어떤 누구에게도 전혀 느껴보지 못했던 이 밤의 저 끝까지  Get it get it get it get it on   Get it get it get it get it on  Get it get it get it get it on   Get it get it 내게 Don’t stop get it get it    아찔하게 자꾸 네게 빠지게 돼 더 빠르게 위험하게 아님 기다릴게  Hey baby, you and me 꿈만 같은데 니 심장소리가 들려 점점 더크게    Now it’s time, and nobody can stop me  이젠 알 수 없지 이 밤의 깊이  점점 좁혀지는 우리 사이 일분 일초 차이로 make U mine now  알려다가 다쳐 책임 못져 이러다가 너 영원히 내 맘 속에 갇혀  말하지 않아도 아는 남자Girl I got you, 내게 다 맡겨봐    알아 니가 뭘 원하는지 말 안해도 나는 느끼지 I can see that  다른 어떤 누구에게도 전혀 느껴보지 못했던 이 밤의 저 끝까지  Get it get it get it get it on   Get it get it get it get it on  Get it get it get it get it on   Get it get it 내게 Don’t stop get it get it    Let’s get it, get it, get get it on Let’s get it  Let’s get it, get it, get get it on Let’s get it  Let’s get it, get it, get get it on Let’s get it  Let’s get it, get it, get get it on Let’s get it"
20100930,샤이니,Up & Down,male,댄스,-,CARL MCGRIER,CARL MCGRIER,(주)SM엔터테인먼트,너왜 너왜 DOWN이야 기분이 오왜 오왜 척하면 척 너왜 너왜 UP이야 기분이 오왜 너왜 너왜 DOWN이야 기분이 오왜 오왜 척하면 척 너왜 너왜 UP이야 기분이 오왜 왜 너는 UP DOWN 기분이 맨날 달라 날 이리 저리 흔들까 저 문을 들어선 그 순간부터 니 눈치만 보는 나 웃어줄까 Hey baby 오늘은 baby 울적해 보일까 Hey baby 어떨까 baby 종잡을 수도 없어 더는 모르겠어 넌 마치 Rollercoaster Ride 너왜 너왜 DOWN이야 기분이 오왜 오왜 척하면 척 너왜 너왜 UP이야 기분이 오왜 마치 Rollercoaster Ride 너왜 너왜 DOWN이야 기분이 오왜 오왜 척하면 척 너왜 너왜 UP이야 기분이 오왜 마치 Rollercoaster Ride 오늘까지 one two 이틀은 하얀 미소로 세상을 내게 다 줄듯이 Crazy crazy baby 찬바람 쌩쌩 불도록 쌀쌀한 날엔 내 존재도 잊는 듯 웃어줄까 Hey baby 오늘은 baby 울적해 보일까 Hey baby 어떨까 baby 종잡을 수도 없어 그래서 재미있어 넌 마치 Rollercoaster Ride 너왜 너왜 DOWN이야 기분이 오왜 오왜 척하면 척 너왜 너왜 UP이야 기분이 오왜 너왜 너왜 DOWN이야 기분이 오왜 오왜 척하면 척 너왜 너왜 UP이야 기분이 오왜 마치 Rollercoaster Ride 너무 건조한 관계 그대 억눌린 감정 이제 그만 나의 한계 너무나도 닫힌 말하지 못하고 그녀 앞에 그친 모든 남자들은 다 성가신 미소 하나만으로도 눈이 부신 여전히 이렇게도 가만히 계신 이런 그녈 say 어떡하나 Hey baby 어떡해 baby 아무리 그래도 Hey baby 좋은걸 baby girl Oh no Oh no 너무 예뻐 뭐든 모두 싹 잊게 돼 Oh no Oh no 너무 예뻐 Oh no Oh no Oh no 너무 예뻐 뭐든 모두 싹 잊게 돼 Oh no Oh no 너무 예뻐 Oh no DOWN DOWN and DOWN to the UP UP DOWN and back UP again 왜 또 시무룩해 있네 사실 좀 지치긴 해 근데 어떡해 너무 빠르게 내 주위에서 이렇게 가득히 맴도는데 오늘 한번 딱 한번 웃어주면 그냥 넘어가는 걸 마치 Rollercoaster Ride 마치 Rollercoaster Ride 마치 Rollercoaster Ride 마치 Rollercoaster Ride 마치 Rollercoaster Ride 마치 Rollercoaster Ride 마치 Rollercoaster Ride 마치 넌 마치 두려운 Rollercoaster Ride 마치 넌 마치 재밌는 Rollercoaster Ride
20100930,샤이니,Electric Heart,male,댄스,-,김부민,히치하이커,(주)SM엔터테인먼트,초콜릿 캔디처럼 녹아버려 넌 바로 이 순간 Electric Heart 이 시간 시선 모두 멈춰버리고 바로 지금 나 Electric Heart 세상 모든 의미들 다 사라지고 너 그리고 나 우리 둘만 남아 눈과 입과 귀 전부 막아봐도 더욱 강렬해져 가는 너의 향기 My love is activated 미쳐 그런 너의 눈빛 행동 말투 도도한 건방진 니 Attitude 내 가슴은 터질듯해 비켜 다른 남자 따위 나와 비교하지마 완벽한 니 attraction You gonna need me oh drive me crazy 설레임 보다 두려움에 더 가까워 계속되는 이 꿈만 같은 이 전율에 난 널 이 느낌 이대로 조금 더 더 가까이 하지만 다시 너는 멀어져 Then you steal my heart 이 흔들리는 마음 처음으로 나를 이끌어 Electric Heart Mysterious한 이 느낌도 Hysteric 해져가는 내 모습도 Are you ready 속삭여줘 내게로 와 Oh my baby 오늘 밤은 리듬 속에 Swing my lady My love is activated 미쳐 그런 너의 눈빛 행동 말투 도도한 건방진 니 Attitude 내 가슴은 터질듯해 비켜 다른 남자 따위 나와 비교하지마 완벽한 니 attraction You gonna need me oh drive me crazy 설레임 보다 두려움에 더 가까워 계속되는 이 꿈만 같은 이 전율에 아니라고 말하지는 마 You steal my heart 미쳐 그런 너의 눈빛 행동 말투 도도한 건방진 니 Attitude 내 가슴은 터질듯해 비켜 다른 남자 따위 나와 비교하지마 완벽한 니 attraction You gonna need me oh drive me crazy 미쳐 그런 너의 눈빛 내 가슴은 터질듯해 비켜 다른 남자 따위 나와 비교하지마 완벽한 니 attraction You gonna need me oh drive me crazy
20100930,샤이니,A-Yo,male,댄스,-,Erin Reid,Erin Reid,(주)SM엔터테인먼트,가끔 혼자서 길을 걷다 잠시 멈춰 주윌 한번 둘러보다 혼자라는 기분에 힘이 들 땐 그땐 나를 따라해 나를 나를 따라해 eh 또 혼자서 잠에 들다 애써 꾸벅꾸벅 지친 눈을 감다 자꾸 많은많은 생각에 잠 못들 땐 그땐 나를 따라해 나를 나를 따라해 eh A Yo 힘이 들 땐 둥타닥 rhythm에 기대어 oh 널 향한 우리의 노래로 oh 모두 A Yo 모두 A Yo A Yo 잠 못들 땐 툭 털어 rhythm에 맡기고 oh 펼쳐질 내일에 기대로 oh 모두 A Yo 모두 A Yo IQ는 두자리 시험 점수도 두자리 전교 석차는 세자리 도대체 why why 하루 온종일 돌아오는 건 잔소리 오늘도 책상 앞에선 뭘한거니 why why 숨가쁜 하루에 쉴곳하나 없어도 oh oh 절대 약해지지마 ah ah No way No way 서러운 맘 알아줄 이 없어도 oh oh 절대 포기하지마 ah ah Your way Your way A Yo 힘이 들 땐 둥타닥 rhythm에 기대어 oh 널 향한 우리의 노래로 oh 모두 A Yo 모두 A Yo A Yo 잠 못들 땐 툭 털어 rhythm에 맡기고 oh 펼쳐질 내일에 기대로 oh 모두 A Yo 모두 A Yo 믿었던 사람아 내 모든걸 바쳐 잘했건만 계절바뀌듯 계절바뀌듯 변해버린 니 사랑은 Bye goodbye 시간이 없단 말 매일같이 참아준 거짓말 모르는척 돌아와줄거라 믿었지 그땐 그땐 가끔씩 눈물이 두눈앞을 가려도 oh oh 절대 약해지지마 ah ah No way No way 잠 못든 밤 끝이 없어보여도 oh oh 절대 포기하지마 ah ah Your way Your way A Yo 힘이 들 땐 둥타닥 rhythm에 기대어 oh 널 향한 우리의 노래로 oh 모두 A Yo 모두 A Yo A Yo 잠 못들 땐 툭 털어 rhythm에 맡기고 oh 펼쳐질 내일에 기대로 oh 모두 A Yo 모두 A Yo Woo 힘이 들 땐 생각해 널 반겨줄 누군갈 네가 오길 기다리며 널 향해서 웃고 있어 hey Woo 잠 못들 땐 기대해 또 펼쳐질 내일을 이 밤이 가면 네게 가끔 혼자서 길을 걷다 잠시 멈춰 주윌 한번 둘러보다 혼자라는 기분에 힘이 들 땐 그땐 나를 따라해 나를 나를 따라해 eh 또 혼자서 잠에 들다 애써 꾸벅꾸벅 지친 눈을 감다 자꾸 많은많은 생각에 잠 못들 땐 그땐 나를 따라해 나를 나를 따라해 eh A Yo 힘이 들 땐 둥타닥 rhythm에 기대어 oh 널 향한 우리의 노래로 oh 모두 A Yo 모두 A Yo side to side 네 슬픈 눈물은 side to side 네 아픔 모두 툭 털어 rhythm에 맡기고 oh 모두 A Yo 모두 A Yo
