년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101230,소녀시대,Nine Angels,female,댄스,-,-,유영진,(주)SM엔터테인먼트,We're waiting for nine angels sunshine peace pure love Taeyeon Yoona Yuri Jessica Tiffany Seohyun Sunny Sooyoung Hyoyeon We are girls' generation Into the new world First asia tour Ladies and Gentlemen Intoduce the Girls' generation
20101230,소녀시대,소원을 말해봐 (Genie) (Rock Tronic Remix Ver.),female,댄스,-,"WIK, ANNE JUDITH","WIK, ANNE JUDITH",(주)SM엔터테인먼트,"That's right, Come on 소원을 말해봐 니 마음속에 있는 작은 꿈을 말해봐 니 머리에 있는 이상형을 그려봐 그리고 나를 봐 난 너의 Genie야 꿈이야 Genie야 드림카를 타고 달려봐 넌 내 옆자리에 앉아 그저 내 이끌림 속에 모두 던져 가슴 벅차 터져버려도 바람결에 날려버려도 지금 이 순간 세상은 너의 것 그래요 난 널 사랑해 언제나 믿어 꿈도 열정도 다 주고 싶어 난 그대 소원을 이뤄주고 싶은 행운의 여신 소원을 말해봐 I'm Genie for you boy 소원을 말해봐 I'm Genie for your wish 소원을 말해봐 I'm Genie for your dream 내게만 말해봐 I'm Genie for your world 소원을 말해봐 지루한 날들이 넌 지겹지 않니 평범한 생활에 넌 묻혀버렸니 이제 그만 깨어나 넌 나의 Superstar shining star superstar 심장소리 같은 떨림의 Harley에 네 몸을 맡겨봐 이제 이 세상은 오직 너의 무대 환호소리 같은 파도가 내 가슴엔 너의 체온이 나는 너의 길 영원한 Biggest fan 그래요 난 널 사랑해 언제나 믿어 꿈도 열정도 다 주고 싶어 난 그대 소원을 이뤄주고 싶은 행운의 여신 소원을 말해봐 소원을 말해봐 I'm Genie for you boy 소원을 말해봐 I'm Genie for your wish 소원을 말해봐 I'm Genie for your dream 내게만 말해봐 I'm Genie for your world 소원을 말해봐 소원을 말해봐 DJ put it back on 그래요 난 널 사랑해 언제나 믿어 꿈도 열정도 다 주고 싶어 난 그대 소원을 이뤄주고 싶은 행운의 여신 소원을 말해봐 너의 Fantasy를 숨김없이 말해봐 나는 Genie 길을 보여줄게 니가 가진 소원 숨김없이 말해봐 너의 Genie 내가 들어줄게 소원을 말해봐 I'm Genie for you boy 소원을 말해봐 I'm Genie for your wish 소원을 말해봐 I'm Genie for your dream 내게만 말해봐 I'm Genie for your world 소원을 말해봐 I'm Genie for you boy 소원을 말해봐 I'm Genie for your wish"
20101230,소녀시대,Show! Show! Show!,female,댄스,-,김부민,히치하이커,(주)SM엔터테인먼트,Show me Show me Show me Show me Show me Show me Hurry Hurry 반짝반짝 oh 두근두근 하나하나 다 맘에 들어 한 눈에 쓰윽 지나쳐 봐도 너 하나만 꼭 내 스타일인 걸 Hush Hush Hush 너의 마음을 보여줘 Listen to me Show me Show me 아이코 큰일이야 Show me Show me 이제 나 야단났어 Show me Show me 자꾸 보고 싶은데 Hurry Hurry 아직도 모르겠니 Show me Show me cause I'm ready for you Show me Show me 너도 알고 있잖아 Show me Show me 이젠 맘을 보여줘 Hurry Hurry 다가와 속삭여줘 Uh Uh 이런 정말 대단해 아찔하게 네게 빠져들어 수 백 만 번 고민 해봐도 내 심장은 Automatic인 걸 Hush Hush Hush 너의 마음을 보여줘 Listen to me Show me Show me 아이코 큰일이야 Show me Show me 이제 나 야단났어 Show me Show me 자꾸 보고 싶은데 Hurry Hurry 아직도 모르겠니 Show me Show me cause I'm ready for you Show me Show me 너도 알고 있잖아 Show me Show me 이젠 맘을 보여줘 Hurry Hurry 다가와 속삭여줘 Show me Show me yeah Show me baby 숨기려 하지 말고 어떻게 하나요 날 흔들지 말아줘요 If you wanna be my boy I'm gonna be with you forever and more Just tell me that you love me I'll be there Right Alright Just for you Show me Show me 아이코 큰일이야 Show me Show me 이제 나 야단났어 Show me Show me 자꾸 보고 싶은데 Hurry Hurry 아직도 모르겠니 Show me Show me cause I'm ready for you Show me Show me 너도 알고 있잖아 Show me Show me 이젠 맘을 보여줘 Hurry Hurry 다가와 속삭여줘
20101230,소녀시대,소녀시대 (Girls` Generation),female,댄스,-,이승철,송재준,(주)SM엔터테인먼트,난 아직 어리다고 말하던 얄미운 욕심쟁이가 오늘은 웬일인지 사랑해 하며 키스해 주었네 얼굴은 빨개지고 놀란 눈은 커다래지고 떨리는 내 입술은 파란빛깔 파도 같아 너무 놀라버린 나는 아무 말도 하지 못하고 화를 낼까 웃어버릴까 생각하다가 어리다고 놀리지 말아요 수줍어서 말도 못하고 어리다고 놀리지 말아요 스쳐가는 얘기뿐인걸 난 아직 어리다고 말하던 얄미운 욕심쟁이가 오늘은 웬일인지 사랑해 하며 키스해 주었네 너무 놀라버린 나는 아무 말도 하지 못하고 화를 낼까 웃어버릴까 생각하다가 어리다고 놀리지 말아요 수줍어서 말도 못하고 어리다고 놀리지 말아요 스쳐가는 얘기뿐인걸 조금은 서툰 그런 모습도 어쩜 그댄 내 맘을 흔들어 놓는지 ohh 바보 같지만 나도 모르겠어 그저 이 맘이 가는 그대로 어리다고 놀리지 말아요 ohh 날 모르잖아요 어리다고 놀리지 말아요 어리다고 놀리지 말아요 수줍어서 말도 못하고 어리다고 놀리지 말아요 스쳐가는 얘기뿐인걸 어리다고 놀리지 말아요 수줍어서 말도 못하고 어리다고 놀리지 말아요 스쳐가는 얘기뿐인걸 어리다고 놀리지 말아요
20101230,소녀시대,Beginning,female,댄스,-,M.Lindblom,M.Lindblom,(주)SM엔터테인먼트,그댄아나요 우리처음 만난날 우연처럼 우리는 마주쳤었죠 그렇지만 사실은 내가 기다린거죠 그대모습 보고싶어서 그댄 나를 사랑하나요 이느낌이 사랑인가요 그대 처음본순간부터 내안의 사랑은 커져만갔어 그대여 내게로와요 I believe miss you 너무 빠른거 알아요 그렇지만 그댈믿어요 I don't care how 그대를 사랑하니까 I'm your girl I'm your peach 그대여 이순간 내게로와요 그대 나를 만나면 마음 설레이나요 그대 마음 알 수 없어요 다가가면 멀어지고 돌아서면 다가오는 그대나를 사랑하나요 I'm Wanna make smile again 너무 빠른 시작인가요 그대여 이순간 내게로와요 그대 처음본순간부터 내안의 사랑은 커져만갔어 그대여 내게로와요 I believe miss you 너무 빠른거 알아요 그렇지만 그댈믿어요 I don't care how 그대를 사랑하니까 I'm your girl I'm your peach 그대여 이순간 내게로와요 헤어지고 집에오면 벌써그리워 그대이름 속삭여봐요 매일 그대가 보고싶어 그대이순간 내게로 와요 Oh Oh Hurry Hurry now 그대 처음본 순간부터 내안의 사랑은 커져만갔어 그대여 내게로와요 I believe miss you 너무 빠른거 알아요 그렇지만 그댈믿어요 I don't care how 그대를 사랑하니까 I'm your girl I'm your peach 그대여 이순간 내게로와요
20101230,소녀시대,It`s Fantastic,female,댄스,-,박준하,박준하,(주)SM엔터테인먼트,My love It's not a dream It's Fantastic 늘 꿈꾸던 눈부신 세상이 눈앞에 펼쳐 질 때엔 달려가 먼저 문 두드려 힘차게 때론 네가 부르던 그 노래 내 귓가에 맴돌면 다른 내 삶에 주인공 인듯해 Feels OK Take it 새로워 새로워 oh oh Beautiful sky 달콤해 달콤해 이세상은 다 니꺼야 가져봐 저 하늘과 태양 바람마저 이 모든 게 새로운 시작인데 두 눈 감으면 향기롭게 너의 품에 있어 언젠간 넌 내게 꼭 다시 와 줄래 영원히 변치 않는 불꽃처럼 환한 별빛아래서 속삭이는 저 새들 곁에서 노래해 반짝여 아름다운 별 같은 네 영혼 빛에 물든 너라서 거친 세상을 밝혀줄 넌 Always Sunny day 저 하늘과 태양 바람마저 이 모든 게 새로운 시작인데 두 눈 감으면 향기롭게 너의 품에 있어 언젠간 넌 내게 꼭 다시 와 줄래 영원히 변치 않는 불꽃처럼 환한 별빛아래서 속삭이는 저 새들 곁에서 노래해 My love It's not a dream 자유롭게 Fly The Sky 두려워 마요 그대 Fantastic 저 하늘과 태양 바람 속에 이 모든 게 새롭게 다가오면 두 눈 감아봐 향기로운 그대 내게 와 있게언젠간 넌 내게 꼭 다시 와 줄래 영원히 변치 않는 사랑처럼 환한 별빛 안에서 그대와 나만의 노래 Just for us Always
20101230,소녀시대,Etude,female,댄스,-,유제니,황성제,(주)SM엔터테인먼트,Listen to my words Girl please let him know Girl 잘 들어봐 내가 하는 말 넘 기다려왔던 이 순간을 위해 I know why 너의 sexy한 모습 아이 같은 순수함 모두 보여 줄래 oh No 말할 땐 좀더 크게 Yes Right 때로는 소녀 같게 하나하나 조심스럽게 행동하기 왜 그러니 너 실수투성이 넘 어색한 행동과 말들 매력이라곤 뭐 전혀 보이질 안잖아 들어봐 너를 보여줘 사랑스러운 너의 애교와 눈웃음 가득 우리 연습한 그대로 푹 빠져들어 가게 Love yourself Girl 잘 보여봐 패션 하나도 좀 사랑스럽게 좀 어색하지 않게 Make up 하얀 너의 피부에 맞게 넘 진해도 안돼 살짝 은은하게 oh No 지나친 향수 금물 Yes Right 때로는 숙녀 같게 바라보는 시선 모두다 훔쳐가게 왜 그러니 너 실수투성이 넘 어색한 행동과 말들 매력이라곤 뭐 전혀 보이질 안잖아 들어봐 너를 보여줘 사랑스러운 너의 애교와 눈웃음 가득 우리 연습한 그대로 푹 빠져들어 가게 Love yourself 그가 젖어 들면 촉촉한 눈빛을 보내고 너의 부드런 손끝을 그에게 살짝 닿게 해 oh 바로 그거야 녹일 수 있는 넘 완벽한 행동과 말들 사랑스런 너의 매력 빠져 버릴 거야 느껴봐 Girl please let him know 너의 모든 걸 조금씩 천천히 보여줘 우리 연습한 그대로 푹 빠져들어 가게 Love yourself
20101230,소녀시대,Ooh La-La!,female,댄스,-,AVRIL MACKINTOSH,AVRIL MACKINTOSH,(주)SM엔터테인먼트,Ooh la la ooh what a feeling Ooh la la the clouds are smiling 옛날 옛적 언니들과 계모에게 몹시 구박 받던 그녀 이름 맘도 몸도 착한 신데렐라 어느 날 밤에 무도회 이쪽저쪽 다니다가 왕자님 만나 첫눈에 반해서 사랑에 빠져 버렸죠 주위를 둘러봐 멋진 왕자님 나는 공주님 모두들 우리를 축하해요 Ooh La La 나는 아직은 어리지만 그대의 존재를 믿어요 단 한 명의 나만의 왕자님을 Ooh La La 그대만의 공주 될래요 그대에게 잘 어울릴 난 공주가 될래  그래 Ooh La La Ooh la la ooh what a feeling 기억하니 항상 one two three two four two 줄을 맞춰 걸어가는 착한 난쟁이들과 행복한 백설공주 독사과를 먹고 죽음과 같은 깊은 잠이 들 때 백마 탄 왕자 달콤한 키스로 잠자는 공주를 깨워 주었죠 주위를 둘러봐 멋진 왕자님 나는 공주님 모두들 우리를 축하해요 Ooh La La 나는 아직은 어리지만 그대의 존재를 믿어요 단 한 명의 나만의 왕자님을 Ooh La La 그대만의 공주 될래요 그대에게 잘 어울릴 난 공주가 될래  그래 Ooh La La 그리하여 공주님은 왕자님의 성으로 마차를 타고서 갔구요 둘은 행복하게 살았다죠 내 인생에 아직은 백마 탄 왕자님은 없지만 어딘가 그대 있겠죠 언젠가는 만나게 될 그댈 기다리며 나는 꿈을 잃지 않아 Ooh La La 나는 아직은 어리지만 그대의 존재를 믿어요 단 한 명의 나만의 왕자님을 Ooh La La 그대만의 공주 될래요 그대에게 잘 어울릴 난 공주가 될래  그래 Ooh La La Ooh La La 나는 아직은 어리지만 그대의 존재를 믿어요 단 한 명의 나만의 왕자님을 Ooh La La 그대 역시 나를 찾겠죠 우리 만날 그날 올 때까지 나 여기에 있어 봤어 Ooh La La
20101230,소녀시대,Kissing You,female,댄스,-,LeeOn,LeeOn,(주)SM엔터테인먼트,뚜뚜루 뚜뚜뚜 뚜뚜루 뚜뚜뚜 뚜뚜루 뚜뚜뚜 Kissing you baby 뚜뚜루 뚜뚜뚜 Loving you baby 뚜뚜루 뚜뚜뚜 Kissing you baby 뚜뚜루 뚜뚜뚜 Loving you baby 장난스런 너의 키스에 기분이 좋아 귀엽게 새침한 표정 지어도 어느 샌가 나는 숙녀처럼 내 입술은 사근사근 그대 이름 부르죠 그대와 발을 맞추며 걷고 너의 두 손을 잡고 니 어깨에 기대어 말하고 싶어 고마워 사랑해 행복만 줄게요 Kissing you oh my love 내일은 따스한 햇살 속에 너는 내 옆에 누워 사랑의 노랠 불러주며 웃어줘 달콤한 사랑해 기분 좋은 한마디 뚜뚜루 뚜뚜뚜 Kissing you baby 뚜뚜루 뚜뚜뚜 Loving you baby 눈을 감고 너의 입술에 키스를 하면 내 볼은 핑크빛 물이 들어도 내 마음은 이미 넘어가고 내 가슴엔 두근두근 심장소리 들리죠 그대와 발을 맞추며 걷고 너의 두 손을 잡고 니 어깨에 기대어 말하고 싶어 고마워 사랑해 행복만 줄게요 Kissing you oh my love 내일은 따스한 햇살 속에 너는 내 옆에 누워 사랑의 노랠 불러주며 웃어줘 달콤한 사랑해 기분 좋은 한마디 사랑해 사랑해 너만을 사랑해 하늘만큼 언제나 행복하게 환한 웃음 줄게 너만의 소중한 여자친굴 약속해 너는 내 옆에 있고 나의 두 눈에 있고 너의 품안엔 항상 내가 있을게 그대와 발을 맞추며 걷고 너의 두 손을 잡고 니 어깨에 기대어 말하고 싶어 고마워 사랑해 행복만 줄게요 Kissing you oh my love 내일은 따스한 햇살 속에 너는 내 옆에 누워 사랑의 노랠 불러주며 웃어줘 달콤한 사랑해 기분 좋은 한마디 달콤한 사랑해 기분 좋은 사랑해 한마디
20101230,소녀시대,1년 後 (One Year Later),female,발라드,-,김진환,김진환,(주)SM엔터테인먼트,한참을 꿈을 꾼 것 같아 한동안 헤매고 헤매다 마치 약속이라도 한 듯 네 계절을 거슬러 그 날처럼 마주 서있는 우리 그 때 우리가 써내려 갔던 아름다웠던 이야기 그 때 우리가 기도했었던 영원 하자던 약속들 하나씩 떠올리다 나의 가슴이 견디지 못할걸 알기에 니 생각에도 꾹 참았어 너의 1년은 또 어땠었니 한참을 잊은 채 살았지 한동안 괜찮은 듯 했어 하지만 시간이 흐르며 깨달아가고 있어 너 없이는 나는 안 된다는 걸 그 때 우리가 아주 조금만 어른스러웠더라면 그 때 우리가 미처 몰랐던 지금을 알았더라면 끝이 없는 후회만 되뇌이다가 이겨낼 자신이 없어서 그것마저도 꾹 참았어 그렇게 1년이 흘러왔어 혹시 너도 내 맘 같을까 다시 한 번만 기회를 주겠니 이젠 알아 절대로 우리는 헤어질 수 없어 사랑하고 또 사랑하는 한 사람 우리 좋았던 처음 그때로 다시 돌아갔으면 해 아름다웠고 행복했었던 사랑이었던 날들로 가슴아픈 얘기들 헛된 다툼들 이젠 모두 다 묻어두고 다신 꺼내지 말기로 해 계절이 또 흘러 몇 년이 지나도 오늘 같은 만남 다신 없길
