년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100525,스매쉬 ,Dance 2 My Hardbeat,male,일렉트로니카,-,-,-,-,-
20090302,스매쉬 ,Dance 2 My Hardbeat,male,일렉트로니카,-,-,-,-,-
20090302,스매쉬 ,Dance 2 My Hardbeat,male,일렉트로니카,-,-,-,-,-
20070101,스매쉬 ,Pall Mall Groove,male,R&B/Soul,-,-,-,-,-
20070101,스매쉬 ,Anyway (Feat. Greg Williams & Darnell Wyrick),male,R&B/Soul,-,-,-,-,-
20070101,스매쉬 ,I`m Gonna Give (My Whole Life To Music) (Feat. Arnett Hayes),male,R&B/Soul,-,-,-,-,-
20070101,스매쉬 ,Don`t Waste My Time (Feat. T.C. Brown),male,R&B/Soul,-,-,-,-,-
20070101,스매쉬 ,Your Love (Feat. T.C. Brown),male,R&B/Soul,-,-,-,-,-
20070101,스매쉬 ,Funk Freak (Feat. Stanley Brown),male,R&B/Soul,-,-,-,-,-
20061110,스매쉬 ,19금Konstablerwache (Orginal Mix),male,록/메탈,-,-,-,-,-
20061110,스매쉬 ,Korrekte Atmosphaere (Orginal Mix),male,록/메탈,-,-,-,-,-
20060101,스매쉬 ,I Don`t Think I Love You Anymore - Smash!!,male,월드뮤직,-,-,-,-,-
20050202,스매쉬 ,The Smash Megamix,male,월드뮤직,-,-,-,-,-
20040609,스매쉬 ,Faith,male,POP,-,-,-,-,"Well I guess it would be nice If I could touch your body I know not everybody Has got a body like you But I've got to think twice Before I give my heart away And I know all the games you play Because I play them too Oh but I Need some time off from that emotion Time to pick my heart up off the floor And when that love comes down Without devotion Well it takes a strong man baby But I'm showing you the door 'Cause I gotta have faith... I gotta have faith... 'Cause I gotta have faith... I gotta have faith... Baby I know you're asking me to stay Say please, please, please, don't go away You say I'm giving you the blues Maybe You mean every word you say Can't help but think of yesterday And another who tied me down to loverboy rules Before this river Becomes an ocean Before you throw my heart back on the floor Oh baby I reconsider My foolish notion Well I need someone to hold me But I'll wait for something more 'Cause I gotta have faith... I gotta have faith... 'Cause I gotta have faith... I gotta have faith... Before this river Becomes an ocean Before you throw my heart back on the floor Oh baby I reconsider My foolish notion Well I need someone to hold me But I'll wait for something more 'Cause I gotta have faith... I gotta have faith... 'Cause I gotta have faith... I gotta have faith..."
