년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100812,시크릿,Madonna,female,댄스,-,강지원,강지원,티에스이엔티이알,오 내 맘이야 맘이야 맘이 맘이야  오 내 맘이야 맘이야 맘이 맘이야  Ma Ma Ma Ma Madonna donna  Madonna donna donna  모두가 Hot Hot  나땜에 나땜에 나땜에 Hot Hot Hot  Madonna donna  Madonna donna donna  느껴봐 날 날  모두다 모두다 모두다 Hot Hot Hot  보여줘도 믿을 수가 없는  그 누구도 상상할 수 없는  Oh Oh Oh Oh Oh Oh  Lady Lady Lady  따라 할 수 없는 패셔니스타  내가 하면 그게 Trendy hot style  Oh Oh Oh Oh Oh Oh  Lady Lady Lady  하고 싶은 대로 생각 하면 돼  자신 있게 하고 싶은 대로 해  Oh Lady Everytime make it hot  Oh Lady 좀 더 소리쳐봐  Make it high  당당하게 자신 있게 말해봐  솔직하게 네 맘을 다 말해봐  사는 거야 바로 나처럼  Ma Ma Ma Ma Madonna donna  Madonna donna donna  모두가 Hot Hot  나땜에 나땜에 나땜에 Hot Hot Hot  Madonna donna  Madonna donna donna  느껴봐 날 날  모두다 모두다 모두다 Hot Hot Hot  오 내 맘이야 맘이야 맘이 맘이야  내 맘이야 맘이야 맘이 맘이야  오 내 맘이야 맘이야 맘이 맘이야  맘 맘 맘 내 맘이야  내가 내가 바로 Sexy Icon  그 누구도 막지 못할 Control  Oh Oh Oh Oh Oh Oh  Lady Lady Lady  두려울 게 없는 Super Women  무서울 게 없는 Wonder Women  Oh Oh Oh Oh Oh Oh  Lady Lady Lady  느낌 있게 도도하게 그렇게  과감하게 센스 있게 그렇게  Oh Lady 망설이지 말고 느껴봐  Oh Lady 지금 이순간을 즐겨봐  당당하게 멋있게 늘 그렇게  여신처럼 빛나게 늘 그렇게  사는 거야 바로 나처럼  Ma Ma Ma Ma Madonna donna  Madonna donna donna  모두가 Hot Hot  나땜에 나땜에 나땜에 Hot Hot Hot  Madonna donna  Madonna donna donna  느껴봐 날 날  모두다 모두다 모두다 Hot Hot Hot  오 내 맘이야 맘이야 맘이 맘이야  내 맘이야 맘이야 맘이 맘이야  오 내 맘이야 맘이야 맘이 맘이야  맘 맘 맘 내 맘이야  Like A 생각대로 너를 맡겨  Fire 지난 시간들을 태워  M A D O Double N A  자신 있게 몸을 움직여  Move it Groove it Shake it  누구보다 미치게 더 신나게  아무도 따라 하지 못하게  Yo 이제부터 모든걸 다 보여줄게  Wanna Wanna Wanna Wanna Primadonna Ma Ma Ma Ma Madonna donna Madonna donna donna 모두가 Hot Hot 나땜에 나땜에 나땜에 Hot Hot Hot Madonna donna Madonna donna donna 느껴봐 날 날 모두다 모두다 모두다 Hot Hot Hot Madonna donna Madonna donna donna 모두가 Hot Hot 나땜에 나땜에 나땜에 Hot Hot Hot Madonna donna Madonna donna donna 느껴봐 날 날 모두다 모두다 모두다 Hot Hot Hot 모두다 모두다 Hot Hot Hot
20100812,시크릿,랄랄라,female,댄스,-,나코,김수빈 (AIMING),티에스이엔티이알,랄랄라 가을하늘을 보면 난 네 생각뿐인데 겨울바다를 보면 난 네 품이 그리워지는데 비가 오는 이날에는 잠이 오질 않고 서랍 속에 네 사진만 멍하니 바라만 보는데 가슴이 더 이상은 뛰질 않아 밥을 먹어도 아무 맛이 나질 않아 Baby 눈을 감아도 네가 보이고 눈을 뜨면 네 생각에 잠이 오질 않아 소리쳐 발버둥 쳐봐도 내 손끝은 다시 너를 불러 Why don't you try hater Hey boy 아무것도 손에 잡히질 않아 네 생각도 접히질 않아 더 이상 I'm not Okay 라라라라라 이젠 웃고 싶은데 라라라라라 이젠 울기 싫은데 날 모질게 떠난 사람 날 두고 간 나쁜 사람 랄랄랄라라 라 랄랄라 어디 있는지 이렇게 애타게 널 찾고 있는데 뭘 하고 있는지 바보 같은 내 모습에 한숨만 늘어 모든걸 버려야 너마저도 지워져 그래야 난 다시 또 숨을 쉬어 I need to pull it together do it 내게 더 I know know know 이미 늦은걸 같이 눈을 뜨고 같이 걸었고 같은 별을 보며 사랑했는데 이제는 나는 어디로 걸어가야해 나 혼자 남겨두고 떠나가면 어떻게 Uh Yeah No Way No Way baby 라라라라라 이젠 웃고 싶은데 라라라라라 이젠 울기 싫은데 날 모질게 떠난 사람 날 두고 간 나쁜 사람 랄랄랄라라 라 랄랄라 아무리 생각해봐도 너 하나뿐인 나라서 못 잊겠잖아 못 지우잖아 I'm missing you oh Baby 라라라라라 이젠 웃고 싶은데 라라라라라 이젠 울기 싫은데 날 모질게 떠난 사람 날 두고 간 나쁜 사람 랄랄랄라라 라 랄랄라
20100812,시크릿,잘해 더! (Feat. 백찬 Of 8eight),female,댄스,-,백찬,Pdogg,티에스이엔티이알,네가 놀아 대는 건 왜 맨날 되고 내가 하루 노는 건 아 아 안되고 이건 말도 안돼 난 그 논리 반대 넌 내게 잘해야 돼 안 그럼 넌 Out Yeah Bighit Represent S E C R E T Pdogg & 백찬 내게 잘해 더 잘해 더 이기적인 Baby 나한테만 왜이리 참한 여자를 강요해 넌 내놓은 몸이면서 말만 앞선 Baby 입만 열면 왜이리 자꾸 가르치려 들어 됐고 그냥 내게 잘해 더 잘해 더 더더더 잘해 더 너밖에 없는 거 아냐 날 예뻐해 줄 뻐해줄 뻐뻐뻐 뻐해줄 그런 남자 완전 많아 If you if you continue it It's you It's You X Boy 너 따위 안 만나 잘해 잘해 If you if you continue it It's you It's You X Boy 너 따위 안 만나 잘해 잘해 잘해 잘해 잘해 잘해 더 10초 고민한 너의 생각은 맞고 며칠 고민한 나는 다 시끄럽고 이건 말도 안돼 난 그 논리 반대 넌 내게 잘해야 돼 안 그럼 넌 Out 난 불쌍한 Lady 놀러 나갈 내일이 벌써부터 귀찮아 네 잔소리 폭탄에 난 불 같은 Lady 까딱하면 내일이 마지막이 될지 몰라 됐고 그냥 내게 잘해 더 잘해 더 더더더 잘해 더 너밖에 없는 거 아냐 날 예뻐해 줄 뻐해줄 뻐뻐뻐 뻐해줄 그런 남자 완전 많아 If you if you continue it It's you It's You X Boy 너 따위 안 만나 잘해 잘해 If you if you continue it It's you It's You X Boy 너 따위 안 만나 잘해 잘해 잘해 잘해 왜 날 아직 모르니 널 사랑하는데 Eh 자꾸 괴롭히지마 난 너무 힘든데 너 왜 그러니 내게 잘해 더 잘해 더 더더더 잘해 더 너밖에 없는 거 아냐 날 예뻐해 줄 뻐해줄 뻐뻐뻐 뻐해줄 그런 남자 완전 많아 If you if you continue it It's you It's You X Boy 너 따위 안 만나 잘해 잘해 If you if you continue it It's you It's You X Boy 너 따위 안 만나 잘해 잘해 노력 노력해 볼게 더 더 잘해볼게 맨날 하는 소리지만 내게 기횔 줄래 너 없는 난 텅 텅 텅빈 깡통 통 통 잘 알고 있으니까 한 번만 봐줄래
20100812,시크릿,줄듯말듯,female,발라드,-,마리오,이상인,티에스이엔티이알,너는 잘 몰라 흔들리는 내 맘을 너만 바라보는 나의눈빛을 무관심한 듯 차갑게 널 대해도 이젠 나 어쩔수 없어 좀 나빴어 너 줄듯 말듯한 맘이 줄듯 말듯한 고백이 나 혼자서만 안절부절 하게 만들었어 날 할 듯 말듯한 키스에 두근거리게 했으면 말을 해줄래 기다리다 지치기 전에 전화할 때는 달콤한 목소리로 문자 메시지엔 사랑이가득해 근데 왜 그래 얼굴을 마주보면 차갑게 말을 하는 너 좀 나빴어 넌 줄듯 말듯한 맘이 줄듯 말듯한 고백이 나혼자서만 안절부절 하게 만들었어 날 할 듯 말듯한 키스에 두근거리게 했으면 말을 해줄래 기다리다 지치기 전에 눈을 맞추면 피하지 말아줘 나도 다 알아 망설이면 안돼 말을 해 알잖아 나도 너를 좋아해 기다리고 있을게 날 안아줄래 I want you know 하루하루 기다리는 날 보여줬다 아닌척 좀 하지마 너지켜줘 매너 I love you know 하루하루 수십 번도 더 잡았다 놓았다 하는 전화기 내 맘도 전화기 어쩌면 너도 이럴지도 몰라 어쩌다 이렇게 끝날지도 몰라 더더더더 늦기 전에 다가와 내 손 잡을래 말해줄래 달콤한 그 대답 한마디면 돼 좀 나빴어 너 줄듯 말듯한 맘이 줄듯 말듯한 고백이 나혼자서만 안절부절 하게 만들었어 날 할 듯 말듯한키스에 두근거리게 했으면 말을 해줄래 기다리다 지치기 전에 좀 나빴어 너 줄듯 말듯한 맘이 줄듯 말듯한 고백이 나혼자서만 안절부절 하게 만들었어 날 할 듯 말듯한키스에 두근거리게 했으면 말을 해줄래 기다리다 지치기 전에
20100812,시크릿,자리비움,female,발라드,-,강지원,임상혁,티에스이엔티이알,네 말투도 네 표정도 잘 잊혀지지 않아서 난 너무나 헷갈려 네가 떠난건지 네가 있든 네가 없든 똑같은 날 인데 나도 잘 모르는 허전한 마음만 네가 내 마음에 자릴 비워서 네가 살던 내 마음에 없어서 바보같이 울었고 널 찾아 또 헤맸어 네가 없으면 죽을 것 같아서 숨도 쉬고 밥도 먹고 잠도 잘 자는 것 같아 언제라도 네가 올 것만 같아서 보고 싶고 난 아파도 참을 수 있는데 나도 잘 모르는 허전한 마음만 네가 내 마음에 자릴 비워서 네가 살던 내 마음에 없어서 바보같이 울었고 널 찾아 또 헤맸어 네가 없으면 죽을 것 같아서 사랑은 아픈 거라고 가르쳐준 적 없죠 네가 떠난 뒤에야 너의 자릴 찾나 봐 네가 내 마음에 자릴 비워서 네가 살던 내 마음에 없어서 바보같이 울었고 널 찾아 또 헤맸어 네가 없으면 죽을 것 같아서 네가 없으면 죽을 것 같아서
20100401,시크릿,My Boy,female,발라드,-,디액션 (D.Action),이상인,티에스이엔티이알,My Boy My Boy 너무나도 닮은 널 처음 너를 본 순간 나는 느꼈어 그를 보는 것 같아 착각 속에 빠져버린 걸 스치는 숨결 속에 다시 네가 내게 돌아온 것만 같아 헤어 날 수도 없게 돼버린 이런 내가 싫어져 무너질 것 같아 MY Boy 하루하루 시간 속에 이제 더 이상 눈물은 없어 소중했던 추억 속에 혼자 하는 사랑 이젠 싫어 깨달았어 가슴속에 나만의 영원한 그대 My Boy My Boy Boy My Boy Boy My Boy 더 이상 그 안에서 괴로운 내 모습도 지치고 있어 하루만큼이라도 행복한 나를 바라는데 말을 할 수 없었어 그와 닮은 이유로 널 택했다는 걸 그를 너무 사랑했었기에 이런 나를 용서해 지우지 못하는 My Boy 하루하루 시간 속에 이제 더 이상 눈물은 없어 소중했던 추억 속에 혼자 하는 사랑 이젠 싫어 깨달았어 가슴속에 나만의 영원한 그대 My Boy My Boy Boy My Boy Boy My Boy 길을 걷다 보면 수 십 번씩 생각나 너의 손짓 환하게 웃던 넌 지금 어디 있어 이제는 네가 없는게 내 현실 난 너에게는 먼지처럼 사라져서 좋겠지 But U Know 알아야 돼 Don't U Know 난 네가 밀어서 쓰러진 도미노 아직도 닮은사람만 봐도 가슴이 뛰어 잠이 또 안 오는 밤을 보내 감은 눈을 떴어 셀 수도 없는 밤을 난 뜬눈으로 보내 오늘도 이런 나를 보면서 흔들리는 널 보았지 이젠 말하고 싶어 그 보다 더 난 너를 사랑해 My Boy 하루하루 시간 속에 이제 더 이상 눈물은 없어 소중했던 추억 속에 혼자 하는 사랑 이젠 싫어 깨달았어 가슴속에 나만의 영원한 그대 My Boy My Boy Boy My Boy Boy My Boy My Boy My Boy Boy Boy My Boy
20100401,시크릿,Magic,female,댄스,-,강지원,신사동 호랭이,티에스이엔티이알,Hey Listen Up Let's Play The Magic Show 3 2 1 Let's Go 반짝이는 조명 아래 선 We Are Magic 강렬한 음악이 흐르면 빠져버릴 Magic Hole 소리 높여 따라 불러봐 We Are Magic 볼수록 더 매력 있게 다가갈게 당당하게 보여줄 듯 말 듯 비밀스럽게 알듯 말듯 신비하게 빠져들걸 Baby 보면 알걸 왜이래 1 Step 2 Step 내게 다가와 말해줄게 나의 비밀을 오 쉿 Let's Secret Time Oh My Magic Magic Magic My Magic Magic Magic 어머어머어머 어머어머어머 어머어머 하고 놀랄걸 Oh My Magic Magic Magic My Magic Magic Magic 어머어머어머 어머어머어머 어머어머 하고 놀랄걸 어머어머 하고 놀랄걸 어어어어어 어어 Magic 하 어어어어어 어어어어 Magic Get Up Get Up 모두다 Get Up Feel My Music 이리저리 눈치 보지 마 네 감정에 솔직해 리듬에 네 몸을 맡겨봐 Feel My Music 흔들흔들 흔들어봐 자신 있게 흔들어봐 보여줄 듯 말 듯 비밀스럽게 알듯 말듯 신비하게 빠져들걸 Baby 보면 알걸 왜이래 1 Step 2 Step 내게 다가와 말해줄게 나의 비밀을 오 쉿 Let's Secret Time Oh My Magic Magic Magic My Magic Magic Magic 어머어머어머 어머어머어머 어머어머 하고 놀랄걸 Oh My Magic Magic Magic My Magic Magic Magic 어머어머어머 어머어머어머 어머어머 하고 놀랄걸 어머어머 하고 놀랄걸 Listen Listen Showing It Up You Wanna I Wanna Listen Showing It Up Listen Listen Showing It Up You Wanna I Wanna Listen Showing It Up Feel Ma Magic Like A Music 신비한 내 주문에 넌 미쳐 조금씩 조금씩 조금씩 봐봐요 I'M A SICK OF THIS MAGIC SHOW 어머 어머 어머 어서 어서 어서 감춰진 나의 매력 Now Let's Make A Secret Time Stop Let's Secret Time Oh My Magic Magic Magic My Magic Magic Magic 어머어머어머 어머어머어머 어머어머 하고 놀랄걸 Oh My Magic Magic Magic My Magic Magic Magic 어머어머어머 어머어머어머 어머어머 하고 놀랄걸 Oh My Music Magic Music My Music Magic Music 어머어머어머 어머어머어머 어머어머 하고 놀랄걸 Oh My Music Magic Music My Music Magic Music 어머어머어머 어머어머어머 어머어머 하고 놀랄걸 어머어머 하고 놀랄걸 어머어머 하고 놀랄걸 쉿
20100401,시크릿,Spot Light,female,댄스,-,강지원,강지원,티에스이엔티이알,DORI OooP OooP OooP DORI DORI DORI OooPs DORI OooP OooP OooP OooP DORI DORI OooPs DORI OooP OooP OooP DORI DORI DORI OooPs DORI OooP OooP OooP OooP SPOT LIGHT POT POT LIGHT 반짝 반짝 반짝이는 눈이 부신 너를 봤어 POT POT 오오오 POT POT 오오오 두근 두근 두근대는 내 가슴이 너를 봤어 POT POT 오오오 POT POT 모든 것이 STOP TOP 너에게로 SPOT POT 도리도리 WOW 이제부터 넌 내꺼 내 심장이 HOT HOT 애가 타는 나 나 얼마나 너를 기다렸는지 아니 넌 정말 몰라 몰라 넌 내 맘 몰라 눈뗄 수가 없잖아 SPOT LIGHT SPOT LIGHT 어쩜 어쩜 그렇게 멋져 가슴이 너를 향해 SPOT LIGHT SPOT LIGHT DORI OooP OooP OooP DORI DORI DORI OooPs DORI OooP OooP OooP OooP DORI DORI OooPs DORI OooP OooP OooP DORI DORI DORI OooPs DORI OooP OooP OooP OooP SPOT LIGHT POT POT LIGHT 찰칵 찰칵 찰칵대는 널 향한 내 눈길의 flash POT POT 오오오 POT POT 오오오 자꾸 자꾸 흔들 흔들 네 매력에 빠져드네 POT POT 오오오 POT POT 모든 것이 STOP TOP 너에게로 SPOT POT 도리도리 WOW 이제부터 넌 내꺼 내 심장이 HOT HOT 애가 타는 나 나 얼마나 너를 기다렸는지 아니 넌 정말 몰라 몰라 넌 내 맘 몰라 눈뗄 수가 없잖아 SPOT LIGHT SPOT LIGHT 어쩜 어쩜 그렇게 멋져 가슴이 너를 향해 SPOT LIGHT SPOT LIGHT DORI OooP OooP OooP DORI DORI DORI OooPs DORI OooP OooP OooP OooP DORI DORI OooPs DORI OooP OooP OooP DORI DORI DORI OooPs DORI OooP OooP OooP OooP SPOT LIGHT POT POT LIGHT 거침없는 Dash 너를 향한 나의 Flash 끝없는 관심 Like Paparachi Star보다 더 빛나지 터지는 Camera 사이로 Show Me Your Love Boy Boy You Are My Star Boy Boy 내 사랑을 받아줘 네 사랑을 보여줘 Ha Let's go 넌 정말 몰라 몰라 넌 내 맘 몰라 눈뗄 수가 없잖아 SPOT LIGHT SPOT LIGHT 어쩜 어쩜 그렇게 멋져 가슴이 너를 향해 SPOT LIGHT SPOT LIGHT DORI OooP OooP OooP DORI DORI DORI OooPs DORI OooP OooP OooP OooP DORI DORI OooPs DORI OooP OooP OooP DORI DORI DORI OooPs DORI OooP OooP OooP OooP SPOT LIGHT POT POT LIGHT SPOT LIGHT POT POT LIGHT 쉿
20100401,시크릿,알아서 잘해요,female,댄스,-,황성진,김민호,티에스이엔티이알,Yeah Secret Time Oh Oh baby Let's Go 요즘 우리 사이 이상한가 봐 자꾸만 늘어 나의 잔소리들 아냐 너도 그래 나와 똑같아 말만하고 안 지키는 약속만 늘어 바쁘다는 핑계 나에게는 그게 맘을 아프게 해 그걸 아니 웃기지도 않아 들리지도 않아 이제 그만해 사랑 안 해 이럴 때마다 내가 먼저 널 찾아야 하니 왜 왜 왜 왜 이것 봐 이 바보야 너 알아서 척 척 척 드라마 주인공처럼 나를 아끼면 안되겠니 내 마음을 콕 콕 콕 아프게 하는 너지만 그래도 널 사랑해 이럴 땐 말야 나를 안으며 미안해 사랑해 한마디면 돼 그러면 말야 나도 너에게 따스한 내 키스로 너에게 보답할게 조금씩 줄어든 문자들 그리고 늦은 밤 안부전화까지 하긴 나도 그래 뭐라 못해 만나자고 하면 꾸미지 않고 나갔어 오랜 시간 동안 우린 닮아갔고 서로의 관심은 사라지고 내가 바라는 게 네가 원하는 게 다르다는 그 말 너무 싫어 맘에도 없는 헤어지잔 말을 또 너에게 하고 No No No No 내 맘도 몰라주는 너 알아서 척 척 척 드라마 주인공처럼 나를 아끼면 안되겠니 내 마음을 콕 콕 콕 아프게 하는 너지만 그래도 널 사랑해 이럴 땐 말야 나를 안으며 미안해 사랑해 한마디면 돼 그러면 말야 나도 너에게 따스한 내 키스로 너에게 보답할게 너만한 남자 없는걸 아는데 잘 아는데 난 왜 자꾸만 너에게 못된 말 하는지 바보야 내 마음을 왜 몰라 많은 걸 바라는 게 아니야 잠깐 이라도 보고 싶다고 달려와 주던 그런 네가 그리워 내사랑 너 하나야 너 알아서 척 척 척 드라마 주인공처럼 나를 아끼면 안되겠니 내 마음을 콕 콕 콕 아프게 하는 너지만 그래도 널 사랑해 이럴 땐 말야 나를 안으며 미안해 사랑해 한마디면 돼 그러면 말야 나도 너에게 따스한 내 키스로 너에게 보답할게
20100401,시크릿,I Want You Back (Acoustic ver.),female,댄스,-,Sugar Bear,강지원,티에스이엔티이알,I Wanna Wanna I Wanna Wanna I Wanna Wanna I I Wanna Wanna I Want You Back You Back I Want You Back Yeah Yeah 매일 남자 속에 둘러 쌓인 나 네가 너무 귀찮아 피했던 나 그땐 왜 몰랐을까 사랑을 몰랐을까 네 문잔 모두 휴지통에 니 선물은 모두 방구석에 Yeah 그땐 왜 몰랐을까 사랑을 몰랐을까 I Want I Want I Want I Want You 아프다는 핑계로 연락도 안하고 I Need I Need I Need I Need You 그땐 왜 그랬을까 Oh No I Want You Back You Back You Back You Back 소중했던 널 사랑했던 널 몰라봐서 미안 미안해 I Want You Back Yeah Yeah You Back You Back 차가웠던 날 이기적인 날 아껴줘서 고마워 I Want You Back I Wanna Wanna I Wanna Wanna I Wanna Wanna I I Wanna Wanna I Want You Back You Back I Want You Back Yeah Yeah 아프다고 말하면 내게 달려온 널 밤새도록 놀 때면 바래다 주던 널 그땐 미처 몰랐어 너무 바보 같았어 핸드폰 속에 네 사진 감추고 잦은 투정에 매일 짜증내고 그땐 미처 몰랐어 너무 바보 같았어 You Know You Know You Know You Know Me 헤어지잔 말을 습관처럼 내뱉고 I Know I Know I Know I Know You 후회할 줄 모르고 Oh No I Want You Back You Back You Back You Back 소중했던 널 사랑했던 널 몰라봐서 미안 미안해 I Want You Back Yeah Yeah You Back You Back 차가웠던 날 이기적인 날 아껴줘서 고마워 I Want You Back 알고 있니 너도 괜찮은 척하면서 힘들어 하는 거 다 보여 새빨간 너의 거짓말 새까맣게 타버린 내 맘 Want You Back 수 십 수 백 번 전화해도 받지 않는 너 이제와 나는 왜 안돼 벌써 이게 우리의 끝 너와 나는 등 돌린 S극 N극 대체 나의 어디가 부족한지 말해봐 I Want You Back I Want You Back You Back You Back You Back 소중했던 널 사랑했던 널 몰라봐서 미안 미안해 I Want You Back Yeah Yeah You Back You Back 차가웠던 날 이기적인 날 아껴줘서 고마워 I Want You Back I Wanna Wanna I Wanna Wanna I Wanna Wanna I I Wanna Wanna I Want You Back You Back I Want You Back Yeah Yeah I Wanna Wanna I Wanna Wanna I Wanna Wanna I Wanna Wanna I Wanna Wanna I Wanna Wanna
