년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20090408,써니힐,너는 모르지,female,발라드,-,이태건,정성헌,-,이런 느낌 처음이라 너는 모르지 얼마나 위험한건지 너는 모르지 이건 아냐 아냐 이건 아냐 이건 정말 사랑이 아냐 눈물로 다 번진 기억 너는 모르지 기억하기 싫은 기억 너만 모르지 이건 아냐 아냐 사랑 아냐 이내 아파질걸 알기에 아냐 겁쟁이라고 나를 욕하지는 마 내가 어떤 사랑한지 넌 모르지 점점 내게 가까이 와도 모든게 자신없는 난 사랑해 쉽게말하지마 니가 날 버려도 널 찾을지 몰라 우리 사랑이라는건 더 많이 연습할수록 더 많이 두렵단걸 너는 모르지 사랑이 무섭다는걸 너는 모르지 잔인한 거짓말인걸 너만 모르지 이건 아냐 아냐 사랑 아냐 헛된 기대하게 하지마 아냐 다시 누군가 믿긴 힘들것 같아 그런 감정 그런 아픔 넌 모르지 또 또 그걸 내게 하라고 한번 더 속아보라고 사랑해 쉽게 말하지마 니가 날 버려도 널 찾을지 몰라 우리 사랑이라는건 더 많이 연습할수록 더 많이 두렵단걸 너는 모르지 미안해 너의 맘을 알아 허나 돌아서서 후회하기 싫어 나의 마음 보일까봐 서둘러 돌아섰던 날 세상에 다 알아도 너는 모르길 세상에 단 한사람 너만 모르길
20090408,써니힐,너는 모르지 (Inst.),female,발라드,-,-,정성헌,-,-
20081128,써니힐,너니까 (Winter Ver.),female,-,-,-,-,-,너란 사람이 좋아 그냥 모든게 좋아 너와 난 오래전 부터 만났던 것 처럼 편안해 처음 내 가슴 뛰게 만든 너 다시 나를 눈 뜨게 했어 나 달라질게 근사해질게 그래 너를 위해서 언제나 꿈결 같은 너의 속삭임 사랑스런 눈빛 너니까 내 맘을 다 줄 사람 나에겐 너뿐야 I need your love forever 나를 지켜줘 너라면 괜찮아 너니까 내 사랑 가질 사람 나에겐 너 뿐인걸 너의 향기가 좋아 너의 모습이 좋아 때로는 힘든 날에도 널 보면 나 그냥 웃게 돼 첨으로 나를 믿어 준 사람 그래서 더 고마웠어 나 잘해줄게 더 잘해줄게 항상 웃게 해줄게 언제나 꿈결 같은 너의 속삭임 사랑스런 눈빛 너니까 내 맘을 다 줄 사람 나에겐 너뿐야 I need your love forever 나를 지켜줘 너라면 괜찮아 너니까 내 사랑 가질 사람 나에겐 너 뿐인걸 니가 내 눈에 햇살이야 니가 내가 살 세상이야 이제 나도 하나 뿐이야 오직 너 하나야 내 사랑 너 뿐이야 네가 내 곁에 있어 너무 행복해 이 순간이 좋아 너니까 주위를 둘러 봐도 내 눈엔 너 뿐이야 Baby I love forever 언제까지나 너만을 사랑해 너니까 이 세상 어디라도 널 따라 갈 나니까
20080807,써니힐,사랑밖엔 난 몰라,female,댄스,-,원태연,박해운,-,아빠 죄송합니다 오늘 내 친구 모두와 바다로 가는데 아빠 차 좀 제가 씁니다 한 번만 엄마 정말 미안해 엄마 카드 좀 하루만 쓰고 옵니다 걱정하지 말아주세요 내일봐요 사랑밖엔 난 몰라 깨져도 난 몰라 오늘 밤 나는 하이야이야이야 백사장 모래알 만큼 나는 너를 사랑해 오늘 밤에 울랄라 단 둘이 울랄라 별들을 보며 하이야이야이야 별들아 우리가 첫키스 할 때는 꼭 눈감아 아빠 미안해요 사실은 MT안가요 엄마 미안해요 그녀와 단둘이가요 아무일도 없을꺼에요 내일봐요 사랑밖엔 난 몰라 깨져도 난 몰라 오늘 밤 나는 하이야이야이야 백사장 모래알 만큼 나는 너를 사랑해 오늘 밤에 울랄라 단 둘이 울랄라 별들을 보며 하이야이야이야 떠나자 바다로 떠나자 단 둘이서 이대로 I WANT YOU I NEED YOU I LOVE YOU 오늘밤 너와나 사랑 할꺼야 저 태양이 잠들어 버리고 난 후에 그대와 나 단둘이 오늘밤 단 둘이 별들을 보며 하이야이야이야 니 눈에 나 그냥 풍덩 빠뜨릴래 사랑해 오늘 밤에 울랄라 단 둘이 울랄라 별들을 보며 하이야이야이야 별들아 우리가 첫키스 할때는 꼭 눈감아 사랑밖엔 난 몰라 사랑밖엔 난 몰라 사랑밖엔 정말 하이야이야이야 백사장 모래알 만큼 나는 너를 사랑해 오늘 밤에 울랄라 단 둘이 울랄라 별들을 보며 하이야이야이야 떠나요 바다로 떠나요 둘이서 이대로 모든걸 잊고서 떠나요 이대로 영원히
20080703,써니힐,사랑밖엔 난 몰라,female,댄스,-,박해운,"H, 원태연",-,아빠 죄송합니다 오늘 내 친구 모두와 바다로 가는데 아빠 차 좀 제가 씁니다 한 번만 엄마 정말 미안해 엄마 카드 좀 하루만 쓰고 옵니다 걱정하지 말아주세요 내일봐요 사랑밖엔 난 몰라 깨져도 난 몰라 오늘 밤 나는 하이야이야이야 백사장 모래알 만큼 나는 너를 사랑해 오늘 밤에 울랄라 단 둘이 울랄라 별들을 보며 하이야이야이야 하지만 우리가 첫키스 할 때는 꼭 눈감아 아빠 미안해요 사실은 MT안가요 엄마 미안해요 그녀와 단둘이가요 아무일도 없을꺼에요 내일봐요 사랑밖엔 난 몰라 깨져도 난 몰라 오늘 밤 나는 하이야이야이야 백사장 모래알 만큼 나는 너를 사랑해 오늘 밤에 울랄라 단 둘이 울랄라 별들을 보며 하이야이야이야 떠나자 바다로 떠나자 단 둘이서 이대로 I WANT YOU I NEED YOU I LOVE YOU 오늘밤 너와나 사랑 할꺼야 저 태양이 잠들어 버리고 난 후에 그대와 나 단둘이 오늘밤 단 둘이 별들을 보며 하이야이야이야 니 눈에 나 그냥 풍덩 빠뜨릴래 사랑해 오늘 밤에 울랄라 단 둘이 울랄라 별들을 보며 하이야이야이야 하지만 우리가 첫키스 할때는 꼭 눈감아 사랑밖엔 난 몰라 사랑밖엔 난 몰라 사랑밖엔 정말 하이야이야이야 백사장 모래알 만큼 나는 너를 사랑해 오늘 밤에 울랄라 단 둘이 울랄라 별들을 보며 하이야이야이야 떠나요 바다로 떠나요 둘이서 이대로 모든걸 잊고서 떠나요 이대로 영원히
20080703,써니힐,고무줄 (Sub. Cool 하게 컴백),female,댄스,-,윤일상,"김대현, 이상백",-,맨날 자기말이 맞대요 자꾸만 내가 잘못했대요 약속시간 서로 늦어도 맨날 내가 늦은거래요 어찌 그리 속이 좁은지 의심은 왜그리도 많은지 오늘도 빡빡 우기죠 자기같은 남자는 없다고 니가 더 심해 내가 뭐 심해 니가 더 그래 뭔지 말해봐 너란 여자 남자에게 단한번도 안 져주잖아 사랑은 너무 당기지마요 끊어지면 아파요 묶을 수도 없어요 아껴주며 사랑해요 난 좋아 상추쌈 맛있는 배추쌈 바로 진짜로 재밌는건 너희 둘의 쌈쌈 아싸 기다렸던 고자질 시시때때 저울질 자기 얼굴 삿대질 고쳐야지 그 성질 핸드폰이 꺼져있어요 분명히 어딜 놀러갔겠죠 한두번도 아닌 일인데 오늘따라 뭔가 이상해 배터리가 다됐었나봐 니 전화 기다리다 잤는데 문자도 하지 말라고 또 유치한 작전을 거는 너 우리 헤어져 아 또 왜그래 딴 여자 있어 그럼 보여주던지 여자들은 진심으로 말할때도 쉽게 생각해 사랑은 너무 당기지마요 끊어지면 아파요 묶을 수도 없어요 아껴주며 사랑해요 짜증내고 화내도 한번 참아주세요 헤어지는 것보단 사랑하는게 좋아요
20080703,써니힐,My Girl,female,댄스,-,정성헌,"김영아, 정성헌",-,COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL LETS GET THE PARTY COME ON CLAP CLAP 1 2 3 PLAY COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO YOURE MY GIRL COME ON BABY MY GIRL 샤랄라 콧노래 부르며 뒤돌아서서 내게 달려와 참새처럼 쫑알쫑알 얘기도 예뻐 조금 작은키에 긴 머리 날리는 소녀 커다란 그 눈에 내 맘 콩당콩당콩 COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO YOURE MY GIRL COME ON BABY MY GIRL LETS GET THE PARTY COME ON 만지면 터질것 같은 볼 퉁퉁거리고 징징거리고 토라져 화를 내도 사랑스런걸 반달같은 눈에 미소를 만드는 그녀 촉촉한 그 입술 내 맘 콩당콩당콩 COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO YOURE MY GIRL COME ON BABY MY GIRL COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO YOURE MY GIRL COME ON BABY MY GIRL
20080703,써니힐,사랑밖엔 난 몰라 (Inst.),female,댄스,-,박해운,-,-,-
20080703,써니힐,고무줄 (Sub. Cool 하게 컴백 (Inst.)),female,댄스,-,윤일상,-,-,맨날 자기말이 맞대요 자꾸만 내가 잘못했대요 약속시간 서로 늦어도 맨날 내가 늦은거래요 어찌 그리 속이 좁은지 의심은 왜그리도 많은지 오늘도 빡빡 우기죠 자기같은 남자는 없다고 니가 더 심해 내가 뭐 심해 니가 더 그래 뭔지 말해봐 너란 여자 남자에게 단한번도 안 져주잖아 사랑은 너무 당기지마요 끊어지면 아파요 묶을 수도 없어요 아껴주며 사랑해요 난 좋아 상추쌈 맛있는 배추쌈 바로 진짜로 재밌는건 너희 둘의 쌈쌈 아싸 기다렸던 고자질 시시때때 저울질 자기 얼굴 삿대질 고쳐야지 그 성질 핸드폰이 꺼져있어요 분명히 어딜 놀러갔겠죠 한두번도 아닌 일인데 오늘따라 뭔가 이상해 배터리가 다됐었나봐 니 전화 기다리다 잤는데 문자도 하지 말라고 또 유치한 작전을 거는 너 우리 헤어져 아 또 왜그래 딴 여자 있어 그럼 보여주던지 여자들은 진심으로 말할때도 쉽게 생각해 사랑은 너무 당기지마요 끊어지면 아파요 묶을 수도 없어요 아껴주며 사랑해요 짜증내고 화내도 한번 참아주세요 헤어지는 것보단 사랑하는게 좋아요
20080703,써니힐,My Girl (Inst.),female,댄스,-,정성헌,-,-,COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL LETS GET THE PARTY COME ON CLAP CLAP 1 2 3 PLAY COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO YOURE MY GIRL COME ON BABY MY GIRL 샤랄라 콧노래 부르며 뒤돌아서서 내게 달려와 참새처럼 쫑알쫑알 얘기도 예뻐 조금 작은키에 긴 머리 날리는 소녀 커다란 그 눈에 내 맘 콩당콩당콩 COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO YOURE MY GIRL COME ON BABY MY GIRL LETS GET THE PARTY COME ON 만지면 터질것 같은 볼 퉁퉁거리고 징징거리고 토라져 화를 내도 사랑스런걸 반달같은 눈에 미소를 만드는 그녀 촉촉한 그 입술 내 맘 콩당콩당콩 COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO YOURE MY GIRL COME ON BABY MY GIRL COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO COME ON I WANNA PRETTY GIRL COME ON I WANNA CUTTY GIRL COME ON I WANNA LOVELY GIRL WOO YOURE MY GIRL COME ON BABY MY GIRL
