년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101207,애프터 스쿨,Love Love Love,female,댄스,-,KRISTISTIAN LAGERSTR,KRISTISTIAN LAGERSTR,플레디스,Ooh Ooh Ooh  Baby Baby Baby Baby  Ooh Ooh Ooh  Baby Baby Baby Baby  Ha Ah Ha Ah Ah  길을 걷다 멍하니 멈춰서 있죠  내 눈앞에 보이는데 믿을 수가 없죠  매일 같이 꿈꿔왔던 이 순간  그댈 만나길 기다려 왔어요  Say that you always love me  내 맘을 고백할게요  그대와 함께라면 온 세상에 가득한  사랑을 믿어요 태어나 처음으로  Say that you always love me  그대는 알고 있나요  밤하늘에 별들이 날 보며 웃죠  창 밖에 겨울 바람도 나를 깨우죠  힘이 들 때 혼자라고 느끼면  이제부터는 내 손을 잡아요  Say that you always love me  내 맘을 고백할게요  그대와 함께라면 온 세상에 가득한  사랑을 믿어요 태어나 처음으로  Say that you always love me  그대는 알고 있나요  한번도 사랑을 해본 적 없었죠  이제는 알아요  내가 변한 이유 그대란 걸  Say that you always love me  내 맘을 고백할게요  그대와 함께라면 온 세상에 가득한  사랑을 믿어요 태어나 처음으로  Say that you always love me  그대는 알고 있나요
20101207,애프터 스쿨,Someone Is You,female,발라드,-,Jorgen Ringqvist,Jorgen Ringqvist,플레디스,눈에 보이지 않아도 더 이상 두렵지 않아 어두웠던 지난 모든 그 마음 크게 한번 웃어주면 돼 언제나 나를 지켜주던 니 사랑이 날 웃게 한 거야 지금처럼 그렇게 웃어줘 행복을 전해줄게 just like you 이제는 너를 느낄 수 있어 내가 사랑할 단 한사람 is that someone is you 아주 오랜 친구처럼 밤새 전화길 들고 소근소근 설레이는 내 마음 네게 모두 말해줄 거야 오 다가와 날 안아줘 용기 내 every things gonna be alright 다신 널 혼자 두지 않아 약속해 언제나 나를 지켜준 니 사랑이 날 웃게 한 거야 지금처럼 그렇게 웃어줘 행복을 전해줄게 just like you 이제는 너를 느낄 수 있어 내가 사랑할 단 한사람 is that someone is you I wanna be with you 이제야 알았어 어느 누구도 널 대신 할 순 없어 지금처럼만 지금처럼만 행복을 전해줄게 just like you just like you 지금처럼만 지금처럼만 행복을 전해줄게 just like you just like you 지금처럼 그렇게 웃어줘 행복을 전해줄게 just like you 이제는 너를 느낄 수 있어 내가 사랑할 단 한 사람 someone is you 지금처럼 그렇게 웃어줘 행복을 전해줄게 just like you 이제는 너를 느낄 수 있어 내가 사랑할 단 한사람 is that someone is you
20101207,애프터 스쿨,Love Love Love (Inst.),female,댄스,-,-,KRISTISTIAN LAGERSTR,플레디스,Ooh Ooh Ooh  Baby Baby Baby Baby  Ooh Ooh Ooh  Baby Baby Baby Baby  Ha Ah Ha Ah Ah  길을 걷다 멍하니 멈춰서 있죠  내 눈앞에 보이는데 믿을 수가 없죠  매일 같이 꿈꿔왔던 이 순간  그댈 만나길 기다려 왔어요  Say that you always love me  내 맘을 고백할게요  그대와 함께라면 온 세상에 가득한  사랑을 믿어요 태어나 처음으로  Say that you always love me  그대는 알고 있나요  밤하늘에 별들이 날 보며 웃죠  창 밖에 겨울 바람도 나를 깨우죠  힘이 들 때 혼자라고 느끼면  이제부터는 내 손을 잡아요  Say that you always love me  내 맘을 고백할게요  그대와 함께라면 온 세상에 가득한  사랑을 믿어요 태어나 처음으로  Say that you always love me  그대는 알고 있나요  한번도 사랑을 해본 적 없었죠  이제는 알아요  내가 변한 이유 그대란 걸  Say that you always love me  내 맘을 고백할게요  그대와 함께라면 온 세상에 가득한  사랑을 믿어요 태어나 처음으로  Say that you always love me  그대는 알고 있나요
20101207,애프터 스쿨,Someone Is You (Inst.),female,댄스,-,-,Jorgen Ringqvist,플레디스,눈에 보이지 않아도 더 이상 두렵지 않아 어두웠던 지난 모든 그 마음 크게 한번 웃어주면 돼 언제나 나를 지켜주던 니 사랑이 날 웃게 한 거야 지금처럼 그렇게 웃어줘 행복을 전해줄게 just like you 이제는 너를 느낄 수 있어 내가 사랑할 단 한사람 is that someone is you 아주 오랜 친구처럼 밤새 전화길 들고 소근소근 설레이는 내 마음 네게 모두 말해줄 거야 오 다가와 날 안아줘 용기 내 every things gonna be alright 다신 널 혼자 두지 않아 약속해 언제나 나를 지켜준 니 사랑이 날 웃게 한 거야 지금처럼 그렇게 웃어줘 행복을 전해줄게 just like you 이제는 너를 느낄 수 있어 내가 사랑할 단 한사람 is that someone is you I wanna be with you 이제야 알았어 어느 누구도 널 대신 할 순 없어 지금처럼만 지금처럼만 행복을 전해줄게 just like you just like you 지금처럼만 지금처럼만 행복을 전해줄게 just like you just like you 지금처럼 그렇게 웃어줘 행복을 전해줄게 just like you 이제는 너를 느낄 수 있어 내가 사랑할 단 한 사람 someone is you 지금처럼 그렇게 웃어줘 행복을 전해줄게 just like you 이제는 너를 느낄 수 있어 내가 사랑할 단 한사람 is that someone is you
20100518,애프터 스쿨,Dreams Again!,female,댄스,-,김찬진,김태현,플레디스,어느 새 어느 새 잊고 있었네 어릴 적 너의 꿈 생각 해 봐요 여기서서 보여줘 자신있게 당당하게 그냥 너의 힘을 보여줘 목소리가 태양 아래 your way your way your way your way 이젠 시작일 뿐야 your way your way your way your way 세상을 향해서 나 함께 달려갈거야 이젠 시작일 뿐야 uh 바로 지금 시작해 어느 새 너와 나 잊고 있었네 서로가 서로를 항상 끝까지 달리게 만든걸 뛰면서 더 뛰어보자 넘어져도 상관 없어 다시 넌 끝까지 힘을 내봐 your way your way your way your way 이젠 니가 시작해 your way your way your way your way 세상을 향해 봐 Rarararararara 너와 함께 할거야 oh you will always be the one 하늘높이 뛰어 올라봐요 크게 한 번 소리 질러봐요 재밌었던 기억 꺼내보고 다시 한 번 힘을 내어봐요 젖먹던 힘까지 다해서 난 당신을 응원할게요 I'm just pool it's just for you 대한민국 Rarararararara 너의 피를 보여줘 oh you will always be the one your way your way your way your way 이젠 시작일 뿐야 your way your way your way your way
20100325,애프터 스쿨,Let`s Do It!,female,댄스,-,가희,김혜효,플레디스,Ha  Let's go  We're After school  Let's Party  Let's T.R.Y  Come on  Everybody say down  Come on  Attention please  Attention please  Get Afeter school
20100325,애프터 스쿨,뱅(Bang) !,female,댄스,-,베카 (애프터스쿨),Mordny,플레디스,T R Y Do it now  Can you follow me Yes Uh ha  T R Y Pick it up  You'll never catch me Oh No  눈부시게 빛나는 나를 따라 Oh Oh Oh  가식적인 말들은 비웃어버려 Ha Ha Ha  예쁘기만 한 너는 더 이상은 No No No  짜릿한 음악 속에 던져버려  Bang Bang Bang  우리는 Oh After School Up  너흰 모두 비켜라  Check it out 다 가져봐  A ha A ha A ha Right now  Oh After School Up 모두 미쳐라  외쳐라 또 이렇게 A ha A ha A ha  T R Y Do it now  Can you follow me Yes Uh ha  T R Y Pick it up  You'll never catch me Oh No  가슴 뛰는 이 밤을 내 맘은 Oh Oh Oh  불타는 네 눈길은 내 몸을 타고 Ha Ha Ha  거칠어진 숨소리 멈추진 마 No No No  심장이 이 리듬을 따라가게 쿵 쿵 쿵  우리는 Oh After School Up  너흰 모두 비켜라  Check it out 다 가져봐  A ha A ha A ha  Right now Oh After School Up  모두 미쳐라 외쳐라 또 이렇게 A ha A ha A ha Bringin' it to you daily It's only from the best After School Playgirlz know how to get fresh So cool So right just so tasty We bring it fast forward the fellows go crazy 좀더 과감하게 보여 주는 거야 더 To be raised for my life 좀더 특별하게 춤을 추는 거야 더 To be raised for my life One Two Three 음악에 널 맡겨 주문을 걸어봐 Yeah To be raised for my life 조금 더 다가와 이순간을 Catch Up 우리는 Oh After School Up 너흰 모두 비켜라 Check it out 다 가져봐 A ha A ha A ha Right now Oh After School Up 모두 미쳐라 외쳐라 또 이렇게 A ha A ha A ha T R Y Do it now Can you follow me Yes Uh ha T R Y Pick it up You'll never catch me Oh No A ha A ha A ha T R Y Do it now A ha A ha A ha Can you follow me Yes Uh ha A ha A ha A ha A ha A ha A ha
20100325,애프터 스쿨,With U,female,발라드,-,FREDRIK ANDERS CHRIST,FREDRIK ANDERS CHRIST,플레디스,Oh 조금 더 가까이 두 손을 내밀어봐 넌 닿을 수 있어 Oh 네게 말할 비밀이 밤하늘 별처럼 가득해 니 발소리에 귀 기울여 Everyday every single night 나 여기 그댈 기다려요 oh 그대 시간이 흐르고 모든걸 잊어도 더 이상 세상이 보이지 않아도 내 안에 가득한 말 내가 그대 힘이 될게 With you right here 우리 다시 시작 할 수 있어 Oh 넌 보이지 않니 길 잃은 아이 같아 저 문을 열어 Oh 아주 작은 한 걸음 조금만 더 그래 조금만 더 두 손을 모아 나 기도해 Every day every single night 고갤 들어 내 눈을 봐요 oh 그대 시간이 흐르고 모든걸 잊어도 더 이상 세상이 보이지 않아도 내 안에 가득한 말 내가 그대 힘이 될게 With you right here 우리 다시 시작 할 수 있어 계절이 변하듯 너와나 역시 변하겠지만 너 없는 그 일년 보다는 너와 함께 한 하루가 더 행복인걸 더 행복인걸 용길 내요 그대 더 강하게 우리 다시 시작 할 수 있어 그대 시간이 흐르고 모든걸 잊어도 우리 함께 시작 할 수 있어 더 이상 세상이 보이지 않아도 우리 다시 시작 할 수 있어 내 안에 가득한 말 내가 그대 힘이 될게 Right now Right now Right here Right here 나 그대와 시작 하고 싶어
20100325,애프터 스쿨,뱅(Bang) ! (Inst.),female,댄스,-,-,Mordny,플레디스,T R Y Do it now  Can you follow me Yes Uh ha  T R Y Pick it up  You'll never catch me Oh No  눈부시게 빛나는 나를 따라 Oh Oh Oh  가식적인 말들은 비웃어버려 Ha Ha Ha  예쁘기만 한 너는 더 이상은 No No No  짜릿한 음악 속에 던져버려  Bang Bang Bang 우리는 Oh  After School Up 너흰 모두 비켜라  Check it out 다 가져봐  A ha A ha A ha Right now  Oh After School Up 모두 미쳐라  외쳐라 또 이렇게 A ha A ha A ha  T R Y Do it now  Can you follow me Yes Uh ha  T R Y Pick it up  You'll never catch me Oh No  가슴 뛰는 이 밤을 내 맘은 Oh Oh Oh  불타는 네 눈길은 내 몸을 타고  Ha Ha Ha 거칠어진 숨소리 멈추진 마  No No No 심장이 이 리듬을 따라가게  쿵 쿵 쿵 우리는 Oh After School Up  너흰 모두 비켜라 Check it out  다 가져봐 A ha A ha A ha  Right now Oh After School Up  모두 미쳐라 외쳐라 또 이렇게  A ha A ha A ha  Bringin' it to you daily  It's only from the best  After School Playgirlz  know how to get fresh  So cool So right just so tasty  We bring it fast forward  the fellows go crazy  좀더 과감하게 보여 주는 거야 더  To be raised for my life  좀더 특별하게 춤을 추는 거야 더  To be raised for my life  One Two Three  음악에 널 맡겨 주문을 걸어봐 Yeah  To be raised for my life  조금 더 다가와 이순간을 Catch Up  우리는 Oh After School Up  너흰 모두 비켜라 Check it out  다 가져봐 A ha A ha A ha  Right now Oh After School Up  모두 미쳐라 외쳐라 또 이렇게  A ha A ha A ha  T R Y Do it now  Can you follow me Yes Uh ha  T R Y Pick it up  You'll never catch me Oh No  A ha A ha A ha  T R Y Do it now A ha A ha A ha  Can you follow me Yes Uh ha  A ha A ha A ha A ha A ha A ha
20100122,애프터 스쿨,너 때문에 (Remix),female,댄스,-,용감한 형제,용감한 형제,플레디스,"아직도...나 그대를...잊지 못해   I never forget ... boy I never forget ... boy    헤어진지 벌써 몇 년이 지났는지 몰라  그대 생각만하면 자꾸 눈물만 흘러  오늘따라 왜 그렇게 네가 보고플까   창 밖의 빗소리가 내 맘을 흔들어놔    사랑하지 말걸 그랬어 정주지 말걸 그랬어   붙잡지말걸 그랬어 왜 이렇게 나 혼자 아파  사랑하지 말걸 그랬어 정주지 말걸 그랬어   붙잡지말걸 그랬어 왜 이렇게 나 혼자 아파     난 항상 너만의 장미가 되려던 내 맘을 아니  이제 조각난 사랑의 마침표가 됐다는 걸  눈물이 밀려와 메마른 입술이 젖어  이제 어떡해 그댈 잊을 수 없어    *너 때문에 많이도 울었어 [매일 밤 난~]   너 때문에 많이도 웃었어 [그대 때문에]  너 때문에 사랑을 믿었어 [Wooh boy ~]   너 때문에 너 때문에 모두 다 잃었어  정말 답답답해 갑갑갑해 막막막해 너 없는 세상이  내 말맘을 씹어놓고 자존심 짓밟아놓고   내 맘을 찢어놓고 왜 나를 떠나가    그날도 비가 왔었지 한참을 그댄   말없이 나를 바라보기만 했어 어어어어  흔들리는 눈빛과 애써 짓는 어색한 미소가 이별을 얘기해줘 줘줘줘줘    사랑하지 말걸 그랬어 정주지 말걸 그랬어   붙잡지말걸 그랬어 왜 이렇게 나 혼자 아파  사랑하지 말걸 그랬어 정주지 말걸 그랬어   붙잡지말걸 그랬어 왜 이렇게 나 혼자 아파    Rap] 나보고 떠나라고 할 땐 언제고 떠난다니까 어쩌고  미친 사람 취급만해 정말 힘들어 boy slow down  아무런 말도 못한 채 울어 cause I want to stay next to u   my luv is true, wanna go back 2 when I was with u    *너 때문에 많이도 울었어 [매일 밤 난~]   너 때문에 많이도 웃었어 [그대 때문에]  너 때문에 사랑을 믿었어 [Wooh boy ~]   너 때문에 너 때문에 모두 다 잃었어  정말 답답답해 갑갑갑해 막막막해 너 없는 세상이  내 말맘을 씹어놓고 자존심 짓밟아놓고   내 맘을 찢어놓고 왜 나를 떠나가    I miss u... I need u… 꿈속에선 아직도 I'm wit u..  I miss u... I need u... 시간을 되돌려 wanna kiss u again ma boy...  맘이 너무 아픈데 견디기 괴로운데 너는 어디서 뭘하니 [나 울었어 참 많이]  너 없인 난 못살어 내게로 돌아와줘 날 떠나가지마    너 때문에 많이도 울었어 [예~]  너 때문에 많이도 웃었어 [많이도 웃었어 난~]  너 때문에 사랑을 믿었어 [오~예~] ~   너 때문에 너 때문에 모두 다 잃었어 [너 때문에 나~]  정말 답답답해 갑갑갑해 막막막해 너 없는 세상이  내 말을 씹어놓고 자존심 짓밟아놓고   내 맘을 찢어놓고 왜 나를 떠나가"
