년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100504,에프엑스,NU 예삐오 (NU ABO),female,댄스,-,LOPEZ JOSE AGUIRRE,LOPEZ JOSE AGUIRRE,(주)SM엔터테인먼트,나 어떡해요 언니 내 말을 들어봐  내 그 사람을 언니 모르겠어요  참 엉뚱하다 맨날 나만 놀리지 내가 정말 예뻐 그렇다는데  독창적 별명 짓기 예를 들면 꿍디꿍디  맘에 들어 손 번쩍 들기 정말 난 NU 예삐오  Mysteric Mysteric 몰라 몰라 아직 나는 몰라  기본 기본 사랑공식  사람들의 이별공식  Hysteric Hysteric 달라 달라 나는 너무 달라  내 맘대로 내 뜻대로  좋아좋아 NU 예삐오  나나나나 나나나 나나나 나나나나나 나나나나  나나나나 나나나 나나나 나나나나 난 NU 예삐오  내 말 들어봐요 언니 I'm in The Trance  지금 이 감정은 뭐죠 난 처음인데  가슴 두근두근 마치 꿈꾸는 듯  난 구름위를 둥둥 사랑인가봐  딱 세 번 싸워 보기 헤어질 때 인사 않기  보고 싶은 나 생각 들 땐 커플링 만져보기  Mysteric Mysteric 몰라 몰라 아직 나는 몰라  기본 기본 사랑공식  사람들의 이별공식  Hysteric Hysteric 달라 달라 나는 너무 달라  내 맘대로 내 뜻대로  좋아좋아 NU 예삐오  나나나나 나나나 나나나 나나나나나 나나나나  나나나나 나나나 나나나 나나나나 난 NU 예삐오  사랑에 빠진 건 너무 멋진 일인데  나만의 감정을 모두 주고 배로 받는 것 새롭게 좀 튀게 멋진 꿈을 키워 가는 것  Mysteric 예삐오 그건 모두 다 나인걸  바로 나란 Girl 우 What you what you call What you what you  what you call Yes This is how we do it Our love f-x Yeah Yeah Yes This is how we do it pure love f-x Yeah Yeah Yes This is how we do it brand new love f-x 이런 모습 어때 이게 난 걸 어떡해  내 곁에 네가 있어 특별한건데 Yeah  Mysteric Mysteric 몰라 몰라 아직 나는 몰라  기본 기본 사랑공식  사람들의 이별공식  Hysteric Hysteric 달라 달라 나는 너무 달라  내 맘대로 내 뜻대로  좋아좋아 NU 예삐오  나나나나 나나나 나나나 나나나나나 나나나나  나나나나 나나나 나나나 나나나나나 나나나나 Yeah Yeah Yeah This is how we do it pure love f-x Yeah Yeah Yes This is how we do it brand Nu ABO
20100504,에프엑스,Mr. Boogie,female,댄스,-,Emilh Tigerlantz,Emilh Tigerlantz,(주)SM엔터테인먼트,Mr Boogie If I Want To I Can Have You Baby Listen Ah Ah Ah Ah Mr Boogie 아찔한 Top 표정은 말하고 있지 한 번도 본 적 없구나 이 멋진 걸 빨간 그 페도라 아래 너무 핸섬 네 몸짓은 트위스터 다 부셔버려 어깨위로 눈 가슴으로 눈 긴 다리로 눈 눈이 가 이러다 정말 큰 일 낼 거니 Mr Boogie 네 그 춤이 네 그 몸이 Mr Boogie 불을 켰지 여기 저기 핫 뜨거워 너 Mr Boogie If I Want To I Can Have You 알려지지 않은 넌 새로운 전사 이 동네가 쉽진 않아 자신 있니 너 무대 위에 너는 더욱 빛나 시작되는 매직 네 세상이야 어깨위로 눈 가슴으로 눈 긴 다리로 눈 눈이 가 나와 눈이 마주칠 때까지 Mr Boogie 네 그 춤이 네 그 몸이 Mr Boogie 불을 켰지 여기 저기 핫 뜨거워 너 바로 지금 이 느낌이야 멋져 그래 너 바로 지금 이 느낌이야 바로 지금 이 지금 이 지금 이 느낌이야 You Mr Boogie 네 그 춤이 네 그 몸이 핫 뜨거 뜨 뜨거워 너 Mr Boogie 불을 켰지 끌 수 없어 Mr Boogie 네 그 춤이 네 그 몸이 Mr Boogie 불을 켰지 여기 저기 핫 뜨거워 너 Mr Boogie If I Want To I Can Have You Mr Boogie If I Want To I Can Have You
20100504,에프엑스,아이스크림 (Ice Cream),female,댄스,-,김부민,Hitchhiker,(주)SM엔터테인먼트,아이스크림 (Ice Cream) 밀크쉐이크 밀크쉐이크 아이스크림 아이스크림 밀크쉐이크 밀크쉐이크 아이스크림 아이스크림 아직 말할 수 없어 조금 기다려줘 I Found You I Found Love 나 샤르르르 녹아 니 앞에만 있으면 I'm Near You I'm A Sweet Girl That's All You Need 새하얗게 빛나 햇살 가득 그대 You Hear Me I Hear You 나는 너의 아이스크림 살며시 녹아요 Don't Leave Me Don't Tease Me 부끄러워그래 나 자꾸만 떨려와 난 너의 밀크쉐이크 밀크쉐이크 사실 난 아이스크림 아이스크림 바닐라 아이스크림 밀크쉐이크 밀크쉐이크 사실 난 아이스크림 아이스크림 바닐라 아이스크림 밀크쉐이크 밀크쉐이크 밀크쉐이크 Shake It 어쩌면 좋아요 사라져 버려요 You Melt Up My Body And All My Heart 더 기다리지 않아 모두 말할거예요 Don't Push Me Don't Push Me 부끄러워그래 나 자꾸만 떨려와 난 너의 밀크쉐이크 밀크쉐이크 사실 난 아이스크림 아이스크림 바닐라 아이스크림 밀크쉐이크 밀크쉐이크 사실 난 아이스크림 아이스크림 바닐라 아이스크림 밀크쉐이크 밀크쉐이크 밀크쉐이크 Shake It 나 빙글빙글 돌아 내 여기저긴 쑤쓔쓔쓩 터질 것만 같아 Something Is Going On 내 친구들은 말해 I Act A Little F F Funny 어쩔 수가 없어 I Got So Much Love In Me Oh 나는 너의 아이스크림 살며시 녹아요 You Melt Up My Body And All My Heart 부끄러워그래 나 자꾸만 떨려와 난 너의 밀크쉐이크 밀크쉐이크 사실 난 아이스크림 아이스크림 바닐라 아이스크림 밀크쉐이크 밀크쉐이크 사실 난 아이스크림 아이스크림 바닐라 아이스크림 밀크쉐이크 밀크쉐이크 밀크쉐이크 Shake It
20100504,에프엑스,Me+U,female,댄스,-,YOUNG H.KIM,미친감성,(주)SM엔터테인먼트,Yeah Yeah Yeah Yeah Yeah Yeah Yeah Yeah Oh Hey This Is It What Let's Go Ha M E + U Teach Me A Ha Teach Me Show Me Show Me Show Me Oh 선생님 나 좀 봐요 왜 맘에 장난쳐요 집중할 수 없어요 M E + U Teach Me 가슴은 쿵쿵쿵쿵 얼굴은 화끈화끈 선생님 책임 흥 f x 우왕굳 이런 적은 없었는데 내가 못 푸는 이 문제 똑똑한 내가 풀지 못하지 Why 정신줄을 놓기 전에 내게 가르쳐줘요 어서 Oh 쌤 Oh Teach Me Teach Me Now ME+U Honey Yeah 어려운 이 문제 Oh 그대와 날 더하면 두근두근 Crazy ME+U Teach Me Yeah 복잡한 문제 Oh 그대와 날 더하면 Oh 몰라몰라 왜이래 Yeah Yeah Yeah 강추뮤직 Yeah Yeah M E + U 엄마 나 어떡하죠 내 맘 도둑 맞았어 근데 이 느낌 뭐죠 M E + U Teach Me 머리는 빙글빙글 점수는 뒹굴뒹굴 선생님 책임 흥 f x 우왕굳 친구들은 Hey Hey What's Up 선생님의 Style은 멋져 넘보기 없기 내가 먼저야 찜 내 맘에 불질러놨음 눈길이라도 줘요 어서 Oh 쌤 Oh Give Me Give Me Now ME+U Honey Yeah 어려운 이 문제 Oh 그대와 날 더하면 두근두근 Crazy ME+U Teach Me Yeah 복잡한 문제 Oh 그대와 날 더하면 Oh 몰라몰라 왜이래 Hush 꿈 속에선 나만의 왕자 You're Mine You're Mine You're Mine Wooh Oh Yeah 내 손을 잡아줘 다른 세상으로 멀리 데려가 줘 Yeah ME+U Honey Yeah 어려운 이 문제 Oh 그대와 날 더하면 두근두근 Crazy ME+U Teach Me Yeah 복잡한 문제 Oh 그대와 날 더하면 Oh 몰라몰라 왜이래 ME+U Honey Yeah 어려운 이 문제 Oh 그대와 날 더하면 두근두근 Crazy ME+U Teach Me Yeah 복잡한 문제 Oh 그대와 날 더하면 Oh 몰라몰라 왜이래 See You Staring At Me 모른척 ?o미 It's The Way You Do It How You Move It Temps Rising Fast Oh I Just Can't Stand It나이 따윈 Doesn't Matter I Got You Baby Let's Pick It Up Faster 어 근데 What 오 마이 깜놀 날아오는 분필 Ow
20100504,에프엑스,Surprise Party,female,댄스,-,심은지,심은지,(주)SM엔터테인먼트,특별한 날 입으려 준비해놓은 미니 드레스 예쁘게 보일까 거울 한 번 더 비춰보고 밤새 구워낸 케익을 들고 깜짝 놀래켜줄래 Can't You Feel What's In My Heart 기다려온 너의 생일 Happy Happy Happy Birthday 넌 모르고 있겠지만 Oh You're So Special 많은 날들이 흘러도 오늘처럼 난 네 옆에서 축하 해주고 싶어 Ooh Boy 캄캄한 방에 들어와 쉿 촛불을 모두 끄고 나면 다가가 달콤하게 네게 입 맞춰줄래 놀라서 쳐다보는 눈빛에 어색해져 어쩔 줄 몰라 한번 더 입 맞추고 말았어 기다려온 너의 생일 Happy Happy Happy Birthday 넌 모르고 있겠지만 Oh You're So Special 많은 날들이 흘러도 오늘처럼 난 네 옆에서 축하 해주고 싶어 Ooh Boy 오늘을 위해서 아껴두었던 그 말 하지 못했던 말 You're The One I Want You're The One I Need Yeah 오늘은 말할게 사랑해 널 사랑해 I'll Be Here For You I Feel Love For Real 기다려온 너의 생일 Happy Happy Happy Birthday 넌 모르고 있겠지만 Oh You're So Special 많은 날들이 흘러도 오늘처럼 난 네 옆에서 축하 해주고 싶어 Ooh Boy 오늘 하루 너를 위해서 뭐든 해 주고 싶은 내 맘 I Wanna Give You The Best Of My Heart Oh I Love You Please Hold Me 매일매일 너를 위해서 작은 추억 선물해주고 오늘처럼만 웃게 해줄게 Oh I Love You Please Hold Me Hold Me Happy Birthday
20100504,에프엑스,Sorry (Dear. Daddy),female,발라드,-,선데이 브런치,이민영,(주)SM엔터테인먼트,혹시 오늘 내가 그대 맘을 아프게 했다면 용서해요 바보 같은 난 철없는 말 되풀이만 했죠  혹시 지금 그대 이런 내 맘 이해 못한데도 괜찮아요 아무 변명도 필요 없죠 나의 잘못인걸요 말하지 않아도 모두 알아요 두 눈에 눈물 고였잖아요 Sorry So Sorry 이게 내 맘인걸요 마음이 여린 날 알잖아요 내가 더 잘 해볼게요 Sorry I'm Sorry 이 말 밖에는 못해 Yeah 아직 그대 속상한 맘에 날 조금 미워해도 괜찮아요 아무 표현도 필요 없죠 나의 그대인걸요 나에겐 영원한걸요 말하지 않아도 모두 알아요 두 눈에 눈물 고였잖아요 Sorry So Sorry 이게 내 맘인걸요 마음이 여린 날 알잖아요 내가 더 잘 해볼게요 Sorry I'm Sorry 이 말 밖에는 못해 Yeah 이 것 밖엔 할 수 없죠 그대 없는 세상 상상 못하죠 부족하지만 조금 서툴지만 그댈 사랑하는 걸요 Oh Oh Oh 말하지 않아도 다 알아요 두 눈에 눈물 흐르잖아요 Sorry So Sorry 이게 내 맘인걸요 마음이 여린 날 알잖아요 내가 더 잘 해볼게요 Sorry I'm Sorry 이 말 밖에는 이 말 밖엔 못해요 Sorry Sorry So Hard To Say I'm Sorry Sorry I'm Sorry 이 말 전하지 못해 Yeah
20100503,에프엑스,사실말이야 (쉿!) (쥬로링 동물탐정 OST 오프닝곡),female,"댄스, 애니메이션/웹툰, 키즈, 만화",-,-,-,(주)SM엔터테인먼트,몰래몰래 내가내가 콩닥콩닥 쥬로링 글쎄글쎄 조금조금 튕겨튕겨 도로링 두근두근 내 맘이 떨려오는 걸 놀라운 일이 내게 생겨버렸어 이제부터 우리끼리 해야 할 일이 너무 많아 조심조심 혹시라도 엄마한테 들키면 안되 사실말야 있잖아 나는말야 조금은 두렵기도 한데말이야이야 니가있어 내곁엔 니가있어 위험한 세계도 헤쳐나갈 수 있어 One Two Three Four Five 차근차근 말해줘 A B C D E 하나하나 Let me see 콩닥콩닥 뛰는 내 가슴 속에 파란색 꿈이 있어 난 널 믿으니까 몰래몰래 내가내가 콩닥콩닥 쥬로링 글쎄글쎄 조금조금 튕겨튕겨 도로링 매일 보던 내방이 좀 달라졌어 같이 걷는 동네가 좀 넓어졌어 이제부터 우리끼리 해야 할 일이 너무 많아 조심조심 혹시라도 친구한테 들키면 안되 사실말야 있잖아 나는말야 조금은 두렵기도 한데말이야이야 니가있어 내곁엔 니가있어 위험한 세계도 헤쳐나갈 수 있어 One Two Three Four Five 차근차근 말해줘 A B C D E 하나하나 Let Me See 콩닥콩닥 뛰는 내 가슴 속에 파란색 꿈이 있어 난 널 믿으니까 내 손을 잡아줘 이니미니마니모 한걸음 설레는 마음안고 난 널 믿어 Let's Go 세상을 헤쳐 신발이 해져도 멈출 순 없어 세상을 헤쳐 저 태양이 져도 난 멈출 순 없어 고민고민 하던 어젯밤에 너의 미소가 떠 올랐거든 싱숭생숭하던 나의 맘을 결정하게 된거야 One Two Three Four Five 차근차근 말해줘 A B C D E 하나하나 Let me see 아직아직은 모르는게 많아요 꼭꼭 내 꿈을 같이 나누고 싶어 사실말야 있잖아 나는말야 조금은 두렵기도 한데말이야이야 니가있어 내곁엔 니가있어 위험한 세계도 헤쳐나갈 수 있어 사실말야
20100415,에프엑스,"불러본다 (Vocal By 루나, 크리스탈)",female,"발라드, 국내드라마",-,김지수,김지수,(주)SM엔터테인먼트,나를 깨우는 외로움에 지쳐버린 잠에서 깨면 여전히 웃는 그대가 생각나서 나도 몰래 미소 짓는데 이렇게 또 사랑은 가고 아름다운 계절이 오면 니가 남긴 슬픔에 그리움에 나는 또 이 거릴 걷는다 하루 또 하루 나 살아가다가 그대 이름에 또 눈물이 나면 나 참을 수 없어 이렇게 웃을 수 없어 또 그대 이름 불러 본다 가슴에 남은 상처도 이젠 그대 일은 잊으라는데 내 입술을 깨물고 참아봐도 내 사람 너 하나 뿐인걸 하루 또 하루 나 살아가다가 그대 이름에 또 눈물이 나면 나 참을 수 없어 이렇게 웃을 수 없어 또 그대 이름 불러 본다 아무렇지 않게 살아가다가 사랑이 또 그리울 때면 그대가 남긴 아픔에 나도 모르게 눈물 흘리네 하루 또 하루 나 살아가다가 그대 이름에 또 눈물이 나면 나 참을 수 없어 이렇게 웃을 수 없어 또 그대 이름 불러본다
20100323,에프엑스,"사랑해, 사랑해",female,"댄스, 국내드라마",-,-,-,(주)SM엔터테인먼트,너를 사랑해 너를 사랑해 이세상 무엇 보다 소중한 바로 그대가 내 사랑이죠 운명이 갈라 놓을 때까지 내 맘을 다해 내 모든 걸 줘 그댈 정말 사랑합니다 그대 아픔 그대 눈물 이젠 내가 모두 가져가요 그대 얼굴 바라보며 세상 근심 걱정 사라지고 하루 하루 나 힘들어도 그대 곁에 있어 행복해요 너를 사랑해 사랑해 너를 사랑해 사랑해 이세상 무엇보다 소중한 바로 그대가 나만의 내 사랑이죠 사랑이죠 운명이 갈라 놓을 때까지 사랑해 너를 사랑해 사랑해 너를 사랑해 사랑해 이세상 무엇보다 소중한 바로 그대가 나만의 내 사랑이죠 사랑이죠 운명이 갈라 놓을 때까지 고마워요 내사랑 당신께 내 모든 걸 다해 그대를 영원히 지켜갈게 내 맘을 다해 내 모든 걸 줘 그댈 정말 사랑합니다 그대 아픔 그대 눈물 이젠 내가 모두 가져가요 너를 사랑해 사랑해 너를 사랑해 사랑해 이세상 무엇보다 소중한 바로 그대가 나만의 내 사랑이죠 사랑이죠 운명이 갈라 놓을 때까지 사랑해 너를 사랑해 사랑해 너를 사랑해 사랑해 이세상 무엇보다 소중한 바로 그대가 나만의 내 사랑이죠 사랑이죠 운명이 갈라 놓을 때까지 사랑해 사랑해 사랑해 사랑해 사랑해 사랑해 사랑해 사랑해 사랑해
20100323,에프엑스,"사랑해, 사랑해 (Inst.)",female,"댄스, 국내드라마",-,-,-,(주)SM엔터테인먼트,-
