년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101124,엠블랙,Bang Bang Bang,male,"댄스, 국내드라마",-,-,-,제이튠캠프,뱅뱅 뱅 배 뱅뱅    뱅뱅 뱅 배 뱅뱅  Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  Jumpin' to the war  이제부터 나만의 시간  심장에 아드레날린을 채우고  Siren을 울려라  Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  walkin' to the world  like bomb bomb bomb  넌 막을 수 없을 거야  my power upgread  one two three four five and six  여섯 발을 남김없이 채우고  리볼버를 당겨라  나는 탕탕 탕 타 당탕  숨 막히는 Timing Rush  망설일 필요 없어  엑셀레이터를 밟아라  나는 뱅뱅 뱅 배 뱅뱅  Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  비겁하게 등을 보이지 마라  절대 나를 피할 순 없어  Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  멈추어라 세상아  나는 뱅뱅 뱅 배 뱅뱅  O he  Let's Party  눈물로 잔을 채워  한 숨으로 잔을 채워  네 마지막 turn을 슬픔으로 채워  O he  Let's Party  꿀릴 것 하나 없어  망설일 것 하나 없어  뱅 뱅 뱅 뿌린 만큼 가져가  월 화 수 목 금 토 일  화려하게 시작되는 B요일  심박수를 높여라  나는 쿵쿵 쿵 쿠 궁쿵  춤추는 검은 실루엣  겁먹을 필요 없어  클랙션을 울려라  나는 뱅뱅 뱅 배 뱅뱅  Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  비겁하게 등을 보이지 마라  절대 나를 피할 순 없어  Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  멈추어라 세상아  나는 뱅뱅 뱅 배 뱅뱅  멈춰라 세상아 모두 거기 멈춰라  잃어버린 내 사랑을 찾을 수 있게  춤춰라 세상아 화려하게 춤춰라  사랑으로 멍든 맘이 웃을 수 있게    Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  나를 비웃지 마라  나는 절대 웃지 않는다  Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  미친 듯이 달린다  나는 뱅뱅 뱅 배 뱅뱅  Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  그 누구도 나를 멈출 순 없어  나는 너만 보고 달린다  Oh Oh Oh Oh Oh Oh Oh Oh  Oh Oh Oh Oh Oh Oh Oh Oh  멈추어라 세상아  나는 뱅뱅 뱅 배 뱅뱅  O he  Let's Party  멈추어라 세상아 거기 모두 멈춰라  잃어버린 내 사랑을 찾을 수 있게  O he  Let's Party  춤추어라 세상아 화려하게 춤춰라  뱅뱅 뱅 배 뱅뱅
20101013,엠블랙,Running & Running,male,-,-,-,-,제이튠캠프,Yeah Like this It's MBLAQ Let's go 내게 기회가 온다 내 눈을 피하지마 어차피 만날 운명 피할 수 없는 숙명 내 머리속엔 하나 그건 바로 my chance 모든 걸 던져버려 넌 아직 날 몰라 넌 나를 찾아봐 더이상 전화를 내리고 내 곁에 다가와 그날이 오기를 기다려 저 뒤쳐진 널 난 바라보면 내 입가엔 미소만이 남겨질뿐 널 붙잡는다 맘 되새긴다 네 감각이 빠르게 돌아가도 넌 내겐 안될 뿐이다 꿈도 사랑도 이젠 지워져 가는걸까 아니면 추억만 남긴 쓰레기가 될까 명쾌한 답은 없지 이젠 날 믿어봐 한번의 실수조차 있을 순 없는 걸 넌 나를 찾아봐 아직도 주위만 서성여 내 곁에 다가와 그날이 오기를 기다려 저 뒤쳐진 널 난 바라보면 내 입가엔 미소만이 남겨질뿐 널 붙잡는다 맘 되새긴다 네 감각이 빠르게 돌아가도 넌 내겐 안될 뿐이다 저 멀리 희미한 듯 난 동공에 너의 얼굴이 보이고 내 심장이 뛰는걸 서두르지 말고 네게 다가가네 너는 나의 운명 yeah woo la 잡힐 듯 다가가면 woo baby 내 손을 피해가네 woo la 억울한 도망자여 woo baby 나를 잡을 순 없어 Just Once 단 한번도 내 맘이 편한 그런 날이없는걸 피하는 자와 쫓는자 시간을 넘고 넘기는 Running out 널 초월하겠어 이제는 널 내 손에 담겠어 나만의 생각 준칙이 미래에 널 지배할 순간임
20100827,엠블랙,그대 내맘에 들어 오면은,male,발라드,-,-,-,제이튠캠프,다가서면 뒤돌아서 멀어지는 너 돌아서지 말아 내게서 이런 내 맘 모르는지 알면서도 그러는지 시간만 흘러가는걸 스치듯 떠난 너를 돌아서는 너를 잡을 수 있게 기도 해 someday 너와나 함께 한다고 그땐 나를 받아주면 뛰어 갈 텐데 날아 갈 텐데 그대 내 맘에 들어오면은 오래오래 그대 곁에 남아서 강물처럼 그대 곁에 흐르리 그대 내 맘에 들어오면은 내 손을 잡아줘 지금껏 날 안아줘 나비처럼 떠나는 너 wanna my heart up inside don't have to say goodbye bye 난 너를 놓지 못해 스치듯 떠난 너를 돌아서는 너를 잡을 수 있게 기도 해 someday 너와나 함께 한다고 그땐 나를 안아주면 뛰어 갈 텐데 날아 갈 텐데 그대 내 맘에 들어오면은 오래오래 그대 곁에 남아서 강물처럼 그대 곁에 흐르리 그대 내 맘에 들어오면은 애타는 내 심장을 흔드는 널 떠날 수 없는 날 알잖아 나를 봐 절대로 놓지마 지금 잡은 두 손을 뛰어 갈 텐데 날아 갈 텐데 그대 내 맘에 들어오면은 오래오래 그대 곁에 남아서 강물처럼 그대 곁에 흐르리 그대 내 맘에 들어오면은
20100517,엠블랙,4 Ya` Stereo - Intro (Feat. Taewan a.k.a C-Luv),male,댄스,-,태완 (Taewan),장재민,제이튠캠프,It's time to put it down like 6 in the morning I'm briding gap like a singerr and rapper's ballin' I can't wait to show them from ya'callin' this is for ya' streo everybody knows my name Bring it up G O 천둥 and MIR let's go 준 and 승호 Take flow All my ladies and fellas you know this is for ya' streo On the mission Let me make you this feeling With my potion can control ya'ass thrillin' Yes We're back Can't hold back What u gon' du when we're back This is M blaq B blaq You know what the name is Yes we're back Can't hold back this's the callin' from hot track 5 as 1 We're the hottest ones You know who the best is
20100517,엠블랙,Y,male,댄스,-,비,배진렬 (JR Groove),제이튠캠프,MBLAQ yeah let's again 2010 let's go somebody누군가 나를 좀 말려줘요 어떻게 이렇게 당할수가 있나요 너무나 믿었던 그녀가 날 밟은채 차갑게 등을 돌려 니가 나를 떠나서 뭘 할수 있겠니 난 아직도 깨닫지 못하겠다 나는 너를 나는 마지막으로 네게 기회를 준다 이젠 어쩔 수 없어 give to ma Y listen to ma Y 제발 나를 돌아봐 give to ma Y 대답해 내게 왜이러는지 말을 해봐 oh yeah nobody 이젠 날 말리지 말아줘요 더이상 그녀에게 놀아나기 싫어 천천히 이젠 난 주먹을 쥐려해요 복수를 시작하려 니가 나를 떠나서 뭘 할 수 있겠니 난 걱정을 주겠어 내가 받은 상처만큼 나는 마지막으로 네게 기회를 준다 천천히 다가간다 give to ma Y listen to ma Y 제발 나를 돌아봐 give to ma Y 대답해 내게 왜이러는지 말을 해봐 oh yeah oh oh ho ho ho oh that's right oh oh ho oh oh ho 내 맘이 무너져가 oh oh ho oh oh ho mblaq oh oh ho oh oh ho give it up 제발 말해봐 내게 Let e just slow down 니가 움직이는 그모든 걸 말했던 그 박자에 맞춰서 질렀던 나의 널 부르는 외침이 비웃던 그 모습 지우려 애쓰던 걸 들어봐 내 노랠 listen to ma ah ah ah 실컷 울어봐 가지마 널 씹어서 뱉어준다 give to ma Y listen to ma Y 제발 나를 돌아봐 give to ma Y 대답해 내게 왜이러는지 말을 해봐 oh yeah oh oh ho ho ho oh that's right oh oh ho oh oh ho 내 맘이 무너져가 oh oh ho oh oh ho mblaq oh oh ho oh oh ho it's body let's move it's over babe oh yeah it's over babe it's over
20100517,엠블랙,One Better Day,male,댄스,-,태완 (Taewan),박세현,제이튠캠프,Yeah Listen to this 어둠이 날 감싸고 홀로 남았다해도 한치 앞이 캄캄해 보이지 않는다해도 상처받은 그대의 그 아픈 맘 맘 맘 감싸안을께 약속해 I'm gonna be down 반복되는 시간에 지친 그대 기댈곳이 없다면 여기 와서 내게 기대 너를 위해 함께 할테니 우릴 불러 다시 또 시작해 Right now 이제 다시 one better day one better day one better day 밝은 내일이 또 너를 기다리잖아 이제 다시 one better day one better day 내가 있어 너와 함께 가 혼자라는 생각들 대답없는 세상들 시곗바늘 처럼 tic tok 대는 나날들 힘들었던 시간들 모두 다 싹 다 잘라 이 빛이 기다렸잖아 반복되는 일상에 지친 그대 기댈곳이 없다면 이제 와서 내게 기대 너를 위해 여기 왔으니 우릴 불러 다시 또 시작해 right now 이제 다시 one better day one better day one better day 밝은 내일이 또 너를 기다리잖아 이제 다시 one better day one better day 내가 있어 너와 함께 가 이제는 뛰고 있어 언제든 나 함께 있어 자 이제 시작해 baby yes sir 이제 다시 one better day one better day one better day 밝은 내일이 또 너를 기다리잖아 이제 다시 one better day one better day 내가 있어 너와 함께 가
20100517,엠블랙,What U Want,male,댄스,-,태완 (Taewan),장재민,제이튠캠프,한 번도 이런 적 없던 것 같아 모든게 얼어 버릴듯 거기에 멈춰서 You know I liked 내 숨을 뺏은 네 미소 Whatever U want 뭐든 원한다면 Whatever U need 내 모든걸 줄텐데 Tell me what U want 눈을 맞추면 Too nice the night Nice the night 가슴이 멈춰 Tell me what U want 니가 와주면 Too nice the night Nice the night 아마도 난 crazy Tell me tell me what u want now 난 너를 따라가 네 옆을 걸어가 한 눈 팔지 않아 시선 그대로 입술부터 따라가봐 Whatever U want 모든 걸 말해봐 Whatever U need 함께 발을 맞춰가 Tell me what U want 눈을 맞추면 Too nice the night Nice the night 가슴이 멈춰 Tell me what U want 니가 와주면 Too nice the night Nice the night 아마도 난 crazy 심장이 타들어가 뭔가 필요할지도 몰라 부끄러 하지 말아 서로 눈이 말하잖아 Tell me what U want 눈을 맞추면 Too nice the night Nice the night 가슴이 멈춰 Tell me what U want 니가 와주면 Too nice the night Nice the night 아마도 난 crazy 함께 걸어가 너와 함께라면 나 It's like parade Parade 함께 걸어가 너만 보면 매일 난 It's like parade parade Only one for you
20100517,엠블랙,Last Luv,male,발라드,-,태완 (Taewan),장재민,제이튠캠프,숨조차 쉬기 힘든 시간들 내 목을 조이는 세상은 아무리 지우려 애써봐도 계속 나를 자꾸만 쓰러지게 하는데 내가 가진 전부 오직 너 하나뿐야 너를 놓지 않을게 You are my last love 넌 내 마지막 사랑 You are my last love 끝을 함께할 사람 거친 세상에서 받아낸 하나의 선물 내 눈앞에 또다른 기적 You are the last love 수많은 시간의 상처들도 woo baby 아픔이 서로를 찢어도 쌓이고 쌓인 이 추억들은 서로의 눈물을 닦아 주는 걸 여기 무릎꿇고 너를 보는 나를 봐 널 위해 나를 걸게 You are my last love 넌 내 마지막 사랑 You are my last love 끝을 함께할 사람 거친 세상에서 받아낸 하나의 선물 내 눈앞에 또다른 기적 You are the last love 이 작은 반지로는 말할 수 없지만 약속할께 모든 걸 난 너를 위해서 You are my last love You are the love of my life You are my last love You are the love of my life 어둔 길을 밝게 비추는 하나의 등불 내 눈앞에 또다른 기적 You are the last love
20100517,엠블랙,Y (Inst.),male,댄스,-,-,정지훈,제이튠캠프,-
20100517,엠블랙,One Better Day (Inst.),male,댄스,-,-,태완 (Taewan),제이튠캠프,-
20100225,엠블랙,그대 내 맘에 들어오면은 (Feat. C-Luv),male,댄스,-,조덕배,조덕배,제이튠캠프,다가서면 뒤돌아서 멀어지는 너 돌아서지 말아 내게서 이런 내 맘 모르는지 알면서도 그러는지 시간만 흘러가는걸 스치듯 떠난 너를 돌아서는 너를 잡을 수 있게 기도 해 someday 너와나 함께 한다고 그땐 나를 받아주면 뛰어 갈 텐데 날아 갈 텐데 그대 내 맘에 들어오면은 오래오래 그대 곁에 남아서 강물처럼 그대 곁에 흐르리 그대 내 맘에 들어오면은 내 손을 잡아줘 지금껏 날 안아줘 나비처럼 떠나는 너 wanna my heart up inside don't have to say goodbyebye 난 너를 놓지 못해 스치듯 떠난 너를 돌아서는 너를 잡을 수 있게 기도 해 someday 너와나 함께 한다고 그땐 나를 안아주면 뛰어 갈 텐데 날아 갈 텐데 그대 내 맘에 들어오면은 오래오래 그대 곁에 남아서 강물처럼 그대 곁에 흐르리 그대 내 맘에 들어오면은 애타는 내 심장을 흔드는 널 떠날 수 없는 날 알잖아 나를 봐 절대로 놓지마 지금 잡은 두 손을 뛰어 갈 텐데 날아 갈 텐데 그대 내 맘에 들어오면은 오래오래 그대 곁에 남아서 강물처럼 그대 곁에 흐르리 그대 내 맘에 들어오면은
20091014,엠블랙,Oh Yeah,male,댄스,-,비,장재민,제이튠캠프,모든게 내맘처럼 쉽진 않터라 사랑 또한 그게 쉽진 않터라 내맘을 속아서 버렸던 그때 그대가 나에게 바란것이 이거였더라 Feels so sad 나에게 기회를 준다면 좋을것 같은데 맘을 받아주면 괜찮을텐데 근데 어쨌건 돌아서는 그대 세상 누구도 널 대신 할수 없어 누구보다도 널 사랑하는건 나야 Oh Yeah Oh Yeah Oh Yeah Yeah Yeah Oh Yeah Oh Yeah Oh Yeah Yeah Yeah 나를 보며 미소 짓는 그 얼굴을 사랑해 널 Oh Yeah Oh Yeah Oh Yeah Yeah Yeah Oh Yeah Oh Oh Oh Yeah I'm Feelin' Good Oh Yeah Yeah Yeah Oh Yeah Yeah Yeah Oh Yeah Oh Oh Oh Yeah I'm Feelin' Good Oh Yeah Yeah Yeah Oh Yeah Yeah Yeah Yo 사랑이 변하기는 한다는 말이 남들이 내게 해줬던 그 말이 지금처럼 딱 맞게 떨어져 내정신도 돌고 돌고 돌아 I like it like that 꺾어진 날개처럼 추락하는 빛바랜 사진의 꽃을 보는 내 심장은 뛸수 없이 무너지네 너를 위해 달려가네 어떤 무엇도 널 대신 할수 없어 지금 이순간 널 사랑하는건 나야 Oh Yeah Oh Yeah Oh Yeah Yeah Yeah Oh Yeah Oh Yeah Oh Yeah Yeah Yeah 나를 보며 미소 짓는 그 얼굴을 사랑해 널 Oh Yeah Oh Yeah Oh Yeah Yeah Yeah Oh Yeah Oh Oh Oh Yeah I'm Feelin' Good Oh Yeah Yeah Yeah Oh Yeah Oh Oh Oh Yeah I'm Feelin' Good Oh Yeah Yeah Yeah Oh Yeah Yeah Yeah Oh Yeah Oh Yeah Oh Yeah Yeah Yeah Oh Yeah Oh Yeah Oh Yeah Yeah Yeah 나를 보며 미소 짓는 그 얼굴을 사랑해 널 Oh Yeah Oh Yeah Oh Yeah Yeah Yeah Oh Yeah Oh Oh Oh Yeah I'm Feelin' Good Oh Yeah Yeah Yeah Oh Yeah Yeah Yeah Oh Yeah Oh Oh Oh Yeah I'm Feelin' Good Oh Yeah Yeah Yeah Oh Yeah Yeah Yeah
20091014,엠블랙,G.O.O.D Luv,male,댄스,-,비,태완 (Taewan),제이튠캠프,G O O D Luv G O O D Luv G O O D Luv G O O D Luv G O O D Luv 사랑은 쉽지 않은걸 그대 날 한번 쳐다봐줘요 그대를 만나러 나는 쉽지 않은 길을 달려왔어 I can't stop Good Luv Good Luv Good Luv 그대 날 떠나지 마요 I can't stop Good Luv Good Luv Good Luv 내 마음 감출수 없어요 G O O D Luv 눈물도 많이 흘렸어 그대 나를 떠나려고 할땐 하지만 나를 잊어도 내 맘은 항상 그대뿐인걸 Yeah I can't stop Good Luv Good Luv Good Luv 그대 날 떠나지 마요 I can't stop Good Luv Good Luv Good Luv 내 마음 감출수 없어요 G O O D Luv 날 보는 그대를 난 단지 감싸주고 싶어 Yeah 날 한번 쳐다봐 너 하나만을 너 하나만 사랑하는 I can't stop Good Luv Good Luv Good Luv 그대 날 사랑해줘요 I can't stop Good Luv Good Luv Good Luv 내 마음 볼 수가 있어 G O O D Luv I can't stop Good Luv Good Luv Good Luv 그대 날 사랑해줘요 I can't stop Good Luv Good Luv Good Luv 내 마음 볼 수가 있어 G O O D Luv I can't stop Good Luv Good Luv Good Luv 그대 날 사랑해줘요 I can't stop Good Luv Good Luv Good Luv 내 마음 볼 수가 있어 G O O D Luv G O O D Luv G O O D Luv Say G O O D Luv G O O D Luv G O O D Luv G O O D Luv G O O D Luv G O O D Luv
20091014,엠블랙,My Dream,male,발라드,-,태완 (Taewan),태완 (Taewan),제이튠캠프,기억하니 힘들었던 시간들 몇번이고 포기하고 싶던 나날들 저 문이 열리고 빛이 내 눈을 밝게 비출 때 꿈꿔왔었던 순간 This is my dream 가끔씩 힘에 부쳐 쓰러지고 싶을 때 It was my dream 몇번을 넘어져도 날 다시 세워준 건 You're my dream You're my soul You're my reason 사라갈 이유 바로 너 I need you girl 니가 나의 꿈 끝이 없는 길을 걸어간대도 언제까지 나와 함께 걸어 줄 수 있겠니 저 문이 열리고 빛이 내 눈을 밝게 비출 때 나 너를 볼수가 있어 This is my dream 가끔씩 힘에 부쳐 쓰러지고 싶을 때 It was my dream 몇번을 넘어져도 날 다시 세워준 건 You're my dream You're my soul You're my reason 사라갈 이유 바로 너 I need you girl 니가 나의 꿈 포기하고 싶을 때도 너무 많았지만 다시 날 일으켜준 건 너 멈출 수 없어 널 위해 노래하는 것 이건 나의 꿈 You're my dream This is my dream 가끔씩 힘에 부쳐 쓰러지고 싶을 때 It was my dream 몇번을 넘어져도 날 다시 세워준 건 You're my dream You're my soul You're my reason 사라갈 이유 바로 너 I need you girl 니가 나의 꿈
