년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20100516,원더걸스,2 Different Tears,female,댄스,-,박진영,박진영,(주)JYP엔터테인먼트,Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you So I love you So I hate you So I love you 난 너 없이 살아가는게 왜 아직도 이렇게 힘든지 더이상 부은 눈으로 눈뜨긴 싫어 이젠 잊고 싶어 그래서 니가 준 아픔 생각해 너 때문에 흘린 눈물 생각해 그런데 왜 자꾸만 행복했던  순간만 떠올리고 있는지 모르겠어 Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad 왜 아직도 너 땜에 눈물 흘리는지 내가 너무 싫어 얼마나 더 상처를 입어야 난 너를 미워할 수 있을까 그래서 니가 준 아픔 생각해 너 때문에 흘린 눈물 생각해 하지만 그럴수록 밀어내려  할 수록 니 모습은 더 가까이 다가와 Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad Why do I still feel this way when I know there's nothing Left to say 차라리 몰랐으면 좋을걸 지워버리고 싶어 널 내 자신에게 미워하라고 널 기억하라고 그 상철 But I for some reason why Still miss you no matter how hard I try Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad
20100516,원더걸스,2 Different Tears (English Ver.),female,댄스,-,박진영,박진영,(주)JYP엔터테인먼트,Gave me 2 different tears After all these years Tears of joy tears of pain like sunshine and rain So I hate you so I love you So I hate you so I love you I'm trying to figure out how to move on with my life Without you by my side Waking up with teary eyes I can't do this no more Gotta erase you now So I think of all the pain you've given me Try to look at all the damage you brought to me No matter how hard I try I just can't figure out why I keep thinking about how sweet you used to be Gave me 2 different tears After all these years Tears of joy tears of pain like sunshine and rain So I hate you But the love you gave me was so so good so I love you But the pain you gave me was so so bad I'm crying over you still what does this mean do I Still want you back in my life After all these painful things you've done to me why is it so hard to realize So I think of all the pain you've given me Try to look at all the damage you brought to me But the harder that I fight You come closer in my sight And I'm thinking about how sweet it could've been Gave me 2 different tears After all these years After all these years Tears of joy tears of pain like sunshine and rain So I hate you But the love you gave me was so so good so I love you But the pain you gave me was so so bad come here boy Why do I still feel this way when I know there's nothing Left to say I should've never loved you in the first place Wanna erase you without a trace Try to tell myself that I need to hate you For the pain that you put me through But I for some reason why Still miss you no matter how hard I try Gave me 2 different tears After all these years Tears of joy tears of pain like sunshine and rain So I hate you But the love you gave me was so so good so I love you But the pain you gave me was so so bad Gave me 2 different tears After all these years Tears of joy tears of pain like sunshine and rain So I hate you But the love you gave me was so so good so I love you But the pain you gave me was so so bad
20100516,원더걸스,2 Different Tears (Remix Ver.),female,댄스,-,박진영,박진영,(주)JYP엔터테인먼트,Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad 난 너 없이 살아가는게 왜 아직도 이렇게 힘든지 더이상 부은 눈으로 눈뜨긴 싫어 이젠 잊고 싶어 그래서 니가 준 아픔 생각해 너 때문에 흘린 눈물 생각해 그런데 왜 자꾸만 행복했던 순간만 떠올리고 있는지 모르겠어 Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad 왜 아직도 너 땜에 눈물 흘리는지 내가 너무 싫어 얼마나 더 상처를 입어야 난 너를 미워할 수 있을까 그래서 니가 준 아픔 생각해 너 때문에 흘린 눈물 생각해 하지만 그럴수록 밀어내려 할수록 니 모습은 더 가까이 다가와 Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad Why do I still feel this way when I know there's nothing Left to say 차라리 몰랐으면 좋을걸 지워버리고 싶어 널 내 자신에게 미워하라고 널 기억하라고 그 상철 But I for some reason why Still miss you no matter how hard I try Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad
20100516,원더걸스,Tell me (English Ver.),female,댄스,-,박진영,박진영,(주)JYP엔터테인먼트,Never knew that I could be the one for you How can this be true Too good to be true It still seems like a dream You loving me I guess I never knew Too good to be true So many days trying to hide how I feel Thinking this fantasy can never be real But now you are here looking right into my eyes 어머나 Can't believe that you are mine Tell me tell me Tell Tell Tell Tell Tell Tell me Tell me I'm the one for you Tell me that you want me too Tell me tell me Tell Tell Tell Tell Tell Tell me Just can't get enough of your love 말해줘요 Tell me tell me Tell Tell Tell Tell Tell Tell me Tell me this is not a dream Tell me that you'll never leave Tell me tell me Tell Tell Tell Tell Tell Tell me Waited for this moment too long 말해줘요 Feel my heart beating wild just like a drum whenever you are near Can't believe you're here Pinch myself everytime you're next to me hoping it's not a dream Can't believe you're here So many nights wishing my dream would come true The dream one day you'll fall in love with me too But now you are here looking right into my eyes 어머나 Can't believe that you are mine Tell me tell me Tell Tell Tell Tell Tell Tell me Tell me I'm the one for you Tell me that you want me too Tell me tell me Tell Tell Tell Tell Tell Tell me Just can't get enough of your love 말해줘요 Tell me tell me Tell Tell Tell Tell Tell Tell me Tell me this is not a dream Tell me that you'll never leave Tell me tell me Tell Tell Tell Tell Tell Tell me Waited for this moment too long 말해줘요 Tell me tell me tell me you want me want me want me too Tell me tell me tell me you love me too love me too Hit me one time baby give it to me Tell me tell me OK but I need another one hit me Tell me tell tell me Yeah you can tell me over and over and over again Please keep bringing it like a postmen 어머나 Gotta make me believe it now Can't believe that you are mine Tell me tell me Tell Tell Tell Tell Tell Tell me Tell me I'm the one for you Tell me that you want me too Tell me tell me Tell Tell Tell Tell Tell Tell me Just can't get enough of your love 말해줘요 Tell me tell me Tell Tell Tell Tell Tell Tell me Tell me this is not a dream Tell me that you'll never leave Tell me tell me Tell Tell Tell Tell Tell Tell me Waited for this moment too long 말해줘요 Tell me tell me Tell Tell Tell Tell Tell Tell me Tell Tell Tell Tell Tell Tell me Tell me Tell me
20100516,원더걸스,So Hot (English Ver.),female,댄스,-,박진영,박진영,(주)JYP엔터테인먼트,I know you're looking at me why why why Can't take your eyes off of me right ight ight I know it's hard but please You're embarrasing me Can you pretend I'm not around ound ound Each time I walk around the block ock ock I feel the weight of people's stare are are Everyone's head turns Following me around Someone please tell me what to do I'm so hot I try to hide it but I'm so fine I just can't help it baby I'm so cool Somebody help me I'm so so so hot hot I know I should be getting used it by now  All this attention coming from the crowd owd I know they watch me I know they want me And I know it's not gonna change ange ange Why can't I live a normal life ife ife A life just like a normal girl irl irl Mommy why did you make me so special It's not so easy to be hot hot hot I'm so hot I try to hide it but I'm so fine I just can't help it baby I'm so cool Somebody help me I'm so so so hot hot I'm so hot I try to hide it but I'm so fine I just can't help it baby I'm so cool Somebody help me I'm so so so hot hot Anytime anywhere I go I can never run away from the white spotlight They'll never leave me alone no matter what time it is day or night How old do I gotta be till they don't want me no more Drew Berrymore tell me Try to run but I just can't hide Started in Asia now worldwide Everyone loves me try to get to know me What can I do oh no please leave me alone Other boys will loving me girls be hating me They'll never stop 'cause they know I'm so hot hot I'm so hot I try to hide it but I'm so fine I just can't help it baby I'm so cool Somebody help me I'm so so so hot hot hot
20100516,원더걸스,Nobody (English Ver.),female,댄스,-,박진영,RAINSTONE,(주)JYP엔터테인먼트,You know I still love you baby And it will never change 사랑해 I want nobody nobody but you I want nobody nobody but you How can I be with another I don't want any other I want nobody nobody nobody nobody Why you tryin to to make me leave you I know what you're thinking baby why aren't you listening How can I just just love someone else and forget you completely When I know you still love me Telling me you're not good enough My life with you is just too tough You know it's not right so just stop and come back boy How can this be when we were meant to be I want nobody nobody but you I want nobody nobody but you How can I be with another I don't want any other I want nobody nobody nobody nobody I want nobody nobody but you I want nobody nobody but you How can I be with another I don't want any other I want nobody nobody nobody nobody Why can't we just just be like this cause It's you that I need and nothing else until the end Who else can ever make me feel the way I I feel when I'm with you no one will ever do Telling me you're not good enough My life with you is just too tough You know me enough so You know what I need boy Right next to you is where I need to be I want nobody nobody but you I want nobody nobody but you How can I be with another I don't want any other I want nobody nobody nobody nobody I want nobody nobody but you I want nobody nobody but you How can I be with another I don't want any other I want nobody nobody nobody nobody I don't want nobody body I don't want nobody body Honey you know it's you that I want It's you that I need why can't you see I want nobody nobody but you I want nobody nobody but you How can I be with another I don't want any other I want nobody nobody nobody nobody I want nobody nobody but you I want nobody nobody but you How can I be with another I don't want any other I want nobody nobody nobody nobody Back to the days when we were so young and wild and free Nothing else mattered other than you and me So tell me why can't it be Please let me live my life my way Why do you push me away I don't want nobody nobody nobody nobody but you
20090629,원더걸스,Nobody (Eng Ver.),female,POP,-,-,-,(주)JYP엔터테인먼트,You Know I still Love You Baby And it will never change 사랑해 I want nobody nobody But You I want nobody nobody But You How can I be with another I don't want any other I want nobody nobody nobody nobody Why are you trying to to make me leave ya I know what you're thinking Baby why aren't you listening How can I just Just love someone else and Forget you completely When I know you still love me Telling me you're not good enough My life with you is just too tough You know it's not right so Just stop and come back boy How can this be When we were meant to be I want nobody nobody But You I want nobody nobody But You How can I be with another I don't want any other I want nobody nobody nobody nobody I want nobody nobody But You I want nobody nobody But You How can I be with another I don't want any other I want nobody nobody nobody nobody Why can't we just just be like this cause it's you that i need and nothing else until the end Who else can ever make me feel the way I I feel when I'm with you no one will ever do Telling me you're not good enough My life with you is just too tough You know me enough so you know what I need boy Right next to you is where I need to be I want nobody nobody But You I want nobody nobody But You How can I be with another I don't want any other I want nobody nobody nobody nobody I want nobody nobody But You I want nobody nobody But You How can I be with another I don't want any other I want nobody nobody nobody nobody I don't want no body body I don't want no body body Honey you know it's you that I want It's you that I need Why can't you see I want nobody nobody But You I want nobody nobody But You How can I be with another I don't want any other I want nobody nobody nobody nobody I want nobody nobody But You I want nobody nobody But You How can I be with another I don't want any other I want nobody nobody nobody nobody Back to the days when we were so young and wild and free Nothing else matters other than you and me so tell me why can't it be please let live my life my way why do you push me away i don't want nobody nobody nobody nobody but you
20081118,원더걸스,"Anybody (Feat. Dynamic Duo, SAN E, J.Y. Park)",female,발라드,-,-,-,(주)JYP엔터테인먼트,이별이 아니면은 안됐어 너 울었어 내 강제성 때문에 넌 나만 아니면 돼 Let's go I want nobody nobody but you Anybody Anybody but me I want nobody nobody but you Anybody Anybody but me 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody 나잇값 못하고 저렴하게 구는 내가 모험같은 사랑에 대범하지 못한 내가 너무 미워 매몰차게 아주 일방적으로 너를 쫓아낸 후에 내 맘은 인적 없는 폐가 나 홀로 그리움이란 벗과 술을 짜냈어 자꾸 초라해진 나란 존재 앞에서 널 사랑할 자격없는 놈이라며 울었어 이 비참하고 나약한 내 자격지심 앞에서 나 이를 꽉 물어 잘 나가겠다며 당당하게 니 앞에 꼭 나타나겠다며 궁상을 떨면서 힘 없이 뻣뻣하게 웃어 근데 현실은 안그래 난 또 눈썹 사이를 구겨 심장이 뻥 뚫려서 넘쳐나는 외로움들이 질질 새 근데 얇은 내 지갑은 거꾸로 서도 동전하나 새질 않아 난 또 빌빌대 I want nobody nobody but you Anybody Anybody but me I want nobody nobody but you Anybody Anybody but me 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody 뒤도 돌아보지말고 제발 나를 떠나 그리고 당분간은 전화기를 꺼놔 아니 차라리 전화번호를 바꿔놔 그래 그게 낫겠다 절대 나를 찾거나 하지 말아줘 현실에 눈을 떠 더 늦기전에 우리 사랑이란 불을 꺼 우리 좋은 추억마저 다 태워버릴까봐 겁이 나 그만해 아쉽지만 너 울먹이며 말해 너 없인 난 안돼 착각하지마 내가 없어야 넌 잘 돼 너 똑똑하잖아 한 번 더 생각해봐 너 꼼꼼하잖아 한 번 더 계산해봐 너무 불리해 사랑이란 도박은 불 보듯 뻔해 그 때 피눈물만 흘리게 너무 분해 네게 줄게 이별 뿐이라는게 곁에 있어봤자 내게 시련 뿐이라는게 I want nobody nobody but you Anybody Anybody but me I want nobody nobody but you Anybody Anybody but me 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody 내 말 잘들어 nobody 난 아니 라는게 너무나도 뻔한데 왜 이러고 있니 nobody 머하니 돌아서 떠나라는데 왜 계속 거기 서 있니 nobody 내 말이 맞는 말이잖아 너도 알고있잖아 Nobody Anybody but me 갖고 싶었어 널 처음 봤을 때 얼른 안고 싶었어 생각도 않은 채 용서해 나 왜 이렇게 못났나 싶어 너 울던 순간 심장을 꺼내 태우고 싶어 잘 가 가지마 GOD 거짓말 싫어 싫어 겉은 가라지만 속은 날 떠나지마 몇 번이나 목까지 올라왔지만 마른 침과 힘겹게 삼켜가며 독하게 나 다짐해 추억이면 충분타며 여기까지가 끝 우리 사랑의 달력 니 이름이 습관처럼 몸에 베 술 취해 미안하다며 혹시 부르게 돼 또 그냥 가면 돼 Anybody but me 선택하면 돼 이것만 알면 돼 너만이 날 완전케 했던 걸 아니 왜냐면 난 빼기 넌 equal nobody I want nobody nobody but you Anybody Anybody but me I want nobody nobody but you Anybody Anybody but me 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody
20080922,원더걸스,Intro,female,댄스,-,박진영,이우석,(주)JYP엔터테인먼트,나는 정말 니가 아니면 니가 아니면 싫단 말야 I want nobody nobody But You I want nobody nobody But You 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody
20080922,원더걸스,Nobody,female,댄스,-,박진영,RAINSTONE,(주)JYP엔터테인먼트,You Know I still Love You Baby  And it will never change  I want nobody nobody But You  I want nobody nobody But You  난 다른 사람은 싫어  니가 아니면 싫어  I want nobody nobody  nobody nobody  난 싫은데 왜 날 밀어내려고 하니  자꾸 내 말은 듣지 않고  왜 이렇게 다른 남자에게  날 보내려 하니  어떻게 이러니  날 위해 그렇단 그 말  넌 부족하다는 그 말  이젠 그만해 넌 나를 알잖아  왜 원하지도 않는 걸 강요해  I want nobody nobody But You  I want nobody nobody But You  난 다른 사람은 싫어  니가 아니면 싫어  I want nobody nobody  nobody nobody  I want nobody nobody But You  I want nobody nobody But You  난 다른 사람은 싫어  니가 아니면 싫어  I want nobody nobody  nobody nobody  난 좋은데 난 행복한데  너만 있으면 돼 더 바랄게 없는데  누굴 만나서 행복하란 거야  난 널 떠나서 행복할 수 없어  날 위해 그렇단 그 말  넌 부족하다는 그 말  말이 안 되는 말이란 걸 왜 몰라  니가 없이 어떻게 행복해  I want nobody nobody But You  I want nobody nobody But You  난 다른 사람은 싫어  니가 아니면 싫어  I want nobody nobody  nobody nobody  I want nobody nobody But You  I want nobody nobody But You  난 다른 사람은 싫어  니가 아니면 싫어  I want nobody nobody  nobody nobody  I don't want nobody body  I don't want nobody body  나는 정말 니가 아니면  니가 아니면 싫단 말야 아  I want nobody nobody But You  I want nobody nobody But You  난 다른 사람은 싫어  니가 아니면 싫어  I want nobody nobody  nobody nobody  I want nobody nobody But You  I want nobody nobody But You  난 다른 사람은 싫어  니가 아니면 싫어  I want nobody nobody  nobody nobody  Back to the days  when we were so young  and wild and free  모든게 너무나 꿈만 같았던  그 때로 돌아가고 싶은데  왜 자꾸 나를 밀어내려 해  why do you push me away  I don't want nobody nobody  Nobody nobody but you
