년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101004,유키스,Before Yesterday (Intro),male,댄스,-,Mordny,Mordny,(주)앤에이취이엠쥐,U-kiss  This is Mordney Present    love you (love you love you)  love you (love you love you)  다시 되돌리기엔 너무 멀리 왔어 (멀리왔어)  love you (love you love you)  다시 되돌리기엔 너무 멀리 왔어
20101004,유키스,시끄러,male,댄스,-,Mordny,Mordny,(주)앤에이취이엠쥐,오빠는 니가 너무 밉다  오빠는 니말 듣기 싫다  교만한 사랑 따윈 내 앞에서 치워  말도 안되는 소리 그만 집어 치워  앞뒤가 맞질 않고 자기밖에 모르는 걸 반복된 그 거짓말 이젠 그만 치워 시끄러 시끄러 시끄러 시끄러 교활한 입술 따윈 내앞에서 치워 야릇한 눈물 따윈 그만 집어 치워 달콤한 속임수도 더이상은 속지않아 사랑한단 그말조차 이젠 듣기 싫어 시끄러 시끄러 시끄러 시끄러 Cause your life Cause your mine  내앞에서 사라져 Cause your life I just say  더이상 니가 변할 기대는 절대못해 Good bye 오빠는 니가 너무 밉다 오빠는 니가 이제 싫다 싫다 싫다 왜 자꾸 나를 붙잡으려 해 왜 자꾸 눈물을 흘리는데 Yea this is how it goes Here we go again Let's do it Hey yo check the way that you speak and the way you sound Being like a freak invading my soul 너는 이제 싫어 Girl you're pissin me off 난 이제 너 때문에 지쳤어 삐꺽삐꺽삐꺽삐꺽 나나 삐꺽삐꺽삐꺽삐꺽 대지 오빤 네게네게네게 지쳤어 너무 너무너무 한다 그만 사라져 그만 사라져 이제 disappear 그만 사라져 Get away 그만 사라져 No more lies Get out shut out get off shut off Cause your life Cause your mine 내앞에서 사라져 Cause your life I just say 더이상 니가 변할 기대는 절대못해 Good bye 시끄러 시끄러 시끄러 시끄러 왜 자꾸 나를 붙잡으려 해 왜 자꾸 눈물을 흘리는데 오빠는 니가 너무 싫다 오빠는 나쁜 여자 싫다
20101004,유키스,Light It Up,male,댄스,-,태완 (Taewan),신용식 (Stay Tuned),(주)앤에이취이엠쥐,웃기지마 다시 해 나 없는 사랑따윈 인정못해 다 처음으로 다시 또 처음으로 날 마치 날 절대로 널 향해 뛰는나를 누가멈춰 다 처음으로 다시 또 처음으로 Say That No No No No No 몇번을 다짐해봐도 아니 No No No No No 지우고 지우려해도 어쩔 수 없어 난 너를향해 달려가 Light It Up 꺼진 내사랑을 다시 불태워 Light It Up 멈춘 내심장을 다시 일깨워 Light It Up oh oh oh  oh oh Light It Up oh oh oh  oh oh Light It Up 안될 것도 없어 다시 부딪혀 Up and Down run around 계속 너만 맴돌아 Light It Up oh oh oh  oh oh Light It Up oh oh oh  oh oh 집어 치워 넌 다시 내게로 언젠간 돌아올 테니 My her goes Boom Boom Boom Boom Boom Boom any goes like this any goes like this Say That No No No No No 몇번을 다짐해봐도 아니 No No No No No 지우고 지우려해도 어쩔 수 없어 난 너를 향해 달려가 Light It Up 꺼진 내사랑을 다시 불태워 Light It Up 멈춘 내심장을 다시 일깨워 Light It Up oh oh oh  oh oh Light It Up oh oh oh  oh oh Light It Up 안될 것도 없어 다시 부딪혀 Up and Down run around 계속 너만 맴돌아 Light It Up oh oh oh  oh oh Light It Up oh oh oh  oh oh 똑같이 반복되지 바보같은 게임이 왜 날 자꾸 쥐어짜는 눈물 끝에 젖는 매일이 다시 반복 Play 같은 play 다른 Days 다시 돌아 갈래 Time is now 예전으로 나 일어나 그를 바라보며 미소짓는 너의 예쁜 미소가 내게 돌아와 줄거라고 믿고 있어 나는 또 속아 Down Down It goes around around 이제는 젖지않아 이모든걸 stop Light It Up 꺼진 내사랑을 다시 불태워 Light It Up 멈춘 내심장을 다시 일깨워 Light It Up oh oh oh  oh oh Light It Up oh oh oh  oh oh Light It Up 안될 것도 없어 다시 부딪혀 Up and Down run around 계속 너만 맴돌아 Light It Up oh oh oh  oh oh Light It Up oh oh oh  oh oh Kiss Stop and Real go Stop Everybody name of U Kiss and you go sleep so Like this
20101004,유키스,Rock Ya Body,male,댄스,-,태완 (Taewan),Digital Masta,(주)앤에이취이엠쥐,Hey little ma ma 오늘 Game Over 되어줄게 이밤 너만의 lover listen to me don't go uh oh 이성을 넘어 원하는 걸 가질땐 like that 선택 뿐야 나는 뜨거운 hot news baby 자 천천히 가슴 깊이 미친 듯이 빠져들지 헤어나오지 못하게 Boom Boom Boom Boom Boom 눈이 부신 니 모습에 Boom Boom Boom Boom Boom Come on Come on Boom Boom Boom Boom Boom 숨이 턱에 차오를 때 Boom Boom Boom Boom Boom Time is now Rock ya' body body 자신있게 Shake ya' body body 정신없게 Rock ya' body body 나와 함께 Clap it up Clap it up Clap Clap Clap Clap to this Clap Clap Clap Clap to this Clap Clap Clap Clap to this 난 너를 위한 타이틀 Clap to this Hey little ma ma 소릴 크게 높여 나와 거릴 좁혀 다시 눈을 맞춰 상관 안해 누구와 함께인지 이미 너도 나를 원하고 있지 I'm a star Uh Uh 쏟아지는 시선에 Make a wish Uh Uh 원하던걸 함께 해 여기 준비 된 난 너를 가져 절대로 막지마 모두 다쳐 baby Boom Boom Boom Boom Boom 눈이 부신 니 모습에 Boom Boom Boom Boom Boom Come on Come on Boom Boom Boom Boom Boom 숨이 턱에 차오를 때 Boom Boom Boom Boom Boom Time is now Rock ya' body body 자신있게 Shake ya' body body 정신없게 Rock ya' body body 나와 함께 Clap it up Clap it up Clap Clap Clap Clap to this Clap Clap Clap Clap to this Clap Clap Clap Clap to this 난 너를 위한 타이틀 Clap to this Uh Oh Uh Oh Uh Oh Uh Oh Uh Oh Uh Oh Uh Uh Oh Uh Oh Uh Oh Uh Oh Uh Oh Uh Oh Uh Oh Uh Oh Uh Uh Oh Uh Oh Baby jus' show me what u got 두려워 마 나를 가져봐 Baby jus' show me what u got 하루라도 너를 갖고 싶어 Ahhww Baby jus' show me what u got 눈이 부신 너를 보여봐 Baby jus' show me what u got 불이 날 정도로 뜨거운걸 Ahhww Rock ya' body body 자신있게 Shake ya' body body 정신없게 Rock ya' body body 나와 함께 Clap it up Clap it up Clap Clap Clap Clap to this Clap Clap Clap Clap to this Clap Clap Clap Clap to this 난 너를 위한 타이틀 Clap to this Rock ya' body body 자신있게 Shake ya' body body 정신없게 Rock ya' body body 나와 함께 Clap it up Clap it up Clap Clap Clap Clap to this Clap Clap Clap Clap to this Clap Clap Clap Clap to this 난 너를 위한 타이틀 Clap to this Uh Oh Uh Oh Uh Oh Uh Oh Uh Oh Uh Oh Uh Uh Oh Uh Oh
20101004,유키스,Avatar,male,댄스,-,조정흠,민웅식,(주)앤에이취이엠쥐,It's My Lady It's My Lady It's My Lady I Want it 너의 숨소리 둘만의 밤을 가로지르는 거친 소리 I Want it 너의 진심이 오로지 나를 향할꺼라는 그 목소리 그대와 나 둘이서 하나되듯 꿈꾸는밤 흐르는 밤에 그대는 나를위한 Avater Checking your steez inside Checking your style 그대 가슴에 Switch on yes I Got you mine Move Move Move And Move Just Move For Me In My Control 그대가 바라는 니 모습만 You steal my toe Because I Love Me 갖고 싶어 Oh With Your Mind Because I Love 니 생각대로 I Got Your Mind 손을 위로 들어봐 내가 원하는 대로 clap Clap Your Hands Like That 손을 위로 들어봐 그대가 원하는 대로 clap Clap Your Hands Like That Clap Your Hands Like That What You Wanna Do 너의 답답한 일 모든 막막한 일 내가 다 Skip Skip 하기 What You Wanna Do 그래 나를 따라 따라 Follow Follow 다 맡겨 따라와 100% 싱크로나이즈 하얀 너 흐르는 밤에 그대는 나를 위한 Avater You Plug in Me You Plug in it Control on me 내가 원하는 건 너도 원하게 되길 Yeah I Wanna Do Work It To the left To the right To the left To the right 내가 원하는대로 널 움직이는 것 그게 바로 내가 원하는 것 Because I Love Me 갖고 싶어 Oh With Your Mind Because I Love 니 생각대로 I Got Your Mind Everybody Change now Everybody Change now Everybody Change love Everybody Change love Because I Love Me 갖고 싶어 Oh With Your Mind Because I Love 니 생각대로 I Got Your Mind Because I Love Me 갖고 싶어 Oh With Your Mind Because I Love 니 생각대로 I Got Your Mind 손을 위로 들어봐 내가 원하는 대로 clap Clap Your Hands Like That 손을 위로 들어봐 그대가 원하는 대로 clap Clap Your Hands Like That Clap Your Hands Like That
20101004,유키스,시끄러 (Inst.),male,댄스,-,-,Jae,(주)앤에이취이엠쥐,-
20101004,유키스,Light It Up (Inst.),male,댄스,-,-,태완 (Taewan),(주)앤에이취이엠쥐,-
20100604,유키스,"Hero (Narr. 김수로, 유상철)",male,댄스,-,-,-,(주)앤에이취이엠쥐,Hey yo hurray hurray hurray hurray Hey yo hurray hurray hurray hurray Hey yo hurray hurray hurray hurray Hey yo hurray hurray hurray hurray 저 높은 함성소리 내 귓가에 들린다 심장이 터질듯이 제 멋대로 춤춘다 걱정은 던져놓고 이순간을 즐겨라 다 같이 하나되어 너를 위해 외친다 Korea Victory one more time Korea Victory one more time Korea Victory one more time Korea Korea Korea Go Go Go Go Hey yo hurray hurray hurray hurray Hey yo hurray hurray hurray hurray Hey yo hurray hurray hurray hurray Hey yo hurray hurray hurray hurray K O R E A V I C T O R Y High High 더높게 Fly Fly One more time K O R E A V I C T O R Y 다같이 외쳐봐 대 한 민 국 싸워라 대한민국 5천만이 외친다 몇 번을 쓰러져도 무릎 꿇지 말아라 사나이 승릴 향해 거침없이 달린다 다같이 하나되어 너를 위해 외친다 Korea Victory one more time Korea Victory one more time Korea Victory one more time Korea Korea Korea Go Go Go Go 귀 기울여 들어봐 느껴봐 여기 붉은 함성을 수천번을 쓰러져 버려도 또 다시 일어서리라 hurray hurray Go Go Go Go Korea Victory one more time Korea Victory one more time Korea Victory one more time Korea Korea Korea Go Go Go Go Korea Victory one more time 승리의 함성을 위하여 Korea Victory one more time We wanna We wanna We wanna Go Go Go Korea Victory one more time Korea Victory one more time Korea Victory one more time Korea Korea Korea Go Go Go Go Hey yo hurray hurray hurray hurray Hey yo hurray hurray hurray hurray Hey yo hurray hurray hurray hurray Hey yo hurray hurray hurray hurray K O R E A V I C T O R Y High High 더높게 Fly Fly One more time K O R E A V I C T O R Y 다같이 외쳐봐 대 한 민 국
20100604,유키스,Hero (Radio Edit Ver.),male,댄스,-,-,-,(주)앤에이취이엠쥐,Hey! yo hurray hurray hurray hurray! (x4)  저 높은 함성소리 내 귓가에 들린다 심장이 터질듯이 제 멋대로 춤춘다  걱정은 던져놓고 이순간을 즐겨라 다 같이 하나되어 너를 위해 외친다  Korea! Victory one more time (x3)  Korea! Korea! Korea! Go! Go! Go! Go!  Hey! yo hurray hurray hurray hurray! (x4)  K.O.R.E.A V.I.C.T.O.R.Y High High 더높게 Fly Fly One more time  K.O.R.E.A V.I.C.T.O.R.Y 다같이 외쳐봐 대-한-민-국  싸워라 대한민국 5천만이 외친다 몇 번을 쓰러져도 무릎 꿇지 말아라  사나이 승릴 향해 거침없이 달린다 다같이 하나되어 너를 위해 외친다  Korea! Victory one more time (x3)  Korea! Korea! Korea! Go! Go! Go! Go!  귀 기울여 들어봐 느껴봐 여기 붉은 함성을  수천번을 쓰러져 버려도 또 다시 일어서리라  hurray hurray! Go! Go! Go! Go!  Korea! Victory one more time (x3)  Korea! Korea! Korea! Go! Go! Go! Go!  Korea! Victory one more time 승리의 함성을 위하여  Korea! Victory one more time  We wanna! We wanna! We wanna! Go! Go! Go!  Korea! Victory one more time (x3)  Korea! Korea! Korea! Go! Go! Go! Go!  Hey! yo hurray hurray hurray hurray! (x4)  K.O.R.E.A V.I.C.T.O.R.Y High High 더높게 Fly Fly One more time  K.O.R.E.A V.I.C.T.O.R.Y 다같이 외쳐봐 대-한-민-국
20100604,유키스,Hero (Inst.),male,댄스,-,-,-,(주)앤에이취이엠쥐,-
