년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20101201,티아라,yayaya,female,댄스,-,이트라이브 (E-TRIBE),이트라이브 (E-TRIBE),MBK엔터테인먼트,U look at me Right T ARA U Ready  Let me seeya LaLaLaLa  Love me hey YaYaYaYa  Shubidubi ShaLaLaLaLa  우리 둘이 YaYaYaYa  Let me seeya LaLaLaLa  Love me hey YaYaYaYa  Shubidub Su Supa Nova  지글지글 불꽃처럼 뜨거워져 Hot Hot  빙글빙글 어지러워 눈이부셔 Ah Ah  Yo ma Yo ma Lova Lova  Yo ma Yo ma Supa Nova  U Hee U U Hee  Let me seeya LaLaLaLa  Love me hey YaYaYaYa  니 앞에선 Oh 너무 작아져서 Oh  I like U  Shubidubi ShaLaLaLaLa  우리 둘이 YaYaYaYa  난 너만보여  U Hee U U U U U U U U  Hee Hee Hee Hee Hee  Oh Go it Go it Go it Go  Go it Go Go it Go  고이접어 내 가슴에 꼭 담아 Ah Ah  우리 둘이 Do it Do  Do it Do Do it Do  너를 위해 던져줄래 꽃다발 Ah Ah  Ah Ah Ah Go it Go it  Ah Ah Ah Do it Do it  Ah Ah Ah Go it Go it  Go it Go Go it Go  Many Many Many  이따만큼 이따만큼 또  두근 두근 두근대 또 떨리네  Go it Go it Go  Let me seeya LaLaLaLa  Love me hey YaYaYaYa  Shubidubi ShaLaLaLaLa  우리 둘이 YaYaYaYa  Let me seeya LaLaLaLa  Love me hey YaYaYaYa  Shubidub Su Supa Nova  이글이글 타오르는 내 눈을봐 Hot Hot  흔들흔들 흐트러진 내 몸을봐 Ah Ah  Yo ma Yo ma Lova Lova  Yo ma Yo ma Supa Nova  U Hee U U Hee  Let me seeya LaLaLaLa  Love me hey YaYaYaYa  빠져들어 Oh 정말 미치겠어 Oh  My good boy  Shubidubi ShaLaLaLaLa  우리 둘이 YaYaYaYa  난 너만보여  U Hee U U U U U U U U  Hee Hee Hee Hee Hee  Oh Go it Go it Go it Go  Go it Go Go it Go  고이접어 내 가슴에 꼭 담아 Ah Ah  우리 둘이 Do it Do  Do it Do Do it Do  너를 위해 던져줄래 꽃다발 Ah Ah  Ah Ah Ah Go it Go it  Ah Ah Ah Do it Do it  Ah Ah Ah Go it Go it  Go it Go Go it Go  Many Many Many  이따만큼 이따만큼 또  두근 두근 두근대 또 떨리네  Go it Go it Go  Let me seeya LaLaLaLa  Love me hey YaYaYaYa  U make me go LaLaLa  Baby boy U So Hot Hot Hot  Ha Ha U & Me 단 둘 Yes We  우리만의 P A R T Y  두근거리는 심장이 계속 외쳐  Oh Go it Go it Go it Go  Go it Go Go it Go  고이접어 내 가슴에 꼭 담아 Ah Ah  우리 둘이 Do it Do  Do it Do Do it Do  너를 위해 던져줄래 꽃다발 Ah Ah  Ah Ah Ah Go it Go it  Ah Ah Ah Do it Do it  Ah Ah Ah Go it Go it  Go it Go Go it Go  Let me seeya LaLaLaLa
20101201,티아라,왜 이러니,female,댄스,-,이은진,이상호,MBK엔터테인먼트,왜 이러니 왜 이러니 왜 이러니 눈을 깜박깜박 맘이 찌릿찌릿 떨리니 숨 막히니 애타니 내게 푹 빠졌니 Oops oops baby 볼이 뜨거 뜨거 핫뜨거 아니라니 딴소리 정말 이럴꺼니 Oh Oh Oh Oh Oh Oh Oh 너를 사랑해 Like crazy Oh Oh Oh Oh Oh Oh Oh 터질 것 같은 니 맘을 보여줘 왜 이러니 왜 이러니 정말 왜 왜 왜 이러니 어떡해 답답해 그만 내게 내게 왜 이래 알잖니 알잖니 내 맘 다 다 다 알잖니 사랑해 좋아해 이제 내게 말해 바보야 Knock Knock Knock Knock Can you hear me now Knock Knock Knock Knock Just wanna love you now Welcome to your wonderland Everyday I Knock knock Knock Knock Knock Knock Love me Love me Baby 매일 너만 너만 생각해 달콤한 Kiss S O S 나를 구해줘 Boy Call me Call me Baby 가슴 두근두근 목소리 녹아내려 아찔해 내게 빠져봐 Boy Oh Oh Oh Oh Oh Oh Oh 너를 사랑해 Like crazy Oh Oh Oh Oh Oh Oh Oh 터질 것 같은 니 맘을 보여줘 왜 이러니 왜 이러니 정말 왜 왜 왜 이러니 어떡해 답답해  그만 내게 내게 왜이래 알잖니 알잖니 내 맘 다 다 다 알잖니 사랑해 좋아해 이제 내게 말해 바보야 Knock Knock Knock Knock Can you hear me now Knock Knock Knock Knock Just wanna love you now Welcome to your wonderland Everyday I Knock knock Knock Knock Knock Knock 왜 또 장난쳐 그러다 다쳐 우리를 우연쯤이라고 생각하지마 You're my boy 운명을 거스르진마 오늘도 역시 Baby Knock Knock Knock Knock Knock Oh You know my style 계속 이러면 아무리 잡아도 Say good bye 왜 이러니 왜 이러니 왜 이러니 왜 이러니 왜 이러니 정말 왜 왜 왜 이러니 어떡해 답답해 그만 내게 내게 왜이래 알잖니 알잖니 내 맘 다 다 다 알잖니 사랑해 좋아해 이제 내게 말해 바보야 Knock Knock Knock Knock Can you hear me now Knock Knock Knock Knock Just wanna love you now Can you hear my knock knock All I want is you you Knock Knock Knock Knock Knock Knock Knock Knock Can you hear me now Knock Knock Knock Knock Just wanna love you now Welcome to your wonderland Everyday I Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock
20101201,티아라,Ma boo,female,댄스,-,김도훈 (RBW),라이머,MBK엔터테인먼트,사랑이 어떻게 변하나요 그렇게 쉬운가요 혼자 남은 나는 어떡하죠 Oh baby Don't leave me now 도대체 몇번이나 사랑에 아파야 뻔한 이별앞에 눈물을 감출까 대체 얼마나 더 추억속을 헤매야 혹시 너를 봐도 웃어 볼 수 있을까 또 숨이 막혀 오늘도 니 안에 갇혀 다시 어제처럼 니가 익숙해 잠시 꿈을 꾼듯해 Oh Oh Oh Ma boo Ma boo 난 또 시들어가 하루 하루 버틸수 없어 Break down 잘자라는 너의 한마디 밥은 먹었냐고 묻던 너의 메세지 아주아주 작은 일상들이 이별앞에 더 아파 사랑이 어떻게 변하나요 그렇게 쉬운가요 혼자 남은 나는 어떡하죠 Oh baby Don't leave me now 사랑이란 거짓말에 또 다시 난 속아 달콤했던 니 입술에 바보처럼 녹아 니가 너무 좋아 내 자신을 놓아 아픔이란 섬에 혼자 갇혀버린 고아 노랠 불러봐도 즐겁지가 않아 집앞 골목길도 왠지 익숙하지 않아 친구들을 만나봐도 웃어지질 않아 아직 내겐 못한말이 너무 많아 Ma boo Ma boo 난 또 시들어가 하루 하루 버틸수 없어 Break down 이제와서 누가 누굴 탓해 그래 죽네 사네 사랑해도 다 똑같애 모두모두 흔한 이별 노래처럼 결국 잊혀질거야 사랑이 어떻게 변하나요 그렇게 쉬운가요 혼자 남은 나는 어떡하죠 Oh baby Don't leave me now 나 여기있잖아 아파하잖아 너밖에 없잖아 아닌척 강한척 애써봐도 너뿐이잖아 Ma boo Ma boo 난 또 시들어가 하루 하루 버틸수 없어 Break down 이제와서 누가 누굴 탓해 그래 죽네 사네 사랑해도 다 똑같애 모두모두 흔한 이별 노래처럼 결국 잊혀질거야 내 맘이 어떻게 이럴까요 이렇게 아플까요 나를 두고 떠나가지마요 날 버리지 말아요 사랑이 어떻게 변하나요 그렇게 쉬운가요 혼자 남은 나는 어떡하죠 Oh baby Don't leave me now 내게 돌아와
20101201,티아라,몰라요,female,댄스,-,최규성,최규성,MBK엔터테인먼트,너무 그리워서 너무 허전해서 난 너를 찾아 너를 찾아 다시 찾아가 가끔씩 우리 같이있던 사진들을 보면 난 눈물이나 눈물이나 밤새도록 너를 찾아 Come come back 내게로 You say say I love you 또 어떤 영화처럼 다시 내 앞에 나타나줘 너무 보고 싶은 너 너무 안고 싶은데 너 없인 난 몰라 몰라 몰라 난 몰라 몰라 몰라 난 몰라 몰라 몰라요 이 밤이 새도록 그대를 기다리는데 넌 정말 몰라 나도 모르게 자꾸만 널 찾아 나나나난 널 따라가 나나나난 널 따라가 나나나난 널 따라가 나나나난 난 몰라요 너 없는 하루는 웃지도 못했고 거울을 봐도 하늘을 봐도 난 너만 보이고 가끔씩 우리 같이 듣던 음악이 들리면 난 가슴이 막 가슴이 막 아파서 잠도 못자고 캄캄한 이 밤에 날 더 슬프게 하는 어떤 노래처럼 나를 떠나가지 말아줘 너무 보고 싶은 너 너무 안고 싶은데 너 없인 난 몰라 몰라 몰라 난 몰라 몰라 몰라 난 몰라 몰라 몰라요 이 밤이 새도록 그대를 기다리는데 넌 정말 몰라 나도 모르게 자꾸만 널 찾아 나에게 돌아와요 뒤돌아 나를 봐요 그대 없인 나는 정말로 난 안되요 이제는 너 때문에 정말로 너 때문에 우는 내 마음 너는 정말 몰라요 너무 보고 싶은 너 너무 안고 싶은데 너 없인 난 몰라 몰라 몰라 난 몰라 몰라 몰라 난 몰라 몰라 몰라요 이 밤이 새도록 그대를 기다리는데 넌 정말 몰라 나도 모르게 자꾸만 널 찾아
20101201,티아라,괜찮아요,female,댄스,-,최규성,최규성,MBK엔터테인먼트,나 이제 잊고 살아요  그리워도 잊고 살아요  내게 다시 오지 않아도  이제 조금 살만한걸요  또 생각이 나겠죠 너무 아프던  그때같이 추워질때면  내 맘 속 어딘가에서  아무렇지도 않게 하루를 보내요  또 다른 나의 사람과  난 괜찮아요 이제  돌아서가는 너를 난 붙잡으려  애원해보고 또 난 눈물 흘리고  이제 후회는 없네요  나 이제 잊고 살아요  그리워도 잊고 살아요  내게로 돌아 오지 않아도  이제 조금 나 살만한걸요  또 이렇게 겨울이 와도  다시 난 또 지금처럼 견뎌낼테죠  난 괜찮아요  생각이나 그때 돌아선  너의 슬픈 뒷 모습이 또 나  간절하게 기도했지 너  돌아올꺼야 내게 또  바보같이 자꾸  무뎌져있던 기억들에 난  오늘밤은 다시 또  그때로 돌아가겠지 난  너무나 보고싶다고  또 이럴수는 없다고  전화도 계속 해보고  집 앞에도 찾아가고  널 아는 친구들에게  연락도 해봤어 난 그렇게 살았어  대답도 없는 너를 난 붙잡으려  소리쳐보고 또 난 눈물 흘리고  이제 후회는 안해요  나 이제 잊고 살아요  그리워도 잊고 살아요  내게로 돌아 오지 않아도  이제 조금 나 살만한걸요  또 이렇게 겨울이 와도  다시 난 또 지금처럼 견뎌낼테죠  난 괜찮아요    정말 그댈 사랑했어요  그 추억에 이젠 웃어요  내게로 다시 오지 않아도  이젠 정말로 괜찮은 걸요  또 이렇게 겨울이 와도  다시 난 또 지금처럼 견뎌낼테죠  난 괜찮아요
20101201,티아라,yayaya (Inst.),female,댄스,-,-,이트라이브 (E-TRIBE),MBK엔터테인먼트,-
20101123,티아라,왜 이러니,female,댄스,-,양파,김도훈 (RBW),MBK엔터테인먼트,왜 이러니 왜 이러니 왜 이러니 눈을 깜박깜박 맘이 찌릿찌릿 떨리니 숨 막히니 애타니 내게 푹 빠졌니 Oops oops baby 볼이 뜨거 뜨거 핫뜨거 아니라니 딴소리 정말 이럴꺼니 Oh Oh Oh Oh Oh Oh Oh 너를 사랑해 Like crazy Oh Oh Oh Oh Oh Oh Oh 터질 것 같은 니 맘을 보여줘 왜 이러니 왜 이러니 정말 왜 왜 왜 이러니 어떡해 답답해 그만 내게 내게 왜 이래 알잖니 알잖니 내 맘 다 다 다 알잖니 사랑해 좋아해 이제 내게 말해 바보야 Knock Knock Knock Knock Can you hear me now Knock Knock Knock Knock Just wanna love you now Welcome to your wonderland Everyday I Knock knock Knock Knock Knock Knock Love me Love me Baby 매일 너만 너만 생각해 달콤한 Kiss S O S 나를 구해줘 Boy Call me Call me Baby 가슴 두근두근 목소리 녹아내려 아찔해 내게 빠져봐 Boy Oh Oh Oh Oh Oh Oh Oh 너를 사랑해 Like crazy Oh Oh Oh Oh Oh Oh Oh 터질 것 같은 니 맘을 보여줘 왜 이러니 왜 이러니 정말 왜 왜 왜 이러니 어떡해 답답해  그만 내게 내게 왜이래 알잖니 알잖니 내 맘 다 다 다 알잖니 사랑해 좋아해 이제 내게 말해 바보야 Knock Knock Knock Knock Can you hear me now Knock Knock Knock Knock Just wanna love you now Welcome to your wonderland Everyday I Knock knock Knock Knock Knock Knock 왜 또 장난쳐 그러다 다쳐 우리를 우연쯤이라고 생각하지마 You're my boy 운명을 거스르진마 오늘도 역시 Baby Knock Knock Knock Knock Knock Oh You know my style 계속 이러면 아무리 잡아도 Say good bye 왜 이러니 왜 이러니 왜 이러니 왜 이러니 왜 이러니 정말 왜 왜 왜 이러니 어떡해 답답해 그만 내게 내게 왜이래 알잖니 알잖니 내 맘 다 다 다 알잖니 사랑해 좋아해 이제 내게 말해 바보야 Knock Knock Knock Knock Can you hear me now Knock Knock Knock Knock Just wanna love you now Can you hear my knock knock All I want is you you Knock Knock Knock Knock Knock Knock Knock Knock Can you hear me now Knock Knock Knock Knock Just wanna love you now Welcome to your wonderland Everyday I Knock Knock Knock Knock Knock Knock Knock Knock Knock Knock
20100929,티아라,하늘땅 별땅,female,댄스,-,Papertonic,강은경,MBK엔터테인먼트,OK it's the brand new sound by tebbin k with tara shake shake shake make me boom boom boom clap shake shake shake make me boom boom boom boom boom shake shake shake make me boom boom boom clap shake shake shake make me boom boom boom boom clap oh baby 땅끝 땅끝도 하늘 별끝 별끝도 난 너를 따라갈 준비 되있어 내게와 나의 곁으로 이세상 끝날때까지 난 기다릴꺼야 니가 마른 여잘 좋아한다 해서 힘든 다이어트 참아왔는데 니가 긴 생머리를 좋아 한다고해서 여태껏 길러왔는데 니가 남자많은 여잔 싫다 해서 누가 말 붙여도 외면했는데 니가 잘 노는 여잘 싫어 한다고해서 그 좋은 나이트도 안가 oh baby 땅끝 땅끝도 하늘 별끝 별끝도 난 너를 따라갈 준비 되있어 돌아봐 가까운곳에 그렇게 니가 원하던 너만을 위한 그런여자 있잖아 나 만큼 만큼만 아니 더큰 더큰정 네게 줄사람 있으면 찾아봐 내게와 나의곁으로 이세상 끝날때까지 난 기다릴거야 머리부터 발끝까지 니가 좋아한다는건 뭐든 다했어 하나부터 열까지 다 네게 맞는 스타일로 싹 다바꿨어 근데 딱 하나 oh my miss oh 넌 이미 지나간 버스 그래도 상관없어 난 벌써 네게 빠졌어 어쩔수 없어 니가 야한 여잘 좋아한다 해서 그런 스타일의 옷만 샀는데 니가 애교많은 걸 좋아 한다고해서 날마다 연습했는데 니가 수다많은 여잔 싫다 해서 그저 조심하게 지내왔는데 니가 머리 빈 여잘 싫어 한다고해서 그 좋은 드라마도 안봐 oh baby 땅끝 땅끝도 하늘 별끝 별끝도 난 너를 따라갈 준비 되있어 돌아봐 가까운곳에 그렇게 니가 원하던 너만을 위한 그런여자 있잖아 나 만큼 만큼만 아니 더큰 더큰정 네게 줄사람 있으면 찾아봐 내게와 나의곁으로 이세상 끝날때까지 난 기다릴거야 t to the a r a with regendary tebbin k it's hot hot collabolation 헌데 그러면 뭘해 아무소용없잖아 그러는동안 네게 애인이 생겨버린 걸 난 울고 있지만 그래도 너를 단념할수가 없어 oh baby 펑크펑크난 가슴 쇼크쇼크야 왜 내게 이런 슬픔을 주는지 너만이 나의눈물을 멈추게 할수가 있어 내곁으로 와줘
20100929,티아라,하늘땅 별땅 (Inst.),female,댄스,-,Papertonic,강은경,MBK엔터테인먼트,-
20100503,티아라,We Are The One (16강 기원 응원가),female,댄스,-,-,-,MBK엔터테인먼트,오레오레오레오레에에 오레오레오레오오오 오레오레오레오레에에 오레오레오레오 오레오레오레오레에에 오레오레오레오오오 오레오레오레오레에에 오레오레오레오 오 오 오 soccer 오 오 오 soccer We are the one soccer We are the one soccer We are the one soccer We are the one soccer 꿈은 이루어 질거라고 우리가 서로 손을 잡고 높은 벽을 넘어설 거라고 희망의 날갤 펴고서 저 하늘에 들릴때까지 저 하늘에 닿을때까지 함께 미친듯 소리질러 더 크게 소리질러 오레오레오레오레에에 오레오레오레오오오 오레오레오레오레에에 오레오레오레오 모두다 길을 길을 비켜 모두 일어나 외쳐봐라 백번이고 천번이고 승리의 나팔을 분다 We are the one soccer We are the one soccer We are the one soccer We are the one soccer 어둠은 빛으로 바뀌고 슬픔은 환희로 바뀌고 눈물은 지난일 일뿐이야 이젠 환하게 웃어봐 넘어져도 정말 괜찮아 우리가 널 일으켜줄게 너는 혼자가 아니잖아 우리 함께 있잖아 오레오레오레오레에에 오레오레오레오오오 오레오레오레오레에에 오레오레오레오 오레오레오레오레에에 오레오레오레오오오 오레오레오레오레에에 오레오레오레오 오레오레오레오레에에 오레오레오레오오오 오레오레오레오레에에 오레오레오레오 오레오레오레오레에에 오레오레오레오오오 오레오레오레오레에에 오레오레오레오
