년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20040101,오렌지,Bossa Nova Baby,male,컨트리,-,-,-,-,-
20040101,오렌지,I really don`t want to know,male,컨트리,-,-,-,-,-
20040101,오렌지,Moody Blue,male,컨트리,-,-,-,-,-
20040101,오렌지,Don`t cry daddy,male,컨트리,-,-,-,-,-
20040101,오렌지,Stranger in my own home town,male,컨트리,-,-,-,-,-
20030101,오렌지,In the Ghetto,male,컨트리,-,-,-,-,-
20030101,오렌지,Good Time Charlie`s Got the Blues,male,컨트리,-,-,-,-,-
20030101,오렌지,Burning Love,male,컨트리,-,-,-,-,-
20030101,오렌지,True Love Travels On a Gravel Road,male,컨트리,-,-,-,-,-
20030101,오렌지,I`m Movin´on,male,컨트리,-,-,-,-,-
20080617,오렌지,Golden Falcons,male,재즈,-,-,-,-,-
20080617,오렌지,Om Shanti,male,재즈,-,-,-,-,-
20080617,오렌지,The Liquid Nature Of,male,재즈,-,-,-,-,-
20080617,오렌지,And Then She Appeared in the Midst of Chaos,male,재즈,-,-,-,-,-
20080617,오렌지,Peace,male,재즈,-,-,-,-,-
20080617,오렌지,Release From,male,재즈,-,-,-,-,-
20080617,오렌지,Sad Joy,male,재즈,-,-,-,-,-
20080617,오렌지,Broccoli,male,재즈,-,-,-,-,-
20080617,오렌지,The Jamel Voice,male,재즈,-,-,-,-,-
20080617,오렌지,Sunset Beyond the Safety,male,재즈,-,-,-,-,-
20080617,오렌지,Subway Over the Rainbow,male,재즈,-,-,-,-,-
20101215,오렌지,Adrenaline (Original Mix),male,일렉트로니카,-,-,-,-,-
20070109,오렌지,Intro (Feat. Big Twins & Un Pacino),male,월드뮤직,-,-,-,-,-
20070109,오렌지,Pill,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Faking It,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Bleed,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Suffocate,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Follows,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Weasel,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Idiot Mask,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Threw It Away,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Hole,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Hole,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Valium,male,월드뮤직,-,-,-,-,-
20070109,오렌지,Outro,male,월드뮤직,-,-,-,-,-
20051001,오렌지,Restless,male,월드뮤직,-,-,-,-,-
20051001,오렌지,Rain (Interference I),male,월드뮤직,-,-,-,-,-
20051001,오렌지,Late Night,male,월드뮤직,-,-,-,-,-
20051001,오렌지,Stations (Interference Ii),male,월드뮤직,-,-,-,-,-
20051001,오렌지,Horses,male,월드뮤직,-,-,-,-,-
20051001,오렌지,At First Light,male,월드뮤직,-,-,-,-,-
20051001,오렌지,Nyon Se Dyuo Ke Zon Zon,male,월드뮤직,-,-,-,-,-
20051001,오렌지,Prelude,male,월드뮤직,-,-,-,-,-
20050601,오렌지,Blindness,male,월드뮤직,-,-,-,-,-
20050601,오렌지,I`m Singing Too Much,male,월드뮤직,-,-,-,-,-
20050601,오렌지,Why You?,male,월드뮤직,-,-,-,-,-
20050601,오렌지,Wimp,male,월드뮤직,-,-,-,-,-
20050601,오렌지,Your Way,male,월드뮤직,-,-,-,-,-
20050601,오렌지,`Till Death Do Us Apart,male,월드뮤직,-,-,-,-,-
20020331,오렌지,Too Tough,male,월드뮤직,-,-,-,-,-
20020331,오렌지,Leave Me Alone,male,월드뮤직,-,-,-,-,-
20020331,오렌지,My Town,male,월드뮤직,-,-,-,-,-
20020331,오렌지,Why Do You Love Me?,male,월드뮤직,-,-,-,-,-
20020331,오렌지,Impossible,male,월드뮤직,-,-,-,-,-
20020331,오렌지,Cadyk,male,월드뮤직,-,-,-,-,-
20020331,오렌지,Movin`,male,월드뮤직,-,-,-,-,-
20020331,오렌지,Dream,male,월드뮤직,-,-,-,-,-
20020331,오렌지,New Heaven,male,월드뮤직,-,-,-,-,-
20020331,오렌지,Grey,male,월드뮤직,-,-,-,-,-
20020331,오렌지,Slowly Slowly,male,월드뮤직,-,-,-,-,-
20070424,더블에스오공일,Fly Away,male,"애니메이션/웹툰, 키즈, 만화",-,윤석준,윤석준,-,바람결에 실려온 마음의 눈을 뜨면 이 세상은 너의 미소로 가득 차있어 내 얘길 들어줘 언제나 도망치던 나지만 쿵야 쿵야 숨길 수 없는 맘 널 사랑하고 있는 걸 나를 봐 이 세상은 변할 거야 나의 손을 잡고서 Fly away 너 없인 그 무엇도 할 수 없는 나를 안아줘 Fly away 지나치며 나만을 바라본 너의 눈빛 알지 못 한 눈치 없던 날 용서해줄래 꼭 잡은 두 손을 이대로 다시는 놓지 않아 쿵야 쿵야 변하지 않는 맘 니 앞에 맹세하겠어 나를 봐 이 세상은 변할 거야 나의 손을 잡고서 Fly away 너 없인 그 무엇도 할 수 없는 나를 안아줘 Fly away 이제 나의 눈을 바라봐 너의 모습이 내 마음에 가득 차 웃고 있으니 이제 너의 꼭 잡은 두 손 모두 다신 놓지 않을 거야 내 손 가득 울고 있던 너의 마음 내가 달래 줄게 지쳐있는 나의 마음 너만 있으면 돼 어떤 고난 속에서도 우리 함께 나 이제 약속할게 어차피 사랑은 두 사람의 작은 비밀 모두 함께 마법의 주문을 쿵야 쿵야 나를 봐 이 세상은 변할 거야 나의 손을 잡고서 Fly away 너 없인 그 무엇도 할 수 없는 나를 안아줘 Fly away 또 다른 어려움이 온다 해도 나는 늘 너의 곁에 있겠어 꼭 잡은 두 손 이제 놓지 않아 나의 첫 사랑 Fly away
20070424,더블에스오공일,Fly Away (Go Go Remix),male,"애니메이션/웹툰, 키즈, 만화",-,윤석준,윤석준,-,바람결에 실려온 마음의 눈을 뜨면 이 세상은 너의 미소로 가득 차있어 내 얘길 들어줘 언제나 도망치던 나지만 쿵야 쿵야 숨길 수 없는 맘 널 사랑하고 있는 걸 나를 봐 이 세상은 변할 거야 나의 손을 잡고서 Fly away 너 없인 그 무엇도 할 수 없는 나를 안아줘 Fly away 지나치며 나만을 바라본 너의 눈빛 알지 못 한 눈치 없던 날 용서해줄래 꼭 잡은 두 손을 이대로 다시는 놓지 않아 쿵야 쿵야 변하지 않는 맘 니 앞에 맹세하겠어 나를 봐 이 세상은 변할 거야 나의 손을 잡고서 Fly away 너 없인 그 무엇도 할 수 없는 나를 안아줘 Fly away 이제 나의 눈을 바라봐 너의 모습이 내 마음에 가득 차 웃고 있으니 이제 너의 꼭 잡은 두 손 모두 다신 놓지 않을 거야 내 손 가득 울고 있던 너의 마음 내가 달래줄게 지쳐있는 나의 마음 너만 있으면 돼 어떤 고난 속에서도 우리 함께 나 이제 약속할게 어차피 사랑은 두 사람의 작은 비밀 모두 함께 마법의 주문을 쿵야 쿵야 나를 봐 이 세상은 변할 거야 나의 손을 잡고서 Fly away 너 없인 그 무엇도 할 수 없는 나를 안아줘 Fly away 또 다른 어려움이 온다 해도 나는 늘 너의 곁에 있겠어 꼭 잡은 두 손 이제 놓지 않아 나의 첫 사랑 Fly away
20100816,슈퍼주니어,똑똑똑,male,성인가요,-,ROZ,ROZ,(주)SM엔터테인먼트,똑똑똑 똑똑똑 사랑의 노크 똑똑똑 보면 볼수록 정이 가는 사람 보면 볼수록 웃음 나는 사람 당신과 있을 땐 행복하지만 하지만 내게도 걱정 있어요 당신은 내게 과분한 사람이지만 하지만 너무 빠른 건 싫어 똑똑똑 내 마음에 노크를 해줘요 나는 아직 준비가 안됐어요 똑똑똑 똑똑똑 나의 사람아 사랑의 노크 해 줘요 알면 알수록 진국인 사람 알면 알수록 더 알고 싶은 사람 당신은 내가 콕 찍은 사람 하지만 내게도 걱정 있어요 당신은 내게 과분한 사람이지만 하지만 너무 빠른 건 싫어 똑똑똑 내 마음에 노크를 해줘요 나는 아직 준비가 안됐어요 똑똑똑 똑똑똑 나의 사람아 사랑의 노크 해 줘요 그립습니다 사랑합니다 나는 오직 그대 그대뿐이죠 똑똑똑 내 마음에 노크를 해줘요 똑똑똑 내 사랑에 노크를 해줘요 노크 해줘요 나는 아직 준비가 안됐어요 똑똑똑 똑똑똑 노크를 해줘요 사랑의 노크 해 줘요 똑똑똑 똑똑똑 나의 사람아 사랑의 노크 해 줘요 라라라라라라 에 라라라라라라 사랑의 노크 똑똑똑
20081017,에프티 아일랜드,바램,male,"발라드, 록/메탈",-,한성호,한성호,FNC엔터테인먼트,잘 지내요 날 사랑해 준 사람아 날 떠나가도 잊지 못해요 고마운 사람아 걱정마요 내 소중한 사람 그대 없이도 숨을 쉴테니 난 살수 있겠죠 혼자 울지는 않을까 혼자 아프진 않을까 그대 생각이 맘에 밟혀서 내 발을 잡아요 가슴에 사는 사람 부디 그대 행복하기를 가슴에 묻은 사람 눈물을 모르고 살기를 혹시 남은 슬픔이 있다면 가져갈게요 그대는 웃음만 알고 사세요 미안해요 내 소중한 사람 지켜준다던 약속 하나도 못 지켜 줬네요 다른 사랑이 온대도 나는 사랑을 못해요 그대 자리는 어떤 사람도 채울 수 없어요 가슴에 사는 사람 부디 그대 행복하기를 가슴에 묻은 사람 눈물을 모르고 살기를 혹시 남은 슬픔이 있다면 가져갈게요 그대는 웃음만 알고 사세요 이것 하나만 알아요 그댈 위해 보내는 걸 죽을 것 같은 슬픔에도 난 그대를 보내죠 기억에 사는 사람 단 하나 뿐인 내 사람아 내 전부였던 사람 부디 좋은 사람 만나길 혹시 그대 아플것 같다면 떠나지 마요 그대의 눈물은 난 못 보니까
20081017,에프티 아일랜드,그대는 사랑입니다 (Remix),male,"발라드, 록/메탈",-,한성호,한성호,FNC엔터테인먼트,하루하루를 그대 없이 살아도 하루하루를 그댈 잊고 살아도 사랑 없이 살 수 있다고 그대 없이 살 수 있다고 다짐하고 또 합니다 매일 매일을 눈물로 살아가 매일 매일을 견디며 살아가 이렇게 난 잊지 못하고 마지못해 살고 있다고 때늦은 후회 합니다 가고 나면 깨닫는게 사랑입니다 자고 나면 올 것 같은 그대입니다 나를 아프게 해도 나를 슬프게 해도 그대 같은 사람 없습니다 알다가도 모르는게 사랑입니다 아파해도 그리운게 사랑입니다 그댈 지우려 해도 그댈 버리려 해도 나의 사랑은 오직 그대입니다 매일 매일을 바쁜 척 살아가 매일 매일을 힘겹게 살아가 어떻게든 잊어본다고 수도 없이 다짐 해봐도 또 다시 무너집니다 가고 나면 깨닫는게 사랑입니다 자고 나면 올 것 같은 그대입니다 나를 아프게 해도 나를 슬프게 해도 그대 같은 사람 없습니다 알다가도 모르는게 사랑입니다 아파해도 그리운게 사랑입니다 그댈 지우려해도 그댈 버리려해도 난 안됩니다 이별하고 이별해도 사랑입니다 미워하고 미워해도 사랑입니다 가고 나면 깨닫는게 사랑입니다 자고 나면 올 것 같은 그대입니다 나를 아프게 해도 나를 슬프게 해도 그대 같은 사람 없습니다 알다가도 모르는게 사랑입니다 아파해도 그리운게 사랑입니다 그댈 지우려 해도 그댈 버리려 해도 나의 사랑은 오직 그대입니다
20050831,레드삭스,초대,female,"발라드, 댄스",-,이경,성우석,-,눈물이 내 앞을 가린채 사랑이 떠나만 가네요 잘있네요  그녀를 사랑한다고  내가 듣게 대답해주세요 곱게입은 웨딩드레스  그녀가 눈부셔서 난 웃네요 하늘이 준 새하얀 천사의 옷 꼭 내가 입고 싶었었는데 당신을 사랑했어요 그게 죄가 되는지  하늘은 어떤 사랑 인연을 맺는지 그댈 사랑하니까 영원히 사랑하니까 당신 행복빌께요 이젠 -  간 주 중 -  내가 너무 어려선가요 내사랑 부족한게 이유일까요 하루하루 다가 올 시간들이 나에게 더 큰 아픔일 텐데 만날 수 없는 것보다 더욱 슬픈사실이 당신이 다신 내게 올수없다는거죠 그댈 사랑하니까 영원히 사랑하니까 당신 행복빌게요 이제 당신을 사랑했어요 그게 죄가 되는지  하늘은 어떤 사랑 인연을 맺는지 그댈 사랑하니까 영원히 사랑하니까 당신 행복빌께요 이젠 내 사랑 영원히
