년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20081205,소녀시대,랄랄라,female,일렉트로니카,-,-,-,(주)SM엔터테인먼트,오늘처럼 흐린 햇살마저 눈부신 날이면 주머니에 가득한 먼지를 탁탁 털어 버리지 해묵은 한숨을 털어 내고 때묻은 상처를 지우고 나면 차라리 날아가 버릴 것 같아 눈물이 나 이렇게 어렵지 않은 수고로도 가벼워져 버릴 만큼 난 강해져 있어 장난처럼 널 떠올릴 수도 있는 걸 아무렇지도 않게 콧노랠 부르며 오늘처럼 흐린 햇살마저 눈부신 날이면 주머니에 가득한 먼지를 탁탁 털어 버리지 해묵은 한숨을 털어 내고 때묻은 상처를 지우고 나면 차라리 날아가 버릴 것 같아 눈물이 나 이렇게 어렵지 않은 수고로도 가벼워져 버릴 만큼 난 강해져 있어 장난처럼 널 떠올릴 수도 있는 걸 아무렇지도 않게 라라라랄라 이렇게 어렵지 않은 수고로도 가벼워져 버릴 만큼 난 강해져 있어 장난처럼 널 떠올릴 수도 있는 걸 아무렇지도 않게 콧노랠 부르며
20100525,스매쉬 ,Dance 2 My Hardbeat,male,일렉트로니카,-,-,-,-,-
20090302,스매쉬 ,Dance 2 My Hardbeat,male,일렉트로니카,-,-,-,-,-
20090302,스매쉬 ,Dance 2 My Hardbeat,male,일렉트로니카,-,-,-,-,-
20020424,스매쉬 ,Dance 2 My Hardbeat,male,일렉트로니카,-,-,-,-,-
20060101,스매쉬 ,I Don`t Think I Love You Anymore - Smash!!,male,월드뮤직,-,-,-,-,-
20050202,스매쉬 ,The Smash Megamix,male,월드뮤직,-,-,-,-,-
20100809,소녀시대,해치 (Full Ver.),female,"애니메이션/웹툰, 키즈, 만화",-,-,-,(주)SM엔터테인먼트,으라차차 에헤라 해차 자석같이 끌리는 우리 둘이 해치 해피 뿡뿡 서로 통하는걸 넌 알잖아 으라차차 에헤라 해차 널 만나면 놀라운 일이 생겨 해치 해피 뿡뿡 어려운 일들도 모두 내가 풀어줄께 어디에서 나타났니 너무너무 사랑스럽잖아 무얼 타고 날아왔니 해치와 함께하는 세상 아껴 주고 감싸줄께 꿈과 희망의 노랠 불러봐 오래오래 영원토록 너만을 사랑하며 지켜줄께 I love you I love you 자석같이 끌리는 우리 둘이 I know I know I know 서로 통하는걸 넌 알잖아 I love you I love you 널 만나면 놀라운 일이 생겨 네게 약속할께 어려운 일들도 모두 내가 풀어줄께 두려워마 날갤펴고 낯선 그곳을 향해 날아봐 오래오래 영원토록 너만을 사랑하며 지켜줄께 으라차차 에헤라 해차 자석같이 끌리는 우리 둘이 해치 해피 뿡뿡 서로 통하는걸 넌 알잖아 으라차차 에헤라 해차 널 만나면 놀라운 일이 생겨 해치 해피 뿡뿡 어려운 일들도 모두 내가 풀어줄께 아주 멀리 떨어져 보지 못한다 해도 우린 또다시 마주치게 될테니까 너를 위해서라면 어려운 일도 해낼 수 있어 나를 믿어 알잖아 알잖아 우린 이미 두렵지 않다는걸 방울 날개 뿔로 신비한 능력을 보여줄께 으라차차 에헤라 해차 자석같이 끌리는 우리 둘이 해치 해피 뿡뿡 서로 통하는걸 넌 알잖아 으라차차 에헤라 해차 널 만나면 놀라운 일이 생겨 해치 해피 뿡뿡 어려운 일들도 모두 내가 풀어줄께 oh 힘이 들땐 나를 불러 해치와 함께해
20100809,소녀시대,해치 (Opening Ver.),female,애니메이션/웹툰,-,-,-,(주)SM엔터테인먼트,으라차차 에헤라 해차 자석같이 끌리는 우리 둘이 해치 해피 뿡뿡 서로 통하는걸 넌 알잖아 으라차차 에헤라 해차 널 만나면 놀라운 일이 생겨 해치 해피 뿡뿡 어려운 일들도 모두 내가 풀어줄께 아주 멀리 떨어져 보지 못한다 해도 우린 또다시 마주치게 될테니까 너를 위해서라면 어려운 일도 해낼 수 있어 나를 믿어 알잖아 알잖아 우린 이미 두렵지 않다는걸 방울 날개 뿔로 신비한 능력을 보여줄께 으라차차 에헤라 해차 널 만나면 놀라운 일이 생겨 해치 해피 뿡뿡 어려운 일들도 모두 내가 풀어줄께 oh 힘이 들땐 나를 불러 해치와 함께해
20100809,소녀시대,해치 (Ending Ver.),female,애니메이션/웹툰,-,-,-,(주)SM엔터테인먼트,어디에서 나타났니 너무너무 사랑스럽잖아 무얼 타고 날아왔니 해치와 함께하는 세상 아껴 주고 감싸줄께 꿈과 희망의 노랠 불러봐 오래오래 영원토록 너만을 사랑하며 지켜줄께 I love you I love you 자석같이 끌리는 우리 둘이 I know I know I know 서로 통하는걸 넌 알잖아 I love you I love you 널 만나면 놀라운 일이 생겨 네게 약속할께 어려운 일들도 모두 내가 풀어줄께 으라차차 에헤라 해차 널 만나면 놀라운 일이 생겨 해치 해피 뿡뿡 어려운 일들도 모두 내가 풀어줄께 oh 힘이 들땐 나를 불러 해치와 함께해
